"geo","geo.cat","geo.name","geo.mn_name_c","geo.mn_mdb_c","geo.category","geo.dc","geo.dc_mdb_c","geo.dc_name","geo.dc_name_c","geo.pr","geo.pr_mdb_c","geo.pr_name","geo.albers_are","geo.shape_leng","geo.shape_area","shape_lores_svg","geo.world_4region"
766,"municipality","Merafong City","Merafong City(GT484 )","GT484","Local Municipality",748,"DC48","West Rand","West Rand(DC48 )",7,"GT","Gauteng","1630,544476","2,336446025","0,1475203983",,africa
798,"municipality","City of Johannesburg","City of Johannesburg(JHB )","JHB","Metropolitan Municipality",798,"JHB","City of Johannesburg","City of Johannesburg(JHB )",7,"GT","Gauteng","1644,983123","3,031304897","0,1485254531",,africa
560,"municipality","Vulamehlo","Vulamehlo(KZN211 )","KZN211","Local Municipality",521,"DC21","Ugu","Ugu(DC21 )",5,"KZN","KwaZulu-Natal","959,9206054","2,429790017","0,08993443131",,africa
561,"municipality","Umdoni","Umdoni(KZN212 )","KZN212","Local Municipality",521,"DC21","Ugu","Ugu(DC21 )",5,"KZN","KwaZulu-Natal","251,5269156","1,067832213","0,02359772115",,africa
503,"municipality","Umzumbe","Umzumbe(KZN213 )","KZN213","Local Municipality",521,"DC21","Ugu","Ugu(DC21 )",5,"KZN","KwaZulu-Natal","1258,874928","2,5398612","0,1182689983",,africa
504,"municipality","UMuziwabantu","UMuziwabantu(KZN214 )","KZN214","Local Municipality",521,"DC21","Ugu","Ugu(DC21 )",5,"KZN","KwaZulu-Natal","1089,473838","2,744810263","0,1025055229",,africa
505,"municipality","Ezingoleni","Ezingoleni(KZN215 )","KZN215","Local Municipality",521,"DC21","Ugu","Ugu(DC21 )",5,"KZN","KwaZulu-Natal","648,0683633","2,093913996","0,0610441362",,africa
260,"municipality","Buffalo City","Buffalo City(BUF )","BUF","Metropolitan Municipality",260,"BUF","Buffalo City","Buffalo City(BUF )",2,"EC","Eastern Cape","2535,931516","4,458223265","0,2445462559",,africa
199,"municipality","City of Cape Town","City of Cape Town(CPT )","CPT","Metropolitan Municipality",199,"CPT","City of Cape Town","City of Cape Town(CPT )",1,"WC","Western Cape","2444,962992","5,198175003","0,2382966764",,africa
261,"municipality","Camdeboo","Camdeboo(EC101 )","EC101","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","12422,33605","7,017927482","1,190352453",,africa
262,"municipality","Blue Crane Route","Blue Crane Route(EC102 )","EC102","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","11068,49413","6,680793058","1,065326537",,africa
263,"municipality","Ikwezi","Ikwezi(EC103 )","EC103","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","4562,725717","4,022354725","0,4402565813",,africa
264,"municipality","Makana","Makana(EC104 )","EC104","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","4375,627596","4,733910277","0,4232914457",,africa
265,"municipality","Ndlambe","Ndlambe(EC105 )","EC105","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","1840,632315","2,772036266","0,1786392344",,africa
266,"municipality","Sundays River Valley","Sundays River Valley(EC106 )","EC106","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","5993,512366","5,908896248","0,5816142539",,africa
267,"municipality","Baviaans","Baviaans(EC107 )","EC107","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","11668,11328","6,487536349","1,129337019",,africa
268,"municipality","Kouga","Kouga(EC108 )","EC108","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","2669,813004","3,49131387","0,260245697",,africa
269,"municipality","Kou-Kamma","Kou-Kamma(EC109 )","EC109","Local Municipality",210,"DC10","Cacadu","Cacadu(DC10 )",2,"EC","Eastern Cape","3642,028104","4,126653384","0,3548637217",,africa
270,"municipality","Mbhashe","Mbhashe(EC121 )","EC121","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","3169,454935","4,827265092","0,3028869371",,africa
271,"municipality","Mnquma","Mnquma(EC122 )","EC122","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","3270,2409","4,29586387","0,313267608",,africa
272,"municipality","Great Kei","Great Kei(EC123 )","EC123","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","1735,99028","3,025272727","0,1668718926",,africa
273,"municipality","Amahlathi","Amahlathi(EC124 )","EC124","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","4820,226625","6,416041512","0,4624696517",,africa
274,"municipality","Ngqushwa","Ngqushwa(EC126 )","EC126","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","2240,905887","3,649624723","0,2166634398",,africa
276,"municipality","Nkonkobe","Nkonkobe(EC127 )","EC127","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","3626,17539","4,698534286","0,3489874648",,africa
277,"municipality","Nxuba","Nxuba(EC128 )","EC128","Local Municipality",212,"DC12","Amathole","Amathole(DC12 )",2,"EC","Eastern Cape","2731,92178","3,419733246","0,262350531",,africa
278,"municipality","Inxuba Yethemba","Inxuba Yethemba(EC131 )","EC131","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","11662,69338","7,047208486","1,111453225",,africa
279,"municipality","Tsolwana","Tsolwana(EC132 )","EC132","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","6086,81584","5,479057454","0,5799886841",,africa
280,"municipality","Inkwanca","Inkwanca(EC133 )","EC133","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","3584,238273","3,375042846","0,3402720066",,africa
281,"municipality","Lukanji","Lukanji(EC134 )","EC134","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","3812,864023","4,457636446","0,364246888",,africa
282,"municipality","Intsika Yethu","Intsika Yethu(EC135 )","EC135","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","2711,138916","4,543093916","0,258591106",,africa
283,"municipality","Emalahleni","Emalahleni(EC136 )","EC136","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","3447,203209","3,835225369","0,3275887229",,africa
284,"municipality","Engcobo","Engcobo(EC137 )","EC137","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","2483,867106","3,003820071","0,23625377",,africa
285,"municipality","Sakhisizwe","Sakhisizwe(EC138 )","EC138","Local Municipality",213,"DC13","Chris Hani","Chris Hani(DC13 )",2,"EC","Eastern Cape","2354,717662","2,955254876","0,2234133838",,africa
286,"municipality","Elundini","Elundini(EC141 )","EC141","Local Municipality",214,"DC14","Joe Gqabi","Joe Gqabi(DC14 )",2,"EC","Eastern Cape","5064,535139","4,91289882","0,4779359731",,africa
287,"municipality","Senqu","Senqu(EC142 )","EC142","Local Municipality",214,"DC14","Joe Gqabi","Joe Gqabi(DC14 )",2,"EC","Eastern Cape","7329,42482","5,291071267","0,691257342",,africa
970,"municipality","Aganang","Aganang(LIM352 )","LIM352","Local Municipality",935,"DC35","Capricorn","Capricorn(DC35 )",9,"LIM","Limpopo","1880,572582","2,427177998","0,1664448935",,africa
982,"municipality","Mogalakwena","Mogalakwena(LIM367 )","LIM367","Local Municipality",936,"DC36","Waterberg","Waterberg(DC36 )",9,"LIM","Limpopo","6166,052441","4,945440782","0,546497886",,africa
983,"municipality","Ephraim Mogale","Ephraim Mogale(LIM471 )","LIM471","Local Municipality",947,"DC47","Greater Sekhukhune","Greater Sekhukhune(DC47 )",9,"LIM","Limpopo","2011,303632","3,08051262","0,1797215631",,africa
978,"municipality","Lephalale","Lephalale(LIM362 )","LIM362","Local Municipality",936,"DC36","Waterberg","Waterberg(DC36 )",9,"LIM","Limpopo","13784,18293","8,027343251","1,220143371",,africa
984,"municipality","Elias Motsoaledi","Elias Motsoaledi(LIM472 )","LIM472","Local Municipality",947,"DC47","Greater Sekhukhune","Greater Sekhukhune(DC47 )",9,"LIM","Limpopo","3713,329405","3,399717178","0,3325861856",,africa
985,"municipality","Makhuduthamaga","Makhuduthamaga(LIM473 )","LIM473","Local Municipality",947,"DC47","Greater Sekhukhune","Greater Sekhukhune(DC47 )",9,"LIM","Limpopo","2096,600595","2,702825965","0,1870776127",,africa
986,"municipality","Fetakgomo","Fetakgomo(LIM474 )","LIM474","Local Municipality",947,"DC47","Greater Sekhukhune","Greater Sekhukhune(DC47 )",9,"LIM","Limpopo","1104,530615","1,621091478","0,09831351023",,africa
987,"municipality","Greater Tubatse","Greater Tubatse(LIM475 )","LIM475","Local Municipality",947,"DC47","Greater Sekhukhune","Greater Sekhukhune(DC47 )",9,"LIM","Limpopo","4601,965481","4,128316351","0,4103883336",,africa
499,"municipality","Mangaung","Mangaung(MAN )","MAN","Metropolitan Municipality",499,"MAN","Mangaung","Mangaung(MAN )",4,"FS","Free State","6283,987731","6,196157239","0,5827334227",,africa
860,"municipality","Albert Luthuli","Albert Luthuli(MP301 )","MP301","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","5559,396383","4,786411979","0,5014492731",,africa
861,"municipality","Msukaligwa","Msukaligwa(MP302 )","MP302","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","6015,663726","4,849198199","0,5444935726",,africa
862,"municipality","Mkhondo","Mkhondo(MP303 )","MP303","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","4882,159104","4,525603503","0,4438975193",,africa
863,"municipality","Pixley Ka Seme","Pixley Ka Seme(MP304 )","MP304","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","5227,208732","4,859538203","0,4758320205",,africa
864,"municipality","Lekwa","Lekwa(MP305 )","MP305","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","4585,190145","4,862538404","0,4164798938",,africa
865,"municipality","Dipaleseng","Dipaleseng(MP306 )","MP306","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","2616,558092","3,546158846","0,2374720512",,africa
866,"municipality","Govan Mbeki","Govan Mbeki(MP307 )","MP307","Local Municipality",830,"DC30","Gert Sibande","Gert Sibande(DC30 )",8,"MP","Mpumalanga","2954,689848","3,38955864","0,267433593",,africa
867,"municipality","Victor Khanye","Victor Khanye(MP311 )","MP311","Local Municipality",831,"DC31","Nkangala","Nkangala(DC31 )",8,"MP","Mpumalanga","1567,774502","2,260751938","0,1415018189",,africa
868,"municipality","Emalahleni","Emalahleni(MP312 )","MP312","Local Municipality",831,"DC31","Nkangala","Nkangala(DC31 )",8,"MP","Mpumalanga","2677,609053","2,915512356","0,241440839",,africa
869,"municipality","Steve Tshwete","Steve Tshwete(MP313 )","MP313","Local Municipality",831,"DC31","Nkangala","Nkangala(DC31 )",8,"MP","Mpumalanga","3976,4535","3,763358443","0,3580202869",,africa
870,"municipality","Emakhazeni","Emakhazeni(MP314 )","MP314","Local Municipality",831,"DC31","Nkangala","Nkangala(DC31 )",8,"MP","Mpumalanga","4735,586158","4,466556822","0,4255266587",,africa
871,"municipality","Thembisile","Thembisile(MP315 )","MP315","Local Municipality",831,"DC31","Nkangala","Nkangala(DC31 )",8,"MP","Mpumalanga","2384,363365","4,276664345","0,2140310029",,africa
873,"municipality","Thaba Chweu","Thaba Chweu(MP321 )","MP321","Local Municipality",832,"DC32","Ehlanzeni","Ehlanzeni(DC32 )",8,"MP","Mpumalanga","5719,062507","5,108965225","0,5116961293",,africa
874,"municipality","Mbombela","Mbombela(MP322 )","MP322","Local Municipality",832,"DC32","Ehlanzeni","Ehlanzeni(DC32 )",8,"MP","Mpumalanga","5394,404672","4,434336165","0,483676878",,africa
872,"municipality","Dr JS Moroka","Dr JS Moroka(MP316 )","MP316","Local Municipality",831,"DC31","Nkangala","Nkangala(DC31 )",8,"MP","Mpumalanga","1416,468804","2,540478767","0,1267730436",,africa
875,"municipality","Umjindi","Umjindi(MP323 )","MP323","Local Municipality",832,"DC32","Ehlanzeni","Ehlanzeni(DC32 )",8,"MP","Mpumalanga","1745,385993","2,039354513","0,1570301766",,africa
876,"municipality","Nkomazi","Nkomazi(MP324 )","MP324","Local Municipality",832,"DC32","Ehlanzeni","Ehlanzeni(DC32 )",8,"MP","Mpumalanga","4786,871564","3,446078594","0,4298044629",,africa
877,"municipality","Bushbuckridge","Bushbuckridge(MP325 )","MP325","Local Municipality",832,"DC32","Ehlanzeni","Ehlanzeni(DC32 )",8,"MP","Mpumalanga","10249,84926","5,763801045","0,9134133115",,africa
566,"municipality","The Msunduzi","The Msunduzi(KZN225 )","KZN225","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","634,0119426","1,548763827","0,05907530309",,africa
363,"municipality","Richtersveld","Richtersveld(NC061 )","NC061","Local Municipality",306,"DC6","Namakwa","Namakwa(DC6 )",3,"NC","Northern Cape","9607,67319","5,797900463","0,8876966127",,africa
364,"municipality","Nama Khoi","Nama Khoi(NC062 )","NC062","Local Municipality",306,"DC6","Namakwa","Namakwa(DC6 )",3,"NC","Northern Cape","17988,63126","7,127223416","1,672974269",,africa
365,"municipality","Kamiesberg","Kamiesberg(NC064 )","NC064","Local Municipality",306,"DC6","Namakwa","Namakwa(DC6 )",3,"NC","Northern Cape","14210,19301","7,388855583","1,333572721",,africa
366,"municipality","Hantam","Hantam(NC065 )","NC065","Local Municipality",306,"DC6","Namakwa","Namakwa(DC6 )",3,"NC","Northern Cape","36127,95013","13,30674386","3,413149205",,africa
367,"municipality","Karoo Hoogland","Karoo Hoogland(NC066 )","NC066","Local Municipality",306,"DC6","Namakwa","Namakwa(DC6 )",3,"NC","Northern Cape","32273,85979","11,24104204","3,068932548",,africa
368,"municipality","Khâi-Ma","Khâi-Ma(NC067 )","NC067","Local Municipality",306,"DC6","Namakwa","Namakwa(DC6 )",3,"NC","Northern Cape","16628,03029","7,155093883","1,548054861",,africa
369,"municipality","Ubuntu","Ubuntu(NC071 )","NC071","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","20389,23814","9,917020038","1,933082534",,africa
370,"municipality","Umsobomvu","Umsobomvu(NC072 )","NC072","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","6818,527008","4,823915085","0,6429597552",,africa
371,"municipality","Emthanjeni","Emthanjeni(NC073 )","NC073","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","13471,95045","7,839981961","1,268169344",,africa
372,"municipality","Kareeberg","Kareeberg(NC074 )","NC074","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","17701,96935","7,539264575","1,664109494",,africa
373,"municipality","Renosterberg","Renosterberg(NC075 )","NC075","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","5527,147218","3,93061482","0,5180775181",,africa
374,"municipality","Thembelihle","Thembelihle(NC076 )","NC076","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","8023,075054","4,919681651","0,7479811848",,africa
375,"municipality","Siyathemba","Siyathemba(NC077 )","NC077","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","14725,32961","7,00011772","1,371828877",,africa
376,"municipality","Siyancuma","Siyancuma(NC078 )","NC078","Local Municipality",307,"DC7","Pixley ka Seme","Pixley ka Seme(DC7 )",3,"NC","Northern Cape","16752,68659","9,658960462","1,550988523",,africa
377,"municipality","Mier","Mier(NC081 )","NC081","Local Municipality",308,"DC8","Siyanda","Siyanda(DC8 )",3,"NC","Northern Cape","22468,45573","9,013701918","2,033640171",,africa
378,"municipality","Kai !Garib","Kai !Garib(NC082 )","NC082","Local Municipality",308,"DC8","Siyanda","Siyanda(DC8 )",3,"NC","Northern Cape","26358,01094","8,645733356","2,439996356",,africa
379,"municipality","//Khara Hais","//Khara Hais(NC083 )","NC083","Local Municipality",308,"DC8","Siyanda","Siyanda(DC8 )",3,"NC","Northern Cape","21779,75757","7,269458462","1,992658671",,africa
380,"municipality","!Kheis","!Kheis(NC084 )","NC084","Local Municipality",308,"DC8","Siyanda","Siyanda(DC8 )",3,"NC","Northern Cape","11107,42544","6,423601971","1,030803406",,africa
381,"municipality","Tsantsabane","Tsantsabane(NC085 )","NC085","Local Municipality",308,"DC8","Siyanda","Siyanda(DC8 )",3,"NC","Northern Cape","18332,78752","8,590124169","1,682460928",,africa
383,"municipality","Sol Plaatjie","Sol Plaatjie(NC091 )","NC091","Local Municipality",309,"DC9","Frances Baard","Frances Baard(DC9 )",3,"NC","Northern Cape","3145,38865","3,186382017","0,2905447489",,africa
384,"municipality","Dikgatlong","Dikgatlong(NC092 )","NC092","Local Municipality",309,"DC9","Frances Baard","Frances Baard(DC9 )",3,"NC","Northern Cape","7314,726495","4,647961984","0,6722417531",,africa
385,"municipality","Magareng","Magareng(NC093 )","NC093","Local Municipality",309,"DC9","Frances Baard","Frances Baard(DC9 )",3,"NC","Northern Cape","1541,670036","2,259298098","0,1416504093",,africa
506,"municipality","Hibiscus Coast","Hibiscus Coast(KZN216 )","KZN216","Local Municipality",521,"DC21","Ugu","Ugu(DC21 )",5,"KZN","KwaZulu-Natal","839,0179938","2,587185839","0,07908007478",,africa
562,"municipality","uMshwathi","uMshwathi(KZN221 )","KZN221","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","1817,938534","3,183119337","0,1689454483",,africa
563,"municipality","uMngeni","uMngeni(KZN222 )","KZN222","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","1566,518681","2,325453346","0,1456617775",,africa
564,"municipality","Mpofana","Mpofana(KZN223 )","KZN223","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","1819,786895","3,128790226","0,1688011242",,africa
565,"municipality","Impendle","Impendle(KZN224 )","KZN224","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","1528,188277","2,658244282","0,1422407846",,africa
567,"municipality","Mkhambathini","Mkhambathini(KZN226 )","KZN226","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","890,8771669","2,770836907","0,08317273254",,africa
568,"municipality","Richmond","Richmond(KZN227 )","KZN227","Local Municipality",522,"DC22","UMgungundlovu","UMgungundlovu(DC22 )",5,"KZN","KwaZulu-Natal","1255,602676","2,281332092","0,117267847",,africa
514,"municipality","Emnambithi/Ladysmith","Emnambithi/Ladysmith(KZN232 )","KZN232","Local Municipality",523,"DC23","Uthukela","Uthukela(DC23 )",5,"KZN","KwaZulu-Natal","2964,840404","3,338633903","0,2730330996",,africa
569,"municipality","Indaka","Indaka(KZN233 )","KZN233","Local Municipality",523,"DC23","Uthukela","Uthukela(DC23 )",5,"KZN","KwaZulu-Natal","991,5409194","1,812219131","0,09142790532",,africa
