geo,time,age,education,sex,zaf_population
zaf,1996,10,Some primary,Male,355288.0696
zaf,1996,10,Some primary,Female,379723.6932
zaf,1996,10,Complete primary,Male,3631.34902
zaf,1996,10,Complete primary,Female,4454.40967
zaf,1996,10,Some secondary,Male,2925.436
zaf,1996,10,Some secondary,Female,3181.70815
zaf,1996,10,Grade 12/Std 10,Male,0
zaf,1996,10,Grade 12/Std 10,Female,0
zaf,1996,10,Higher,Male,13.7698
zaf,1996,10,Higher,Female,9.8525
zaf,1996,10,Unspecified,Male,14817.40566
zaf,1996,10,Unspecified,Female,14567.17292
zaf,1996,10,Not applicable,Male,0
zaf,1996,10,Not applicable,Female,0
zaf,1996,10,Total,Male,468473.2045
zaf,1996,10,Total,Female,473486.4526
zaf,1996,11,No schooling,Male,60976.30827
zaf,1996,11,No schooling,Female,44116.07175
zaf,1996,11,Some primary,Male,373682.1943
zaf,1996,11,Some primary,Female,389245.519
zaf,1996,11,Complete primary,Male,8408.73997
zaf,1996,11,Complete primary,Female,11627.93932
zaf,1996,11,Some secondary,Male,4720.37671
zaf,1996,11,Some secondary,Female,5261.6628
zaf,1996,11,Grade 12/Std 10,Male,0
zaf,1996,11,Grade 12/Std 10,Female,0
zaf,1996,11,Higher,Male,7.8775
zaf,1996,11,Higher,Female,3.2901
zaf,1996,11,Unspecified,Male,13104.95412
zaf,1996,11,Unspecified,Female,12744.71861
zaf,1996,11,Not applicable,Male,0
zaf,1996,11,Not applicable,Female,0
zaf,1996,11,Total,Male,460900.4508
zaf,1996,11,Total,Female,462999.2016
zaf,1996,12,No schooling,Male,45129.08697
zaf,1996,12,No schooling,Female,32532.55535
zaf,1996,12,Some primary,Male,366442.5443
zaf,1996,12,Some primary,Female,365253.7821
zaf,1996,12,Complete primary,Male,32939.49065
zaf,1996,12,Complete primary,Female,48823.77173
zaf,1996,12,Some secondary,Male,10530.61668
zaf,1996,12,Some secondary,Female,14460.74087
zaf,1996,12,Grade 12/Std 10,Male,0
zaf,1996,12,Grade 12/Std 10,Female,0
zaf,1996,12,Higher,Male,7.6111
zaf,1996,12,Higher,Female,4.3788
zaf,1996,12,Unspecified,Male,12667.69603
zaf,1996,12,Unspecified,Female,12389.42343
zaf,1996,12,Not applicable,Male,0
zaf,1996,12,Not applicable,Female,0
zaf,1996,12,Total,Male,467717.0457
zaf,1996,12,Total,Female,473464.6523
zaf,1996,13,No schooling,Male,33089.72485
zaf,1996,13,No schooling,Female,23891.34092
zaf,1996,13,Some primary,Male,296073.8724
zaf,1996,13,Some primary,Female,267577.0248
zaf,1996,13,Complete primary,Male,77907.56695
zaf,1996,13,Complete primary,Female,105902.5711
zaf,1996,13,Some secondary,Male,38100.88317
zaf,1996,13,Some secondary,Female,57999.80797
zaf,1996,13,Grade 12/Std 10,Male,0
zaf,1996,13,Grade 12/Std 10,Female,0
zaf,1996,13,Higher,Male,5.5396
zaf,1996,13,Higher,Female,5.5739
zaf,1996,13,Unspecified,Male,10491.57699
zaf,1996,13,Unspecified,Female,10382.11034
zaf,1996,13,Not applicable,Male,0
zaf,1996,13,Not applicable,Female,0
zaf,1996,13,Total,Male,455669.164
zaf,1996,13,Total,Female,465758.429
zaf,1996,14,No schooling,Male,26623.01076
zaf,1996,14,No schooling,Female,19906.90552
zaf,1996,14,Some primary,Male,216619.0819
zaf,1996,14,Some primary,Female,174347.9148
zaf,1996,14,Complete primary,Male,96503.90539
zaf,1996,14,Complete primary,Female,113633.4247
zaf,1996,14,Some secondary,Male,105303.4138
zaf,1996,14,Some secondary,Female,151295.8126
zaf,1996,14,Grade 12/Std 10,Male,619.2625
zaf,1996,14,Grade 12/Std 10,Female,692.45813
zaf,1996,14,Higher,Male,6.8409
zaf,1996,14,Higher,Female,5.6579
zaf,1996,14,Unspecified,Male,10323.63689
zaf,1996,14,Unspecified,Female,9749.96115
zaf,1996,14,Not applicable,Male,0
zaf,1996,14,Not applicable,Female,0
zaf,1996,14,Total,Male,455999.1522
zaf,1996,14,Total,Female,469632.1348
zaf,1996,15,No schooling,Male,22764.78673
zaf,1996,15,No schooling,Female,17600.03838
zaf,1996,15,Some primary,Male,144906.1107
zaf,1996,15,Some primary,Female,105034.9307
zaf,1996,15,Complete primary,Male,71806.48561
zaf,1996,15,Complete primary,Female,74536.40949
zaf,1996,15,Some secondary,Male,173996.9903
zaf,1996,15,Some secondary,Female,228550.5137
zaf,1996,15,Grade 12/Std 10,Male,959.52035
zaf,1996,15,Grade 12/Std 10,Female,1246.64651
zaf,1996,15,Higher,Male,24.0463
zaf,1996,15,Higher,Female,14.61437
zaf,1996,15,Unspecified,Male,9506.98244
zaf,1996,15,Unspecified,Female,9229.98387
zaf,1996,15,Not applicable,Male,0
zaf,1996,15,Not applicable,Female,0
zaf,1996,15,Total,Male,423964.9225
zaf,1996,15,Total,Female,436213.137
zaf,1996,16,No schooling,Male,21877.9142
zaf,1996,16,No schooling,Female,18149.06393
zaf,1996,16,Some primary,Male,112570.3461
zaf,1996,16,Some primary,Female,78483.28831
zaf,1996,16,Complete primary,Male,63445.81269
zaf,1996,16,Complete primary,Female,60513.85964
zaf,1996,16,Some secondary,Male,226452.3038
zaf,1996,16,Some secondary,Female,281896.3819
zaf,1996,16,Grade 12/Std 10,Male,2797.59763
zaf,1996,16,Grade 12/Std 10,Female,3955.3269
zaf,1996,16,Higher,Male,56.53957
zaf,1996,16,Higher,Female,40.60246
zaf,1996,16,Unspecified,Male,9841.26905
zaf,1996,16,Unspecified,Female,9377.14362
zaf,1996,16,Not applicable,Male,0
zaf,1996,16,Not applicable,Female,0
zaf,1996,16,Total,Male,437041.7831
zaf,1996,16,Total,Female,452415.6667
zaf,1996,17,No schooling,Male,18238.88581
zaf,1996,17,No schooling,Female,15444.75034
zaf,1996,17,Some primary,Male,72482.86639
zaf,1996,17,Some primary,Female,48792.90004
zaf,1996,17,Complete primary,Male,47453.70467
zaf,1996,17,Complete primary,Female,42093.23999
zaf,1996,17,Some secondary,Male,241637.2341
zaf,1996,17,Some secondary,Female,281572.7588
zaf,1996,17,Grade 12/Std 10,Male,12466.68061
zaf,1996,17,Grade 12/Std 10,Female,18770.06304
zaf,1996,17,Higher,Male,677.62417
zaf,1996,17,Higher,Female,672.20882
zaf,1996,17,Unspecified,Male,8704.03801
zaf,1996,17,Unspecified,Female,8263.07374
zaf,1996,17,Not applicable,Male,0
zaf,1996,17,Not applicable,Female,0
zaf,1996,17,Total,Male,401661.0338
zaf,1996,17,Total,Female,415608.9948
zaf,1996,18,No schooling,Male,18783.84546
zaf,1996,18,No schooling,Female,17458.19836
zaf,1996,18,Some primary,Male,57691.66003
