side,time,age,sg_population,stack
usa,1951,74,119920,1
usa,1951,75,110498,1
usa,1951,76,101046,1
usa,1951,77,92166,1
usa,1951,78,82970,1
usa,1951,79,72844,1
usa,1951,80,52288,1
usa,1951,81,46962,1
usa,1951,82,41978,1
usa,1951,83,37556,1
usa,1951,84,33558,1
usa,1951,85,29646,1
usa,1951,86,25910,1
usa,1951,87,22368,1
usa,1951,88,19002,1
usa,1951,89,15852,1
usa,1951,90,12944,1
usa,1951,91,10242,1
usa,1951,92,7968,1
usa,1951,93,6230,1
usa,1951,94,4910,1
usa,1951,95,3764,1
usa,1951,96,2818,1
usa,1951,97,2054,1
usa,1951,98,1430,1
usa,1951,99,938,1
usa,1951,100,578,1
usa,1951,101,516,1
usa,1951,102,460,1
usa,1951,103,410,1
usa,1951,104,366,1
usa,1951,105,328,1
usa,1951,106,292,1
usa,1951,107,262,1
usa,1951,108,234,1
usa,1951,109,208,1
usa,1951,110,186,1
usa,1951,111,0,1
usa,1951,112,0,1
usa,1951,113,0,1
usa,1951,114,0,1
usa,1951,115,0,1
usa,1951,116,0,1
usa,1951,117,0,1
usa,1951,118,0,1
usa,1951,119,0,1
usa,1951,120,0,1
usa,1951,121,0,1
usa,1951,122,0,1
usa,1951,123,0,1
usa,1951,124,0,1
usa,1951,125,0,1
usa,1951,126,0,1
usa,1951,127,0,1
usa,1951,128,0,1
usa,1951,129,0,1
usa,1951,130,0,1
usa,1952,0,738842,1
usa,1952,1,730858,1
usa,1952,2,743872,1
usa,1952,3,716248,1
usa,1952,4,688152,1
usa,1952,5,659922,1
usa,1952,6,631904,1
usa,1952,7,604406,1
usa,1952,8,577744,1
usa,1952,9,552400,1
usa,1952,10,528772,1
usa,1952,11,507118,1
usa,1952,12,487164,1
usa,1952,13,468812,1
usa,1952,14,454608,1
usa,1952,15,445744,1
usa,1952,16,441210,1
usa,1952,17,438138,1
usa,1952,18,436296,1
usa,1952,19,438696,1
usa,1952,20,446288,1
usa,1952,21,457326,1
usa,1952,22,468842,1
usa,1952,23,481100,1
usa,1952,24,491996,1
usa,1952,25,500072,1
usa,1952,26,505844,1
usa,1952,27,511770,1
usa,1952,28,517932,1
usa,1952,29,519914,1
usa,1952,30,515940,1
usa,1952,31,507992,1
usa,1952,32,499622,1
usa,1952,33,489890,1
usa,1952,34,481886,1
usa,1952,35,477430,1
usa,1952,36,474986,1
usa,1952,37,471182,1
usa,1952,38,466684,1
usa,1952,39,461036,1
usa,1952,40,453670,1
usa,1952,41,444952,1
usa,1952,42,436398,1
usa,1952,43,428406,1
usa,1952,44,417826,1
usa,1952,45,403472,1
usa,1952,46,387106,1
usa,1952,47,371082,1
usa,1952,48,354214,1
usa,1952,49,342398,1
usa,1952,50,338582,1
usa,1952,51,339804,1
usa,1952,52,340268,1
usa,1952,53,341262,1
usa,1952,54,339834,1
usa,1952,55,333970,1
usa,1952,56,325196,1
usa,1952,57,317010,1
usa,1952,58,308670,1
usa,1952,59,300306,1
usa,1952,60,292316,1
usa,1952,61,284376,1
usa,1952,62,275754,1
usa,1952,63,266598,1
usa,1952,64,256834,1
usa,1952,65,246354,1
usa,1952,66,235232,1
usa,1952,67,223914,1
usa,1952,68,212630,1
usa,1952,69,200010,1
usa,1952,70,185520,1
usa,1952,71,169956,1
usa,1952,72,154572,1
usa,1952,73,139008,1
usa,1952,74,125046,1
usa,1952,75,113660,1
usa,1952,76,104054,1
usa,1952,77,94566,1
usa,1952,78,85670,1
usa,1952,79,76598,1
usa,1952,80,55070,1
usa,1952,81,49460,1
usa,1952,82,44212,1
usa,1952,83,39554,1
usa,1952,84,35344,1
usa,1952,85,31224,1
usa,1952,86,27288,1
usa,1952,87,23558,1
usa,1952,88,20012,1
usa,1952,89,16696,1
usa,1952,90,13634,1
usa,1952,91,10786,1
usa,1952,92,8392,1
usa,1952,93,6560,1
usa,1952,94,5170,1
usa,1952,95,3966,1
usa,1952,96,2968,1
usa,1952,97,2164,1
usa,1952,98,1506,1
usa,1952,99,988,1
usa,1952,100,608,1
usa,1952,101,352,1
usa,1952,102,296,1
usa,1952,103,248,1
usa,1952,104,208,1
usa,1952,105,174,1
usa,1952,106,0,1
usa,1952,107,0,1
usa,1952,108,0,1
usa,1952,109,0,1
usa,1952,110,0,1
usa,1952,111,0,1
usa,1952,112,0,1
usa,1952,113,0,1
usa,1952,114,0,1
usa,1952,115,0,1
usa,1952,116,0,1
usa,1952,117,0,1
usa,1952,118,0,1
usa,1952,119,0,1
usa,1952,120,0,1
usa,1952,121,0,1
usa,1952,122,0,1
usa,1952,123,0,1
usa,1952,124,0,1
usa,1952,125,0,1
usa,1952,126,0,1
usa,1952,127,0,1
usa,1952,128,0,1
usa,1952,129,0,1
usa,1952,130,0,1
usa,1953,0,746198,1
usa,1953,1,744746,1
usa,1953,2,737690,1
usa,1953,3,740730,1
usa,1953,4,715462,1
usa,1953,5,689078,1
usa,1953,6,661996,1
usa,1953,7,634626,1
usa,1953,8,607340,1
usa,1953,9,580512,1
usa,1953,10,554768,1
usa,1953,11,530610,1
usa,1953,12,508322,1
usa,1953,13,487572,1
usa,1953,14,468284,1
usa,1953,15,453322,1
usa,1953,16,444034,1
usa,1953,17,439326,1
usa,1953,18,436032,1
usa,1953,19,433928,1
usa,1953,20,436364,1
usa,1953,21,444418,1
usa,1953,22,456180,1
usa,1953,23,468412,1
usa,1953,24,481452,1
usa,1953,25,492898,1
usa,1953,26,501124,1
usa,1953,27,506786,1
usa,1953,28,512642,1
usa,1953,29,518714,1
usa,1953,30,520610,1
usa,1953,31,516594,1
usa,1953,32,508622,1
usa,1953,33,500152,1
usa,1953,34,490226,1
usa,1953,35,482084,1
usa,1953,36,477596,1
usa,1953,37,475148,1
usa,1953,38,471396,1
usa,1953,39,467188,1
usa,1953,40,461154,1
usa,1953,41,452326,1
usa,1953,42,441602,1
usa,1953,43,431122,1
usa,1953,44,420810,1
usa,1953,45,409734,1
usa,1953,46,397760,1
usa,1953,47,385464,1
usa,1953,48,373218,1
usa,1953,49,360536,1
usa,1953,50,350736,1
usa,1953,51,345380,1
usa,1953,52,342856,1
usa,1953,53,339972,1
usa,1953,54,337330,1
usa,1953,55,333656,1
usa,1953,56,327982,1
usa,1953,57,320908,1
usa,1953,58,313994,1
usa,1953,59,306922,1
usa,1953,60,299242,1
usa,1953,61,290884,1
usa,1953,62,281886,1
usa,1953,63,272434,1
usa,1953,64,262582,1
usa,1953,65,251878,1
usa,1953,66,240148,1
usa,1953,67,227636,1
usa,1953,68,214954,1
usa,1953,69,202200,1
usa,1953,70,188848,1
usa,1953,71,174764,1
usa,1953,72,160346,1
usa,1953,73,146048,1
usa,1953,74,131706,1
usa,1953,75,118618,1
usa,1953,76,107450,1
usa,1953,77,97656,1
usa,1953,78,88126,1
usa,1953,79,79206,1
usa,1953,80,57608,1
usa,1953,81,51740,1
usa,1953,82,46250,1
usa,1953,83,41378,1
usa,1953,84,36972,1
usa,1953,85,32664,1
usa,1953,86,28546,1
usa,1953,87,24644,1
usa,1953,88,20936,1
usa,1953,89,17464,1
usa,1953,90,14262,1
usa,1953,91,11284,1
usa,1953,92,8778,1
usa,1953,93,6864,1
usa,1953,94,5408,1
usa,1953,95,4148,1
usa,1953,96,3106,1
usa,1953,97,2264,1
usa,1953,98,1576,1
usa,1953,99,1032,1
usa,1953,100,632,1
usa,1953,101,364,1
usa,1953,102,198,1
usa,1953,103,0,1
usa,1953,104,0,1
usa,1953,105,0,1
usa,1953,106,0,1
usa,1953,107,0,1
usa,1953,108,0,1
usa,1953,109,0,1
usa,1953,110,0,1
usa,1953,111,0,1
usa,1953,112,0,1
usa,1953,113,0,1
usa,1953,114,0,1
usa,1953,115,0,1
usa,1953,116,0,1
usa,1953,117,0,1
usa,1953,118,0,1
usa,1953,119,0,1
usa,1953,120,0,1
usa,1953,121,0,1
usa,1953,122,0,1
usa,1953,123,0,1
usa,1953,124,0,1
usa,1953,125,0,1
usa,1953,126,0,1
usa,1953,127,0,1
usa,1953,128,0,1
usa,1953,129,0,1
usa,1953,130,0,1
usa,1954,0,760820,1
usa,1954,1,761862,1
usa,1954,2,757016,1
usa,1954,3,746964,1
usa,1954,4,737418,1
usa,1954,5,714516,1
usa,1954,6,689854,1
usa,1954,7,663924,1
usa,1954,8,637210,1
usa,1954,9,610142,1
usa,1954,10,583154,1
usa,1954,11,557016,1
usa,1954,12,532330,1
usa,1954,13,509414,1
usa,1954,14,487870,1
usa,1954,15,467650,1
usa,1954,16,451932,1
usa,1954,17,442224,1
usa,1954,18,437340,1
usa,1954,19,433826,1
usa,1954,20,431460,1
usa,1954,21,433934,1
usa,1954,22,442446,1
usa,1954,23,454930,1
usa,1954,24,467876,1
usa,1954,25,481696,1
usa,1954,26,493692,1
usa,1954,27,502068,1
usa,1954,28,507616,1
usa,1954,29,513400,1
usa,1954,30,519382,1
usa,1954,31,521190,1
usa,1954,32,517134,1
usa,1954,33,509140,1
usa,1954,34,500568,1
usa,1954,35,490454,1
usa,1954,36,482174,1
usa,1954,37,477656,1
usa,1954,38,475204,1
usa,1954,39,471504,1
usa,1954,40,467590,1
usa,1954,41,461168,1
usa,1954,42,450882,1
usa,1954,43,438148,1
usa,1954,44,425742,1
usa,1954,45,413108,1
usa,1954,46,401538,1
usa,1954,47,391952,1
usa,1954,48,383736,1
usa,1954,49,375274,1
usa,1954,50,366786,1
usa,1954,51,359008,1
usa,1954,52,352108,1
usa,1954,53,345836,1
usa,1954,54,339598,1
usa,1954,55,333318,1
usa,1954,56,327396,1
usa,1954,57,321914,1
usa,1954,58,316542,1
usa,1954,59,310904,1
usa,1954,60,305102,1
usa,1954,61,298110,1
usa,1954,62,289386,1
usa,1954,63,279332,1
usa,1954,64,269048,1
usa,1954,65,258502,1
usa,1954,66,246860,1
usa,1954,67,233878,1
usa,1954,68,219980,1
usa,1954,69,205938,1
usa,1954,70,191712,1
usa,1954,71,177626,1
usa,1954,72,163958,1
usa,1954,73,150686,1
usa,1954,74,137478,1
usa,1954,75,124366,1
usa,1954,76,112156,1
usa,1954,77,101206,1
usa,1954,78,91226,1
usa,1954,79,81656,1
usa,1954,80,59668,1
usa,1954,81,53590,1
usa,1954,82,47902,1
usa,1954,83,42856,1
usa,1954,84,38294,1
usa,1954,85,33830,1
usa,1954,86,29566,1
usa,1954,87,25524,1
usa,1954,88,21684,1
usa,1954,89,18088,1
usa,1954,90,14772,1
usa,1954,91,11686,1
usa,1954,92,9092,1
usa,1954,93,7108,1
usa,1954,94,5602,1
usa,1954,95,4296,1
usa,1954,96,3215.8,1
usa,1954,97,2344,1
usa,1954,98,1632,1
usa,1954,99,1070,1
usa,1954,100,654,1
usa,1954,101,374,1
usa,1954,102,200,1
usa,1954,103,100,1
usa,1954,104,0,1
usa,1954,105,0,1
usa,1954,106,0,1
usa,1954,107,0,1
usa,1954,108,0,1
usa,1954,109,0,1
usa,1954,110,0,1
usa,1954,111,0,1
usa,1954,112,0,1
usa,1954,113,0,1
usa,1954,114,0,1
usa,1954,115,0,1
usa,1954,116,0,1
usa,1954,117,0,1
usa,1954,118,0,1
usa,1954,119,0,1
usa,1954,120,0,1
usa,1954,121,0,1
usa,1954,122,0,1
usa,1954,123,0,1
usa,1954,124,0,1
usa,1954,125,0,1
usa,1954,126,0,1
usa,1954,127,0,1
usa,1954,128,0,1
usa,1954,129,0,1
usa,1954,130,0,1
usa,1955,0,780944,1
usa,1955,1,780820,1
usa,1955,2,775492,1
usa,1955,3,765524,1
usa,1955,4,751476,1
usa,1955,5,733906,1
usa,1955,6,713374,1
usa,1955,7,690444,1
usa,1955,8,665674,1
usa,1955,9,639624,1
usa,1955,10,612784,1
usa,1955,11,585640,1
usa,1955,12,559116,1
usa,1955,13,533910,1
usa,1955,14,510370,1
usa,1955,15,488038,1
usa,1955,16,466890,1
usa,1955,17,450420,1
usa,1955,18,440292,1
usa,1955,19,435236,1
usa,1955,20,431502,1
usa,1955,21,428874,1
usa,1955,22,431384,1
usa,1955,23,440354,1
usa,1955,24,453556,1
usa,1955,25,467216,1
usa,1955,26,481810,1
usa,1955,27,494352,1
usa,1955,28,502876,1
usa,1955,29,508310,1
usa,1955,30,514020,1
usa,1955,31,519910,1
usa,1955,32,521630,1
usa,1955,33,517536,1
usa,1955,34,509520,1
usa,1955,35,500852,1
usa,1955,36,490550,1
usa,1955,37,482134,1
usa,1955,38,477586,1
usa,1955,39,475132,1
usa,1955,40,471486,1
usa,1955,41,467866,1
usa,1955,42,461058,1
usa,1955,43,449314,1
usa,1955,44,434574,1
usa,1955,45,420242,1
usa,1955,46,405290,1
usa,1955,47,393226,1
usa,1955,48,386032,1
usa,1955,49,381904,1
usa,1955,50,377230,1
usa,1955,51,372942,1
usa,1955,52,367188,1
usa,1955,53,358748,1
usa,1955,54,348724,1
usa,1955,55,339134,1
usa,1955,56,329212,1
usa,1955,57,321044,1
usa,1955,58,315752,1
usa,1955,59,312088,1
usa,1955,60,307726,1
usa,1955,61,303198,1
usa,1955,62,296896,1
usa,1955,63,287808,1
usa,1955,64,276700,1
usa,1955,65,265586,1
usa,1955,66,254350,1
usa,1955,67,241772,1
usa,1955,68,227540,1
usa,1955,69,212258,1
usa,1955,70,196856,1
usa,1955,71,181162,1
usa,1955,72,166348,1
usa,1955,73,153098,1
usa,1955,74,140976,1
usa,1955,75,128866,1
usa,1955,76,116984,1
usa,1955,77,105658,1
usa,1955,78,94930,1
usa,1955,79,84766,1
usa,1955,80,61200,1
usa,1955,81,54964,1
usa,1955,82,49132,1
usa,1955,83,43956,1
usa,1955,84,39276,1
usa,1955,85,34700,1
usa,1955,86,30326,1
usa,1955,87,26180,1
usa,1955,88,22240,1
usa,1955,89,18554,1
usa,1955,90,15150,1
usa,1955,91,11986,1
usa,1955,92,9326,1
usa,1955,93,7292,1
usa,1955,94,5746,1
usa,1955,95,4406,1
usa,1955,96,3300,1
usa,1955,97,2404,1
usa,1955,98,1674,1
usa,1955,99,1096,1
usa,1955,100,670,1
usa,1955,101,382,1
usa,1955,102,204,1
usa,1955,103,102,1
usa,1955,104,0,1
usa,1955,105,0,1
usa,1955,106,0,1
usa,1955,107,0,1
usa,1955,108,0,1
usa,1955,109,0,1
usa,1955,110,0,1
usa,1955,111,0,1
usa,1955,112,0,1
usa,1955,113,0,1
usa,1955,114,0,1
usa,1955,115,0,1
usa,1955,116,0,1
usa,1955,117,0,1
usa,1955,118,0,1
usa,1955,119,0,1
usa,1955,120,0,1
usa,1955,121,0,1
usa,1955,122,0,1
usa,1955,123,0,1
usa,1955,124,0,1
usa,1955,125,0,1
usa,1955,126,0,1
usa,1955,127,0,1
usa,1955,128,0,1
usa,1955,129,0,1
usa,1955,130,0,1
usa,1956,0,804980,1
usa,1956,1,784760,1
usa,1956,2,782282,1
usa,1956,3,775584,1
usa,1956,4,765044,1
usa,1956,5,751038,1
usa,1956,6,734190,1
usa,1956,7,715124,1
usa,1956,8,692978,1
usa,1956,9,667634,1
usa,1956,10,640212,1
usa,1956,11,612398,1
usa,1956,12,584398,1
usa,1956,13,557452,1
usa,1956,14,532534,1
usa,1956,15,509746,1
usa,1956,16,488082,1
usa,1956,17,467572,1
usa,1956,18,451800,1
usa,1956,19,442396,1
usa,1956,20,438040,1
usa,1956,21,435016,1
usa,1956,22,433158,1
usa,1956,23,436002,1
usa,1956,24,444634,1
usa,1956,25,457070,1
usa,1956,26,469986,1
usa,1956,27,483760,1
usa,1956,28,495666,1
usa,1956,29,503910,1
usa,1956,30,509290,1
usa,1956,31,514876,1
usa,1956,32,520632,1
usa,1956,33,522186,1
usa,1956,34,517850,1
usa,1956,35,509554,1
usa,1956,36,500666,1
usa,1956,37,490210,1
usa,1956,38,481626,1
usa,1956,39,476874,1
usa,1956,40,474228,1
usa,1956,41,470378,1
usa,1956,42,466438,1
usa,1956,43,459752,1
usa,1956,44,448816,1
usa,1956,45,435258,1
usa,1956,46,422022,1
usa,1956,47,408292,1
usa,1956,48,396642,1
usa,1956,49,388578,1
usa,1956,50,382778,1
usa,1956,51,376536,1
usa,1956,52,370538,1
usa,1956,53,363598,1
usa,1956,54,354898,1
usa,1956,55,345184,1
usa,1956,56,335742,1
usa,1956,57,325976,1
usa,1956,58,317710,1
usa,1956,59,311868,1
usa,1956,60,307366,1
usa,1956,61,302278,1
usa,1956,62,297090,1
usa,1956,63,290098,1
usa,1956,64,280290,1
usa,1956,65,268484,1
usa,1956,66,256692,1
usa,1956,67,244738,1
usa,1956,68,231826,1
usa,1956,69,217832,1
usa,1956,70,203152,1
usa,1956,71,188346,1
usa,1956,72,173354,1
usa,1956,73,158988,1
usa,1956,74,145730,1
usa,1956,75,133330,1
usa,1956,76,121048,1
usa,1956,77,109022,1
usa,1956,78,97708,1
usa,1956,79,87260,1
usa,1956,80,64840,1
usa,1956,81,58234,1
usa,1956,82,52055.8,1
usa,1956,83,46572,1
usa,1956,84,41614,1
usa,1956,85,36764,1
usa,1956,86,32130,1
usa,1956,87,27736,1
usa,1956,88,23564,1
usa,1956,89,19656,1
usa,1956,90,16052,1
usa,1956,91,12700,1
usa,1956,92,9882,1
usa,1956,93,7726,1
usa,1956,94,6088,1
usa,1956,95,4668,1
usa,1956,96,3496,1
usa,1956,97,2548,1
usa,1956,98,1774,1
usa,1956,99,1162,1
usa,1956,100,724,1
usa,1956,101,420,1
usa,1956,102,228,1
usa,1956,103,114,1
usa,1956,104,0,1
usa,1956,105,0,1
usa,1956,106,0,1
usa,1956,107,0,1
usa,1956,108,0,1
usa,1956,109,0,1
usa,1956,110,0,1
usa,1956,111,0,1
usa,1956,112,0,1
usa,1956,113,0,1
usa,1956,114,0,1
usa,1956,115,0,1
usa,1956,116,0,1
usa,1956,117,0,1
usa,1956,118,0,1
usa,1956,119,0,1
usa,1956,120,0,1
usa,1956,121,0,1
usa,1956,122,0,1
usa,1956,123,0,1
usa,1956,124,0,1
usa,1956,125,0,1
usa,1956,126,0,1
usa,1956,127,0,1
usa,1956,128,0,1
usa,1956,129,0,1
usa,1956,130,0,1
usa,1957,0,828455.8,1
usa,1957,1,819052,1
usa,1957,2,787784,1
usa,1957,3,782952,1
usa,1957,4,774892,1
usa,1957,5,763790,1
usa,1957,6,749840,1
usa,1957,7,733732,1
usa,1957,8,716150,1
usa,1957,9,694812,1
usa,1957,10,668920,1
usa,1957,11,640150,1
usa,1957,12,611392,1
usa,1957,13,582560,1
usa,1957,14,555222,1
usa,1957,15,530616,1
usa,1957,16,508606,1
usa,1957,17,487630,1
usa,1957,18,467782,1
usa,1957,19,452722,1
usa,1957,20,444054,1
usa,1957,21,440402,1
usa,1957,22,438092,1
usa,1957,23,437010,1
usa,1957,24,440182,1
usa,1957,25,448470,1
usa,1957,26,460124,1
usa,1957,27,472284,1
usa,1957,28,485222,1
usa,1957,29,496478,1
usa,1957,30,504434,1
usa,1957,31,509756,1
usa,1957,32,515208,1
usa,1957,33,520828,1
usa,1957,34,522212,1
usa,1957,35,517638,1
usa,1957,36,509072,1
usa,1957,37,499974,1
usa,1957,38,489372,1
usa,1957,39,480628,1
usa,1957,40,475678,1
usa,1957,41,472842,1
usa,1957,42,468794,1
usa,1957,43,464536,1
usa,1957,44,457980,1
usa,1957,45,447864,1
usa,1957,46,435500,1
usa,1957,47,423376,1
usa,1957,48,410884,1
usa,1957,49,399660,1
usa,1957,50,390734,1
usa,1957,51,383266,1
usa,1957,52,375458,1
usa,1957,53,367756,1
usa,1957,54,359636,1
usa,1957,55,350684,1
usa,1957,56,341290,1
usa,1957,57,332004,1
usa,1957,58,322406,1
usa,1957,59,314050,1
usa,1957,60,307662,1
usa,1957,61,302328,1
usa,1957,62,296518,1
usa,1957,63,290676,1
usa,1957,64,282998,1
usa,1957,65,272482,1
usa,1957,66,259986,1
usa,1957,67,247526,1
usa,1957,68,234870,1
usa,1957,69,221636,1
usa,1957,70,207892,1
usa,1957,71,193828,1
usa,1957,72,179634,1
usa,1957,73,165360,1
usa,1957,74,151460,1
usa,1957,75,138206,1
usa,1957,76,125538,1
usa,1957,77,113100,1
usa,1957,78,100938,1
usa,1957,79,89652,1
usa,1957,80,67806,1
usa,1957,81,60900,1
usa,1957,82,54438,1
usa,1957,83,48702,1
usa,1957,84,43518,1
usa,1957,85,38446,1
usa,1957,86,33600,1
usa,1957,87,29006,1
usa,1957,88,24642,1
usa,1957,89,20556,1
usa,1957,90,16786,1
usa,1957,91,13280,1
usa,1957,92,10334,1
usa,1957,93,8078,1
usa,1957,94,6366,1
usa,1957,95,4882,1
usa,1957,96,3656,1
usa,1957,97,2664,1
usa,1957,98,1854,1
usa,1957,99,1216,1
usa,1957,100,740,1
usa,1957,101,428,1
usa,1957,102,230,1
usa,1957,103,116,1
usa,1957,104,0,1
usa,1957,105,0,1
usa,1957,106,0,1
usa,1957,107,0,1
usa,1957,108,0,1
usa,1957,109,0,1
usa,1957,110,0,1
usa,1957,111,0,1
usa,1957,112,0,1
usa,1957,113,0,1
usa,1957,114,0,1
usa,1957,115,0,1
usa,1957,116,0,1
usa,1957,117,0,1
usa,1957,118,0,1
usa,1957,119,0,1
usa,1957,120,0,1
usa,1957,121,0,1
usa,1957,122,0,1
usa,1957,123,0,1
usa,1957,124,0,1
usa,1957,125,0,1
usa,1957,126,0,1
usa,1957,127,0,1
usa,1957,128,0,1
usa,1957,129,0,1
usa,1957,130,0,1
usa,1958,0,848270,1
usa,1958,1,833858,1
usa,1958,2,819416,1
usa,1958,3,790454,1
usa,1958,4,783274,1
usa,1958,5,773850,1
usa,1958,6,762192,1
usa,1958,7,748308,1
usa,1958,8,732946,1
usa,1958,9,716856,1
usa,1958,10,696334,1
usa,1958,11,669906,1
usa,1958,12,639804,1
usa,1958,13,610112,1
usa,1958,14,580462,1
usa,1958,15,552744,1
usa,1958,16,528464,1
usa,1958,17,507238,1
usa,1958,18,486960,1
usa,1958,19,467782,1
usa,1958,20,453444,1
usa,1958,21,445512,1
usa,1958,22,442568,1
usa,1958,23,440970,1
usa,1958,24,440664,1
usa,1958,25,444164,1
usa,1958,26,452104,1
usa,1958,27,462972,1
usa,1958,28,474368,1
usa,1958,29,486464,1
usa,1958,30,497066,1
usa,1958,31,504732,1
usa,1958,32,509994,1
usa,1958,33,515312,1
usa,1958,34,520790,1
usa,1958,35,522006,1
usa,1958,36,517196,1
usa,1958,37,508364,1
usa,1958,38,499058,1
usa,1958,39,488316,1
usa,1958,40,479416,1
usa,1958,41,474270,1
usa,1958,42,471246,1
