time,geo,piped_water_percentage,electricity_lighting_total
1996,499,0.970759945,0.612487793
1996,760,0.965318843,0.819329122
1996,761,0.800273345,0.740215347
1996,762,0.882547108,0.520039214
1996,763,0.917633948,0.824094632
1996,764,0.873972773,0.754287823
1996,765,0.910910235,0.389064143
1996,766,0.948561997,0.577452064
1996,797,0.966062772,0.74679852
1996,798,0.975201023,0.850293738
1996,799,0.93385994,0.767783168
1996,503,0.104900131,0.164821418
1996,504,0.163614066,0.150168265
1996,505,0.164746461,0.296046885
1996,506,0.664541562,0.746284432
1996,560,0.121483624,0.138821456
1996,561,0.676866851,0.694676586
1996,562,0.362137669,0.257078205
1996,563,0.894793401,0.649373595
1996,564,0.698884888,0.477586189
1996,565,0.569809337,0.190077944
1996,566,0.913174016,0.729150085
1996,567,0.519100334,0.312329771
1996,568,0.435492041,0.494795263
1996,514,0.754967569,0.610471508
1996,569,0.547356713,0.272922154
1996,570,0.743867387,0.493629426
1996,571,0.468134241,0.251568535
1996,573,0.497443776,0.402533221
1996,582,0.142931413,0.020296213
1996,583,0.153362503,0.035867647
1996,584,0.118295955,0.106043936
1996,585,0.166383138,0.178867076
1996,586,0.237757101,0.290270164
1996,538,0.733123324,0.768177568
1996,542,0.075094632,0.012922501
1996,587,0.158658642,0.326518536
1996,588,0.112917893,0.220412982
1996,589,0.177080001,0.29998717
1996,590,0.209896434,0.178261395
1996,594,0.314299518,0.144986396
1996,595,0.760302785,0.469395919
1996,596,0.836563957,0.337513147
1996,597,0.30790682,0.130831411
1996,598,0.135642475,0.04693618
1996,574,0.899017528,0.664582253
1996,575,0.369133294,0.04685736
1996,576,0.080537451,0.018433197
1996,577,0.384938195,0.287182163
1996,524,0.86206745,0.870286815
1996,525,0.406715089,0.299761845
1996,526,0.473062102,0.293554624
1996,529,0.649039664,0.362618782
1996,578,0.523173194,0.305566721
1996,579,0.43857741,0.413508331
1996,580,0.165028318,0.130521044
1996,581,0.301655772,0.228254101
1996,546,0.018700019,0.120743265
1996,591,0.487423743,0.448226355
1996,592,0.698906978,0.660776873
1996,593,0.151028293,0.169283662
1996,599,0.940199759,0.737527596
1996,960,0.939348958,0.454065823
1996,961,0.800394255,0.495724608
1996,962,0.802712638,0.542020314
1996,963,0.915956198,0.627845726
1996,964,0.746058628,0.291069705
1996,965,0.708186917,0.079830113
1996,966,0.865122467,0.33295927
1996,967,0.873249721,0.574187647
1996,968,0.848041572,0.281902914
1996,969,0.70928829,0.186737353
1996,970,0.74095185,0.145597863
1996,973,0.869752131,0.38771131
1996,974,0.792164826,0.426531101
1996,976,0.613574864,0.339493654
1996,977,0.75199932,0.524653294
1996,978,0.670972098,0.697319598
1996,979,0.677748931,0.558278818
1996,980,0.794848512,0.518769341
1996,981,0.807194249,0.61197671
1996,982,0.732511436,0.306621663
1996,983,0.618686397,0.5439974
1996,984,0.556623035,0.692522552
1996,985,0.444023586,0.248435803
1996,986,0.606055414,0.151368487
1996,987,0.535621099,0.206356412
1996,860,0.653545689,0.247992437
1996,861,0.82524655,0.42539429
1996,862,0.671529276,0.366244398
1996,863,0.680808559,0.640302059
1996,864,0.858294168,0.455561892
1996,865,0.839217709,0.636905531
1996,866,0.952923663,0.516808317
1996,867,0.82529054,0.618748702
1996,868,0.946477227,0.702671673
1996,869,0.883676106,0.706697509
1996,870,0.756928716,0.54390147
1996,871,0.886564904,0.833848197
1996,872,0.716072272,0.737840405
1996,873,0.913145223,0.678451195
1996,874,0.840419348,0.490370629
1996,875,0.835145201,0.488321376
1996,876,0.756474764,0.253660448
1996,877,0.795745987,0.338113541
1996,660,0.495708112,0.471211877
1996,661,0.771835977,0.311826125
1996,662,0.838673093,0.504526097
1996,663,0.81211129,0.562948809
1996,664,0.895216604,0.272869337
1996,665,0.819409261,0.036355606
1996,666,0.817697811,0.357971941
1996,667,0.644582161,0.406977733
1996,668,0.815509765,0.550435864
1996,669,0.855890333,0.323997095
1996,670,0.873558468,0.617883425
1996,671,0.858431434,0.596075372
1996,672,0.76386044,0.104693154
1996,673,0.928449958,0.717416376
1996,674,0.578119877,0.182990842
1996,675,0.87962182,0.299124616
1996,676,0.930513206,0.561476824
1996,677,0.963865229,0.677710253
1996,678,0.866791625,0.61528107
1996,363,0.904078281,0.650013129
1996,364,0.930825372,0.715006795
1996,365,0.687306821,0.491251904
1996,366,0.872792162,0.690103792
