geo,name,is--country,is--un_state,world_4region,latitude,longitude
ury,Uruguay,TRUE,TRUE,americas,-33,-56
uzb,Uzbekistan,TRUE,TRUE,asia,41.66667,63.83333
wlf,Wallis et Futuna,TRUE,FALSE,asia,-13.3,-176.2
vut,Vanuatu,TRUE,TRUE,asia,-16,167
transn,Transnistria,TRUE,FALSE,europe,,
ven,Venezuela,TRUE,TRUE,americas,8,-66
pse,West Bank and Gaza,TRUE,TRUE,asia,31.92157,35.20329
esh,Western Sahara,TRUE,FALSE,africa,24.49215,-12.65625
vnm,Vietnam,TRUE,TRUE,asia,16.16667,107.83333
ussr,USSR,TRUE,FALSE,europe,,
deu_west,West Germany,TRUE,FALSE,europe,,
vir,Virgin Islands (U.S.),TRUE,FALSE,americas,18.34829,-64.98348
yem_north,North Yemen (former),TRUE,FALSE,asia,,
yem_south,South Yemen (former),TRUE,FALSE,asia,,
yem,Yemen,TRUE,TRUE,asia,15.5,47.5
yug,Yugoslavia,TRUE,FALSE,europe,,
zmb,Zambia,TRUE,TRUE,africa,-14.33333,28.5
zwe,Zimbabwe,TRUE,TRUE,africa,-19,29.75
ala,Åland,TRUE,FALSE,europe,60.25,20
ssd,South Sudan,TRUE,TRUE,africa,7.5,30
nld_curacao,Curaçao,TRUE,FALSE,americas,12.16667,-68.96667
sxm,Sint Maarten (Dutch part),TRUE,FALSE,americas,18.04167,-63.06667
maf,St. Martin (French part),TRUE,FALSE,americas,,
ata,Antarctica,TRUE,FALSE,europe,-90,0
bouisl,Bouvet Island,TRUE,FALSE,africa,,
iot,British Indian Ocean Territory,TRUE,FALSE,asia,-6,72
fra_clipperton,Clipperton,TRUE,FALSE,,,
fra_antarc,French Southern and Antarctic Lands,TRUE,FALSE,,,
pse_gaza,Gaza Strip,TRUE,FALSE,asia,,
heard_a_mcd,Heard and McDonald Islands,TRUE,FALSE,asia,,
north_mar,Northern Marianas,TRUE,FALSE,asia,,
sgero_a_ssandw,South Georgia and the South Sandwich Islands,TRUE,FALSE,americas,,
usa_minor_out_isl,US Minor Outlying Islands,TRUE,FALSE,americas,,
virg_isl,Virgin Islands,TRUE,FALSE,americas,,
pse_west_bank,West Bank,TRUE,FALSE,asia,,
