time,geo,gdp_per_cap,lex,pop,geo.name,geo.cat,geo.region
2008,and,37046.50,,82577,Andorra,country,eur
2009,and,34710.21,,83677,Andorra,country,eur
2010,and,33052.28,,84864,Andorra,country,eur
2011,and,31630.74,,86165,Andorra,country,eur
2012,and,,,87518,Andorra,country,eur
2013,and,,,88909,Andorra,country,eur
2014,and,,,90302,Andorra,country,eur
1990,_akr,,,14127,Akrotiri and Dhekelia,country,
1991,_akr,,,14227,Akrotiri and Dhekelia,country,
1992,_akr,,,14327,Akrotiri and Dhekelia,country,
1993,_akr,,,14429,Akrotiri and Dhekelia,country,
1994,_akr,,,14531,Akrotiri and Dhekelia,country,
1995,_akr,,,14633,Akrotiri and Dhekelia,country,
1996,_akr,,,14736,Akrotiri and Dhekelia,country,
1997,_akr,,,14841,Akrotiri and Dhekelia,country,
1998,_akr,,,14945,Akrotiri and Dhekelia,country,
1999,_akr,,,15051,Akrotiri and Dhekelia,country,
2000,_akr,,,15157,Akrotiri and Dhekelia,country,
2001,_akr,,,15264,Akrotiri and Dhekelia,country,
2002,_akr,,,15372,Akrotiri and Dhekelia,country,
2003,_akr,,,15481,Akrotiri and Dhekelia,country,
2004,_akr,,,15590,Akrotiri and Dhekelia,country,
2005,_akr,,,15700,Akrotiri and Dhekelia,country,
2006,_akr,,,15700,Akrotiri and Dhekelia,country,
2007,_akr,,,15700,Akrotiri and Dhekelia,country,
2008,_akr,,,15700,Akrotiri and Dhekelia,country,
2009,_akr,,,,Akrotiri and Dhekelia,country,
2010,_akr,,,,Akrotiri and Dhekelia,country,
2011,_akr,,,,Akrotiri and Dhekelia,country,
2012,_akr,,,,Akrotiri and Dhekelia,country,
2013,_akr,,,,Akrotiri and Dhekelia,country,
2014,_akr,,,,Akrotiri and Dhekelia,country,
1990,alb,3824.84,71.84,3289483,Albania,country,eur
1991,alb,2717.56,71.79,3291695,Albania,country,eur
1992,alb,2497.43,71.77,3266983,Albania,country,eur
1993,alb,2716.64,71.81,3224901,Albania,country,eur
1994,alb,2918.81,71.92,3179442,Albania,country,eur
1995,alb,3285.53,72.11,3141102,Albania,country,eur
1996,alb,3569.59,72.41,3112597,Albania,country,eur
1997,alb,3193.05,72.79,3091902,Albania,country,eur
1998,alb,3584.77,73.23,3079037,Albania,country,eur
1999,alb,3928.27,73.71,3072725,Albania,country,eur
2000,alb,4195.21,74.2,3071856,Albania,country,eur
2001,alb,4476.04,74.66,3077378,Albania,country,eur
2002,alb,4604.21,75.08,3089778,Albania,country,eur
2003,alb,4855.21,75.43,3106701,Albania,country,eur
2004,alb,5115.25,75.72,3124861,Albania,country,eur
2005,alb,5369,75.94,3141800,Albania,country,eur
2006,alb,5652.04,76.12,3156607,Albania,country,eur
2007,alb,5958.02,76.27,3169665,Albania,country,eur
2008,alb,6365.53,76.43,3181397,Albania,country,eur
2009,alb,6550.89,76.59,3192723,Albania,country,eur
2010,alb,6746.44,76.78,3204284,Albania,country,eur
2011,alb,6914.26,76.97,3215988,Albania,country,eur
2012,alb,6969.30,77.18,3227373,Albania,country,eur
2013,alb,7059.45,77.39,3238316,Albania,country,eur
2014,alb,7199.94,77.6,3248655,Albania,country,eur
1990,dza,5244.50,66.79,25299182,Algeria,country,afr
1991,dza,5061.30,67.04,25930560,Algeria,country,afr
1992,dza,5023.21,67.26,26557969,Algeria,country,afr
1993,dza,4800.31,67.46,27169903,Algeria,country,afr
1994,dza,4652.84,67.67,27751086,Algeria,country,afr
1995,dza,4732.43,67.89,28291591,Algeria,country,afr
1996,dza,4824.21,68.12,28786855,Algeria,country,afr
1997,dza,4797.29,68.35,29242917,Algeria,country,afr
1998,dza,4965.22,68.56,29673694,Algeria,country,afr
1999,dza,5048.61,68.76,30099010,Algeria,country,afr
2000,dza,5098.85,68.96,30533827,Algeria,country,afr
2001,dza,5156.44,69.14,30982214,Algeria,country,afr
2002,dza,5288.04,69.33,31441848,Algeria,country,afr
2003,dza,5576.85,69.50,31913462,Algeria,country,afr
2004,dza,5790.96,69.68,32396048,Algeria,country,afr
2005,dza,6010.99,69.85,32888449,Algeria,country,afr
2006,dza,6022.27,70.02,33391954,Algeria,country,afr
2007,dza,6133.78,70.18,33906605,Algeria,country,afr
2008,dza,6162.71,70.33,34428028,Algeria,country,afr
2009,dza,6173.72,70.47,34950168,Algeria,country,afr
2010,dza,6300.64,70.61,35468208,Algeria,country,afr
2011,dza,6354.64,70.74,35980193,Algeria,country,afr
2012,dza,6419.12,70.87,36485828,Algeria,country,afr
2013,dza,6534.73,71,36983924,Algeria,country,afr
2014,dza,6658.74,71.12,37473690,Algeria,country,afr
1990,asm,6497.34,,47052,American Samoa,country,asi
1991,asm,6604.36,,48402,American Samoa,country,asi
1992,asm,6713.14,,49648,American Samoa,country,asi
1993,asm,6823.72,,50801,American Samoa,country,asi
1994,asm,6936.11,,51885,American Samoa,country,asi
1995,asm,7050.36,,52919,American Samoa,country,asi
1996,asm,7166.49,,53901,American Samoa,country,asi
1997,asm,7284.53,,54834,American Samoa,country,asi
1998,asm,7404.51,,55745,American Samoa,country,asi
1999,asm,7526.47,,56667,American Samoa,country,asi
2000,asm,7650.44,,57625,American Samoa,country,asi
2001,asm,7776.46,,58633,American Samoa,country,asi
2002,asm,8200.79,,59687,American Samoa,country,asi
2003,asm,8648.27,,60774,American Samoa,country,asi
2004,asm,9120.17,,61871,American Samoa,country,asi
2005,asm,9617.82,,62962,American Samoa,country,asi
2006,asm,11295.55,,64045,American Samoa,country,asi
2007,asm,13265.96,,65130,American Samoa,country,asi
2008,asm,,,66217,American Samoa,country,asi
2009,asm,,,67312,American Samoa,country,asi
2010,asm,,,68420,American Samoa,country,asi
2011,asm,,,69543,American Samoa,country,asi
2012,asm,,,70680,American Samoa,country,asi
2013,asm,,,71834,American Samoa,country,asi
2014,asm,,,73009,American Samoa,country,asi
1990,ago,2777.41,41.15,10335052,Angola,country,afr
1991,ago,2730.85,41.22,10653515,Angola,country,afr
1992,ago,2627.84,41.32,11002910,Angola,country,afr
1993,ago,1869.92,41.49,11371750,Angola,country,afr
1994,ago,1851.44,41.73,11742960,Angola,country,afr
1995,ago,1989.02,42.07,12105105,Angola,country,afr
1996,ago,2157.35,42.52,12452725,Angola,country,afr
1997,ago,2277.14,43.08,12792237,Angola,country,afr
1998,ago,2384.47,43.74,13138265,Angola,country,afr
1999,ago,2417.18,44.46,13511575,Angola,country,afr
2000,ago,2446.64,45.23,13926373,Angola,country,afr
2001,ago,2479.69,46.00,14388244,Angola,country,afr
2002,ago,2773.28,46.74,14890474,Angola,country,afr
2003,ago,2785.39,47.42,15419943,Angola,country,afr
2004,ago,3007.11,48.03,15957460,Angola,country,afr
2005,ago,3532.99,48.57,16489021,Angola,country,afr
2006,ago,4148.00,49.04,17010366,Angola,country,afr
2007,ago,4950.17,49.47,17525367,Angola,country,afr
2008,ago,5488.45,49.88,18037964,Angola,country,afr
2009,ago,5475.94,50.28,18555115,Angola,country,afr
2010,ago,5497.61,50.68,19081912,Angola,country,afr
2011,ago,5546.64,51.09,19618432,Angola,country,afr
2012,ago,5838.15,51.49,20162517,Angola,country,afr
2013,ago,6018.40,51.89,20714494,Angola,country,afr
2014,ago,6267.64,52.3,21274503,Angola,country,afr
1990,aia,12335.01,,8332,Anguilla,country,ame
1991,aia,11709.28,,8669,Anguilla,country,ame
1992,aia,12197.82,,8985,Anguilla,country,ame
1993,aia,12770.83,,9277,Anguilla,country,ame
1994,aia,13477.41,,9549,Anguilla,country,ame
1995,aia,12888.09,,9805,Anguilla,country,ame
1996,aia,12957.80,,10036,Anguilla,country,ame
1997,aia,14096.12,,10244,Anguilla,country,ame
1998,aia,15298.76,,10461,Anguilla,country,ame
1999,aia,15611.94,,10727,Anguilla,country,ame
2000,aia,15551.72,,11068,Anguilla,country,ame
2001,aia,15678.67,,11498,Anguilla,country,ame
2002,aia,15179.26,,12003,Anguilla,country,ame
2003,aia,15300.11,,12548,Anguilla,country,ame
2004,aia,18278.82,,13083,Anguilla,country,ame
2005,aia,19478.90,,13574,Anguilla,country,ame
2006,aia,22716.05,,14008,Anguilla,country,ame
2007,aia,25037.54,,14393,Anguilla,country,ame
2008,aia,24145.37,,14737,Anguilla,country,ame
2009,aia,19309.74,,15055,Anguilla,country,ame
2010,aia,18220.47,,15358,Anguilla,country,ame
2011,aia,18600.58,,15645,Anguilla,country,ame
2012,aia,,,15911,Anguilla,country,ame
2013,aia,,,16158,Anguilla,country,ame
2014,aia,,,16390,Anguilla,country,ame
1990,atg,11573.56,71.35,62202,Antigua and Barbuda,country,ame
1991,atg,11751.60,71.56,62754,Antigua and Barbuda,country,ame
1992,atg,11677.35,71.78,63802,Antigua and Barbuda,country,ame
1993,atg,12036.98,72,65238,Antigua and Barbuda,country,ame
1994,atg,12477.54,72.21,66895,Antigua and Barbuda,country,ame
1995,atg,11650.35,72.44,68642,Antigua and Barbuda,country,ame
1996,atg,12104.52,72.66,70450,Antigua and Barbuda,country,ame
1997,atg,12387.28,72.88,72322,Antigua and Barbuda,country,ame
1998,atg,12613.15,73.11,74190,Antigua and Barbuda,country,ame
1999,atg,12826.30,73.32,75985,Antigua and Barbuda,country,ame
2000,atg,12738.74,73.54,77656,Antigua and Barbuda,country,ame
2001,atg,12770.73,73.75,79165,Antigua and Barbuda,country,ame
2002,atg,12874.34,73.96,80507,Antigua and Barbuda,country,ame
2003,atg,13346.28,74.16,81716,Antigua and Barbuda,country,ame
2004,atg,14114.09,74.35,82838,Antigua and Barbuda,country,ame
2005,atg,14579,74.54,83916,Antigua and Barbuda,country,ame
2006,atg,16223.38,74.72,84952,Antigua and Barbuda,country,ame
2007,atg,17161.68,74.91,85935,Antigua and Barbuda,country,ame
2008,atg,17226.58,75.08,86881,Antigua and Barbuda,country,ame
2009,atg,15219.49,75.26,87802,Antigua and Barbuda,country,ame
2010,atg,13921.51,75.43,88710,Antigua and Barbuda,country,ame
2011,atg,13508.80,75.61,89612,Antigua and Barbuda,country,ame
