geo,under_five_mortality_from_ihme_per_1000_born,time
isr,17.8,1981
isr,16.9,1982
isr,16.1,1983
isr,15.3,1984
isr,14.5,1985
isr,13.8,1986
isr,13.1,1987
isr,12.5,1988
isr,11.9,1989
isr,11.3,1990
isr,10.8,1991
isr,10.3,1992
isr,9.8,1993
isr,9.3,1994
isr,8.9,1995
isr,8.4,1996
isr,8.0,1997
isr,7.7,1998
isr,7.3,1999
isr,7.0,2000
isr,6.6,2001
isr,6.3,2002
isr,6.0,2003
isr,5.7,2004
isr,5.5,2005
isr,5.2,2006
isr,5.0,2007
isr,4.7,2008
isr,4.5,2009
isr,4.3,2010
isr,4.1,2011
isr,3.9,2012
isr,3.7,2013
isr,3.6,2014
isr,3.4,2015
ita,30.0,1970
ita,28.4,1971
ita,26.9,1972
ita,25.5,1973
ita,24.1,1974
ita,22.7,1975
ita,21.5,1976
ita,20.2,1977
ita,19.1,1978
ita,18.0,1979
ita,17.0,1980
ita,16.1,1981
ita,15.2,1982
ita,14.3,1983
ita,13.6,1984
ita,12.8,1985
ita,12.1,1986
ita,11.5,1987
ita,10.8,1988
ita,10.2,1989
ita,9.7,1990
ita,9.2,1991
ita,8.7,1992
ita,8.2,1993
ita,7.8,1994
ita,7.3,1995
ita,7.0,1996
ita,6.6,1997
ita,6.2,1998
ita,5.9,1999
ita,5.6,2000
ita,5.3,2001
ita,5.0,2002
ita,4.7,2003
ita,4.5,2004
ita,4.2,2005
ita,4.0,2006
ita,3.8,2007
ita,3.6,2008
ita,3.4,2009
ita,3.2,2010
ita,3.0,2011
ita,2.9,2012
ita,2.7,2013
ita,2.6,2014
ita,2.4,2015
jam,56.5,1970
jam,53.9,1971
jam,51.5,1972
jam,49.2,1973
jam,46.9,1974
jam,44.7,1975
jam,42.6,1976
jam,40.7,1977
jam,38.8,1978
jam,36.9,1979
jam,35.1,1980
jam,33.5,1981
jam,31.9,1982
jam,30.4,1983
jam,29.1,1984
jam,27.7,1985
jam,26.5,1986
jam,25.2,1987
jam,24.0,1988
jam,22.9,1989
jam,21.8,1990
jam,20.8,1991
jam,19.9,1992
jam,19.0,1993
jam,18.3,1994
jam,17.6,1995
jam,16.9,1996
jam,16.1,1997
jam,15.4,1998
jam,14.7,1999
jam,14.1,2000
jam,13.5,2001
jam,12.9,2002
jam,12.3,2003
jam,11.8,2004
jam,11.3,2005
jam,10.8,2006
jam,10.3,2007
jam,9.9,2008
jam,9.5,2009
jam,9.1,2010
jam,8.7,2011
jam,8.3,2012
jam,8.0,2013
jam,7.6,2014
jam,7.3,2015
jpn,19.3,1970
jpn,18.0,1971
jpn,16.8,1972
jpn,15.7,1973
jpn,14.7,1974
jpn,13.8,1975
jpn,13.0,1976
jpn,12.3,1977
jpn,11.6,1978
jpn,11.0,1979
jpn,10.5,1980
jpn,10.0,1981
jpn,9.6,1982
jpn,9.1,1983
jpn,8.7,1984
jpn,8.4,1985
jpn,8.0,1986
jpn,7.6,1987
jpn,7.3,1988
jpn,7.0,1989
jpn,6.7,1990
jpn,6.3,1991
jpn,6.0,1992
jpn,5.8,1993
jpn,5.6,1994
jpn,5.4,1995
jpn,5.1,1996
jpn,4.9,1997
jpn,4.7,1998
jpn,4.5,1999
jpn,4.3,2000
jpn,4.1,2001
jpn,4.0,2002
jpn,3.8,2003
jpn,3.7,2004
jpn,3.5,2005
jpn,3.4,2006
jpn,3.2,2007
jpn,3.1,2008
jpn,3.0,2009
jpn,2.8,2010
jpn,2.7,2011
jpn,2.6,2012
jpn,2.5,2013
jpn,2.4,2014
jpn,2.3,2015
jor,97.1,1970
jor,92.2,1971
jor,87.7,1972
jor,83.3,1973
jor,79.2,1974
jor,75.3,1975
jor,71.6,1976
jor,68.1,1977
jor,64.7,1978
jor,61.5,1979
jor,58.5,1980
jor,55.7,1981
jor,53.1,1982
jor,50.7,1983
jor,48.5,1984
jor,46.3,1985
jor,44.2,1986
jor,42.2,1987
jor,40.3,1988
jor,38.5,1989
jor,36.8,1990
jor,35.1,1991
jor,33.5,1992
jor,32.0,1993
jor,30.6,1994
jor,29.2,1995
jor,27.9,1996
jor,26.7,1997
jor,25.5,1998
jor,24.4,1999
jor,23.3,2000
jor,22.3,2001
jor,21.3,2002
jor,20.4,2003
jor,19.5,2004
jor,18.6,2005
jor,17.8,2006
jor,17.0,2007
jor,16.2,2008
jor,15.5,2009
jor,14.8,2010
jor,14.2,2011
jor,13.5,2012
jor,12.9,2013
jor,12.4,2014
jor,11.8,2015
kaz,74.4,1970
kaz,73.0,1971
kaz,71.5,1972
kaz,70.1,1973
kaz,68.9,1974
kaz,67.8,1975
kaz,66.7,1976
kaz,65.6,1977
kaz,64.5,1978
kaz,63.5,1979
kaz,62.5,1980
kaz,61.5,1981
kaz,60.5,1982
kaz,59.6,1983
kaz,58.8,1984
kaz,57.9,1985
kaz,56.9,1986
kaz,55.8,1987
kaz,54.9,1988
kaz,53.9,1989
kaz,52.9,1990
kaz,52.7,1991
kaz,51.8,1992
kaz,50.3,1993
kaz,48.8,1994
kaz,47.3,1995
kaz,45.8,1996
kaz,44.4,1997
kaz,43.1,1998
kaz,41.8,1999
kaz,40.5,2000
kaz,39.3,2001
kaz,38.0,2002
kaz,36.8,2003
kaz,35.6,2004
kaz,34.5,2005
kaz,33.4,2006
kaz,32.4,2007
kaz,31.4,2008
kaz,30.4,2009
kaz,29.5,2010
kaz,28.6,2011
kaz,27.7,2012
kaz,26.8,2013
kaz,26.0,2014
kaz,25.2,2015
ken,149.2,1970
ken,144.9,1971
ken,140.9,1972
ken,137.6,1973
ken,134.1,1974
ken,130.2,1975
ken,126.4,1976
ken,123.2,1977
ken,120.1,1978
ken,117.1,1979
ken,114.5,1980
ken,112.4,1981
ken,110.3,1982
ken,108.6,1983
ken,107.5,1984
ken,106.5,1985
ken,105.6,1986
ken,104.8,1987
ken,104.0,1988
ken,103.3,1989
ken,101.9,1990
ken,100.9,1991
ken,101.5,1992
ken,101.0,1993
ken,100.5,1994
ken,100.1,1995
ken,99.7,1996
ken,99.4,1997
ken,99.1,1998
ken,98.8,1999
ken,98.6,2000
ken,98.4,2001
ken,98.3,2002
ken,97.5,2003
ken,96.8,2004
ken,96.1,2005
ken,95.4,2006
ken,94.7,2007
ken,94.1,2008
ken,93.4,2009
ken,92.7,2010
ken,92.0,2011
ken,91.4,2012
ken,90.7,2013
ken,90.1,2014
ken,89.4,2015
kor,54.9,1970
kor,50.2,1971
kor,46.0,1972
kor,42.2,1973
kor,38.7,1974
kor,35.5,1975
kor,32.6,1976
kor,29.9,1977
kor,27.5,1978
kor,25.3,1979
kor,23.3,1980
kor,22.5,1981
kor,21.6,1982
kor,20.8,1983
kor,20.0,1984
kor,19.3,1985
kor,18.4,1986
kor,17.6,1987
kor,16.8,1988
kor,15.9,1989
kor,15.2,1990
kor,14.4,1991
kor,13.7,1992
kor,13.0,1993
kor,12.3,1994
kor,11.7,1995
kor,11.0,1996
kor,10.5,1997
kor,9.9,1998
kor,9.4,1999
kor,8.9,2000
kor,8.5,2001
kor,8.0,2002
kor,7.6,2003
kor,7.2,2004
kor,6.8,2005
kor,6.4,2006
kor,6.1,2007
kor,5.7,2008
kor,5.4,2009
kor,5.1,2010
kor,4.8,2011
kor,4.5,2012
kor,4.3,2013
kor,4.0,2014
kor,3.8,2015
kwt,58.4,1970
kwt,54.5,1971
kwt,50.9,1972
kwt,47.6,1973
kwt,44.4,1974
kwt,41.5,1975
kwt,38.8,1976
kwt,36.3,1977
kwt,34.0,1978
kwt,31.8,1979
kwt,29.8,1980
