agricultural_land_percent_of_land_area,geo,time
17.35,dza,2009
20.0,asm,1961
20.0,asm,1962
20.0,asm,1963
20.0,asm,1964
20.0,asm,1965
20.0,asm,1966
20.0,asm,1967
20.0,asm,1968
20.0,asm,1969
20.0,asm,1970
20.0,asm,1971
20.0,asm,1972
20.0,asm,1973
20.0,asm,1974
20.0,asm,1975
20.0,asm,1976
20.0,asm,1977
20.0,asm,1978
20.0,asm,1979
20.0,asm,1980
20.0,asm,1981
20.0,asm,1982
20.0,asm,1983
20.0,asm,1984
20.0,asm,1985
20.0,asm,1986
20.0,asm,1987
20.0,asm,1988
20.0,asm,1989
20.0,asm,1990
20.0,asm,1991
15.0,asm,1992
15.0,asm,1993
15.0,asm,1994
20.0,asm,1995
20.0,asm,1996
25.0,asm,1997
25.0,asm,1998
25.0,asm,1999
25.0,asm,2000
25.0,asm,2001
25.0,asm,2002
25.0,asm,2003
25.0,asm,2004
25.0,asm,2005
25.0,asm,2006
25.0,asm,2007
25.0,asm,2008
25.0,asm,2009
55.32,and,1961
55.32,and,1962
55.32,and,1963
55.32,and,1964
55.32,and,1965
55.32,and,1966
55.32,and,1967
55.32,and,1968
55.32,and,1969
55.32,and,1970
53.19,and,1971
53.19,and,1972
51.06,and,1973
51.06,and,1974
51.06,and,1975
48.94,and,1976
48.94,and,1977
48.94,and,1978
46.81,and,1979
46.81,and,1980
44.68,and,1981
44.68,and,1982
44.68,and,1983
42.55,and,1984
42.55,and,1985
42.55,and,1986
40.43,and,1987
40.43,and,1988
40.43,and,1989
38.3,and,1990
38.3,and,1991
38.3,and,1992
38.3,and,1993
38.3,and,1994
38.3,and,1995
38.3,and,1996
38.3,and,1997
38.3,and,1998
38.3,and,1999
38.3,and,2000
38.3,and,2001
38.3,and,2002
38.3,and,2003
38.3,and,2004
38.3,and,2005
38.3,and,2006
38.3,and,2007
38.3,and,2008
38.3,and,2009
45.86,ago,1961
45.88,ago,1962
45.9,ago,1963
45.92,ago,1964
45.94,ago,1965
45.96,ago,1966
45.99,ago,1967
46.01,ago,1968
46.04,ago,1969
46.04,ago,1970
46.04,ago,1971
46.04,ago,1972
46.04,ago,1973
46.04,ago,1974
46.04,ago,1975
46.04,ago,1976
46.04,ago,1977
46.04,ago,1978
46.04,ago,1979
46.04,ago,1980
46.04,ago,1981
46.04,ago,1982
46.04,ago,1983
46.04,ago,1984
46.04,ago,1985
46.04,ago,1986
46.04,ago,1987
46.04,ago,1988
46.04,ago,1989
46.04,ago,1990
46.08,ago,1991
46.12,ago,1992
46.12,ago,1993
46.12,ago,1994
46.12,ago,1995
46.12,ago,1996
46.12,ago,1997
46.12,ago,1998
46.04,ago,1999
45.96,ago,2000
45.96,ago,2001
46.03,ago,2002
46.19,ago,2003
46.19,ago,2004
46.19,ago,2005
46.19,ago,2006
46.27,ago,2007
46.27,ago,2008
46.76,ago,2009
22.73,atg,1961
20.45,atg,1962
22.73,atg,1963
20.45,atg,1964
25.0,atg,1965
25.0,atg,1966
22.73,atg,1967
22.73,atg,1968
25.0,atg,1969
25.0,atg,1970
27.27,atg,1971
27.27,atg,1972
27.27,atg,1973
27.27,atg,1974
27.27,atg,1975
27.27,atg,1976
27.27,atg,1977
27.27,atg,1978
27.27,atg,1979
27.27,atg,1980
27.27,atg,1981
27.27,atg,1982
27.27,atg,1983
29.55,atg,1984
29.55,atg,1985
29.55,atg,1986
29.55,atg,1987
29.55,atg,1988
29.55,atg,1989
29.55,atg,1990
29.55,atg,1991
29.55,atg,1992
29.55,atg,1993
29.55,atg,1994
29.55,atg,1995
29.55,atg,1996
29.55,atg,1997
29.55,atg,1998
29.55,atg,1999
29.55,atg,2000
29.55,atg,2001
29.55,atg,2002
29.55,atg,2003
29.55,atg,2004
29.55,atg,2005
29.55,atg,2006
29.55,atg,2007
29.55,atg,2008
29.55,atg,2009
50.36,arg,1961
49.85,arg,1962
49.28,arg,1963
48.71,arg,1964
48.15,arg,1965
47.85,arg,1966
47.39,arg,1967
47.22,arg,1968
47.25,arg,1969
47.24,arg,1970
47.19,arg,1971
47.15,arg,1972
47.1,arg,1973
47.06,arg,1974
47.01,arg,1975
46.96,arg,1976
46.92,arg,1977
46.87,arg,1978
46.83,arg,1979
46.78,arg,1980
46.73,arg,1981
47.05,arg,1982
47.01,arg,1983
46.96,arg,1984
46.91,arg,1985
46.87,arg,1986
46.75,arg,1987
46.55,arg,1988
46.55,arg,1989
46.55,arg,1990
46.55,arg,1991
46.76,arg,1992
46.76,arg,1993
46.75,arg,1994
46.75,arg,1995
46.93,arg,1996
46.92,arg,1997
46.92,arg,1998
47.02,arg,1999
47.05,arg,2000
47.09,arg,2001
47.13,arg,2002
47.94,arg,2003
48.81,arg,2004
49.11,arg,2005
50.33,arg,2006
51.38,arg,2007
51.52,arg,2008
51.34,arg,2009
41.08,arm,1992
41.47,arm,1993
42.13,arm,1994
43.68,arm,1995
45.86,arm,1996
46.77,arm,1997
46.63,arm,1998
46.45,arm,1999
46.45,arm,2000
46.63,arm,2001
48.84,arm,2002
50.7,arm,2003
52.84,arm,2004
56.36,arm,2005
61.66,arm,2006
61.48,arm,2007
61.34,arm,2008
61.55,arm,2009
11.11,abw,1961
11.11,abw,1962
11.11,abw,1963
11.11,abw,1964
11.11,abw,1965
11.11,abw,1966
11.11,abw,1967
11.11,abw,1968
11.11,abw,1969
11.11,abw,1970
11.11,abw,1971
11.11,abw,1972
11.11,abw,1973
11.11,abw,1974
11.11,abw,1975
11.11,abw,1976
11.11,abw,1977
11.11,abw,1978
11.11,abw,1979
11.11,abw,1980
11.11,abw,1981
11.11,abw,1982
11.11,abw,1983
11.11,abw,1984
11.11,abw,1985
11.11,abw,1986
11.11,abw,1987
11.11,abw,1988
11.11,abw,1989
11.11,abw,1990
11.11,abw,1991
11.11,abw,1992
11.11,abw,1993
11.11,abw,1994
11.11,abw,1995
11.11,abw,1996
11.11,abw,1997
11.11,abw,1998
11.11,abw,1999
11.11,abw,2000
11.11,abw,2001
11.11,abw,2002
11.11,abw,2003
11.11,abw,2004
11.11,abw,2005
11.11,abw,2006
11.11,abw,2007
11.11,abw,2008
11.11,abw,2009
60.08,aus,1961
60.36,aus,1962
60.72,aus,1963
61.05,aus,1964
61.57,aus,1965
61.72,aus,1966
62.06,aus,1967
61.81,aus,1968
62.34,aus,1969
62.71,aus,1970
62.9,aus,1971
63.06,aus,1972
63.39,aus,1973
63.49,aus,1974
63.37,aus,1975
63.49,aus,1976
62.3,aus,1977
62.03,aus,1978
62.54,aus,1979
62.86,aus,1980
62.84,aus,1981
62.23,aus,1982
61.33,aus,1983
61.58,aus,1984
61.56,aus,1985
61.29,aus,1986
61.31,aus,1987
61.48,aus,1988
60.8,aus,1989
60.46,aus,1990
60.27,aus,1991
60.68,aus,1992
59.92,aus,1993
61.06,aus,1994
60.31,aus,1995
60.56,aus,1996
60.16,aus,1997
60.37,aus,1998
59.06,aus,1999
59.29,aus,2000
59.32,aus,2001
58.19,aus,2002
57.21,aus,2003
57.29,aus,2004
57.94,aus,2005
56.61,aus,2006
55.38,aus,2007
54.32,aus,2008
53.24,aus,2009
49.12,aut,1961
49.01,aut,1962
48.39,aut,1963
48.32,aut,1964
48.32,aut,1965
47.73,aut,1966
47.63,aut,1967
47.57,aut,1968
47.27,aut,1969
47.25,aut,1970
47.23,aut,1971
47.23,aut,1972
46.0,aut,1973
46.0,aut,1974
45.97,aut,1975
44.74,aut,1976
44.85,aut,1977
45.07,aut,1978
44.41,aut,1979
44.57,aut,1980
44.74,aut,1981
44.57,aut,1982
42.47,aut,1983
42.55,aut,1984
42.58,aut,1985
42.44,aut,1986
42.44,aut,1987
42.84,aut,1988
43.03,aut,1989
42.45,aut,1990
42.68,aut,1991
42.35,aut,1992
41.87,aut,1993
41.84,aut,1994
41.63,aut,1995
41.55,aut,1996
41.52,aut,1997
41.47,aut,1998
41.12,aut,1999
41.12,aut,2000
40.95,aut,2001
40.92,aut,2002
40.95,aut,2003
39.56,aut,2004
39.58,aut,2005
39.31,aut,2006
39.3,aut,2007
38.46,aut,2008
38.43,aut,2009
53.43,aze,1992
53.55,aze,1993
53.91,aze,1994
53.95,aze,1995
54.39,aze,1996
55.14,aze,1997
56.35,aze,1998
56.74,aze,1999
57.38,aze,2000
57.45,aze,2001
57.43,aze,2002
57.52,aze,2003
57.51,aze,2004
57.56,aze,2005
57.56,aze,2006
57.56,aze,2007
57.56,aze,2008
57.58,aze,2009
0.999,bhs,1961
0.999,bhs,1962
0.999,bhs,1963
0.999,bhs,1964
0.999,bhs,1965
0.999,bhs,1966
0.999,bhs,1967
0.999,bhs,1968
0.999,bhs,1969
0.999,bhs,1970
0.999,bhs,1971
0.999,bhs,1972
0.999,bhs,1973
0.999,bhs,1974
0.999,bhs,1975
1.099,bhs,1976
1.099,bhs,1977
1.099,bhs,1978
1.099,bhs,1979
1.099,bhs,1980
1.099,bhs,1981
1.099,bhs,1982
1.099,bhs,1983
1.099,bhs,1984
1.199,bhs,1985
1.199,bhs,1986
1.199,bhs,1987
1.199,bhs,1988
1.199,bhs,1989
1.199,bhs,1990
1.199,bhs,1991
1.199,bhs,1992
1.199,bhs,1993
1.199,bhs,1994
1.199,bhs,1995
1.199,bhs,1996
1.199,bhs,1997
1.199,bhs,1998
1.199,bhs,1999
1.299,bhs,2000
1.299,bhs,2001
1.299,bhs,2002
1.299,bhs,2003
1.299,bhs,2004
1.299,bhs,2005
1.299,bhs,2006
1.299,bhs,2007
1.299,bhs,2008
1.399,bhs,2009
10.14,bhr,1961
10.14,bhr,1962
10.14,bhr,1963
10.14,bhr,1964
10.14,bhr,1965
10.14,bhr,1966
10.14,bhr,1967
10.14,bhr,1968
10.14,bhr,1969
10.14,bhr,1970
10.14,bhr,1971
10.14,bhr,1972
10.14,bhr,1973
10.14,bhr,1974
11.59,bhr,1975
14.49,bhr,1976
14.49,bhr,1977
14.49,bhr,1978
14.49,bhr,1979
14.49,bhr,1980
13.04,bhr,1981
11.59,bhr,1982
11.59,bhr,1983
11.59,bhr,1984
11.59,bhr,1985
11.59,bhr,1986
11.59,bhr,1987
11.59,bhr,1988
11.59,bhr,1989
11.59,bhr,1990
11.59,bhr,1991
12.68,bhr,1992
12.68,bhr,1993
12.68,bhr,1994
12.68,bhr,1995
12.68,bhr,1996
12.68,bhr,1997
12.68,bhr,1998
14.08,bhr,1999
12.68,bhr,2000
12.68,bhr,2001
12.68,bhr,2002
11.11,bhr,2003
10.96,bhr,2004
10.81,bhr,2005
10.81,bhr,2006
10.67,bhr,2007
9.211,bhr,2008
9.211,bhr,2009
72.83,bgd,1961
72.8,bgd,1962
72.83,bgd,1963
73.14,bgd,1964
74.03,bgd,1965
74.13,bgd,1966
74.48,bgd,1967
74.28,bgd,1968
74.33,bgd,1969
74.49,bgd,1970
74.48,bgd,1971
76.75,bgd,1972
76.74,bgd,1973
76.74,bgd,1974
76.85,bgd,1975
76.81,bgd,1976
76.75,bgd,1977
76.72,bgd,1978
76.69,bgd,1979
76.72,bgd,1980
76.68,bgd,1981
76.65,bgd,1982
76.55,bgd,1983
77.28,bgd,1984
77.03,bgd,1985
77.14,bgd,1986
77.71,bgd,1987
80.1,bgd,1988
80.23,bgd,1989
79.79,bgd,1990
79.28,bgd,1991
73.36,bgd,1992
72.57,bgd,1993
71.89,bgd,1994
72.01,bgd,1995
71.65,bgd,1996
71.94,bgd,1997
72.47,bgd,1998
72.87,bgd,1999
72.21,bgd,2000
72.24,bgd,2001
71.85,bgd,2002
71.66,bgd,2003
71.62,bgd,2004
71.53,bgd,2005
71.29,bgd,2006
71.2,bgd,2007
69.0,bgd,2008
70.29,bgd,2009
44.19,brb,1961
44.19,brb,1962
44.19,brb,1963
44.19,brb,1964
44.19,brb,1965
44.19,brb,1966
44.19,brb,1967
44.19,brb,1968
44.19,brb,1969
44.19,brb,1970
44.19,brb,1971
44.19,brb,1972
44.19,brb,1973
44.19,brb,1974
44.19,brb,1975
44.19,brb,1976
44.19,brb,1977
44.19,brb,1978
44.19,brb,1979
44.19,brb,1980
44.19,brb,1981
44.19,brb,1982
44.19,brb,1983
44.19,brb,1984
44.19,brb,1985
44.19,brb,1986
44.19,brb,1987
44.19,brb,1988
44.19,brb,1989
44.19,brb,1990
44.19,brb,1991
44.19,brb,1992
44.19,brb,1993
44.19,brb,1994
44.19,brb,1995
44.19,brb,1996
44.19,brb,1997
44.19,brb,1998
44.19,brb,1999
44.19,brb,2000
44.19,brb,2001
44.19,brb,2002
44.19,brb,2003
44.19,brb,2004
44.19,brb,2005
44.19,brb,2006
44.19,brb,2007
44.19,brb,2008
44.19,brb,2009
46.3,blr,1992
46.12,blr,1993
46.08,blr,1994
46.04,blr,1995
46.01,blr,1996
45.88,blr,1997
45.88,blr,1998
45.76,blr,1999
45.61,blr,2000
45.0,blr,2001
44.5,blr,2002
44.3,blr,2003
44.16,blr,2004
44.12,blr,2005
44.15,blr,2006
43.94,blr,2007
43.95,blr,2008
44.01,blr,2009
45.9,bel,2000
45.87,bel,2001
45.94,bel,2002
46.04,bel,2003
46.0,bel,2004
45.74,bel,2005
45.64,bel,2006
45.24,bel,2007
45.34,bel,2008
45.05,bel,2009
3.463,blz,1961
3.463,blz,1962
3.507,blz,1963
3.507,blz,1964
3.507,blz,1965
3.551,blz,1966
3.551,blz,1967
3.551,blz,1968
3.595,blz,1969
3.595,blz,1970
3.639,blz,1971
3.639,blz,1972
3.683,blz,1973
3.683,blz,1974
3.726,blz,1975
3.726,blz,1976
3.77,blz,1977
4.077,blz,1978
4.121,blz,1979
4.209,blz,1980
4.253,blz,1981
4.253,blz,1982
4.253,blz,1983
4.253,blz,1984
4.428,blz,1985
4.516,blz,1986
4.91,blz,1987
5.042,blz,1988
5.261,blz,1989
5.524,blz,1990
5.699,blz,1991
5.962,blz,1992
6.269,blz,1993
6.269,blz,1994
6.401,blz,1995
6.445,blz,1996
6.488,blz,1997
6.488,blz,1998
6.576,blz,1999
6.532,blz,2000
6.532,blz,2001
6.664,blz,2002
6.664,blz,2003
6.664,blz,2004
6.664,blz,2005
6.664,blz,2006
6.664,blz,2007
6.664,blz,2008
6.664,blz,2009
13.04,ben,1961
13.22,ben,1962
13.4,ben,1963
13.58,ben,1964
13.76,ben,1965
14.03,ben,1966
14.39,ben,1967
14.66,ben,1968
15.43,ben,1969
15.61,ben,1970
16.06,ben,1971
16.34,ben,1972
16.52,ben,1973
16.79,ben,1974
17.15,ben,1975
17.42,ben,1976
17.69,ben,1977
17.87,ben,1978
18.05,ben,1979
18.32,ben,1980
18.6,ben,1981
18.89,ben,1982
18.98,ben,1983
19.07,ben,1984
19.26,ben,1985
19.8,ben,1986
19.89,ben,1987
19.98,ben,1988
20.07,ben,1989
20.52,ben,1990
20.61,ben,1991
20.75,ben,1992
20.97,ben,1993
21.7,ben,1994
22.78,ben,1995
24.5,ben,1996
26.13,ben,1997
27.57,ben,1998
28.11,ben,1999
28.88,ben,2000
29.52,ben,2001
30.42,ben,2002
31.34,ben,2003
32.25,ben,2004
31.82,ben,2005
30.15,ben,2006
30.19,ben,2007
30.69,ben,2008
29.83,ben,2009
20.0,bmu,1961
20.0,bmu,1962
20.0,bmu,1963
20.0,bmu,1964
20.0,bmu,1965
20.0,bmu,1966
20.0,bmu,1967
20.0,bmu,1968
20.0,bmu,1969
20.0,bmu,1970
20.0,bmu,1971
20.0,bmu,1972
20.0,bmu,1973
20.0,bmu,1974
20.0,bmu,1975
20.0,bmu,1976
20.0,bmu,1977
20.0,bmu,1978
20.0,bmu,1979
20.0,bmu,1980
20.0,bmu,1981
20.0,bmu,1982
20.0,bmu,1983
20.0,bmu,1984
20.0,bmu,1985
20.0,bmu,1986
20.0,bmu,1987
20.0,bmu,1988
20.0,bmu,1989
20.0,bmu,1990
20.0,bmu,1991
20.0,bmu,1992
20.0,bmu,1993
20.0,bmu,1994
20.0,bmu,1995
20.0,bmu,1996
20.0,bmu,1997
20.0,bmu,1998
20.0,bmu,1999
20.0,bmu,2000
20.0,bmu,2001
20.0,bmu,2002
20.0,bmu,2003
20.0,bmu,2004
20.0,bmu,2005
20.0,bmu,2006
20.0,bmu,2007
0.0,bmu,2008
0.0,bmu,2009
7.681,btn,1961
7.723,btn,1962
7.723,btn,1963
7.766,btn,1964
7.787,btn,1965
7.83,btn,1966
7.83,btn,1967
7.872,btn,1968
7.872,btn,1969
8.128,btn,1970
8.128,btn,1971
8.191,btn,1972
8.191,btn,1973
8.34,btn,1974
8.34,btn,1975
8.468,btn,1976
8.511,btn,1977
8.511,btn,1978
8.617,btn,1979
8.787,btn,1980
8.787,btn,1981
8.894,btn,1982
9.149,btn,1983
9.447,btn,1984
9.447,btn,1985
9.447,btn,1986
9.894,btn,1987
9.787,btn,1988
9.617,btn,1989
9.66,btn,1990
10.72,btn,1991
10.72,btn,1992
10.72,btn,1993
12.58,btn,1994
13.95,btn,1995
13.95,btn,1996
13.95,btn,1997
13.95,btn,1998
13.95,btn,1999
13.95,btn,2000
13.95,btn,2001
13.83,btn,2002
13.88,btn,2003
14.59,btn,2004
14.64,btn,2005
14.64,btn,2006
14.64,btn,2007
13.08,btn,2008
13.21,btn,2009
27.73,bol,1961
27.64,bol,1962
27.52,bol,1963
27.58,bol,1964
27.61,bol,1965
27.65,bol,1966
27.68,bol,1967
27.72,bol,1968
27.93,bol,1969
27.97,bol,1970
28.37,bol,1971
28.87,bol,1972
28.9,bol,1973
29.39,bol,1974
29.89,bol,1975
29.92,bol,1976
30.42,bol,1977
30.45,bol,1978
30.95,bol,1979
30.98,bol,1980
31.48,bol,1981
31.51,bol,1982
31.55,bol,1983
32.05,bol,1984
32.02,bol,1985
32.5,bol,1986
32.52,bol,1987
32.54,bol,1988
32.74,bol,1989
32.73,bol,1990
33.04,bol,1991
33.08,bol,1992
33.43,bol,1993
33.56,bol,1994
33.69,bol,1995
33.77,bol,1996
34.03,bol,1997
34.13,bol,1998
34.15,bol,1999
34.15,bol,2000
34.16,bol,2001
34.26,bol,2002
33.83,bol,2003
33.8,bol,2004
34.12,bol,2005
33.88,bol,2006
34.0,bol,2007
33.99,bol,2008
34.11,bol,2009
43.14,bih,1992
42.94,bih,1993
42.75,bih,1994
42.65,bih,1995
42.55,bih,1996
42.45,bih,1997
42.35,bih,1998
41.27,bih,1999
41.76,bih,2000
41.69,bih,2001
41.63,bih,2002
42.53,bih,2003
42.53,bih,2004
42.29,bih,2005
42.33,bih,2006
42.14,bih,2007
41.76,bih,2008
41.73,bih,2009
45.88,bwa,1961
45.88,bwa,1962
45.88,bwa,1963
45.88,bwa,1964
45.88,bwa,1965
45.88,bwa,1966
45.88,bwa,1967
45.88,bwa,1968
45.88,bwa,1969
45.88,bwa,1970
45.88,bwa,1971
45.88,bwa,1972
45.88,bwa,1973
45.88,bwa,1974
45.88,bwa,1975
45.88,bwa,1976
45.88,bwa,1977
45.88,bwa,1978
45.88,bwa,1979
45.88,bwa,1980
45.88,bwa,1981
45.89,bwa,1982
45.89,bwa,1983
45.89,bwa,1984
45.89,bwa,1985
45.89,bwa,1986
45.89,bwa,1987
45.89,bwa,1988
45.9,bwa,1989
45.91,bwa,1990
45.7,bwa,1991
45.61,bwa,1992
45.79,bwa,1993
45.87,bwa,1994
45.78,bwa,1995
45.78,bwa,1996
45.7,bwa,1997
45.58,bwa,1998
45.6,bwa,1999
45.79,bwa,2000
45.53,bwa,2001
45.61,bwa,2002
45.52,bwa,2003
45.57,bwa,2004
45.6,bwa,2005
45.6,bwa,2006
45.62,bwa,2007
45.62,bwa,2008
45.62,bwa,2009
17.79,bra,1961
18.43,bra,1962
19.09,bra,1963
19.63,bra,1964
20.14,bra,1965
20.7,bra,1966
21.23,bra,1967
21.9,bra,1968
22.91,bra,1969
23.1,bra,1970
23.6,bra,1971
23.98,bra,1972
24.34,bra,1973
24.83,bra,1974
25.23,bra,1975
25.53,bra,1976
25.84,bra,1977
26.01,bra,1978
26.3,bra,1979
26.51,bra,1980
26.69,bra,1981
26.97,bra,1982
27.05,bra,1983
27.18,bra,1984
27.31,bra,1985
27.67,bra,1986
27.87,bra,1987
28.1,bra,1988
28.3,bra,1989
28.56,bra,1990
28.95,bra,1991
29.16,bra,1992
29.49,bra,1993
29.72,bra,1994
30.55,bra,1995
30.62,bra,1996
30.68,bra,1997
30.75,bra,1998
30.82,bra,1999
30.9,bra,2000
31.14,bra,2001
31.16,bra,2002
31.18,bra,2003
31.27,bra,2004
31.27,bra,2005
31.27,bra,2006
31.27,bra,2007
31.29,bra,2008
31.27,bra,2009
3.985,brn,1961
3.985,brn,1962
3.985,brn,1963
4.554,brn,1964
4.554,brn,1965
4.364,brn,1966
4.364,brn,1967
4.554,brn,1968
4.554,brn,1969
4.554,brn,1970
3.605,brn,1971
3.416,brn,1972
3.416,brn,1973
3.416,brn,1974
3.416,brn,1975
3.226,brn,1976
2.846,brn,1977
2.846,brn,1978
2.846,brn,1979
2.657,brn,1980
2.657,brn,1981
2.467,brn,1982
2.467,brn,1983
2.277,brn,1984
2.277,brn,1985
2.277,brn,1986
2.277,brn,1987
2.277,brn,1988
2.277,brn,1989
2.087,brn,1990
2.087,brn,1991
2.087,brn,1992
2.087,brn,1993
2.087,brn,1994
1.898,brn,1995
1.898,brn,1996
1.898,brn,1997
1.898,brn,1998
1.898,brn,1999
1.898,brn,2000
2.087,brn,2001
2.087,brn,2002
2.087,brn,2003
2.087,brn,2004
2.087,brn,2005
1.898,brn,2006
2.087,brn,2007
2.087,brn,2008
2.087,brn,2009
51.28,bgr,1961
51.39,bgr,1962
51.46,bgr,1963
52.17,bgr,1964
52.36,bgr,1965
52.45,bgr,1966
53.0,bgr,1967
53.16,bgr,1968
54.43,bgr,1969
54.33,bgr,1970
54.32,bgr,1971
54.43,bgr,1972
54.07,bgr,1973
54.58,bgr,1974
53.83,bgr,1975
56.02,bgr,1976
56.1,bgr,1977
56.14,bgr,1978
56.1,bgr,1979
55.87,bgr,1980
55.85,bgr,1981
55.88,bgr,1982
55.83,bgr,1983
55.79,bgr,1984
55.76,bgr,1985
55.74,bgr,1986
55.74,bgr,1987
55.7,bgr,1988
55.75,bgr,1989
55.67,bgr,1990
55.69,bgr,1991
55.63,bgr,1992
55.33,bgr,1993
55.67,bgr,1994
55.72,bgr,1995
55.72,bgr,1996
56.07,bgr,1997
51.03,bgr,1998
51.33,bgr,1999
50.46,bgr,2000
49.7,bgr,2001
48.94,bgr,2002
48.97,bgr,2003
49.01,bgr,2004
48.46,bgr,2005
47.5,bgr,2006
47.1,bgr,2007
46.97,bgr,2008
46.33,bgr,2009
29.75,bfa,1961
29.78,bfa,1962
29.82,bfa,1963
29.86,bfa,1964
29.89,bfa,1965
29.93,bfa,1966
29.97,bfa,1967
30.01,bfa,1968
30.05,bfa,1969
30.1,bfa,1970
30.04,bfa,1971
30.34,bfa,1972
30.6,bfa,1973
30.9,bfa,1974
31.2,bfa,1975
31.38,bfa,1976
31.56,bfa,1977
31.74,bfa,1978
31.93,bfa,1979
32.11,bfa,1980
32.29,bfa,1981
32.47,bfa,1982
32.66,bfa,1983
32.84,bfa,1984
33.02,bfa,1985
33.21,bfa,1986
33.41,bfa,1987
34.96,bfa,1988
35.09,bfa,1989
35.0,bfa,1990
34.9,bfa,1991
34.81,bfa,1992
34.72,bfa,1993
34.47,bfa,1994
34.54,bfa,1995
34.9,bfa,1996
35.82,bfa,1997
36.37,bfa,1998
36.55,bfa,1999
36.92,bfa,2000
38.74,bfa,2001
39.11,bfa,2002
39.84,bfa,2003
39.84,bfa,2004
39.88,bfa,2005
40.42,bfa,2006
41.15,bfa,2007
45.18,bfa,2008
43.73,bfa,2009
61.33,bdi,1961
61.92,bdi,1962
62.46,bdi,1963
62.5,bdi,1964
63.24,bdi,1965
63.12,bdi,1966
64.88,bdi,1967
65.26,bdi,1968
73.87,bdi,1969
73.21,bdi,1970
73.95,bdi,1971
74.22,bdi,1972
77.88,bdi,1973
79.05,bdi,1974
80.22,bdi,1975
81.58,bdi,1976
83.45,bdi,1977
83.53,bdi,1978
83.72,bdi,1979
83.72,bdi,1980
83.72,bdi,1981
83.72,bdi,1982
83.72,bdi,1983
83.72,bdi,1984
83.72,bdi,1985
84.11,bdi,1986
83.72,bdi,1987
83.53,bdi,1988
82.94,bdi,1989
82.75,bdi,1990
82.75,bdi,1991
83.14,bdi,1992
83.14,bdi,1993
83.14,bdi,1994
83.53,bdi,1995
83.72,bdi,1996
84.11,bdi,1997
87.85,bdi,1998
87.89,bdi,1999
88.4,bdi,2000
89.84,bdi,2001
91.16,bdi,2002
90.73,bdi,2003
91.32,bdi,2004
89.02,bdi,2005
86.45,bdi,2006
85.28,bdi,2007
85.28,bdi,2008
83.72,bdi,2009
19.93,khm,1961
20.01,khm,1962
20.07,khm,1963
20.37,khm,1964
20.55,khm,1965
