geo,all_forms_of_tb_number_of_new_cases_reported,time
arm,702,1983
arm,774,1984
arm,768,1985
arm,832,1986
arm,766,1987
arm,651,1988
arm,649,1989
arm,590,1990
arm,741,1991
arm,235,1992
arm,590,1993
arm,753,1994
arm,1157,1995
arm,928,1996
arm,1026,1997
arm,1455,1998
arm,1488,1999
arm,1333,2000
arm,1389,2001
arm,1433,2002
arm,1538,2003
arm,1660,2004
arm,2206,2005
arm,1767,2006
arm,1682,2007
aus,1457,1980
aus,1386,1981
aus,1270,1982
aus,1219,1983
aus,1299,1984
aus,1088,1985
aus,906,1986
aus,907,1987
aus,954,1988
aus,952,1989
aus,1016,1990
aus,950,1991
aus,1011,1992
aus,991,1993
aus,1057,1994
aus,1073,1995
aus,1145,1997
aus,899,1998
aus,1073,1999
aus,1043,2000
aus,980,2001
aus,1013,2002
aus,949,2003
aus,1059,2004
aus,1046,2005
aus,1159,2006
aus,1115,2007
aut,2191,1980
aut,2061,1981
aut,1942,1982
aut,1825,1983
aut,1765,1984
aut,1442,1985
aut,1377,1986
aut,1390,1987
aut,1402,1988
aut,1334,1989
aut,1521,1990
aut,1426,1991
aut,1354,1992
aut,1267,1993
aut,1264,1994
aut,1481,1995
aut,1290,1996
aut,1394,1997
aut,1302,1998
aut,1085,1999
aut,1185,2000
aut,1013,2001
aut,1044,2002
aut,946,2003
aut,895,2004
aut,928,2005
aut,855,2006
aut,811,2007
aze,3080,1980
aze,3180,1981
aze,3217,1982
aze,3176,1983
aze,3506,1984
aze,3772,1985
aze,3804,1986
aze,3677,1987
aze,3340,1988
aze,2989,1989
aze,2620,1990
aze,2771,1991
aze,2821,1992
aze,3036,1993
aze,2839,1994
aze,1630,1995
aze,2480,1996
aze,4635,1997
aze,4672,1998
aze,4654,1999
aze,5187,2000
aze,4898,2001
aze,5142,2002
aze,3840,2003
aze,5404,2004
aze,6034,2005
aze,5705,2006
aze,5521,2007
bhs,70,1980
bhs,67,1981
bhs,54,1982
bhs,58,1983
bhs,53,1984
bhs,63,1985
bhs,52,1986
bhs,43,1987
bhs,51,1988
bhs,52,1989
bhs,46,1990
bhs,53,1991
bhs,63,1992
bhs,60,1993
bhs,78,1994
bhs,57,1995
bhs,59,1996
bhs,88,1997
bhs,75,1998
bhs,76,1999
bhs,82,2000
bhs,44,2002
bhs,38,2003
bhs,53,2004
bhs,46,2007
bhr,219,1980
bhr,262,1981
bhr,156,1982
bhr,232,1983
bhr,208,1984
bhr,194,1985
bhr,156,1986
bhr,120,1987
bhr,142,1988
bhr,122,1989
bhr,117,1990
bhr,142,1991
bhr,140,1992
bhr,114,1993
bhr,43,1995
bhr,49,1996
bhr,45,1997
bhr,83,1998
bhr,145,1999
bhr,207,2000
bhr,188,2001
bhr,191,2002
bhr,261,2003
bhr,244,2004
bhr,280,2005
bhr,278,2006
bhr,296,2007
bgd,39770,1980
bgd,42640,1981
bgd,49870,1982
bgd,52960,1983
bgd,45680,1984
bgd,41800,1985
bgd,45600,1986
bgd,45360,1987
bgd,44280,1988
bgd,45190,1989
bgd,48670,1990
bgd,56050,1991
bgd,31400,1992
bgd,54000,1993
bgd,48280,1994
bgd,56440,1995
bgd,63470,1996
bgd,63420,1997
bgd,72260,1998
bgd,79340,1999
bgd,75560,2000
bgd,76300,2001
bgd,81960,2002
bgd,88160,2003
bgd,98340,2004
bgd,123100,2005
bgd,145200,2006
bgd,147300,2007
brb,64,1980
brb,3,1981
brb,30,1982
brb,17,1983
brb,14,1984
brb,12,1985
brb,7,1986
brb,3,1987
brb,4,1988
brb,5,1989
brb,5,1990
brb,5,1991
brb,6,1992
brb,3,1995
brb,3,1996
brb,5,1997
brb,7,1998
brb,2,1999
brb,3,2000
brb,6,2001
brb,5,2002
brb,19,2004
brb,5,2006
brb,16,2007
blr,5954,1980
blr,6198,1981
blr,5468,1982
blr,5509,1983
blr,5065,1984
blr,4873,1985
blr,4128,1986
blr,3911,1987
blr,3769,1988
blr,3708,1989
blr,3039,1990
blr,3745,1991
blr,2414,1992
blr,4134,1993
blr,4348,1994
blr,4854,1995
blr,5598,1996
blr,5985,1997
blr,6150,1998
blr,7339,1999
blr,6799,2000
blr,5505,2001
blr,5139,2002
blr,5106,2003
blr,5443,2004
blr,5308,2005
blr,5142,2006
blr,5351,2007
bel,2687,1980
bel,2837,1981
bel,2652,1982
bel,2190,1983
bel,2149,1984
bel,1956,1985
bel,1893,1986
bel,1772,1987
bel,1588,1988
bel,1648,1989
bel,1577,1990
bel,1462,1991
bel,1335,1992
bel,1503,1993
bel,1521,1994
bel,1380,1995
bel,1348,1996
bel,1263,1997
bel,1203,1998
bel,1124,1999
bel,1278,2000
bel,1321,2001
bel,1211,2002
bel,1030,2003
bel,1128,2004
bel,1076,2005
bel,1043,2006
bel,955,2007
blz,21,1980
blz,33,1981
blz,44,1982
blz,140,1983
blz,35,1984
blz,25,1985
blz,23,1986
blz,41,1987
blz,28,1988
blz,30,1989
blz,57,1990
blz,89,1991
blz,65,1992
blz,80,1993
blz,59,1994
blz,95,1995
blz,99,1996
blz,107,1997
blz,123,1998
blz,104,1999
blz,106,2000
blz,136,2001
blz,135,2002
blz,99,2003
blz,83,2004
blz,102,2005
blz,85,2006
blz,63,2007
ben,1835,1980
ben,1862,1981
ben,1793,1982
ben,1804,1983
ben,1913,1984
ben,2041,1985
ben,2162,1986
ben,1901,1987
ben,2027,1988
ben,1941,1989
ben,2084,1990
ben,2162,1991
ben,2420,1992
ben,2340,1993
ben,2119,1994
ben,2332,1995
ben,2284,1996
ben,2255,1997
ben,2316,1998
ben,2552,1999
ben,2706,2000
ben,2830,2002
ben,2932,2003
ben,3116,2004
ben,3270,2005
ben,3619,2006
bmu,1,1980
bmu,2,1981
bmu,5,1982
bmu,10,1983
bmu,3,1984
bmu,3,1985
bmu,6,1986
bmu,2,1987
bmu,1,1988
bmu,2,1989
bmu,0,1990
bmu,3,1991
bmu,4,1992
bmu,4,1995
bmu,0,1996
bmu,4,1997
bmu,0,1998
bmu,0,1999
bmu,0,2000
bmu,0,2001
bmu,0,2002
bmu,6,2004
bmu,3,2006
btn,1539,1980
btn,2657,1981
btn,720,1982
btn,1017,1983
btn,904,1984
btn,1073,1985
btn,1582,1986
btn,608,1987
btn,1126,1988
btn,1525,1989
btn,1154,1990
btn,996,1991
btn,140,1992
btn,108,1993
btn,1159,1994
btn,1299,1995
btn,1271,1996
btn,1211,1997
btn,1292,1998
btn,1174,1999
btn,1140,2000
btn,1037,2001
btn,1089,2002
btn,1026,2003
btn,988,2004
btn,1007,2005
btn,917,2006
btn,999,2007
bol,4412,1980
bol,5072,1981
bol,4777,1982
bol,5178,1983
bol,4131,1984
bol,7679,1985
bol,6837,1986
bol,8960,1987
bol,10660,1988
bol,12560,1989
bol,11170,1990
bol,11220,1991
bol,9520,1992
bol,8614,1993
bol,9431,1994
bol,14420,1995
bol,10190,1996
bol,9853,1997
bol,10130,1998
bol,9863,1999
bol,10130,2000
bol,10530,2001
bol,10200,2002
bol,9836,2003
bol,9801,2004
bol,9748,2005
bol,9014,2006
bol,8574,2007
bih,4421,1980
bih,4376,1981
bih,4678,1982
bih,4468,1983
bih,4691,1984
bih,4666,1985
bih,4605,1986
bih,4522,1987
bih,4093,1988
bih,4176,1989
bih,4073,1990
bih,3546,1991
bih,600,1992
bih,680,1993
bih,1595,1994
bih,2132,1995
bih,2220,1996
bih,2869,1997
bih,2711,1998
bih,2923,1999
bih,2476,2000
bih,2469,2001
bih,1691,2002
bih,1740,2003
bih,2353,2004
bih,2111,2005
bih,1778,2006
bih,2373,2007
bwa,2662,1980
bwa,2605,1981
bwa,2705,1982
bwa,2883,1983
bwa,3101,1984
bwa,2706,1985
bwa,2627,1986
bwa,3173,1987
bwa,2740,1988
bwa,2532,1989
bwa,2938,1990
bwa,3274,1991
bwa,4179,1992
bwa,4654,1993
bwa,4756,1994
bwa,5665,1995
bwa,6636,1996
bwa,7287,1997
bwa,7960,1998
bwa,8647,1999
bwa,9292,2000
bwa,9618,2001
bwa,10200,2002
bwa,9862,2003
bwa,10130,2004
bwa,10060,2005
bwa,8413,2006
bwa,7622,2007
bra,72610,1980
bra,86410,1981
bra,87820,1982
bra,86620,1983
bra,88360,1984
bra,84310,1985
bra,83730,1986
bra,81830,1987
bra,82400,1988
bra,80050,1989
bra,74570,1990
bra,84990,1991
bra,85960,1992
bra,75760,1994
bra,91010,1995
bra,87250,1996
bra,83310,1997
bra,95010,1998
bra,78870,1999
bra,77900,2000
bra,74470,2001
bra,81440,2002
bra,80110,2003
bra,86880,2004
bra,80210,2005
bra,77630,2006
bra,74760,2007
vgb,3,1997
vgb,1,2000
vgb,1,2001
vgb,1,2002
vgb,1,2003
vgb,2,2004
vgb,0,2005
vgb,0,2007
brn,196,1980
brn,285,1981
brn,245,1982
brn,276,1983
brn,256,1984
brn,238,1985
brn,212,1986
brn,189,1987
brn,126,1988
brn,128,1989
brn,143,1990
brn,180,1992
brn,160,1993
brn,160,1997
brn,272,1999
brn,307,2000
brn,216,2001
brn,230,2002
brn,206,2003
brn,176,2004
brn,163,2005
brn,202,2006
brn,207,2007
bgr,3280,1980
bgr,3007,1981
bgr,2999,1982
bgr,2892,1983
bgr,2856,1984
bgr,2555,1985
bgr,2530,1986
bgr,2352,1987
bgr,2387,1988
bgr,2301,1989
bgr,2256,1990
bgr,2606,1991
bgr,3096,1992
bgr,3213,1993
bgr,5296,1994
bgr,3245,1995
bgr,3109,1996
bgr,3437,1997
bgr,4117,1998
bgr,3530,1999
bgr,3349,2000
bgr,3862,2001
bgr,3335,2002
bgr,3069,2003
bgr,3025,2004
bgr,3225,2005
bgr,3136,2006
bgr,2848,2007
bfa,2577,1980
bfa,2391,1981
bfa,2265,1982
bfa,3061,1983
bfa,877,1984
bfa,4547,1985
bfa,1018,1986
bfa,1407,1987
bfa,949,1988
bfa,1616,1989
bfa,1497,1990
bfa,1488,1991
bfa,1443,1993
bfa,861,1994
bfa,2572,1995
bfa,1814,1996
bfa,1643,1997
bfa,2074,1998
bfa,2310,1999
bfa,2310,2000
bfa,2406,2001
bfa,2376,2002
bfa,2620,2003
bfa,2878,2004
bfa,3484,2005
bfa,3941,2006
bfa,3960,2007
bdi,789,1980
bdi,643,1981
bdi,951,1982
bdi,1053,1983
bdi,1904,1984
bdi,2317,1985
bdi,2569,1986
bdi,2739,1987
bdi,3745,1988
bdi,4608,1989
bdi,4575,1990
bdi,4883,1991
bdi,4464,1992
bdi,4677,1993
bdi,3840,1994
bdi,3326,1995
bdi,3796,1996
bdi,5335,1997
bdi,6546,1998
bdi,6365,1999
bdi,6478,2001
bdi,6371,2002
bdi,6871,2003
bdi,7164,2004
bdi,6585,2005
bdi,6114,2006
bdi,6284,2007
khm,2576,1980
khm,1980,1981
khm,8158,1982
khm,7572,1983
khm,10240,1984
khm,10140,1985
khm,10320,1986
khm,9106,1987
khm,10690,1988
khm,7906,1989
khm,6501,1990
khm,10900,1991
khm,16150,1992
khm,13270,1993
khm,15170,1994
khm,14600,1995
khm,14860,1996
khm,15630,1997
khm,16950,1998
khm,19270,1999
khm,18890,2000
khm,19170,2001
khm,24610,2002
khm,28220,2003
khm,30840,2004
khm,35540,2005
khm,34660,2006
khm,35600,2007
cmr,2434,1980
cmr,2236,1981
cmr,3765,1982
cmr,3445,1983
cmr,3338,1984
cmr,3393,1985
cmr,2138,1986
cmr,3878,1987
cmr,4982,1988
cmr,5521,1989
cmr,5892,1990
cmr,6814,1991
cmr,6803,1992
cmr,7064,1993
cmr,7312,1994
cmr,3292,1995
cmr,3049,1996
cmr,3952,1997
cmr,5022,1998
cmr,7660,1999
cmr,5251,2000
cmr,11310,2001
cmr,11060,2002
cmr,15960,2003
cmr,17660,2004
cmr,21500,2005
cmr,23480,2006
cmr,24060,2007
can,2762,1980
can,2526,1981
can,2473,1982
can,2355,1983
can,2356,1984
can,2144,1985
can,2145,1986
can,1972,1987
can,1947,1988
can,2035,1989
can,1968,1990
can,2012,1991
can,2107,1992
can,2011,1993
can,2066,1994
can,1921,1995
can,1849,1996
can,1969,1997
can,1773,1998
can,1791,1999
can,1667,2000
can,1657,2001
can,1602,2002
can,1574,2003
can,1533,2004
can,1484,2005
can,1434,2006
can,1476,2007
cpv,516,1980
cpv,344,1981
cpv,393,1982
cpv,230,1983
cpv,285,1984
cpv,259,1985
cpv,285,1987
cpv,276,1988
cpv,210,1989
cpv,221,1990
cpv,303,1995
cpv,179,1996
cpv,196,1997
cpv,205,1998
cpv,291,2001
cpv,195,2002
cpv,316,2003
cpv,294,2004
cpv,292,2005
cpv,262,2006
cpv,274,2007
cym,0,1980
cym,2,1981
cym,0,1982
cym,1,1983
cym,1,1984
cym,4,1985
cym,1,1986
cym,0,1987
cym,0,1988
cym,2,1989
cym,2,1990
cym,3,1991
cym,3,1992
cym,2,1993
cym,2,1995
cym,0,1996
cym,0,1997
cym,3,1998
cym,2,1999
cym,5,2000
cym,1,2001
cym,0,2002
cym,0,2003
cym,1,2004
cym,0,2006
cym,1,2007
caf,651,1980
caf,758,1981
caf,1475,1982
caf,1686,1983
caf,468,1984
caf,520,1985
caf,779,1986
caf,499,1987
caf,814,1988
caf,64,1989
caf,2124,1990
caf,2045,1991
caf,3339,1995
caf,3623,1996
caf,4459,1997
caf,4875,1998
caf,5003,1999
caf,2550,2001
caf,4837,2002
caf,3932,2003
caf,3908,2004
caf,3210,2005
caf,6045,2006
tcd,220,1980
tcd,286,1981
tcd,127,1982
tcd,1977,1983
tcd,1430,1984
tcd,1486,1985
tcd,1285,1986
tcd,1086,1987
tcd,2977,1988
tcd,2572,1989
tcd,2591,1990
tcd,2912,1991
tcd,2684,1992
tcd,2871,1993
tcd,3303,1994
tcd,3186,1995
tcd,1936,1996
tcd,2180,1997
tcd,2784,1998
tcd,4710,1999
tcd,5077,2002
tcd,4679,2003
tcd,4946,2004
tcd,6311,2005
tcd,5879,2007
chl,8523,1980
chl,7337,1981
chl,6941,1982
chl,6989,1983
chl,6561,1984
chl,6644,1985
chl,6854,1986
chl,6280,1987
chl,6324,1988
chl,6728,1989
chl,6151,1990
chl,5498,1991
chl,5304,1992
chl,4598,1993
chl,4138,1994
chl,4150,1995
chl,4178,1996
chl,3880,1997
chl,3652,1998
chl,3429,1999
chl,3021,2000
chl,3006,2001
chl,2448,2002
chl,2226,2003
chl,2664,2004
chl,2134,2005
chl,2486,2006
chl,2418,2007
chn,98650,1982
chn,117600,1983
chn,151600,1984
chn,226900,1985
chn,265100,1986
chn,251600,1987
chn,304600,1988
chn,310600,1989
chn,375500,1990
chn,345000,1991
chn,320400,1992
chn,344200,1993
chn,363800,1994
chn,515800,1995
chn,504800,1996
chn,466400,1997
chn,445700,1998
chn,449500,1999
chn,454400,2000
chn,470200,2001
chn,462600,2002
chn,615900,2003
chn,790600,2004
chn,894400,2005
chn,940900,2006
chn,979500,2007
col,11590,1980
col,11480,1981
col,12130,1982
col,13720,1983
col,12790,1984
col,12020,1985
col,11640,1986
col,11440,1987
col,11470,1988
col,11330,1989
col,12450,1990
col,12260,1991
col,11200,1992
col,11040,1993
col,8901,1994
col,9912,1995
col,9702,1996
col,8042,1997
col,9155,1998
col,11000,1999
col,11630,2000
col,11480,2001
col,11380,2002
col,11640,2003
col,11240,2004
col,10360,2005
col,11130,2006
col,10950,2007
com,212,1988
com,139,1989
com,140,1990
com,119,1991
com,108,1992
com,129,1993
com,115,1994
com,123,1995
com,138,1996
com,134,1997
com,132,1998
com,153,1999
com,120,2000
com,138,2001
com,111,2002
com,73,2003
com,89,2004
com,111,2005
com,112,2006
cog,742,1980
cog,1214,1981
cog,3716,1982
cog,4156,1983
cog,2776,1984
cog,2648,1985
cog,3120,1986
cog,3473,1987
cog,3878,1988
cog,4363,1989
cog,591,1990
cog,618,1991
cog,1179,1992
cog,1976,1993
cog,2992,1994
cog,3615,1995
cog,4469,1996
cog,3417,1997
cog,3863,1998
cog,5023,1999
cog,9239,2000
cog,9735,2001
cog,9888,2002
cog,7782,2003
cog,9729,2004
cog,9853,2005
cog,8478,2006
cog,9002,2007
cok,37,1980
cok,10,1981
cok,19,1982
cok,29,1983
cok,20,1984
cok,36,1985
cok,17,1986
cok,16,1987
cok,20,1988
cok,1,1989
cok,0,1990
cok,1,1991
cok,6,1992
cok,5,1993
cok,4,1994
cok,2,1995
cok,1,1996
cok,2,1997
cok,0,1998
cok,3,1999
cok,1,2000
cok,2,2001
cok,1,2002
cok,0,2003
cok,1,2004
cok,1,2005
cok,1,2006
cri,396,1980
cri,521,1981
cri,459,1982
cri,479,1983
cri,393,1984
cri,376,1985
cri,418,1986
cri,434,1987
cri,442,1988
cri,311,1989
cri,230,1990
cri,201,1991
cri,118,1992
cri,313,1993
cri,325,1994
cri,586,1995
cri,636,1996
cri,692,1997
cri,730,1998
cri,851,1999
cri,585,2000
cri,630,2001
cri,543,2002
cri,527,2003
cri,712,2004
cri,534,2005
cri,488,2006
cri,550,2007
hrv,3999,1980
hrv,4021,1981
hrv,3718,1982
hrv,3632,1983
hrv,3612,1984
hrv,3605,1985
hrv,3355,1986
hrv,3326,1987
hrv,2973,1988
hrv,2861,1989
hrv,2576,1990
hrv,2158,1991
hrv,2189,1992
hrv,2279,1993
hrv,2217,1994
hrv,2114,1995
hrv,2174,1996
hrv,2054,1997
hrv,2118,1998
hrv,1765,1999
hrv,1630,2000
hrv,1376,2001
hrv,1443,2002
hrv,1356,2003
hrv,1170,2004
hrv,1050,2005
hrv,1029,2006
hrv,951,2007
cub,1133,1980
cub,833,1981
cub,815,1982
cub,762,1983
cub,705,1984
cub,680,1985
cub,656,1986
cub,630,1987
cub,628,1988
cub,581,1989
cub,546,1990
cub,514,1991
cub,410,1992
cub,790,1993
cub,1681,1994
cub,1553,1995
cub,1465,1996
cub,1346,1997
cub,1234,1998
cub,1135,1999
cub,1183,2000
cub,926,2001
cub,898,2002
cub,840,2003
cub,784,2004
cub,770,2005
cub,765,2006
cub,762,2007
cyp,69,1980
cyp,69,1981
cyp,86,1982
cyp,73,1983
cyp,39,1984
cyp,61,1985
cyp,48,1986
cyp,35,1987
cyp,39,1988
cyp,23,1989
cyp,29,1990
cyp,43,1991
cyp,39,1992
cyp,37,1993
cyp,37,1994
cyp,36,1995
cyp,24,1996
cyp,47,1997
cyp,45,1998
cyp,39,1999
cyp,33,2000
cyp,40,2001
cyp,20,2002
cyp,35,2003
cyp,30,2004
cyp,34,2005
cyp,36,2006
cyp,41,2007
cze,4962,1980
cze,4312,1981
cze,4146,1982
cze,4016,1983
cze,3653,1984
cze,3117,1985
cze,2553,1986
cze,2196,1987
cze,2047,1988
cze,1905,1989
cze,1937,1990
cze,2079,1991
cze,1986,1992
cze,1864,1993
cze,1960,1994
cze,1834,1995
cze,1969,1996
cze,1834,1997
cze,1805,1998
cze,1605,1999
cze,1414,2000
cze,1291,2001
cze,1156,2002
cze,1101,2003
cze,1027,2004
cze,973,2005
cze,941,2006
cze,790,2007
civ,4197,1980
civ,4418,1981
civ,5000,1982
civ,6000,1983
civ,6062,1984
civ,5729,1985
civ,6072,1986
civ,6422,1987
civ,6556,1988
civ,6982,1989
civ,7841,1990
civ,8021,1991
civ,9093,1992
civ,9563,1993
civ,14000,1994
civ,11990,1995
civ,13100,1996
civ,13800,1997
civ,14840,1998
civ,15060,1999
civ,12940,2000
civ,16530,2001
civ,16070,2002
civ,17740,2003
civ,20080,2004
civ,19680,2005
civ,20750,2006
civ,23030,2007
prk,0,1988
prk,11050,1997
prk,1152,1998
prk,12290,1999
prk,34130,2000
prk,29280,2001
prk,40160,2002
prk,41810,2003
prk,44600,2004
prk,42720,2005
prk,44560,2006
prk,58800,2007
cod,5122,1980
cod,3051,1981
cod,9905,1982
cod,13020,1983
cod,20420,1984
cod,26080,1985
cod,27660,1986
cod,27100,1987
cod,30270,1988
cod,31320,1989
cod,21130,1990
cod,33780,1991
cod,37660,1992
cod,36650,1993
cod,38480,1994
cod,42820,1995
cod,46000,1996
cod,44780,1997
cod,58920,1998
cod,59530,1999
cod,60630,2000
cod,66750,2001
cod,70620,2002
cod,84690,2003
cod,93340,2004
cod,97080,2005
cod,95670,2006
cod,99810,2007
dnk,430,1980
dnk,394,1981
dnk,378,1982
dnk,348,1983
dnk,302,1984
dnk,312,1985
dnk,299,1986
dnk,322,1987
dnk,304,1988
dnk,328,1989
dnk,350,1990
dnk,334,1991
dnk,359,1992
dnk,411,1993
dnk,495,1994
dnk,448,1995
dnk,484,1996
dnk,554,1997
dnk,529,1998
dnk,587,1999
dnk,587,2000
dnk,494,2001
dnk,403,2002
dnk,378,2003
dnk,356,2004
dnk,395,2005
dnk,341,2006
dnk,355,2007
dji,2265,1981
dji,671,1982
dji,1489,1984
dji,2262,1985
dji,1864,1986
dji,1978,1987
dji,2030,1988
dji,2040,1989
dji,2100,1990
dji,2900,1991
dji,2884,1992
dji,3489,1993
dji,3311,1994
dji,3332,1996
dji,3830,1997
dji,3785,1998
dji,4133,1999
dji,3971,2000
dji,4198,2001
dji,3191,2002
dji,3231,2003
dji,2940,2004
dji,3109,2005
dji,3011,2006
dji,3195,2007
dma,20,1980
dma,26,1981
dma,18,1982
dma,16,1983
dma,5,1984
dma,8,1985
dma,35,1986
dma,27,1987
dma,7,1988
dma,13,1989
dma,6,1990
dma,14,1991
dma,13,1992
dma,7,1993
dma,12,1994
dma,8,1995
dma,10,1996
dma,6,1997
dma,5,1998
dma,2,2002
dma,19,2006
dma,3,2007
dom,2174,1980
dom,1778,1981
dom,2457,1982
dom,2959,1983
dom,3100,1984
dom,2335,1985
dom,2634,1986
dom,2459,1987
dom,3081,1988
dom,3145,1989
dom,2597,1990
dom,1837,1991
dom,3490,1992
dom,4033,1993
dom,4337,1994
dom,4053,1995
dom,6302,1996
dom,5381,1997
dom,5114,1998
dom,5767,1999
dom,5291,2000
dom,4766,2001
dom,4040,2002
dom,4696,2003
dom,4549,2004
dom,5003,2005
dom,4561,2006
dom,4150,2007
ecu,3950,1980
ecu,3966,1981
ecu,3880,1982
ecu,3985,1983
ecu,4301,1984
ecu,4798,1985
ecu,5687,1986
ecu,5867,1987
ecu,5497,1988
ecu,5480,1989
ecu,8243,1990
ecu,6879,1991
ecu,7313,1992
ecu,7050,1993
ecu,9685,1994
ecu,7893,1995
ecu,8397,1996
ecu,9435,1997
ecu,7164,1998
ecu,5756,1999
ecu,6908,2000
ecu,6015,2001
ecu,5829,2002
ecu,6442,2003
ecu,6122,2004
ecu,4416,2005
ecu,4594,2006
ecu,4877,2007
egy,1637,1980
egy,1306,1981
egy,1805,1982
egy,1932,1983
egy,1572,1984
egy,1308,1985
egy,1209,1986
egy,22060,1987
egy,1378,1988
egy,1492,1989
egy,2142,1990
egy,3634,1991
egy,8876,1992
egy,3426,1993
egy,3911,1994
egy,11140,1995
egy,12340,1996
egy,13970,1997
egy,12660,1998
egy,11760,1999
egy,10760,2000
egy,10550,2001
egy,11180,2002
egy,11490,2003
egy,11620,2004
egy,11450,2005
egy,10050,2006
egy,9841,2007
slv,2255,1980
slv,2091,1981
slv,2171,1982
slv,2053,1983
slv,1564,1984
slv,1461,1985
slv,1659,1986
slv,1647,1987
slv,2378,1988
slv,617,1989
slv,2367,1990
slv,2304,1991
slv,2495,1992
slv,3347,1993
slv,3901,1994
slv,2422,1995
slv,1686,1996
slv,1662,1997
slv,1700,1998
slv,1623,1999
slv,1485,2000
slv,1458,2001
slv,1550,2002
slv,1383,2003
slv,1406,2004
slv,1794,2005
slv,1644,2006
slv,1666,2007
gnq,181,1984
gnq,17,1985
gnq,1,1986
gnq,11,1987
gnq,20,1988
gnq,157,1989
gnq,260,1990
gnq,331,1991
gnq,262,1992
gnq,309,1993
gnq,356,1994
gnq,306,1995
gnq,319,1996
gnq,366,1997
gnq,416,1998
gnq,536,2004
eri,3699,1990
eri,4386,1992
eri,11660,1993
eri,15500,1994
eri,21450,1995
eri,5220,1996
eri,8321,1997
eri,7789,1998
