blood_pressure_sbp_women_mmhg,geo,time
129.1,bmu,1996
128.6,bmu,1997
128.2,bmu,1998
127.8,bmu,1999
127.4,bmu,2000
127.0,bmu,2001
126.5,bmu,2002
126.1,bmu,2003
125.7,bmu,2004
125.3,bmu,2005
124.8,bmu,2006
124.4,bmu,2007
124.0,bmu,2008
119.1,btn,1980
119.5,btn,1981
119.8,btn,1982
120.2,btn,1983
120.6,btn,1984
121.0,btn,1985
121.3,btn,1986
121.7,btn,1987
122.1,btn,1988
122.5,btn,1989
122.8,btn,1990
123.1,btn,1991
123.4,btn,1992
123.7,btn,1993
123.9,btn,1994
124.1,btn,1995
124.3,btn,1996
124.5,btn,1997
124.6,btn,1998
124.8,btn,1999
124.9,btn,2000
125.0,btn,2001
125.0,btn,2002
125.1,btn,2003
125.2,btn,2004
125.2,btn,2005
125.2,btn,2006
125.2,btn,2007
125.1,btn,2008
125.1,bol,1980
125.0,bol,1981
124.8,bol,1982
124.6,bol,1983
124.5,bol,1984
124.3,bol,1985
124.3,bol,1986
124.2,bol,1987
124.2,bol,1988
124.1,bol,1989
124.1,bol,1990
124.0,bol,1991
123.9,bol,1992
123.8,bol,1993
123.7,bol,1994
123.6,bol,1995
123.5,bol,1996
123.4,bol,1997
123.3,bol,1998
123.2,bol,1999
123.1,bol,2000
123.0,bol,2001
122.9,bol,2002
122.8,bol,2003
122.8,bol,2004
122.7,bol,2005
122.6,bol,2006
122.5,bol,2007
122.4,bol,2008
131.9,bih,1980
132.1,bih,1981
132.3,bih,1982
132.4,bih,1983
132.5,bih,1984
132.6,bih,1985
132.7,bih,1986
132.8,bih,1987
132.9,bih,1988
133.0,bih,1989
133.0,bih,1990
133.1,bih,1991
133.0,bih,1992
132.8,bih,1993
132.7,bih,1994
132.7,bih,1995
132.7,bih,1996
132.9,bih,1997
133.0,bih,1998
133.0,bih,1999
133.1,bih,2000
133.1,bih,2001
133.1,bih,2002
133.2,bih,2003
133.3,bih,2004
133.3,bih,2005
133.3,bih,2006
133.2,bih,2007
133.2,bih,2008
128.9,bwa,1980
129.2,bwa,1981
129.6,bwa,1982
129.9,bwa,1983
130.2,bwa,1984
130.5,bwa,1985
130.7,bwa,1986
131.0,bwa,1987
131.4,bwa,1988
131.7,bwa,1989
131.9,bwa,1990
132.1,bwa,1991
132.1,bwa,1992
132.2,bwa,1993
132.2,bwa,1994
132.2,bwa,1995
132.1,bwa,1996
132.1,bwa,1997
132.1,bwa,1998
132.2,bwa,1999
132.2,bwa,2000
132.3,bwa,2001
132.5,bwa,2002
132.6,bwa,2003
132.7,bwa,2004
132.8,bwa,2005
132.9,bwa,2006
133.1,bwa,2007
133.1,bwa,2008
133.6,bra,1980
133.4,bra,1981
133.2,bra,1982
132.9,bra,1983
132.6,bra,1984
132.4,bra,1985
132.1,bra,1986
131.8,bra,1987
131.5,bra,1988
131.1,bra,1989
130.7,bra,1990
130.3,bra,1991
129.9,bra,1992
129.4,bra,1993
128.9,bra,1994
128.4,bra,1995
128.0,bra,1996
127.5,bra,1997
127.1,bra,1998
126.7,bra,1999
126.4,bra,2000
126.1,bra,2001
125.9,bra,2002
125.6,bra,2003
125.4,bra,2004
125.2,bra,2005
125.1,bra,2006
125.0,bra,2007
124.9,bra,2008
127.1,vgb,1980
127.1,vgb,1981
127.2,vgb,1982
127.2,vgb,1983
127.2,vgb,1984
127.2,vgb,1985
127.2,vgb,1986
127.2,vgb,1987
127.2,vgb,1988
127.2,vgb,1989
127.2,vgb,1990
127.4,vgb,1991
127.6,vgb,1992
127.8,vgb,1993
128.0,vgb,1994
128.2,vgb,1995
128.3,vgb,1996
128.4,vgb,1997
128.4,vgb,1998
128.4,vgb,1999
128.4,vgb,2000
128.3,vgb,2001
128.2,vgb,2002
128.1,vgb,2003
128.0,vgb,2004
127.9,vgb,2005
127.8,vgb,2006
127.7,vgb,2007
127.7,vgb,2008
132.4,brn,1980
131.8,brn,1981
131.3,brn,1982
130.7,brn,1983
130.2,brn,1984
129.7,brn,1985
129.2,brn,1986
128.7,brn,1987
128.3,brn,1988
128.0,brn,1989
127.7,brn,1990
127.4,brn,1991
127.1,brn,1992
126.8,brn,1993
126.5,brn,1994
126.1,brn,1995
125.7,brn,1996
125.3,brn,1997
124.9,brn,1998
124.5,brn,1999
124.1,brn,2000
123.7,brn,2001
123.3,brn,2002
122.9,brn,2003
122.5,brn,2004
122.1,brn,2005
121.7,brn,2006
121.3,brn,2007
120.9,brn,2008
135.5,bgr,1980
135.3,bgr,1981
135.1,bgr,1982
134.8,bgr,1983
134.6,bgr,1984
134.3,bgr,1985
134.0,bgr,1986
133.8,bgr,1987
133.5,bgr,1988
133.3,bgr,1989
133.0,bgr,1990
132.6,bgr,1991
132.3,bgr,1992
131.9,bgr,1993
131.5,bgr,1994
131.2,bgr,1995
130.9,bgr,1996
130.5,bgr,1997
130.2,bgr,1998
129.9,bgr,1999
129.7,bgr,2000
129.5,bgr,2001
129.3,bgr,2002
129.2,bgr,2003
129.1,bgr,2004
128.9,bgr,2005
128.8,bgr,2006
128.6,bgr,2007
128.5,bgr,2008
124.0,bfa,1980
124.3,bfa,1981
124.5,bfa,1982
124.8,bfa,1983
125.0,bfa,1984
125.3,bfa,1985
125.7,bfa,1986
126.0,bfa,1987
126.3,bfa,1988
126.5,bfa,1989
126.8,bfa,1990
127.0,bfa,1991
127.2,bfa,1992
127.4,bfa,1993
127.6,bfa,1994
127.8,bfa,1995
128.0,bfa,1996
128.2,bfa,1997
128.3,bfa,1998
128.6,bfa,1999
128.8,bfa,2000
129.0,bfa,2001
129.2,bfa,2002
129.5,bfa,2003
129.7,bfa,2004
129.9,bfa,2005
130.2,bfa,2006
130.4,bfa,2007
130.7,bfa,2008
127.0,bdi,1980
127.2,bdi,1981
127.4,bdi,1982
127.6,bdi,1983
127.6,bdi,1984
127.9,bdi,1985
128.1,bdi,1986
128.4,bdi,1987
128.7,bdi,1988
128.9,bdi,1989
129.2,bdi,1990
129.5,bdi,1991
129.8,bdi,1992
130.1,bdi,1993
130.2,bdi,1994
130.3,bdi,1995
130.5,bdi,1996
130.7,bdi,1997
130.9,bdi,1998
131.1,bdi,1999
131.3,bdi,2000
131.6,bdi,2001
131.9,bdi,2002
132.2,bdi,2003
132.6,bdi,2004
133.0,bdi,2005
133.4,bdi,2006
133.8,bdi,2007
134.2,bdi,2008
112.6,khm,1980
112.8,khm,1981
113.1,khm,1982
113.3,khm,1983
113.6,khm,1984
113.9,khm,1985
114.1,khm,1986
114.4,khm,1987
114.7,khm,1988
115.0,khm,1989
115.2,khm,1990
115.5,khm,1991
115.8,khm,1992
116.0,khm,1993
116.3,khm,1994
116.5,khm,1995
116.8,khm,1996
117.0,khm,1997
117.2,khm,1998
117.3,khm,1999
117.5,khm,2000
