alternative_gdp_per_capita_ppp_wb,geo,time
3594.0,aze,2004
4496.0,aze,2005
5981.0,aze,2006
7395.0,aze,2007
8024.0,aze,2008
8590.0,aze,2009
8912.0,aze,2010
8890.0,aze,2011
26040.0,bhs,1980
23120.0,bhs,1981
24130.0,bhs,1982
24450.0,bhs,1983
27330.0,bhs,1984
28080.0,bhs,1985
28060.0,bhs,1986
28390.0,bhs,1987
28560.0,bhs,1988
29960.0,bhs,1989
28970.0,bhs,1990
27260.0,bhs,1991
25730.0,bhs,1992
25340.0,bhs,1993
25690.0,bhs,1994
26390.0,bhs,1995
27130.0,bhs,1996
27350.0,bhs,1997
28310.0,bhs,1998
29980.0,bhs,1999
30840.0,bhs,2000
31230.0,bhs,2001
31640.0,bhs,2002
30790.0,bhs,2003
30620.0,bhs,2004
31200.0,bhs,2005
31520.0,bhs,2006
31510.0,bhs,2007
30330.0,bhs,2008
28460.0,bhs,2009
28130.0,bhs,2010
28240.0,bhs,2011
21140.0,bhr,1980
19260.0,bhr,1981
17260.0,bhr,1982
17870.0,bhr,1983
18270.0,bhr,1984
16900.0,bhr,1985
16550.0,bhr,1986
17640.0,bhr,1987
18220.0,bhr,1988
17680.0,bhr,1989
17910.0,bhr,1990
19380.0,bhr,1991
20160.0,bhr,1992
22210.0,bhr,1993
21630.0,bhr,1994
21930.0,bhr,1995
22200.0,bhr,1996
22190.0,bhr,1997
22560.0,bhr,1998
22940.0,bhr,1999
23730.0,bhr,2000
24650.0,bhr,2001
25960.0,bhr,2002
27610.0,bhr,2003
28090.0,bhr,2004
28070.0,bhr,2005
26750.0,bhr,2006
25400.0,bhr,2007
23760.0,bhr,2008
22040.0,bhr,2009
21350.0,bhr,2010
676.8,bgd,1980
683.4,bgd,1981
681.0,bgd,1982
689.7,bgd,1983
706.3,bgd,1984
709.6,bgd,1985
719.9,bgd,1986
726.9,bgd,1987
723.0,bgd,1988
723.0,bgd,1989
747.2,bgd,1990
754.1,bgd,1991
774.5,bgd,1992
792.5,bgd,1993
807.6,bgd,1994
829.8,bgd,1995
850.5,bgd,1996
878.5,bgd,1997
906.4,bgd,1998
932.5,bgd,1999
969.8,bgd,2000
1003.0,bgd,2001
1029.0,bgd,2002
1065.0,bgd,2003
1115.0,bgd,2004
1165.0,bgd,2005
1226.0,bgd,2006
1291.0,bgd,2007
1356.0,bgd,2008
1419.0,bgd,2009
1488.0,bgd,2010
1568.0,bgd,2011
14940.0,brb,1980
14410.0,brb,1981
13630.0,brb,1982
13580.0,brb,1983
13970.0,brb,1984
13980.0,brb,1985
15230.0,brb,1986
15320.0,brb,1987
16220.0,brb,1988
16970.0,brb,1989
16100.0,brb,1990
15580.0,brb,1991
14760.0,brb,1992
14860.0,brb,1993
15410.0,brb,1994
15590.0,brb,1995
15830.0,brb,1996
16780.0,brb,1997
17420.0,brb,1998
17820.0,brb,1999
18180.0,brb,2000
17210.0,brb,2001
16560.0,brb,2002
16860.0,brb,2003
17450.0,brb,2004
17960.0,brb,2005
18540.0,brb,2006
18590.0,brb,2007
18590.0,brb,2008
17560.0,brb,2009
6434.0,blr,1990
6354.0,blr,1991
5731.0,blr,1992
5284.0,blr,1993
4671.0,blr,1994
4199.0,blr,1995
4331.0,blr,1996
4845.0,blr,1997
5277.0,blr,1998
5475.0,blr,1999
5810.0,blr,2000
6106.0,blr,2001
6443.0,blr,2002
6933.0,blr,2003
7765.0,blr,2004
8541.0,blr,2005
9436.0,blr,2006
10280.0,blr,2007
11460.0,blr,2008
11590.0,blr,2009
12500.0,blr,2010
13190.0,blr,2011
20790.0,bel,1980
20740.0,bel,1981
20860.0,bel,1982
20930.0,bel,1983
21450.0,bel,1984
21800.0,bel,1985
22180.0,bel,1986
22680.0,bel,1987
23670.0,bel,1988
24410.0,bel,1989
25100.0,bel,1990
25460.0,bel,1991
25750.0,bel,1992
25400.0,bel,1993
26140.0,bel,1994
26710.0,bel,1995
27030.0,bel,1996
27980.0,bel,1997
28450.0,bel,1998
29390.0,bel,1999
30400.0,bel,2000
30540.0,bel,2001
30820.0,bel,2002
30930.0,bel,2003
31810.0,bel,2004
32190.0,bel,2005
32850.0,bel,2006
33560.0,bel,2007
33620.0,bel,2008
32410.0,bel,2009
32840.0,bel,2010
33130.0,bel,2011
3342.0,blz,1980
3297.0,blz,1981
3203.0,blz,1982
3073.0,blz,1983
3037.0,blz,1984
2991.0,blz,1985
3051.0,blz,1986
3300.0,blz,1987
3513.0,blz,1988
3899.0,blz,1989
4181.0,blz,1990
4501.0,blz,1991
4916.0,blz,1992
5071.0,blz,1993
4935.0,blz,1994
4841.0,blz,1995
4788.0,blz,1996
4785.0,blz,1997
4788.0,blz,1998
5109.0,blz,1999
5621.0,blz,2000
5727.0,blz,2001
5840.0,blz,2002
6186.0,blz,2003
6268.0,blz,2004
6254.0,blz,2005
6337.0,blz,2006
6214.0,blz,2007
6219.0,blz,2008
6012.0,blz,2009
5980.0,blz,2010
5896.0,blz,2011
1134.0,ben,1980
1214.0,ben,1981
1208.0,ben,1982
1124.0,ben,1983
1180.0,ben,1984
1234.0,ben,1985
1227.0,ben,1986
1176.0,ben,1987
1183.0,ben,1988
1116.0,ben,1989
1117.0,ben,1990
1132.0,ben,1991
1137.0,ben,1992
1136.0,ben,1993
1146.0,ben,1994
1161.0,ben,1995
1190.0,ben,1996
1228.0,ben,1997
1249.0,ben,1998
1272.0,ben,1999
1306.0,ben,2000
1330.0,ben,2001
1347.0,ben,2002
1355.0,ben,2003
1353.0,ben,2004
1349.0,ben,2005
1362.0,ben,2006
1382.0,ben,2007
1411.0,ben,2008
1422.0,ben,2009
1424.0,ben,2010
1428.0,ben,2011
938.8,btn,1981
990.8,btn,1982
1038.0,btn,1983
1089.0,btn,1984
1105.0,btn,1985
1155.0,btn,1986
1342.0,btn,1987
1496.0,btn,1988
1554.0,btn,1989
1679.0,btn,1990
1770.0,btn,1991
1838.0,btn,1992
1941.0,btn,1993
2049.0,btn,1994
2193.0,btn,1995
2320.0,btn,1996
2410.0,btn,1997
2486.0,btn,1998
2586.0,btn,1999
2703.0,btn,2000
2809.0,btn,2001
2969.0,btn,2002
3129.0,btn,2003
3284.0,btn,2004
3480.0,btn,2005
3634.0,btn,2006
4199.0,btn,2007
4315.0,btn,2008
4525.0,btn,2009
4780.0,btn,2010
5096.0,btn,2011
3779.0,bol,1980
3707.0,bol,1981
3486.0,bol,1982
3275.0,bol,1983
3200.0,bol,1984
3080.0,bol,1985
2936.0,bol,1986
2943.0,bol,1987
2962.0,bol,1988
3006.0,bol,1989
3074.0,bol,1990
3162.0,bol,1991
3140.0,bol,1992
3199.0,bol,1993
3272.0,bol,1994
3349.0,bol,1995
3419.0,bol,1996
3512.0,bol,1997
3611.0,bol,1998
3552.0,bol,1999
3567.0,bol,2000
3555.0,bol,2001
3571.0,bol,2002
3598.0,bol,2003
3678.0,bol,2004
3772.0,bol,2005
3885.0,bol,2006
3995.0,bol,2007
4172.0,bol,2008
4244.0,bol,2009
4350.0,bol,2010
4499.0,bol,2011
1326.0,bih,1994
1664.0,bih,1995
3170.0,bih,1996
4184.0,bih,1997
4677.0,bih,1998
4954.0,bih,1999
5096.0,bih,2000
5243.0,bih,2001
5480.0,bih,2002
5689.0,bih,2003
6038.0,bih,2004
6341.0,bih,2005
6733.0,bih,2006
7198.0,bih,2007
7598.0,bih,2008
7390.0,bih,2009
7464.0,bih,2010
7607.0,bih,2011
3433.0,bwa,1980
3611.0,bwa,1981
3911.0,bwa,1982
4277.0,bwa,1983
4489.0,bwa,1984
4653.0,bwa,1985
4873.0,bwa,1986
5281.0,bwa,1987
6115.0,bwa,1988
6705.0,bwa,1989
6948.0,bwa,1990
7250.0,bwa,1991
7251.0,bwa,1992
7188.0,bwa,1993
7255.0,bwa,1994
7387.0,bwa,1995
7614.0,bwa,1996
8202.0,bwa,1997
8882.0,bwa,1998
9156.0,bwa,1999
9531.0,bwa,2000
9722.0,bwa,2001
10460.0,bwa,2002
10980.0,bwa,2003
11500.0,bwa,2004
11540.0,bwa,2005
11970.0,bwa,2006
12380.0,bwa,2007
12560.0,bwa,2008
11790.0,bwa,2009
12460.0,bwa,2010
12940.0,bwa,2011
7567.0,bra,1980
7067.0,bra,1981
6945.0,bra,1982
6557.0,bra,1983
6751.0,bra,1984
7134.0,bra,1985
7549.0,bra,1986
7669.0,bra,1987
7519.0,bra,1988
7628.0,bra,1989
7175.0,bra,1990
7164.0,bra,1991
7018.0,bra,1992
7233.0,bra,1993
7503.0,bra,1994
7716.0,bra,1995
7762.0,bra,1996
7903.0,bra,1997
7787.0,bra,1998
7692.0,bra,1999
7909.0,bra,2000
7902.0,bra,2001
8003.0,bra,2002
7990.0,bra,2003
8344.0,bra,2004
8509.0,bra,2005
8753.0,bra,2006
9196.0,bra,2007
9584.0,bra,2008
9468.0,bra,2009
10090.0,bra,2010
10280.0,bra,2011
80590.0,brn,1980
62590.0,brn,1981
63160.0,brn,1982
61690.0,brn,1983
60350.0,brn,1984
57810.0,brn,1985
54680.0,brn,1986
54240.0,brn,1987
53310.0,brn,1988
51280.0,brn,1989
50390.0,brn,1990
50530.0,brn,1991
51460.0,brn,1992
50190.0,brn,1993
50370.0,brn,1994
51240.0,brn,1995
51370.0,brn,1996
49360.0,brn,1997
47910.0,brn,1998
48220.0,brn,1999
48480.0,brn,2000
48720.0,brn,2001
49530.0,brn,2002
49920.0,brn,2003
49160.0,brn,2004
48380.0,brn,2005
49520.0,brn,2006
48650.0,brn,2007
46820.0,brn,2008
45160.0,brn,2009
45510.0,brn,2010
5830.0,bgr,1980
6096.0,bgr,1981
6220.0,bgr,1982
6417.0,bgr,1983
6619.0,bgr,1984
6797.0,bgr,1985
7085.0,bgr,1986
7503.0,bgr,1987
8315.0,bgr,1988
8136.0,bgr,1989
7529.0,bgr,1990
6961.0,bgr,1991
6525.0,bgr,1992
6480.0,bgr,1993
6620.0,bgr,1994
6840.0,bgr,1995
6254.0,bgr,1996
6189.0,bgr,1997
6533.0,bgr,1998
6699.0,bgr,1999
7118.0,bgr,2000
7552.0,bgr,2001
8055.0,bgr,2002
8547.0,bgr,2003
9174.0,bgr,2004
9809.0,bgr,2005
10510.0,bgr,2006
11240.0,bgr,2007
11990.0,bgr,2008
11390.0,bgr,2009
11510.0,bgr,2010
11800.0,bgr,2011
613.3,bfa,1980
624.1,bfa,1981
667.2,bfa,1982
653.0,bfa,1983
625.3,bfa,1984
661.4,bfa,1985
695.7,bfa,1986
676.2,bfa,1987
696.7,bfa,1988
692.9,bfa,1989
670.5,bfa,1990
711.7,bfa,1991
694.2,bfa,1992
698.8,bfa,1993
688.8,bfa,1994
708.3,bfa,1995
764.9,bfa,1996
790.9,bfa,1997
825.4,bfa,1998
862.0,bfa,1999
853.4,bfa,2000
884.7,bfa,2001
900.1,bfa,2002
944.9,bfa,2003
960.5,bfa,2004
1014.0,bfa,2005
1051.0,bfa,2006
1057.0,bfa,2007
1086.0,bfa,2008
1085.0,bfa,2009
1136.0,bfa,2010
1149.0,bfa,2011
604.3,bdi,1980
657.5,bdi,1981
630.1,bdi,1982
632.4,bdi,1983
612.8,bdi,1984
663.1,bdi,1985
663.1,bdi,1986
678.1,bdi,1987
691.6,bdi,1988
682.1,bdi,1989
689.1,bdi,1990
708.0,bdi,1991
701.6,bdi,1992
646.9,bdi,1993
613.5,bdi,1994
558.4,bdi,1995
509.3,bdi,1996
497.8,bdi,1997
518.0,bdi,1998
507.8,bdi,1999
496.3,bdi,2000
496.7,bdi,2001
506.6,bdi,2002
487.1,bdi,2003
496.1,bdi,2004
485.9,bdi,2005
496.8,bdi,2006
504.8,bdi,2007
514.5,bdi,2008
517.6,bdi,2009
523.6,bdi,2010
533.3,bdi,2011
740.0,khm,1993
783.3,khm,1994
810.9,khm,1995
833.2,khm,1996
859.6,khm,1997
883.4,khm,1998
969.4,khm,1999
1035.0,khm,2000
1100.0,khm,2001
1157.0,khm,2002
1238.0,khm,2003
1348.0,khm,2004
1508.0,khm,2005
1651.0,khm,2006
1799.0,khm,2007
1898.0,khm,2008
1879.0,khm,2009
1968.0,khm,2010
2080.0,khm,2011
2007.0,cmr,1980
2282.0,cmr,1981
2384.0,cmr,1982
2477.0,cmr,1983
2587.0,cmr,1984
2715.0,cmr,1985
2815.0,cmr,1986
2674.0,cmr,1987
2393.0,cmr,1988
2282.0,cmr,1989
2082.0,cmr,1990
1947.0,cmr,1991
1835.0,cmr,1992
1728.0,cmr,1993
1641.0,cmr,1994
1653.0,cmr,1995
1693.0,cmr,1996
1738.0,cmr,1997
1784.0,cmr,1998
1820.0,cmr,1999
1853.0,cmr,2000
1893.0,cmr,2001
1925.0,cmr,2002
1958.0,cmr,2003
1985.0,cmr,2004
1986.0,cmr,2005
2005.0,cmr,2006
2029.0,cmr,2007
2043.0,cmr,2008
2038.0,cmr,2009
2058.0,cmr,2010
2090.0,cmr,2011
23070.0,can,1980
23580.0,can,1981
22640.0,can,1982
23020.0,can,1983
24120.0,can,1984
25040.0,can,1985
25390.0,can,1986
26130.0,can,1987
27080.0,can,1988
27290.0,can,1989
26940.0,can,1990
26020.0,can,1991
25930.0,can,1992
26250.0,can,1993
27240.0,can,1994
27780.0,can,1995
27930.0,can,1996
28800.0,can,1997
29720.0,can,1998
31110.0,can,1999
32450.0,can,2000
32690.0,can,2001
33350.0,can,2002
33640.0,can,2003
34340.0,can,2004
35030.0,can,2005
35730.0,can,2006
36120.0,can,2007
35950.0,can,2008
34530.0,can,2009
35220.0,can,2010
35720.0,can,2011
993.9,cpv,1981
1029.0,cpv,1982
1114.0,cpv,1983
1203.0,cpv,1984
1274.0,cpv,1985
1289.0,cpv,1986
1310.0,cpv,1987
1377.0,cpv,1988
1440.0,cpv,1989
1427.0,cpv,1990
1416.0,cpv,1991
1426.0,cpv,1992
1486.0,cpv,1993
1546.0,cpv,1994
1621.0,cpv,1995
1647.0,cpv,1996
1699.0,cpv,1997
1789.0,cpv,1998
1906.0,cpv,1999
2187.0,cpv,2000
2280.0,cpv,2001
2360.0,cpv,2002
2432.0,cpv,2003
2499.0,cpv,2004
2628.0,cpv,2005
2862.0,cpv,2006
3078.0,cpv,2007
3240.0,cpv,2008
3331.0,cpv,2009
3474.0,cpv,2010
3616.0,cpv,2011
955.5,caf,1980
914.1,caf,1981
955.5,caf,1982
851.7,caf,1983
906.0,caf,1984
916.9,caf,1985
927.2,caf,1986
862.4,caf,1987
859.0,caf,1988
857.4,caf,1989
820.1,caf,1990
795.8,caf,1991
726.0,caf,1992
709.8,caf,1993
725.9,caf,1994
759.4,caf,1995
712.1,caf,1996
733.2,caf,1997
751.4,caf,1998
762.8,caf,1999
765.8,caf,2000
754.4,caf,2001
737.8,caf,2002
671.1,caf,2003
667.1,caf,2004
672.0,caf,2005
685.7,caf,2006
698.5,caf,2007
699.5,caf,2008
698.2,caf,2009
707.6,caf,2010
715.6,caf,2011
650.4,tcd,1980
642.8,tcd,1981
661.7,tcd,1982
747.0,tcd,1983
742.7,tcd,1984
880.0,tcd,1985
819.7,tcd,1986
775.9,tcd,1987
868.2,tcd,1988
882.3,tcd,1989
819.5,tcd,1990
862.7,tcd,1991
904.0,tcd,1992
739.3,tcd,1993
790.0,tcd,1994
775.5,tcd,1995
768.4,tcd,1996
786.8,tcd,1997
815.1,tcd,1998
783.3,tcd,1999
750.5,tcd,2000
808.9,tcd,2001
846.4,tcd,2002
936.8,tcd,2003
1209.0,tcd,2004
1374.0,tcd,2005
1336.0,tcd,2006
1302.0,tcd,2007
1262.0,tcd,2008
1215.0,tcd,2009
1337.0,tcd,2010
1343.0,tcd,2011
5654.0,chl,1980
5833.0,chl,1981
5150.0,chl,1982
4876.0,chl,1983
5179.0,chl,1984
5456.0,chl,1985
5666.0,chl,1986
5940.0,chl,1987
6266.0,chl,1988
6809.0,chl,1989
6937.0,chl,1990
7355.0,chl,1991
8108.0,chl,1992
8518.0,chl,1993
8848.0,chl,1994
9629.0,chl,1995
10190.0,chl,1996
10710.0,chl,1997
10910.0,chl,1998
10690.0,chl,1999
11030.0,chl,2000
11270.0,chl,2001
11380.0,chl,2002
11700.0,chl,2003
12270.0,chl,2004
12660.0,chl,2005
13250.0,chl,2006
13790.0,chl,2007
14110.0,chl,2008
13830.0,chl,2009
14540.0,chl,2010
15270.0,chl,2011
524.0,chn,1980
544.2,chn,1981
585.0,chn,1982
639.5,chn,1983
727.1,chn,1984
814.1,chn,1985
872.6,chn,1986
958.4,chn,1987
1050.0,chn,1988
1076.0,chn,1989
1101.0,chn,1990
1186.0,chn,1991
1338.0,chn,1992
1507.0,chn,1993
1686.0,chn,1994
1849.0,chn,1995
2013.0,chn,1996
2178.0,chn,1997
2325.0,chn,1998
2480.0,chn,1999
2667.0,chn,2000
2868.0,chn,2001
3108.0,chn,2002
3398.0,chn,2003
3719.0,chn,2004
4115.0,chn,2005
4611.0,chn,2006
5239.0,chn,2007
5712.0,chn,2008
6206.0,chn,2009
6819.0,chn,2010
7404.0,chn,2011
5297.0,col,1980
5296.0,col,1981
5229.0,col,1982
5196.0,col,1983
5255.0,col,1984
5303.0,col,1985
5496.0,col,1986
5673.0,col,1987
5784.0,col,1988
5863.0,col,1989
6097.0,col,1990
6116.0,col,1991
6304.0,col,1992
6334.0,col,1993
6581.0,col,1994
6799.0,col,1995
6816.0,col,1996
6926.0,col,1997
6845.0,col,1998
6446.0,col,1999
6619.0,col,2000
6620.0,col,2001
6678.0,col,2002
6831.0,col,2003
7084.0,col,2004
7305.0,col,2005
7677.0,col,2006
8085.0,col,2007
8250.0,col,2008
8268.0,col,2009
8479.0,col,2010
8861.0,col,2011
1206.0,com,1980
1208.0,com,1981
1243.0,com,1982
1262.0,com,1983
1275.0,com,1984
1268.0,com,1985
1257.0,com,1986
1245.0,com,1987
1247.0,com,1988
1178.0,com,1989
1208.0,com,1990
1116.0,com,1991
1182.0,com,1992
1188.0,com,1993
1099.0,com,1994
1110.0,com,1995
1069.0,com,1996
1084.0,com,1997
1070.0,com,1998
1062.0,com,1999
1050.0,com,2000
1056.0,com,2001
1071.0,com,2002
1068.0,com,2003
1038.0,com,2004
1053.0,com,2005
1037.0,com,2006
1015.0,com,2007
997.6,com,2008
989.1,com,2009
983.8,com,2010
980.1,com,2011
778.7,cod,1980
775.1,cod,1981
750.8,cod,1982
740.9,cod,1983
760.5,cod,1984
742.5,cod,1985
755.1,cod,1986
752.7,cod,1987
733.1,cod,1988
700.0,cod,1989
630.9,cod,1990
555.7,cod,1991
477.3,cod,1992
396.5,cod,1993
367.1,cod,1994
357.7,cod,1995
344.5,cod,1996
317.6,cod,1997
305.8,cod,1998
286.4,cod,1999
260.2,cod,2000
247.9,cod,2001
249.2,cod,2002
255.8,cod,2003
264.7,cod,2004
277.0,cod,2005
284.2,cod,2006
293.6,cod,2007
303.2,cod,2008
303.4,cod,2009
316.5,cod,2010
329.3,cod,2011
2951.0,cog,1980
3370.0,cog,1981
4044.0,cog,1982
4157.0,cog,1983
4319.0,cog,1984
4148.0,cog,1985
3756.0,cog,1986
3659.0,cog,1987
3623.0,cog,1988
3617.0,cog,1989
3556.0,cog,1990
3544.0,cog,1991
3541.0,cog,1992
3413.0,cog,1993
3140.0,cog,1994
3177.0,cog,1995
3223.0,cog,1996
3114.0,cog,1997
3140.0,cog,1998
2976.0,cog,1999
3120.0,cog,2000
3160.0,cog,2001
3230.0,cog,2002
3182.0,cog,2003
3216.0,cog,2004
3381.0,cog,2005
3494.0,cog,2006
3345.0,cog,2007
3434.0,cog,2008
3592.0,cog,2009
3808.0,cog,2010
3885.0,cog,2011
6378.0,cri,1980
6063.0,cri,1981
5466.0,cri,1982
5468.0,cri,1983
5649.0,cri,1984
5553.0,cri,1985
5718.0,cri,1986
5950.0,cri,1987
6016.0,cri,1988
6159.0,cri,1989
6239.0,cri,1990
6242.0,cri,1991
6650.0,cri,1992
6973.0,cri,1993
7128.0,cri,1994
7227.0,cri,1995
7111.0,cri,1996
7320.0,cri,1997
7739.0,cri,1998
8176.0,cri,1999
8137.0,cri,2000
8053.0,cri,2001
8124.0,cri,2002
8483.0,cri,2003
8688.0,cri,2004
9042.0,cri,2005
9673.0,cri,2006
10270.0,cri,2007
10390.0,cri,2008
10130.0,cri,2009
10450.0,cri,2010
10730.0,cri,2011
2620.0,civ,1980
2594.0,civ,1981
2489.0,civ,1982
2292.0,civ,1983
2141.0,civ,1984
2151.0,civ,1985
2139.0,civ,1986
2056.0,civ,1987
2009.0,civ,1988
1998.0,civ,1989
1911.0,civ,1990
1848.0,civ,1991
1784.0,civ,1992
1724.0,civ,1993
1685.0,civ,1994
1753.0,civ,1995
1837.0,civ,1996
1891.0,civ,1997
1933.0,civ,1998
1919.0,civ,1999
1811.0,civ,2000
1777.0,civ,2001
1722.0,civ,2002
1669.0,civ,2003
1672.0,civ,2004
1666.0,civ,2005
1649.0,civ,2006
1649.0,civ,2007
1657.0,civ,2008
1688.0,civ,2009
1694.0,civ,2010
1581.0,civ,2011
13390.0,hrv,1990
11200.0,hrv,1991
9973.0,hrv,1992
8837.0,hrv,1993
9335.0,hrv,1994
9925.0,hrv,1995
10920.0,hrv,1996
11440.0,hrv,1997
11850.0,hrv,1998
11590.0,hrv,1999
12370.0,hrv,2000
12780.0,hrv,2001
13410.0,hrv,2002
14130.0,hrv,2003
14710.0,hrv,2004
15330.0,hrv,2005
16100.0,hrv,2006
16930.0,hrv,2007
17300.0,hrv,2008
16280.0,hrv,2009
16130.0,hrv,2010
16160.0,hrv,2011
11260.0,cyp,1980
11350.0,cyp,1981
11890.0,cyp,1982
12450.0,cyp,1983
13370.0,cyp,1984
13850.0,cyp,1985
14200.0,cyp,1986
15040.0,cyp,1987
16170.0,cyp,1988
17210.0,cyp,1989
18090.0,cyp,1990
17760.0,cyp,1991
18920.0,cyp,1992
18600.0,cyp,1993
19290.0,cyp,1994
20100.0,cyp,1995
20150.0,cyp,1996
20330.0,cyp,1997
21100.0,cyp,1998
