geo,female_population_with_projections,time
aut,4108000,1995
aut,4118000,1996
aut,4121000,1997
aut,4122000,1998
aut,4125000,1999
aut,4133000,2000
aut,4148000,2001
aut,4167000,2002
aut,4189000,2003
aut,4212000,2004
aut,4231000,2005
aut,4248000,2006
aut,4263000,2007
aut,4275000,2008
aut,4285000,2009
aut,4294000,2010
aut,4302000,2011
aut,4308000,2012
aut,4312000,2013
aut,4317000,2014
aut,4321000,2015
aut,4326000,2016
aut,4331000,2017
aut,4337000,2018
aut,4342000,2019
aut,4348000,2020
aut,4353000,2021
aut,4358000,2022
aut,4363000,2023
aut,4367000,2024
aut,4372000,2025
aut,4376000,2026
aut,4379000,2027
aut,4382000,2028
aut,4385000,2029
aut,4387000,2030
aut,4388000,2031
aut,4389000,2032
aut,4389000,2033
aut,4388000,2034
aut,4387000,2035
aut,4386000,2036
aut,4384000,2037
aut,4381000,2038
aut,4378000,2039
aut,4375000,2040
aut,4371000,2041
aut,4367000,2042
aut,4363000,2043
aut,4359000,2044
aut,4354000,2045
aut,4349000,2046
aut,4344000,2047
aut,4338000,2048
aut,4333000,2049
aut,4327000,2050
aze,1533000,1950
aze,1569000,1951
aze,1610000,1952
aze,1654000,1953
aze,1701000,1954
aze,1751000,1955
aze,1802000,1956
aze,1855000,1957
aze,1911000,1958
aze,1969000,1959
aze,2031000,1960
aze,2096000,1961
aze,2163000,1962
aze,2232000,1963
aze,2300000,1964
aze,2366000,1965
aze,2429000,1966
aze,2491000,1967
aze,2549000,1968
aze,2606000,1969
aze,2661000,1970
aze,2715000,1971
aze,2766000,1972
aze,2816000,1973
aze,2866000,1974
aze,2915000,1975
aze,2964000,1976
aze,3012000,1977
aze,3061000,1978
aze,3111000,1979
aze,3161000,1980
aze,3212000,1981
aze,3264000,1982
aze,3317000,1983
aze,3370000,1984
aze,3422000,1985
aze,3473000,1986
aze,3524000,1987
aze,3574000,1988
aze,3627000,1989
aze,3683000,1990
aze,3743000,1991
aze,3805000,1992
aze,3868000,1993
aze,3927000,1994
aze,3980000,1995
aze,4026000,1996
aze,4065000,1997
aze,4100000,1998
aze,4133000,1999
aze,4165000,2000
aze,4197000,2001
aze,4230000,2002
aze,4263000,2003
aze,4298000,2004
aze,4336000,2005
aze,4377000,2006
aze,4421000,2007
aze,4468000,2008
aze,4515000,2009
aze,4563000,2010
aze,4611000,2011
aze,4659000,2012
aze,4706000,2013
aze,4752000,2014
aze,4796000,2015
aze,4840000,2016
aze,4881000,2017
aze,4921000,2018
aze,4958000,2019
aze,4994000,2020
aze,5027000,2021
aze,5057000,2022
aze,5085000,2023
aze,5111000,2024
aze,5135000,2025
aze,5158000,2026
aze,5179000,2027
aze,5198000,2028
aze,5216000,2029
aze,5233000,2030
aze,5249000,2031
aze,5264000,2032
aze,5279000,2033
aze,5292000,2034
aze,5305000,2035
aze,5318000,2036
aze,5329000,2037
aze,5340000,2038
aze,5349000,2039
aze,5357000,2040
aze,5364000,2041
aze,5369000,2042
aze,5373000,2043
aze,5375000,2044
aze,5376000,2045
aze,5375000,2046
aze,5373000,2047
aze,5368000,2048
aze,5362000,2049
aze,5353000,2050
bhs,42380,1950
bhs,42890,1951
bhs,43680,1952
bhs,44690,1953
bhs,45900,1954
bhs,47300,1955
bhs,48870,1956
bhs,50630,1957
bhs,52590,1958
bhs,54780,1959
bhs,57210,1960
bhs,59870,1961
bhs,62740,1962
bhs,65750,1963
bhs,68790,1964
bhs,71800,1965
bhs,74750,1966
bhs,77640,1967
bhs,80430,1968
bhs,83100,1969
bhs,85620,1970
bhs,87980,1971
bhs,90190,1972
bhs,92270,1973
bhs,94260,1974
bhs,96190,1975
bhs,98070,1976
bhs,99900,1977
bhs,101700,1978
bhs,103700,1979
bhs,105700,1980
bhs,108000,1981
bhs,110400,1982
bhs,112800,1983
bhs,115300,1984
bhs,117700,1985
bhs,119900,1986
bhs,122100,1987
bhs,124200,1988
bhs,126400,1989
bhs,128800,1990
bhs,131300,1991
bhs,134000,1992
bhs,136800,1993
bhs,139600,1994
bhs,142300,1995
bhs,145000,1996
bhs,147500,1997
bhs,150000,1998
bhs,152500,1999
bhs,154900,2000
bhs,157200,2001
bhs,159400,2002
bhs,161600,2003
bhs,163800,2004
bhs,165900,2005
bhs,168100,2006
bhs,170200,2007
bhs,172400,2008
bhs,174500,2009
bhs,176700,2010
bhs,178800,2011
bhs,180900,2012
bhs,183100,2013
bhs,185200,2014
bhs,187300,2015
bhs,189400,2016
bhs,191400,2017
bhs,193500,2018
bhs,195500,2019
bhs,197500,2020
bhs,199500,2021
bhs,201500,2022
bhs,203400,2023
bhs,205300,2024
bhs,207200,2025
bhs,209000,2026
bhs,210800,2027
bhs,212600,2028
bhs,214300,2029
bhs,215900,2030
bhs,217500,2031
bhs,219000,2032
bhs,220400,2033
bhs,221800,2034
bhs,223200,2035
bhs,224500,2036
bhs,225800,2037
bhs,227000,2038
bhs,228200,2039
bhs,229300,2040
bhs,230400,2041
bhs,231400,2042
bhs,232400,2043
bhs,233300,2044
bhs,234100,2045
bhs,235000,2046
bhs,235700,2047
bhs,236400,2048
bhs,237100,2049
bhs,237700,2050
bhr,53500,1950
bhr,54070,1951
bhr,55720,1952
bhr,57810,1953
bhr,59940,1954
bhr,61860,1955
bhr,63510,1956
bhr,65040,1957
bhr,66730,1958
bhr,68970,1959
bhr,72100,1960
bhr,76290,1961
bhr,81320,1962
bhr,86620,1963
bhr,91370,1964
bhr,95000,1965
bhr,97250,1966
bhr,98390,1967
bhr,99000,1968
bhr,99940,1969
bhr,101800,1970
bhr,104800,1971
bhr,108800,1972
bhr,113400,1973
bhr,118200,1974
bhr,122800,1975
bhr,127300,1976
bhr,131800,1977
bhr,136100,1978
bhr,140500,1979
bhr,145000,1980
bhr,149500,1981
bhr,153900,1982
bhr,158600,1983
bhr,163800,1984
bhr,169700,1985
bhr,176300,1986
bhr,183700,1987
bhr,191400,1988
bhr,199200,1989
bhr,206700,1990
bhr,213900,1991
bhr,220800,1992
bhr,227600,1993
bhr,234300,1994
bhr,241200,1995
bhr,248100,1996
bhr,255100,1997
bhr,262100,1998
bhr,269100,1999
bhr,275900,2000
bhr,282600,2001
bhr,289300,2002
bhr,295900,2003
bhr,302500,2004
bhr,309300,2005
bhr,316200,2006
bhr,323200,2007
bhr,330200,2008
bhr,337300,2009
bhr,344400,2010
bhr,351400,2011
bhr,358500,2012
bhr,365400,2013
bhr,372400,2014
bhr,379300,2015
bhr,386100,2016
bhr,392900,2017
bhr,399600,2018
bhr,406300,2019
bhr,412900,2020
bhr,419500,2021
bhr,426000,2022
bhr,432400,2023
bhr,438800,2024
bhr,445200,2025
bhr,451700,2026
bhr,458100,2027
bhr,464500,2028
bhr,470800,2029
bhr,477100,2030
bhr,483300,2031
bhr,489500,2032
bhr,495600,2033
bhr,501600,2034
bhr,507500,2035
bhr,513300,2036
bhr,519000,2037
bhr,524700,2038
bhr,530100,2039
bhr,535500,2040
bhr,540800,2041
bhr,545900,2042
bhr,550800,2043
bhr,555600,2044
bhr,560300,2045
bhr,564800,2046
bhr,569200,2047
bhr,573500,2048
bhr,577500,2049
bhr,581400,2050
bgd,20190000,1950
bgd,20660000,1951
bgd,21130000,1952
bgd,21620000,1953
bgd,22120000,1954
bgd,22630000,1955
bgd,23170000,1956
bgd,23720000,1957
bgd,24290000,1958
bgd,24880000,1959
bgd,25490000,1960
bgd,26130000,1961
bgd,26780000,1962
bgd,27460000,1963
bgd,28170000,1964
bgd,28910000,1965
bgd,29680000,1966
bgd,30480000,1967
bgd,31310000,1968
bgd,32180000,1969
bgd,33080000,1970
bgd,34010000,1971
bgd,34980000,1972
bgd,35990000,1973
bgd,37020000,1974
bgd,38090000,1975
bgd,39190000,1976
bgd,40310000,1977
bgd,41470000,1978
bgd,42650000,1979
bgd,43870000,1980
bgd,45110000,1981
bgd,46390000,1982
bgd,47680000,1983
bgd,48970000,1984
bgd,50270000,1985
bgd,51560000,1986
bgd,52850000,1987
bgd,54130000,1988
bgd,55410000,1989
bgd,56680000,1990
bgd,57950000,1991
bgd,59210000,1992
bgd,60470000,1993
bgd,61740000,1994
bgd,63020000,1995
bgd,64310000,1996
bgd,65600000,1997
bgd,66900000,1998
bgd,68190000,1999
bgd,69470000,2000
bgd,70740000,2001
bgd,71990000,2002
bgd,73230000,2003
bgd,74450000,2004
bgd,75640000,2005
bgd,76810000,2006
bgd,77950000,2007
bgd,79080000,2008
bgd,80190000,2009
bgd,81290000,2010
bgd,82390000,2011
bgd,83470000,2012
bgd,84550000,2013
bgd,85630000,2014
bgd,86690000,2015
bgd,87750000,2016
bgd,88810000,2017
bgd,89850000,2018
bgd,90880000,2019
bgd,91900000,2020
bgd,92900000,2021
bgd,93880000,2022
bgd,94840000,2023
bgd,95780000,2024
bgd,96700000,2025
bgd,97590000,2026
bgd,98460000,2027
bgd,99310000,2028
bgd,100100000,2029
bgd,100900000,2030
bgd,101700000,2031
bgd,102400000,2032
bgd,103100000,2033
bgd,103800000,2034
bgd,104400000,2035
bgd,105100000,2036
bgd,105700000,2037
bgd,106200000,2038
bgd,106800000,2039
bgd,107300000,2040
bgd,107900000,2041
bgd,108400000,2042
bgd,108800000,2043
bgd,109300000,2044
bgd,109700000,2045
bgd,110100000,2046
bgd,110500000,2047
bgd,110800000,2048
bgd,111200000,2049
bgd,111400000,2050
brb,114000,1950
brb,116400,1951
brb,118500,1952
brb,120400,1953
brb,122000,1954
brb,123400,1955
brb,124600,1956
brb,125600,1957
brb,126400,1958
brb,126900,1959
brb,127300,1960
brb,127500,1961
brb,127500,1962
brb,127400,1963
brb,127200,1964
brb,127000,1965
brb,126900,1966
brb,126700,1967
brb,126600,1968
brb,126600,1969
brb,126600,1970
brb,126800,1971
brb,127000,1972
brb,127300,1973
brb,127700,1974
brb,128100,1975
brb,128500,1976
brb,129000,1977
brb,129500,1978
brb,129900,1979
brb,130400,1980
brb,130900,1981
brb,131300,1982
brb,131700,1983
brb,132100,1984
brb,132600,1985
brb,133100,1986
brb,133600,1987
brb,134100,1988
brb,134500,1989
brb,134800,1990
brb,134800,1991
brb,134700,1992
brb,134500,1993
brb,134100,1994
brb,133500,1995
brb,132900,1996
brb,132100,1997
brb,131300,1998
brb,130600,1999
brb,130100,2000
brb,129900,2001
brb,129900,2002
brb,130100,2003
brb,130400,2004
brb,130700,2005
brb,130900,2006
brb,131200,2007
brb,131500,2008
brb,131700,2009
brb,132000,2010
brb,132300,2011
brb,132500,2012
brb,132700,2013
brb,133000,2014
brb,133200,2015
brb,133400,2016
brb,133500,2017
brb,133700,2018
brb,133800,2019
brb,133900,2020
brb,134000,2021
brb,134100,2022
brb,134100,2023
brb,134100,2024
brb,134000,2025
brb,133900,2026
brb,133800,2027
brb,133700,2028
brb,133500,2029
brb,133200,2030
brb,133000,2031
brb,132700,2032
brb,132400,2033
brb,132000,2034
brb,131600,2035
brb,131200,2036
brb,130700,2037
brb,130300,2038
brb,129700,2039
brb,129200,2040
brb,128600,2041
brb,127900,2042
brb,127200,2043
brb,126500,2044
brb,125800,2045
