geo,lung_cancer_new_cases_per_100000_men,time
dnk,44.31,1967
dnk,47.19,1968
dnk,46.51,1969
dnk,49.59,1970
dnk,51.31,1971
dnk,53.47,1972
dnk,53.35,1973
dnk,54.25,1974
dnk,54.47,1975
dnk,55.17,1976
dnk,55.34,1977
dnk,56.79,1978
dnk,56.99,1979
dnk,56.21,1980
dnk,58.49,1981
dnk,58.66,1982
dnk,59.53,1983
dnk,57.47,1984
dnk,60.08,1985
dnk,55.36,1986
dnk,58.43,1987
dnk,55.91,1988
dnk,54.33,1989
dnk,50.64,1990
dnk,50.14,1991
dnk,51.99,1992
dnk,50.82,1993
dnk,50.53,1994
dnk,49.03,1995
dnk,47.56,1996
dnk,48.22,1997
dnk,45.3,2002
dji,3.6,2002
dom,18.6,2002
ecu,10.5,2002
egy,8.6,2002
slv,5.9,2002
gnq,4.7,2002
eri,3.6,2002
est,59.29,1968
est,59.01,1969
est,52.44,1970
est,50.25,1971
est,52.14,1972
est,55.51,1973
est,61.35,1974
est,60.26,1975
est,54.34,1976
est,61.93,1977
est,60.82,1978
est,62.38,1979
est,63.16,1980
est,67.62,1981
est,67.31,1982
est,65.35,1983
est,65.33,1984
est,66.1,1985
est,66.69,1986
est,72.21,1987
est,76.02,1988
est,74.47,1989
est,74.83,1990
est,76.97,1991
est,76.86,1992
est,74.9,1993
est,71.44,1994
est,77.94,1995
est,73.4,1996
est,73.95,1997
est,67.7,2002
eth,2.7,2002
fji,0.5,2002
fin,50.8,1953
fin,44.05,1954
fin,50.81,1955
fin,52.42,1956
fin,57.27,1957
fin,59.51,1958
fin,63.7,1959
fin,62.05,1960
fin,64.91,1961
fin,67.72,1962
fin,66.91,1963
fin,72.18,1964
fin,72.87,1965
fin,71.82,1966
fin,76.86,1967
fin,74.46,1968
fin,80.1,1969
fin,78.01,1970
fin,80.98,1971
fin,76.48,1972
fin,76.34,1973
fin,75.85,1974
fin,72.91,1975
fin,79.62,1976
fin,78.04,1977
fin,76.67,1978
fin,73.31,1979
fin,73.45,1980
fin,71.3,1981
fin,69.61,1982
fin,68.55,1983
fin,65.4,1984
fin,66.86,1985
fin,60.88,1986
fin,59.21,1987
fin,57.86,1988
fin,50.12,1989
fin,51.16,1990
fin,50.62,1991
fin,53.72,1992
fin,48.12,1993
fin,47.38,1994
fin,43.69,1995
fin,44.67,1996
fin,40.86,1997
fin,33.4,2002
fra,52.6,2002
pyf,17.4,2002
gab,9.9,2002
gmb,5.0,2002
geo,37.2,2002
deu,46.7,2002
gha,2.4,2002
grc,58.0,2002
gum,44.2,2002
gtm,16.1,2002
gin,7.9,2002
gnb,2.4,2002
guy,7.5,2002
hti,11.0,2002
hnd,16.1,2002
hkg,84.59,1983
hkg,75.33,1984
hkg,82.6,1985
hkg,77.83,1986
hkg,74.21,1987
hkg,76.95,1988
hkg,78.62,1989
hkg,78.02,1990
hkg,73.48,1991
hkg,69.31,1992
hkg,74.93,1993
hkg,72.52,1994
hkg,66.76,1995
hkg,64.07,1996
hkg,62.6,1997
hun,94.6,2002
isl,7.45,1958
isl,16.44,1959
isl,14.94,1960
isl,15.41,1961
isl,13.25,1962
isl,13.7,1963
isl,13.36,1964
isl,11.19,1965
isl,16.49,1966
isl,17.84,1967
isl,16.21,1968
isl,15.54,1969
isl,22.86,1970
isl,19.43,1971
isl,16.18,1972
isl,14.68,1973
isl,16.16,1974
isl,27.48,1975
isl,21.13,1976
isl,27.25,1977
isl,22.69,1978
isl,27.43,1979
isl,33.5,1980
isl,35.2,1981
isl,26.16,1982
isl,37.05,1983
isl,36.78,1984
isl,37.18,1985
isl,31.01,1986
isl,38.5,1987
isl,32.39,1988
isl,31.39,1989
isl,38.42,1990
isl,37.88,1991
isl,29.96,1992
isl,32.83,1993
isl,31.48,1994
isl,39.31,1995
isl,33.94,1996
isl,44.89,1997
isl,30.0,2002
ind,9.0,2002
idn,20.0,2002
irn,7.2,2002
irq,22.7,2002
irl,39.8,2002
isr,27.2,2002
ita,58.0,2002
jam,24.1,2002
jpn,38.1,2002
jor,16.5,2002
kaz,77.4,2002
ken,4.2,2002
prk,53.3,2002
kor,53.3,2002
kwt,18.9,2002
kgz,31.3,2002
lao,18.3,2002
lva,60.3,2002
lbn,31.3,2002
lso,11.6,2002
lbr,1.7,2002
lby,10.4,2002
ltu,57.5,2002
lux,61.3,2002
mkd,50.6,2002
mdg,3.6,2002
mwi,2.5,2002
mys,30.0,2002
mli,2.8,2002
mlt,41.1,2002
mrt,2.4,2002
mus,15.8,2002
mex,17.0,2002
mda,39.4,2002
mng,31.8,2002
mar,20.1,2002
moz,1.8,2002
mmr,27.6,2002
nam,6.1,2002
npl,11.9,2002
nld,59.7,2002
nzl,59.71,1983
nzl,57.08,1984
nzl,51.89,1985
nzl,51.55,1986
nzl,50.95,1987
nzl,52.64,1988
nzl,52.15,1989
nzl,48.04,1990
nzl,44.98,1991
nzl,46.54,1992
nzl,45.22,1993
nzl,46.84,1994
nzl,42.07,1995
nzl,40.37,1996
nzl,36.84,1997
nzl,37.3,2002
nic,12.2,2002
ner,4.7,2002
nga,1.1,2002
nor,8.72,1953
nor,9.88,1954
nor,8.76,1955
nor,10.1,1956
nor,10.63,1957
nor,11.17,1958
nor,12.79,1959
nor,13.59,1960
nor,13.65,1961
nor,14.28,1962
nor,15.38,1963
nor,16.01,1964
nor,15.69,1965
nor,16.76,1966
nor,18.11,1967
nor,21.53,1968
nor,19.62,1969
nor,22.27,1970
nor,23.32,1971
nor,23.55,1972
nor,20.68,1973
nor,24.16,1974
nor,26.01,1975
nor,27.14,1976
nor,27.24,1977
nor,28.77,1978
nor,28.24,1979
nor,30.75,1980
nor,32.6,1981
nor,32.38,1982
nor,30.54,1983
nor,34.52,1984
nor,33.53,1985
nor,36.9,1986
nor,33.97,1987
nor,34.97,1988
nor,34.06,1989
nor,34.74,1990
nor,34.95,1991
nor,35.8,1992
nor,36.73,1993
nor,36.69,1994
nor,35.45,1995
nor,36.55,1996
nor,36.22,1997
nor,36.4,2002
omn,9.6,2002
pak,20.1,2002
pan,15.0,2002
png,2.2,2002
pry,19.8,2002
per,11.6,2002
phl,50.2,2002
pol,82.0,2002
prt,34.2,2002
pri,19.5,2002
qat,19.9,2002
rou,50.0,2002
rus,66.8,2002
rwa,1.7,2002
wsm,17.4,2002
sau,10.3,2002
sen,1.4,2002
scg,60.4,2002
sle,2.4,2002
sgp,46.4,2002
svk,51.33,1968
svk,45.19,1969
svk,51.85,1970
svk,49.38,1971
svk,54.47,1972
svk,49.74,1973
svk,55.54,1974
svk,51.09,1975
svk,59.28,1976
svk,60.55,1977
svk,62.88,1978
svk,65.79,1979
svk,68.22,1980
svk,73.23,1981
svk,75.28,1982
svk,77.42,1983
svk,79.45,1984
svk,77.97,1985
svk,80.41,1986
svk,81.59,1987
svk,82.77,1988
svk,78.85,1989
svk,75.86,1990
svk,79.06,1991
svk,78.74,1992
svk,72.06,1993
svk,71.49,1994
svk,72.71,1995
svk,71.82,1996
svk,68.91,1997
svk,67.5,2002
svn,37.25,1963
svn,40.03,1964
svn,37.63,1965
svn,38.56,1966
svn,45.71,1967
svn,45.27,1968
svn,44.44,1969
svn,44.72,1970
svn,48.85,1971
svn,48.09,1972
svn,53.45,1973
svn,52.2,1974
svn,56.33,1975
svn,57.65,1976
svn,55.45,1977
svn,57.07,1978
svn,57.48,1979
svn,55.73,1980
svn,62.0,1981
svn,60.23,1982
svn,58.06,1983
svn,60.93,1984
svn,68.94,1985
svn,63.6,1986
svn,60.09,1987
svn,61.91,1988
svn,65.96,1989
svn,66.88,1990
svn,66.04,1991
svn,67.47,1992
svn,70.68,1993
svn,62.49,1994
svn,69.63,1995
svn,63.86,1996
svn,64.79,1997
svn,57.1,2002
slb,16.1,2002
som,3.6,2002
zaf,25.0,2002
esp,55.8,2002
lka,9.9,2002
sdn,1.0,2002
sur,13.6,2002
swz,9.6,2002
swe,12.72,1958
swe,14.29,1959
swe,14.54,1960
swe,15.89,1961
swe,17.31,1962
swe,18.4,1963
swe,18.74,1964
swe,19.52,1965
swe,18.5,1966
swe,19.01,1967
swe,21.25,1968
swe,21.01,1969
swe,21.77,1970
swe,22.63,1971
swe,23.72,1972
swe,24.48,1973
swe,24.85,1974
swe,24.92,1975
swe,26.53,1976
swe,25.15,1977
swe,25.12,1978
swe,23.63,1979
swe,25.84,1980
swe,26.2,1981
swe,27.09,1982
swe,25.98,1983
swe,26.73,1984
swe,25.44,1985
swe,25.18,1986
swe,24.86,1987
swe,24.58,1988
swe,24.75,1989
swe,24.48,1990
swe,24.68,1991
swe,23.46,1992
swe,22.51,1993
swe,23.7,1994
swe,21.61,1995
swe,20.95,1996
swe,21.42,1997
swe,21.1,2002
che,44.6,2002
syr,32.9,2002
tjk,9.4,2002
tza,2.0,2002
tha,25.5,2002
tgo,2.4,2002
tto,14.3,2002
tun,27.8,2002
tur,47.7,2002
tkm,22.0,2002
uga,3.3,2002
ukr,58.0,2002
are,13.7,2002
gbr,48.1,2002
usa,61.9,2002
ury,60.0,2002
uzb,17.1,2002
vut,13.6,2002
ven,18.6,2002
vnm,29.6,2002
yem,4.1,2002
zmb,6.6,2002
zwe,12.3,2002
