geo,murder_per_100000_people,time
chl,2.632,1974
chl,2.384,1975
chl,1.933,1976
chl,2.296,1977
chl,2.635,1978
chl,2.735,1979
chl,2.79,1980
chl,3.28,1981
chl,3.492,1982
chl,3.421,1983
chl,3.529,1984
chl,3.449,1985
chl,3.227,1986
chl,2.9,1987
chl,3.198,1988
chl,2.99,1989
chl,3.204,1990
chl,3.499,1991
chl,3.057,1992
chl,2.671,1993
chl,2.998,1994
chl,3.3,1995
chl,3.07,1996
chl,2.594,1997
chl,2.826,1998
chl,2.967,1999
chl,5.201,2000
chl,5.416,2001
chl,5.346,2002
chl,5.207,2003
chl,5.26,2004
chl,5.722,2005
chn,2.845,2002
chn,2.057,2004
chn,1.717,2005
col,36.01,1953
col,28.88,1954
col,39.93,1955
col,51.42,1956
col,50.82,1957
col,64.36,1958
col,49.61,1959
col,42.03,1960
col,44.18,1961
col,44.17,1962
col,39.8,1963
col,34.04,1964
col,34.23,1965
col,28.61,1966
col,29.4,1967
col,22.49,1968
col,19.59,1969
col,23.59,1972
col,24.55,1974
col,23.76,1975
col,25.18,1976
col,27.7,1977
col,36.87,1984
col,46.29,1985
col,53.11,1986
col,52.28,1987
col,60.96,1988
col,67.13,1989
col,71.68,1990
col,90.58,1991
col,90.93,1992
col,87.38,1993
col,79.7,1994
col,62.1,1995
col,65.03,1996
col,58.46,1997
col,62.23,1998
col,63.81,1999
col,69.68,2000
col,71.28,2001
col,73.77,2002
col,50.47,2004
col,41.77,2005
com,8.972,2002
com,11.29,2004
com,11.29,2005
cod,27.34,2002
cod,45.13,2004
cod,45.13,2005
cog,20.57,2002
cog,23.48,2004
cog,23.48,2005
cok,0.9643,2002
cok,0.8403,2004
cok,0.8403,2005
cri,5.248,1962
cri,4.723,1963
cri,4.729,1964
cri,4.09,1965
cri,5.486,1966
cri,4.008,1967
cri,3.282,1968
cri,3.913,1969
cri,5.621,1970
cri,5.538,1971
cri,4.338,1972
cri,4.278,1973
cri,4.67,1974
cri,6.483,1975
cri,6.855,1976
cri,5.458,1977
cri,4.565,1978
cri,4.701,1979
cri,6.277,1980
cri,5.962,1981
cri,5.598,1982
cri,4.25,1983
cri,5.21,1984
cri,5.475,1985
cri,4.338,1986
cri,5.238,1987
cri,4.677,1988
cri,4.818,1989
cri,5.018,1990
cri,4.821,1991
cri,5.651,1992
cri,5.834,1993
cri,5.911,1994
cri,5.367,1995
cri,6.117,1996
cri,6.092,1997
cri,6.199,1998
cri,6.469,1999
cri,6.653,2000
cri,6.399,2001
cri,6.06,2002
cri,7.034,2003
cri,6.231,2004
cri,7.079,2005
civ,33.18,2002
civ,62.41,2004
civ,62.41,2005
hrv,2.255,1985
hrv,2.287,1986
hrv,2.38,1987
hrv,1.907,1988
hrv,2.142,1989
hrv,2.541,1990
hrv,3.618,1991
hrv,4.751,1992
hrv,4.579,1993
hrv,3.242,1994
hrv,3.175,1995
hrv,2.787,1996
hrv,2.535,1997
hrv,3.143,1998
hrv,2.582,1999
hrv,2.43,2000
hrv,1.75,2001
hrv,1.294,2002
hrv,1.47,2003
hrv,1.595,2004
hrv,1.209,2005
cub,6.513,1964
cub,4.031,1968
cub,3.815,1969
cub,4.502,1970
cub,4.908,1971
cub,3.964,1972
cub,4.058,1973
cub,4.112,1974
cub,4.465,1975
cub,4.129,1976
cub,4.292,1977
cub,5.738,1992
cub,6.769,1993
cub,7.486,1994
cub,7.143,1995
cub,6.091,1996
cub,6.301,1997
cub,6.882,1998
cub,5.123,1999
cub,5.049,2000
cub,5.184,2001
cub,5.608,2002
cub,5.427,2003
cub,5.54,2004
cub,5.782,2005
cyp,0.0,1999
cyp,0.7501,2000
cyp,0.2177,2002
cyp,1.354,2004
cyp,1.597,2005
cze,1.061,1986
cze,1.049,1987
cze,0.812,1988
cze,0.9837,1989
cze,1.809,1990
cze,1.729,1991
cze,1.863,1992
cze,2.123,1993
cze,2.206,1994
cze,1.729,1995
cze,1.57,1996
cze,1.488,1997
cze,1.548,1998
cze,1.403,1999
cze,1.454,2000
cze,1.213,2001
cze,1.193,2002
cze,1.193,2003
cze,1.071,2004
cze,0.8018,2005
cheslo,1.667,1953
cheslo,1.278,1954
cheslo,1.434,1955
cheslo,1.337,1956
cheslo,1.304,1957
cheslo,1.073,1958
cheslo,1.082,1959
cheslo,1.111,1960
cheslo,1.138,1961
cheslo,1.128,1962
cheslo,1.178,1963
cheslo,1.22,1964
cheslo,1.244,1965
cheslo,1.157,1966
cheslo,1.182,1967
cheslo,1.326,1968
cheslo,1.444,1969
cheslo,1.533,1970
cheslo,1.425,1971
cheslo,1.32,1972
cheslo,1.18,1973
cheslo,1.114,1974
cheslo,1.294,1975
cheslo,0.8659,1976
cheslo,1.008,1977
cheslo,1.128,1978
cheslo,1.091,1979
cheslo,1.127,1980
cheslo,1.088,1981
cheslo,1.14,1982
cheslo,1.347,1983
cheslo,1.105,1984
cheslo,1.237,1985
cheslo,1.109,1986
cheslo,1.201,1987
cheslo,1.06,1988
cheslo,1.173,1989
cheslo,1.858,1990
cheslo,2.049,1991
dnk,0.999,1951
dnk,0.8512,1952
dnk,1.283,1953
dnk,0.7437,1954
dnk,0.5461,1955
dnk,0.9908,1956
dnk,0.5519,1957
dnk,0.553,1958
dnk,0.5027,1959
dnk,0.5309,1960
dnk,0.3895,1961
dnk,0.5188,1962
dnk,0.8195,1963
dnk,0.4276,1964
dnk,0.6278,1965
dnk,0.4864,1966
dnk,0.4764,1967
dnk,0.5946,1968
dnk,0.6951,1969
dnk,0.6558,1970
dnk,0.9539,1971
dnk,0.5961,1972
dnk,0.9776,1973
dnk,0.7371,1974
dnk,0.6059,1975
dnk,0.7209,1976
dnk,0.7118,1977
dnk,0.5424,1978
dnk,1.027,1979
dnk,1.345,1980
dnk,1.373,1981
dnk,1.015,1982
dnk,1.172,1983
dnk,1.065,1984
dnk,1.455,1985
dnk,1.287,1986
dnk,1.011,1987
dnk,1.165,1988
dnk,1.195,1989
dnk,1.003,1990
dnk,1.359,1991
dnk,1.263,1992
dnk,1.275,1993
dnk,1.31,1994
dnk,1.18,1995
dnk,1.12,1996
dnk,1.163,1997
dnk,0.9363,1998
dnk,1.103,1999
dnk,1.211,2000
dnk,0.8623,2001
dnk,0.8946,2002
dnk,1.105,2003
dnk,0.6282,2004
dnk,1.004,2005
dji,4.094,2002
dji,3.779,2004
dji,3.779,2005
dma,4.584,2002
dma,9.842,2004
dma,9.842,2005
dom,6.925,1996
dom,8.188,1997
dom,9.886,1998
dom,10.94,1999
dom,8.985,2000
dom,10.72,2001
dom,11.19,2002
dom,13.14,2003
dom,18.61,2004
dom,19.49,2005
deu_east,0.5091,1973
deu_east,0.4251,1974
deu_east,0.7103,1989
deu_east,1.009,1990
ecu,15.57,1997
ecu,18.08,1998
ecu,18.76,1999
ecu,21.47,2000
ecu,19.78,2001
ecu,24.77,2002
ecu,15.74,2003
ecu,25.13,2004
ecu,22.06,2005
egy,1.728,1973
egy,1.253,1974
egy,1.397,1975
egy,1.448,1976
egy,2.2,1977
egy,1.261,1978
egy,0.9499,1979
egy,1.076,1980
egy,0.6157,1987
egy,0.07967,2000
egy,1.46,2002
egy,1.497,2004
egy,1.559,2005
slv,43.45,1997
slv,49.42,1998
slv,42.0,1999
slv,39.27,2000
slv,37.98,2001
slv,42.39,2002
slv,33.83,2003
slv,41.19,2004
slv,49.73,2005
gnq,15.9,2002
gnq,28.3,2004
gnq,28.3,2005
eri,9.641,2002
eri,20.35,2004
eri,20.35,2005
est,8.047,1981
est,7.847,1982
est,6.626,1985
est,5.933,1986
est,5.675,1987
est,5.737,1988
est,7.748,1989
est,10.89,1990
est,10.75,1991
est,19.81,1992
est,25.92,1993
est,28.8,1994
est,22.67,1995
est,19.9,1996
est,15.76,1997
est,18.03,1998
est,15.63,1999
est,13.08,2000
est,13.93,2001
est,10.56,2002
est,10.22,2003
est,6.907,2004
est,8.09,2005
eth,26.46,2002
eth,25.66,2004
eth,25.66,2005
fji,0.0,1999
fji,0.861,2002
fji,0.692,2004
fji,0.692,2005
fin,3.386,1952
fin,3.196,1953
fin,3.166,1954
fin,2.684,1955
fin,2.702,1956
fin,2.724,1957
fin,2.311,1958
fin,1.87,1959
fin,3.036,1960
fin,2.592,1961
fin,2.692,1962
fin,2.497,1963
fin,2.153,1964
fin,2.011,1965
fin,2.305,1966
fin,2.298,1967
fin,2.094,1968
fin,2.66,1969
fin,2.094,1970
fin,2.79,1971
fin,3.217,1972
fin,2.689,1973
fin,2.523,1974
fin,3.539,1975
fin,3.198,1976
fin,2.807,1977
fin,2.921,1978
fin,2.519,1979
fin,3.203,1980
fin,2.609,1981
fin,2.691,1982
fin,2.837,1983
fin,2.621,1984
fin,2.582,1985
fin,3.138,1986
fin,2.599,1987
fin,2.583,1988
fin,3.03,1989
fin,3.012,1990
fin,2.825,1991
fin,3.23,1992
fin,3.111,1993
fin,3.024,1994
fin,2.849,1995
fin,3.299,1996
fin,2.536,1997
fin,2.239,1998
fin,2.512,1999
fin,2.632,2000
fin,2.66,2001
fin,2.514,2002
fin,1.78,2003
fin,2.305,2004
fin,1.92,2005
fra,0.7433,1950
fra,0.5889,1952
fra,0.6233,1953
fra,0.5758,1954
fra,0.6837,1955
fra,0.8094,1956
fra,2.033,1957
fra,2.343,1958
fra,2.011,1959
fra,1.659,1960
fra,2.389,1961
fra,1.616,1962
fra,0.7695,1963
fra,0.8565,1964
fra,0.7992,1965
fra,0.7327,1966
fra,0.919,1967
fra,0.7515,1968
fra,0.8207,1969
fra,0.738,1970
fra,0.7827,1971
fra,0.8751,1972
fra,0.8028,1973
fra,0.9601,1974
fra,1.007,1975
fra,0.9083,1976
fra,0.9854,1977
fra,1.006,1978
fra,1.077,1979
fra,0.9755,1980
fra,0.9944,1981
fra,1.111,1982
fra,1.248,1983
fra,1.306,1984
fra,1.223,1985
fra,1.155,1986
fra,1.069,1987
fra,0.9662,1988
fra,1.1,1989
fra,1.043,1990
fra,1.053,1991
fra,0.9811,1992
fra,1.054,1993
fra,1.103,1994
fra,1.017,1995
fra,0.9991,1996
fra,0.8968,1997
fra,0.7136,1998
fra,0.6816,1999
fra,0.8425,2000
fra,0.819,2001
fra,0.7849,2002
fra,0.7294,2003
fra,0.7073,2004
fra,0.6887,2005
guf,11.19,2001
guf,14.2,2002
guf,9.059,2003
guf,14.31,2004
guf,8.453,2005
gab,11.2,2002
gab,18.65,2004
gab,18.65,2005
gmb,11.82,2002
gmb,16.07,2004
gmb,16.07,2005
geo,3.129,1981
geo,2.357,1982
geo,2.317,1985
geo,1.958,1986
geo,2.567,1987
geo,2.874,1988
geo,4.228,1989
geo,2.747,1990
geo,1.537,1991
geo,0.2172,1992
geo,0.2386,1994
geo,0.0272,1995
geo,0.5588,1996
geo,1.922,1997
geo,4.13,1998
geo,3.626,1999
geo,3.073,2000
geo,3.709,2001
geo,3.501,2002
geo,3.372,2004
geo,4.895,2005
deu,0.9759,1990
deu,1.106,1991
deu,1.125,1992
deu,1.153,1993
deu,1.149,1994
deu,1.137,1995
deu,1.077,1996
deu,0.8856,1997
deu,0.8662,1998
deu,0.8779,1999
deu,0.733,2000
deu,0.6831,2001
deu,0.7248,2002
deu,0.6584,2003
deu,0.6259,2004
deu,0.5484,2005
gha,10.68,2002
gha,14.09,2004
gha,11.68,2005
grc,1.296,1961
grc,1.18,1962
grc,1.098,1963
grc,0.9747,1964
grc,1.069,1965
grc,0.8675,1966
grc,0.7421,1967
grc,0.7321,1968
grc,0.7257,1969
grc,0.5592,1970
grc,0.5893,1971
grc,0.4951,1972
grc,0.7481,1973
grc,0.5656,1974
grc,0.7973,1975
grc,0.6665,1976
grc,0.6228,1977
grc,0.6635,1978
grc,0.7041,1979
grc,0.6899,1980
grc,0.8042,1981
grc,0.894,1982
grc,0.7902,1983
grc,0.8885,1984
grc,1.013,1985
grc,0.9069,1986
grc,0.7473,1987
grc,1.067,1988
grc,0.7603,1989
grc,1.01,1990
grc,1.37,1991
grc,1.123,1992
grc,1.191,1993
grc,1.05,1994
grc,1.17,1995
grc,1.408,1996
grc,1.414,1997
grc,1.172,1998
grc,1.057,1999
grc,0.9715,2000
grc,0.8846,2001
grc,0.657,2002
grc,0.9716,2003
grc,0.8121,2004
grc,0.9169,2005
grd,0.0,2001
grd,4.574,2002
grd,0.0,2003
grd,4.713,2004
grd,4.713,2005
glp,0.494,2000
glp,4.456,2001
glp,4.877,2002
glp,4.655,2003
glp,3.942,2004
glp,5.152,2005
gtm,15.97,1963
gtm,15.62,1964
gtm,14.18,1965
gtm,19.88,1966
gtm,31.98,1967
gtm,25.45,1968
gtm,18.78,1969
gtm,26.29,1970
gtm,26.15,1971
gtm,1.777,1974
gtm,1.56,1977
gtm,28.45,1979
gtm,73.15,1980
gtm,131.0,1981
gtm,4.299,1984
gtm,25.64,1986
gtm,30.11,1987
gtm,30.31,1988
gtm,24.47,1989
gtm,25.07,1990
gtm,24.76,1991
gtm,24.16,1992
gtm,23.57,1993
gtm,27.4,1994
gtm,26.43,1995
gtm,28.12,1996
gtm,37.7,1997
gtm,34.03,1998
gtm,24.09,1999
gtm,24.63,2000
gtm,25.19,2001
gtm,28.89,2002
gtm,33.41,2003
gtm,32.98,2004
gtm,41.18,2005
gin,29.6,2002
gin,20.49,2004
gin,20.49,2005
gnb,15.78,2002
gnb,21.2,2004
gnb,21.2,2005
guy,12.68,1991
guy,11.49,1992
guy,4.365,1998
guy,10.64,1999
guy,10.49,2001
guy,10.55,2002
guy,28.21,2003
guy,23.81,2004
guy,25.77,2005
hti,0.0,1997
hti,2.113,1999
hti,2.521,2001
hti,14.56,2002
hti,2.865,2003
hti,6.843,2004
hti,6.843,2005
hnd,16.23,2002
hnd,26.43,2004
hnd,29.06,2005
hkg,0.767,2001
hkg,1.05,2002
hkg,0.975,2003
hkg,0.517,2004
hkg,0.674,2005
hun,1.954,1955
hun,2.299,1956
hun,4.002,1957
hun,2.662,1958
hun,2.851,1959
hun,1.581,1960
hun,2.246,1961
hun,2.051,1962
hun,1.82,1963
hun,1.824,1964
hun,1.6,1965
hun,1.988,1966
hun,1.944,1967
hun,2.303,1968
hun,2.223,1969
hun,1.94,1970
hun,2.076,1971
hun,2.129,1972
hun,2.183,1973
hun,1.87,1974
hun,1.943,1975
hun,2.026,1976
hun,1.876,1977
hun,2.152,1978
hun,2.175,1979
hun,2.479,1980
hun,2.476,1981
hun,2.359,1982
hun,2.398,1983
hun,2.45,1984
hun,2.557,1985
hun,2.682,1986
hun,2.453,1987
hun,2.659,1988
hun,2.653,1989
hun,2.902,1990
hun,3.632,1991
hun,3.598,1992
hun,3.725,1993
hun,3.113,1994
hun,3.137,1995
hun,2.894,1996
hun,2.951,1997
hun,2.945,1998
hun,2.613,1999
hun,2.38,2000
hun,2.083,2001
hun,2.281,2002
hun,1.731,2003
hun,1.856,2004
hun,1.624,2005
isl,0.443,1996
isl,1.204,1997
isl,0.0,1998
isl,0.542,1999
isl,2.104,2000
isl,0.732,2001
isl,0.5809,2002
isl,0.0,2003
isl,0.9975,2004
isl,1.04,2005
ind,6.584,2002
ind,6.543,2004
ind,6.272,2005
idn,10.39,2002
idn,9.676,2004
idn,9.676,2005
irn,5.046,2002
irn,2.773,2004
irn,2.773,2005
irq,4.064,2002
irq,8.528,2004
irq,8.528,2005
irl,0.3403,1950
irl,0.2062,1951
irl,0.267,1952
irl,0.4177,1953
irl,0.3086,1954
irl,0.2101,1955
irl,0.08519,1956
irl,0.2059,1957
irl,0.2734,1958
irl,0.3192,1959
irl,0.1201,1960
irl,0.2034,1961
irl,0.3483,1962
irl,0.2111,1963
irl,0.5924,1964
irl,0.2458,1965
irl,0.436,1966
irl,0.4173,1967
irl,0.3749,1968
irl,0.2934,1969
irl,0.3742,1970
irl,0.5294,1971
irl,0.7164,1972
irl,0.361,1973
irl,0.7092,1974
irl,1.062,1975
irl,0.3568,1976
irl,0.9202,1977
irl,0.8066,1978
irl,0.9076,1979
irl,0.7604,1980
irl,1.941,1981
irl,0.654,1982
irl,0.8346,1983
irl,0.6019,1984
irl,0.7086,1985
irl,0.8601,1986
irl,1.134,1987
irl,0.8448,1988
irl,0.6673,1989
irl,0.6666,1990
irl,0.6238,1991
irl,0.7959,1992
irl,0.6457,1993
irl,0.6944,1994
irl,0.7671,1995
irl,0.9313,1996
irl,0.8421,1997
irl,1.059,1998
irl,0.9793,1999
irl,1.03,2000
irl,1.023,2001
irl,1.065,2002
irl,0.8854,2003
irl,0.5714,2004
irl,0.8956,2005
isr,1.608,1975
isr,1.757,1976
isr,1.564,1977
isr,1.717,1978
isr,1.931,1979
isr,1.899,1980
isr,2.037,1981
isr,1.853,1982
isr,2.136,1983
isr,1.601,1984
isr,2.324,1985
isr,1.94,1986
isr,1.457,1987
isr,1.403,1988
isr,2.636,1989
isr,1.902,1990
isr,1.28,1991
isr,1.241,1992
isr,2.421,1993
isr,2.322,1994
isr,1.46,1995
isr,1.043,1996
isr,0.5413,1997
isr,0.5022,1998
isr,2.143,1999
isr,3.123,2000
isr,5.798,2001
isr,7.765,2002
isr,5.056,2003
isr,3.574,2004
isr,2.959,2005
ita,1.477,1951
ita,1.448,1952
ita,1.361,1953
ita,1.374,1954
ita,1.454,1955
ita,1.518,1956
ita,1.361,1957
ita,1.342,1958
ita,1.22,1959
ita,1.295,1960
ita,1.123,1961
ita,0.9624,1962
ita,0.9494,1963
ita,0.8685,1964
ita,0.8693,1965
ita,0.7921,1966
ita,0.9055,1967
ita,0.8752,1968
ita,0.821,1969
ita,0.8245,1970
ita,0.9978,1971
ita,1.041,1972
ita,1.162,1973
ita,1.145,1974
ita,1.286,1975
ita,1.377,1976
ita,1.435,1977
ita,1.446,1978
ita,1.595,1979
ita,1.867,1980
ita,1.899,1981
ita,2.088,1982
ita,1.907,1983
ita,1.622,1984
ita,1.45,1985
ita,1.209,1986
ita,1.543,1987
ita,1.769,1988
ita,2.157,1989
ita,2.551,1990
ita,2.732,1991
ita,2.109,1992
ita,1.613,1993
ita,1.473,1994
ita,1.417,1995
ita,1.368,1996
