cell_phones_per_100_people,geo,time
0.0,bhr,1976
0.0,bhr,1977
0.0,bhr,1978
0.0,bhr,1979
0.0,bhr,1980
0.0,bhr,1981
0.0,bhr,1982
0.0,bhr,1983
0.0,bhr,1984
0.0,bhr,1985
0.1434,bhr,1986
0.3837,bhr,1987
0.6244,bhr,1988
0.8893,bhr,1989
1.044,bhr,1990
1.451,bhr,1991
1.863,bhr,1992
2.134,bhr,1993
3.23,bhr,1994
4.937,bhr,1995
6.971,bhr,1996
9.873,bhr,1997
15.06,bhr,1998
21.29,bhr,1999
32.24,bhr,2000
46.63,bhr,2001
60.58,bhr,2002
68.47,bhr,2003
96.73,bhr,2004
105.8,bhr,2005
111.8,bhr,2006
120.6,bhr,2007
136.9,bhr,2008
119.9,bhr,2009
124.2,bhr,2010
128.0,bhr,2011
0.0,bgd,1965
0.0,bgd,1970
0.0,bgd,1975
0.0,bgd,1976
0.0,bgd,1977
0.0,bgd,1978
0.0,bgd,1979
0.0,bgd,1980
0.0,bgd,1981
0.0,bgd,1982
0.0,bgd,1983
0.0,bgd,1984
0.0,bgd,1985
0.0,bgd,1986
0.0,bgd,1987
0.0,bgd,1988
0.0,bgd,1989
0.0,bgd,1990
0.0,bgd,1991
0.0002268,bgd,1992
0.0004439,bgd,1993
0.0009595,bgd,1994
0.002128,bgd,1995
0.003335,bgd,1996
0.02125,bgd,1997
0.06009,bgd,1998
0.1171,bgd,1999
0.2153,bgd,2000
0.3941,bgd,2001
0.8006,bgd,2002
0.9999,bgd,2003
2.006,bgd,2004
6.402,bgd,2005
13.44,bgd,2006
23.88,bgd,2007
30.68,bgd,2008
35.66,bgd,2009
46.17,bgd,2010
56.48,bgd,2011
0.0,brb,1965
0.0,brb,1970
0.0,brb,1975
0.0,brb,1976
0.0,brb,1977
0.0,brb,1978
0.0,brb,1979
0.0,brb,1980
0.0,brb,1981
0.0,brb,1982
0.0,brb,1983
0.0,brb,1984
0.0,brb,1985
0.0,brb,1986
0.0,brb,1987
0.0,brb,1988
0.0,brb,1989
0.0,brb,1990
0.1867,brb,1991
0.3048,brb,1992
0.5957,brb,1993
1.13,brb,1994
1.752,brb,1995
2.378,brb,1996
3.023,brb,1997
4.512,brb,1998
7.613,brb,1999
10.64,brb,2000
19.8,brb,2001
36.16,brb,2002
51.97,brb,2003
74.14,brb,2004
76.22,brb,2005
87.48,brb,2006
94.84,brb,2007
106.1,brb,2008
123.6,brb,2009
128.1,brb,2010
127.0,brb,2011
0.0,blr,1965
0.0,blr,1970
0.0,blr,1975
0.0,blr,1976
0.0,blr,1977
0.0,blr,1978
0.0,blr,1979
0.0,blr,1980
0.0,blr,1981
0.0,blr,1982
0.0,blr,1983
0.0,blr,1984
0.0,blr,1985
0.0,blr,1986
0.0,blr,1987
0.0,blr,1988
0.0,blr,1989
0.0,blr,1990
0.0,blr,1991
0.0,blr,1992
0.003145,blr,1993
0.01675,blr,1994
0.0574,blr,1995
0.06392,blr,1996
0.08003,blr,1997
0.1197,blr,1998
0.2321,blr,1999
0.4907,blr,2000
1.382,blr,2001
4.643,blr,2002
11.27,blr,2003
22.68,blr,2004
41.72,blr,2005
60.96,blr,2006
71.54,blr,2007
83.96,blr,2008
100.5,blr,2009
107.7,blr,2010
111.9,blr,2011
0.0,bel,1965
0.0,bel,1970
0.0,bel,1975
0.0,bel,1976
0.0,bel,1977
0.0,bel,1978
0.0,bel,1979
0.0,bel,1980
0.0,bel,1981
0.0,bel,1982
0.0,bel,1983
0.0,bel,1984
0.0,bel,1985
0.03855,bel,1986
0.07317,bel,1987
0.1936,bel,1988
0.3103,bel,1989
0.431,bel,1990
0.5154,bel,1991
0.6143,bel,1992
0.6755,bel,1993
1.273,bel,1994
2.334,bel,1995
4.735,bel,1996
9.636,bel,1997
17.34,bel,1998
31.4,bel,1999
55.32,bel,2000
75.38,bel,2001
79.01,bel,2002
83.53,bel,2003
88.17,bel,2004
92.23,bel,2005
94.01,bel,2006
101.9,bel,2007
107.0,bel,2008
110.5,bel,2009
113.5,bel,2010
116.6,bel,2011
0.0,blz,1965
0.0,blz,1970
0.0,blz,1975
0.0,blz,1976
0.0,blz,1977
0.0,blz,1978
0.0,blz,1979
0.0,blz,1980
0.0,blz,1981
0.0,blz,1982
0.0,blz,1983
0.0,blz,1984
0.0,blz,1985
0.0,blz,1986
0.0,blz,1987
0.0,blz,1988
0.0,blz,1989
0.0,blz,1990
0.0,blz,1991
0.0,blz,1992
0.1923,blz,1993
0.3885,blz,1994
0.7022,blz,1995
0.9647,blz,1996
1.094,blz,1997
1.482,blz,1998
2.696,blz,1999
6.711,blz,2000
15.26,blz,2001
19.69,blz,2002
22.47,blz,2003
27.29,blz,2004
34.17,blz,2005
41.11,blz,2006
40.36,blz,2007
53.48,blz,2008
52.97,blz,2009
62.32,blz,2010
63.87,blz,2011
0.0,ben,1965
0.0,ben,1970
0.0,ben,1975
0.0,ben,1976
0.0,ben,1977
0.0,ben,1978
0.0,ben,1979
0.0,ben,1980
0.0,ben,1981
0.0,ben,1982
0.0,ben,1983
0.0,ben,1984
0.0,ben,1985
0.0,ben,1986
0.0,ben,1987
0.0,ben,1988
0.0,ben,1989
0.0,ben,1990
0.0,ben,1991
0.0,ben,1992
0.0,ben,1993
0.0,ben,1994
0.01858,ben,1995
0.0465,ben,1996
0.07173,ben,1997
0.1021,ben,1998
0.1148,ben,1999
0.8511,ben,2000
1.86,ben,2001
3.153,ben,2002
3.296,ben,2003
6.209,ben,2004
7.811,ben,2005
13.41,ben,2006
25.29,ben,2007
43.39,ben,2008
58.52,ben,2009
79.94,ben,2010
85.33,ben,2011
0.0,bmu,1965
0.0,bmu,1970
0.0,bmu,1975
0.0,bmu,1976
0.0,bmu,1977
0.0,bmu,1978
0.0,bmu,1979
0.0,bmu,1980
0.0,bmu,1981
0.0,bmu,1982
0.0,bmu,1983
0.0,bmu,1984
0.0,bmu,1985
0.0,bmu,1986
1.254,bmu,1989
1.86,bmu,1990
2.394,bmu,1991
3.201,bmu,1992
5.592,bmu,1993
8.391,bmu,1994
10.3,bmu,1995
12.93,bmu,1996
16.58,bmu,1997
20.19,bmu,1998
20.46,bmu,1999
20.69,bmu,2000
21.13,bmu,2001
47.33,bmu,2002
62.84,bmu,2003
76.68,bmu,2004
82.21,bmu,2005
93.43,bmu,2006
107.0,bmu,2007
122.2,bmu,2008
131.2,bmu,2009
135.8,bmu,2010
0.0,btn,1965
0.0,btn,1970
0.0,btn,1975
0.0,btn,1976
0.0,btn,1977
0.0,btn,1978
0.0,btn,1979
0.0,btn,1980
0.0,btn,1981
0.0,btn,1982
0.0,btn,1983
0.0,btn,1984
0.0,btn,1985
0.0,btn,1986
0.0,btn,1987
0.0,btn,1988
0.0,btn,1989
0.0,btn,1990
0.0,btn,1991
0.0,btn,1992
0.0,btn,1993
0.0,btn,1994
0.0,btn,1995
0.0,btn,1996
0.0,btn,1997
0.0,btn,1998
0.0,btn,1999
0.0,btn,2000
0.0,btn,2001
0.0,btn,2002
0.3611,btn,2003
2.979,btn,2004
5.46,btn,2005
12.17,btn,2006
21.7,btn,2007
36.13,btn,2008
47.49,btn,2009
54.32,btn,2010
65.58,btn,2011
0.0,bol,1965
0.0,bol,1970
0.0,bol,1975
0.0,bol,1976
0.0,bol,1977
0.0,bol,1978
0.0,bol,1979
0.0,bol,1980
0.0,bol,1981
0.0,bol,1982
0.0,bol,1983
0.0,bol,1984
0.0,bol,1985
0.0,bol,1986
0.0,bol,1987
0.0,bol,1988
0.0,bol,1989
0.0,bol,1990
0.004329,bol,1991
0.02224,bol,1992
0.03725,bol,1993
0.05553,bol,1994
0.09676,bol,1995
0.4373,bol,1996
1.518,bol,1997
3.002,bol,1998
5.165,bol,1999
7.013,bol,2000
9.201,bol,2001
11.84,bol,2002
14.51,bol,2003
20.05,bol,2004
26.47,bol,2005
30.9,bol,2006
34.39,bol,2007
52.38,bol,2008
66.14,bol,2009
72.3,bol,2010
82.8,bol,2011
0.0,bih,1965
0.0,bih,1970
0.0,bih,1975
0.0,bih,1976
0.0,bih,1977
0.0,bih,1978
0.0,bih,1979
0.0,bih,1980
0.0,bih,1981
0.0,bih,1982
0.0,bih,1983
0.0,bih,1984
0.0,bih,1985
0.0,bih,1986
0.0,bih,1987
0.0,bih,1988
0.0,bih,1989
0.0,bih,1990
0.0,bih,1991
0.0,bih,1992
0.0,bih,1993
0.0,bih,1994
0.0,bih,1995
0.04538,bih,1996
0.2674,bih,1997
0.7235,bih,1998
1.461,bih,1999
2.528,bih,2000
11.86,bih,2001
19.83,bih,2002
28.41,bih,2003
37.22,bih,2004
42.17,bih,2005
49.92,bih,2006
64.84,bih,2007
84.23,bih,2008
86.45,bih,2009
82.72,bih,2010
84.52,bih,2011
0.0,bwa,1965
0.0,bwa,1970
0.0,bwa,1975
0.0,bwa,1976
0.0,bwa,1977
0.0,bwa,1978
0.0,bwa,1979
0.0,bwa,1980
0.0,bwa,1981
0.0,bwa,1982
0.0,bwa,1983
0.0,bwa,1984
0.0,bwa,1985
0.0,bwa,1986
0.0,bwa,1987
0.0,bwa,1988
0.0,bwa,1989
0.0,bwa,1990
0.0,bwa,1991
0.0,bwa,1992
0.0,bwa,1993
0.0,bwa,1994
0.0,bwa,1995
0.0,bwa,1996
0.0,bwa,1997
0.8959,bwa,1998
5.324,bwa,1999
12.64,bwa,2000
18.62,bwa,2001
18.38,bwa,2002
24.31,bwa,2003
28.23,bwa,2004
30.06,bwa,2005
43.3,bwa,2006
59.75,bwa,2007
76.01,bwa,2008
94.58,bwa,2009
117.8,bwa,2010
142.8,bwa,2011
0.0,bra,1965
0.0,bra,1970
0.0,bra,1975
0.0,bra,1976
0.0,bra,1977
0.0,bra,1978
0.0,bra,1979
0.0,bra,1980
0.0,bra,1981
0.0,bra,1982
0.0,bra,1983
0.0,bra,1984
0.0,bra,1985
0.0,bra,1986
0.0,bra,1987
0.0,bra,1988
0.0,bra,1989
0.0004457,bra,1990
0.004404,bra,1991
0.0207,bra,1992
0.1159,bra,1993
0.3601,bra,1994
0.7943,bra,1995
1.52,bra,1996
2.727,bra,1997
4.349,bra,1998
8.743,bra,1999
13.29,bra,2000
16.25,bra,2001
19.46,bra,2002
25.53,bra,2003
35.68,bra,2004
46.35,bra,2005
53.16,bra,2006
63.74,bra,2007
78.65,bra,2008
90.02,bra,2009
104.1,bra,2010
123.2,bra,2011
0.0,brn,1965
0.0,brn,1970
0.0,brn,1975
0.0,brn,1976
0.0,brn,1977
0.0,brn,1978
0.0,brn,1979
0.0,brn,1980
0.0,brn,1981
0.0,brn,1982
0.0,brn,1983
0.0,brn,1984
0.0,brn,1985
0.0,brn,1986
0.0,brn,1987
0.0,brn,1988
0.7028,brn,1990
1.166,brn,1991
1.538,brn,1992
3.027,brn,1993
5.54,brn,1994
12.39,brn,1995
14.65,brn,1996
14.77,brn,1997
15.74,brn,1998
20.65,brn,1999
29.05,brn,2000
42.77,brn,2001
