geo,female_industry_workers_percent_of_female_labour_force,time
bwa,14.1,2000
bwa,17.4,2001
bwa,16.5,2003
bwa,10.8,2005
bra,13.0,1981
bra,12.9,1982
bra,13.6,1983
bra,11.8,1984
bra,12.4,1985
bra,14.3,1986
bra,13.1,1987
bra,12.7,1988
bra,13.6,1989
bra,12.1,2000
bra,12.7,2002
bra,12.8,2003
bra,12.9,2004
bra,13.3,2005
bra,13.0,2006
vgb,5.1,1991
brn,11.2,2001
bgr,28.5,2003
bgr,28.5,2004
bgr,28.9,2005
bgr,28.1,2006
bgr,28.5,2007
khm,3.5,1998
khm,9.6,2000
khm,12.2,2001
cmr,3.9,2001
can,15.7,1980
can,15.3,1981
can,14.2,1982
can,14.1,1983
can,14.1,1984
can,13.7,1985
can,13.8,1986
can,12.8,1987
can,12.9,1988
can,12.7,1989
can,12.3,1990
can,11.6,1991
can,11.4,1992
can,10.7,1993
can,10.6,1994
can,11.0,1995
can,10.9,1996
can,11.1,1997
can,11.1,1998
can,11.3,1999
can,11.2,2000
can,11.1,2001
can,11.3,2002
can,11.1,2003
can,11.1,2004
can,10.6,2005
can,10.9,2006
can,10.5,2007
cym,2.5,1991
cym,3.3,2005
cym,3.6,2006
cym,4.2,2007
tcd,0.7,1993
chl,16.3,1980
chl,14.9,1981
chl,11.9,1982
chl,11.7,1983
chl,13.1,1984
chl,11.7,1985
chl,12.6,1986
chl,13.8,1987
chl,14.1,1988
chl,15.7,1989
chl,14.8,1991
chl,16.2,1993
chl,14.5,1995
chl,14.3,1997
chl,12.6,1999
chl,12.9,2001
chl,9.5,2002
chl,11.8,2003
chl,12.2,2004
chl,11.5,2005
chl,11.3,2006
chl,10.9,2007
col,25.9,1980
col,22.2,1985
col,23.1,1986
col,23.2,1987
col,23.6,1988
col,23.7,1989
col,25.0,1990
col,25.8,1991
col,25.0,1992
col,24.7,1994
col,24.3,1995
col,24.1,1996
col,21.3,1997
col,20.9,1998
col,19.9,1999
col,19.9,2000
col,17.3,2001
col,16.8,2002
col,16.1,2003
col,17.5,2004
col,16.1,2005
col,15.8,2006
col,15.5,2007
cri,20.1,1980
cri,19.5,1981
cri,20.3,1982
cri,21.5,1983
cri,17.1,1984
cri,19.6,1985
cri,21.0,1986
cri,23.0,1987
cri,24.0,1988
cri,26.5,1989
cri,24.4,1990
cri,26.3,1991
cri,24.7,1992
cri,22.5,1993
cri,22.4,1994
cri,20.9,1995
cri,18.7,1996
cri,17.4,1997
cri,18.0,1998
cri,17.4,1999
cri,16.5,2000
cri,17.1,2001
cri,15.0,2002
cri,14.5,2003
cri,13.1,2004
cri,12.6,2005
cri,12.8,2006
cri,12.9,2007
hrv,21.1,1996
hrv,21.3,1997
hrv,22.1,1998
hrv,22.1,1999
hrv,19.9,2000
hrv,21.3,2001
hrv,20.1,2002
hrv,18.8,2003
hrv,18.6,2004
hrv,18.1,2005
hrv,17.8,2006
hrv,18.5,2007
cub,16.2,1995
cub,16.2,1996
cub,16.2,1997
cub,16.6,1998
cub,13.9,1999
cub,13.9,2000
cub,15.7,2001
cub,15.7,2002
cub,15.7,2003
cub,13.9,2004
cub,13.2,2005
cub,12.8,2006
cub,12.4,2007
cyp,29.1,1980
cyp,29.0,1981
cyp,28.4,1982
cyp,27.9,1983
cyp,27.9,1984
cyp,27.0,1985
cyp,26.1,1986
cyp,25.8,1987
cyp,25.7,1988
cyp,25.1,1989
cyp,24.5,1990
cyp,24.5,1991
cyp,23.1,1992
cyp,20.3,1993
cyp,18.5,1994
cyp,17.8,1995
cyp,14.2,1999
cyp,13.2,2000
cyp,12.5,2001
cyp,12.1,2002
cyp,11.3,2003
cyp,10.7,2004
cyp,10.6,2005
cyp,10.2,2006
cyp,9.6,2007
cze,32.6,1993
cze,31.5,1994
cze,30.8,1995
cze,30.4,1996
cze,29.1,1997
cze,28.9,1998
cze,28.0,1999
cze,27.5,2000
cze,28.3,2001
cze,27.5,2002
cze,27.0,2003
cze,26.6,2004
cze,26.5,2005
cze,27.0,2006
cze,26.8,2007
dnk,15.6,1981
dnk,15.6,1983
dnk,15.1,1984
dnk,15.8,1985
dnk,16.1,1986
dnk,15.9,1987
dnk,15.7,1988
dnk,15.6,1989
dnk,15.9,1990
dnk,16.3,1991
dnk,15.6,1992
dnk,14.5,1993
dnk,15.2,1994
dnk,15.3,1995
dnk,15.1,1996
dnk,14.8,1997
dnk,14.9,1998
dnk,14.7,1999
dnk,14.3,2000
dnk,13.5,2001
dnk,13.1,2002
dnk,12.2,2003
dnk,12.0,2004
dnk,12.5,2005
dnk,11.8,2006
dnk,12.4,2007
dma,27.3,1989
dma,13.2,1991
dma,10.2,1997
dma,10.9,1999
dma,9.8,2001
dom,21.1,1996
dom,21.3,1997
dom,19.3,2000
dom,15.2,2003
dom,15.3,2004
dom,15.1,2005
ecu,17.1,1992
ecu,16.6,1993
ecu,14.0,1996
ecu,15.3,1997
ecu,14.8,1999
ecu,14.9,2000
ecu,16.2,2001
ecu,14.2,2002
ecu,14.0,2004
ecu,12.1,2005
ecu,12.6,2006
egy,12.7,1980
egy,12.8,1981
egy,13.4,1982
egy,14.3,1983
egy,10.8,1984
egy,9.1,1989
egy,10.2,1990
egy,16.8,1991
egy,10.4,1992
egy,8.1,1993
egy,7.4,1994
egy,9.2,1995
egy,8.1,1997
egy,9.1,1998
egy,11.1,1999
egy,6.9,2000
egy,10.1,2001
egy,10.4,2002
egy,6.2,2003
egy,5.9,2004
egy,5.0,2005
egy,6.0,2006
slv,21.2,1980
slv,21.4,1985
slv,28.5,1986
slv,20.6,1988
slv,20.5,1989
slv,23.7,1991
slv,22.5,1992
slv,26.2,1994
slv,25.9,1995
slv,24.2,1996
slv,20.9,1997
slv,25.0,1998
slv,24.3,1999
slv,24.3,2000
slv,22.1,2001
slv,23.5,2002
slv,21.9,2003
slv,21.6,2004
slv,20.1,2005
slv,19.0,2006
gnq,0.7,1983
est,31.8,1989
est,31.4,1990
est,31.3,1991
est,29.9,1992
est,27.2,1993
est,26.0,1994
est,26.6,1995
est,25.4,1996
est,24.1,1997
est,24.0,1998
est,23.5,1999
est,23.9,2000
est,23.2,2001
est,21.5,2002
est,22.8,2003
est,25.5,2004
est,24.2,2005
est,21.5,2006
est,22.0,2007
eth,19.0,2004
eth,8.4,2005
eth,17.4,2006
fro,8.3,2005
fin,22.9,1980
fin,22.8,1981
fin,21.7,1982
fin,20.5,1983
fin,20.1,1984
fin,19.7,1985
fin,19.5,1986
fin,18.8,1987
fin,17.9,1988
fin,17.4,1989
fin,17.1,1990
fin,15.9,1991
fin,15.2,1992
fin,14.6,1993
fin,14.1,1994
fin,14.3,1995
fin,13.8,1996
fin,13.8,1997
fin,14.1,1998
fin,14.3,1999
fin,13.9,2000
fin,13.8,2001
fin,13.5,2002
fin,12.6,2003
fin,12.4,2004
fin,12.3,2005
fin,11.9,2006
fin,11.5,2007
fra,22.1,1980
fra,21.3,1981
fra,20.7,1982
fra,16.0,1983
fra,15.6,1984
fra,19.0,1985
fra,18.4,1986
fra,17.8,1987
fra,17.3,1988
fra,17.2,1989
fra,17.1,1990
fra,16.7,1991
fra,16.1,1992
fra,15.4,1993
fra,12.6,2003
fra,12.4,2004
fra,12.1,2005
fra,11.7,2006
fra,11.5,2007
gab,2.9,1993
gmb,1.3,1993
geo,5.7,1998
geo,4.9,1999
geo,4.1,2000
geo,5.9,2001
geo,3.5,2002
geo,4.2,2003
geo,4.0,2004
geo,4.4,2005
geo,3.9,2006
geo,3.7,2007
deu,25.9,1991
deu,24.4,1992
deu,22.9,1993
deu,21.5,1994
deu,20.4,1995
deu,19.5,1996
deu,19.0,1997
deu,18.9,1998
deu,18.5,1999
deu,18.3,2000
deu,17.9,2001
deu,17.5,2002
deu,17.2,2003
deu,17.0,2004
deu,16.1,2005
deu,16.1,2006
deu,16.0,2007
deu_east,28.5,1991
deu_east,21.5,1992
deu_east,18.6,1993
deu_east,17.5,1994
gha,9.8,1992
gha,14.5,1999
grc,18.2,1981
grc,18.3,1982
grc,17.3,1983
grc,16.8,1984
grc,16.6,1985
grc,17.4,1986
grc,17.1,1987
grc,16.8,1988
grc,17.4,1989
grc,17.4,1990
grc,17.7,1991
grc,17.3,1992
grc,14.9,1993
grc,14.1,1994
grc,13.9,1995
grc,13.7,1996
grc,13.4,1997
grc,12.3,1998
grc,12.4,1999
grc,12.2,2000
grc,11.6,2001
grc,11.2,2002
grc,11.2,2003
grc,10.5,2004
grc,10.0,2005
grc,9.7,2006
grc,9.8,2007
grd,17.3,1988
grd,8.7,1994
grd,9.9,1996
grd,12.2,1998
gtm,28.1,1981
gtm,28.1,1982
gtm,19.4,1987
gtm,21.8,1990
gtm,27.3,1991
gtm,14.8,1994
gtm,24.5,1998
gtm,20.8,2000
gtm,23.3,2002
gtm,24.6,2006
gin,2.9,1994
guy,20.4,1997
guy,12.2,2002
hti,7.9,1980
hti,7.8,1981
hti,9.3,1982
hti,9.3,1983
hti,9.3,1988
hti,9.3,1990
hti,6.0,1999
hnd,20.1,1985
hnd,15.8,1986
hnd,16.1,1987
hnd,22.7,1990
hnd,24.7,1992
hnd,23.9,1993
hnd,28.8,1994
hnd,28.7,1995
hnd,28.7,1996
hnd,27.1,1997
hnd,26.5,1998
hnd,24.6,1999
hnd,23.3,2005
hkg,56.2,1980
hkg,53.4,1981
hkg,51.6,1982
hkg,49.3,1983
hkg,49.6,1984
hkg,47.0,1985
hkg,45.4,1986
hkg,43.8,1987
hkg,40.2,1988
hkg,36.4,1989
hkg,33.0,1990
hkg,29.5,1991
hkg,26.6,1992
hkg,22.7,1993
hkg,19.8,1994
hkg,18.7,1995
hkg,16.4,1996
hkg,14.4,1997
hkg,12.6,1998
hkg,11.8,1999
hkg,10.4,2000
hkg,9.9,2001
hkg,8.1,2003
hkg,7.2,2004
hkg,6.5,2005
hkg,6.3,2006
hkg,5.9,2007
hun,36.2,1980
hun,32.0,1981
hun,31.5,1982
hun,31.0,1983
hun,30.7,1984
hun,30.5,1985
hun,30.0,1986
hun,29.4,1987
hun,28.6,1988
hun,27.6,1989
hun,30.4,1990
hun,29.3,1991
hun,25.7,1994
hun,24.8,1995
hun,25.1,1996
hun,25.0,1997
hun,25.7,1998
hun,25.1,1999
hun,25.2,2000
hun,25.7,2001
hun,25.0,2002
hun,23.6,2003
hun,22.7,2004
hun,21.3,2005
hun,21.1,2006
hun,21.3,2007
isl,17.7,1991
isl,14.3,1992
isl,14.3,1993
isl,14.1,1994
isl,13.6,1995
isl,13.6,1996
isl,15.2,1997
isl,14.5,1998
isl,12.7,1999
isl,9.6,2000
isl,9.5,2001
isl,10.8,2002
isl,9.3,2003
isl,10.8,2004
isl,10.5,2005
isl,9.0,2006
isl,8.3,2007
idn,13.1,1980
idn,14.5,1982
idn,12.2,1985
idn,9.3,1986
idn,9.4,1987
idn,9.1,1988
idn,12.0,1989
idn,12.4,1990
idn,12.8,1991
idn,12.8,1992
idn,14.4,1993
idn,16.2,1994
idn,16.0,1995
idn,15.9,1996
idn,16.3,1997
idn,13.9,1998
idn,15.5,1999
idn,15.6,2001
idn,15.8,2002
idn,15.0,2003
idn,14.2,2004
idn,14.7,2005
idn,15.0,2006
irn,34.5,1996
irn,28.4,2005
irn,29.1,2007
irq,7.4,2004
irl,18.1,1983
irl,18.6,1984
irl,18.5,1985
irl,19.0,1986
irl,18.7,1987
irl,18.0,1988
irl,19.0,1989
irl,18.2,1990
irl,18.0,1991
irl,17.9,1992
irl,16.8,1993
irl,17.4,1994
irl,17.4,1995
irl,16.4,1996
irl,15.4,1997
irl,16.3,1998
irl,15.4,1999
irl,15.1,2000
irl,14.7,2001
irl,13.4,2002
irl,13.0,2003
irl,13.2,2004
irl,12.2,2005
irl,11.3,2006
gbm,5.5,2001
gbm,3.9,2006
isr,15.7,1980
isr,15.3,1981
isr,15.0,1982
isr,15.0,1983
isr,15.2,1984
isr,15.9,1985
isr,16.1,1986
isr,16.3,1987
isr,15.7,1988
isr,14.9,1989
isr,15.0,1990
isr,14.8,1991
isr,14.6,1992
isr,15.2,1993
isr,15.4,1994
isr,14.9,1995
isr,14.9,1996
isr,14.2,1997
isr,13.1,1998
isr,12.5,1999
isr,12.1,2000
isr,11.8,2001
isr,11.2,2002
isr,10.9,2003
isr,11.2,2004
isr,10.7,2005
isr,10.2,2006
isr,10.7,2007
ita,27.7,1980
ita,27.5,1981
ita,27.0,1982
ita,26.0,1983
ita,24.6,1984
ita,23.8,1985
ita,23.3,1986
ita,22.7,1987
ita,22.7,1988
ita,22.8,1989
ita,22.6,1990
ita,22.1,1991
ita,21.6,1992
ita,22.8,1993
ita,23.0,1994
ita,22.7,1995
ita,22.2,1996
ita,22.2,1997
ita,22.1,1998
ita,21.4,1999
ita,21.0,2000
ita,20.4,2001
ita,20.1,2002
ita,19.8,2003
ita,17.9,2004
ita,17.5,2005
ita,16.8,2006
ita,16.5,2007
jam,11.5,1992
jam,11.5,1993
jam,11.5,1994
jam,12.4,1995
jam,11.7,1996
jam,9.9,1997
jam,8.5,1998
jam,7.5,1999
jam,6.2,2000
jam,6.1,2001
jam,6.5,2002
jam,6.3,2003
jam,5.4,2004
jam,5.3,2005
jam,4.6,2006
jpn,28.4,1980
jpn,28.6,1981
jpn,28.2,1982
jpn,28.4,1983
jpn,28.6,1984
jpn,28.4,1985
jpn,28.0,1986
jpn,27.2,1987
jpn,27.5,1988
jpn,27.8,1989
jpn,27.4,1990
jpn,27.6,1991
jpn,27.3,1992
jpn,26.6,1993
jpn,25.7,1994
jpn,25.0,1995
jpn,24.6,1996
jpn,24.1,1997
jpn,22.7,1998
jpn,22.0,1999
jpn,21.5,2000
jpn,20.7,2001
jpn,19.6,2002
jpn,19.2,2003
jpn,18.3,2004
jpn,17.6,2005
jpn,17.7,2006
jpn,17.4,2007
jor,8.5,1983
jor,4.8,1986
jor,8.2,1987
jor,11.6,2000
jor,13.1,2001
jor,10.8,2002
jor,12.1,2003
kaz,14.4,1999
kaz,9.7,2001
kaz,9.7,2002
kaz,10.2,2003
kaz,10.4,2004
kir,3.1,2000
kor,23.8,1980
kor,22.3,1981
kor,21.9,1982
kor,23.0,1983
kor,24.2,1984
kor,24.4,1985
kor,26.2,1986
kor,29.4,1987
kor,30.6,1988
kor,30.8,1989
kor,30.2,1990
kor,29.8,1991
kor,28.0,1992
kor,25.5,1993
kor,24.4,1994
kor,23.7,1995
kor,22.8,1996
kor,21.1,1997
kor,18.5,1998
kor,18.9,1999
kor,19.2,2000
kor,18.6,2001
kor,18.2,2002
kor,18.0,2003
kor,17.8,2004
kor,16.6,2005
kor,16.0,2006
kor,15.6,2007
kwt,2.0,1983
kwt,1.9,1988
kgz,10.8,1996
kgz,10.1,1997
kgz,10.3,1998
kgz,8.4,1999
kgz,7.3,2000
kgz,7.1,2001
kgz,7.4,2002
kgz,9.9,2003
kgz,10.9,2004
kgz,10.3,2005
kgz,10.7,2006
lao,2.7,1995
lva,20.0,1996
lva,18.9,1997
lva,19.3,1998
lva,17.7,1999
lva,18.2,2000
lva,18.1,2001
lva,16.8,2002
lva,18.0,2003
lva,18.2,2004
lva,16.2,2005
lva,16.4,2006
lva,15.7,2007
lso,10.1,1996
lso,13.4,1997
lso,9.8,1999
ltu,21.5,1997
ltu,22.1,1998
ltu,21.2,1999
ltu,20.3,2000
ltu,20.6,2001
ltu,20.8,2002
ltu,21.6,2003
ltu,20.3,2004
ltu,20.8,2005
ltu,19.5,2006
ltu,19.8,2007
lux,11.8,1983
lux,11.2,1984
lux,11.1,1985
lux,11.1,1986
lux,10.7,1987
lux,9.0,1988
lux,8.8,1989
lux,8.4,1990
mac,55.3,1989
mac,50.4,1990
mac,44.2,1992
mac,37.7,1993
mac,34.8,1994
mac,34.4,1995
mac,32.8,1996
mac,33.2,1997
mac,34.1,1998
mac,33.7,1999
mac,30.2,2000
mac,34.1,2001
mac,31.1,2002
mac,28.6,2003
mac,25.9,2004
mac,23.1,2005
mac,18.1,2006
mac,14.5,2007
mdg,6.0,2003
mdg,1.6,2005
mys,20.0,1980
mys,21.2,1981
mys,21.4,1982
mys,22.8,1983
mys,21.0,1984
mys,20.5,1985
mys,20.9,1986
mys,21.2,1987
mys,21.7,1988
mys,25.4,1989
mys,28.0,1990
mys,28.1,1991
mys,32.1,1992
mys,31.9,1993
mys,31.4,1995
mys,29.6,1996
mys,29.8,1997
mys,28.3,1998
mys,28.7,1999
mys,28.9,2000
mys,29.7,2001
mys,27.3,2002
mys,26.9,2003
mys,24.9,2004
mys,24.4,2005
mys,24.7,2006
mys,22.8,2007
mdv,38.5,1990
mdv,42.9,1995
mdv,24.1,2000
mdv,33.8,2003
mdv,31.8,2006
mli,14.7,2004
mlt,23.5,2000
mlt,20.7,2001
mlt,22.0,2002
mlt,17.9,2003
mlt,17.9,2004
mlt,17.2,2005
mlt,14.8,2006
mlt,13.3,2007
mhl,22.6,1999
mtq,6.2,1990
mus,48.4,1992
mus,45.7,1994
mus,42.6,1995
mus,43.5,1996
mus,43.7,1997
mus,44.1,1998
mus,44.5,1999
mus,42.6,2001
mus,40.8,2002
mus,38.3,2003
mus,31.3,2004
mus,28.8,2005
mus,27.3,2006
mus,25.8,2007
mex,20.8,1990
mex,19.1,1991
mex,17.9,1993
mex,15.3,1995
mex,17.9,1996
mex,18.5,1997
mex,20.4,1998
mex,21.2,1999
mex,22.1,2000
mex,21.9,2001
mex,20.6,2002
mex,19.6,2003
mex,19.4,2004
mex,19.5,2005
mex,19.0,2006
mex,18.1,2007
mng,19.5,1993
mng,14.3,1994
mng,16.1,1995
mng,15.0,1996
mng,13.5,1997
mng,12.6,1998
mng,12.3,1999
mng,11.3,2000
mng,10.9,2001
mng,13.2,2002
mng,13.9,2003
mng,13.8,2004
mng,14.8,2005
mne,14.3,2003
mne,9.2,2005
msr,10.0,1991
mar,50.2,1990
mar,47.5,1991
mar,45.8,1992
mar,45.0,1993
mar,28.1,1994
mar,41.5,1995
mar,44.3,1996
mar,46.3,1997
mar,42.9,1998
mar,39.5,1999
mar,37.0,2001
mar,19.0,2002
mar,18.6,2003
mar,16.8,2004
mar,15.9,2005
mar,14.5,2006
nam,7.9,1991
nam,7.9,1997
nam,6.7,2000
nam,9.3,2004
npl,1.3,1991
npl,5.1,1999
npl,13.7,2001
nld,13.5,1980
nld,12.1,1982
nld,11.5,1984
nld,10.7,1986
nld,11.2,1988
nld,11.2,1989
nld,11.3,1990
nld,10.9,1991
nld,10.4,1992
nld,10.3,1993
nld,9.5,1994
nld,9.4,1995
nld,9.3,1996
nld,9.3,1997
nld,9.3,1998
nld,9.2,1999
nld,9.2,2000
nld,8.9,2001
nld,8.6,2002
nld,8.2,2003
nld,8.3,2004
nld,8.3,2005
ant,5.4,1983
ant,5.5,1984
ant,5.4,1985
ant,5.3,1986
ant,6.2,1992
ant,5.8,1993
ant,5.4,1994
ant,5.7,1995
ant,5.6,1996
ant,5.6,1997
ant,5.2,1998
ant,5.6,2000
ncl,8.5,1996
nzl,17.8,1986
nzl,16.2,1987
nzl,15.1,1988
nzl,14.5,1989
nzl,14.2,1990
nzl,13.7,1991
nzl,12.9,1992
nzl,13.8,1993
nzl,14.3,1994
nzl,14.4,1995
nzl,13.9,1996
nzl,13.1,1997
nzl,13.4,1998
nzl,12.3,1999
nzl,12.3,2000
nzl,11.9,2001
nzl,11.6,2002
nzl,11.1,2003
nzl,11.3,2004
nzl,10.5,2005
nzl,10.5,2006
nzl,9.9,2007
nic,17.0,2003
nic,16.6,2004
nic,19.1,2005
nic,17.8,2006
nga,6.6,1983
nga,3.6,1986
niu,8.7,2001
mnp,40.2,1990
mnp,11.3,1995
nor,13.3,1980
nor,12.7,1981
nor,12.7,1982
nor,12.0,1983
nor,12.0,1984
nor,12.1,1985
nor,12.6,1986
nor,12.0,1987
nor,12.0,1988
nor,11.5,1989
nor,11.1,1990
nor,10.3,1991
nor,10.3,1992
nor,10.2,1993
nor,10.4,1994
nor,10.2,1995
nor,10.3,1996
nor,10.0,1997
nor,9.8,1998
nor,9.4,1999
nor,9.3,2000
nor,9.0,2001
nor,9.0,2002
nor,8.7,2003
nor,8.3,2004
nor,8.1,2005
nor,7.9,2006
nor,8.0,2007
omn,7.4,1993
omn,7.0,1996
omn,14.0,2000
pak,11.8,1985
pak,9.8,1986
pak,11.7,1987
pak,14.2,1988
pak,14.2,1989
pak,14.1,1990
pak,14.7,1991
pak,15.3,1992
pak,11.9,1993
pak,11.0,1994
pak,10.7,1995
pak,10.7,1996
pak,10.5,1997
pak,9.7,1998
pak,9.7,1999
pak,9.0,2001
pak,15.6,2003
pak,15.0,2005
pak,12.6,2007
pan,11.5,1982
pan,11.3,1983
pan,10.9,1984
pan,11.8,1985
pan,11.4,1986
pan,11.0,1992
pan,11.0,1993
pan,11.2,1994
pan,11.0,1995
pan,12.1,1996
pan,11.3,1997
pan,10.6,1998
pan,10.4,1999
pan,9.1,2000
pan,9.1,2001
pan,9.4,2002
pan,8.6,2003
pan,8.9,2004
pan,9.1,2005
pan,8.8,2006
pan,9.7,2007
pry,13.3,1982
pry,15.6,1983
pry,16.6,1984
pry,17.6,1985
pry,15.4,1986
pry,16.1,1987
pry,14.4,1988
pry,16.3,1989
pry,7.9,1995
pry,11.1,1997
pry,10.7,1998
pry,11.5,1999
pry,10.6,2000
pry,10.4,2001
pry,10.0,2002
pry,10.2,2003
pry,8.9,2007
per,17.7,1987
per,19.7,1990
per,16.5,1995
per,12.1,1996
per,12.1,1997
per,11.0,1998
per,11.1,1999
per,11.5,2000
per,10.2,2001
per,42.7,2002
per,41.6,2003
per,43.1,2004
per,42.4,2005
per,42.9,2006
per,43.0,2007
phl,14.9,1980
phl,13.8,1981
phl,13.1,1982
phl,12.9,1983
phl,12.8,1984
phl,12.8,1985
phl,12.6,1986
phl,13.1,1987
phl,13.9,1988
phl,14.2,1989
phl,12.8,1990
phl,13.9,1991
phl,13.7,1992
phl,13.2,1993
phl,13.5,1994
phl,13.2,1995
phl,42.9,1996
phl,41.5,1997
phl,40.1,1998
phl,46.8,1999
phl,13.2,2000
phl,12.0,2001
phl,11.6,2002
phl,11.9,2003
phl,11.7,2004
phl,11.7,2005
phl,11.3,2006
phl,11.1,2007
pol,21.3,1994
pol,21.0,1995
pol,20.4,1996
pol,20.6,1997
pol,20.7,1998
pol,20.1,1999
pol,19.0,2000
pol,18.4,2001
pol,17.2,2002
pol,17.2,2003
pol,17.1,2004
pol,17.1,2005
pol,17.5,2006
pol,17.9,2007
prt,25.3,1980
prt,24.8,1981
prt,26.2,1982
prt,25.1,1983
prt,23.7,1984
prt,24.5,1985
prt,24.2,1986
prt,24.7,1987
prt,24.9,1988
prt,25.8,1989
prt,25.9,1990
prt,24.7,1991
prt,24.3,1992
prt,23.7,1993
prt,24.0,1994
prt,22.6,1995
prt,21.8,1996
prt,20.8,1997
prt,24.3,1998
prt,23.3,1999
prt,22.9,2000
prt,22.6,2001
prt,21.8,2002
prt,20.5,2003
prt,19.7,2004
prt,18.6,2005
prt,18.8,2006
prt,18.3,2007
pri,24.2,1980
pri,24.9,1981
pri,24.7,1982
pri,25.1,1983
pri,23.7,1984
pri,23.1,1985
pri,22.5,1986
pri,22.4,1987
pri,22.2,1988
pri,22.0,1989
pri,19.5,1991
pri,19.2,1992
pri,19.2,1993
pri,18.1,1994
pri,17.5,1995
pri,16.3,1996
pri,15.1,1997
pri,14.3,1998
pri,14.5,1999
pri,14.6,2000
pri,13.9,2001
pri,12.2,2002
pri,11.8,2003
pri,11.0,2004
pri,11.0,2005
pri,11.3,2006
