geo,pump_price_for_gasoline_us_per_liter,time
cze,1.3,2006
dnk,1.08,1995
dnk,1.05,1998
dnk,1.01,2000
dnk,1.09,2002
dnk,1.51,2004
dnk,1.58,2006
dji,0.77,1991
dji,0.61,1993
dji,0.93,1995
dji,0.91,1998
dji,1.05,2000
dji,0.98,2002
dom,0.4,1995
dom,0.4,1998
dom,0.71,2000
dom,0.49,2002
dom,0.85,2004
dom,1.03,2006
ecu,0.31,1993
ecu,0.33,1995
ecu,0.38,1998
ecu,0.31,2000
ecu,0.55,2002
ecu,0.54,2004
ecu,0.47,2006
egy,0.29,1991
egy,0.3,1993
egy,0.29,1995
egy,0.29,1998
egy,0.26,2000
egy,0.19,2002
egy,0.28,2004
egy,0.3,2006
slv,0.54,1998
slv,0.67,2000
slv,0.46,2002
slv,0.65,2004
slv,0.82,2006
eri,0.5,1993
eri,0.4,1995
eri,0.37,1998
eri,0.56,2000
eri,0.36,2002
eri,0.8,2004
eri,1.9,2006
est,0.33,1995
est,0.45,1998
est,0.6,2000
est,0.58,2002
est,0.94,2004
est,1.23,2006
eth,0.27,1991
eth,0.26,1993
eth,0.32,1995
eth,0.36,1998
eth,0.46,2000
eth,0.52,2002
eth,0.6,2004
eth,0.93,2006
fji,0.5,1998
fin,1.2,1995
fin,1.17,1998
fin,1.06,2000
fin,1.12,2002
fin,1.54,2004
fin,1.55,2006
fra,1.17,1995
fra,1.11,1998
fra,0.99,2000
fra,1.05,2002
fra,1.42,2004
fra,1.48,2006
gab,1.18,1991
gab,1.16,1993
gab,0.63,1998
gab,0.53,2000
gab,0.69,2002
gab,0.9,2004
gab,0.64,2006
gmb,0.73,1991
gmb,0.67,1993
gmb,0.83,1998
gmb,0.64,2000
gmb,0.46,2002
gmb,0.75,2004
gmb,1.08,2006
geo,0.46,1998
geo,0.48,2002
geo,0.73,2004
geo,0.86,2006
deu,1.12,1995
deu,0.96,1998
deu,0.91,2000
deu,1.03,2002
deu,1.46,2004
deu,1.55,2006
gha,0.53,1991
gha,0.53,1993
gha,0.38,1995
gha,0.32,1998
gha,0.2,2000
gha,0.28,2002
gha,0.49,2004
gha,0.86,2006
grc,0.88,1995
grc,0.65,1998
grc,0.72,2000
grc,0.78,2002
grc,1.14,2004
grc,1.16,2006
grd,0.54,1998
grd,0.54,2000
grd,0.54,2002
gtm,0.32,1993
gtm,0.39,1995
gtm,0.41,1998
gtm,0.53,2000
gtm,0.48,2002
gtm,0.68,2004
gtm,0.78,2006
gin,0.67,1991
gin,0.61,1993
gin,0.68,1998
gin,0.85,2000
gin,0.66,2002
gin,0.75,2004
gin,0.79,2006
gnb,0.3,1991
gnb,0.27,1993
gnb,0.0,2004
guy,0.3,1998
guy,0.37,2000
guy,0.31,2002
hti,0.59,1998
hti,0.64,2000
hti,0.54,2002
hti,0.88,2004
hnd,0.41,1993
hnd,0.35,1995
hnd,0.5,1998
hnd,0.62,2000
hnd,0.63,2002
hnd,0.81,2004
hnd,0.89,2006
hkg,1.19,1995
hkg,1.36,1998
hkg,1.46,2000
hkg,1.47,2002
hkg,1.54,2004
hkg,1.69,2006
hun,0.74,1995
hun,0.72,1998
hun,0.81,2000
hun,0.94,2002
hun,1.3,2004
hun,1.3,2006
isl,1.12,1998
isl,1.05,2000
isl,1.16,2002
ind,0.48,1995
ind,0.56,1998
ind,0.6,2000
ind,0.66,2002
ind,0.87,2004
ind,1.01,2006
idn,0.44,1995
idn,0.16,1998
idn,0.17,2000
idn,0.27,2002
idn,0.27,2004
idn,0.57,2006
irn,0.0,1998
irn,0.05,2000
irn,0.07,2002
irn,0.09,2004
irn,0.09,2006
irq,0.01,1998
irq,0.03,2000
irq,0.02,2002
irq,0.03,2004
irl,0.96,1995
irl,1.02,1998
irl,0.72,2000
irl,0.9,2002
irl,1.29,2004
irl,1.34,2006
isr,0.73,1995
isr,0.86,1998
isr,1.14,2000
isr,0.9,2002
isr,1.05,2004
isr,1.47,2006
ita,1.18,1995
ita,1.19,1998
ita,0.97,2000
ita,1.05,2002
ita,1.53,2004
ita,1.56,2006
jam,0.37,1998
jam,0.62,2000
jam,0.52,2002
jam,0.63,2004
jam,0.82,2006
jpn,1.25,1995
jpn,1.02,1998
jpn,1.06,2000
jpn,0.91,2002
jpn,1.26,2004
jpn,1.09,2006
jor,0.4,1995
jor,0.42,1998
jor,0.45,2000
jor,0.52,2002
jor,0.61,2004
jor,0.86,2006
kaz,0.3,1998
kaz,0.36,2000
kaz,0.35,2002
kaz,0.52,2004
kaz,0.7,2006
ken,0.53,1991
ken,0.4,1993
ken,0.56,1995
ken,0.7,1998
ken,0.71,2000
ken,0.7,2002
ken,0.92,2004
ken,1.12,2006
prk,0.73,1998
prk,0.55,2002
prk,0.78,2004
prk,0.71,2006
kor,0.79,1995
kor,0.0,1998
kor,0.92,2000
kor,1.09,2002
kor,1.35,2004
kor,1.65,2006
kwt,0.17,1998
kwt,0.21,2000
kwt,0.2,2002
kwt,0.24,2004
kwt,0.22,2006
kgz,0.47,1998
kgz,0.44,2000
kgz,0.39,2002
kgz,0.48,2004
kgz,0.64,2006
lao,0.31,1998
lao,0.41,2000
lao,0.36,2002
lao,0.71,2004
lao,0.86,2006
lva,0.41,1995
lva,0.55,1998
lva,0.67,2000
lva,0.7,2002
lva,0.94,2004
lva,1.2,2006
lbn,0.35,1998
lbn,0.53,2000
lbn,0.65,2002
lbn,0.71,2004
lbn,0.74,2006
lso,0.39,1998
lso,0.5,2000
lso,0.5,2002
lso,0.73,2004
lso,0.89,2006
lbr,0.75,2004
lbr,0.79,2006
lby,0.22,1998
lby,0.25,2000
lby,0.1,2002
lby,0.09,2004
lby,0.13,2006
lie,0.85,1998
lie,0.81,2000
lie,0.89,2002
ltu,0.35,1995
ltu,0.51,1998
ltu,0.66,2000
ltu,0.69,2002
ltu,1.03,2004
ltu,1.08,2006
lux,0.84,1995
lux,0.78,1998
lux,0.75,2000
lux,0.76,2002
mac,0.74,1998
mac,0.73,2000
mac,0.73,2002
mkd,0.93,1995
mkd,0.7,1998
mkd,0.76,2000
mkd,0.85,2002
mkd,1.17,2004
mkd,1.23,2006
mdg,0.43,1991
mdg,0.54,1993
mdg,0.47,1995
mdg,0.47,1998
mdg,0.76,2000
mdg,1.08,2002
mdg,1.05,2004
mdg,1.15,2006
mwi,0.64,1991
mwi,0.71,1993
mwi,0.65,1995
mwi,0.51,1998
mwi,0.69,2000
mwi,0.66,2002
mwi,0.95,2004
mwi,1.17,2006
mys,0.42,1995
mys,0.28,1998
mys,0.28,2000
mys,0.35,2002
mys,0.37,2004
mys,0.53,2006
mli,1.12,1991
mli,1.14,1993
mli,0.82,1995
mli,0.77,1998
mli,0.7,2000
mli,0.69,2002
mli,1.16,2004
mli,1.22,2006
mlt,0.77,1998
mlt,0.81,2000
mlt,0.87,2002
mrt,0.86,1991
mrt,0.85,1993
mrt,0.59,1998
mrt,0.67,2000
mrt,0.63,2002
mrt,0.8,2004
mrt,0.97,2006
mus,0.74,2004
mex,0.39,1993
mex,0.32,1995
mex,0.36,1998
mex,0.61,2000
mex,0.62,2002
mex,0.59,2004
mex,0.74,2006
mda,0.45,1998
mda,0.45,2000
mda,0.45,2002
mng,0.23,1998
mng,0.38,2000
mng,0.38,2002
mng,0.61,2004
mng,0.88,2006
mar,0.82,1991
mar,0.75,1993
mar,0.94,1995
mar,0.79,1998
mar,0.82,2000
mar,0.87,2002
mar,1.1,2004
mar,1.22,2006
moz,0.74,1991
moz,0.48,1993
moz,0.53,1995
moz,0.55,1998
moz,0.56,2000
moz,0.46,2002
moz,0.88,2004
moz,1.15,2006
mmr,0.0013,1998
mmr,0.36,2002
mmr,0.12,2004
mmr,0.66,2006
nam,0.46,1991
nam,0.42,1993
nam,0.38,1998
nam,0.47,2000
nam,0.45,2002
nam,0.68,2004
nam,0.87,2006
npl,0.52,1995
npl,0.59,1998
npl,0.63,2000
npl,0.66,2002
npl,0.72,2004
npl,0.94,2006
nld,1.21,1995
nld,1.14,1998
nld,1.03,2000
nld,1.12,2002
nld,1.62,2004
nld,1.7,2006
nzl,0.61,1995
nzl,0.64,1998
nzl,0.48,2000
nzl,0.55,2002
nzl,0.77,2004
nzl,0.98,2006
nic,0.69,1993
nic,0.62,1995
nic,0.47,1998
nic,0.62,2000
nic,0.54,2002
nic,0.69,2004
nic,0.67,2006
ner,0.94,1991
ner,0.92,1993
ner,0.79,1995
ner,0.76,1998
ner,0.68,2000
ner,0.77,2002
ner,1.02,2004
ner,1.14,2006
nga,0.05,1991
nga,0.02,1993
nga,0.13,1995
nga,0.13,1998
nga,0.27,2000
nga,0.2,2002
nga,0.39,2004
nga,0.51,2006
nor,1.33,1995
nor,1.21,1998
nor,1.19,2000
nor,1.23,2002
nor,1.61,2004
nor,1.8,2006
omn,0.31,1998
omn,0.31,2000
omn,0.31,2002
omn,0.31,2004
omn,0.31,2006
pak,0.47,1995
pak,0.46,1998
pak,0.53,2000
pak,0.52,2002
pak,0.62,2004
pak,1.01,2006
pan,0.43,1993
pan,0.41,1998
pan,0.53,2000
pan,0.51,2002
pan,0.54,2004
pan,0.7,2006
png,0.41,1998
png,0.53,2000
png,0.53,2002
png,0.94,2004
pry,0.43,1993
pry,0.44,1995
pry,0.47,1998
pry,0.72,2000
pry,0.56,2002
pry,0.62,2004
pry,0.97,2006
per,0.56,1993
per,0.68,1995
per,0.55,1998
per,0.8,2000
per,0.74,2002
per,1.12,2004
per,1.22,2006
phl,0.34,1995
phl,0.34,1998
phl,0.37,2000
phl,0.35,2002
phl,0.52,2004
phl,0.76,2006
pol,0.55,1995
pol,0.54,1998
pol,0.76,2000
pol,0.83,2002
pol,1.2,2004
pol,1.3,2006
prt,1.02,1998
prt,0.77,2000
prt,0.97,2002
prt,1.38,2004
prt,1.56,2006
pri,0.34,1998
pri,0.51,2004
pri,0.65,2006
qat,0.16,1998
rou,0.29,1995
rou,0.53,1998
rou,0.46,2000
rou,0.64,2002
rou,0.96,2004
rou,1.26,2006
rus,0.35,1995
rus,0.28,1998
rus,0.33,2000
rus,0.35,2002
rus,0.55,2004
rus,0.77,2006
rwa,0.81,1991
rwa,0.93,1993
rwa,0.72,1998
rwa,0.89,2000
rwa,0.84,2002
rwa,0.98,2004
rwa,1.11,2006
stp,0.9,2000
stp,0.9,2002
sau,0.16,1995
sau,0.16,1998
sau,0.24,2000
sau,0.24,2002
sau,0.24,2004
sau,0.16,2006
sen,1.19,1991
sen,1.23,1993
sen,0.94,1995
sen,0.71,1998
sen,0.73,2000
sen,0.75,2002
sen,1.1,2004
sen,1.31,2006
sle,0.45,1991
sle,0.49,1993
sle,0.0,1998
sle,0.51,2002
sle,0.76,2004
sle,0.98,2006
sgp,0.72,1998
sgp,0.84,2000
sgp,0.85,2002
sgp,0.89,2004
sgp,0.92,2006
svk,0.66,1995
svk,0.61,1998
svk,0.69,2000
svk,0.74,2002
svk,1.17,2004
svk,1.35,2006
svn,0.59,1995
svn,0.66,1998
svn,0.63,2000
svn,0.76,2002
svn,1.12,2004
svn,1.23,2006
som,0.21,1991
som,0.35,2002
som,0.74,2006
zaf,0.52,1993
zaf,0.51,1995
zaf,0.43,1998
zaf,0.5,2000
zaf,0.43,2002
zaf,0.81,2004
zaf,0.85,2006
esp,0.89,1995
esp,0.84,1998
esp,0.73,2000
esp,0.83,2002
esp,1.21,2004
esp,1.15,2006
lka,0.75,1995
lka,0.84,1998
lka,0.66,2000
lka,0.54,2002
lka,0.72,2004
lka,0.88,2006
sdn,0.07,1991
sdn,0.58,1993
sdn,0.5,1995
sdn,0.33,1998
sdn,0.28,2000
sdn,0.3,2002
sdn,0.47,2004
sdn,0.72,2006
sur,0.56,1998
sur,0.56,2000
sur,0.56,2002
swz,0.46,1991
swz,0.43,1993
swz,0.37,1998
swz,0.47,2000
swz,0.47,2002
swz,0.76,2004
swz,0.8,2006
swe,1.17,1995
swe,1.09,1998
swe,0.94,2000
swe,1.06,2002
swe,1.51,2004
swe,1.46,2006
che,1.02,1995
che,0.86,1998
che,0.78,2000
che,0.89,2002
che,1.29,2004
che,1.27,2006
syr,0.45,1998
syr,0.44,2000
syr,0.53,2002
syr,0.46,2004
syr,0.6,2006
tjk,0.26,1998
tjk,0.45,2000
tjk,0.36,2002
tjk,0.67,2004
tjk,0.8,2006
tza,0.42,1991
tza,0.43,1993
tza,0.56,1995
tza,0.63,1998
tza,0.75,2000
tza,0.67,2002
tza,0.93,2004
tza,1.04,2006
tha,0.34,1995
tha,0.3,1998
tha,0.39,2000
tha,0.36,2002
tha,0.54,2004
tha,0.7,2006
tgo,0.81,1991
tgo,0.72,1993
tgo,0.47,1995
tgo,0.42,1998
tgo,0.48,2000
tgo,0.56,2002
tgo,0.85,2004
tgo,1.03,2006
tto,0.39,1998
tto,0.39,2000
tto,0.4,2002
tto,0.35,2004
tto,0.43,2006
tun,0.58,1991
tun,0.52,1993
tun,0.64,1995
tun,0.6,1998
tun,0.49,2000
tun,0.29,2002
tun,0.68,2004
tun,0.83,2006
tur,0.56,1995
tur,0.78,1998
tur,0.88,2000
tur,1.02,2002
tur,1.44,2004
tur,1.88,2006
tkm,0.09,1998
tkm,0.02,2000
tkm,0.02,2002
tkm,0.02,2004
tkm,0.02,2006
uga,0.69,1991
uga,0.79,1993
uga,0.98,1995
uga,0.86,1998
uga,0.86,2000
uga,0.83,2002
uga,1.02,2004
uga,1.17,2006
ukr,0.49,1998
ukr,0.37,2000
ukr,0.47,2002
ukr,0.55,2004
ukr,0.81,2006
are,0.28,1998
are,0.25,2000
are,0.29,2002
are,0.28,2004
are,0.37,2006
gbr,0.92,1995
gbr,1.11,1998
gbr,1.17,2000
gbr,1.18,2002
gbr,1.56,2004
gbr,1.63,2006
usa,0.32,1993
usa,0.34,1995
usa,0.32,1998
usa,0.47,2000
usa,0.4,2002
usa,0.54,2004
usa,0.63,2006
ury,0.89,1995
ury,0.9,1998
ury,1.19,2000
ury,0.46,2002
ury,1.13,2004
ury,1.23,2006
uzb,0.32,1995
uzb,0.11,1998
uzb,0.43,2000
uzb,0.38,2002
uzb,0.35,2004
uzb,0.85,2006
ven,0.03,1995
ven,0.14,1998
ven,0.12,2000
ven,0.05,2002
ven,0.04,2004
ven,0.03,2006
vnm,0.34,1995
vnm,0.35,1998
vnm,0.38,2000
vnm,0.34,2002
vnm,0.48,2004
vnm,0.67,2006
pse,0.0086,1998
pse,0.99,2002
pse,1.17,2004
pse,1.29,2006
yem,0.26,1998
yem,0.21,2000
yem,0.21,2002
yem,0.19,2004
yem,0.3,2006
zmb,0.4,1991
zmb,0.72,1993
zmb,0.6,1995
zmb,0.53,1998
zmb,1.0,2000
zmb,0.72,2002
zmb,1.1,2004
zmb,1.31,2006
zwe,0.68,1991
zwe,0.47,1993
zwe,0.38,1995
zwe,0.26,1998
zwe,0.85,2000
zwe,0.61,2004
