geo,all_forms_of_tb_detection_rate_percent,time
bfa,8,2003
bfa,9,2004
bfa,10,2005
bfa,11,2006
bfa,11,2007
bdi,23,1995
bdi,24,1996
bdi,32,1997
bdi,36,1998
bdi,32,1999
bdi,27,2001
bdi,24,2002
bdi,24,2003
bdi,24,2004
bdi,21,2005
bdi,19,2006
bdi,20,2007
khm,22,1995
khm,22,1996
khm,23,1997
khm,24,1998
khm,28,1999
khm,27,2000
khm,27,2001
khm,35,2002
khm,40,2003
khm,43,2004
khm,49,2005
khm,48,2006
khm,49,2007
cmr,19,1995
cmr,16,1996
cmr,19,1997
cmr,22,1998
cmr,31,1999
cmr,19,2000
cmr,20,2001
cmr,33,2002
cmr,44,2003
cmr,48,2004
cmr,57,2005
cmr,63,2006
cmr,65,2007
can,68,1990
can,71,1991
can,77,1992
can,77,1993
can,82,1994
can,80,1995
can,80,1996
can,87,1997
can,82,1998
can,87,1999
can,84,2000
can,86,2001
can,83,2002
can,86,2003
can,87,2004
can,86,2005
can,83,2006
can,84,2007
cpv,41,1995
cpv,24,1996
cpv,24,1997
cpv,27,1998
cpv,34,2001
cpv,24,2002
cpv,39,2003
cpv,35,2004
cpv,35,2005
cpv,32,2006
cpv,33,2007
caf,44,1995
caf,43,1996
caf,50,1997
caf,49,1998
caf,45,1999
caf,18,2001
caf,32,2002
caf,27,2003
caf,25,2004
caf,20,2005
caf,39,2006
tcd,23,1995
tcd,12,1996
tcd,22,1999
tcd,17,2002
tcd,15,2003
tcd,15,2004
tcd,19,2005
tcd,18,2007
chl,99,1995
chl,106,1996
chl,106,1997
chl,104,1998
chl,103,1999
chl,95,2000
chl,99,2001
chl,83,2002
chl,80,2003
chl,105,2004
chl,87,2005
chl,108,2006
chl,111,2007
chn,25,1995
chn,35,1996
chn,33,1997
chn,32,1998
chn,32,1999
chn,32,2000
chn,33,2001
chn,33,2002
chn,41,2003
chn,54,2004
chn,64,2005
chn,68,2006
chn,71,2007
col,55,1995
col,54,1996
col,45,1997
col,52,1998
col,63,1999
col,65,2000
col,64,2001
col,64,2002
col,66,2003
col,64,2004
col,59,2005
col,65,2006
col,64,2007
com,29,1995
com,31,1996
com,32,1998
com,29,2000
com,35,2001
com,29,2002
com,19,2003
com,23,2004
com,30,2005
com,30,2006
cog,52,1995
cog,34,1996
cog,24,1997
cog,42,1998
cog,48,1999
cog,80,2000
cog,76,2001
cog,71,2002
cog,52,2003
cog,62,2004
cog,62,2005
cog,54,2006
cog,58,2007
cok,90,1991
cok,90,1992
cok,90,1993
cok,90,1994
cok,90,1995
cok,90,1996
cok,90,1997
cok,0,1998
cok,60,1999
cok,90,2000
cok,90,2001
cok,90,2002
cok,0,2003
cok,90,2004
cok,90,2005
cok,90,2006
cri,59,1995
cri,63,1996
cri,70,1997
cri,90,1998
cri,151,1999
cri,119,2000
cri,116,2001
cri,101,2002
cri,97,2003
cri,134,2004
cri,102,2005
cri,95,2006
cri,106,2007
hrv,67,1995
hrv,67,1996
hrv,65,1997
hrv,69,1998
hrv,64,1999
hrv,67,2001
hrv,67,2002
hrv,70,2003
hrv,61,2004
hrv,56,2005
hrv,56,2006
hrv,48,2007
cub,84,1995
cub,86,1996
cub,85,1997
cub,84,1998
cub,82,1999
cub,90,2000
cub,76,2001
cub,79,2002
cub,79,2003
cub,80,2004
cub,86,2005
cub,91,2006
cub,99,2007
cyp,58,1995
cyp,47,1996
cyp,92,1997
cyp,121,1998
cyp,60,1999
cyp,68,2000
cyp,45,2002
cyp,81,2003
cyp,68,2004
cyp,80,2005
cyp,85,2006
cyp,97,2007
cze,87,1995
cze,96,1996
cze,89,1997
cze,92,1998
cze,90,1999
cze,89,2000
cze,92,2001
cze,90,2002
cze,93,2003
cze,91,2004
cze,91,2005
cze,96,2006
cze,88,2007
civ,30,1995
civ,30,1996
civ,29,1997
civ,28,1998
civ,26,1999
civ,20,2000
civ,23,2001
civ,21,2002
civ,22,2003
civ,24,2004
civ,23,2005
civ,24,2006
civ,27,2007
prk,14,1997
prk,1,1998
prk,16,1999
prk,43,2000
prk,36,2001
prk,49,2002
prk,50,2003
prk,53,2004
prk,51,2005
prk,53,2006
prk,69,2007
cod,34,1995
cod,36,1996
cod,33,1997
cod,40,1998
cod,37,1999
cod,33,2000
cod,33,2001
cod,32,2002
cod,36,2003
cod,38,2004
cod,39,2005
cod,38,2006
cod,39,2007
dnk,73,1995
dnk,80,1996
dnk,95,1997
dnk,88,1998
dnk,108,1999
dnk,111,2000
dnk,98,2001
dnk,80,2002
dnk,79,2003
dnk,78,2004
dnk,88,2005
dnk,77,2006
dnk,81,2007
dji,68,1996
dji,81,1997
dji,75,1998
dji,83,1999
dji,73,2000
dji,73,2001
dji,54,2002
dji,52,2003
dji,46,2004
dji,46,2005
dji,43,2006
dji,45,2007
dma,51,1995
dma,92,1996
dma,51,1997
dma,52,1998
dma,21,2002
dma,210,2006
dma,33,2007
dom,49,1995
dom,76,1996
dom,76,1997
dom,57,1998
dom,72,1999
dom,63,2000
dom,58,2001
dom,51,2002
dom,60,2003
dom,60,2004
dom,66,2005
dom,62,2006
dom,56,2007
ecu,48,1995
ecu,52,1996
ecu,59,1997
ecu,47,1998
ecu,37,1999
ecu,44,2000
ecu,40,2001
ecu,37,2002
ecu,40,2003
ecu,39,2004
ecu,29,2005
ecu,30,2006
ecu,33,2007
egy,111,1995
egy,58,1996
egy,69,1997
egy,64,1998
egy,60,1999
egy,56,2000
egy,53,2001
egy,60,2002
egy,64,2003
egy,66,2004
egy,67,2005
egy,60,2006
egy,60,2007
slv,65,1995
slv,44,1996
slv,45,1997
slv,46,1998
slv,45,1999
slv,42,2000
slv,43,2001
slv,47,2002
slv,43,2003
slv,45,2004
slv,60,2005
slv,55,2006
slv,59,2007
gnq,51,1995
