child_mortality_0_5_year_olds_dying_per_1000_born,geo,time
485.7,ago,1884
485.7,ago,1885
485.7,ago,1886
485.7,ago,1887
485.7,ago,1888
485.7,ago,1889
485.7,ago,1890
485.7,ago,1891
485.7,ago,1892
485.7,ago,1893
485.7,ago,1894
485.6,ago,1895
485.6,ago,1896
485.4,ago,1897
485.2,ago,1898
485.0,ago,1899
484.6,ago,1900
484.2,ago,1901
483.7,ago,1902
483.1,ago,1903
482.5,ago,1904
481.8,ago,1905
481.0,ago,1906
480.1,ago,1907
479.2,ago,1908
478.1,ago,1909
477.1,ago,1910
476.0,ago,1911
474.9,ago,1912
473.7,ago,1913
472.6,ago,1914
471.4,ago,1915
470.3,ago,1916
469.1,ago,1917
468.0,ago,1918
466.9,ago,1919
465.7,ago,1920
464.6,ago,1921
463.5,ago,1922
462.3,ago,1923
461.2,ago,1924
460.0,ago,1925
458.9,ago,1926
457.8,ago,1927
456.6,ago,1928
455.5,ago,1929
454.3,ago,1930
453.2,ago,1931
452.1,ago,1932
450.9,ago,1933
449.8,ago,1934
448.6,ago,1935
447.5,ago,1936
446.4,ago,1937
445.2,ago,1938
444.1,ago,1939
442.9,ago,1940
439.3,ago,1941
435.7,ago,1942
432.1,ago,1943
427.1,ago,1944
423.6,ago,1945
420.1,ago,1946
416.6,ago,1947
411.8,ago,1948
408.3,ago,1949
404.9,ago,1950
401.5,ago,1951
395.7,ago,1952
389.5,ago,1953
382.8,ago,1954
375.7,ago,1955
368.3,ago,1956
360.4,ago,1957
352.2,ago,1958
344.2,ago,1959
336.2,ago,1960
328.3,ago,1961
320.6,ago,1962
312.9,ago,1963
305.2,ago,1964
297.6,ago,1965
290.0,ago,1966
282.4,ago,1967
275.3,ago,1968
268.6,ago,1969
262.3,ago,1970
259.3,ago,1971
256.4,ago,1972
253.5,ago,1973
250.6,ago,1974
247.8,ago,1975
245.0,ago,1976
242.2,ago,1977
239.5,ago,1978
236.8,ago,1979
234.1,ago,1980
232.8,ago,1981
231.5,ago,1982
230.2,ago,1983
229.1,ago,1984
228.3,ago,1985
227.5,ago,1986
226.9,ago,1987
226.5,ago,1988
226.2,ago,1989
226.0,ago,1990
225.9,ago,1991
226.0,ago,1992
225.8,ago,1993
225.5,ago,1994
224.8,ago,1995
224.0,ago,1996
222.6,ago,1997
220.8,ago,1998
218.9,ago,1999
216.7,ago,2000
214.1,ago,2001
211.7,ago,2002
209.2,ago,2003
206.7,ago,2004
203.9,ago,2005
200.5,ago,2006
196.4,ago,2007
192.0,ago,2008
187.3,ago,2009
182.5,ago,2010
177.3,ago,2011
172.2,ago,2012
167.1,ago,2013
162.2,ago,2014
156.9,ago,2015
473.6,atg,1800
469.8,atg,1801
466.0,atg,1802
462.2,atg,1803
458.5,atg,1804
454.8,atg,1805
451.1,atg,1806
447.4,atg,1807
443.8,atg,1808
440.2,atg,1809
436.7,atg,1810
433.1,atg,1811
429.6,atg,1812
426.2,atg,1813
422.7,atg,1814
419.3,atg,1815
415.9,atg,1816
412.5,atg,1817
409.2,atg,1818
405.9,atg,1819
402.6,atg,1820
