total_gdp_ppp_inflation_adjusted,geo,time
5155000,asm,1891
5136000,asm,1892
5116000,asm,1893
5097000,asm,1894
5078000,asm,1895
5059000,asm,1896
5039000,asm,1897
5021000,asm,1898
5002000,asm,1899
4983000,asm,1900
5103000,asm,1901
5226000,asm,1902
5353000,asm,1903
5482000,asm,1904
5614000,asm,1905
5750000,asm,1906
5889000,asm,1907
6031000,asm,1908
6176000,asm,1909
6325000,asm,1910
6478000,asm,1911
6635000,asm,1912
6744000,asm,1913
7131000,asm,1914
7541000,asm,1915
7976000,asm,1916
8434000,asm,1917
8919000,asm,1918
9432000,asm,1919
9975000,asm,1920
10630000,asm,1921
11340000,asm,1922
12090000,asm,1923
12890000,asm,1924
13740000,asm,1925
14650000,asm,1926
15610000,asm,1927
16650000,asm,1928
17750000,asm,1929
18920000,asm,1930
20270000,asm,1931
21730000,asm,1932
23280000,asm,1933
24950000,asm,1934
26740000,asm,1935
28650000,asm,1936
30700000,asm,1937
32900000,asm,1938
35260000,asm,1939
37780000,asm,1940
40950000,asm,1941
44390000,asm,1942
48110000,asm,1943
52150000,asm,1944
56520000,asm,1945
61270000,asm,1946
66400000,asm,1947
71980000,asm,1948
78010000,asm,1949
84560000,asm,1950
87410000,asm,1951
89810000,asm,1952
91780000,asm,1953
93380000,asm,1954
94690000,asm,1955
95870000,asm,1956
97120000,asm,1957
98680000,asm,1958
100800000,asm,1959
103800000,asm,1960
107800000,asm,1961
112700000,asm,1962
118500000,asm,1963
124600000,asm,1964
131000000,asm,1965
137500000,asm,1966
144200000,asm,1967
150900000,asm,1968
157600000,asm,1969
164000000,asm,1970
170200000,asm,1971
176300000,asm,1972
182100000,asm,1973
185500000,asm,1974
188600000,asm,1975
191600000,asm,1976
194400000,asm,1977
197600000,asm,1978
201700000,asm,1979
207200000,asm,1980
214200000,asm,1981
222600000,asm,1982
232000000,asm,1983
242100000,asm,1984
252600000,asm,1985
263200000,asm,1986
274200000,asm,1987
285100000,asm,1988
295700000,asm,1989
305700000,asm,1990
319700000,asm,1991
333300000,asm,1992
346700000,asm,1993
359900000,asm,1994
373100000,asm,1995
386300000,asm,1996
399400000,asm,1997
412800000,asm,1998
426500000,asm,1999
440900000,asm,2000
456000000,asm,2001
489500000,asm,2002
525600000,asm,2003
564300000,asm,2004
605600000,asm,2005
723400000,asm,2006
864000000,asm,2007
3344000,and,1800
3350000,and,1801
3355000,and,1802
3361000,and,1803
3367000,and,1804
3372000,and,1805
3378000,and,1806
3383000,and,1807
3389000,and,1808
3395000,and,1809
3400000,and,1810
3406000,and,1811
3412000,and,1812
3417000,and,1813
3423000,and,1814
3429000,and,1815
3434000,and,1816
3440000,and,1817
3446000,and,1818
3451000,and,1819
3457000,and,1820
3520000,and,1821
3585000,and,1822
3650000,and,1823
3718000,and,1824
3786000,and,1825
3856000,and,1826
3927000,and,1827
3999000,and,1828
4072000,and,1829
4147000,and,1830
4222000,and,1831
4301000,and,1832
4380000,and,1833
4460000,and,1834
4542000,and,1835
4625000,and,1836
4710000,and,1837
4797000,and,1838
4884000,and,1839
4975000,and,1840
5066000,and,1841
5160000,and,1842
5254000,and,1843
5350000,and,1844
5448000,and,1845
5549000,and,1846
5650000,and,1847
5754000,and,1848
5860000,and,1849
5968000,and,1850
6077000,and,1851
6188000,and,1852
6301000,and,1853
6418000,and,1854
6536000,and,1855
6654000,and,1856
6777000,and,1857
6903000,and,1858
7029000,and,1859
7157000,and,1860
7290000,and,1861
7422000,and,1862
7559000,and,1863
7697000,and,1864
7838000,and,1865
7984000,and,1866
8129000,and,1867
8280000,and,1868
8432000,and,1869
8585000,and,1870
8745000,and,1871
8905000,and,1872
9067000,and,1873
9235000,and,1874
9403000,and,1875
9576000,and,1876
9751000,and,1877
9930000,and,1878
10110000,and,1879
10300000,and,1880
10490000,and,1881
10680000,and,1882
10880000,and,1883
11080000,and,1884
11280000,and,1885
11490000,and,1886
11700000,and,1887
11910000,and,1888
12130000,and,1889
12350000,and,1890
12580000,and,1891
12810000,and,1892
13050000,and,1893
13290000,and,1894
13530000,and,1895
13780000,and,1896
14030000,and,1897
14290000,and,1898
14550000,and,1899
14820000,and,1900
15090000,and,1901
15370000,and,1902
15650000,and,1903
15940000,and,1904
16230000,and,1905
16530000,and,1906
16830000,and,1907
17140000,and,1908
17460000,and,1909
17780000,and,1910
18100000,and,1911
18430000,and,1912
18770000,and,1913
19620000,and,1914
20490000,and,1915
21410000,and,1916
22370000,and,1917
23380000,and,1918
24420000,and,1919
25520000,and,1920
26660000,and,1921
27860000,and,1922
29110000,and,1923
30410000,and,1924
31780000,and,1925
33200000,and,1926
34690000,and,1927
36250000,and,1928
37870000,and,1929
39570000,and,1930
41340000,and,1931
43190000,and,1932
45140000,and,1933
47160000,and,1934
49270000,and,1935
51480000,and,1936
53780000,and,1937
56190000,and,1938
58720000,and,1939
61350000,and,1940
64100000,and,1941
66970000,and,1942
69970000,and,1943
73110000,and,1944
76390000,and,1945
79810000,and,1946
83400000,and,1947
87140000,and,1948
91040000,and,1949
95120000,and,1950
106600000,and,1951
119900000,and,1952
134900000,and,1953
151700000,and,1954
170500000,and,1955
191300000,and,1956
214400000,and,1957
239700000,and,1958
267600000,and,1959
298300000,and,1960
331800000,and,1961
368500000,and,1962
408300000,and,1963
451400000,and,1964
497900000,and,1965
547800000,and,1966
601500000,and,1967
659200000,and,1968
721600000,and,1969
789100000,and,1970
825900000,and,1971
893100000,and,1972
962800000,and,1973
1017000000,and,1974
1022000000,and,1975
1056000000,and,1976
1086000000,and,1977
1102000000,and,1978
1102000000,and,1979
1127000000,and,1980
1125000000,and,1981
1139000000,and,1982
1159000000,and,1983
1180000000,and,1984
1207000000,and,1985
1247000000,and,1986
1316000000,and,1987
1382000000,and,1988
1449000000,and,1989
1505000000,and,1990
1545000000,and,1991
1562000000,and,1992
1548000000,and,1993
1584000000,and,1994
1622000000,and,1995
1685000000,and,1996
1821000000,and,1997
1862000000,and,1998
1929000000,and,1999
1956000000,and,2000
2210000000,and,2001
2381000000,and,2002
2594000000,and,2003
2818000000,and,2004
3038000000,and,2005
3189000000,and,2006
3194000000,and,2007
3059000000,and,2008
2904000000,and,2009
2805000000,and,2010
2725000000,and,2011
1019000000,ago,1800
1023000000,ago,1801
1027000000,ago,1802
1032000000,ago,1803
1036000000,ago,1804
1040000000,ago,1805
1045000000,ago,1806
1049000000,ago,1807
1054000000,ago,1808
1058000000,ago,1809
1063000000,ago,1810
1067000000,ago,1811
1072000000,ago,1812
1076000000,ago,1813
1081000000,ago,1814
1086000000,ago,1815
1090000000,ago,1816
1095000000,ago,1817
1099000000,ago,1818
1104000000,ago,1819
1109000000,ago,1820
1122000000,ago,1821
1135000000,ago,1822
1148000000,ago,1823
1161000000,ago,1824
1174000000,ago,1825
1188000000,ago,1826
1202000000,ago,1827
1216000000,ago,1828
1230000000,ago,1829
1244000000,ago,1830
1258000000,ago,1831
1273000000,ago,1832
1287000000,ago,1833
1302000000,ago,1834
1317000000,ago,1835
1333000000,ago,1836
1348000000,ago,1837
1364000000,ago,1838
1379000000,ago,1839
1395000000,ago,1840
1411000000,ago,1841
1428000000,ago,1842
1444000000,ago,1843
1461000000,ago,1844
1478000000,ago,1845
1495000000,ago,1846
1512000000,ago,1847
1530000000,ago,1848
1547000000,ago,1849
1565000000,ago,1850
1583000000,ago,1851
1601000000,ago,1852
1620000000,ago,1853
1639000000,ago,1854
1658000000,ago,1855
1677000000,ago,1856
1696000000,ago,1857
1716000000,ago,1858
1736000000,ago,1859
1756000000,ago,1860
1776000000,ago,1861
1796000000,ago,1862
1817000000,ago,1863
1838000000,ago,1864
1859000000,ago,1865
1881000000,ago,1866
1903000000,ago,1867
1925000000,ago,1868
1947000000,ago,1869
1969000000,ago,1870
1992000000,ago,1871
2015000000,ago,1872
2038000000,ago,1873
2062000000,ago,1874
2086000000,ago,1875
2110000000,ago,1876
2134000000,ago,1877
2159000000,ago,1878
2184000000,ago,1879
2209000000,ago,1880
2235000000,ago,1881
2260000000,ago,1882
2287000000,ago,1883
2313000000,ago,1884
2340000000,ago,1885
2367000000,ago,1886
2394000000,ago,1887
2422000000,ago,1888
2450000000,ago,1889
2478000000,ago,1890
2507000000,ago,1891
2536000000,ago,1892
2565000000,ago,1893
2595000000,ago,1894
2625000000,ago,1895
2655000000,ago,1896
2686000000,ago,1897
2717000000,ago,1898
2748000000,ago,1899
2780000000,ago,1900
2812000000,ago,1901
2844000000,ago,1902
2877000000,ago,1903
2911000000,ago,1904
2944000000,ago,1905
2978000000,ago,1906
3013000000,ago,1907
3047000000,ago,1908
3083000000,ago,1909
3118000000,ago,1910
3154000000,ago,1911
3191000000,ago,1912
3228000000,ago,1913
3347000000,ago,1914
3471000000,ago,1915
3600000000,ago,1916
3733000000,ago,1917
3872000000,ago,1918
4015000000,ago,1919
4164000000,ago,1920
4319000000,ago,1921
4479000000,ago,1922
4645000000,ago,1923
4817000000,ago,1924
4996000000,ago,1925
5181000000,ago,1926
5373000000,ago,1927
5572000000,ago,1928
5779000000,ago,1929
5993000000,ago,1930
6215000000,ago,1931
6445000000,ago,1932
6684000000,ago,1933
6932000000,ago,1934
7189000000,ago,1935
7456000000,ago,1936
7732000000,ago,1937
8019000000,ago,1938
8316000000,ago,1939
8624000000,ago,1940
8972000000,ago,1941
9334000000,ago,1942
9711000000,ago,1943
10100000000,ago,1944
10510000000,ago,1945
10930000000,ago,1946
11380000000,ago,1947
11830000000,ago,1948
12310000000,ago,1949
12810000000,ago,1950
13330000000,ago,1951
13890000000,ago,1952
14460000000,ago,1953
14130000000,ago,1954
15310000000,ago,1955
15070000000,ago,1956
16550000000,ago,1957
17450000000,ago,1958
17540000000,ago,1959
18260000000,ago,1960
20720000000,ago,1961
20180000000,ago,1962
21250000000,ago,1963
23650000000,ago,1964
25450000000,ago,1965
26930000000,ago,1966
28490000000,ago,1967
28050000000,ago,1968
28880000000,ago,1969
30760000000,ago,1970
32610000000,ago,1971
32660000000,ago,1972
35310000000,ago,1973
36420000000,ago,1974
34590000000,ago,1975
32770000000,ago,1976
33010000000,ago,1977
31260000000,ago,1978
31360000000,ago,1979
32220000000,ago,1980
30800000000,ago,1981
30800000000,ago,1982
32100000000,ago,1983
34020000000,ago,1984
35210000000,ago,1985
36330000000,ago,1986
38870000000,ago,1987
41040000000,ago,1988
41200000000,ago,1989
41020000000,ago,1990
41420000000,ago,1991
39000000000,ago,1992
29650000000,ago,1993
30050000000,ago,1994
34550000000,ago,1995
41470000000,ago,1996
43750000000,ago,1997
43750000000,ago,1998
45160000000,ago,1999
46520000000,ago,2000
47980000000,ago,2001
54960000000,ago,2002
56770000000,ago,2003
63130000000,ago,2004
76070000000,ago,2005
90220000000,ago,2006
111100000000,ago,2007
126500000000,ago,2008
129500000000,ago,2009
134000000000,ago,2010
139200000000,ago,2011
146100000000,ago,2012
151600000000,ago,2013
1571000,aia,1800
1571000,aia,1801
1571000,aia,1802
1571000,aia,1803
1571000,aia,1804
1571000,aia,1805
1571000,aia,1806
1571000,aia,1807
1571000,aia,1808
1571000,aia,1809
1571000,aia,1810
1571000,aia,1811
1571000,aia,1812
1571000,aia,1813
1571000,aia,1814
1571000,aia,1815
1571000,aia,1816
1571000,aia,1817
1571000,aia,1818
1571000,aia,1819
1571000,aia,1820
1593000,aia,1821
1614000,aia,1822
1637000,aia,1823
1660000,aia,1824
1683000,aia,1825
1706000,aia,1826
1729000,aia,1827
1753000,aia,1828
1777000,aia,1829
1802000,aia,1830
1826000,aia,1831
1852000,aia,1832
1878000,aia,1833
1904000,aia,1834
1930000,aia,1835
1956000,aia,1836
1983000,aia,1837
2011000,aia,1838
2039000,aia,1839
2067000,aia,1840
2095000,aia,1841
2124000,aia,1842
2153000,aia,1843
2183000,aia,1844
2214000,aia,1845
2244000,aia,1846
2275000,aia,1847
2307000,aia,1848
2339000,aia,1849
2370000,aia,1850
2403000,aia,1851
2437000,aia,1852
2471000,aia,1853
2504000,aia,1854
2540000,aia,1855
2574000,aia,1856
2610000,aia,1857
2646000,aia,1858
2683000,aia,1859
