geo,population_in_urban_agglomerations_m_1_million_percent_of_total,time
dom,21.04,1985
dom,20.64,1990
dom,20.5,1995
dom,20.77,2000
dom,21.21,2005
dom,21.93,2007
ecu,17.47,1960
ecu,19.09,1965
ecu,20.43,1970
ecu,21.98,1975
ecu,23.86,1980
ecu,25.14,1985
ecu,25.87,1990
ecu,26.52,1995
ecu,27.9,2000
ecu,29.86,2005
ecu,31.59,2007
egy,18.65,1960
egy,20.56,1965
egy,21.28,1970
egy,21.95,1975
egy,22.21,1980
egy,22.02,1985
egy,20.98,1990
egy,20.33,1995
egy,19.8,2000
egy,19.31,2005
egy,20.05,2007
slv,11.22,1960
slv,12.15,1965
slv,13.35,1970
slv,14.08,1975
slv,15.04,1980
slv,16.49,1985
slv,18.19,1990
slv,19.94,1995
slv,22.76,2000
slv,25.04,2005
slv,23.46,2007
eth,2.302,1960
eth,2.345,1965
eth,2.519,1970
eth,2.81,1975
eth,3.319,1980
eth,3.597,1985
eth,3.708,1990
eth,3.785,1995
eth,3.807,2000
eth,3.875,2005
eth,3.752,2007
fin,10.12,1960
fin,10.47,1965
fin,11.01,1970
fin,12.36,1975
fin,14.1,1980
fin,14.78,1985
fin,17.48,1990
fin,18.46,1995
fin,19.69,2000
fin,20.79,2005
fin,21.14,2007
fra,21.54,1960
fra,22.36,1965
fra,22.75,1970
fra,22.63,1975
fra,22.74,1980
fra,22.77,1985
fra,22.67,1990
fra,22.71,1995
fra,22.78,2000
fra,22.4,2005
fra,22.25,2007
geo,17.26,1960
geo,17.93,1965
geo,19.06,1970
geo,20.22,1975
geo,21.49,1980
geo,22.27,1985
geo,22.41,1990
geo,22.89,1995
geo,23.18,2000
geo,23.45,2005
geo,25.24,2007
deu,8.437,1960
deu,8.226,1965
deu,8.098,1970
deu,7.904,1975
deu,7.851,1980
deu,7.823,1985
deu,7.95,1990
deu,7.858,1995
deu,7.685,2000
deu,7.749,2005
deu,9.009,2007
gha,9.039,1960
gha,9.904,1965
gha,11.21,1970
gha,11.35,1975
gha,11.92,1980
gha,11.88,1985
gha,12.65,1990
gha,13.48,1995
gha,14.65,2000
gha,15.96,2005
gha,16.46,2007
grc,26.98,1960
grc,27.96,1965
grc,28.67,1970
grc,30.26,1975
grc,30.98,1980
grc,30.67,1985
grc,30.21,1990
grc,29.36,1995
grc,29.12,2000
grc,29.08,2005
grc,29.08,2007
gtm,7.668,2007
gin,3.592,1960
gin,6.038,1965
gin,10.08,1970
gin,14.02,1975
gin,14.14,1980
gin,14.45,1985
gin,14.5,1990
gin,13.96,1995
gin,14.57,2000
gin,15.45,2005
gin,15.56,2007
hti,6.396,1960
hti,7.888,1965
hti,9.75,1970
hti,11.17,1975
hti,12.31,1980
hti,13.8,1985
hti,15.96,1990
hti,18.16,1995
hti,20.42,2000
hti,22.62,2005
hti,20.59,2007
hkg,85.2,1960
hkg,88.68,1965
hkg,87.34,1970
hkg,88.37,1975
hkg,91.03,1980
hkg,92.92,1985
hkg,99.52,1990
hkg,100.5,1995
hkg,99.58,2000
hkg,103.3,2005
hkg,100.0,2007
hun,18.14,1960
hun,18.5,1965
hun,18.83,1970
hun,19.04,1975
hun,19.21,1980
hun,19.24,1985
hun,19.33,1990
hun,18.33,1995
hun,17.5,2000
hun,16.79,2005
hun,16.74,2007
ind,6.627,1960
ind,6.988,1965
ind,7.378,1970
ind,7.924,1975
ind,8.559,1980
ind,9.071,1985
ind,9.634,1990
ind,10.19,1995
ind,10.86,2000
ind,11.62,2005
ind,11.49,2007
idn,6.119,1960
idn,6.638,1965
idn,6.989,1970
idn,7.544,1975
idn,8.256,1980
idn,8.471,1985
idn,8.769,1990
idn,9.475,1995
idn,10.47,2000
idn,11.7,2005
idn,9.055,2007
irn,14.53,1960
irn,16.6,1965
irn,19.0,1970
irn,21.55,1975
irn,22.65,1980
irn,22.94,1985
irn,22.9,1990
irn,23.09,1995
irn,22.99,2000
irn,22.94,2005
irn,22.54,2007
irq,16.32,1960
irq,21.7,1965
irq,24.14,1970
irq,26.72,1975
irq,27.35,1980
irq,26.28,1985
irq,25.54,1990
irq,25.42,1995
irq,24.91,2000
irq,25.07,2005
irq,21.3,2007
irl,23.33,1960
irl,25.14,1965
irl,26.14,1970
irl,26.22,1975
irl,26.57,1980
irl,25.99,1985
irl,26.14,1990
irl,26.23,1995
irl,25.98,2000
irl,24.94,2005
irl,24.67,2007
isr,34.92,1960
isr,34.4,1965
isr,34.61,1970
isr,34.9,1975
isr,36.52,1980
isr,39.71,1985
isr,43.48,1990
isr,44.04,1995
isr,43.76,2000
isr,43.46,2005
isr,59.51,2007
ita,15.85,1960
ita,17.08,1965
ita,18.42,1970
ita,18.7,1975
ita,18.79,1980
ita,18.72,1985
ita,18.5,1990
ita,18.29,1995
ita,18.08,2000
ita,17.41,2005
ita,17.3,2007
jpn,31.54,1960
jpn,36.16,1965
jpn,40.03,1970
jpn,42.27,1975
jpn,43.17,1980
jpn,44.08,1985
jpn,46.21,1990
jpn,46.85,1995
jpn,47.29,2000
jpn,47.78,2005
jpn,48.16,2007
jor,25.84,1960
jor,26.53,1965
jor,25.72,1970
jor,27.62,1975
jor,29.15,1980
jor,27.83,1985
jor,26.86,1990
jor,23.48,1995
jor,23.6,2000
jor,23.88,2005
jor,17.89,2007
kaz,5.289,1960
kaz,5.257,1965
kaz,5.645,1970
kaz,6.084,1975
kaz,6.529,1980
kaz,6.525,1985
kaz,6.607,1990
kaz,7.007,1995
kaz,7.639,2000
kaz,7.633,2005
kaz,7.842,2007
ken,3.611,1960
ken,4.247,1965
ken,4.718,1970
ken,5.019,1975
ken,5.299,1980
ken,5.547,1985
ken,5.889,1990
ken,6.385,1995
ken,7.103,2000
ken,7.742,2005
ken,7.972,2007
prk,6.716,1960
prk,7.178,1965
prk,8.009,1970
prk,9.725,1975
prk,12.42,1980
prk,13.62,1985
prk,15.16,1990
prk,16.89,1995
prk,18.42,2000
prk,18.93,2005
prk,18.65,2007
kor,21.27,1960
kor,24.99,1965
kor,31.66,1970
kor,36.86,1975
kor,42.58,1980
kor,47.29,1985
kor,51.37,1990
kor,52.04,1995
kor,50.9,2000
kor,50.79,2005
kor,48.38,2007
kwt,64.22,1960
kwt,64.13,1965
kwt,74.26,1970
kwt,68.33,1975
kwt,64.81,1980
kwt,65.52,1985
kwt,65.5,1990
kwt,61.31,1995
kwt,70.72,2000
kwt,71.38,2005
kwt,72.37,2007
lbn,29.7,1960
lbn,33.55,1965
lbn,37.78,1970
lbn,54.8,1975
lbn,58.28,1980
lbn,54.83,1985
lbn,43.46,1990
lbn,36.32,1995
lbn,39.41,2000
lbn,43.55,2005
lbn,44.33,2007
lbr,28.73,2007
lby,20.63,1960
lby,23.59,1965
lby,31.04,1970
lby,37.16,1975
lby,38.32,1980
lby,39.61,1985
lby,48.39,1990
lby,51.24,1995
lby,52.79,2000
lby,54.23,2005
lby,54.58,2007
mdg,4.94,1960
mdg,5.171,1965
mdg,5.539,1970
mdg,6.05,1975
mdg,6.741,1980
mdg,7.583,1985
mdg,8.41,1990
mdg,8.913,1995
mdg,8.913,2000
mdg,8.999,2005
mdg,9.114,2007
mys,4.22,1960
mys,4.143,1965
mys,4.158,1970
mys,5.258,1975
mys,6.689,1980
mys,6.478,1985
mys,6.189,1990
mys,5.889,1995
mys,5.61,2000
mys,5.483,2005
mys,5.447,2007
mli,2.57,1960
mli,2.861,1965
mli,3.672,1970
mli,5.501,1975
mli,6.808,1980
mli,7.736,1985
mli,8.624,1990
mli,9.529,1995
mli,10.55,2000
mli,11.56,2005
mli,12.04,2007
mex,21.96,1960
mex,24.73,1965
mex,27.61,1970
mex,29.22,1975
mex,31.68,1980
mex,31.74,1985
mex,32.28,1990
mex,33.12,1995
mex,33.87,2000
mex,35.0,2005
mex,33.97,2007
mar,10.32,1960
mar,11.6,1965
mar,13.05,1970
mar,14.06,1975
mar,14.91,1980
mar,15.21,1985
mar,15.55,1990
mar,16.07,1995
mar,15.78,2000
mar,15.69,2005
mar,18.64,2007
moz,2.37,1960
moz,3.061,1965
moz,3.93,1970
moz,4.292,1975
moz,4.533,1980
moz,4.904,1985
moz,5.728,1990
moz,5.776,1995
moz,6.0,2000
moz,6.336,2005
moz,6.606,2007
mmr,7.554,1960
mmr,7.488,1965
mmr,7.37,1970
mmr,7.198,1975
mmr,7.086,1980
mmr,7.019,1985
mmr,7.093,1990
mmr,7.371,1995
mmr,7.797,2000
mmr,8.496,2005
mmr,8.319,2007
nld,15.15,1960
nld,15.26,1965
nld,15.54,1970
nld,14.79,1975
nld,14.39,1980
nld,14.26,1985
nld,14.05,1990
nld,14.1,1995
nld,13.92,2000
nld,13.77,2005
nld,12.4,2007
nzl,18.56,1960
nzl,20.24,1965
nzl,22.51,1970
nzl,23.6,1975
nzl,24.86,1980
nzl,24.81,1985
nzl,25.22,1990
nzl,26.56,1995
nzl,27.55,2000
nzl,27.78,2005
nzl,29.8,2007
nic,11.19,1960
nic,13.02,1965
nic,15.26,1970
nic,15.85,1975
nic,16.14,1980
nic,16.74,1985
nic,17.76,1990
nic,18.66,1995
nic,20.02,2000
nic,21.36,2005
nga,3.86,1960
nga,4.677,1965
nga,4.954,1970
nga,6.205,1975
nga,8.084,1980
nga,9.952,1985
nga,10.62,1990
nga,11.43,1995
nga,12.36,2000
nga,13.31,2005
nga,13.84,2007
pak,10.96,1960
pak,12.09,1965
pak,13.25,1970
pak,14.08,1975
pak,14.93,1980
pak,15.45,1985
pak,15.97,1990
pak,16.6,1995
pak,17.31,2000
pak,17.77,2005
pak,17.66,2007
pan,25.11,1960
pan,27.59,1965
pan,30.21,1970
pan,30.64,1975
pan,31.44,1980
pan,33.13,1985
pan,35.12,1990
pan,35.66,1995
pan,36.34,2000
pan,37.62,2005
pan,38.28,2007
pry,16.18,1960
pry,17.01,1965
pry,18.2,1970
pry,19.65,1975
pry,20.99,1980
pry,21.5,1985
pry,21.83,1990
pry,23.73,1995
pry,27.24,2000
pry,31.47,2005
pry,30.5,2007
per,17.0,1960
per,19.38,1965
per,22.18,1970
per,24.07,1975
per,25.4,1980
per,26.07,1985
per,26.75,1990
per,26.96,1995
per,26.19,2000
per,25.81,2005
per,28.1,2007
phl,9.255,1960
phl,9.917,1965
phl,10.75,1970
phl,13.05,1975
phl,13.65,1980
phl,13.83,1985
phl,14.14,1990
phl,14.87,1995
phl,14.29,2000
phl,14.05,2005
phl,14.08,2007
pol,3.786,1960
pol,3.847,1965
pol,3.997,1970
pol,4.244,1975
pol,4.399,1980
pol,4.291,1985
pol,4.272,1990
pol,4.28,1995
pol,4.333,2000
pol,4.401,2005
pol,4.483,2007
prt,26.32,1960
prt,27.82,1965
prt,30.31,1970
prt,34.22,1975
prt,36.38,1980
prt,36.53,1985
prt,37.4,1990
prt,37.96,1995
prt,38.4,2000
prt,38.57,2005
prt,39.05,2007
pri,25.29,1960
pri,28.52,1965
pri,33.68,1970
pri,35.69,1975
pri,38.82,1980
pri,40.89,1985
pri,43.51,1990
pri,50.38,1995
pri,58.65,2000
pri,66.6,2005
pri,67.45,2007
rou,5.446,1960
rou,6.067,1965
rou,6.169,1970
rou,6.3,1975
rou,6.569,1980
rou,7.043,1985
rou,7.57,1990
rou,9.056,1995
rou,8.952,2000
rou,8.941,2005
rou,9.057,2007
rus,14.1,1960
rus,14.7,1965
rus,15.73,1970
rus,16.57,1975
rus,17.17,1980
rus,17.38,1985
rus,17.52,1990
rus,17.87,1995
rus,18.45,2000
rus,19.24,2005
rus,17.92,2007
sau,11.13,1960
sau,12.8,1965
sau,17.87,1970
sau,23.27,1975
sau,25.05,1980
sau,26.72,1985
sau,30.28,1990
sau,34.3,1995
sau,35.09,2000
sau,36.22,2005
sau,39.97,2007
sen,11.65,1960
sen,13.31,1965
sen,14.64,1970
sen,16.0,1975
sen,16.99,1980
sen,17.84,1985
sen,18.36,1990
sen,18.54,1995
sen,18.81,2000
sen,19.14,2005
sen,21.95,2007
srb,11.15,2007
sgp,99.27,1960
sgp,99.64,1965
sgp,99.98,1970
sgp,99.98,1975
sgp,100.0,1980
sgp,99.0,1985
sgp,99.0,1990
sgp,98.68,1995
sgp,99.74,2000
sgp,101.4,2005
sgp,100.0,2007
som,3.332,1960
som,4.592,1965
som,7.568,1970
som,10.81,1975
som,8.564,1980
som,11.18,1985
som,14.33,1990
som,16.56,1995
som,16.08,2000
som,15.8,2005
som,12.6,2007
zaf,22.51,1960
zaf,22.71,1965
zaf,23.47,1970
zaf,23.85,1975
zaf,24.39,1980
zaf,24.58,1985
zaf,25.46,1990
zaf,26.55,1995
zaf,27.55,2000
zaf,30.03,2005
zaf,32.52,2007
esp,15.96,1960
esp,18.18,1965
esp,20.73,1970
esp,21.31,1975
esp,21.64,1980
esp,21.67,1985
esp,21.92,1990
esp,23.01,1995
esp,24.11,2000
esp,23.97,2005
esp,23.68,2007
sdn,2.967,1960
sdn,3.612,1965
sdn,4.371,1970
sdn,5.067,1975
sdn,5.677,1980
sdn,6.7,1985
sdn,8.711,1990
sdn,10.51,1995
sdn,11.32,2000
sdn,11.68,2005
sdn,11.76,2007
swe,10.76,1960
swe,12.97,1965
swe,13.62,1970
swe,16.59,1975
swe,16.67,1980
swe,17.15,1985
swe,17.38,1990
swe,17.68,1995
swe,18.63,2000
swe,18.93,2005
swe,13.86,2007
che,9.986,1960
che,10.49,1965
che,11.34,1970
che,11.14,1975
che,11.18,1980
che,12.44,1985
che,13.84,1990
che,14.23,1995
che,14.95,2000
che,15.38,2005
che,14.8,2007
syr,22.92,1960
syr,24.37,1965
syr,25.66,1970
syr,26.54,1975
syr,27.27,1980
syr,26.24,1985
syr,25.51,1990
syr,25.45,1995
syr,25.72,2000
syr,25.06,2005
syr,30.86,2007
tza,1.61,1960
tza,1.997,1965
tza,2.623,1970
tza,3.579,1975
tza,4.48,1980
tza,4.796,1985
tza,5.168,1990
tza,5.566,1995
tza,6.199,2000
tza,6.861,2005
tza,7.095,2007
tha,7.781,1960
tha,8.028,1965
tha,8.363,1970
tha,9.097,1975
tha,9.993,1980
tha,10.05,1985
tha,10.39,1990
tha,10.15,1995
tha,10.16,2000
tha,9.998,2005
tha,10.0,2007
tgo,6.059,1960
tgo,8.047,1965
tgo,8.988,1970
tgo,10.49,1975
tgo,12.35,1980
tgo,13.92,1985
tgo,15.85,1990
tgo,18.27,1995
tgo,20.07,2000
tgo,22.31,2005
tgo,23.02,2007
tur,10.4,1960
tur,12.99,1965
tur,15.79,1970
tur,17.4,1975
tur,18.52,1980
tur,20.4,1985
tur,22.43,1990
tur,23.63,1995
tur,24.74,2000
tur,25.9,2005
tur,27.29,2007
uga,2.026,1960
uga,2.774,1965
uga,3.599,1970
uga,3.65,1975
uga,3.703,1980
uga,4.02,1985
uga,4.257,1990
uga,4.355,1995
uga,4.489,2000
uga,4.595,2005
uga,4.643,2007
ukr,8.201,1960
ukr,8.926,1965
ukr,9.848,1970
ukr,10.69,1975
ukr,11.59,1980
ukr,12.12,1985
ukr,12.36,1990
ukr,12.24,1995
ukr,12.62,2000
ukr,13.06,2005
ukr,11.3,2007
are,44.33,1960
are,35.1,1965
are,35.8,1970
are,31.54,1975
are,25.06,1980
are,24.43,1985
are,25.32,1990
are,26.72,1995
are,28.98,2000
are,32.53,2005
are,31.49,2007
gbr,31.43,1960
gbr,29.67,1965
gbr,28.28,1970
gbr,27.57,1975
gbr,27.2,1980
gbr,26.72,1985
gbr,26.03,1990
gbr,26.05,1995
gbr,26.18,2000
gbr,26.05,2005
gbr,25.95,2007
usa,37.91,1960
usa,38.83,1965
usa,40.52,1970
usa,40.12,1975
usa,39.97,1980
usa,40.35,1985
usa,40.83,1990
usa,41.34,1995
usa,42.26,2000
usa,43.42,2005
usa,43.36,2007
ury,45.5,1960
ury,43.15,1965
ury,41.65,1970
ury,41.64,1975
ury,41.63,1980
ury,41.53,1985
ury,41.03,1990
ury,40.36,1995
ury,38.93,2000
ury,38.23,2005
ury,45.31,2007
uzb,11.26,1960
uzb,11.39,1965
uzb,11.72,1970
uzb,11.53,1975
uzb,11.4,1980
uzb,10.77,1985
uzb,10.1,1990
uzb,9.235,1995
uzb,8.667,2000
uzb,8.336,2005
uzb,7.977,2007
ven,30.84,1960
ven,33.1,1965
ven,35.92,1970
ven,36.06,1975
ven,35.49,1980
ven,34.57,1985
ven,34.2,1990
ven,34.43,1995
ven,35.36,2000
ven,36.93,2005
ven,32.36,2007
vnm,6.945,1960
vnm,8.32,1965
vnm,9.901,1970
vnm,11.78,1975
vnm,13.7,1980
vnm,13.5,1985
vnm,12.99,1990
vnm,12.75,1995
vnm,12.98,2000
vnm,13.36,2005
vnm,13.35,2007
yem,1.379,1960
yem,1.539,1965
yem,1.73,1970
yem,1.981,1975
yem,2.836,1980
yem,3.964,1985
yem,5.307,1990
yem,6.662,1995
yem,7.506,2000
yem,8.565,2005
yem,9.016,2007
zmb,2.987,1960
zmb,4.516,1965
zmb,6.707,1970
zmb,7.85,1975
zmb,9.229,1980
zmb,9.375,1985
zmb,9.575,1990
zmb,9.899,1995
zmb,10.25,2000
zmb,10.73,2005
zmb,10.78,2007
zwe,6.61,1960
zwe,7.206,1965
zwe,8.004,1970
zwe,8.631,1975
zwe,8.463,1980
zwe,8.797,1985
zwe,10.01,1990
zwe,10.72,1995
zwe,11.07,2000
zwe,12.14,2005
zwe,12.67,2007
