murdered_children_0_14_per_100000_people,geo,time
0.8034,can,1989
0.8098,can,1990
0.9,can,1991
0.7683,can,1992
0.5365,can,1993
0.7695,can,1994
0.7463,can,1995
0.8939,can,1996
0.7818,can,1997
0.7889,can,1998
0.6262,can,1999
0.6608,can,2000
0.6273,can,2001
0.6959,can,2002
0.5099,can,2003
0.5794,can,2004
0.4374,chl,1955
0.7659,chl,1956
0.8202,chl,1957
0.7509,chl,1958
1.108,chl,1959
0.7295,chl,1960
1.05,chl,1961
0.402,chl,1962
0.8392,chl,1963
0.7638,chl,1964
0.2431,chl,1965
0.9303,chl,1966
0.4526,chl,1967
1.059,chl,1968
0.8093,chl,1969
0.9044,chl,1970
0.7578,chl,1971
1.037,chl,1972
0.6916,chl,1973
0.713,chl,1974
0.7444,chl,1975
0.6815,chl,1976
0.6475,chl,1977
0.5861,chl,1978
0.5414,chl,1979
1.026,chl,1980
0.7872,chl,1981
0.7531,chl,1982
0.6836,chl,1983
0.6816,chl,1984
0.5132,chl,1985
0.5625,chl,1986
0.2337,chl,1987
0.7127,chl,1988
0.5968,chl,1989
0.655,chl,1990
0.7213,chl,1991
0.5874,chl,1992
0.1926,chl,1993
0.5271,chl,1994
0.5173,chl,1995
0.595,chl,1996
0.6021,chl,1997
0.6442,chl,1998
0.3757,chl,1999
0.7323,chl,2000
0.676,chl,2001
0.656,chl,2002
0.6138,chl,2003
0.6041,chl,2004
0.4719,chl,2005
2.434,col,1953
2.444,col,1954
4.257,col,1955
7.444,col,1956
5.312,col,1957
5.73,col,1958
4.099,col,1959
3.74,col,1960
3.823,col,1961
3.579,col,1962
3.415,col,1963
2.522,col,1964
2.127,col,1965
1.752,col,1966
1.59,col,1967
1.44,col,1968
1.089,col,1969
1.098,col,1972
1.381,col,1974
1.046,col,1975
1.284,col,1976
1.445,col,1977
1.634,col,1984
2.201,col,1985
1.973,col,1986
1.769,col,1987
2.287,col,1988
2.365,col,1989
3.034,col,1990
3.842,col,1991
4.4,col,1992
4.145,col,1993
4.033,col,1994
3.347,col,1995
3.196,col,1996
2.787,col,1997
3.4,col,1998
3.437,col,1999
3.353,col,2000
3.345,col,2001
3.725,col,2002
2.333,col,2004
2.139,col,2005
2.101,col,2006
0.1798,cri,1962
0.0,cri,1963
0.1492,cri,1964
0.5855,cri,1965
0.3008,cri,1966
0.3007,cri,1967
0.232,cri,1968
0.8035,cri,1969
1.205,cri,1970
0.6706,cri,1971
1.107,cri,1972
1.006,cri,1973
0.3554,cri,1974
0.8468,cri,1975
1.099,cri,1976
0.3695,cri,1977
0.447,cri,1978
0.353,cri,1979
1.83,cri,1980
0.7371,cri,1981
0.7564,cri,1982
0.6163,cri,1983
0.7597,cri,1984
0.9741,cri,1985
1.466,cri,1986
1.542,cri,1987
0.3541,cri,1988
1.811,cri,1989
0.646,cri,1990
1.026,cri,1991
0.5955,cri,1992
0.5985,cri,1993
0.4455,cri,1994
0.5945,cri,1995
0.7711,cri,1996
0.7607,cri,1997
0.6246,cri,1998
0.5195,cri,1999
0.4972,cri,2000
0.3432,cri,2001
0.3358,cri,2002
1.268,cri,2003
0.9251,cri,2004
0.9584,cri,2005
0.4101,cri,2006
1.161,hrv,1985
1.274,hrv,1986
0.7809,hrv,1987
0.704,hrv,1988
0.5627,hrv,1989
0.3608,hrv,1990
0.8082,hrv,1991
1.177,hrv,1992
1.032,hrv,1993
0.926,hrv,1994
0.6859,hrv,1995
0.1091,hrv,1996
0.5582,hrv,1997
0.9883,hrv,1998
0.4824,hrv,1999
0.5123,hrv,2000
0.4663,hrv,2001
0.1725,hrv,2002
0.3018,hrv,2003
0.0,hrv,2004
0.1633,hrv,2005
0.1647,hrv,2006
0.3159,hrv,2007
0.1669,hrv,2008
0.8022,cub,1964
0.9979,cub,1968
0.5891,cub,1969
0.9035,cub,1970
0.8454,cub,1971
1.005,cub,1972
1.674,cub,1973
1.174,cub,1974
0.9852,cub,1975
0.7543,cub,1976
1.173,cub,1977
1.302,cub,1992
1.321,cub,1993
0.7895,cub,1994
1.146,cub,1995
0.6477,cub,1996
0.9031,cub,1997
0.558,cub,1998
0.8804,cub,1999
0.9778,cub,2000
0.6288,cub,2001
0.5858,cub,2002
0.741,cub,2003
0.7906,cub,2004
0.716,cub,2005
0.7154,cub,2006
0.5989,cub,2007
0.0,cyp,1999
0.0,cyp,2000
0.0,cyp,2004
0.0,cyp,2005
0.0,cyp,2006
0.0,cyp,2007
0.9137,cze,1986
0.6653,cze,1987
0.4694,cze,1988
0.5662,cze,1989
0.8853,cze,1990
0.828,cze,1991
0.9344,cze,1992
1.149,cze,1993
1.243,cze,1994
1.032,cze,1995
0.2731,cze,1996
0.3403,cze,1997
0.4414,cze,1998
0.7008,cze,1999
0.7086,cze,2000
0.5039,cze,2001
0.2918,cze,2002
0.3283,cze,2003
0.3973,cze,2004
0.06969,cze,2005
0.06694,cze,2006
0.6148,cze,2007
0.06517,cze,2008
2.452,dnk,1951
2.088,dnk,1952
2.283,dnk,1953
1.539,dnk,1954
0.7674,dnk,1955
2.074,dnk,1956
1.05,dnk,1957
1.125,dnk,1958
0.5943,dnk,1959
0.9745,dnk,1960
0.4564,dnk,1961
0.9714,dnk,1962
1.166,dnk,1963
0.8733,dnk,1964
0.7895,dnk,1965
0.7389,dnk,1966
0.6684,dnk,1967
0.7826,dnk,1968
0.7844,dnk,1969
0.5131,dnk,1970
0.7907,dnk,1971
0.7689,dnk,1972
1.243,dnk,1973
0.432,dnk,1974
0.4378,dnk,1975
0.8068,dnk,1976
0.5671,dnk,1977
0.4407,dnk,1978
1.121,dnk,1979
1.306,dnk,1980
1.391,dnk,1981
0.5844,dnk,1982
0.9098,dnk,1983
0.9007,dnk,1984
0.8319,dnk,1985
1.538,dnk,1986
0.6062,dnk,1987
1.069,dnk,1988
1.071,dnk,1989
0.5767,dnk,1990
0.6815,dnk,1991
0.7524,dnk,1992
1.14,dnk,1993
0.6156,dnk,1994
0.5334,dnk,1995
0.4124,dnk,1996
0.3102,dnk,1997
0.7223,dnk,1998
0.2095,dnk,1999
0.718,dnk,2000
0.5042,dnk,2001
0.1085,dnk,2002
1.218,dnk,2003
0.0,dnk,2004
0.6055,dnk,2005
0.0,dnk,2006
0.7094,egy,1973
0.5261,egy,1974
0.5783,egy,1975
0.6364,egy,1976
0.6649,egy,1977
0.5663,egy,1978
0.4247,egy,1979
0.2196,egy,1980
0.09924,egy,1987
0.008477,egy,2000
0.04366,egy,2008
2.655,slv,2005
3.378,slv,2006
1.216,est,1981
1.207,est,1982
2.048,est,1985
2.104,est,1986
2.326,est,1987
0.5699,est,1988
0.5668,est,1989
1.175,est,1990
0.6909,est,1991
3.64,est,1992
3.106,est,1993
2.097,est,1994
2.384,est,1995
0.9859,est,1996
0.6576,est,1997
1.263,est,1998
3.214,est,1999
2.136,est,2000
0.5532,est,2001
0.4967,est,2002
1.441,est,2003
0.0,est,2004
1.022,est,2005
0.0,est,2006
1.534,est,2007
0.91,est,2008
1.88,fin,1952
2.479,fin,1953
2.497,fin,1954
1.803,fin,1955
2.244,fin,1956
2.599,fin,1957
1.829,fin,1958
1.317,fin,1959
2.468,fin,1960
1.3,fin,1961
1.509,fin,1962
1.351,fin,1963
1.288,fin,1964
1.471,fin,1965
1.82,fin,1966
1.073,fin,1967
1.492,fin,1968
1.018,fin,1969
1.039,fin,1970
1.842,fin,1971
1.797,fin,1972
1.035,fin,1973
0.6331,fin,1974
0.5966,fin,1975
1.037,fin,1976
1.17,fin,1977
0.324,fin,1978
0.6256,fin,1979
0.9659,fin,1980
0.5514,fin,1981
0.9505,fin,1982
0.8414,fin,1983
1.06,fin,1984
0.9581,fin,1985
1.398,fin,1986
0.8709,fin,1987
0.2278,fin,1988
1.049,fin,1989
0.5358,fin,1990
0.6209,fin,1991
0.5193,fin,1992
1.128,fin,1993
0.6207,fin,1994
0.9429,fin,1995
0.9732,fin,1996
0.6222,fin,1997
0.3305,fin,1998
0.5263,fin,1999
0.8462,fin,2000
0.5257,fin,2001
1.229,fin,2002
0.3614,fin,2003
0.4478,fin,2004
0.7055,fin,2005
0.3516,fin,2006
0.687,fin,2007
0.441,fin,2008
0.4467,fra,1950
0.381,fra,1952
0.4091,fra,1953
0.3681,fra,1954
0.3882,fra,1955
0.4291,fra,1956
0.4751,fra,1957
0.3881,fra,1958
0.7248,fra,1959
0.475,fra,1960
0.5235,fra,1961
0.5174,fra,1962
0.4804,fra,1963
0.5313,fra,1964
0.4515,fra,1965
0.5669,fra,1966
0.5714,fra,1967
0.5116,fra,1968
0.3546,fra,1969
0.2625,fra,1970
0.3039,fra,1971
0.4461,fra,1972
0.2818,fra,1973
0.4681,fra,1974
0.319,fra,1975
0.3399,fra,1976
0.371,fra,1977
0.4431,fra,1978
0.5175,fra,1979
0.422,fra,1980
0.4486,fra,1981
0.4701,fra,1982
0.6868,fra,1983
0.5393,fra,1984
0.4512,fra,1985
0.4768,fra,1986
0.6131,fra,1987
0.5494,fra,1988
0.6425,fra,1989
0.4544,fra,1990
0.4926,fra,1991
0.4542,fra,1992
0.5432,fra,1993
0.5975,fra,1994
0.4524,fra,1995
0.6397,fra,1996
0.4753,fra,1997
0.3683,fra,1998
0.3698,fra,1999
0.6483,fra,2000
0.5266,fra,2001
0.4884,fra,2002
0.369,fra,2003
0.3412,fra,2004
0.4018,fra,2005
0.4746,fra,2006
0.2666,fra,2007
0.3852,geo,1981
0.1533,geo,1982
0.4551,geo,1985
0.0,geo,1986
0.153,geo,1987
0.7513,geo,1988
0.5235,geo,1989
0.3074,geo,1990
0.0,geo,1991
0.0,geo,1992
0.0,geo,1994
0.0,geo,1995
0.0,geo,1996
0.1063,geo,1997
0.2062,geo,1998
0.2097,geo,1999
0.0,geo,2000
0.09997,geo,2001
0.5868,deu,1990
0.6887,deu,1991
0.5887,deu,1992
0.6579,deu,1993
0.7307,deu,1994
0.7103,deu,1995
0.5903,deu,1996
0.44,deu,1997
0.7071,deu,1998
0.5947,deu,1999
0.5753,deu,2000
0.5579,deu,2001
0.5105,deu,2002
0.4459,deu,2003
0.4263,deu,2004
0.4017,deu,2005
0.4372,deu,2006
0.3647,grc,1961
0.4125,grc,1962
0.4161,grc,1963
0.2299,grc,1964
0.5091,grc,1965
0.2734,grc,1966
0.267,grc,1967
0.2248,grc,1968
0.2702,grc,1969
0.1379,grc,1970
0.2768,grc,1971
0.2257,grc,1972
0.2447,grc,1973
0.2222,grc,1974
0.09522,grc,1975
0.1438,grc,1976
0.1816,grc,1977
0.09486,grc,1978
0.1494,grc,1979
0.2213,grc,1980
0.288,grc,1981
0.2385,grc,1982
0.337,grc,1983
0.09221,grc,1984
0.05828,grc,1985
0.2683,grc,1986
0.0,grc,1987
0.3312,grc,1988
0.04804,grc,1989
0.04407,grc,1990
0.3744,grc,1991
0.0,grc,1992
0.2926,grc,1993
0.0,grc,1994
0.1615,grc,1995
0.436,grc,1996
0.186,grc,1997
0.06397,grc,1998
0.2401,grc,1999
0.06528,grc,2000
0.06849,grc,2001
0.2395,grc,2002
0.1346,grc,2003
0.1936,grc,2004
0.0,grc,2005
0.1276,grc,2006
0.3779,grc,2007
0.1214,grc,2008
0.804,gtm,1963
1.21,gtm,1964
0.7704,gtm,1965
0.9044,gtm,1966
1.356,gtm,1967
1.141,gtm,1968
0.9025,gtm,1969
0.7114,gtm,1970
1.085,gtm,1971
1.803,gtm,1974
1.433,gtm,1977
2.534,gtm,1979
1.633,gtm,1980
5.643,gtm,1981
0.4859,gtm,1984
1.382,gtm,1986
1.718,gtm,1987
1.672,gtm,1988
1.153,gtm,1989
0.9203,gtm,1990
1.298,gtm,1991
1.171,gtm,1992
1.249,gtm,1993
1.267,gtm,1994
1.102,gtm,1995
1.264,gtm,1996
1.625,gtm,1997
1.832,gtm,1998
1.134,gtm,1999
1.255,gtm,2000
1.529,gtm,2001
1.738,gtm,2002
1.947,gtm,2003
1.564,gtm,2004
2.084,gtm,2005
1.897,gtm,2006
1.022,hun,1955
0.9682,hun,1956
0.8631,hun,1957
0.6434,hun,1958
1.705,hun,1959
1.069,hun,1960
1.666,hun,1961
1.64,hun,1962
1.184,hun,1963
1.577,hun,1964
1.178,hun,1965
1.975,hun,1966
1.501,hun,1967
2.234,hun,1968
1.764,hun,1969
1.319,hun,1970
1.763,hun,1971
2.37,hun,1972
1.688,hun,1973
1.217,hun,1974
0.9473,hun,1975
1.682,hun,1976
0.9697,hun,1977
1.829,hun,1978
1.334,hun,1979
1.584,hun,1980
1.791,hun,1981
1.306,hun,1982
1.756,hun,1983
0.7239,hun,1984
1.528,hun,1985
1.308,hun,1986
1.617,hun,1987
2.146,hun,1988
1.146,hun,1989
1.259,hun,1990
0.9823,hun,1991
0.6358,hun,1992
1.199,hun,1993
0.6268,hun,1994
1.16,hun,1995
1.436,hun,1996
0.9151,hun,1997
1.499,hun,1998
1.004,hun,1999
1.287,hun,2000
0.6538,hun,2001
1.526,hun,2002
0.7173,hun,2003
0.8616,hun,2004
0.7091,hun,2005
1.58,hun,2006
0.8378,hun,2007
0.9053,hun,2008
0.6612,irl,1950
0.2195,irl,1951
0.2245,irl,1952
0.5716,irl,1953
0.2316,irl,1954
0.352,irl,1955
0.0,irl,1956
0.1175,irl,1957
0.4857,irl,1958
0.5847,irl,1959
0.1181,irl,1960
0.1131,irl,1961
0.347,irl,1962
0.2263,irl,1963
0.5553,irl,1964
0.2244,irl,1965
0.1096,irl,1966
0.5459,irl,1967
0.3295,irl,1968
0.1099,irl,1969
0.4385,irl,1970
0.4203,irl,1971
0.4205,irl,1972
0.2062,irl,1973
0.1043,irl,1974
0.9195,irl,1975
0.1045,irl,1976
0.0998,irl,1977
0.1006,irl,1978
0.488,irl,1979
0.0,irl,1980
0.2874,irl,1981
0.0,irl,1982
0.09539,irl,1983
0.1098,irl,1984
0.0,irl,1985
0.1896,irl,1986
0.8017,irl,1987
0.0,irl,1988
0.0,irl,1989
0.1372,irl,1990
0.0,irl,1991
0.2475,irl,1992
0.3703,irl,1993
0.0,irl,1994
0.0,irl,1995
0.3612,irl,1996
0.2729,irl,1997
0.1067,irl,1998
0.0,irl,1999
0.8684,irl,2000
0.3727,irl,2001
0.0,irl,2002
0.12,irl,2003
0.0,irl,2004
0.2277,irl,2005
0.2305,irl,2006
0.0,irl,2007
0.1096,irl,2008
0.7078,isr,1975
0.09786,isr,1976
0.1495,isr,1977
0.3125,isr,1978
0.8184,isr,1979
0.2383,isr,1980
0.3899,isr,1981
0.1635,isr,1982
0.8407,isr,1983
0.07775,isr,1984
0.3022,isr,1985
0.1418,isr,1986
0.432,isr,1987
0.4205,isr,1988
0.6938,isr,1989
0.0,isr,1990
0.393,isr,1991
0.0,isr,1992
0.515,isr,1993
0.1865,isr,1994
0.2397,isr,1995
0.0,isr,1996
0.0,isr,1997
0.0,isr,1998
0.628,isr,1999
0.7434,isr,2000
0.9988,isr,2001
2.016,isr,2002
0.7867,isr,2003
0.6029,isr,2004
0.15,isr,2005
0.4932,isr,2006
0.5504,ita,1951
0.4923,ita,1952
0.5093,ita,1953
0.4453,ita,1954
0.4978,ita,1955
0.4541,ita,1956
0.5169,ita,1957
0.524,ita,1958
0.4211,ita,1959
0.263,ita,1960
0.3524,ita,1961
0.2952,ita,1962
0.3787,ita,1963
0.3057,ita,1964
0.2758,ita,1965
0.2155,ita,1966
0.3588,ita,1967
0.3154,ita,1968
0.2443,ita,1969
0.3162,ita,1970
0.3689,ita,1971
0.2727,ita,1972
0.2964,ita,1973
0.2219,ita,1974
0.2104,ita,1975
0.1577,ita,1976
0.2937,ita,1977
0.3199,ita,1978
0.251,ita,1979
0.3498,ita,1980
0.1883,ita,1981
0.2554,ita,1982
0.2511,ita,1983
0.2699,ita,1984
0.2814,ita,1985
0.206,ita,1986
0.1598,ita,1987
0.2093,ita,1988
0.2452,ita,1989
0.3724,ita,1990
0.3002,ita,1991
0.2413,ita,1992
0.2464,ita,1993
0.1194,ita,1994
0.2433,ita,1995
0.1344,ita,1996
0.1701,ita,1997
0.1119,ita,1998
0.2372,ita,1999
0.1614,ita,2000
0.1356,ita,2001
0.1874,ita,2002
0.2391,ita,2003
0.1739,ita,2006
0.1812,ita,2007
2.338,jpn,1950
1.994,jpn,1951
1.947,jpn,1952
2.048,jpn,1953
2.122,jpn,1954
2.297,jpn,1955
2.004,jpn,1956
2.087,jpn,1957
2.119,jpn,1958
1.995,jpn,1959
2.0,jpn,1960
1.75,jpn,1961
1.686,jpn,1962
1.629,jpn,1963
1.707,jpn,1964
1.608,jpn,1965
1.696,jpn,1966
1.615,jpn,1967
1.882,jpn,1968
1.545,jpn,1969
1.818,jpn,1970
1.637,jpn,1971
1.664,jpn,1972
1.707,jpn,1973
1.895,jpn,1974
2.052,jpn,1975
1.968,jpn,1976
1.996,jpn,1977
1.987,jpn,1978
1.529,jpn,1979
1.482,jpn,1980
1.352,jpn,1981
1.362,jpn,1982
1.561,jpn,1983
1.365,jpn,1984
1.054,jpn,1985
1.125,jpn,1986
0.9945,jpn,1987
1.042,jpn,1988
0.9166,jpn,1989
0.7525,jpn,1990
0.6615,jpn,1991
0.877,jpn,1992
0.8229,jpn,1993
0.6963,jpn,1994
0.5973,jpn,1995
0.5896,jpn,1996
0.6291,jpn,1997
0.7522,jpn,1998
0.543,jpn,1999
0.5828,jpn,2000
0.5742,jpn,2001
0.5244,jpn,2002
0.6424,jpn,2003
0.5092,jpn,2004
0.4636,jpn,2005
0.5313,jpn,2006
0.3511,jpn,2007
0.5175,jpn,2008
0.7718,kaz,1981
0.8683,kaz,1982
0.774,kaz,1985
0.8251,kaz,1986
0.7517,kaz,1987
0.755,kaz,1988
0.7486,kaz,1989
0.7959,kaz,1990
0.7435,kaz,1991
1.182,kaz,1992
1.025,kaz,1993
1.387,kaz,1994
1.046,kaz,1995
0.962,kaz,1996
1.172,kaz,1997
1.405,kaz,1998
1.284,kaz,1999
1.016,kaz,2000
1.289,kaz,2001
1.129,kaz,2002
1.359,kaz,2003
1.046,kaz,2004
1.043,kaz,2005
0.8414,kaz,2006
0.9912,kaz,2007
0.6094,kaz,2008
0.5074,kor,1985
0.4536,kor,1986
