geo,population_aged_15_19_years_male_percent,time
irl,9.521,1985
irl,9.738,1990
irl,9.659,1995
irl,8.841,2000
irl,7.266,2005
irl,6.269,2010
irl,6.043,2015
irl,6.512,2020
irl,6.944,2025
irl,6.772,2030
irl,6.131,2035
irl,5.593,2040
irl,5.395,2045
irl,5.534,2050
isr,8.81,1950
isr,8.117,1955
isr,7.836,1960
isr,10.57,1965
isr,10.75,1970
isr,9.674,1975
isr,8.931,1980
isr,9.135,1985
isr,9.693,1990
isr,9.702,1995
isr,9.024,2000
isr,8.479,2005
isr,8.107,2010
isr,8.428,2015
isr,8.492,2020
isr,8.305,2025
isr,7.736,2030
isr,7.239,2035
isr,6.954,2040
isr,6.836,2045
isr,6.71,2050
ita,8.967,1950
ita,8.641,1955
ita,7.652,1960
ita,8.336,1965
ita,7.425,1970
ita,7.67,1975
ita,8.488,1980
ita,8.525,1985
ita,8.151,1990
ita,6.668,1995
ita,5.656,2000
ita,5.187,2005
ita,5.104,2010
ita,4.913,2015
ita,5.128,2020
ita,5.24,2025
ita,4.881,2030
ita,4.538,2035
ita,4.455,2040
ita,4.536,2045
ita,4.736,2050
jam,10.56,1950
jam,9.987,1955
jam,8.812,1960
jam,9.394,1965
jam,8.782,1970
jam,12.0,1975
jam,11.67,1980
jam,12.21,1985
jam,11.04,1990
jam,10.04,1995
jam,9.874,2000
jam,9.893,2005
jam,10.79,2010
jam,10.12,2015
jam,8.947,2020
jam,8.721,2025
jam,8.547,2030
jam,8.411,2035
jam,8.084,2040
jam,7.595,2045
jam,7.11,2050
jpn,10.62,1950
jpn,9.885,1955
jpn,10.14,1960
jpn,11.48,1965
jpn,9.08,1970
jpn,7.339,1975
jpn,7.321,1980
jpn,7.7,1985
jpn,8.542,1990
jpn,7.18,1995
jpn,6.227,2000
jpn,5.415,2005
jpn,4.997,2010
jpn,4.957,2015
jpn,4.869,2020
jpn,4.606,2025
jpn,4.331,2030
jpn,4.131,2035
jpn,4.11,2040
jpn,4.193,2045
jpn,4.301,2050
jor,9.756,1950
jor,10.69,1955
jor,10.78,1960
jor,11.21,1965
jor,10.2,1970
jor,9.99,1975
jor,11.8,1980
jor,12.31,1985
jor,12.46,1990
jor,11.46,1995
jor,11.15,2000
jor,10.94,2005
jor,10.46,2010
jor,9.947,2015
jor,9.425,2020
jor,9.433,2025
jor,8.966,2030
jor,8.203,2035
jor,7.621,2040
jor,7.159,2045
jor,6.774,2050
kaz,9.371,1950
kaz,14.16,1955
kaz,7.541,1960
kaz,8.455,1965
kaz,10.5,1970
kaz,11.81,1975
kaz,11.17,1980
kaz,9.513,1985
kaz,9.231,1990
kaz,9.304,1995
kaz,10.04,2000
kaz,11.07,2005
kaz,9.367,2010
kaz,7.113,2015
kaz,7.503,2020
kaz,9.172,2025
kaz,8.898,2030
kaz,8.122,2035
kaz,7.167,2040
kaz,6.646,2045
kaz,6.667,2050
ken,10.31,1950
ken,9.065,1955
ken,8.169,1960
ken,9.414,1965
ken,10.43,1970
ken,10.54,1975
ken,10.59,1980
ken,10.67,1985
ken,11.09,1990
ken,11.57,1995
ken,12.02,2000
ken,11.88,2005
ken,10.66,2010
ken,10.36,2015
ken,10.77,2020
ken,11.38,2025
ken,11.08,2030
ken,10.38,2035
ken,9.779,2040
ken,9.458,2045
ken,9.273,2050
prk,12.17,1950
prk,15.45,1955
prk,14.21,1960
prk,11.78,1965
prk,7.087,1970
prk,10.72,1975
prk,10.44,1980
prk,12.57,1985
prk,11.1,1990
prk,7.226,1995
prk,8.46,2000
prk,8.195,2005
prk,8.852,2010
prk,7.957,2015
prk,6.798,2020
prk,6.297,2025
prk,6.35,2030
prk,6.632,2035
prk,6.633,2040
prk,6.324,2045
prk,5.996,2050
kor,8.655,1950
kor,11.91,1955
kor,9.94,1960
kor,9.624,1965
kor,9.847,1970
kor,12.18,1975
kor,11.66,1980
kor,11.0,1985
kor,10.62,1990
kor,8.978,1995
kor,8.369,2000
kor,6.973,2005
kor,7.512,2010
kor,6.721,2015
kor,5.156,2020
kor,4.837,2025
kor,4.749,2030
kor,4.645,2035
kor,4.639,2040
kor,4.601,2045
kor,4.508,2050
kwt,9.783,1950
kwt,8.197,1955
kwt,7.514,1960
kwt,7.958,1965
kwt,7.801,1970
kwt,8.197,1975
kwt,8.238,1980
kwt,7.48,1985
kwt,7.477,1990
kwt,6.172,1995
kwt,5.9,2000
kwt,6.081,2005
kwt,5.856,2010
kwt,5.734,2015
kwt,5.71,2020
kwt,5.877,2025
kwt,5.612,2030
kwt,5.245,2035
kwt,4.993,2040
kwt,4.913,2045
kwt,5.015,2050
kgz,10.72,1950
kgz,11.47,1955
kgz,6.602,1960
kgz,6.694,1965
kgz,9.809,1970
kgz,11.99,1975
kgz,11.72,1980
kgz,10.05,1985
kgz,10.05,1990
kgz,10.06,1995
kgz,10.81,2000
kgz,11.61,2005
kgz,10.77,2010
kgz,9.304,2015
kgz,8.254,2020
kgz,9.111,2025
kgz,8.989,2030
kgz,8.255,2035
kgz,7.324,2040
kgz,6.68,2045
kgz,6.637,2050
lao,10.11,1950
lao,9.806,1955
lao,9.579,1960
lao,9.864,1965
lao,10.99,1970
lao,10.53,1975
lao,10.68,1980
lao,10.92,1985
lao,11.08,1990
lao,10.62,1995
lao,10.85,2000
lao,11.74,2005
lao,12.04,2010
lao,11.77,2015
lao,9.729,2020
lao,9.547,2025
lao,9.419,2030
lao,9.327,2035
lao,8.988,2040
lao,8.361,2045
