geo,stomach_cancer_deaths_per_100000_men,time
aus,10.44,1981
aus,10.28,1982
aus,10.21,1983
aus,9.22,1984
aus,9.83,1985
aus,9.29,1986
aus,8.62,1987
aus,8.38,1988
aus,7.65,1989
aus,7.19,1990
aus,6.99,1991
aus,6.57,1992
aus,6.64,1993
aus,6.75,1994
aus,6.38,1995
aus,5.77,1996
aus,5.7,1997
aus,5.6,1998
aus,5.4,1999
aus,5.19,2000
aus,5.0,2001
aus,4.84,2002
aut,48.55,1955
aut,47.08,1956
aut,46.4,1957
aut,49.32,1958
aut,48.03,1959
aut,46.01,1960
aut,46.05,1961
aut,44.18,1962
aut,43.45,1963
aut,42.53,1964
aut,42.45,1965
aut,40.54,1966
aut,40.29,1967
aut,38.34,1968
aut,37.47,1969
aut,36.08,1970
aut,35.76,1971
aut,33.44,1972
aut,32.62,1973
aut,30.89,1974
aut,29.46,1975
aut,28.57,1976
aut,27.58,1977
aut,26.62,1978
aut,27.61,1979
aut,25.73,1980
aut,24.04,1981
aut,23.21,1982
aut,22.22,1983
aut,22.27,1984
aut,20.08,1985
aut,19.25,1986
aut,19.22,1987
aut,17.91,1988
aut,16.71,1989
aut,17.02,1990
aut,16.22,1991
aut,14.84,1992
aut,15.33,1993
aut,14.12,1994
aut,13.29,1995
aut,12.7,1996
aut,11.3,1997
aut,11.0,1998
aut,9.84,1999
aut,9.31,2000
aut,8.63,2001
aut,8.5,2002
aze,38.88,1981
aze,38.03,1982
aze,34.34,1985
aze,32.21,1986
aze,34.19,1987
aze,33.64,1988
aze,30.96,1989
aze,27.32,1990
aze,27.41,1991
aze,28.32,1992
aze,25.02,1993
aze,25.17,1994
aze,25.85,1995
aze,26.48,1996
aze,23.7,1997
aze,23.18,1998
aze,23.72,1999
aze,21.53,2000
aze,20.21,2001
aze,21.97,2002
bhs,12.4,2002
bhr,7.1,2002
bgd,1.4,2002
brb,17.1,2002
blr,40.16,1981
blr,41.87,1982
blr,39.59,1985
blr,38.69,1986
blr,38.47,1987
blr,39.3,1988
blr,38.69,1989
blr,37.26,1990
blr,37.17,1991
blr,37.11,1992
blr,36.7,1993
blr,35.26,1994
blr,34.98,1995
blr,31.77,1997
blr,33.1,1998
blr,32.87,1999
blr,31.28,2000
blr,28.66,2001
blr,29.67,2002
bel,8.1,2002
blz,17.5,2002
ben,3.2,2002
btn,5.7,2002
bol,16.9,2002
bih,15.2,2002
bwa,3.6,2002
bra,16.31,1979
bra,16.2,1980
bra,16.41,1981
bra,15.98,1982
bra,16.08,1983
bra,15.72,1984
bra,15.39,1985
bra,14.88,1986
bra,15.13,1987
bra,14.63,1988
bra,14.16,1989
bra,13.88,1990
bra,13.59,1991
bra,13.9,1992
bra,13.11,1993
bra,12.54,1994
bra,12.52,1995
bra,12.47,1996
bra,12.09,1997
bra,11.93,1998
bra,11.41,1999
bra,11.29,2000
bra,11.05,2001
bra,11.14,2002
brn,13.7,2002
bgr,42.67,1964
bgr,41.05,1965
bgr,39.43,1966
bgr,38.76,1967
bgr,36.29,1968
bgr,34.62,1969
bgr,32.08,1970
bgr,32.51,1971
bgr,32.28,1972
bgr,29.64,1973
bgr,29.73,1974
bgr,28.12,1975
bgr,27.98,1976
bgr,27.43,1977
bgr,25.93,1978
bgr,25.02,1979
bgr,23.07,1980
bgr,24.08,1981
bgr,25.45,1982
bgr,23.9,1983
bgr,21.62,1984
bgr,21.22,1985
bgr,21.7,1986
bgr,21.53,1987
bgr,20.64,1988
bgr,20.2,1989
bgr,19.71,1990
bgr,19.26,1991
bgr,20.39,1992
bgr,18.02,1993
bgr,18.55,1994
bgr,16.48,1995
bgr,16.72,1996
bgr,15.76,1997
bgr,15.69,1998
bgr,14.93,1999
bgr,14.55,2000
bgr,14.1,2001
bgr,14.35,2002
bfa,2.2,2002
bdi,7.0,2002
khm,13.8,2002
cmr,0.5,2002
can,25.62,1950
can,25.57,1951
can,26.45,1952
can,24.05,1953
can,23.39,1954
can,23.83,1955
can,23.06,1956
can,22.45,1957
can,21.91,1958
can,20.58,1959
can,20.3,1960
can,19.52,1961
can,19.01,1962
can,19.12,1963
can,18.18,1964
can,17.26,1965
can,16.65,1966
can,16.26,1967
can,15.0,1968
can,15.67,1969
can,14.93,1970
can,14.44,1971
can,13.91,1972
can,13.28,1973
can,12.72,1974
can,12.6,1975
can,11.83,1976
can,11.07,1977
can,10.43,1978
can,11.59,1979
can,10.15,1980
can,9.84,1981
can,9.48,1982
can,9.25,1983
can,9.02,1984
can,8.3,1985
can,8.47,1986
can,8.25,1987
can,8.09,1988
can,7.89,1989
can,7.38,1990
can,6.67,1991
can,6.89,1992
can,6.17,1993
can,6.23,1994
can,6.28,1995
can,6.12,1996
can,5.72,1997
can,5.55,1998
can,5.34,1999
can,5.18,2000
can,4.99,2001
can,4.62,2002
cpv,3.2,2002
caf,12.6,2002
tcd,12.6,2002
chl,65.63,1955
chl,67.34,1956
chl,63.27,1957
chl,63.6,1958
chl,66.14,1959
chl,63.38,1960
chl,63.58,1961
chl,60.94,1962
chl,64.16,1963
chl,59.04,1964
chl,53.79,1965
chl,56.61,1966
chl,54.85,1967
chl,57.91,1968
chl,58.34,1969
chl,59.68,1970
chl,55.82,1971
chl,56.69,1972
chl,55.11,1973
chl,50.09,1974
chl,49.9,1975
chl,48.72,1976
chl,45.81,1977
chl,45.37,1978
chl,46.15,1979
chl,41.78,1980
chl,38.98,1981
chl,39.84,1982
chl,38.1,1983
chl,35.81,1984
chl,33.33,1985
chl,35.33,1986
chl,33.29,1987
chl,34.56,1988
chl,35.35,1989
chl,33.32,1990
chl,33.59,1991
chl,32.48,1992
chl,32.57,1993
chl,32.15,1994
chl,32.02,1995
chl,29.88,1996
chl,32.21,1997
chl,29.4,1998
chl,30.81,1999
chl,29.7,2000
chl,28.25,2001
chl,28.34,2002
chn,32.7,2002
col,19.23,1953
col,16.38,1954
col,16.47,1955
col,17.49,1956
col,20.19,1957
col,18.66,1958
col,20.37,1959
col,18.83,1960
col,19.58,1961
col,21.14,1962
col,23.43,1963
col,23.89,1964
col,25.1,1965
col,25.84,1966
col,26.74,1967
col,24.8,1968
col,23.53,1969
col,23.49,1972
col,25.38,1974
col,25.91,1975
col,23.8,1976
col,24.23,1977
col,23.84,1984
col,24.38,1985
col,23.15,1986
col,24.25,1987
col,22.49,1988
col,22.65,1989
col,21.94,1990
col,22.04,1991
col,21.75,1992
col,21.15,1993
col,20.59,1994
col,19.62,1995
col,19.73,1996
col,19.62,1997
col,18.75,1998
col,19.4,1999
col,18.66,2001
col,17.66,2002
com,7.0,2002
cod,17.9,2002
cog,1.8,2002
cri,39.25,1961
cri,40.9,1962
cri,44.36,1963
cri,43.6,1964
cri,46.52,1965
cri,41.3,1966
cri,40.24,1967
cri,37.42,1968
cri,39.04,1969
cri,36.13,1970
cri,39.87,1971
cri,39.49,1972
cri,39.05,1973
cri,40.19,1974
cri,37.52,1975
cri,36.78,1976
cri,36.23,1977
cri,34.56,1978
cri,33.37,1979
cri,33.82,1980
cri,32.73,1981
cri,38.31,1982
cri,39.02,1983
cri,37.42,1984
cri,39.52,1985
cri,33.29,1986
cri,35.65,1987
cri,41.33,1988
cri,41.07,1989
cri,36.87,1990
cri,35.28,1991
cri,36.5,1992
cri,33.49,1993
cri,33.19,1994
cri,33.5,1995
cri,30.1,1996
cri,29.16,1997
cri,27.88,1998
cri,25.26,1999
cri,24.05,2000
cri,24.79,2001
cri,21.36,2002
civ,3.8,2002
hrv,28.74,1985
hrv,27.9,1986
hrv,27.79,1987
hrv,26.85,1988
hrv,26.87,1989
hrv,25.87,1990
hrv,24.85,1991
hrv,21.45,1992
hrv,22.31,1993
hrv,20.17,1994
hrv,19.43,1995
hrv,18.4,1996
hrv,18.67,1997
hrv,17.76,1998
hrv,18.57,1999
hrv,17.8,2000
hrv,16.16,2001
hrv,16.17,2002
cub,15.81,1964
cub,13.42,1968
cub,13.99,1969
cub,13.38,1970
cub,13.0,1971
cub,12.88,1972
cub,11.69,1973
cub,10.9,1974
cub,11.29,1975
cub,10.8,1976
cub,11.26,1977
cub,9.16,1978
cub,9.29,1979
cub,8.51,1980
cub,9.58,1981
cub,7.57,1982
cub,8.13,1983
cub,7.82,1984
cub,7.35,1985
cub,7.11,1986
cub,6.5,1987
cub,7.62,1988
cub,6.71,1989
cub,6.34,1990
cub,6.74,1991
cub,6.86,1992
cub,6.24,1993
cub,5.99,1994
cub,6.33,1995
cub,5.87,1996
cub,5.57,1997
cub,5.77,1998
cub,5.94,1999
cub,6.05,2000
cub,5.62,2001
cub,5.47,2002
cyp,5.8,2002
cze,20.15,1986
cze,19.71,1987
cze,20.26,1988
cze,19.86,1989
cze,18.7,1990
cze,17.4,1991
cze,16.52,1992
cze,15.97,1993
cze,16.62,1994
cze,14.98,1995
cze,15.33,1996
cze,13.47,1997
cze,12.59,1998
cze,11.84,1999
cze,12.17,2000
cze,10.81,2001
cze,10.76,2002
cheslo,46.59,1953
cheslo,45.96,1954
cheslo,47.12,1955
cheslo,46.05,1956
cheslo,46.88,1957
cheslo,46.59,1958
cheslo,44.99,1959
cheslo,42.83,1960
cheslo,45.14,1961
cheslo,44.88,1962
cheslo,44.7,1963
cheslo,43.23,1964
cheslo,41.98,1965
cheslo,41.36,1966
cheslo,39.83,1967
cheslo,40.65,1968
cheslo,38.37,1969
cheslo,37.73,1970
cheslo,36.13,1971
cheslo,32.84,1972
cheslo,34.03,1973
cheslo,33.06,1974
cheslo,32.32,1975
cheslo,29.18,1976
cheslo,29.92,1977
cheslo,27.55,1978
cheslo,26.58,1979
cheslo,25.76,1980
cheslo,24.31,1981
cheslo,24.19,1982
cheslo,23.68,1983
cheslo,22.65,1984
cheslo,20.93,1985
cheslo,20.63,1986
cheslo,19.82,1987
cheslo,20.23,1988
cheslo,19.92,1989
cheslo,18.98,1990
cheslo,17.91,1991
dnk,34.75,1951
dnk,33.55,1952
dnk,31.97,1953
dnk,32.22,1954
dnk,32.66,1955
dnk,30.12,1956
dnk,28.48,1957
dnk,28.08,1958
dnk,27.96,1959
dnk,28.03,1960
dnk,24.87,1961
dnk,25.26,1962
dnk,23.23,1963
dnk,23.1,1964
dnk,21.24,1965
dnk,21.69,1966
dnk,19.04,1967
dnk,17.8,1968
dnk,17.84,1969
dnk,17.73,1970
dnk,16.36,1971
dnk,16.01,1972
dnk,16.66,1973
dnk,15.51,1974
dnk,14.01,1975
dnk,12.94,1976
dnk,14.42,1977
dnk,14.07,1978
dnk,12.38,1979
dnk,12.13,1980
dnk,11.81,1981
dnk,10.35,1982
dnk,10.79,1983
dnk,10.48,1984
dnk,9.85,1985
dnk,9.97,1986
dnk,8.46,1987
dnk,8.79,1988
dnk,7.51,1989
dnk,7.74,1990
dnk,7.04,1991
dnk,6.6,1992
dnk,6.96,1993
dnk,6.4,1994
dnk,6.44,1995
dnk,6.91,1996
dnk,5.39,1997
dnk,5.18,1998
dnk,5.2,1999
dnk,5.15,2000
dnk,5.13,2001
dnk,5.11,2002
dji,7.0,2002
dom,3.67,1965
dom,4.02,1966
dom,4.04,1967
dom,5.1,1968
dom,3.81,1969
dom,5.35,1970
dom,5.43,1971
dom,4.33,1972
dom,3.58,1973
dom,2.85,1974
dom,4.86,1975
dom,3.29,1976
dom,3.2,1977
dom,3.2,1978
dom,2.6,1979
dom,2.73,1980
dom,4.71,1981
dom,4.57,1982
dom,3.87,1983
dom,5.3,1984
dom,5.31,1985
dom,3.49,1986
dom,3.67,1987
dom,3.36,1988
dom,4.01,1989
dom,3.28,1990
dom,3.0,1991
dom,3.14,1992
dom,3.49,1994
dom,3.0,1995
dom,3.31,1996
dom,4.36,1997
dom,4.16,1998
dom,4.26,1999
dom,3.58,2000
dom,3.41,2001
dom,3.615,2002
ecu,10.04,1961
ecu,12.75,1963
ecu,13.79,1964
ecu,17.87,1968
ecu,18.66,1969
ecu,18.6,1970
ecu,17.89,1971
ecu,19.62,1972
ecu,18.32,1973
ecu,19.32,1974
ecu,18.45,1975
ecu,19.66,1977
ecu,20.86,1978
ecu,22.79,1979
ecu,23.63,1980
ecu,24.18,1981
ecu,24.05,1982
ecu,23.74,1983
ecu,25.47,1984
ecu,26.08,1985
ecu,24.35,1986
ecu,23.59,1987
ecu,25.27,1988
ecu,25.82,1989
ecu,22.8,1990
ecu,23.99,1991
ecu,21.13,1992
ecu,22.6,1993
ecu,20.9,1994
ecu,22.69,1995
ecu,22.71,1996
ecu,21.07,1997
ecu,20.3,1998
ecu,19.99,1999
ecu,17.84,2000
ecu,18.12,2001
ecu,16.73,2002
egy,3.2,2002
slv,7.12,1950
slv,8.69,1951
slv,8.82,1952
slv,8.73,1953
slv,8.39,1954
slv,5.78,1955
slv,6.1,1956
slv,5.79,1957
slv,6.97,1958
slv,6.28,1959
slv,7.36,1960
slv,7.39,1961
slv,9.63,1962
slv,8.11,1963
slv,10.08,1964
slv,7.99,1965
slv,8.64,1966
slv,9.31,1967
slv,6.21,1968
slv,7.21,1969
slv,6.57,1970
slv,5.06,1971
slv,6.84,1972
slv,6.39,1973
slv,5.83,1974
slv,7.26,1981
slv,7.71,1982
slv,5.71,1983
slv,7.02,1984
slv,11.54,1990
slv,12.21,1991
slv,11.01,1992
slv,11.48,1993
slv,10.49,1995
slv,12.28,1996
slv,12.51,1997
slv,11.78,1998
slv,12.29,1999
slv,13.48,2000
slv,13.91,2001
slv,12.88,2002
gnq,12.6,2002
eri,7.0,2002
est,34.02,1981
est,32.61,1982
est,33.36,1985
est,31.05,1986
est,29.74,1987
est,28.88,1988
est,31.32,1989
est,30.16,1990
est,26.68,1991
est,26.88,1992
est,32.03,1993
est,26.14,1994
est,27.15,1995
est,26.08,1996
est,24.87,1997
est,26.84,1998
est,23.45,1999
est,22.58,2000
est,21.13,2001
est,20.91,2002
eth,6.6,2002
fji,5.4,2002
fin,68.71,1952
fin,66.1,1953
fin,63.06,1954
fin,59.59,1955
fin,54.0,1956
fin,55.65,1957
fin,53.0,1958
fin,52.94,1959
fin,48.04,1960
fin,45.23,1961
fin,48.35,1962
fin,43.45,1963
fin,40.84,1964
fin,40.1,1965
fin,36.93,1966
fin,35.57,1967
fin,37.01,1968
fin,32.57,1969
fin,30.63,1970
fin,30.16,1971
fin,27.12,1972
fin,28.62,1973
fin,25.06,1974
fin,24.77,1975
fin,23.75,1976
fin,21.6,1977
fin,22.56,1978
fin,21.39,1979
fin,18.65,1980
fin,19.45,1981
fin,18.75,1982
fin,16.91,1983
fin,16.78,1984
fin,16.84,1985
fin,14.69,1986
fin,14.8,1987
fin,14.52,1988
fin,13.05,1989
fin,12.68,1990
fin,12.01,1991
fin,10.54,1992
fin,10.87,1993
fin,10.81,1994
fin,9.56,1995
fin,9.53,1996
fin,9.28,1997
fin,8.25,1998
fin,7.91,1999
fin,7.63,2000
fin,6.91,2001
fin,6.78,2002
fra,29.21,1950
fra,28.64,1952
fra,28.83,1953
fra,27.83,1954
fra,27.45,1955
fra,27.01,1956
fra,26.64,1957
fra,26.66,1958
fra,25.71,1959
fra,25.2,1960
fra,25.16,1961
fra,23.66,1962
fra,24.11,1963
fra,23.31,1964
fra,21.83,1965
fra,20.78,1966
fra,20.49,1967
fra,20.34,1968
fra,19.62,1969
fra,18.27,1970
fra,17.72,1971
fra,17.14,1972
fra,17.06,1973
fra,16.03,1974
fra,15.67,1975
fra,15.5,1976
fra,14.0,1977
fra,13.57,1978
fra,13.6,1979
fra,12.75,1980
fra,12.47,1981
fra,11.52,1982
fra,11.64,1983
fra,11.29,1984
fra,10.7,1985
fra,10.53,1986
fra,10.15,1987
fra,9.96,1988
fra,9.19,1989
fra,8.93,1990
fra,8.49,1991
fra,8.0,1992
fra,7.73,1993
fra,7.33,1994
fra,7.13,1995
fra,7.0,1996
fra,6.74,1997
fra,6.63,1998
fra,6.38,1999
fra,6.06,2000
fra,5.88,2001
fra,5.86,2002
pyf,21.4,2002
gab,1.7,2002
gmb,2.3,2002
geo,16.2,2002
deu,28.23,1973
deu,27.19,1974
deu,26.71,1975
deu,25.34,1976
deu,24.37,1977
deu,22.88,1978
deu,21.16,1980
deu,20.5,1981
deu,20.01,1982
deu,18.89,1983
deu,17.94,1984
deu,17.38,1985
deu,16.77,1986
deu,16.22,1987
deu,15.86,1988
deu,15.1,1989
deu,14.6,1990
deu,14.24,1991
deu,13.81,1992
deu,13.29,1993
deu,12.83,1994
deu,12.26,1995
deu,11.89,1996
deu,10.98,1997
deu,10.27,1998
deu,9.99,1999
deu,9.77,2000
deu,9.1,2001
deu,8.99,2002
gha,3.2,2002
grc,15.93,1961
grc,15.94,1962
grc,16.89,1963
grc,17.61,1964
grc,16.59,1965
grc,15.11,1966
grc,14.71,1967
grc,14.92,1968
grc,13.96,1969
grc,15.15,1970
grc,13.28,1971
grc,13.0,1972
grc,13.49,1973
grc,13.66,1974
grc,14.49,1975
grc,13.05,1976
grc,13.32,1977
grc,13.3,1978
grc,12.41,1979
grc,11.64,1980
grc,11.66,1981
grc,10.88,1982
grc,11.76,1983
grc,11.43,1984
grc,9.79,1985
grc,11.03,1986
grc,9.88,1987
grc,9.8,1988
grc,9.18,1989
grc,9.73,1990
grc,9.07,1991
grc,8.78,1992
grc,9.28,1993
grc,8.29,1994
grc,8.5,1995
grc,8.14,1996
grc,8.25,1997
grc,8.56,1998
grc,8.68,1999
grc,8.04,2000
grc,8.59,2001
grc,7.69,2002
gum,4.8,2002
gtm,15.2,1963
gtm,15.69,1964
gtm,12.46,1965
gtm,14.41,1966
gtm,13.56,1967
gtm,12.03,1968
gtm,13.76,1969
gtm,12.97,1970
gtm,14.09,1971
gtm,13.97,1974
gtm,12.82,1975
gtm,13.19,1976
gtm,13.2,1977
gtm,14.99,1978
gtm,13.66,1979
gtm,14.4,1980
gtm,11.36,1981
gtm,14.05,1984
gtm,13.82,1986
gtm,13.77,1987
gtm,13.79,1988
gtm,12.84,1989
gtm,12.39,1990
gtm,12.82,1991
gtm,13.31,1992
gtm,14.12,1993
gtm,16.62,1994
gtm,16.55,1995
gtm,15.46,1996
gtm,17.26,1997
gtm,17.02,1998
gtm,17.09,1999
gtm,18.05,2000
gtm,18.43,2001
gtm,17.99,2002
gin,5.6,2002
gnb,3.2,2002
guy,10.0,2002
hti,25.1,2002
hnd,13.3,2002
hkg,21.17,1960
hkg,19.36,1961
hkg,16.1,1962
hkg,18.96,1963
hkg,22.6,1964
hkg,18.73,1965
hkg,21.48,1966
hkg,15.48,1967
hkg,17.47,1968
hkg,20.11,1969
hkg,17.23,1970
hkg,18.57,1971
hkg,16.86,1972
hkg,16.22,1973
hkg,16.72,1974
hkg,15.71,1975
hkg,17.17,1976
hkg,16.35,1977
hkg,14.9,1978
hkg,15.3,1979
hkg,14.78,1980
hkg,12.7,1981
hkg,12.58,1982
hkg,12.81,1983
hkg,11.04,1984
hkg,10.05,1985
hkg,12.48,1986
hkg,11.38,1987
hkg,10.79,1988
hkg,12.18,1989
hkg,11.42,1990
hkg,11.9,1991
hkg,10.57,1992
hkg,10.4,1993
hkg,9.79,1994
hkg,10.14,1995
hkg,9.09,1996
hkg,9.71,1997
hkg,9.67,1998
hkg,9.87,1999
hkg,8.73,2000
hkg,9.3,2001
hkg,7.94,2002
hun,46.26,1955
hun,48.35,1956
hun,47.89,1957
hun,47.95,1958
hun,49.79,1959
hun,46.8,1960
hun,45.71,1961
hun,45.7,1962
hun,42.61,1963
hun,43.75,1964
hun,41.75,1965
hun,43.27,1966
hun,41.11,1967
hun,41.75,1968
hun,41.13,1969
hun,41.24,1970
hun,39.96,1971
hun,38.72,1972
hun,37.25,1973
hun,36.67,1974
hun,35.34,1975
hun,35.45,1976
hun,34.42,1977
hun,33.12,1978
hun,32.53,1979
hun,30.76,1980
hun,30.65,1981
hun,29.46,1982
hun,27.9,1983
hun,27.72,1984
hun,25.49,1985
hun,24.73,1986
hun,24.36,1987
hun,24.91,1988
hun,23.91,1989
hun,24.34,1990
hun,23.46,1991
hun,23.6,1992
hun,22.26,1993
hun,21.72,1994
hun,20.43,1995
hun,18.78,1996
hun,18.35,1997
hun,18.8,1998
hun,18.08,1999
hun,16.72,2000
hun,17.49,2001
hun,16.48,2002
isl,72.62,1951
isl,78.34,1952
isl,92.51,1953
isl,71.95,1954
isl,61.48,1955
isl,60.18,1956
isl,76.11,1957
isl,55.71,1958
isl,64.16,1959
isl,50.96,1960
isl,61.65,1961
isl,55.97,1962
isl,43.47,1963
isl,54.73,1964
isl,43.55,1965
isl,36.39,1966
isl,44.79,1967
isl,45.39,1968
isl,28.43,1969
isl,32.4,1970
isl,35.15,1971
isl,30.01,1972
isl,32.93,1973
isl,40.21,1974
isl,28.93,1975
isl,29.69,1976
isl,27.16,1977
isl,18.96,1978
isl,20.28,1979
isl,22.95,1980
isl,21.14,1981
isl,18.66,1982
isl,23.89,1983
isl,21.8,1984
isl,24.4,1985
isl,19.83,1986
isl,19.76,1987
isl,15.51,1988
isl,20.95,1989
isl,13.47,1990
isl,22.06,1991
isl,15.11,1992
isl,10.54,1993
isl,10.3,1994
isl,10.47,1995
isl,9.65,1996
isl,14.7,1997
isl,7.71,1998
isl,7.63,1999
isl,10.14,2000
isl,7.67,2001
isl,7.67,2002
ind,4.9,2002
idn,3.0,2002
irn,22.4,2002
irq,3.8,2002
irl,29.12,1950
irl,28.37,1951
irl,28.37,1952
irl,29.77,1953
irl,26.9,1954
irl,29.29,1955
irl,26.91,1956
irl,30.72,1957
irl,24.83,1958
irl,26.41,1959
irl,23.77,1960
irl,24.33,1961
irl,26.59,1962
irl,25.63,1963
irl,24.74,1964
irl,23.99,1965
irl,23.1,1966
irl,24.46,1967
irl,21.47,1968
irl,23.97,1969
irl,21.44,1970
irl,22.27,1971
irl,23.01,1972
irl,19.34,1973
irl,20.72,1974
irl,18.28,1975
irl,18.62,1976
irl,20.7,1977
irl,16.42,1978
irl,17.65,1979
irl,17.33,1980
irl,14.97,1981
irl,14.33,1982
irl,14.36,1983
irl,13.67,1984
irl,14.78,1985
irl,14.3,1986
irl,13.98,1987
irl,12.61,1988
irl,11.55,1989
irl,11.82,1990
irl,11.65,1991
irl,12.63,1992
irl,11.84,1993
irl,10.22,1994
irl,11.02,1995
irl,9.77,1996
irl,9.64,1997
irl,8.29,1998
irl,8.27,1999
irl,8.35,2000
irl,7.43,2001
irl,7.55,2002
isr,14.33,1975
isr,14.4,1976
isr,13.63,1977
isr,11.17,1978
isr,12.3,1979
isr,12.56,1980
isr,9.55,1981
isr,10.95,1982
isr,10.43,1983
isr,10.74,1984
isr,11.27,1985
isr,9.27,1986
isr,9.68,1987
isr,8.58,1988
isr,7.28,1989
isr,9.2,1990
isr,8.83,1991
isr,9.36,1992
isr,9.08,1993
isr,8.96,1994
isr,9.14,1995
isr,8.13,1996
isr,8.11,1997
isr,8.88,1998
isr,7.68,1999
isr,7.49,2000
isr,8.1,2001
isr,7.68,2002
ita,36.25,1951
ita,36.82,1952
ita,36.8,1953
ita,35.04,1954
ita,35.88,1955
ita,36.3,1956
ita,35.28,1957
ita,34.42,1958
ita,34.63,1959
ita,34.94,1960
ita,34.32,1961
ita,34.4,1962
ita,34.85,1963
ita,34.54,1964
ita,33.34,1965
ita,33.23,1966
ita,31.39,1967
ita,31.22,1968
ita,30.56,1969
ita,29.9,1970
ita,29.33,1971
ita,28.66,1972
ita,27.88,1973
ita,26.31,1974
ita,25.84,1975
ita,24.84,1976
ita,24.49,1977
ita,23.95,1978
ita,23.77,1979
ita,23.09,1980
ita,22.76,1981
ita,22.3,1982
ita,22.39,1983
ita,21.59,1984
ita,20.54,1985
ita,20.02,1986
ita,19.05,1987
ita,18.5,1988
ita,17.21,1989
ita,16.65,1990
ita,16.31,1991
ita,15.33,1992
ita,15.12,1993
ita,14.84,1994
ita,13.95,1995
ita,13.42,1996
ita,12.52,1997
ita,12.46,1998
ita,11.75,1999
ita,11.26,2000
ita,10.99,2001
ita,10.37,2002
jam,20.0,2002
jpn,64.71,1950
jpn,65.89,1951
jpn,67.67,1952
jpn,67.97,1953
jpn,68.53,1954
jpn,69.31,1955
jpn,69.77,1956
jpn,70.22,1957
jpn,70.8,1958
jpn,70.72,1959
jpn,70.69,1960
jpn,69.77,1961
jpn,68.44,1962
jpn,68.72,1963
jpn,69.49,1964
jpn,68.71,1965
jpn,67.8,1966
jpn,66.59,1967
jpn,66.87,1968
jpn,65.64,1969
jpn,62.39,1970
jpn,61.26,1971
jpn,60.63,1972
jpn,59.33,1973
jpn,57.72,1974
jpn,55.65,1975
jpn,54.19,1976
jpn,52.38,1977
jpn,50.57,1978
jpn,50.0,1979
jpn,48.55,1980
jpn,47.19,1981
jpn,44.39,1982
jpn,43.67,1983
jpn,42.69,1984
jpn,40.35,1985
jpn,39.07,1986
jpn,37.99,1987
jpn,36.56,1988
jpn,35.77,1989
jpn,34.22,1990
jpn,33.53,1991
jpn,32.66,1992
jpn,30.94,1993
jpn,30.59,1994
jpn,30.93,1995
jpn,30.36,1996
jpn,29.13,1997
jpn,28.88,1998
jpn,27.84,1999
jpn,26.9,2000
jpn,25.6,2001
jpn,24.33,2002
jor,5.7,2002
kaz,46.09,1981
kaz,42.56,1982
kaz,40.48,1985
kaz,43.0,1986
kaz,40.1,1987
kaz,41.32,1988
kaz,39.45,1989
kaz,38.6,1990
kaz,37.5,1991
kaz,37.1,1992
kaz,33.9,1993
kaz,34.26,1994
kaz,32.85,1995
kaz,31.6,1996
kaz,30.46,1997
kaz,29.39,1998
kaz,29.37,1999
kaz,28.32,2000
kaz,28.1,2001
kaz,26.52,2002
ken,10.8,2002
prk,37.1,2002
kor,57.61,1985
kor,54.5,1986
kor,53.21,1987
kor,50.0,1988
kor,49.49,1989
kor,48.1,1990
kor,45.54,1991
kor,48.61,1992
