geo,crude_death_rate_deaths_per_1000_population,time
khm,15.84,1983
khm,13.28,1988
khm,10.44,1993
khm,11.73,1998
khm,9.357,2003
khm,8.402,2008
khm,7.836,2013
khm,7.326,2018
khm,6.95,2023
khm,6.757,2028
khm,6.783,2033
khm,6.951,2038
khm,7.164,2043
khm,7.487,2048
cmr,24.92,1953
cmr,23.26,1958
cmr,21.64,1963
cmr,20.12,1968
cmr,18.56,1973
cmr,16.92,1978
cmr,14.63,1983
cmr,12.99,1988
cmr,13.64,1993
cmr,13.07,1998
cmr,14.45,2003
cmr,14.31,2008
cmr,13.15,2013
cmr,12.02,2018
cmr,11.21,2023
cmr,10.47,2028
cmr,9.849,2033
cmr,9.351,2038
cmr,8.97,2043
cmr,8.718,2048
can,8.72,1953
can,8.1,1958
can,7.72,1963
can,7.46,1968
can,7.256,1973
can,7.037,1978
can,6.931,1983
can,6.999,1988
can,7.232,1993
can,7.06,1998
can,7.217,2003
can,7.406,2008
can,7.625,2013
can,7.907,2018
can,8.287,2023
can,8.767,2028
can,9.368,2033
can,10.02,2038
can,10.58,2043
can,10.95,2048
cpv,18.6,1953
cpv,17.0,1958
cpv,15.0,1963
cpv,12.5,1968
cpv,11.7,1973
cpv,10.0,1978
cpv,10.23,1983
cpv,8.895,1988
cpv,6.325,1993
cpv,7.378,1998
cpv,5.544,2003
cpv,5.011,2008
cpv,4.738,2013
cpv,4.54,2018
cpv,4.485,2023
cpv,4.655,2028
cpv,5.101,2033
cpv,5.804,2038
cpv,6.643,2043
cpv,7.472,2048
caf,31.04,1953
caf,28.98,1958
caf,26.88,1963
caf,24.31,1968
caf,21.04,1973
caf,18.58,1978
caf,17.01,1983
caf,16.8,1988
caf,17.55,1993
caf,16.84,1998
caf,18.14,2003
caf,17.06,2008
caf,15.73,2013
caf,14.67,2018
caf,13.83,2023
caf,12.96,2028
caf,12.16,2033
caf,11.46,2038
caf,10.91,2043
caf,10.49,2048
tcd,26.99,1953
tcd,25.27,1958
tcd,23.45,1963
tcd,21.86,1968
tcd,20.57,1973
tcd,19.53,1978
tcd,17.85,1983
tcd,16.52,1988
tcd,16.64,1993
tcd,16.23,1998
tcd,17.27,2003
tcd,16.8,2008
tcd,15.5,2013
tcd,14.05,2018
tcd,12.65,2023
tcd,11.31,2028
tcd,10.17,2033
tcd,9.23,2038
tcd,8.503,2043
tcd,7.955,2048
chanisl,11.62,1953
chanisl,11.83,1958
chanisl,12.11,1963
chanisl,12.14,1968
chanisl,12.16,1973
chanisl,12.0,1978
chanisl,11.52,1983
chanisl,10.74,1988
chanisl,11.08,1993
chanisl,12.16,1998
chanisl,9.892,2003
chanisl,9.503,2008
chanisl,9.559,2013
chanisl,9.912,2018
chanisl,10.5,2023
chanisl,11.27,2028
chanisl,12.14,2033
chanisl,13.0,2038
chanisl,13.74,2043
chanisl,14.32,2048
chl,13.55,1953
chl,13.27,1958
chl,12.21,1963
chl,10.33,1968
chl,8.819,1973
chl,7.351,1978
chl,6.349,1983
chl,5.848,1988
chl,5.285,1993
chl,5.472,1998
chl,5.025,2003
chl,5.382,2008
chl,5.79,2013
chl,6.254,2018
chl,6.792,2023
chl,7.425,2028
chl,8.158,2033
chl,8.977,2038
chl,9.829,2043
chl,10.63,2048
chn,25.05,1953
chn,20.66,1958
chn,17.1,1963
chn,10.9,1968
chn,6.3,1973
chn,6.682,1978
chn,7.261,1983
chn,7.465,1988
chn,6.734,1993
chn,7.083,1998
chn,6.624,2003
chn,6.992,2008
chn,7.345,2013
chn,7.757,2018
chn,8.314,2023
chn,9.083,2028
chn,10.02,2033
chn,11.04,2038
chn,12.05,2043
chn,12.96,2048
hkg,8.9,1953
hkg,7.2,1958
hkg,6.19,1963
hkg,5.45,1968
hkg,5.038,1973
hkg,5.034,1978
hkg,4.814,1983
hkg,4.864,1988
hkg,5.226,1993
hkg,5.325,1998
hkg,5.417,2003
hkg,6.064,2008
hkg,6.698,2013
hkg,7.236,2018
hkg,7.807,2023
hkg,8.495,2028
hkg,9.368,2033
hkg,10.42,2038
hkg,11.54,2043
hkg,12.55,2048
mac,13.48,1953
mac,11.6,1958
mac,10.64,1963
mac,8.14,1968
mac,7.16,1973
mac,6.59,1978
mac,6.46,1983
mac,5.44,1988
mac,4.36,1993
mac,4.452,1998
mac,4.592,2003
mac,4.429,2008
mac,4.727,2013
mac,5.284,2018
mac,6.044,2023
mac,7.133,2028
mac,8.579,2033
mac,10.29,2038
mac,12.07,2043
mac,13.69,2048
col,16.47,1953
col,13.22,1958
col,11.44,1963
col,10.03,1968
col,8.756,1973
col,7.704,1978
col,6.562,1983
col,6.257,1988
col,5.793,1993
col,6.212,1998
col,5.584,2003
col,5.514,2008
col,5.553,2013
col,5.748,2018
col,6.042,2023
col,6.421,2028
col,7.012,2033
col,7.649,2038
col,8.369,2043
col,9.049,2048
com,23.97,1953
com,22.85,1958
com,20.84,1963
com,18.88,1968
com,16.93,1973
com,15.61,1978
com,14.28,1983
com,12.05,1988
com,8.575,1993
com,9.942,1998
com,7.627,2003
com,6.782,2008
com,5.97,2013
com,5.395,2018
com,5.109,2023
com,5.053,2028
com,5.156,2033
com,5.363,2038
com,5.655,2043
com,6.021,2048
cog,21.15,1953
cog,18.48,1958
cog,16.36,1963
cog,14.49,1968
cog,12.7,1973
cog,11.16,1978
cog,10.13,1983
cog,10.02,1988
cog,12.31,1993
cog,10.8,1998
cog,13.0,2003
cog,12.89,2008
cog,12.25,2013
cog,11.34,2018
cog,10.57,2023
cog,9.919,2028
cog,9.429,2033
cog,9.078,2038
cog,8.9,2043
cog,8.886,2048
cri,13.46,1953
cri,11.83,1958
cri,10.17,1963
cri,8.167,1968
cri,6.737,1973
cri,5.59,1978
cri,4.689,1983
cri,4.321,1988
cri,3.906,1993
cri,4.063,1998
cri,3.93,2003
cri,4.089,2008
cri,4.339,2013
cri,4.668,2018
cri,5.112,2023
cri,5.686,2028
cri,6.4,2033
cri,7.238,2038
cri,8.137,2043
cri,9.019,2048
civ,26.56,1953
civ,25.07,1958
civ,22.96,1963
civ,20.92,1968
civ,17.0,1973
civ,13.59,1978
civ,12.27,1983
civ,11.42,1988
civ,11.26,1993
civ,10.94,1998
civ,11.87,2003
civ,10.91,2008
civ,9.784,2013
civ,8.838,2018
civ,8.166,2023
civ,7.631,2028
civ,7.263,2033
civ,6.991,2038
civ,6.819,2043
civ,6.768,2048
hrv,13.99,1953
hrv,11.31,1958
hrv,10.33,1963
hrv,10.09,1968
hrv,10.49,1973
hrv,10.76,1978
hrv,11.59,1983
hrv,11.4,1988
hrv,10.62,1993
hrv,10.71,1998
hrv,11.41,2003
hrv,11.51,2008
hrv,12.03,2013
hrv,12.44,2018
hrv,12.73,2023
hrv,13.03,2028
hrv,13.47,2033
hrv,13.98,2038
hrv,14.43,2043
hrv,14.73,2048
cub,10.75,1953
cub,9.191,1958
cub,8.516,1963
cub,7.227,1968
cub,6.33,1973
cub,5.821,1978
cub,6.147,1983
cub,6.56,1988
cub,6.903,1993
cub,7.0,1998
cub,7.203,2003
cub,6.831,2008
cub,7.462,2013
cub,8.319,2018
cub,9.231,2023
cub,10.16,2028
cub,11.2,2033
cub,12.37,2038
cub,13.74,2043
cub,15.29,2048
cyp,10.5,1953
cyp,10.5,1958
cyp,10.5,1963
cyp,10.0,1968
cyp,9.7,1973
cyp,8.726,1978
cyp,8.642,1983
cyp,8.85,1988
cyp,7.11,1993
cyp,7.607,1998
cyp,6.927,2003
cyp,7.149,2008
cyp,7.364,2013
cyp,7.643,2018
cyp,8.002,2023
cyp,8.455,2028
cyp,8.949,2033
cyp,9.439,2038
cyp,9.882,2043
cyp,10.23,2048
cze,10.9,1953
cze,10.09,1958
cze,10.39,1963
cze,11.45,1968
cze,12.47,1973
cze,12.46,1978
cze,12.82,1983
cze,12.44,1988
cze,10.76,1993
cze,11.5,1998
cze,10.86,2003
cze,10.75,2008
cze,10.85,2013
cze,11.02,2018
cze,11.33,2023
cze,11.87,2028
cze,12.48,2033
cze,12.91,2038
cze,13.12,2043
cze,13.24,2048
prk,11.8,1953
prk,10.6,1958
prk,9.1,1963
prk,7.9,1968
prk,6.1,1973
prk,5.0,1978
prk,5.1,1983
prk,5.4,1988
prk,7.899,1993
prk,5.921,1998
prk,9.337,2003
prk,9.927,2008
prk,10.32,2013
prk,10.66,2018
prk,10.93,2023
prk,11.18,2028
prk,11.64,2033
prk,12.4,2038
prk,13.33,2043
prk,14.13,2048
cod,25.44,1953
cod,23.5,1958
cod,22.22,1963
cod,21.23,1968
cod,20.02,1973
cod,19.32,1978
cod,18.23,1983
cod,18.09,1988
cod,19.53,1993
cod,17.98,1998
cod,17.45,2003
cod,17.16,2008
cod,15.84,2013
cod,14.56,2018
cod,13.24,2023
cod,11.93,2028
cod,10.82,2033
cod,9.951,2038
cod,9.294,2043
cod,8.822,2048
dnk,9.02,1953
dnk,9.08,1958
dnk,9.72,1963
dnk,9.93,1968
dnk,10.06,1973
dnk,10.43,1978
dnk,11.06,1983
dnk,11.48,1988
dnk,11.36,1993
dnk,11.81,1998
dnk,10.67,2003
dnk,10.29,2008
dnk,10.36,2013
dnk,10.58,2018
dnk,10.94,2023
dnk,11.43,2028
dnk,11.93,2033
dnk,12.28,2038
dnk,12.45,2043
dnk,12.49,2048
dji,28.32,1953
dji,25.75,1958
dji,23.79,1963
dji,21.64,1968
dji,19.41,1973
dji,17.44,1978
dji,15.91,1983
dji,14.89,1988
dji,12.2,1993
dji,13.69,1998
dji,11.75,2003
dji,11.08,2008
dji,10.41,2013
dji,9.83,2018
dji,9.442,2023
dji,9.071,2028
dji,8.907,2033
dji,8.899,2038
dji,8.954,2043
dji,9.025,2048
dom,20.25,1953
dom,17.41,1958
dom,14.55,1963
dom,11.89,1968
dom,9.672,1973
dom,8.389,1978
dom,7.42,1983
dom,6.635,1988
dom,5.874,1993
dom,6.077,1998
dom,5.779,2003
dom,5.876,2008
dom,6.046,2013
dom,6.212,2018
dom,6.419,2023
dom,6.722,2028
dom,7.136,2033
dom,7.64,2038
dom,8.233,2043
dom,8.886,2048
ecu,19.34,1953
ecu,16.92,1958
ecu,14.58,1963
ecu,13.07,1968
ecu,11.48,1973
ecu,9.812,1978
ecu,8.076,1983
ecu,6.657,1988
ecu,5.289,1993
ecu,5.784,1998
ecu,5.021,2003
ecu,5.154,2008
ecu,5.345,2013
ecu,5.607,2018
ecu,5.918,2023
ecu,6.284,2028
ecu,6.737,2033
ecu,7.298,2038
ecu,7.918,2043
ecu,8.571,2048
egy,22.34,1953
egy,20.66,1958
egy,18.6,1963
egy,16.55,1968
egy,14.66,1973
egy,12.89,1978
egy,11.03,1983
egy,9.27,1988
egy,6.422,1993
egy,7.55,1998
egy,5.995,2003
egy,5.873,2008
egy,5.748,2013
egy,5.651,2018
egy,5.65,2023
egy,5.821,2028
egy,6.118,2033
egy,6.483,2038
egy,6.92,2043
egy,7.389,2048
slv,20.68,1953
slv,17.91,1958
slv,15.47,1963
slv,13.51,1968
slv,12.3,1973
slv,11.96,1978
slv,11.63,1983
slv,8.773,1988
slv,6.843,1993
slv,6.929,1998
slv,6.762,2003
slv,6.821,2008
slv,6.934,2013
slv,7.017,2018
slv,7.067,2023
slv,7.109,2028
slv,7.251,2033
slv,7.512,2038
slv,7.844,2043
slv,8.24,2048
gnq,30.41,1953
gnq,28.68,1958
gnq,26.87,1963
gnq,25.34,1968
gnq,23.7,1973
gnq,22.19,1978
gnq,21.72,1983
gnq,20.83,1988
gnq,17.14,1993
gnq,18.88,1998
gnq,16.3,2003
gnq,15.12,2008
gnq,13.78,2013
gnq,12.59,2018
gnq,11.53,2023
gnq,10.69,2028
gnq,10.16,2033
gnq,9.826,2038
gnq,9.334,2043
gnq,8.809,2048
eri,28.0,1953
eri,25.71,1958
eri,23.61,1963
eri,21.67,1968
eri,19.74,1973
eri,18.85,1978
eri,20.49,1983
eri,17.32,1988
eri,11.26,1993
eri,14.21,1998
eri,9.682,2003
eri,8.579,2008
eri,7.581,2013
eri,6.799,2018
eri,6.283,2023
eri,6.014,2028
eri,5.97,2033
eri,6.082,2038
eri,6.288,2043
eri,6.578,2048
est,13.09,1953
est,10.96,1958
est,10.5,1963
est,10.76,1968
est,11.03,1973
est,12.05,1978
est,12.39,1983
est,12.09,1988
est,13.77,1993
est,13.89,1998
est,13.37,2003
est,12.87,2008
est,13.01,2013
est,13.03,2018
est,12.96,2023
est,12.95,2028
est,13.18,2033
est,13.5,2038
est,13.51,2043
est,13.45,2048
eth,29.93,1953
eth,26.7,1958
eth,23.54,1963
eth,21.82,1968
eth,20.62,1973
eth,19.78,1978
eth,20.79,1983
eth,19.07,1988
eth,15.35,1993
eth,17.46,1998
eth,13.49,2003
eth,11.96,2008
eth,10.73,2013
eth,9.705,2018
eth,8.885,2023
eth,8.196,2028
eth,7.69,2033
eth,7.365,2038
eth,7.194,2043
eth,7.159,2048
fji,13.32,1953
fji,11.5,1958
fji,9.67,1963
fji,8.24,1968
fji,7.19,1973
fji,6.59,1978
fji,6.02,1983
fji,5.95,1988
fji,6.22,1993
fji,6.27,1998
fji,6.367,2003
fji,6.593,2008
fji,6.925,2013
fji,7.366,2018
fji,7.851,2023
fji,8.181,2028
fji,8.373,2033
fji,8.659,2038
fji,9.013,2043
fji,9.447,2048
fin,9.68,1953
fin,9.08,1958
fin,9.35,1963
fin,9.71,1968
fin,9.53,1973
fin,9.29,1978
fin,9.28,1983
fin,9.81,1988
fin,9.707,1993
fin,9.82,1998
fin,9.516,2003
fin,9.371,2008
fin,9.731,2013
fin,10.16,2018
fin,10.69,2023
fin,11.29,2028
fin,11.92,2033
fin,12.44,2038
fin,12.67,2043
fin,12.6,2048
fra,12.82,1953
fra,11.98,1958
fra,11.42,1963
fra,11.23,1968
fra,10.89,1973
fra,10.57,1978
fra,10.37,1983
fra,9.941,1988
fra,9.454,1993
fra,9.534,1998
fra,9.114,2003
fra,8.576,2008
fra,8.97,2013
fra,9.321,2018
fra,9.62,2023
fra,9.91,2028
fra,10.35,2033
fra,10.88,2038
fra,11.36,2043
fra,11.69,2048
guf,15.58,1953
guf,14.08,1958
guf,12.0,1963
guf,9.0,1968
guf,7.84,1973
guf,7.24,1978
guf,6.13,1983
guf,5.23,1988
guf,3.875,1993
guf,4.488,1998
guf,3.741,2003
guf,3.696,2008
guf,3.666,2013
guf,3.798,2018
guf,4.072,2023
guf,4.446,2028
guf,4.9,2033
guf,5.379,2038
guf,5.851,2043
guf,6.277,2048
pyf,16.28,1953
pyf,12.61,1958
pyf,11.21,1963
pyf,9.84,1968
pyf,8.4,1973
pyf,7.76,1978
pyf,6.14,1983
pyf,5.5,1988
pyf,4.935,1993
pyf,5.04,1998
pyf,4.909,2003
pyf,5.128,2008
pyf,5.367,2013
pyf,5.701,2018
pyf,6.157,2023
pyf,6.719,2028
pyf,7.386,2033
pyf,8.111,2038
pyf,8.847,2043
pyf,9.516,2048
gab,27.74,1953
gab,25.92,1958
gab,24.81,1963
gab,21.74,1968
gab,19.09,1973
gab,16.68,1978
gab,13.92,1983
gab,11.46,1988
gab,10.11,1993
gab,10.6,1998
gab,10.46,2003
gab,9.78,2008
gab,8.869,2013
gab,8.208,2018
gab,8.008,2023
gab,7.906,2028
gab,8.058,2033
gab,8.173,2038
gab,8.252,2043
gab,8.368,2048
gmb,29.31,1953
gmb,27.91,1958
gmb,27.06,1963
gmb,25.5,1968
gmb,23.13,1973
gmb,20.43,1978
gmb,17.8,1983
gmb,15.77,1988
gmb,13.43,1993
gmb,14.51,1998
gmb,12.35,2003
gmb,11.4,2008
gmb,10.32,2013
gmb,9.509,2018
gmb,8.841,2023
gmb,8.19,2028
gmb,7.597,2033
gmb,7.188,2038
gmb,6.954,2043
gmb,6.853,2048
geo,14.43,1953
geo,12.98,1958
geo,6.79,1963
geo,9.697,1968
geo,7.55,1973
geo,8.12,1978
geo,8.92,1983
geo,8.69,1988
geo,10.03,1993
geo,9.704,1998
geo,10.68,2003
geo,11.9,2008
geo,12.46,2013
geo,12.74,2018
geo,12.79,2023
geo,12.94,2028
geo,13.43,2033
geo,14.18,2038
geo,14.88,2043
geo,15.29,2048
deu,11.12,1953
deu,11.6,1958
deu,11.79,1963
deu,12.28,1968
deu,12.33,1973
deu,12.15,1978
deu,12.05,1983
deu,11.6,1988
deu,10.72,1993
deu,11.18,1998
deu,10.27,2003
deu,10.33,2008
deu,11.03,2013
deu,11.75,2018
deu,12.4,2023
deu,12.94,2028
deu,13.45,2033
deu,14.02,2038
deu,14.68,2043
deu,15.37,2048
gha,20.06,1953
gha,19.02,1958
gha,18.33,1963
