geo,males_aged_15_24_unemployment_rate_percent,time
hkg,7.7,1995
hkg,7.3,1996
hkg,5.6,1997
hkg,11.8,1998
hkg,15.6,1999
hkg,11.9,2000
hkg,13.5,2001
hkg,18.2,2002
hkg,18.6,2003
hkg,15.3,2004
hkg,13.8,2005
irl,22.1,1983
irl,24.8,1984
irl,24.7,1985
irl,28.3,1986
irl,27.2,1987
irl,26.0,1988
irl,22.5,1989
irl,18.9,1990
irl,23.4,1991
irl,24.9,1992
irl,27.0,1993
irl,25.4,1994
irl,20.5,1995
irl,19.2,1996
irl,16.9,1997
irl,12.0,1998
irl,8.6,1999
irl,6.1,2000
irl,6.4,2001
irl,8.8,2002
irl,8.7,2003
irl,8.6,2004
irl,9.1,2005
jpn,4.2,1981
jpn,4.2,1982
jpn,4.6,1983
jpn,4.9,1984
jpn,4.8,1985
jpn,5.2,1986
jpn,5.4,1987
jpn,5.1,1988
jpn,4.7,1989
jpn,4.5,1990
jpn,4.7,1991
jpn,4.6,1992
jpn,4.9,1993
jpn,5.6,1994
jpn,6.1,1995
jpn,6.8,1996
jpn,6.9,1997
jpn,8.2,1998
jpn,10.3,1999
jpn,10.4,2000
jpn,10.4,2001
jpn,11.3,2002
jpn,11.6,2003
jpn,10.6,2004
jpn,9.9,2005
kor,9.1,1992
kor,11.9,1993
kor,9.1,1994
kor,7.8,1995
kor,8.0,1996
kor,9.2,1997
kor,20.2,1998
kor,17.1,1999
kor,13.2,2000
kor,12.5,2001
kor,10.0,2002
kor,11.6,2003
kor,12.0,2004
kor,12.0,2005
lva,32.4,1996
lva,24.4,1997
lva,25.0,1998
lva,26.2,1999
lva,21.3,2000
lva,21.9,2001
lva,17.9,2002
lva,17.5,2003
lva,16.5,2004
lva,12.5,2005
ltu,24.4,1998
ltu,28.2,1999
ltu,30.4,2000
ltu,34.3,2001
ltu,21.9,2002
ltu,21.3,2003
ltu,21.0,2004
ltu,15.0,2005
nld,12.9,1987
nld,13.0,1988
nld,10.8,1989
nld,10.0,1990
nld,10.1,1991
nld,8.0,1992
nld,9.7,1993
nld,10.9,1994
nld,11.9,1995
nld,10.9,1996
nld,8.6,1997
nld,7.2,1998
nld,5.9,1999
nld,4.8,2000
nld,5.7,2001
nld,6.4,2002
nld,7.8,2003
nld,11.2,2004
nld,9.4,2005
nzl,7.9,1986
nzl,8.4,1987
nzl,11.7,1988
nzl,14.3,1989
nzl,14.9,1990
nzl,20.6,1991
nzl,20.4,1992
nzl,18.5,1993
nzl,15.6,1994
nzl,11.9,1995
nzl,12.4,1996
nzl,13.1,1997
nzl,15.6,1998
nzl,14.5,1999
nzl,14.2,2000
nzl,12.1,2001
nzl,11.6,2002
nzl,10.1,2003
nzl,8.7,2004
nzl,9.1,2005
nor,5.3,1981
nor,7.3,1982
nor,8.2,1983
nor,7.4,1984
nor,5.8,1985
nor,3.9,1986
nor,4.2,1987
nor,7.4,1988
nor,11.9,1989
nor,12.4,1990
nor,13.6,1991
nor,15.0,1992
nor,14.5,1993
nor,13.1,1994
nor,12.2,1995
nor,11.7,1996
nor,10.2,1997
nor,9.5,1998
nor,9.6,1999
nor,9.6,2000
nor,10.6,2001
nor,12.4,2002
nor,12.7,2003
nor,12.6,2004
nor,12.6,2005
phl,18.2,1986
phl,17.1,1987
phl,15.7,1988
phl,15.9,1989
phl,13.4,1990
phl,18.7,1991
phl,12.6,1992
phl,11.4,1993
phl,12.0,1994
phl,12.4,1995
phl,10.8,1996
phl,16.6,1997
phl,13.9,1998
phl,13.3,1999
phl,16.7,2000
phl,15.1,2001
phl,16.4,2002
phl,15.3,2003
phl,16.2,2004
phl,15.9,2005
pol,25.0,1993
pol,27.3,1994
pol,25.9,1995
pol,23.8,1996
pol,20.0,1997
pol,19.4,1998
pol,26.0,1999
pol,30.9,2000
pol,37.5,2001
pol,41.1,2002
pol,39.6,2003
pol,36.9,2004
pol,34.8,2005
prt,8.0,1992
prt,9.8,1993
prt,12.0,1994
prt,13.8,1995
prt,13.5,1996
prt,11.3,1997
prt,7.9,1998
prt,7.0,1999
prt,6.0,2000
prt,7.0,2001
prt,9.6,2002
prt,12.0,2003
prt,13.3,2004
prt,13.7,2005
rou,20.2,1994
rou,18.8,1995
rou,17.5,1996
rou,15.9,1997
rou,17.3,1998
rou,19.0,1999
rou,19.6,2000
rou,17.6,2001
rou,21.7,2002
rou,18.3,2003
rou,22.4,2004
rou,20.5,2005
sgp,4.6,1981
sgp,4.3,1982
sgp,5.0,1983
sgp,4.5,1984
sgp,6.1,1985
sgp,7.9,1986
sgp,6.2,1987
sgp,4.8,1988
sgp,3.4,1989
sgp,3.3,1990
sgp,3.5,1991
sgp,4.6,1992
sgp,4.7,1993
sgp,4.7,1994
sgp,4.8,1995
sgp,5.1,1996
sgp,4.0,1997
sgp,5.3,1998
sgp,5.5,1999
sgp,5.4,2001
sgp,6.4,2002
sgp,7.1,2003
sgp,7.8,2004
svk,21.1,1997
svk,23.8,1998
svk,32.1,1999
svk,36.4,2000
svk,38.4,2001
svk,36.6,2002
svk,32.7,2003
svk,33.0,2004
svn,26.9,1993
svn,21.5,1994
svn,18.1,1995
svn,20.0,1996
svn,16.3,1997
svn,17.6,1998
svn,17.2,1999
svn,14.5,2000
svn,15.0,2001
svn,14.8,2002
svn,12.7,2003
svn,11.3,2004
svn,14.8,2005
esp,28.2,1981
esp,31.8,1982
esp,33.7,1983
esp,37.9,1984
esp,39.2,1985
esp,38.2,1986
esp,33.7,1987
esp,29.4,1988
esp,24.4,1989
esp,23.1,1990
esp,22.7,1991
esp,26.5,1992
esp,39.7,1993
esp,40.9,1994
esp,36.9,1995
esp,36.2,1996
esp,33.2,1997
esp,29.0,1998
esp,23.2,1999
esp,20.3,2000
esp,16.7,2001
esp,18.5,2002
esp,19.5,2003
esp,18.7,2004
esp,16.7,2005
swe,5.7,1981
swe,7.0,1982
swe,7.3,1983
swe,5.7,1984
swe,5.6,1985
swe,5.9,1986
swe,5.2,1987
swe,4.0,1988
swe,3.9,1989
swe,4.8,1990
swe,8.5,1991
swe,16.2,1992
swe,26.1,1993
swe,25.3,1994
swe,20.7,1995
swe,21.6,1996
swe,21.8,1997
swe,17.3,1998
swe,14.8,1999
swe,12.4,2000
swe,12.9,2001
swe,13.8,2002
swe,14.7,2003
swe,17.7,2004
swe,23.2,2005
che,2.9,1991
che,4.8,1992
che,7.0,1993
che,5.3,1994
che,5.4,1995
che,5.2,1996
che,7.9,1997
che,4.7,1998
che,5.6,1999
che,5.7,2000
che,5.8,2001
che,7.3,2002
che,8.2,2003
che,8.0,2004
che,8.5,2005
tur,17.9,1992
tur,18.7,1993
tur,17.5,1994
tur,16.9,1995
tur,14.8,1996
tur,14.0,1997
tur,14.9,1998
tur,15.6,1999
tur,13.7,2000
tur,17.2,2001
tur,20.3,2002
tur,21.5,2003
tur,20.1,2004
tur,19.3,2005
gbr,12.0,2001
gbr,13.0,2002
gbr,13.3,2003
gbr,11.8,2004
gbr,13.4,2005
usa,14.6,1981
usa,17.7,1982
usa,17.1,1983
usa,13.4,1984
usa,13.1,1985
usa,12.7,1986
usa,11.8,1987
usa,10.7,1988
usa,10.6,1989
usa,10.8,1990
usa,13.4,1991
usa,14.4,1992
usa,13.6,1993
usa,12.6,1994
usa,12.5,1995
usa,12.6,1996
usa,11.8,1997
usa,11.1,1998
usa,10.3,1999
usa,9.7,2000
usa,11.4,2001
usa,12.8,2002
usa,13.4,2003
usa,12.6,2004
usa,12.4,2005
