geo,planted_forest_area_ha,time
rwa,419000,2005
sen,205000,1990
sen,306000,2000
sen,365000,2005
sle,2000,1990
sle,3000,2000
sle,3000,2005
tgo,24000,1990
tgo,34000,2000
tgo,38000,2005
chn,18470000,1990
chn,23920000,2000
chn,31370000,2005
jpn,10290000,1990
jpn,10330000,2000
jpn,10320000,2005
mng,30000,1990
mng,75000,2000
mng,112000,2005
kor,748000,1990
kor,1188000,2000
kor,1364000,2005
bgd,239000,1990
bgd,276000,2000
bgd,279000,2005
btn,1000,1990
btn,1000,2000
btn,2000,2005
khm,67000,1990
khm,72000,2000
khm,59000,2005
ind,1954000,1990
ind,2805000,2000
ind,3226000,2005
idn,2209000,1990
idn,3002000,2000
idn,3399000,2005
lao,4000,1990
lao,99000,2000
lao,224000,2005
mys,1956000,1990
mys,1659000,2000
mys,1573000,2005
mmr,394000,1990
mmr,696000,2000
mmr,849000,2005
npl,49000,1990
npl,52000,2000
npl,53000,2005
pak,234000,1990
pak,296000,2000
pak,318000,2005
phl,1780000,1990
phl,852000,2000
phl,620000,2005
lka,242000,1990
lka,221000,2000
lka,195000,2005
tha,2640000,1990
tha,3077000,2000
tha,3099000,2005
tls,29000,1990
tls,43000,2000
tls,43000,2005
vnm,967000,1990
vnm,2050000,2000
vnm,2695000,2005
arm,14000,1990
arm,11000,2000
arm,10000,2005
aze,20000,1990
aze,20000,2000
aze,20000,2005
cyp,3000,1990
cyp,3000,2000
cyp,5000,2005
geo,54000,1990
geo,60000,2000
geo,60000,2005
irn,616000,1990
irn,616000,2000
irn,616000,2005
irq,15000,1990
irq,15000,2000
irq,13000,2005
isr,84000,1990
isr,94000,2000
isr,101000,2005
jor,40000,1990
jor,40000,2000
jor,40000,2005
kaz,1034000,1990
kaz,1056000,2000
kaz,909000,2005
kwt,3000,1990
kwt,5000,2000
kwt,6000,2005
kgz,46000,1990
kgz,59000,2000
kgz,66000,2005
lbn,8000,2005
omn,2000,1990
omn,2000,2000
omn,2000,2005
syr,175000,1990
syr,234000,2000
syr,264000,2005
tjk,76000,1990
tjk,66000,2000
tjk,66000,2005
tur,1839000,1990
tur,2304000,2000
tur,2537000,2005
are,245000,1990
are,310000,2000
are,312000,2005
uzb,30000,1990
uzb,51000,2000
uzb,61000,2005
alb,103000,1990
alb,96000,2000
alb,88000,2005
aut,988000,1990
aut,1003000,2000
blr,2000,1990
blr,2000,2000
blr,2000,2005
bel,303000,1990
bel,284000,2000
bel,275000,2005
bih,142000,2000
bih,142000,2005
bgr,40000,1990
bgr,48000,2000
hrv,56000,1990
hrv,60000,2000
hrv,61000,2005
dnk,291000,1990
dnk,305000,2000
dnk,315000,2005
est,1000,2000
est,1000,2005
fra,1842000,1990
fra,1936000,2000
fra,1968000,2005
grc,118000,1990
grc,129000,2000
grc,134000,2005
hun,431000,1990
hun,528000,2000
hun,545000,2005
isl,8000,1990
isl,21000,2000
isl,29000,2005
irl,350000,1990
irl,519000,2000
irl,579000,2005
ita,289000,1990
ita,144000,2000
ita,146000,2005
lva,1000,2005
ltu,124000,1990
ltu,137000,2000
ltu,141000,2005
lux,28000,1990
lux,28000,2000
lux,28000,2005
nld,4000,1990
nld,4000,2000
nld,4000,2005
nor,222000,1990
nor,255000,2000
nor,262000,2005
pol,32000,1990
pol,32000,2000
pol,32000,2005
prt,550000,1990
prt,1034000,2000
prt,1234000,2005
mda,1000,1990
mda,1000,2000
mda,1000,2005
rou,149000,1990
rou,149000,2000
rou,149000,2005
rus,12650000,1990
rus,15360000,2000
rus,16960000,2005
scg,39000,1990
scg,39000,2000
scg,39000,2005
svk,23000,1990
svk,20000,2000
svk,19000,2005
esp,1126000,1990
esp,1356000,2000
esp,1471000,2005
swe,523000,1990
swe,619000,2000
swe,667000,2005
che,3000,1990
che,4000,2000
che,4000,2005
mkd,30000,1990
mkd,30000,2000
mkd,30000,2005
ukr,325000,1990
ukr,367000,2000
ukr,388000,2005
gbr,1877000,1990
gbr,1934000,2000
gbr,1924000,2005
cub,347000,1990
cub,342000,2000
cub,394000,2005
glp,3000,1990
glp,1000,2000
glp,1000,2005
hti,12000,1990
hti,20000,2000
hti,24000,2005
jam,15000,1990
jam,14000,2000
jam,14000,2005
mtq,1000,1990
mtq,1000,2000
mtq,1000,2005
tto,15000,1990
tto,15000,2000
tto,15000,2005
cri,3000,2000
cri,4000,2005
slv,6000,1990
slv,6000,2000
slv,6000,2005
gtm,32000,1990
gtm,88000,2000
gtm,122000,2005
hnd,31000,1990
hnd,26000,2000
hnd,30000,2005
nic,4000,1990
nic,46000,2000
nic,51000,2005
pan,10000,1990
pan,42000,2000
pan,61000,2005
mex,1058000,2000
mex,1058000,2005
usa,10300000,1990
usa,16270000,2000
usa,17060000,2005
aus,1023000,1990
aus,1485000,2000
aus,1766000,2005
cok,1000,2000
cok,1000,2005
fji,80000,1990
fji,101000,2000
fji,101000,2005
pyf,10000,1990
pyf,10000,2000
pyf,10000,2005
ncl,10000,1990
ncl,10000,2000
ncl,10000,2005
nzl,1261000,1990
nzl,1769000,2000
nzl,1852000,2005
png,63000,1990
png,82000,2000
png,92000,2005
wsm,32000,2000
wsm,32000,2005
wlf,1000,2005
arg,769000,1990
arg,1078000,2000
arg,1229000,2005
bol,20000,1990
bol,20000,2000
bol,20000,2005
bra,5070000,1990
bra,5279000,2000
bra,5384000,2005
chl,1741000,1990
chl,2354000,2000
chl,2661000,2005
col,136000,1990
col,254000,2000
col,328000,2005
ecu,162000,2000
ecu,164000,2005
guf,1000,1990
guf,1000,2000
guf,1000,2005
pry,23000,1990
pry,36000,2000
pry,43000,2005
per,263000,1990
per,715000,2000
per,754000,2005
sur,7000,1990
sur,7000,2000
sur,7000,2005
ury,201000,1990
ury,669000,2000
ury,766000,2005
