geo,female_agriculture_workers_percent_of_female_labour_force,time
chl,2.8,1980
chl,2.2,1981
chl,2.5,1982
chl,2.5,1983
chl,3.0,1984
chl,4.0,1985
chl,4.5,1986
chl,5.6,1987
chl,6.4,1988
chl,5.9,1989
chl,6.0,1991
chl,6.1,1993
chl,5.3,1995
chl,4.5,1997
chl,4.6,1999
chl,4.6,2001
chl,3.6,2002
chl,4.9,2003
chl,5.5,2004
chl,5.8,2005
chl,5.8,2006
chl,5.6,2007
col,0.5,1980
col,0.7,1985
col,0.9,1986
col,0.6,1987
col,0.6,1988
col,0.6,1989
col,0.6,1990
col,0.6,1991
col,0.8,1992
col,0.8,1994
col,0.6,1995
col,0.8,1996
col,0.5,1997
col,0.6,1998
col,0.5,1999
col,0.5,2000
col,6.5,2001
col,5.6,2002
col,7.2,2003
col,6.8,2004
col,8.4,2005
col,6.7,2006
col,6.4,2007
cri,5.9,1980
cri,5.9,1981
cri,6.1,1982
cri,5.0,1983
cri,12.4,1984
cri,4.5,1985
cri,5.5,1986
cri,6.3,1987
cri,7.1,1988
cri,5.9,1989
cri,6.4,1990
cri,6.7,1991
cri,5.4,1992
cri,6.1,1993
cri,5.1,1994
cri,6.2,1995
cri,5.7,1996
cri,5.9,1997
cri,5.5,1998
cri,4.7,1999
cri,5.4,2000
cri,3.8,2001
cri,4.1,2002
cri,4.1,2003
cri,4.0,2004
cri,4.8,2005
cri,4.4,2006
cri,5.1,2007
hrv,21.2,1996
hrv,19.0,1997
hrv,17.3,1998
hrv,17.2,1999
hrv,15.3,2000
hrv,15.3,2001
hrv,15.0,2002
hrv,17.6,2003
hrv,17.5,2004
hrv,18.9,2005
hrv,14.9,2006
hrv,14.4,2007
cub,13.2,1995
cub,13.2,1996
cub,13.2,1997
cub,11.5,1998
cub,14.2,1999
cub,14.2,2000
cub,9.2,2001
cub,9.2,2002
cub,9.2,2003
cub,10.1,2004
cub,9.4,2005
cub,9.4,2006
cub,8.6,2007
cyp,26.7,1980
cyp,25.7,1981
cyp,24.4,1982
cyp,23.0,1983
cyp,21.7,1984
cyp,20.5,1985
cyp,19.8,1986
cyp,19.2,1987
cyp,17.9,1988
cyp,17.2,1989
cyp,15.9,1990
cyp,14.0,1991
cyp,13.1,1992
cyp,12.4,1993
cyp,10.8,1994
cyp,10.4,1995
cyp,4.1,1999
cyp,4.8,2000
cyp,4.0,2001
cyp,4.3,2002
cyp,3.9,2003
cyp,3.7,2004
cyp,3.5,2005
cyp,2.9,2006
cyp,2.4,2007
cze,6.3,1993
cze,5.7,1994
cze,5.5,1995
cze,4.8,1996
cze,4.4,1997
cze,4.1,1998
cze,3.9,1999
cze,3.7,2000
cze,3.3,2001
cze,3.4,2002
cze,3.2,2003
cze,3.0,2004
cze,2.8,2005
cze,2.8,2006
cze,2.5,2007
dnk,3.5,1981
dnk,3.9,1983
dnk,3.3,1984
dnk,3.4,1985
dnk,2.8,1986
dnk,3.2,1987
dnk,3.0,1988
dnk,2.8,1989
dnk,2.8,1990
dnk,3.0,1991
dnk,2.7,1992
dnk,2.6,1993
dnk,2.6,1994
dnk,2.3,1995
dnk,2.0,1996
dnk,1.6,1997
dnk,1.6,1998
dnk,1.5,1999
dnk,1.8,2000
dnk,1.6,2001
dnk,1.6,2002
dnk,1.5,2003
dnk,1.5,2004
dnk,1.6,2005
dnk,1.5,2006
dnk,1.5,2007
dma,12.7,1989
dma,13.2,1991
dma,13.7,1997
dma,16.1,1999
dma,8.3,2001
dom,3.3,1996
dom,2.2,1997
dom,2.6,2000
dom,1.7,2003
dom,1.9,2004
dom,2.8,2005
ecu,1.9,1992
ecu,2.4,1993
ecu,1.9,1996
ecu,1.9,1997
ecu,2.6,1999
ecu,4.4,2000
ecu,3.9,2001
ecu,4.7,2002
ecu,4.9,2004
ecu,4.3,2005
ecu,4.3,2006
egy,9.5,1980
egy,10.1,1981
egy,9.2,1982
egy,41.3,1983
egy,46.6,1984
egy,63.2,1989
egy,52.0,1990
egy,38.9,1991
egy,52.4,1992
egy,46.5,1993
egy,47.0,1994
egy,42.5,1995
egy,40.5,1997
egy,35.3,1998
egy,31.9,1999
egy,39.4,2000
egy,31.9,2001
egy,27.6,2002
egy,39.0,2003
egy,46.5,2004
egy,46.5,2005
egy,43.3,2006
slv,10.2,1980
slv,12.1,1985
slv,0.7,1986
slv,3.0,1988
slv,3.8,1989
slv,5.0,1991
slv,14.8,1992
slv,8.3,1994
slv,7.3,1995
slv,7.9,1996
slv,6.7,1997
slv,6.3,1998
slv,4.7,1999
slv,3.8,2000
slv,4.1,2001
slv,2.7,2002
slv,3.8,2003
slv,3.4,2004
slv,4.8,2005
slv,4.8,2006
gnq,89.9,1983
est,14.9,1989
est,15.2,1990
est,14.0,1991
est,13.2,1992
est,11.5,1993
est,10.3,1994
est,7.8,1995
est,7.2,1996
est,6.4,1997
est,6.5,1998
est,5.9,1999
est,4.6,2000
est,3.9,2001
est,4.2,2002
est,3.8,2003
est,3.6,2004
est,3.5,2005
est,3.2,2006
est,3.0,2007
eth,4.6,2004
eth,75.5,2005
eth,5.5,2006
fro,8.3,2005
fin,11.7,1980
fin,10.9,1981
fin,10.5,1982
fin,10.3,1983
fin,9.9,1984
fin,9.0,1985
fin,8.3,1986
fin,7.7,1987
fin,7.2,1988
fin,6.7,1989
fin,6.7,1990
fin,6.6,1991
fin,6.3,1992
fin,6.0,1993
fin,6.0,1994
fin,5.7,1995
fin,5.3,1996
fin,4.9,1997
fin,4.5,1998
fin,4.2,1999
fin,3.9,2000
fin,3.8,2001
fin,3.7,2002
fin,3.3,2003
fin,3.0,2004
fin,2.9,2005
fin,2.8,2006
fin,2.7,2007
fra,7.3,1980
fra,7.1,1981
fra,6.8,1982
fra,5.1,1983
fra,5.0,1984
fra,5.9,1985
fra,5.6,1986
fra,5.4,1987
fra,5.1,1988
fra,4.8,1989
fra,4.5,1990
fra,4.2,1991
fra,3.9,1992
fra,3.7,1993
fra,2.8,2003
fra,2.7,2004
fra,2.3,2005
fra,2.2,2006
fra,2.1,2007
gab,60.8,1993
gmb,76.5,1993
geo,50.9,1998
geo,54.1,1999
geo,57.5,2000
geo,52.8,2001
geo,55.3,2002
geo,56.8,2003
geo,56.5,2004
geo,57.2,2005
geo,57.4,2006
geo,56.6,2007
deu,4.0,1991
deu,3.7,1992
deu,3.4,1993
deu,3.1,1994
deu,2.9,1995
deu,2.7,1996
deu,2.5,1997
deu,2.4,1998
deu,2.3,1999
deu,2.1,2000
deu,2.1,2001
deu,2.0,2002
deu,1.9,2003
deu,1.8,2004
deu,1.7,2005
deu,1.6,2006
deu,1.6,2007
deu_east,5.5,1991
deu_east,4.1,1992
deu_east,3.5,1993
deu_east,3.4,1994
gha,58.7,1992
gha,50.3,1999
grc,41.6,1981
grc,38.2,1982
grc,39.8,1983
grc,39.2,1984
grc,37.9,1985
grc,37.3,1986
grc,35.4,1987
grc,34.1,1988
grc,32.3,1989
grc,30.3,1990
grc,26.7,1991
grc,26.4,1992
grc,25.3,1993
grc,24.8,1994
grc,23.9,1995
grc,23.9,1996
grc,23.1,1997
grc,20.5,1998
grc,19.8,1999
grc,19.7,2000
grc,17.7,2001
grc,17.2,2002
grc,16.9,2003
grc,14.1,2004
grc,13.9,2005
grc,13.2,2006
grc,12.5,2007
grd,14.8,1988
grd,13.2,1994
grd,11.9,1996
grd,9.7,1998
gtm,12.6,1981
gtm,12.6,1982
gtm,15.1,1987
gtm,3.2,1990
gtm,2.6,1991
gtm,17.4,1994
gtm,17.0,1998
gtm,15.3,2000
gtm,18.1,2002
gtm,19.1,2006
gin,78.8,1994
guy,16.3,1997
guy,7.2,2002
hti,53.1,1980
hti,52.0,1981
hti,49.6,1982
hti,49.6,1983
hti,49.6,1988
hti,49.6,1990
hti,37.3,1999
hnd,0.3,1985
hnd,0.7,1986
hnd,0.5,1987
hnd,5.8,1990
hnd,6.2,1992
hnd,2.0,1993
hnd,5.9,1994
hnd,6.4,1995
hnd,7.6,1996
hnd,7.1,1997
hnd,7.8,1998
hnd,8.9,1999
hnd,13.1,2005
hkg,1.2,1980
hkg,1.5,1981
hkg,1.3,1982
hkg,1.0,1983
hkg,1.1,1984
hkg,1.5,1985
hkg,1.4,1986
hkg,1.4,1987
hkg,1.3,1988
hkg,1.1,1989
hkg,0.7,1990
hkg,0.6,1991
hkg,0.4,1992
hkg,0.4,1993
hkg,0.4,1994
hkg,0.4,1995
hkg,0.3,1996
hkg,0.2,1997
hkg,0.2,1998
hkg,0.2,1999
hkg,0.2,2000
hkg,0.1,2001
hkg,0.2,2003
hkg,0.2,2004
hkg,0.2,2005
hkg,0.2,2006
hkg,0.1,2007
hun,19.2,1980
hun,17.4,1981
hun,18.0,1982
hun,18.1,1983
hun,18.0,1984
hun,17.3,1985
hun,16.4,1986
hun,15.8,1987
hun,15.5,1988
hun,15.1,1989
hun,15.0,1990
hun,12.7,1991
hun,5.5,1994
hun,4.7,1995
hun,4.5,1996
hun,4.4,1997
hun,4.1,1998
hun,3.9,1999
hun,3.6,2000
hun,3.5,2001
hun,3.7,2002
hun,2.7,2003
hun,2.6,2004
hun,2.8,2005
hun,2.7,2006
hun,2.4,2007
isl,4.8,1991
isl,3.2,1992
isl,3.2,1993
isl,3.1,1994
isl,4.5,1995
isl,4.5,1996
isl,3.0,1997
isl,5.8,1998
isl,4.2,1999
isl,4.1,2000
isl,2.7,2001
isl,4.1,2002
isl,2.7,2003
isl,2.7,2004
isl,2.6,2005
isl,2.6,2006
isl,2.5,2007
idn,54.2,1980
idn,53.8,1982
idn,53.6,1985
idn,55.7,1986
idn,55.7,1987
idn,56.8,1988
idn,57.0,1989
idn,56.3,1990
idn,54.5,1991
idn,56.5,1992
idn,51.2,1993
idn,47.3,1994
idn,43.8,1995
idn,45.0,1996
idn,42.0,1997
idn,46.0,1998
idn,43.1,1999
idn,44.5,2001
idn,45.4,2002
idn,47.3,2003
idn,44.6,2004
idn,45.2,2005
idn,44.6,2006
irn,16.7,1996
irn,34.2,2005
irn,33.1,2007
irq,32.6,2004
irl,6.3,1983
irl,5.6,1984
irl,5.4,1985
irl,5.3,1986
irl,4.6,1987
irl,4.1,1988
irl,4.4,1989
irl,4.4,1990
irl,3.6,1991
irl,3.4,1992
irl,3.6,1993
irl,3.3,1994
irl,3.1,1995
irl,3.3,1996
irl,3.0,1997
irl,2.7,1998
irl,2.3,1999
irl,2.1,2000
irl,1.8,2001
irl,1.6,2002
irl,1.7,2003
irl,1.4,2004
irl,1.3,2005
irl,1.3,2006
gbm,0.5,2001
gbm,0.7,2006
isr,4.1,1980
isr,3.4,1981
isr,3.1,1982
isr,2.8,1983
isr,3.0,1984
isr,3.0,1985
isr,2.5,1986
isr,2.8,1987
isr,2.4,1988
isr,2.4,1989
isr,2.3,1990
isr,1.9,1991
isr,1.9,1992
isr,1.9,1993
isr,1.8,1994
isr,1.2,1995
isr,1.1,1996
isr,1.0,1997
isr,1.1,1998
isr,1.1,1999
isr,0.9,2000
isr,0.6,2001
isr,0.7,2002
isr,0.8,2003
isr,0.8,2004
isr,0.8,2005
isr,0.6,2006
isr,0.6,2007
ita,16.0,1980
ita,14.7,1981
ita,13.4,1982
ita,13.4,1983
ita,12.5,1984
ita,11.9,1985
ita,11.5,1986
ita,10.7,1987
ita,9.9,1988
ita,9.5,1989
ita,9.1,1990
ita,8.8,1991
ita,8.5,1992
ita,7.7,1993
ita,7.1,1994
ita,6.6,1995
ita,5.9,1996
ita,5.7,1997
ita,5.3,1998
ita,4.7,1999
ita,4.5,2000
ita,4.5,2001
ita,4.2,2002
ita,4.0,2003
ita,3.5,2004
ita,3.3,2005
ita,3.3,2006
ita,3.1,2007
jam,15.9,1992
jam,12.0,1993
jam,12.1,1994
jam,11.7,1995
jam,11.3,1996
jam,10.1,1997
jam,9.9,1998
jam,8.9,1999
jam,9.2,2000
jam,9.6,2001
jam,9.9,2002
jam,8.8,2003
jam,8.8,2004
jam,8.5,2005
jam,8.3,2006
jpn,13.2,1980
jpn,12.4,1981
jpn,12.1,1982
jpn,11.3,1983
jpn,10.8,1984
jpn,10.6,1985
jpn,10.1,1986
jpn,9.9,1987
jpn,9.4,1988
jpn,8.9,1989
jpn,8.5,1990
jpn,7.8,1991
jpn,7.3,1992
jpn,6.7,1993
jpn,6.5,1994
jpn,6.5,1995
jpn,6.2,1996
jpn,6.0,1997
jpn,5.9,1998
jpn,5.7,1999
jpn,5.5,2000
jpn,5.2,2001
jpn,4.9,2002
jpn,4.9,2003
jpn,4.7,2004
jpn,4.5,2005
jpn,4.3,2006
jpn,4.3,2007
jor,3.4,1983
jor,1.8,1986
jor,3.9,1987
jor,3.6,2000
jor,2.7,2001
jor,2.5,2002
jor,2.0,2003
kaz,17.6,1999
kaz,34.2,2001
kaz,34.7,2002
kaz,34.0,2003
kaz,32.0,2004
kir,1.1,2000
kor,39.0,1980
kor,39.2,1981
kor,35.9,1982
kor,32.7,1983
kor,30.2,1984
kor,27.8,1985
kor,26.3,1986
kor,24.3,1987
kor,22.9,1988
kor,21.9,1989
kor,20.3,1990
kor,18.5,1991
kor,16.7,1992
kor,16.1,1993
kor,15.0,1994
kor,14.0,1995
kor,13.2,1996
kor,12.7,1997
kor,14.3,1998
kor,13.0,1999
kor,12.2,2000
kor,11.3,2001
kor,10.7,2002
kor,10.1,2003
kor,9.2,2004
kor,8.9,2005
kor,8.6,2006
kor,8.3,2007
kwt,0.0,1983
kwt,0.1,1988
kgz,47.4,1996
kgz,48.7,1997
kgz,49.0,1998
kgz,53.2,1999
kgz,54.8,2000
kgz,54.8,2001
kgz,48.7,2002
kgz,43.0,2003
kgz,38.7,2004
kgz,37.4,2005
kgz,35.4,2006
lao,89.3,1995
lva,13.3,1996
lva,18.7,1997
lva,16.3,1998
lva,14.3,1999
lva,12.2,2000
lva,11.6,2001
lva,11.3,2002
lva,9.9,2003
lva,9.9,2004
lva,8.1,2005
lva,7.9,2006
lva,7.3,2007
lso,8.1,1996
lso,45.1,1997
lso,64.9,1999
ltu,17.9,1997
ltu,15.8,1998
ltu,15.5,1999
ltu,15.1,2000
ltu,12.9,2001
ltu,14.2,2002
ltu,14.5,2003
ltu,13.4,2004
ltu,11.4,2005
ltu,10.2,2006
ltu,7.9,2007
lux,5.0,1983
lux,4.5,1984
lux,4.2,1985
lux,3.9,1986
lux,3.6,1987
lux,3.4,1988
lux,3.1,1989
lux,2.9,1990
mac,0.2,1989
mac,0.1,1990
mac,0.1,1992
mac,0.1,1993
mac,0.0,1994
mac,0.1,1995
mac,0.0,1996
mac,0.0,1997
mac,0.0,1998
mac,0.0,1999
mac,0.1,2000
mac,0.1,2001
mac,0.2,2002
mac,0.1,2003
mac,0.2,2004
mac,0.2,2005
mac,0.2,2006
mac,0.1,2007
mdg,79.3,2003
mdg,82.5,2005
mys,43.8,1980
mys,41.5,1981
mys,37.1,1982
mys,34.8,1983
mys,34.8,1984
mys,33.8,1985
mys,32.5,1986
mys,30.8,1987
mys,30.3,1988
mys,28.2,1989
mys,25.3,1990
mys,22.2,1991
mys,20.1,1992
mys,19.0,1993
mys,16.9,1995
mys,17.0,1996
mys,14.2,1997
mys,15.0,1998
mys,13.4,1999
mys,14.0,2000
mys,12.0,2001
mys,11.6,2002
mys,11.0,2003
mys,10.5,2004
mys,10.2,2005
mys,10.0,2006
mys,10.0,2007
mdv,13.5,1990
mdv,9.0,1995
mdv,5.4,2000
mdv,9.0,2003
mdv,7.1,2006
mli,29.9,2004
mlt,0.2,2000
mlt,0.5,2001
mlt,0.4,2002
mlt,0.4,2003
mlt,0.7,2004
mlt,0.7,2005
mlt,0.2,2006
mlt,0.4,2007
mhl,6.5,1999
mtq,4.6,1990
mus,12.7,1992
mus,11.9,1994
mus,12.6,1995
mus,11.2,1996
mus,10.3,1997
mus,9.7,1998
mus,8.7,1999
mus,10.0,2001
mus,8.3,2002
mus,7.9,2003
mus,8.2,2004
mus,8.9,2005
mus,8.1,2006
mus,7.6,2007
mex,3.4,1990
mex,9.9,1991
mex,10.4,1993
mex,9.9,1995
mex,9.7,1996
mex,11.8,1997
mex,7.9,1998
mex,8.5,1999
mex,6.7,2000
mex,6.0,2001
mex,6.1,2002
mex,5.1,2003
mex,5.5,2004
mex,4.8,2005
mex,4.6,2006
mex,4.4,2007
mng,36.9,1993
mng,43.5,1994
mng,45.0,1995
mng,45.0,1996
mng,48.2,1997
mng,48.7,1998
mng,48.3,1999
mng,46.5,2000
mng,46.5,2001
mng,42.4,2002
mng,39.8,2003
mng,37.6,2004
mng,36.8,2005
mne,6.9,2003
mne,8.9,2005
msr,3.7,1991
mar,3.1,1990
mar,2.9,1991
mar,2.8,1992
mar,2.2,1993
mar,34.2,1994
mar,8.0,1995
mar,8.3,1996
mar,4.4,1997
mar,4.8,1998
mar,6.0,1999
mar,4.6,2001
mar,57.1,2002
mar,56.8,2003
mar,60.4,2004
mar,61.4,2005
mar,61.3,2006
nam,52.0,1991
nam,39.1,1997
nam,29.1,2000
nam,25.2,2004
npl,90.5,1991
npl,85.2,1999
npl,72.8,2001
nld,2.6,1980
nld,2.8,1982
nld,3.2,1984
nld,3.1,1986
nld,3.4,1988
nld,3.3,1989
nld,3.4,1990
nld,3.3,1991
nld,2.5,1992
nld,2.5,1993
nld,2.6,1994
nld,2.1,1995
nld,2.5,1996
nld,2.5,1997
nld,2.2,1998
nld,2.2,1999
nld,2.3,2000
nld,2.1,2001
nld,2.0,2002
nld,1.8,2003
nld,2.0,2004
nld,2.0,2005
ant,0.1,1983
ant,0.2,1984
ant,0.2,1985
ant,0.2,1986
ant,0.2,1992
ant,0.3,1993
ant,0.2,1994
ant,0.3,1995
ant,0.3,1996
ant,0.3,1997
ant,0.2,1998
ant,0.2,2000
ncl,4.1,1996
nzl,7.6,1986
nzl,7.5,1987
nzl,7.4,1988
nzl,7.4,1989
nzl,7.8,1990
nzl,7.8,1991
nzl,7.7,1992
nzl,7.6,1993
nzl,7.4,1994
nzl,6.7,1995
nzl,6.4,1996
nzl,5.7,1997
nzl,5.8,1998
nzl,6.8,1999
nzl,6.0,2000
nzl,6.0,2001
nzl,5.7,2002
nzl,5.5,2003
nzl,5.3,2004
nzl,5.0,2005
nzl,5.1,2006
nzl,5.0,2007
nic,10.4,2003
nic,10.6,2004
nic,8.3,2005
nic,8.4,2006
nga,21.7,1983
nga,37.6,1986
niu,5.8,2001
mnp,0.0,1990
mnp,0.0,1995
nor,6.1,1980
nor,5.9,1981
nor,5.6,1982
nor,5.0,1983
nor,4.3,1984
nor,4.7,1985
nor,5.0,1986
nor,4.1,1987
nor,4.1,1988
nor,4.1,1989
nor,3.9,1990
nor,3.3,1991
nor,3.2,1992
nor,3.2,1993
nor,2.9,1994
nor,2.9,1995
nor,2.9,1996
nor,2.5,1997
nor,2.6,1998
nor,2.5,1999
nor,2.3,2000
nor,2.1,2001
nor,2.0,2002
nor,1.9,2003
nor,1.7,2004
nor,1.6,2005
nor,1.4,2006
nor,1.3,2007
omn,4.8,1993
omn,5.0,1996
omn,5.4,2000
pak,75.1,1985
pak,78.4,1986
pak,76.0,1987
pak,72.2,1988
pak,72.2,1989
pak,72.2,1990
pak,66.0,1991
pak,68.8,1992
pak,69.5,1993
pak,72.3,1994
pak,67.4,1995
pak,67.4,1996
pak,66.4,1997
pak,69.5,1998
pak,69.5,1999
pak,72.9,2001
pak,64.6,2003
pak,67.3,2005
pak,72.4,2007
pan,5.5,1982
pan,5.7,1983
pan,4.1,1984
pan,4.7,1985
pan,4.2,1986
pan,3.0,1992
pan,3.0,1993
pan,2.5,1994
pan,3.3,1995
pan,2.6,1996
pan,2.3,1997
pan,1.9,1998
pan,1.9,1999
pan,1.7,2000
pan,3.0,2001
pan,3.0,2002
pan,3.7,2003
pan,3.0,2004
pan,4.3,2005
pan,4.5,2006
pan,3.4,2007
pry,0.4,1982
pry,0.5,1983
pry,0.9,1984
pry,0.5,1985
pry,1.1,1986
pry,0.8,1987
pry,0.8,1988
pry,0.6,1989
pry,36.5,1995
pry,13.6,1997
pry,14.1,1998
pry,16.6,1999
pry,19.8,2000
pry,20.3,2001
pry,19.2,2002
pry,20.0,2003
pry,23.5,2007
per,0.7,1987
per,0.6,1990
per,0.4,1995
per,3.6,1996
per,4.7,1997
per,3.1,1998
per,3.3,1999
per,3.9,2000
per,6.1,2001
per,7.6,2002
per,7.8,2003
per,7.8,2004
per,8.1,2005
per,7.6,2006
per,5.7,2007
phl,37.3,1980
phl,37.6,1981
phl,39.1,1982
phl,40.2,1983
phl,35.8,1984
phl,35.0,1985
phl,35.1,1986
phl,32.7,1987
phl,32.0,1988
phl,30.9,1989
phl,31.3,1990
phl,30.1,1991
phl,31.7,1992
phl,32.7,1993
phl,30.5,1994
phl,31.1,1995
phl,2.0,1996
phl,1.8,1997
phl,1.8,1998
phl,1.8,1999
phl,24.5,2000
phl,24.9,2001
phl,25.1,2002
phl,25.1,2003
phl,24.7,2004
phl,24.8,2005
phl,24.4,2006
phl,23.8,2007
pol,24.0,1994
pol,22.5,1995
pol,22.0,1996
pol,20.3,1997
pol,19.0,1998
pol,17.5,1999
pol,18.3,2000
pol,19.0,2001
pol,18.8,2002
pol,17.6,2003
pol,17.2,2004
pol,16.7,2005
pol,15.0,2006
pol,14.2,2007
prt,35.1,1980
prt,34.2,1981
prt,32.2,1982
prt,29.0,1983
prt,28.8,1984
prt,28.4,1985
prt,26.6,1986
prt,27.1,1987
prt,24.9,1988
prt,22.6,1989
prt,21.1,1990
prt,20.6,1991
prt,12.9,1992
prt,12.8,1993
prt,13.0,1994
prt,12.6,1995
prt,13.6,1996
prt,15.6,1997
prt,15.0,1998
prt,14.3,1999
prt,14.3,2000
prt,14.3,2001
prt,13.7,2002
prt,13.5,2003
prt,12.8,2004
prt,12.9,2005
prt,12.4,2006
prt,12.2,2007
pri,0.4,1980
pri,0.4,1981
pri,0.4,1982
pri,0.4,1983
pri,0.3,1984
pri,0.3,1985
pri,0.3,1986
pri,0.3,1987
pri,0.3,1988
pri,0.3,1989
pri,0.3,1991
pri,0.3,1992
pri,0.5,1993
pri,0.2,1994
pri,0.2,1995
pri,0.2,1996
pri,0.4,1997
pri,0.2,1998
pri,0.2,1999
pri,0.2,2000
pri,0.2,2001
pri,0.2,2002
pri,0.2,2003
pri,0.2,2004
pri,0.4,2005
