geo,net_barter_terms_of_trade_2000_100,time
bfa,96.55,1986
bfa,106.8,1987
bfa,112.7,1988
bfa,118.8,1989
bfa,118.8,1990
bfa,114.2,1991
bfa,115.6,1992
bfa,110.0,1993
bfa,121.8,1994
bfa,131.0,1995
bfa,122.6,1996
bfa,121.7,1997
bfa,124.5,1998
bfa,112.4,1999
bfa,100.0,2000
bfa,92.05,2001
bfa,91.79,2002
bfa,111.5,2003
bfa,101.5,2004
bfa,82.53,2005
bfa,80.92,2006
bfa,84.29,2007
bfa,80.47,2008
bfa,78.64,2009
bdi,230.9,1980
bdi,170.9,1981
bdi,181.8,1982
bdi,212.1,1983
bdi,265.5,1984
bdi,243.1,1985
bdi,296.2,1986
bdi,179.1,1987
bdi,217.9,1988
bdi,177.5,1989
bdi,128.3,1990
bdi,136.4,1991
bdi,97.95,1992
bdi,120.4,1993
bdi,171.4,1994
bdi,163.6,1995
bdi,118.9,1996
bdi,109.5,1997
bdi,121.2,1998
bdi,115.9,1999
bdi,100.0,2000
bdi,85.79,2001
bdi,86.75,2002
bdi,89.81,2003
bdi,93.24,2004
bdi,113.0,2005
bdi,122.3,2006
bdi,121.7,2007
bdi,133.3,2008
bdi,137.9,2009
khm,100.0,2000
khm,103.4,2001
khm,105.0,2002
khm,100.6,2003
khm,94.54,2004
khm,88.8,2005
khm,85.83,2006
khm,83.32,2007
khm,80.71,2008
khm,85.0,2009
cmr,80.21,1980
cmr,70.86,1981
cmr,114.5,1982
cmr,88.0,1983
cmr,80.39,1984
cmr,77.21,1985
cmr,102.0,1986
cmr,89.66,1987
cmr,84.68,1988
cmr,66.44,1989
cmr,81.25,1990
cmr,102.6,1991
cmr,64.46,1992
cmr,74.0,1993
cmr,84.75,1994
cmr,90.4,1995
cmr,82.26,1996
cmr,87.07,1997
cmr,83.49,1998
cmr,70.27,1999
cmr,100.0,2000
cmr,94.61,2001
cmr,103.6,2002
cmr,110.1,2003
cmr,116.6,2004
cmr,128.5,2005
cmr,134.7,2006
cmr,133.3,2007
cmr,138.6,2008
cmr,121.6,2009
can,114.1,1980
can,106.8,1981
can,103.2,1982
can,103.8,1983
can,102.4,1984
can,99.86,1985
can,98.5,1986
can,101.5,1987
can,103.8,1988
can,106.0,1989
can,103.3,1990
can,101.0,1991
can,99.2,1992
can,98.42,1993
can,99.11,1994
can,103.2,1995
can,104.2,1996
can,103.1,1997
can,106.8,1998
can,105.1,1999
can,100.0,2000
can,101.1,2001
can,105.5,2002
can,111.4,2003
can,115.6,2004
can,119.7,2005
can,119.8,2006
can,123.5,2007
can,126.6,2008
can,114.8,2009
cpv,100.0,1980
cpv,218.1,1981
cpv,135.7,1982
cpv,100.0,1983
cpv,100.0,1984
cpv,100.0,1985
cpv,100.0,1986
cpv,100.0,1987
cpv,100.0,1988
cpv,100.0,1989
cpv,100.0,1990
cpv,100.0,1991
cpv,100.0,1992
cpv,100.0,1993
cpv,100.0,1994
cpv,100.0,1995
cpv,100.0,1996
cpv,100.0,1997
cpv,100.0,1998
cpv,100.0,1999
cpv,100.0,2000
cpv,101.0,2001
cpv,101.3,2002
cpv,94.65,2003
cpv,88.15,2004
cpv,102.1,2005
cpv,108.8,2006
cpv,103.5,2007
cpv,110.5,2008
cpv,136.2,2009
cym,100.0,2000
cym,97.07,2001
cym,96.11,2002
cym,98.94,2003
cym,96.25,2004
cym,95.59,2005
cym,97.38,2006
cym,95.15,2007
cym,86.78,2008
caf,260.6,1980
caf,252.3,1981
caf,270.1,1982
caf,260.2,1983
caf,269.4,1984
caf,257.9,1985
caf,234.6,1986
caf,243.7,1987
caf,278.0,1988
caf,295.8,1989
caf,237.5,1990
caf,268.9,1991
caf,280.7,1992
caf,273.8,1993
caf,200.0,1994
caf,193.0,1995
caf,166.9,1996
caf,150.0,1997
caf,123.7,1998
caf,107.1,1999
caf,100.0,2000
caf,97.93,2001
caf,96.02,2002
caf,96.33,2003
caf,98.62,2004
caf,90.92,2005
caf,87.2,2006
caf,83.63,2007
caf,75.38,2008
caf,78.5,2009
tcd,92.62,1995
tcd,91.85,1996
tcd,92.56,1997
tcd,100.8,1998
tcd,95.61,1999
tcd,100.0,2000
tcd,85.16,2001
tcd,82.18,2002
tcd,99.74,2003
tcd,118.6,2004
tcd,138.3,2005
tcd,153.1,2006
tcd,153.1,2007
tcd,176.5,2008
tcd,136.0,2009
chl,243.3,1980
chl,203.2,1981
chl,196.3,1982
chl,212.2,1983
chl,202.0,1984
chl,185.7,1985
chl,175.0,1986
chl,155.2,1987
chl,142.3,1988
chl,125.3,1989
chl,113.7,1990
chl,113.0,1991
chl,110.2,1992
chl,101.0,1993
chl,114.6,1994
chl,135.6,1995
chl,109.5,1996
chl,113.0,1997
chl,100.0,1998
chl,100.0,1999
chl,100.0,2000
chl,93.29,2001
chl,97.17,2002
chl,102.8,2003
chl,124.9,2004
chl,139.8,2005
chl,183.2,2006
chl,189.5,2007
chl,164.8,2008
chl,166.7,2009
chn,117.4,1980
chn,120.2,1981
chn,117.3,1982
chn,100.0,1983
chn,96.59,1984
chn,92.55,1985
chn,85.11,1986
chn,94.51,1987
chn,90.72,1988
chn,102.2,1989
chn,102.1,1990
chn,101.0,1991
chn,103.1,1992
chn,101.0,1993
chn,102.0,1994
chn,101.9,1995
chn,105.9,1996
chn,110.2,1997
chn,110.6,1998
chn,104.1,1999
chn,100.0,2000
chn,102.2,2001
chn,102.2,2002
chn,98.02,2003
chn,92.39,2004
chn,86.19,2005
chn,82.6,2006
chn,80.46,2007
chn,73.87,2008
chn,79.73,2009
col,112.0,1980
col,98.72,1981
col,101.2,1982
col,102.6,1983
col,112.5,1984
col,103.9,1985
col,130.6,1986
col,95.0,1987
col,89.77,1988
col,88.17,1989
col,81.25,1990
col,85.71,1991
col,75.79,1992
col,78.49,1993
col,90.82,1994
col,86.79,1995
col,89.81,1996
col,89.91,1997
col,82.52,1998
col,88.89,1999
col,100.0,2000
col,94.25,2001
col,92.49,2002
col,95.19,2003
col,102.3,2004
col,111.0,2005
col,115.2,2006
col,124.4,2007
col,138.1,2008
col,114.3,2009
com,86.16,1995
com,85.26,1996
com,87.97,1997
com,90.24,1998
com,96.64,1999
com,100.0,2000
com,62.63,2001
com,59.23,2002
com,67.14,2003
com,57.16,2004
com,53.16,2005
com,56.51,2006
com,62.77,2007
com,60.34,2008
com,65.69,2009
cod,84.12,1980
cod,82.75,1981
cod,81.01,1982
cod,82.95,1983
cod,77.83,1984
cod,84.78,1985
cod,84.77,1986
cod,84.62,1987
cod,96.63,1988
cod,114.8,1989
cod,86.21,1990
cod,80.89,1991
cod,97.07,1992
cod,90.0,1993
cod,66.5,1994
cod,79.76,1995
cod,53.76,1996
cod,67.3,1997
cod,65.56,1998
cod,103.7,1999
cod,100.0,2000
cod,101.6,2001
cod,98.7,2002
cod,97.15,2003
cod,96.65,2004
cod,112.4,2005
cod,126.4,2006
cod,124.7,2007
cod,145.2,2008
cod,112.0,2009
cog,96.84,1980
cog,100.0,1981
cog,140.6,1982
cog,130.0,1983
cog,138.6,1984
cog,111.8,1985
cog,66.67,1986
cog,73.81,1987
cog,60.71,1988
cog,76.25,1989
cog,63.25,1990
cog,63.48,1991
cog,61.02,1992
cog,62.34,1993
cog,53.57,1994
cog,52.03,1995
cog,64.17,1996
cog,63.64,1997
cog,39.2,1998
cog,64.42,1999
cog,100.0,2000
cog,91.34,2001
cog,90.8,2002
cog,99.88,2003
cog,118.4,2004
cog,156.0,2005
cog,177.2,2006
cog,176.7,2007
cog,212.9,2008
cog,147.5,2009
cri,81.37,1980
cri,73.45,1981
cri,74.07,1982
cri,73.58,1983
cri,82.0,1984
cri,84.0,1985
cri,112.5,1986
cri,92.55,1987
cri,91.84,1988
cri,85.44,1989
cri,75.0,1990
cri,79.63,1991
cri,84.11,1992
cri,87.85,1993
cri,98.02,1994
cri,104.6,1995
cri,99.08,1996
cri,105.7,1997
cri,108.9,1998
cri,107.1,1999
cri,100.0,2000
cri,98.37,2001
cri,96.88,2002
cri,95.46,2003
cri,91.86,2004
cri,88.33,2005
cri,85.75,2006
cri,84.91,2007
cri,81.71,2008
cri,87.16,2009
civ,202.8,1980
civ,187.1,1981
civ,179.3,1982
civ,190.6,1983
civ,228.6,1984
civ,252.1,1985
civ,259.6,1986
civ,213.3,1987
civ,195.2,1988
civ,165.1,1989
civ,143.1,1990
civ,156.1,1991
civ,162.5,1992
civ,77.42,1993
civ,122.9,1994
civ,122.0,1995
civ,118.5,1996
civ,117.3,1997
civ,116.7,1998
civ,118.2,1999
civ,100.0,2000
civ,108.3,2001
civ,140.3,2002
civ,138.7,2003
civ,130.0,2004
civ,129.9,2005
civ,131.5,2006
civ,137.1,2007
civ,138.0,2008
civ,140.4,2009
cub,100.0,2000
cub,114.0,2001
cub,105.1,2002
cub,121.0,2003
cub,133.3,2004
cub,129.8,2005
cub,164.0,2006
cub,172.6,2007
cub,111.1,2008
dnk,93.24,1980
dnk,90.85,1981
dnk,91.8,1982
dnk,92.54,1983
dnk,91.95,1984
dnk,93.24,1985
dnk,99.39,1986
dnk,102.7,1987
dnk,100.7,1988
dnk,99.84,1989
dnk,101.7,1990
dnk,103.0,1991
dnk,104.0,1992
dnk,104.2,1993
dnk,104.1,1994
dnk,102.1,1995
dnk,102.1,1996
dnk,100.5,1997
dnk,99.3,1998
dnk,99.83,1999
dnk,100.0,2000
dnk,100.7,2001
dnk,100.7,2002
dnk,102.1,2003
dnk,102.6,2004
dnk,103.8,2005
dnk,103.2,2006
dnk,99.92,2007
dnk,102.3,2008
dnk,102.9,2009
dji,100.0,2000
dji,101.2,2001
dji,99.9,2002
dji,96.93,2003
dji,98.73,2004
dji,87.42,2005
dji,86.58,2006
dji,83.7,2007
dji,84.96,2008
dji,76.99,2009
dma,100.0,2000
dma,96.63,2001
dma,100.3,2002
dma,98.88,2003
dma,98.76,2004
dma,94.88,2005
dma,93.23,2006
dma,91.24,2007
dma,86.16,2008
dma,91.88,2009
dom,175.4,1980
dom,181.1,1981
dom,153.3,1982
dom,160.0,1983
dom,140.7,1984
dom,145.5,1985
dom,144.3,1986
dom,136.8,1987
dom,159.0,1988
dom,150.0,1989
dom,96.04,1990
dom,104.3,1991
dom,93.55,1992
dom,88.46,1993
dom,94.34,1994
dom,98.15,1995
dom,96.33,1996
dom,100.0,1997
dom,101.0,1998
dom,102.1,1999
dom,100.0,2000
dom,101.0,2001
dom,101.5,2002
dom,97.93,2003
dom,96.72,2004
dom,95.8,2005
dom,94.88,2006
dom,98.05,2007
dom,93.63,2008
dom,96.79,2009
ecu,213.0,1980
ecu,180.7,1981
ecu,198.7,1982
ecu,208.5,1983
ecu,180.0,1984
ecu,168.8,1985
ecu,109.6,1986
ecu,115.1,1987
ecu,103.8,1988
ecu,115.0,1989
ecu,114.3,1990
ecu,97.78,1991
ecu,94.19,1992
ecu,85.71,1993
ecu,87.76,1994
ecu,80.56,1995
ecu,88.68,1996
ecu,90.48,1997
ecu,81.0,1998
ecu,85.57,1999
ecu,100.0,2000
ecu,84.59,2001
ecu,86.81,2002
ecu,89.77,2003
ecu,91.48,2004
ecu,102.4,2005
ecu,109.9,2006
ecu,113.0,2007
ecu,124.0,2008
ecu,109.7,2009
egy,214.0,1980
egy,220.0,1981
egy,200.0,1982
egy,200.0,1983
egy,190.6,1984
egy,188.5,1985
egy,163.3,1986
egy,117.2,1987
egy,96.0,1988
egy,94.81,1989
egy,101.2,1990
egy,125.0,1991
egy,125.0,1992
egy,123.5,1993
egy,120.0,1994
egy,116.3,1995
egy,111.1,1996
egy,107.1,1997
egy,98.02,1998
egy,96.88,1999
egy,100.0,2000
egy,94.99,2001
egy,92.74,2002
egy,98.1,2003
egy,105.3,2004
egy,123.4,2005
egy,137.0,2006
egy,131.0,2007
egy,144.9,2008
egy,128.1,2009
slv,93.98,1980
slv,74.74,1981
slv,66.99,1982
slv,62.22,1983
slv,59.0,1984
slv,64.77,1985
slv,128.0,1986
slv,88.46,1987
slv,88.46,1988
slv,83.53,1989
slv,84.21,1990
slv,84.29,1991
slv,74.39,1992
slv,77.11,1993
slv,97.65,1994
slv,121.1,1995
slv,114.0,1996
slv,113.7,1997
slv,111.2,1998
slv,105.2,1999
slv,100.0,2000
slv,102.5,2001
slv,101.6,2002
slv,97.69,2003
slv,96.76,2004
slv,96.76,2005
slv,95.46,2006
slv,94.56,2007
slv,91.91,2008
slv,99.13,2009
gnq,37.76,1985
gnq,43.92,1986
gnq,39.69,1987
gnq,40.74,1988
gnq,48.32,1989
gnq,37.66,1990
gnq,34.04,1991
gnq,37.76,1992
gnq,31.6,1993
gnq,36.97,1994
gnq,36.76,1995
gnq,37.35,1996
gnq,36.9,1997
gnq,37.14,1998
gnq,79.0,1999
gnq,100.0,2000
gnq,89.51,2001
gnq,90.87,2002
gnq,101.7,2003
gnq,120.3,2004
gnq,155.3,2005
gnq,176.4,2006
gnq,180.2,2007
gnq,226.2,2008
gnq,150.8,2009
eri,101.7,1995
eri,98.29,1996
eri,100.9,1997
eri,95.28,1998
eri,96.12,1999
eri,100.0,2000
eri,103.3,2001
eri,91.08,2002
eri,91.34,2003
eri,92.12,2004
eri,92.21,2005
eri,91.16,2006
eri,82.3,2007
eri,76.58,2008
eri,73.33,2009
eth,106.2,1993
eth,113.4,1994
eth,151.0,1995
eth,114.8,1996
eth,126.9,1997
eth,150.0,1998
eth,125.0,1999
eth,100.0,2000
eth,91.49,2001
eth,93.5,2002
eth,96.76,2003
eth,102.7,2004
eth,108.0,2005
eth,107.6,2006
eth,111.5,2007
eth,111.5,2008
eth,121.1,2009
fji,135.2,1980
fji,105.4,1981
fji,102.2,1982
fji,117.3,1983
fji,109.7,1984
fji,100.0,1985
fji,145.4,1986
fji,162.3,1987
fji,141.6,1988
fji,100.0,2000
fji,101.6,2001
fji,98.79,2002
fji,96.42,2003
fji,92.45,2004
fji,91.75,2005
fji,99.2,2006
fji,92.06,2007
fji,90.15,2008
fji,109.8,2009
fin,90.93,1980
fin,93.03,1981
fin,88.83,1982
fin,87.83,1983
fin,90.21,1984
fin,89.8,1985
fin,101.0,1986
fin,104.4,1987
fin,110.1,1988
fin,112.1,1989
fin,110.7,1990
fin,108.0,1991
fin,104.8,1992
fin,101.5,1993
fin,103.3,1994
fin,110.6,1995
fin,109.9,1996
fin,106.4,1997
fin,110.3,1998
fin,104.8,1999
fin,100.0,2000
fin,98.39,2001
fin,95.9,2002
fin,92.31,2003
fin,89.62,2004
fin,85.65,2005
fin,82.88,2006
fin,82.95,2007
fin,81.05,2008
fin,83.1,2009
fra,103.2,1990
fra,109.1,1991
fra,109.3,1992
fra,108.4,1993
fra,107.5,1994
fra,106.4,1995
fra,105.1,1996
fra,103.3,1997
fra,104.4,1998
fra,104.9,1999
fra,100.0,2000
fra,101.8,2001
fra,103.6,2002
fra,103.6,2003
fra,104.1,2004
fra,104.0,2005
fra,102.3,2006
fra,101.4,2007
fra,99.78,2008
pyf,100.0,2000
pyf,100.8,2001
pyf,98.7,2002
pyf,95.48,2003
pyf,91.86,2004
pyf,88.69,2005
pyf,88.69,2006
pyf,86.72,2007
pyf,83.24,2008
pyf,90.09,2009
gab,306.2,1980
gab,357.6,1981
gab,331.8,1982
gab,326.7,1983
gab,282.5,1984
gab,228.0,1985
gab,142.1,1986
gab,136.4,1987
gab,139.4,1988
gab,136.8,1989
gab,156.6,1990
gab,142.5,1991
gab,134.5,1992
gab,129.8,1993
gab,118.9,1994
gab,125.4,1995
gab,147.4,1996
gab,146.1,1997
gab,102.9,1998
gab,105.0,1999
gab,100.0,2000
gab,91.93,2001
gab,92.69,2002
gab,101.7,2003
gab,118.3,2004
gab,156.0,2005
gab,178.9,2006
gab,180.7,2007
gab,221.8,2008
gab,155.3,2009
gmb,182.4,1980
gmb,136.5,1981
gmb,128.9,1982
gmb,103.7,1983
gmb,82.46,1984
gmb,85.33,1985
gmb,98.55,1986
gmb,100.0,1987
gmb,100.0,1988
gmb,100.0,1989
gmb,100.0,1990
gmb,100.0,1991
gmb,100.0,1992
gmb,100.0,1993
gmb,100.0,1994
gmb,100.0,1995
gmb,100.0,1996
gmb,100.0,1997
gmb,100.0,1998
gmb,100.0,1999
gmb,100.0,2000
gmb,93.4,2001
gmb,96.43,2002
gmb,101.2,2003
gmb,96.42,2004
gmb,88.66,2005
gmb,82.35,2006
gmb,87.36,2007
gmb,83.43,2008
gmb,85.52,2009
deu,95.72,1980
deu,89.41,1981
deu,92.71,1982
deu,94.29,1983
deu,92.15,1984
deu,93.32,1985
deu,107.4,1986
deu,111.4,1987
deu,111.4,1988
deu,108.3,1989
deu,109.9,1990
deu,107.4,1991
deu,110.0,1992
deu,111.0,1993
deu,107.9,1994
deu,107.5,1995
deu,107.2,1996
deu,104.8,1997
deu,106.7,1998
deu,107.0,1999
deu,100.0,2000
deu,101.9,2001
deu,104.4,2002
deu,107.2,2003
deu,107.2,2004
deu,105.2,2005
deu,102.2,2006
deu,102.8,2007
deu,100.2,2008
deu,105.9,2009
gha,209.5,1980
gha,185.7,1981
gha,125.0,1982
gha,170.4,1983
gha,132.0,1984
gha,123.3,1985
gha,135.4,1986
gha,131.9,1987
gha,125.8,1988
gha,105.7,1989
gha,100.0,1990
gha,102.0,1991
gha,95.1,1992
gha,89.22,1993
gha,94.23,1994
gha,106.7,1995
gha,108.6,1996
gha,114.0,1997
gha,124.2,1998
gha,109.6,1999
gha,100.0,2000
gha,106.9,2001
gha,136.7,2002
gha,136.4,2003
gha,127.0,2004
gha,128.1,2005
gha,132.9,2006
gha,143.1,2007
gha,164.5,2008
gha,178.4,2009
grc,126.4,1980
grc,120.7,1981
grc,113.1,1982
grc,111.7,1983
grc,116.8,1984
grc,115.6,1985
grc,104.6,1986
grc,101.4,1987
grc,101.6,1988
grc,103.2,1989
grc,96.47,1990
grc,93.21,1991
grc,88.11,1992
grc,87.45,1993
grc,87.02,1994
grc,89.65,1995
grc,94.71,1996
grc,94.35,1997
grc,91.15,1998
grc,92.27,1999
grc,100.0,2000
grc,97.62,2001
grc,98.43,2002
grc,97.5,2003
grc,99.31,2004
grc,94.63,2005
grc,95.21,2006
grc,95.57,2007
grc,94.92,2008
grc,90.81,2009
grd,100.0,2000
grd,89.7,2001
grd,91.63,2002
grd,94.99,2003
grd,88.57,2004
grd,81.42,2005
grd,87.33,2006
grd,89.8,2007
grd,92.36,2008
grd,98.37,2009
gum,100.0,2000
gum,100.9,2001
gum,106.3,2002
gum,105.1,2003
gum,104.2,2004
gum,91.66,2005
gum,89.62,2006
gum,87.63,2007
gum,82.32,2008
gum,76.95,2009
gtm,132.9,1980
gtm,119.3,1981
gtm,125.0,1982
gtm,134.6,1983
gtm,101.0,1984
gtm,93.48,1985
gtm,156.6,1986
gtm,90.36,1987
gtm,142.5,1988
gtm,91.95,1989
gtm,115.3,1990
gtm,90.43,1991
gtm,95.96,1992
gtm,98.96,1993
gtm,106.1,1994
gtm,117.9,1995
gtm,103.7,1996
gtm,112.1,1997
gtm,111.3,1998
gtm,103.1,1999
gtm,100.0,2000
gtm,96.75,2001
gtm,95.78,2002
gtm,92.99,2003
gtm,92.14,2004
gtm,91.3,2005
gtm,89.59,2006
gtm,87.93,2007
gtm,85.6,2008
gtm,91.37,2009
gin,136.8,1986
gin,122.3,1987
gin,108.9,1988
gin,120.6,1989
gin,121.6,1990
gin,116.8,1991
gin,93.2,1992
gin,86.08,1993
gin,100.0,1994
gin,89.61,1995
gin,78.18,1996
gin,87.25,1997
gin,80.0,1998
gin,76.92,1999
gin,100.0,2000
gin,93.98,2001
gin,98.68,2002
gin,107.3,2003
gin,139.2,2004
gin,149.4,2005
gin,184.8,2006
gin,181.8,2007
gin,170.7,2008
gin,143.3,2009
gnb,102.7,1995
gnb,101.8,1996
gnb,97.25,1997
gnb,87.25,1998
gnb,98.08,1999
gnb,100.0,2000
