geo,imports_unit_value_index_2000100,time
bdi,172.6,1991
bdi,149.7,1992
bdi,132.5,1993
bdi,151.8,1994
bdi,158.3,1995
bdi,85.91,1996
bdi,82.09,1997
bdi,106.6,1998
bdi,79.84,1999
bdi,100.0,2000
bdi,94.21,2001
bdi,87.51,2002
bdi,105.9,2003
bdi,119.1,2004
bdi,180.6,2005
bdi,291.1,2006
bdi,215.7,2007
bdi,272.0,2008
khm,9.282,1980
khm,9.282,1981
khm,9.282,1982
khm,9.282,1983
khm,9.282,1984
khm,6.188,1985
khm,7.219,1986
khm,7.219,1987
khm,6.549,1988
khm,6.961,1989
khm,8.457,1990
khm,12.63,1991
khm,22.84,1992
khm,24.29,1993
khm,38.36,1994
khm,61.31,1995
khm,55.37,1996
khm,54.97,1997
khm,60.22,1998
khm,82.24,1999
khm,100.0,2000
khm,108.2,2001
khm,121.9,2002
khm,137.8,2003
khm,168.9,2004
khm,202.9,2005
khm,245.3,2006
khm,280.2,2007
khm,332.2,2008
cmr,107.6,1980
cmr,95.85,1981
cmr,81.31,1982
cmr,82.22,1983
cmr,74.69,1984
cmr,77.34,1985
cmr,114.4,1986
cmr,117.7,1987
cmr,85.54,1988
cmr,84.7,1989
cmr,94.03,1990
cmr,78.8,1991
cmr,78.11,1992
cmr,74.0,1993
cmr,72.77,1994
cmr,72.7,1995
cmr,81.17,1996
cmr,100.9,1997
cmr,100.8,1998
cmr,88.68,1999
cmr,100.0,2000
cmr,124.6,2001
cmr,125.9,2002
cmr,145.8,2003
cmr,162.2,2004
cmr,184.4,2005
cmr,212.3,2006
cmr,253.4,2007
cmr,293.9,2008
can,19.34,1980
can,22.1,1981
can,18.72,1982
can,20.69,1983
can,24.9,1984
can,26.96,1985
can,28.48,1986
can,31.3,1987
can,37.85,1988
can,41.6,1989
can,43.06,1990
can,44.26,1991
can,46.76,1992
can,50.49,1993
can,56.33,1994
can,62.68,1995
can,66.19,1996
can,77.85,1997
can,77.09,1998
can,85.01,1999
can,100.0,2000
can,90.38,2001
can,91.39,2002
can,98.71,2003
can,114.1,2004
can,132.1,2005
can,150.1,2006
can,165.7,2007
can,178.5,2008
cpv,29.49,1980
cpv,30.81,1981
cpv,38.18,1982
cpv,41.26,1983
cpv,42.37,1984
cpv,37.44,1985
cpv,46.54,1986
cpv,43.7,1987
cpv,46.18,1988
cpv,48.59,1989
cpv,58.98,1990
cpv,63.77,1991
cpv,78.23,1992
cpv,66.99,1993
cpv,90.89,1994
cpv,109.8,1995
cpv,101.9,1996
cpv,102.4,1997
cpv,99.24,1998
cpv,107.1,1999
cpv,100.0,2000
cpv,101.8,2001
cpv,120.1,2002
cpv,152.7,2003
cpv,187.6,2004
cpv,190.3,2005
cpv,236.2,2006
cpv,324.6,2007
cpv,360.0,2008
caf,69.37,1980
caf,81.04,1981
caf,105.5,1982
caf,57.84,1983
caf,74.37,1984
caf,96.44,1985
caf,142.8,1986
caf,174.6,1987
caf,120.5,1988
caf,128.6,1989
caf,132.0,1990
caf,79.35,1991
caf,124.2,1992
caf,107.3,1993
caf,119.0,1994
caf,148.8,1995
caf,120.8,1996
caf,120.1,1997
caf,125.1,1998
caf,112.0,1999
caf,100.0,2000
caf,92.07,2001
caf,102.6,2002
caf,97.86,2003
caf,129.3,2004
caf,149.3,2005
caf,173.1,2006
caf,192.2,2007
caf,256.4,2008
chl,31.32,1980
chl,38.8,1981
chl,21.55,1982
chl,16.67,1983
chl,19.31,1984
chl,16.6,1985
chl,18.57,1986
chl,23.76,1987
chl,28.59,1988
chl,39.08,1989
chl,41.83,1990
chl,44.35,1991
chl,55.02,1992
chl,60.16,1993
chl,63.87,1994
chl,85.91,1995
chl,103.7,1996
chl,112.5,1997
chl,107.4,1998
chl,86.38,1999
chl,100.0,2000
chl,94.17,2001
chl,92.35,2002
chl,104.4,2003
chl,134.0,2004
chl,176.9,2005
chl,207.5,2006
chl,254.8,2007
chl,334.5,2008
chn,8.859,1980
chn,9.78,1981
chn,8.568,1982
chn,9.503,1983
chn,12.18,1984
chn,18.77,1985
chn,19.06,1986
chn,19.2,1987
chn,24.55,1988
chn,26.27,1989
chn,23.7,1990
chn,28.34,1991
chn,35.8,1992
chn,46.18,1993
chn,51.36,1994
chn,58.68,1995
chn,61.68,1996
chn,63.25,1997
chn,62.3,1998
chn,73.61,1999
chn,100.0,2000
chn,108.2,2001
chn,131.1,2002
chn,183.4,2003
chn,249.3,2004
chn,293.2,2005
chn,351.7,2006
chn,424.6,2007
chn,503.4,2008
col,41.07,1980
col,45.07,1981
col,47.49,1982
col,43.01,1983
col,38.98,1984
