surviving_kids_per_woman,geo,time
2.244,alb,1925
2.158,alb,1926
2.072,alb,1927
1.985,alb,1928
1.899,alb,1929
1.871,alb,1930
1.836,alb,1931
1.796,alb,1932
1.959,alb,1933
2.129,alb,1934
2.303,alb,1935
2.483,alb,1936
2.669,alb,1937
2.794,alb,1938
2.326,alb,1939
2.669,alb,1940
2.439,alb,1941
2.927,alb,1942
3.062,alb,1943
3.2,alb,1944
3.339,alb,1945
3.481,alb,1946
3.561,alb,1947
3.705,alb,1948
3.852,alb,1949
4.0,alb,1950
4.068,alb,1951
4.256,alb,1952
4.356,alb,1953
4.509,alb,1954
4.648,alb,1955
4.763,alb,1956
4.862,alb,1957
4.944,alb,1958
4.999,alb,1959
5.028,alb,1960
5.036,alb,1961
5.025,alb,1962
4.984,alb,1963
4.888,alb,1964
4.825,alb,1965
4.71,alb,1966
4.595,alb,1967
4.534,alb,1968
4.436,alb,1969
4.347,alb,1970
4.266,alb,1971
4.226,alb,1972
4.145,alb,1973
4.064,alb,1974
3.983,alb,1975
3.937,alb,1976
3.865,alb,1977
3.792,alb,1978
3.728,alb,1979
3.706,alb,1980
3.66,alb,1981
3.614,alb,1982
3.606,alb,1983
3.578,alb,1984
3.532,alb,1985
3.493,alb,1986
3.4,alb,1987
3.288,alb,1988
3.148,alb,1989
2.999,alb,1990
2.829,alb,1991
2.69,alb,1992
2.57,alb,1993
2.496,alb,1994
2.422,alb,1995
2.366,alb,1996
2.326,alb,1997
2.26,alb,1998
2.198,alb,1999
2.113,alb,2000
2.03,alb,2001
1.935,alb,2002
1.84,alb,2003
1.764,alb,2004
1.678,alb,2005
1.611,alb,2006
1.563,alb,2007
1.516,alb,2008
1.494,alb,2009
1.475,alb,2010
1.394,alb,2020
1.423,alb,2030
1.616,alb,2050
1.936,alb,2099
4.338,dza,1950
4.332,dza,1951
4.425,dza,1952
4.419,dza,1953
4.517,dza,1954
4.517,dza,1955
4.625,dza,1956
4.632,dza,1957
4.74,dza,1958
4.753,dza,1959
4.867,dza,1960
4.88,dza,1961
4.986,dza,1962
5.099,dza,1963
5.099,dza,1964
5.203,dza,1965
5.203,dza,1966
5.299,dza,1967
5.393,dza,1968
5.4,dza,1969
5.494,dza,1970
5.585,dza,1971
5.577,dza,1972
5.659,dza,1973
5.732,dza,1974
5.708,dza,1975
5.754,dza,1976
5.789,dza,1977
5.725,dza,1978
5.724,dza,1979
5.693,dza,1980
5.57,dza,1981
5.492,dza,1982
5.391,dza,1983
5.267,dza,1984
5.129,dza,1985
4.975,dza,1986
4.757,dza,1987
4.595,dza,1988
4.418,dza,1989
4.204,dza,1990
3.99,dza,1991
3.803,dza,1992
3.568,dza,1993
3.334,dza,1994
3.137,dza,1995
2.919,dza,1996
2.737,dza,1997
2.592,dza,1998
2.495,dza,1999
2.403,dza,2000
2.348,dza,2001
2.33,dza,2002
2.302,dza,2003
2.284,dza,2004
2.273,dza,2005
2.254,dza,2006
2.217,dza,2007
2.189,dza,2008
2.166,dza,2009
2.12,dza,2010
1.793,dza,2020
1.609,dza,2030
1.621,dza,2050
1.928,dza,2099
2.49,ago,1800
2.49,ago,1801
2.491,ago,1802
2.491,ago,1803
2.491,ago,1804
2.491,ago,1805
2.492,ago,1806
2.492,ago,1807
2.492,ago,1808
2.492,ago,1809
2.493,ago,1810
2.493,ago,1811
2.493,ago,1812
2.494,ago,1813
2.494,ago,1814
2.494,ago,1815
2.494,ago,1816
2.495,ago,1817
2.495,ago,1818
2.495,ago,1819
2.495,ago,1820
2.496,ago,1821
2.496,ago,1822
2.496,ago,1823
2.496,ago,1824
2.497,ago,1825
2.497,ago,1826
2.497,ago,1827
2.497,ago,1828
2.498,ago,1829
2.498,ago,1830
2.498,ago,1831
2.498,ago,1832
2.499,ago,1833
2.499,ago,1834
2.499,ago,1835
2.499,ago,1836
2.5,ago,1837
2.5,ago,1838
2.5,ago,1839
2.5,ago,1840
2.501,ago,1841
2.501,ago,1842
2.501,ago,1843
2.502,ago,1844
2.502,ago,1845
2.502,ago,1846
2.502,ago,1847
2.503,ago,1848
2.503,ago,1849
2.503,ago,1850
2.503,ago,1851
2.504,ago,1852
2.504,ago,1853
2.504,ago,1854
2.504,ago,1855
2.505,ago,1856
2.505,ago,1857
2.505,ago,1858
2.505,ago,1859
2.506,ago,1860
2.506,ago,1861
2.506,ago,1862
2.506,ago,1863
2.507,ago,1864
2.507,ago,1865
2.507,ago,1866
2.507,ago,1867
2.508,ago,1868
2.508,ago,1869
2.508,ago,1870
2.509,ago,1871
2.509,ago,1872
2.509,ago,1873
2.509,ago,1874
2.51,ago,1875
2.51,ago,1876
2.51,ago,1877
2.51,ago,1878
2.511,ago,1879
2.511,ago,1880
2.511,ago,1881
2.511,ago,1882
2.512,ago,1883
2.512,ago,1884
2.512,ago,1885
2.512,ago,1886
2.513,ago,1887
2.513,ago,1888
2.513,ago,1889
2.513,ago,1890
2.514,ago,1891
2.514,ago,1892
2.514,ago,1893
2.514,ago,1894
2.515,ago,1895
2.515,ago,1896
2.515,ago,1897
2.515,ago,1898
2.516,ago,1899
2.516,ago,1900
2.516,ago,1901
2.517,ago,1902
2.517,ago,1903
2.517,ago,1904
2.517,ago,1905
2.518,ago,1906
2.518,ago,1907
2.518,ago,1908
2.518,ago,1909
2.519,ago,1910
2.519,ago,1911
2.519,ago,1912
2.519,ago,1913
2.52,ago,1914
2.52,ago,1915
2.52,ago,1916
2.52,ago,1917
2.521,ago,1918
2.521,ago,1919
2.521,ago,1920
2.521,ago,1921
2.522,ago,1922
2.522,ago,1923
2.522,ago,1924
2.522,ago,1925
2.521,ago,1926
2.52,ago,1927
2.519,ago,1928
2.517,ago,1929
2.516,ago,1930
2.515,ago,1931
2.513,ago,1932
2.512,ago,1933
2.511,ago,1934
2.51,ago,1935
2.508,ago,1936
2.507,ago,1937
2.506,ago,1938
2.504,ago,1939
2.503,ago,1940
2.502,ago,1941
2.5,ago,1942
2.613,ago,1943
2.612,ago,1944
2.611,ago,1945
2.609,ago,1946
2.721,ago,1947
2.72,ago,1948
2.719,ago,1949
2.717,ago,1950
2.721,ago,1951
2.85,ago,1952
2.867,ago,1953
2.997,ago,1954
3.014,ago,1955
3.031,ago,1956
3.167,ago,1957
3.185,ago,1958
3.323,ago,1959
3.341,ago,1960
3.355,ago,1961
3.489,ago,1962
3.499,ago,1963
3.625,ago,1964
3.625,ago,1965
3.62,ago,1966
3.725,ago,1967
3.715,ago,1968
3.807,ago,1969
3.787,ago,1970
3.766,ago,1971
3.861,ago,1972
3.85,ago,1973
3.948,ago,1974
3.948,ago,1975
3.948,ago,1976
4.055,ago,1977
4.055,ago,1978
4.061,ago,1979
4.061,ago,1980
4.061,ago,1981
4.061,ago,1982
4.173,ago,1983
4.173,ago,1984
4.173,ago,1985
4.173,ago,1986
4.167,ago,1987
4.161,ago,1988
4.156,ago,1989
4.15,ago,1990
4.132,ago,1991
4.121,ago,1992
4.103,ago,1993
4.189,ago,1994
4.172,ago,1995
4.255,ago,1996
4.231,ago,1997
4.311,ago,1998
4.28,ago,1999
4.346,ago,2000
4.389,ago,2001
4.415,ago,2002
4.335,ago,2003
4.329,ago,2004
4.304,ago,2005
4.194,ago,2006
4.076,ago,2007
4.041,ago,2008
3.929,ago,2009
3.901,ago,2010
3.267,ago,2020
2.678,ago,2030
2.072,ago,2050
1.754,ago,2099
3.104,arg,1800
3.104,arg,1801
3.104,arg,1802
3.104,arg,1803
3.104,arg,1804
3.104,arg,1805
3.104,arg,1806
3.104,arg,1807
3.104,arg,1808
3.104,arg,1809
3.104,arg,1810
3.104,arg,1811
3.104,arg,1812
3.104,arg,1813
3.104,arg,1814
3.104,arg,1815
3.104,arg,1816
3.104,arg,1817
3.104,arg,1818
3.104,arg,1819
3.104,arg,1820
3.104,arg,1821
3.104,arg,1822
3.104,arg,1823
3.104,arg,1824
3.104,arg,1825
3.104,arg,1826
3.104,arg,1827
3.104,arg,1828
3.104,arg,1829
3.104,arg,1830
3.104,arg,1831
3.104,arg,1832
3.104,arg,1833
3.104,arg,1834
3.104,arg,1835
3.104,arg,1836
3.104,arg,1837
3.104,arg,1838
3.104,arg,1839
3.104,arg,1840
3.104,arg,1841
3.104,arg,1842
3.104,arg,1843
3.104,arg,1844
3.104,arg,1845
3.104,arg,1846
3.104,arg,1847
3.104,arg,1848
3.104,arg,1849
3.104,arg,1850
3.104,arg,1851
3.104,arg,1852
3.104,arg,1853
3.104,arg,1854
3.104,arg,1855
3.104,arg,1856
3.104,arg,1857
3.104,arg,1858
3.104,arg,1859
3.104,arg,1860
3.104,arg,1861
3.104,arg,1862
3.104,arg,1863
3.104,arg,1864
3.104,arg,1865
3.104,arg,1866
3.104,arg,1867
3.104,arg,1868
3.104,arg,1869
3.07,arg,1870
3.036,arg,1871
3.003,arg,1872
3.002,arg,1873
3.0,arg,1874
2.999,arg,1875
2.998,arg,1876
2.997,arg,1877
2.995,arg,1878
2.994,arg,1879
2.993,arg,1880
2.992,arg,1881
2.991,arg,1882
2.953,arg,1883
2.915,arg,1884
2.877,arg,1885
2.839,arg,1886
2.801,arg,1887
2.779,arg,1888
2.852,arg,1889
2.83,arg,1890
2.807,arg,1891
2.784,arg,1892
2.958,arg,1893
3.027,arg,1894
3.195,arg,1895
3.06,arg,1896
2.909,arg,1897
2.906,arg,1898
2.996,arg,1899
3.085,arg,1900
3.082,arg,1901
3.17,arg,1902
3.227,arg,1903
3.195,arg,1904
3.248,arg,1905
3.215,arg,1906
3.265,arg,1907
3.301,arg,1908
3.335,arg,1909
3.365,arg,1910
3.316,arg,1911
3.342,arg,1912
3.357,arg,1913
3.446,arg,1914
3.399,arg,1915
3.422,arg,1916
3.443,arg,1917
3.461,arg,1918
3.41,arg,1919
3.424,arg,1920
3.435,arg,1921
3.383,arg,1922
3.39,arg,1923
3.337,arg,1924
3.341,arg,1925
3.287,arg,1926
3.233,arg,1927
3.216,arg,1928
3.145,arg,1929
3.074,arg,1930
3.004,arg,1931
2.933,arg,1932
2.866,arg,1933
2.799,arg,1934
2.733,arg,1935
2.709,arg,1936
2.682,arg,1937
2.718,arg,1938
2.753,arg,1939
2.787,arg,1940
2.82,arg,1941
2.815,arg,1942
2.816,arg,1943
2.779,arg,1944
2.777,arg,1945
2.741,arg,1946
2.704,arg,1947
2.693,arg,1948
2.681,arg,1949
2.637,arg,1950
2.67,arg,1951
2.67,arg,1952
2.693,arg,1953
2.693,arg,1954
2.716,arg,1955
2.716,arg,1956
2.707,arg,1957
2.728,arg,1958
2.728,arg,1959
2.719,arg,1960
2.711,arg,1961
2.702,arg,1962
2.693,arg,1963
2.684,arg,1964
2.676,arg,1965
2.695,arg,1966
2.695,arg,1967
2.695,arg,1968
2.704,arg,1969
2.713,arg,1970
2.767,arg,1971
2.811,arg,1972
2.856,arg,1973
2.938,arg,1974
2.992,arg,1975
3.037,arg,1976
3.083,arg,1977
3.083,arg,1978
3.064,arg,1979
3.028,arg,1980
2.999,arg,1981
2.944,arg,1982
2.898,arg,1983
2.862,arg,1984
2.857,arg,1985
2.838,arg,1986
2.829,arg,1987
2.811,arg,1988
2.792,arg,1989
2.785,arg,1990
2.757,arg,1991
2.72,arg,1992
2.683,arg,1993
2.636,arg,1994
2.598,arg,1995
2.551,arg,1996
2.495,arg,1997
2.438,arg,1998
2.396,arg,1999
2.34,arg,2000
2.293,arg,2001
2.245,arg,2002
2.208,arg,2003
2.192,arg,2004
2.173,arg,2005
2.154,arg,2006
2.135,arg,2007
2.125,arg,2008
2.126,arg,2009
2.107,arg,2010
1.973,arg,2020
1.881,arg,2030
1.796,arg,2050
1.916,arg,2099
3.823,arm,1950
3.813,arm,1951
3.841,arm,1952
3.832,arm,1953
3.832,arm,1954
3.883,arm,1955
3.897,arm,1956
3.959,arm,1957
3.977,arm,1958
4.028,arm,1959
4.021,arm,1960
3.987,arm,1961
3.958,arm,1962
3.853,arm,1963
3.75,arm,1964
3.586,arm,1965
3.445,arm,1966
3.279,arm,1967
3.134,arm,1968
3.04,arm,1969
2.942,arm,1970
2.86,arm,1971
2.803,arm,1972
2.72,arm,1973
2.631,arm,1974
2.538,arm,1975
2.446,arm,1976
2.362,arm,1977
2.292,arm,1978
2.238,arm,1979
2.205,arm,1980
2.194,arm,1981
2.201,arm,1982
2.224,arm,1983
2.239,arm,1984
2.276,arm,1985
2.291,arm,1986
2.318,arm,1987
2.312,arm,1988
2.311,arm,1989
2.287,arm,1990
2.237,arm,1991
2.162,arm,1992
2.068,arm,1993
1.845,arm,1994
1.637,arm,1995
1.637,arm,1996
1.559,arm,1997
1.376,arm,1998
1.294,arm,1999
1.202,arm,2000
1.118,arm,2001
1.304,arm,2002
1.313,arm,2003
1.313,arm,2004
1.313,arm,2005
1.219,arm,2006
1.634,arm,2007
1.641,arm,2008
1.642,arm,2009
1.642,arm,2010
1.659,arm,2020
1.676,arm,2030
1.771,arm,2050
1.957,arm,2099
4.651,abw,1950
4.691,abw,1951
4.696,abw,1952
4.69,abw,1953
4.673,abw,1954
4.652,abw,1955
4.558,abw,1956
4.515,abw,1957
4.46,abw,1958
4.346,abw,1959
4.259,abw,1960
4.118,abw,1961
3.95,abw,1962
3.811,abw,1963
3.624,abw,1964
3.427,abw,1965
3.271,abw,1966
3.082,abw,1967
2.911,abw,1968
2.773,abw,1969
2.646,abw,1970
2.537,abw,1971
2.467,abw,1972
2.394,abw,1973
2.358,abw,1974
2.321,abw,1975
2.284,abw,1976
2.265,abw,1977
2.263,abw,1978
2.245,abw,1979
2.226,abw,1980
2.232,abw,1981
2.213,abw,1982
2.204,abw,1983
2.195,abw,1984
2.185,abw,1985
2.176,abw,1986
2.166,abw,1987
2.148,abw,1988
2.129,abw,1989
2.11,abw,1990
2.094,abw,1991
2.066,abw,1992
2.028,abw,1993
1.991,abw,1994
1.943,abw,1995
1.906,abw,1996
1.868,abw,1997
1.83,abw,1998
1.802,abw,1999
1.764,abw,2000
1.745,abw,2001
1.726,abw,2002
1.708,abw,2003
1.689,abw,2004
1.67,abw,2005
1.67,abw,2006
1.651,abw,2007
1.641,abw,2008
1.622,abw,2009
1.613,abw,2010
1.554,abw,2020
1.615,abw,2030
1.762,abw,2050
1.981,abw,2099
3.07,aus,1800
3.061,aus,1801
3.051,aus,1802
3.042,aus,1803
3.032,aus,1804
3.023,aus,1805
3.013,aus,1806
3.004,aus,1807
2.994,aus,1808
2.985,aus,1809
2.975,aus,1810
2.966,aus,1811
2.956,aus,1812
2.947,aus,1813
2.937,aus,1814
2.928,aus,1815
2.918,aus,1816
2.909,aus,1817
2.899,aus,1818
2.89,aus,1819
2.88,aus,1820
2.871,aus,1821
2.862,aus,1822
2.852,aus,1823
2.843,aus,1824
2.833,aus,1825
2.813,aus,1826
2.793,aus,1827
2.773,aus,1828
2.753,aus,1829
2.733,aus,1830
2.713,aus,1831
2.694,aus,1832
2.674,aus,1833
2.654,aus,1834
2.634,aus,1835
2.614,aus,1836
2.594,aus,1837
2.574,aus,1838
2.554,aus,1839
2.534,aus,1840
2.514,aus,1841
2.494,aus,1842
2.474,aus,1843
2.454,aus,1844
2.434,aus,1845
2.414,aus,1846
2.395,aus,1847
2.375,aus,1848
2.355,aus,1849
2.335,aus,1850
2.366,aus,1851
2.221,aus,1852
2.373,aus,1853
2.297,aus,1854
2.512,aus,1855
2.449,aus,1856
2.657,aus,1857
2.695,aus,1858
2.714,aus,1859
2.695,aus,1860
2.676,aus,1861
2.74,aus,1862
2.638,aus,1863
2.714,aus,1864
2.664,aus,1865
2.518,aus,1866
2.556,aus,1867
2.563,aus,1868
2.449,aus,1869
2.449,aus,1870
2.484,aus,1871
2.425,aus,1872
2.523,aus,1873
2.482,aus,1874
2.495,aus,1875
2.495,aus,1876
2.504,aus,1877
2.533,aus,1878
2.634,aus,1879
2.597,aus,1880
2.668,aus,1881
2.607,aus,1882
2.699,aus,1883
2.761,aus,1884
2.839,aus,1885
2.883,aus,1886
2.9,aus,1887
2.959,aus,1888
2.893,aus,1889
2.984,aus,1890
2.941,aus,1891
2.936,aus,1892
2.858,aus,1893
2.74,aus,1894
2.705,aus,1895
2.578,aus,1896
2.56,aus,1897
2.518,aus,1898
2.527,aus,1899
2.576,aus,1900
2.566,aus,1901
2.565,aus,1902
2.474,aus,1903
2.582,aus,1904
2.606,aus,1905
2.487,aus,1906
2.528,aus,1907
2.528,aus,1908
2.569,aus,1909
2.569,aus,1910
2.733,aus,1911
2.733,aus,1912
2.774,aus,1913
2.774,aus,1914
2.814,aus,1915
2.462,aus,1916
2.496,aus,1917
2.496,aus,1918
2.529,aus,1919
2.562,aus,1920
2.603,aus,1921
2.656,aus,1922
2.548,aus,1923
2.541,aus,1924
2.522,aus,1925
2.435,aus,1926
2.394,aus,1927
2.367,aus,1928
2.253,aus,1929
2.257,aus,1930
2.063,aus,1931
1.933,aus,1932
1.914,aus,1933
1.842,aus,1934
1.849,aus,1935
1.904,aus,1936
1.951,aus,1937
1.948,aus,1938
1.963,aus,1939
1.993,aus,1940
2.089,aus,1941
2.099,aus,1942
2.27,aus,1943
2.37,aus,1944
2.465,aus,1945
2.691,aus,1946
2.797,aus,1947
2.714,aus,1948
2.715,aus,1949
2.789,aus,1950
2.782,aus,1951
2.893,aus,1952
2.929,aus,1953
2.927,aus,1954
3.004,aus,1955
3.054,aus,1956
3.138,aus,1957
3.163,aus,1958
3.155,aus,1959
3.191,aus,1960
3.28,aus,1961
3.172,aus,1962
3.091,aus,1963
2.916,aus,1964
2.749,aus,1965
2.667,aus,1966
2.632,aus,1967
2.668,aus,1968
2.669,aus,1969
2.643,aus,1970
2.723,aus,1971
2.555,aus,1972
2.32,aus,1973
2.162,aus,1974
2.014,aus,1975
1.932,aus,1976
1.882,aus,1977
1.839,aus,1978
1.799,aus,1979
1.794,aus,1980
1.836,aus,1981
1.83,aus,1982
1.834,aus,1983
1.754,aus,1984
1.824,aus,1985
1.781,aus,1986
1.759,aus,1987
1.746,aus,1988
1.752,aus,1989
1.821,aus,1990
1.778,aus,1991
1.815,aus,1992
1.787,aus,1993
1.771,aus,1994
1.752,aus,1995
1.733,aus,1996
1.715,aus,1997
1.7,aus,1998
1.699,aus,1999
1.7,aus,2000
1.674,aus,2001
1.7,aus,2002
1.697,aus,2003
1.712,aus,2004
1.739,aus,2005
1.769,aus,2006
1.769,aus,2007
1.782,aus,2008
1.889,aus,2009
1.899,aus,2010
1.933,aus,2020
1.967,aus,2030
2.015,aus,2050
2.071,aus,2099
2.408,aut,1800
2.408,aut,1801
2.408,aut,1802
2.408,aut,1803
2.408,aut,1804
2.408,aut,1805
2.408,aut,1806
2.408,aut,1807
2.408,aut,1808
2.408,aut,1809
2.408,aut,1810
2.408,aut,1811
2.408,aut,1812
2.408,aut,1813
2.408,aut,1814
2.408,aut,1815
2.408,aut,1816
2.408,aut,1817
2.408,aut,1818
2.408,aut,1819
2.408,aut,1820
2.408,aut,1821
2.408,aut,1822
2.408,aut,1823
2.408,aut,1824
2.408,aut,1825
2.408,aut,1826
2.408,aut,1827
2.408,aut,1828
2.408,aut,1829
2.408,aut,1830
2.408,aut,1831
2.408,aut,1832
2.408,aut,1833
2.408,aut,1834
2.408,aut,1835
2.408,aut,1836
2.408,aut,1837
2.408,aut,1838
2.408,aut,1839
2.408,aut,1840
2.408,aut,1841
2.408,aut,1842
2.408,aut,1843
2.408,aut,1844
2.408,aut,1845
2.408,aut,1846
2.408,aut,1847
2.408,aut,1848
2.408,aut,1849
2.408,aut,1850
2.408,aut,1851
2.408,aut,1852
2.408,aut,1853
2.408,aut,1854
2.408,aut,1855
2.408,aut,1856
2.408,aut,1857
2.408,aut,1858
2.408,aut,1859
2.408,aut,1860
2.389,aut,1861
2.369,aut,1862
2.35,aut,1863
2.33,aut,1864
2.311,aut,1865
2.291,aut,1866
2.272,aut,1867
2.252,aut,1868
2.233,aut,1869
2.214,aut,1870
2.194,aut,1871
2.318,aut,1872
2.357,aut,1873
2.341,aut,1874
2.349,aut,1875
2.399,aut,1876
2.305,aut,1877
2.248,aut,1878
2.251,aut,1879
2.256,aut,1880
2.218,aut,1881
2.224,aut,1882
2.201,aut,1883
2.305,aut,1884
2.261,aut,1885
2.268,aut,1886
2.258,aut,1887
2.299,aut,1888
2.303,aut,1889
2.199,aut,1890
2.323,aut,1891
2.302,aut,1892
2.328,aut,1893
2.381,aut,1894
2.418,aut,1895
2.481,aut,1896
2.443,aut,1897
2.517,aut,1898
2.517,aut,1899
2.567,aut,1900
2.574,aut,1901
2.515,aut,1902
2.328,aut,1903
2.412,aut,1904
2.308,aut,1905
2.378,aut,1906
2.367,aut,1907
2.33,aut,1908
2.362,aut,1909
2.294,aut,1910
2.225,aut,1911
2.278,aut,1912
2.167,aut,1913
2.127,aut,1914
2.04,aut,1915
1.993,aut,1916
1.942,aut,1917
1.852,aut,1918
1.795,aut,1919
2.209,aut,1920
2.301,aut,1921
2.29,aut,1922
2.262,aut,1923
2.183,aut,1924
2.116,aut,1925
2.009,aut,1926
1.868,aut,1927
1.861,aut,1928
1.781,aut,1929
1.807,aut,1930
1.705,aut,1931
1.66,aut,1932
1.559,aut,1933
1.48,aut,1934
1.453,aut,1935
1.446,aut,1936
1.235,aut,1937
1.56,aut,1938
2.326,aut,1939
2.193,aut,1940
2.06,aut,1941
1.953,aut,1942
1.818,aut,1943
1.684,aut,1944
1.569,aut,1945
1.571,aut,1946
1.573,aut,1947
1.614,aut,1948
1.616,aut,1949
1.655,aut,1950
1.697,aut,1951
1.816,aut,1952
1.899,aut,1953
1.98,aut,1954
2.079,aut,1955
2.157,aut,1956
2.212,aut,1957
2.304,aut,1958
2.368,aut,1959
2.446,aut,1960
2.511,aut,1961
2.54,aut,1962
2.551,aut,1963
2.542,aut,1964
2.476,aut,1965
2.44,aut,1966
2.402,aut,1967
2.37,aut,1968
2.28,aut,1969
2.101,aut,1970
2.017,aut,1971
1.927,aut,1972
1.79,aut,1973
1.762,aut,1974
1.688,aut,1975
1.572,aut,1976
1.518,aut,1977
1.494,aut,1978
1.498,aut,1979
1.549,aut,1980
1.569,aut,1981
1.558,aut,1982
1.462,aut,1983
1.436,aut,1984
1.391,aut,1985
1.367,aut,1986
1.358,aut,1987
1.373,aut,1988
1.378,aut,1989
1.39,aut,1990
1.437,aut,1991
1.435,aut,1992
1.431,aut,1993
1.403,aut,1994
1.363,aut,1995
1.384,aut,1996
1.338,aut,1997
1.317,aut,1998
1.288,aut,1999
1.311,aut,2000
1.282,aut,2001
1.345,aut,2002
1.329,aut,2003
1.369,aut,2004
1.362,aut,2005
1.36,aut,2006
1.335,aut,2007
1.345,aut,2008
1.33,aut,2009
1.32,aut,2010
1.353,aut,2020
1.503,aut,2030
1.726,aut,2050
1.989,aut,2099
4.458,aze,1950
4.418,aze,1951
4.418,aze,1952
4.362,aze,1953
4.398,aze,1954
4.382,aze,1955
4.39,aze,1956
4.474,aze,1957
4.515,aze,1958
4.615,aze,1959
4.649,aze,1960
4.674,aze,1961
4.723,aze,1962
4.69,aze,1963
4.677,aze,1964
4.575,aze,1965
4.455,aze,1966
4.376,aze,1967
4.238,aze,1968
4.153,aze,1969
4.031,aze,1970
3.917,aze,1971
3.804,aze,1972
3.729,aze,1973
3.605,aze,1974
3.454,aze,1975
3.332,aze,1976
3.218,aze,1977
3.095,aze,1978
2.982,aze,1979
2.877,aze,1980
2.781,aze,1981
2.702,aze,1982
2.649,aze,1983
2.606,aze,1984
2.607,aze,1985
2.607,aze,1986
2.607,aze,1987
2.616,aze,1988
2.597,aze,1989
2.597,aze,1990
2.571,aze,1991
2.491,aze,1992
2.422,aze,1993
2.327,aze,1994
2.239,aze,1995
2.125,aze,1996
2.032,aze,1997
1.935,aze,1998
1.856,aze,1999
1.821,aze,2000
1.794,aze,2001
1.802,aze,2002
1.811,aze,2003
1.846,aze,2004
1.873,aze,2005
1.901,aze,2006
1.945,aze,2007
1.963,aze,2008
1.981,aze,2009
1.997,aze,2010
