geo,children_per_woman_total_fertility_with_projections,time
ago,6.942,1817
ago,6.943,1818
ago,6.944,1819
ago,6.944,1820
ago,6.945,1821
ago,6.946,1822
ago,6.947,1823
ago,6.947,1824
ago,6.948,1825
ago,6.949,1826
ago,6.949,1827
ago,6.95,1828
ago,6.951,1829
ago,6.952,1830
ago,6.952,1831
ago,6.953,1832
ago,6.954,1833
ago,6.954,1834
ago,6.955,1835
ago,6.956,1836
ago,6.957,1837
ago,6.957,1838
ago,6.958,1839
ago,6.959,1840
ago,6.96,1841
ago,6.96,1842
ago,6.961,1843
ago,6.962,1844
ago,6.962,1845
ago,6.963,1846
ago,6.964,1847
ago,6.965,1848
ago,6.965,1849
ago,6.966,1850
ago,6.967,1851
ago,6.967,1852
ago,6.968,1853
ago,6.969,1854
ago,6.97,1855
ago,6.97,1856
ago,6.971,1857
ago,6.972,1858
ago,6.972,1859
ago,6.973,1860
ago,6.974,1861
ago,6.975,1862
ago,6.975,1863
ago,6.976,1864
ago,6.977,1865
ago,6.978,1866
ago,6.978,1867
ago,6.979,1868
ago,6.98,1869
ago,6.98,1870
ago,6.981,1871
ago,6.982,1872
ago,6.983,1873
ago,6.983,1874
ago,6.984,1875
ago,6.985,1876
ago,6.985,1877
ago,6.986,1878
ago,6.987,1879
ago,6.988,1880
ago,6.988,1881
ago,6.989,1882
ago,6.99,1883
ago,6.99,1884
ago,6.991,1885
ago,6.992,1886
ago,6.993,1887
ago,6.993,1888
ago,6.994,1889
ago,6.995,1890
ago,6.996,1891
ago,6.996,1892
ago,6.997,1893
ago,6.998,1894
ago,6.998,1895
ago,6.999,1896
ago,7.0,1897
ago,7.001,1898
ago,7.001,1899
ago,7.002,1900
ago,7.003,1901
ago,7.003,1902
ago,7.004,1903
ago,7.005,1904
ago,7.006,1905
ago,7.006,1906
ago,7.007,1907
ago,7.008,1908
ago,7.008,1909
ago,7.009,1910
ago,7.01,1911
ago,7.011,1912
ago,7.011,1913
ago,7.012,1914
ago,7.013,1915
ago,7.014,1916
ago,7.014,1917
ago,7.015,1918
ago,7.016,1919
ago,7.016,1920
ago,7.017,1921
ago,7.018,1922
ago,7.019,1923
ago,7.019,1924
ago,7.02,1925
ago,7.016,1926
ago,7.012,1927
ago,7.009,1928
ago,7.005,1929
ago,7.001,1930
ago,6.997,1931
ago,6.993,1932
ago,6.99,1933
ago,6.986,1934
ago,6.982,1935
ago,6.978,1936
ago,6.974,1937
ago,6.971,1938
ago,6.967,1939
ago,6.963,1940
ago,6.959,1941
ago,6.955,1942
ago,6.952,1943
ago,6.948,1944
ago,6.944,1945
ago,6.94,1946
ago,6.936,1947
ago,6.933,1948
ago,6.929,1949
ago,6.925,1950
ago,6.943,1951
ago,6.98,1952
ago,7.018,1953
ago,7.058,1954
ago,7.099,1955
ago,7.142,1956
ago,7.187,1957
ago,7.231,1958
ago,7.275,1959
ago,7.316,1960
ago,7.354,1961
ago,7.385,1962
ago,7.41,1963
ago,7.425,1964
ago,7.43,1965
ago,7.422,1966
ago,7.403,1967
ago,7.375,1968
ago,7.339,1969
ago,7.301,1970
ago,7.264,1971
ago,7.232,1972
ago,7.208,1973
ago,7.192,1974
ago,7.185,1975
