geo,females_aged_55plus_unemployment_rate_percent,time
nld,5.9,1990
nld,4.5,1991
nld,5.3,1992
nld,4.1,1993
nld,5.3,1994
nld,4.4,1995
nld,4.7,1996
nld,4.2,1997
nld,4.4,1998
nld,3.7,1999
nld,1.8,2000
nld,1.8,2001
nld,2.4,2002
nld,2.9,2003
nld,3.3,2004
nld,4.0,2005
nzl,1.8,1986
nzl,1.5,1987
nzl,2.6,1988
nzl,3.2,1989
nzl,3.8,1990
nzl,3.0,1991
nzl,4.1,1992
nzl,3.6,1993
nzl,3.3,1994
nzl,2.5,1995
nzl,2.6,1996
nzl,2.8,1997
nzl,3.9,1998
nzl,3.8,1999
nzl,3.3,2000
nzl,2.6,2001
nzl,3.0,2002
nzl,3.4,2003
nzl,2.4,2004
nzl,1.9,2005
nor,0.7,1981
nor,0.7,1982
nor,1.4,1983
nor,1.4,1984
nor,0.7,1985
nor,0.7,1986
nor,0.7,1987
nor,1.4,1988
nor,1.5,1989
nor,1.5,1990
nor,2.3,1991
nor,1.6,1992
nor,1.7,1993
nor,1.6,1994
nor,1.6,1995
nor,1.6,1996
nor,1.5,1997
nor,1.5,1998
nor,1.4,1999
nor,1.3,2000
nor,1.2,2001
nor,1.1,2002
nor,1.1,2003
nor,1.1,2004
nor,1.6,2005
phl,6.9,1986
phl,7.0,1987
phl,6.1,1988
phl,6.1,1989
phl,5.7,1990
phl,7.1,1991
phl,4.6,1992
phl,4.1,1993
phl,4.5,1994
phl,4.6,1995
phl,4.3,1996
phl,5.2,1997
phl,4.7,1998
phl,4.3,1999
phl,4.7,2000
phl,4.5,2001
phl,4.9,2002
phl,5.2,2003
phl,5.4,2004
phl,1.4,2005
pol,4.9,1993
pol,5.1,1994
pol,4.0,1995
pol,4.0,1996
pol,3.8,1997
pol,4.4,1998
pol,7.7,1999
pol,8.1,2000
pol,7.0,2001
pol,7.8,2002
pol,8.1,2003
pol,7.8,2004
pol,7.5,2005
prt,2.1,1983
prt,1.5,1984
prt,1.9,1985
prt,1.9,1986
prt,1.5,1987
prt,1.1,1988
prt,1.0,1989
prt,1.3,1990
prt,1.5,1991
prt,0.8,1992
prt,1.7,1993
prt,1.9,1994
prt,2.1,1995
prt,2.6,1996
prt,2.4,1997
prt,1.9,1998
prt,1.3,1999
prt,1.8,2000
prt,2.0,2001
prt,2.4,2002
prt,2.6,2003
prt,3.5,2004
prt,3.6,2005
rou,0.8,1994
rou,0.7,1995
rou,0.6,1996
rou,0.5,1997
rou,0.2,1998
rou,0.4,1999
rou,0.4,2000
rou,0.4,2001
rou,0.5,2002
rou,0.9,2003
rou,1.4,2004
rou,1.2,2005
sgp,2.2,1981
sgp,0.7,1982
sgp,0.6,1983
sgp,1.2,1984
sgp,0.6,1985
sgp,3.2,1986
sgp,1.9,1987
sgp,0.6,1988
sgp,0.5,1989
sgp,0.5,1990
sgp,0.9,1991
sgp,0.8,1992
sgp,0.8,1993
sgp,1.1,1994
sgp,1.0,1995
sgp,1.4,1996
sgp,1.0,1997
sgp,2.0,1998
sgp,3.8,1999
sgp,2.3,2001
sgp,3.8,2002
sgp,3.1,2003
sgp,3.5,2004
svk,5.9,1997
svk,7.8,1998
svk,7.8,1999
svk,10.0,2000
svk,10.9,2001
svk,14.8,2002
svk,9.7,2003
svk,14.7,2004
svn,4.2,1993
svn,4.2,1994
svn,4.2,1995
svn,4.0,1996
svn,3.0,1997
svn,0.0,1998
svn,0.0,1999
svn,0.0,2000
svn,6.9,2001
svn,0.0,2002
svn,0.0,2003
svn,0.0,2004
svn,0.0,2005
esp,1.9,1981
esp,2.4,1982
esp,2.4,1983
esp,3.7,1984
esp,4.6,1985
esp,5.4,1986
esp,5.9,1987
esp,6.1,1988
esp,5.8,1989
esp,6.4,1990
esp,6.4,1991
esp,7.8,1992
esp,8.1,1993
esp,9.3,1994
esp,10.6,1995
esp,11.3,1996
esp,12.3,1997
esp,11.4,1998
esp,10.2,1999
esp,10.8,2000
esp,8.0,2001
esp,9.5,2002
esp,9.0,2003
esp,9.0,2004
esp,7.2,2005
swe,1.7,1981
swe,3.1,1982
swe,3.8,1983
swe,5.2,1984
swe,4.6,1985
swe,3.8,1986
swe,2.1,1987
swe,1.7,1988
swe,1.4,1989
swe,1.8,1990
swe,2.1,1991
swe,2.9,1992
swe,4.4,1993
swe,5.2,1994
swe,6.5,1995
swe,7.0,1996
swe,6.6,1997
swe,5.1,1998
swe,6.1,1999
swe,5.4,2000
swe,4.5,2001
swe,4.0,2002
swe,3.8,2003
swe,3.9,2004
swe,3.4,2005
che,0.4,1991
che,2.2,1992
che,2.7,1993
che,2.7,1994
che,1.4,1995
che,3.0,1996
che,2.7,1997
che,1.7,1998
che,2.5,1999
che,2.1,2000
che,1.9,2001
che,1.5,2002
che,2.2,2003
che,2.9,2004
che,3.1,2005
tur,1.2,1989
tur,0.6,1990
tur,0.3,1991
tur,0.5,1992
tur,0.5,1993
tur,0.3,1994
tur,0.3,1995
tur,0.4,1996
tur,0.6,1997
tur,0.5,1998
tur,0.2,1999
tur,0.3,2000
tur,0.4,2001
tur,1.0,2002
tur,0.9,2003
tur,0.5,2004
tur,0.4,2005
gbr,1.8,2001
gbr,2.2,2002
gbr,2.0,2003
gbr,2.0,2004
gbr,1.7,2005
usa,3.8,1981
usa,4.8,1982
usa,4.7,1983
usa,4.2,1984
usa,4.1,1985
usa,3.6,1986
usa,3.0,1987
usa,2.8,1988
usa,2.9,1989
usa,2.8,1990
usa,3.4,1991
usa,4.2,1992
usa,3.8,1993
usa,3.9,1994
usa,3.6,1995
usa,3.5,1996
usa,2.9,1997
usa,2.6,1998
usa,2.8,1999
usa,2.6,2000
usa,2.7,2001
usa,3.6,2002
usa,3.7,2003
usa,3.6,2004
usa,3.4,2005
