roads_paved_percent_of_total_roads,geo,time
21.8,eri,1999
21.8,eri,2000
21.8,eri,2001
51.8,est,1990
52.4,est,1991
54.4,est,1992
54.5,est,1993
50.3,est,1994
54.0,est,1995
53.2,est,1996
50.8,est,1997
22.1,est,1998
21.3,est,1999
20.1,est,2000
19.7,est,2001
24.8,est,2002
23.4,est,2003
22.14,est,2004
22.67,est,2005
28.6,est,2007
15.0,eth,1990
15.0,eth,1991
15.0,eth,1992
15.0,eth,1993
15.0,eth,1994
15.5,eth,1995
15.3,eth,1996
15.3,eth,1997
14.0,eth,1998
13.3,eth,1999
12.0,eth,2000
12.0,eth,2001
12.0,eth,2002
12.9,eth,2003
19.14,eth,2004
11.05,eth,2005
11.63,eth,2006
13.67,eth,2007
44.5,fji,1990
45.4,fji,1991
46.3,fji,1992
47.2,fji,1993
48.2,fji,1994
49.1,fji,1995
49.2,fji,1996
49.2,fji,1997
49.2,fji,1998
49.2,fji,1999
49.2,fji,2000
49.2,fji,2001
61.0,fin,1990
61.0,fin,1991
62.0,fin,1992
62.0,fin,1993
63.0,fin,1994
63.0,fin,1995
64.0,fin,1996
64.0,fin,1997
64.0,fin,1998
64.5,fin,1999
62.0,fin,2000
64.0,fin,2001
64.0,fin,2002
64.6,fin,2003
64.7,fin,2004
65.04,fin,2005
65.28,fin,2006
65.36,fin,2007
65.47,fin,2008
100.0,fra,1996
100.0,fra,1997
100.0,fra,1998
100.0,fra,1999
100.0,fra,2000
100.0,fra,2001
100.0,fra,2002
100.0,fra,2003
100.0,fra,2004
100.0,fra,2005
100.0,fra,2006
100.0,fra,2007
100.0,fra,2008
100.0,fra,2009
8.2,gab,1990
8.2,gab,1991
8.2,gab,1992
8.2,gab,1993
8.2,gab,1994
8.2,gab,1995
9.9,gab,1996
9.9,gab,1997
9.9,gab,1998
9.9,gab,1999
9.9,gab,2000
10.21,gab,2004
11.97,gab,2007
19.32,gmb,2003
19.32,gmb,2004
93.8,geo,1990
93.8,geo,1991
93.8,geo,1992
93.6,geo,1993
93.5,geo,1994
93.5,geo,1995
93.5,geo,1996
93.7,geo,1997
93.4,geo,1998
94.07,geo,2006
94.07,geo,2007
99.0,deu,1990
99.0,deu,1991
99.0,deu,1992
99.0,deu,1993
99.0,deu,1994
99.0,deu,1995
99.1,deu,1996
100.0,deu,2003
19.6,gha,1990
23.0,gha,1991
23.5,gha,1992
23.9,gha,1993
24.4,gha,1994
24.9,gha,1995
24.1,gha,1996
29.6,gha,1999
29.6,gha,2000
18.4,gha,2001
17.92,gha,2003
14.93,gha,2005
16.15,gha,2008
12.59,gha,2009
91.7,grc,1990
91.7,grc,1991
91.7,grc,1992
91.7,grc,1993
91.7,grc,1994
91.7,grc,1995
91.8,grc,1996
91.8,grc,1997
91.8,grc,1998
91.8,grc,1999
91.8,grc,2000
55.4,grd,1990
56.5,grd,1991
57.7,grd,1992
58.8,grd,1993
60.0,grd,1994
61.2,grd,1995
61.3,grd,1996
61.3,grd,1997
61.3,grd,1998
60.96,grd,1999
60.96,grd,2000
60.96,grd,2001
24.9,gtm,1990
25.4,gtm,1991
25.9,gtm,1992
26.4,gtm,1993
26.9,gtm,1994
26.0,gtm,1995
25.8,gtm,1996
26.4,gtm,1997
31.0,gtm,1998
34.5,gtm,1999
34.5,gtm,2000
34.5,gtm,2001
15.2,gin,1990
15.2,gin,1991
15.5,gin,1992
15.8,gin,1993
16.1,gin,1994
16.4,gin,1995
16.5,gin,1996
16.5,gin,1997
16.5,gin,1998
16.5,gin,1999
16.5,gin,2000
9.79,gin,2003
8.3,gnb,1990
8.7,gnb,1991
9.1,gnb,1992
9.4,gnb,1993
9.8,gnb,1994
10.2,gnb,1995
10.3,gnb,1996
10.3,gnb,1997
10.3,gnb,1998
27.94,gnb,2002
6.6,guy,1990
6.8,guy,1991
6.9,guy,1992
7.0,guy,1993
7.2,guy,1994
7.3,guy,1995
7.4,guy,1996
7.4,guy,1997
7.4,guy,1998
7.4,guy,1999
7.4,guy,2000
7.4,guy,2001
21.9,hti,1990
22.4,hti,1991
22.8,hti,1992
23.3,hti,1993
23.8,hti,1994
24.2,hti,1995
24.3,hti,1996
24.3,hti,1997
24.3,hti,1998
24.3,hti,1999
24.3,hti,2000
24.3,hti,2001
21.1,hnd,1990
21.5,hnd,1991
19.0,hnd,1992
19.4,hnd,1993
19.8,hnd,1994
20.4,hnd,1995
20.4,hnd,1996
20.4,hnd,1997
20.4,hnd,1998
20.4,hnd,1999
20.4,hnd,2000
20.4,hnd,2001
100.0,hkg,1990
100.0,hkg,1991
100.0,hkg,1992
100.0,hkg,1993
100.0,hkg,1994
100.0,hkg,1995
100.0,hkg,1996
100.0,hkg,1999
100.0,hkg,2003
100.0,hkg,2004
100.0,hkg,2005
100.0,hkg,2006
100.0,hkg,2007
100.0,hkg,2008
100.0,hkg,2009
44.1,hun,1992
44.1,hun,1993
44.1,hun,1994
44.1,hun,1995
43.1,hun,1996
43.4,hun,1997
43.4,hun,1998
43.7,hun,2001
43.9,hun,2002
43.9,hun,2003
38.04,hun,2006
37.72,hun,2007
37.65,hun,2008
37.97,hun,2009
19.9,isl,1990
20.8,isl,1991
22.1,isl,1992
23.7,isl,1993
24.7,isl,1994
24.8,isl,1995
25.9,isl,1996
25.7,isl,1997
27.1,isl,1998
28.1,isl,1999
29.5,isl,2000
30.6,isl,2001
31.5,isl,2002
34.4,isl,2004
35.39,isl,2005
35.86,isl,2006
36.64,isl,2007
37.34,isl,2008
38.41,isl,2009
47.3,ind,1991
51.9,ind,1992
54.4,ind,1993
54.9,ind,1994
55.4,ind,1995
54.7,ind,1996
56.5,ind,1997
57.0,ind,1998
46.67,ind,1999
47.46,ind,2000
47.74,ind,2001
47.4,ind,2002
48.62,ind,2004
46.99,ind,2005
47.72,ind,2006
48.24,ind,2007
49.54,ind,2008
45.1,idn,1990
45.3,idn,1991
53.6,idn,1992
53.8,idn,1993
53.8,idn,1994
52.4,idn,1995
46.3,idn,1996
56.4,idn,1997
47.3,idn,1998
46.3,idn,1999
57.1,idn,2000
58.9,idn,2001
58.0,idn,2002
58.33,idn,2003
55.32,idn,2004
55.42,idn,2005
53.01,idn,2006
60.86,idn,2007
59.11,idn,2008
56.94,idn,2009
47.2,irn,1994
49.9,irn,1995
52.1,irn,1996
56.8,irn,1997
56.3,irn,1998
64.8,irn,2001
66.3,irn,2002
67.36,irn,2003
71.02,irn,2005
73.3,irn,2006
77.9,irq,1990
79.4,irq,1991
81.0,irq,1992
82.6,irq,1993
84.3,irq,1994
86.0,irq,1995
86.0,irq,1996
84.3,irq,1998
84.3,irq,1999
84.3,irq,2000
84.3,irq,2001
94.0,irl,1990
94.0,irl,1991
94.0,irl,1992
94.0,irl,1993
94.0,irl,1994
94.0,irl,1995
94.1,irl,1996
94.1,irl,1997
100.0,irl,1998
100.0,irl,1999
100.0,irl,2000
100.0,irl,2001
100.0,irl,2002
100.0,irl,2003
100.0,irl,2007
100.0,irl,2008
100.0,isr,1990
100.0,isr,1991
100.0,isr,1992
100.0,isr,1993
100.0,isr,1994
100.0,isr,1995
100.0,isr,1996
100.0,isr,1997
100.0,isr,1998
100.0,isr,1999
100.0,isr,2000
100.0,isr,2002
100.0,isr,2003
100.0,isr,2004
100.0,isr,2005
100.0,isr,2006
100.0,isr,2007
100.0,isr,2008
100.0,isr,2009
100.0,ita,1990
100.0,ita,1991
100.0,ita,1992
100.0,ita,1993
100.0,ita,1994
100.0,ita,1995
100.0,ita,1996
100.0,ita,1997
100.0,ita,1998
100.0,ita,1999
100.0,ita,2000
100.0,ita,2003
64.0,jam,1990
65.2,jam,1991
66.5,jam,1992
67.9,jam,1993
69.2,jam,1994
70.6,jam,1995
70.7,jam,1996
70.1,jam,1998
70.1,jam,1999
70.1,jam,2000
73.25,jam,2003
73.28,jam,2004
73.28,jam,2005
69.2,jpn,1990
70.1,jpn,1991
71.1,jpn,1992
72.1,jpn,1993
73.0,jpn,1994
73.6,jpn,1995
74.3,jpn,1996
74.9,jpn,1997
76.0,jpn,1998
76.1,jpn,1999
76.6,jpn,2000
77.1,jpn,2001
77.7,jpn,2002
78.22,jpn,2003
79.0,jpn,2005
79.29,jpn,2006
79.6,jpn,2007
79.86,jpn,2008
80.11,jpn,2009
100.0,jor,1990
100.0,jor,1991
100.0,jor,1992
100.0,jor,1993
100.0,jor,1994
100.0,jor,1995
100.0,jor,1996
100.0,jor,1999
100.0,jor,2003
100.0,jor,2004
100.0,jor,2005
100.0,jor,2006
100.0,jor,2007
100.0,jor,2008
100.0,jor,2009
55.1,kaz,1990
68.7,kaz,1991
70.6,kaz,1992
70.4,kaz,1993
73.5,kaz,1994
76.3,kaz,1995
80.5,kaz,1996
82.8,kaz,1997
86.5,kaz,1998
93.97,kaz,2003
93.43,kaz,2004
91.16,kaz,2005
91.43,kaz,2006
90.26,kaz,2007
89.88,kaz,2008
88.49,kaz,2009
12.8,ken,1990
13.3,ken,1991
13.8,ken,1992
14.3,ken,1993
13.6,ken,1994
13.8,ken,1995
12.1,ken,1996
12.1,ken,1997
12.1,ken,1998
12.1,ken,1999
12.1,ken,2000
14.12,ken,2004
14.59,ken,2008
14.33,ken,2009
5.7,prk,1990
5.8,prk,1991
6.0,prk,1992
6.1,prk,1993
6.2,prk,1994
6.3,prk,1995
6.4,prk,1996
6.4,prk,1997
6.4,prk,1998
6.4,prk,1999
6.4,prk,2000
2.833,prk,2006
71.5,kor,1990
76.4,kor,1991
80.8,kor,1992
84.7,kor,1993
77.8,kor,1994
76.0,kor,1995
72.7,kor,1996
74.0,kor,1997
74.5,kor,1998
74.5,kor,1999
74.5,kor,2000
76.7,kor,2001
76.7,kor,2002
76.89,kor,2003
86.76,kor,2004
76.82,kor,2005
77.5,kor,2006
78.3,kor,2007
78.51,kor,2008
79.25,kor,2009
72.9,kwt,1990
74.4,kwt,1991
75.9,kwt,1992
77.4,kwt,1993
78.9,kwt,1994
80.5,kwt,1995
80.6,kwt,1996
80.6,kwt,1997
80.6,kwt,1998
80.6,kwt,1999
80.6,kwt,2000
84.4,kwt,2003
85.0,kwt,2004
90.0,kgz,1990
90.0,kgz,1991
91.0,kgz,1992
91.0,kgz,1993
91.0,kgz,1994
91.0,kgz,1995
91.1,kgz,1996
91.1,kgz,1997
91.1,kgz,1998
91.1,kgz,1999
91.1,kgz,2000
91.1,kgz,2001
24.0,lao,1990
16.0,lao,1991
16.0,lao,1992
16.0,lao,1993
16.0,lao,1994
13.8,lao,1995
14.07,lao,2002
14.41,lao,2003
13.4,lao,2005
12.9,lao,2006
13.06,lao,2007
13.54,lao,2008
13.68,lao,2009
100.0,lva,2002
100.0,lva,2003
20.42,lva,2008
20.91,lva,2009
95.0,lbn,1990
95.0,lbn,1991
95.0,lbn,1992
95.0,lbn,1993
95.0,lbn,1994
95.0,lbn,1995
95.0,lbn,1996
84.9,lbn,1999
18.0,lso,1990
17.0,lso,1991
16.0,lso,1992
15.0,lso,1993
15.0,lso,1994
17.9,lso,1995
17.9,lso,1996
16.8,lso,1997
17.3,lso,1998
18.3,lso,1999
18.3,lso,2000
18.3,lso,2001
5.5,lbr,1990
5.6,lbr,1991
5.7,lbr,1992
5.9,lbr,1993
6.0,lbr,1994
6.1,lbr,1995
6.2,lbr,1996
6.2,lbr,1997
6.2,lbr,1998
6.2,lbr,1999
6.2,lbr,2000
6.2,lbr,2001
51.7,lby,1990
52.7,lby,1991
53.8,lby,1992
54.9,lby,1993
56.0,lby,1994
57.1,lby,1995
57.2,lby,1999
57.2,lby,2000
57.2,lby,2001
28.3,ltu,2005
28.39,ltu,2006
28.61,ltu,2007
29.22,ltu,2008
29.43,ltu,2009
99.1,lux,1990
99.1,lux,1991
99.1,lux,1992
97.8,lux,1993
99.1,lux,1994
99.0,lux,1995
100.0,lux,1996
99.0,lux,1997
100.0,lux,1998
100.0,lux,1999
100.0,lux,2000
100.0,lux,2001
100.0,lux,2002
100.0,lux,2003
100.0,lux,2004
100.0,mac,1990
100.0,mac,1991
100.0,mac,1992
100.0,mac,1993
100.0,mac,1994
100.0,mac,1995
100.0,mac,1996
100.0,mac,1997
100.0,mac,1998
100.0,mac,1999
100.0,mac,2000
100.0,mac,2001
100.0,mac,2002
100.0,mac,2003
100.0,mac,2004
100.0,mac,2005
100.0,mac,2006
100.0,mac,2007
100.0,mac,2008
100.0,mac,2009
58.9,mkd,1990
59.2,mkd,1991
59.7,mkd,1992
60.0,mkd,1993
61.6,mkd,1994
63.3,mkd,1995
63.8,mkd,1996
63.8,mkd,1997
63.8,mkd,1998
63.8,mkd,1999
51.74,mkd,2003
52.87,mkd,2004
55.62,mkd,2005
54.34,mkd,2006
56.16,mkd,2007
56.54,mkd,2008
57.56,mkd,2009
15.4,mdg,1990
15.4,mdg,1991
15.4,mdg,1992
11.5,mdg,1993
11.5,mdg,1995
11.6,mdg,1996
11.6,mdg,1999
11.6,mdg,2000
11.6,mdg,2001
45.02,mwi,2003
69.98,mys,1990
71.31,mys,1991
73.29,mys,1992
74.13,mys,1993
73.95,mys,1994
73.92,mys,1995
73.99,mys,1996
74.46,mys,1997
75.58,mys,1998
75.32,mys,1999
76.18,mys,2000
77.89,mys,2001
80.85,mys,2003
81.32,mys,2004
100.0,mdv,2005
10.9,mli,1990
11.1,mli,1991
11.3,mli,1992
11.5,mli,1993
11.8,mli,1994
12.0,mli,1995
12.1,mli,1996
12.1,mli,1997
12.1,mli,1998
12.1,mli,1999
12.1,mli,2000
18.0,mli,2004
19.04,mli,2005
25.05,mli,2008
24.57,mli,2009
95.0,mlt,1994
95.0,mlt,1995
95.0,mlt,1996
95.0,mlt,1997
95.0,mlt,1998
88.0,mlt,2000
88.0,mlt,2001
90.0,mlt,2002
87.53,mlt,2003
87.53,mlt,2004
87.53,mlt,2008
32.62,mrt,2004
30.3,mrt,2005
26.85,mrt,2006
26.85,mrt,2007
93.0,mus,1990
93.0,mus,1991
93.0,mus,1992
93.0,mus,1993
93.0,mus,1994
93.0,mus,1995
95.0,mus,1996
95.0,mus,1997
96.0,mus,1998
96.0,mus,1999
97.0,mus,2000
98.0,mus,2001
98.0,mus,2002
100.0,mus,2003
100.0,mus,2004
100.0,mus,2005
98.02,mus,2006
98.03,mus,2007
98.0,mus,2008
98.0,mus,2009
35.1,mex,1990
35.5,mex,1992
36.0,mex,1993
31.0,mex,1994
31.3,mex,1995
31.8,mex,1996
29.7,mex,1997
34.3,mex,1998
32.8,mex,1999
32.8,mex,2000
33.5,mex,2002
35.76,mex,2003
36.31,mex,2004
36.98,mex,2005
33.47,mex,2006
34.96,mex,2007
35.28,mex,2008
15.9,fsm,1990
16.3,fsm,1991
16.6,fsm,1992
16.9,fsm,1993
17.3,fsm,1994
17.6,fsm,1995
17.7,fsm,1996
17.5,fsm,1997
17.5,fsm,1998
17.5,fsm,1999
17.5,fsm,2000
17.5,fsm,2001
87.1,mda,1990
86.1,mda,1991
85.1,mda,1992
86.4,mda,1993
86.6,mda,1994
87.3,mda,1995
86.9,mda,1996
86.9,mda,1997
87.0,mda,1998
87.0,mda,1999
86.1,mda,2000
86.0,mda,2002
86.2,mda,2003
86.2,mda,2004
86.25,mda,2005
85.5,mda,2006
85.7,mda,2007
85.8,mda,2008
85.8,mda,2009
100.0,mco,1990
100.0,mco,1991
100.0,mco,1992
100.0,mco,1993
100.0,mco,1994
100.0,mco,1995
100.0,mco,1996
100.0,mco,1997
100.0,mco,1998
100.0,mco,1999
100.0,mco,2000
100.0,mco,2001
100.0,mco,2006
100.0,mco,2007
100.0,mco,2008
100.0,mco,2009
2.6,mng,1994
3.3,mng,1995
3.3,mng,1996
3.4,mng,1997
3.4,mng,1998
3.5,mng,1999
3.5,mng,2000
3.5,mng,2001
3.5,mng,2002
49.1,mar,1990
49.5,mar,1991
49.5,mar,1992
49.6,mar,1993
50.2,mar,1994
50.2,mar,1995
