geo,infectious_tb_number_of_new_cases_estimated,time
aze,1499,1994
aze,1739,1995
aze,1997,1996
aze,2206,1997
aze,2417,1998
aze,2589,1999
aze,2762,2000
aze,2832,2001
aze,2835,2002
aze,2829,2003
aze,2831,2004
aze,2863,2005
aze,2886,2006
aze,2916,2007
bhs,47,1990
bhs,48,1991
bhs,48,1992
bhs,49,1993
bhs,50,1994
bhs,52,1995
bhs,53,1996
bhs,54,1997
bhs,55,1998
bhs,55,1999
bhs,56,2000
bhs,57,2001
bhs,58,2002
bhs,59,2003
bhs,59,2004
bhs,60,2005
bhs,61,2006
bhs,62,2007
bhr,169,1990
bhr,165,1991
bhr,162,1992
bhr,157,1993
bhr,155,1994
bhr,152,1995
bhr,151,1996
bhr,150,1997
bhr,147,1998
bhr,141,1999
bhr,138,2000
bhr,136,2001
bhr,138,2002
bhr,135,2003
bhr,135,2004
bhr,136,2005
bhr,137,2006
bhr,137,2007
bgd,134200,1990
bgd,135900,1991
bgd,137700,1992
bgd,139400,1993
bgd,141000,1994
bgd,142600,1995
bgd,144100,1996
bgd,145600,1997
bgd,147000,1998
bgd,148400,1999
bgd,149800,2000
bgd,151100,2001
bgd,152500,2002
bgd,153900,2003
bgd,155200,2004
bgd,156500,2005
bgd,157700,2006
bgd,158800,2007
brb,8,1990
brb,8,1991
brb,7,1992
brb,7,1993
brb,7,1994
brb,6,1995
brb,6,1996
brb,6,1997
brb,6,1998
brb,5,1999
brb,5,2000
brb,5,2001
brb,5,2002
brb,5,2003
brb,5,2004
brb,5,2005
brb,5,2006
brb,5,2007
blr,1776,1990
blr,1557,1991
blr,1742,1992
blr,1843,1993
blr,2255,1994
blr,2500,1995
blr,2774,1996
blr,2989,1997
blr,3279,1998
blr,3413,1999
blr,3301,2000
blr,2930,2001
blr,2646,2002
blr,2636,2003
blr,2664,2004
blr,2669,2005
blr,2654,2006
blr,2639,2007
bel,896,1990
bel,836,1991
bel,821,1992
bel,832,1993
bel,840,1994
bel,810,1995
bel,761,1996
bel,727,1997
bel,684,1998
bel,686,1999
bel,708,2000
bel,725,2001
bel,678,2002
bel,641,2003
bel,615,2004
bel,618,2005
bel,585,2006
bel,551,2007
blz,41,1990
blz,42,1991
blz,43,1992
blz,44,1993
blz,45,1994
blz,46,1995
blz,47,1996
blz,48,1997
blz,49,1998
blz,51,1999
blz,52,2000
blz,53,2001
blz,54,2002
blz,56,2003
blz,57,2004
blz,58,2005
blz,60,2006
blz,61,2007
ben,1777,1990
ben,1857,1991
ben,1942,1992
ben,2029,1993
ben,2115,1994
ben,2201,1995
ben,2286,1996
ben,2371,1997
ben,2461,1998
ben,2556,1999
ben,2659,2000
ben,2770,2001
ben,2889,2002
ben,3015,2003
ben,3146,2004
ben,3282,2005
ben,3421,2006
ben,3563,2007
bmu,2,1990
bmu,2,1991
bmu,2,1992
bmu,2,1993
bmu,2,1994
bmu,1,1995
bmu,1,1996
bmu,1,1997
bmu,1,1998
bmu,1,1999
bmu,1,2000
bmu,1,2001
bmu,1,2002
bmu,1,2003
bmu,1,2004
bmu,1,2005
bmu,1,2006
bmu,1,2007
btn,1330,1990
btn,1263,1991
btn,1185,1992
btn,1105,1993
btn,1034,1994
btn,978,1995
btn,937,1996
btn,908,1997
btn,888,1998
btn,871,1999
btn,855,2000
btn,839,2001
btn,824,2002
btn,809,2003
btn,791,2004
btn,772,2005
btn,750,2006
btn,726,2007
bol,9328,1990
bol,9268,1991
bol,9209,1992
bol,9150,1993
bol,9088,1994
bol,9022,1995
bol,8951,1996
bol,8877,1997
bol,8801,1998
bol,8723,1999
bol,8645,2000
bol,8566,2001
bol,8487,2002
bol,8406,2003
bol,8322,2004
bol,8236,2005
bol,8147,2006
bol,8055,2007
bih,1813,1990
bih,1733,1991
bih,1653,1992
bih,1537,1993
bih,1414,1994
bih,1299,1995
bih,1264,1996
bih,1267,1997
bih,1269,1998
bih,1181,1999
bih,1071,2000
bih,1005,2001
bih,984,2002
bih,958,2003
bih,936,2004
bih,919,2005
bih,913,2006
bih,905,2007
bwa,1795,1990
bwa,2013,1991
bwa,2170,1992
bwa,2346,1993
bwa,2524,1994
bwa,2726,1995
bwa,2915,1996
bwa,3174,1997
bwa,3474,1998
bwa,3821,1999
bwa,4223,2000
bwa,4626,2001
bwa,5002,2002
bwa,5275,2003
bwa,5391,2004
bwa,5391,2005
bwa,5322,2006
bwa,5251,2007
bra,67770,1990
bra,66520,1991
bra,65280,1992
bra,64050,1993
bra,62860,1994
bra,61710,1995
bra,60600,1996
bra,59510,1997
bra,58440,1998
bra,57390,1999
bra,56360,2000
bra,55330,2001
bra,54320,2002
bra,53320,2003
bra,52320,2004
bra,51330,2005
bra,50340,2006
bra,49350,2007
vgb,2,1990
vgb,2,1991
vgb,2,1992
vgb,2,1993
vgb,2,1994
vgb,1,1995
vgb,1,1996
vgb,1,1997
vgb,1,1998
vgb,1,1999
vgb,1,2000
vgb,1,2001
vgb,1,2002
vgb,1,2003
vgb,1,2004
vgb,1,2005
vgb,1,2006
vgb,1,2007
brn,67,1990
brn,69,1991
brn,71,1992
brn,73,1993
brn,75,1994
brn,77,1995
brn,79,1996
brn,81,1997
brn,83,1998
brn,113,1999
brn,93,2000
brn,106,2001
brn,124,2002
brn,134,2003
brn,128,2004
brn,112,2005
brn,142,2006
brn,151,2007
bgr,1059,1990
bgr,1177,1991
bgr,1318,1992
bgr,1409,1993
bgr,1430,1994
bgr,1414,1995
bgr,1446,1996
bgr,1575,1997
bgr,1636,1998
bgr,1623,1999
bgr,1586,2000
bgr,1557,2001
bgr,1514,2002
bgr,1391,2003
bgr,1374,2004
bgr,1383,2005
bgr,1355,2006
bgr,1328,2007
bfa,3577,1990
bfa,4080,1991
bfa,4488,1992
bfa,4955,1993
bfa,5440,1994
bfa,5979,1995
bfa,6485,1996
bfa,7145,1997
bfa,7909,1998
bfa,8813,1999
bfa,9895,2000
bfa,11050,2001
bfa,12210,2002
bfa,13180,2003
bfa,13780,2004
bfa,14070,2005
bfa,14160,2006
bfa,14230,2007
bdi,3815,1990
bdi,4277,1991
bdi,4562,1992
bdi,4912,1993
bdi,5304,1994
bdi,5746,1995
bdi,6145,1996
bdi,6677,1997
bdi,7296,1998
bdi,8045,1999
bdi,8971,2000
bdi,9986,2001
bdi,11040,2002
bdi,11960,2003
bdi,12590,2004
bdi,12970,2005
bdi,13200,2006
bdi,13430,2007
khm,25260,1990
khm,25800,1991
khm,26320,1992
khm,26820,1993
khm,27300,1994
khm,27750,1995
khm,28160,1996
khm,28540,1997
khm,28890,1998
khm,29220,1999
khm,29540,2000
khm,29850,2001
khm,30150,2002
khm,30450,2003
khm,30750,2004
khm,31040,2005
khm,31340,2006
khm,31620,2007
cmr,4345,1990
cmr,4908,1991
cmr,5324,1992
cmr,5779,1993
cmr,6235,1994
cmr,6749,1995
cmr,7237,1996
cmr,7912,1997
cmr,8707,1998
cmr,9646,1999
cmr,10760,2000
cmr,11910,2001
cmr,13040,2002
cmr,13930,2003
cmr,14420,2004
cmr,14580,2005
cmr,14530,2006
cmr,14460,2007
can,1183,1990
can,1129,1991
can,1087,1992
can,1030,1993
can,997,1994
can,959,1995
can,936,1996
can,915,1997
can,885,1998
can,841,1999
can,811,2000
can,789,2001
can,789,2002
can,764,2003
can,756,2004
can,751,2005
can,747,2006
can,741,2007
cpv,280,1990
cpv,285,1991
cpv,289,1992
cpv,294,1993
cpv,298,1994
cpv,303,1995
cpv,307,1996
cpv,312,1997
cpv,316,1998
cpv,320,1999
cpv,325,2000
cpv,330,2001
cpv,335,2002
cpv,340,2003
cpv,345,2004
cpv,350,2005
cpv,354,2006
cpv,359,2007
cym,1,1990
cym,1,1991
cym,1,1992
cym,1,1993
cym,1,1994
cym,1,1995
cym,1,1996
cym,1,1997
cym,1,1998
cym,1,1999
cym,1,2000
cym,1,2001
cym,1,2002
cym,1,2003
cym,1,2004
cym,1,2005
cym,1,2006
cym,1,2007
caf,1896,1990
caf,2138,1991
caf,2326,1992
caf,2541,1993
caf,2761,1994
caf,3007,1995
caf,3237,1996
caf,3545,1997
caf,3897,1998
caf,4304,1999
caf,4774,2000
caf,5249,2001
caf,5696,2002
caf,6030,2003
caf,6187,2004
caf,6214,2005
caf,6162,2006
caf,6111,2007
tcd,3407,1990
tcd,3881,1991
tcd,4257,1992
tcd,4683,1993
tcd,5124,1994
tcd,5621,1995
tcd,6098,1996
tcd,6733,1997
tcd,7475,1998
tcd,8357,1999
tcd,9408,2000
tcd,10530,2001
tcd,11670,2002
tcd,12620,2003
tcd,13200,2004
tcd,13490,2005
tcd,13560,2006
tcd,13610,2007
chl,2727,1990
chl,2598,1991
chl,2475,1992
chl,2358,1993
chl,2244,1994
chl,2134,1995
chl,2027,1996
chl,1923,1997
chl,1824,1998
chl,1728,1999
chl,1637,2000
chl,1550,2001
chl,1467,2002
chl,1389,2003
chl,1314,2004
chl,1243,2005
chl,1175,2006
chl,1111,2007
chn,602200,1990
chn,603700,1991
chn,604500,1992
chn,604900,1993
chn,604800,1994
chn,604700,1995
chn,604400,1996
chn,603900,1997
chn,603200,1998
chn,602200,1999
chn,600800,2000
chn,599100,2001
chn,597000,2002
chn,594800,2003
chn,592400,2004
chn,590000,2005
chn,587600,2006
chn,585100,2007
col,10130,1990
col,10080,1991
col,10020,1992
col,9962,1993
col,9899,1994
col,9834,1995
col,9767,1996
col,9699,1997
col,9629,1998
col,9558,1999
col,9484,2000
col,9409,2001
col,9330,2002
col,9249,2003
col,9165,2004
col,9076,2005
col,8984,2006
col,8889,2007
com,202,1990
com,200,1991
com,197,1992
com,195,1993
com,192,1994
com,189,1995
com,187,1996
com,184,1997
com,182,1998
com,179,1999
com,177,2000
com,174,2001
com,172,2002
com,169,2003
com,166,2004
com,164,2005
com,161,2006
com,158,2007
cog,1702,1990
cog,1928,1991
cog,2110,1992
cog,2323,1993
cog,2546,1994
cog,2800,1995
cog,3045,1996
cog,3368,1997
cog,3741,1998
cog,4176,1999
cog,4682,2000
cog,5205,2001
cog,5714,2002
cog,6116,2003
cog,6337,2004
cog,6417,2005
cog,6400,2006
cog,6376,2007
cok,0,1990
cok,1,1991
cok,3,1992
cok,6,1993
cok,4,1994
cok,2,1995
cok,1,1996
cok,2,1997
cok,0,1998
cok,0,1999
cok,0,2000
cok,2,2001
cok,1,2002
cok,0,2003
cok,1,2004
cok,1,2005
cok,0,2006
cok,1,2007
cri,306,1990
cri,305,1991
cri,303,1992
cri,302,1993
cri,300,1994
cri,299,1995
cri,297,1996
cri,296,1997
cri,294,1998
cri,293,1999
cri,290,2000
cri,288,2001
cri,285,2002
cri,282,2003
cri,279,2004
cri,275,2005
cri,271,2006
cri,268,2007
hrv,1497,1990
hrv,1487,1991
hrv,1506,1992
hrv,1501,1993
hrv,1467,1994
hrv,1395,1995
hrv,1362,1996
hrv,1330,1997
hrv,1278,1998
hrv,1140,1999
hrv,1003,2000
hrv,925,2001
hrv,900,2002
hrv,875,2003
hrv,857,2004
hrv,841,2005
hrv,834,2006
hrv,825,2007
cub,1482,1990
cub,1378,1991
cub,1279,1992
cub,1186,1993
cub,1100,1994
cub,1019,1995
cub,944,1996
cub,874,1997
cub,809,1998
cub,749,1999
cub,693,2000
cub,640,2001
cub,592,2002
cub,547,2003
cub,505,2004
cub,466,2005
cub,430,2006
cub,397,2007
cyp,28,1990
cyp,27,1991
cyp,26,1992
cyp,25,1993
cyp,24,1994
cyp,23,1995
cyp,23,1996
cyp,23,1997
cyp,22,1998
cyp,21,1999
cyp,20,2000
cyp,20,2001
cyp,20,2002
cyp,19,2003
cyp,19,2004
cyp,19,2005
cyp,19,2006
cyp,19,2007
cze,964,1990
cze,977,1991
cze,965,1992
cze,946,1993
cze,921,1994
cze,938,1995
cze,918,1996
cze,913,1997
cze,853,1998
cze,785,1999
cze,701,2000
cze,628,2001
cze,577,2002
cze,534,2003
cze,505,2004
cze,479,2005
cze,440,2006
cze,401,2007
civ,9671,1990
civ,10960,1991
civ,11940,1992
civ,13060,1993
civ,14210,1994
civ,15510,1995
civ,16750,1996
civ,18430,1997
civ,20360,1998
civ,22610,1999
civ,25200,2000
civ,27840,2001
civ,30350,2002
civ,32270,2003
civ,33260,2004
civ,33560,2005
civ,33430,2006
civ,33310,2007
prk,31220,1990
prk,31700,1991
prk,32200,1992
prk,32700,1993
prk,33190,1994
prk,33660,1995
prk,34100,1996
prk,34520,1997
prk,34900,1998
prk,35250,1999
prk,35570,2000
prk,35840,2001
prk,36060,2002
prk,36260,2003
prk,36430,2004
prk,36590,2005
prk,36730,2006
prk,36860,2007
cod,27720,1990
cod,31870,1991
cod,35370,1992
cod,39370,1993
cod,43450,1994
cod,47850,1995
cod,51820,1996
cod,56860,1997
cod,62550,1998
cod,69230,1999
cod,77220,2000
cod,85720,2001
cod,94230,2002
cod,101300,2003
cod,105500,2004
cod,107600,2005
cod,108300,2006
cod,109000,2007
dnk,350,1990
dnk,331,1991
dnk,315,1992
dnk,297,1993
dnk,285,1994
dnk,273,1995
dnk,265,1996
dnk,257,1997
dnk,248,1998
dnk,234,1999
dnk,225,2000
dnk,217,2001
dnk,216,2002
dnk,208,2003
dnk,204,2004
dnk,201,2005
dnk,199,2006
dnk,196,2007
dji,1462,1990
dji,1537,1991
dji,1596,1992
dji,1643,1993
dji,1691,1994
dji,1749,1995
dji,1822,1996
dji,1907,1997
dji,2001,1998
dji,2099,1999
dji,2195,2000
dji,2288,2001
dji,2378,2002
dji,2467,2003
dji,2558,2004
dji,2653,2005
dji,2753,2006
dji,2856,2007
dma,6,1990
dma,6,1991
dma,5,1992
dma,5,1993
dma,5,1994
dma,5,1995
dma,5,1996
dma,5,1997
dma,5,1998
dma,5,1999
dma,5,2000
dma,5,2001
dma,5,2002
dma,5,2003
dma,5,2004
dma,5,2005
dma,5,2006
dma,5,2007
dom,4514,1990
dom,4453,1991
dom,4391,1992
dom,4331,1993
dom,4273,1994
dom,4217,1995
dom,4163,1996
dom,4111,1997
dom,4061,1998
dom,4011,1999
dom,3962,2000
dom,3914,2001
dom,3865,2002
dom,3816,2003
dom,3767,2004
dom,3718,2005
dom,3668,2006
dom,3618,2007
ecu,9387,1990
ecu,9316,1991
ecu,9239,1992
ecu,9154,1993
ecu,9059,1994
ecu,8954,1995
ecu,8839,1996
ecu,8716,1997
ecu,8585,1998
ecu,8450,1999
ecu,8311,2000
ecu,8170,2001
ecu,8027,2002
ecu,7884,2003
ecu,7740,2004
ecu,7597,2005
ecu,7454,2006
ecu,7312,2007
egy,8621,1990
egy,8650,1991
egy,8879,1992
egy,8712,1993
egy,8757,1994
egy,8709,1995
egy,8598,1996
egy,8209,1997
egy,7975,1998
egy,7840,1999
egy,7767,2000
egy,7644,2001
egy,7508,2002
egy,7336,2003
egy,7127,2004
egy,6973,2005
egy,6872,2006
egy,6765,2007
slv,2306,1990
slv,2247,1991
slv,2190,1992
slv,2136,1993
slv,2083,1994
slv,2031,1995
slv,1980,1996
slv,1930,1997
slv,1882,1998
slv,1834,1999
slv,1785,2000
slv,1737,2001
slv,1688,2002
slv,1639,2003
slv,1592,2004
slv,1546,2005
slv,1501,2006
slv,1458,2007
gnq,161,1990
gnq,181,1991
gnq,197,1992
gnq,215,1993
gnq,234,1994
gnq,254,1995
gnq,274,1996
gnq,300,1997
gnq,330,1998
gnq,365,1999
gnq,406,2000
gnq,449,2001
gnq,491,2002
gnq,524,2003
gnq,542,2004
gnq,549,2005
gnq,548,2006
gnq,547,2007
eri,1019,1990
eri,1040,1991
eri,1055,1992
eri,1066,1993
eri,1080,1994
eri,1102,1995
eri,1135,1996
eri,1179,1997
eri,1232,1998
eri,1294,1999
eri,1363,2000
eri,1442,2001
eri,1529,2002
eri,1622,2003
eri,1719,2004
eri,1816,2005
eri,1912,2006
eri,2009,2007
est,225,1990
est,221,1991
est,241,1992
est,280,1993
est,319,1994
est,346,1995
est,368,1996
est,403,1997
est,415,1998
est,423,1999
est,401,2000
est,374,2001
est,330,2002
est,298,2003
est,272,2004
est,249,2005
est,235,2006
est,221,2007
eth,36000,1990
eth,40980,1991
eth,44940,1992
eth,49450,1993
eth,54160,1994
eth,59470,1995
eth,64540,1996
eth,71240,1997
eth,78960,1998
eth,87970,1999
eth,98510,2000
eth,109400,2001
eth,120100,2002
eth,128600,2003
eth,133400,2004
eth,135400,2005
eth,135400,2006
eth,135300,2007
fji,165,1990
fji,158,1991
fji,151,1992
fji,145,1993
fji,140,1994
fji,134,1995
fji,129,1996
fji,123,1997
fji,118,1998
fji,113,1999
fji,108,2000
fji,103,2001
fji,98,2002
fji,94,2003
fji,89,2004
fji,85,2005
fji,81,2006
fji,78,2007
fin,393,1990
fin,351,1991
fin,315,1992
fin,281,1993
fin,275,1994
fin,291,1995
fin,294,1996
fin,289,1997
fin,276,1998
fin,269,1999
fin,242,2000
fin,224,2001
fin,203,2002
fin,181,2003
fin,164,2004
fin,146,2005
fin,143,2006
fin,140,2007
fra,6641,1990
fra,6294,1991
fra,6012,1992
fra,5660,1993
fra,5447,1994
fra,5202,1995
fra,5044,1996
fra,4896,1997
fra,4707,1998
fra,4443,1999
fra,4265,2000
fra,4130,2001
fra,4111,2002
fra,3970,2003
fra,3912,2004
fra,3876,2005
fra,3838,2006
fra,3798,2007
pyf,30,1990
pyf,25,1991
pyf,42,1992
pyf,39,1993
pyf,42,1994
pyf,52,1995
pyf,41,1996
pyf,46,1997
pyf,38,1998
pyf,37,1999
pyf,32,2000
pyf,31,2001
pyf,31,2002
pyf,23,2003
pyf,33,2004
pyf,23,2005
pyf,27,2006
pyf,21,2007
gab,623,1990
gab,622,1991
gab,630,1992
gab,654,1993
gab,691,1994
gab,682,1995
gab,761,1996
gab,812,1997
gab,947,1998
gab,1010,1999
gab,1243,2000
gab,1344,2001
gab,1438,2002
gab,1450,2003
gab,1539,2004
gab,1714,2005
gab,1958,2006
gab,2208,2007
gmb,802,1990
gmb,849,1991
gmb,898,1992
gmb,949,1993
gmb,1002,1994
gmb,1057,1995
gmb,1115,1996
gmb,1174,1997
gmb,1236,1998
gmb,1302,1999
gmb,1371,2000
gmb,1444,2001
gmb,1519,2002
gmb,1598,2003
gmb,1679,2004
gmb,1763,2005
gmb,1848,2006
gmb,1936,2007
geo,948,1990
geo,900,1991
geo,933,1992
geo,1002,1993
geo,1092,1994
geo,1227,1995
geo,1371,1996
geo,1480,1997
geo,1588,1998
geo,1669,1999
geo,1748,2000
geo,1762,2001
geo,1736,2002
geo,1706,2003
geo,1683,2004
geo,1677,2005
geo,1665,2006
geo,1654,2007
deu,6971,1990
deu,6765,1991
deu,6684,1992
deu,6606,1993
deu,6299,1994
deu,5922,1995
deu,5629,1996
deu,5346,1997
deu,5050,1998
deu,4712,1999
deu,4155,2000
deu,3668,2001
deu,3262,2002
deu,3110,2003
deu,2887,2004
deu,2646,2005
deu,2422,2006
deu,2198,2007
gha,15610,1990
gha,15940,1991
gha,16260,1992
gha,16520,1993
gha,16740,1994
gha,16950,1995
gha,17190,1996
gha,17460,1997
gha,17760,1998
gha,18070,1999
gha,18390,2000
gha,18720,2001
gha,19060,2002
gha,19400,2003
gha,19730,2004
gha,20060,2005
gha,20380,2006
gha,20690,2007
grc,1529,1990
grc,1454,1991
grc,1395,1992
grc,1321,1993
grc,1278,1994
grc,1227,1995
grc,1195,1996
grc,1165,1997
grc,1124,1998
grc,1063,1999
grc,1020,2000
grc,986,2001
grc,978,2002
grc,940,2003
grc,922,2004
grc,910,2005
grc,898,2006
grc,886,2007
grd,2,1990
grd,2,1991
grd,2,1992
grd,2,1993
grd,2,1994
grd,2,1995
grd,2,1996
grd,2,1997
grd,2,1998
grd,2,1999
grd,2,2000
grd,2,2001
grd,2,2002
grd,2,2003
grd,2,2004
grd,2,2005
grd,2,2006
grd,2,2007
gum,31,1990
gum,31,1991
gum,30,1992
gum,35,1993
gum,44,1994
gum,30,1995
gum,30,1996
gum,30,1997
gum,30,1998
gum,30,1999
gum,48,2000
gum,52,2001
gum,34,2002
gum,29,2003
gum,24,2004
gum,30,2005
gum,23,2006
gum,6,2007
gtm,3645,1990
gtm,3694,1991
gtm,3743,1992
gtm,3791,1993
gtm,3838,1994
gtm,3883,1995
gtm,3926,1996
gtm,3969,1997
gtm,4013,1998
gtm,4061,1999
gtm,4115,2000
gtm,4173,2001
gtm,4236,2002
gtm,4303,2003
gtm,4371,2004
gtm,4441,2005
gtm,4511,2006
gtm,4582,2007
gin,3220,1990
gin,3521,1991
gin,3858,1992
gin,4226,1993
gin,4613,1994
gin,5011,1995
gin,5415,1996
gin,5827,1997
gin,6251,1998
gin,6694,1999
gin,7165,2000
gin,7667,2001
gin,8203,2002
gin,8778,2003
gin,9398,2004
gin,10070,2005
gin,10800,2006
gin,11600,2007
gnb,718,1990
gnb,753,1991
gnb,792,1992
gnb,832,1993
gnb,872,1994
gnb,913,1995
gnb,954,1996
gnb,995,1997
gnb,1038,1998
gnb,1084,1999
gnb,1134,2000
gnb,1189,2001
gnb,1248,2002
gnb,1312,2003
gnb,1379,2004
gnb,1450,2005
gnb,1524,2006
gnb,1602,2007
guy,105,1990
guy,119,1991
guy,99,1992
guy,131,1993
guy,157,1994
guy,211,1995
guy,246,1996
guy,252,1997
guy,275,1998
guy,279,1999
guy,305,2000
guy,349,2001
guy,400,2002
guy,445,2003
guy,457,2004
guy,476,2005
guy,474,2006
guy,471,2007
hti,11680,1990
hti,11860,1991
hti,12050,1992
hti,12250,1993
hti,12460,1994
hti,12680,1995
hti,12910,1996
hti,13150,1997
hti,13380,1998
hti,13610,1999
hti,13840,2000
hti,14070,2001
hti,14300,2002
hti,14520,2003
hti,14760,2004
hti,14990,2005
hti,15220,2006
hti,15460,2007
hnd,2554,1990
hnd,2540,1991
hnd,2533,1992
hnd,2526,1993
hnd,2518,1994
hnd,2508,1995
hnd,2495,1996
hnd,2479,1997
hnd,2461,1998
hnd,2442,1999
hnd,2422,2000
hnd,2402,2001
hnd,2381,2002
hnd,2360,2003
hnd,2339,2004
hnd,2318,2005
hnd,2297,2006
hnd,2276,2007
hun,1914,1990
hun,1947,1991
hun,2055,1992
hun,2143,1993
hun,2208,1994
hun,2242,1995
hun,2254,1996
hun,2195,1997
hun,2043,1998
hun,1840,1999
hun,1653,2000
hun,1512,2001
hun,1414,2002
hun,1297,2003
hun,1139,2004
hun,996,2005
hun,873,2006
hun,750,2007
isl,7,1990
isl,7,1991
isl,6,1992
isl,6,1993
isl,6,1994
isl,6,1995
isl,4,1996
isl,5,1997
isl,5,1998
isl,5,1999
isl,5,2000
isl,4,2001
isl,3,2002
isl,3,2003
isl,3,2004
isl,5,2005
isl,5,2006
isl,5,2007
ind,649400,1990
ind,663200,1991
ind,676900,1992
ind,690400,1993
ind,703200,1994
ind,715400,1995
ind,727200,1996
ind,739300,1997
ind,752000,1998
ind,765100,1999
ind,778600,2000
ind,792100,2001
ind,805600,2002
ind,818900,2003
ind,832400,2004
ind,845800,2005
ind,859200,2006
ind,872500,2007
idn,282100,1990
idn,279900,1991
idn,277600,1992
idn,275100,1993
idn,272700,1994
idn,270100,1995
idn,267500,1996
idn,264900,1997
idn,262200,1998
idn,259400,1999
idn,256500,2000
idn,253600,2001
idn,250800,2002
idn,247900,2003
idn,245000,2004
idn,242100,2005
idn,239100,2006
idn,236000,2007
irn,9138,1990
irn,9667,1991
irn,10810,1992
irn,10500,1993
irn,10950,1994
irn,11100,1995
irn,11020,1996
irn,9946,1997
irn,9388,1998
irn,9171,1999
irn,9163,2000
irn,9002,2001
irn,8752,2002
irn,8332,2003
irn,7747,2004
irn,7347,2005
irn,7124,2006
irn,6902,2007
irq,4667,1990
irq,4807,1991
irq,4957,1992
irq,5117,1993
irq,5283,1994
irq,5453,1995
irq,5626,1996
irq,5801,1997
irq,5976,1998
irq,6149,1999
irq,6315,2000
irq,6475,2001
irq,6630,2002
irq,6779,2003
irq,6921,2004
irq,7057,2005
irq,7186,2006
irq,7308,2007
irl,387,1990
irl,374,1991
irl,368,1992
irl,349,1993
irl,320,1994
irl,287,1995
irl,261,1996
irl,254,1997
irl,258,1998
irl,252,1999
