population_growth_annual_percent,geo,time
2.195,cmr,2009
2.186,cmr,2010
2.178,cmr,2011
2.299,can,1960
2.001,can,1961
1.86,can,1962
1.863,can,1963
1.886,can,1964
1.81,can,1965
1.863,can,1966
1.799,can,1967
1.613,can,1968
1.36,can,1969
1.398,can,1970
1.497,can,1971
1.595,can,1972
1.694,can,1973
1.793,can,1974
1.892,can,1975
1.323,can,1976
1.175,can,1977
1.004,can,1978
0.9977,can,1979
1.293,can,1980
1.241,can,1981
1.206,can,1982
1.003,can,1983
0.9617,can,1984
0.9294,can,1985
1.005,can,1986
1.312,can,1987
1.291,can,1988
1.784,can,1989
1.494,can,1990
1.361,can,1991
1.227,can,1992
1.094,can,1993
0.9612,can,1994
0.8282,can,1995
1.077,can,1996
1.057,can,1997
0.8656,can,1998
0.8274,can,1999
0.883,can,2000
1.01,can,2001
0.8971,can,2002
0.9962,can,2003
1.002,can,2004
0.9859,can,2005
0.8139,can,2006
1.08,can,2007
1.175,can,2008
1.225,can,2009
1.169,can,2010
1.04,can,2011
1.984,cpv,1960
2.277,cpv,1961
2.54,cpv,1962
2.713,cpv,1963
2.766,cpv,1964
2.739,cpv,1965
2.638,cpv,1966
2.546,cpv,1967
2.545,cpv,1968
2.666,cpv,1969
2.832,cpv,1970
3.089,cpv,1971
3.222,cpv,1972
2.958,cpv,1973
2.213,cpv,1974
1.193,cpv,1975
0.01734,cpv,1976
-0.9616,cpv,1977
-1.419,cpv,1978
-1.108,cpv,1979
-0.226,cpv,1980
0.8925,cpv,1981
1.798,cpv,1982
2.303,cpv,1983
2.242,cpv,1984
1.819,cpv,1985
1.299,cpv,1986
0.9543,cpv,1987
0.8568,cpv,1988
1.112,cpv,1989
1.598,cpv,1990
2.128,cpv,1991
2.519,cpv,1992
2.73,cpv,1993
2.706,cpv,1994
2.524,cpv,1995
2.308,cpv,1996
2.136,cpv,1997
1.993,cpv,1998
1.899,cpv,1999
1.837,cpv,2000
1.781,cpv,2001
1.703,cpv,2002
1.598,cpv,2003
1.457,cpv,2004
1.298,cpv,2005
1.132,cpv,2006
0.9895,cpv,2007
0.8961,cpv,2008
0.8682,cpv,2009
0.8866,cpv,2010
0.9204,cpv,2011
2.883,cym,1960
2.26,cym,1961
1.689,cym,1962
1.251,cym,1963
1.027,cym,1964
1.028,cym,1965
0.9835,cym,1966
0.9965,cym,1967
1.421,cym,1968
2.349,cym,1969
3.508,cym,1970
4.697,cym,1971
5.607,cym,1972
6.157,cym,1973
6.344,cym,1974
6.256,cym,1975
6.182,cym,1976
6.1,cym,1977
5.775,cym,1978
5.224,cym,1979
4.556,cym,1980
3.857,cym,1981
3.322,cym,1982
3.183,cym,1983
3.489,cym,1984
4.078,cym,1985
4.692,cym,1986
5.126,cym,1987
5.346,cym,1988
5.297,cym,1989
5.103,cym,1990
4.925,cym,1991
4.805,cym,1992
4.642,cym,1993
4.432,cym,1994
4.22,cym,1995
3.9,cym,1996
3.643,cym,1997
3.728,cym,1998
4.215,cym,1999
4.871,cym,2000
5.578,cym,2001
5.973,cym,2002
5.808,cym,2003
5.013,cym,2004
3.892,cym,2005
2.725,cym,2006
1.784,cym,2007
1.12,cym,2008
0.8428,cym,2009
0.834,cym,2010
0.8835,cym,2011
1.611,caf,1960
1.697,caf,1961
1.778,caf,1962
1.853,caf,1963
1.921,caf,1964
1.979,caf,1965
2.044,caf,1966
2.098,caf,1967
2.113,caf,1968
2.08,caf,1969
2.02,caf,1970
1.952,caf,1971
1.91,caf,1972
1.912,caf,1973
1.971,caf,1974
2.072,caf,1975
2.163,caf,1976
2.243,caf,1977
2.359,caf,1978
2.514,caf,1979
2.681,caf,1980
2.867,caf,1981
3.007,caf,1982
3.021,caf,1983
2.883,caf,1984
2.655,caf,1985
2.393,caf,1986
2.186,caf,1987
2.09,caf,1988
2.14,caf,1989
2.284,caf,1990
2.443,caf,1991
2.548,caf,1992
2.589,caf,1993
2.544,caf,1994
2.441,caf,1995
2.339,caf,1996
2.252,caf,1997
2.146,caf,1998
2.021,caf,1999
1.89,caf,2000
1.753,caf,2001
1.637,caf,2002
1.576,caf,2003
1.586,caf,2004
1.646,caf,2005
1.719,caf,2006
1.78,caf,2007
1.834,caf,2008
1.874,caf,2009
1.902,caf,2010
1.93,caf,2011
2.077,tcd,1960
2.119,tcd,1961
2.154,tcd,1962
2.167,tcd,1963
2.156,tcd,1964
2.129,tcd,1965
2.089,tcd,1966
2.061,tcd,1967
2.073,tcd,1968
2.137,tcd,1969
2.23,tcd,1970
2.343,tcd,1971
2.428,tcd,1972
2.441,tcd,1973
2.363,tcd,1974
2.232,tcd,1975
2.092,tcd,1976
1.995,tcd,1977
1.96,tcd,1978
2.005,tcd,1979
2.108,tcd,1980
2.216,tcd,1981
2.315,tcd,1982
2.441,tcd,1983
2.594,tcd,1984
2.757,tcd,1985
2.93,tcd,1986
3.076,tcd,1987
3.158,tcd,1988
3.16,tcd,1989
3.113,tcd,1990
3.056,tcd,1991
3.021,tcd,1992
3.01,tcd,1993
3.034,tcd,1994
3.08,tcd,1995
3.109,tcd,1996
3.13,tcd,1997
3.188,tcd,1998
3.289,tcd,1999
3.406,tcd,2000
3.532,tcd,2001
3.612,tcd,2002
3.589,tcd,2003
3.446,tcd,2004
3.231,tcd,2005
3.002,tcd,2006
2.814,tcd,2007
2.682,tcd,2008
2.625,tcd,2009
2.618,tcd,2010
2.622,tcd,2011
0.8243,chanisl,1960
0.8964,chanisl,1961
0.962,chanisl,1962
1.012,chanisl,1963
1.045,chanisl,1964
1.057,chanisl,1965
1.061,chanisl,1966
1.059,chanisl,1967
1.05,chanisl,1968
1.034,chanisl,1969
1.009,chanisl,1970
0.9956,chanisl,1971
0.9729,chanisl,1972
0.8985,chanisl,1973
0.7593,chanisl,1974
0.5843,chanisl,1975
0.384,chanisl,1976
0.2205,chanisl,1977
0.1557,chanisl,1978
0.2244,chanisl,1979
0.3911,chanisl,1980
0.5784,chanisl,1981
0.7339,chanisl,1982
0.8654,chanisl,1983
0.9511,chanisl,1984
0.9984,chanisl,1985
1.055,chanisl,1986
1.103,chanisl,1987
1.066,chanisl,1988
0.9242,chanisl,1989
0.7169,chanisl,1990
0.4748,chanisl,1991
0.266,chanisl,1992
0.1451,chanisl,1993
0.1484,chanisl,1994
0.2398,chanisl,1995
0.3615,chanisl,1996
0.4581,chanisl,1997
0.5193,chanisl,1998
0.5269,chanisl,1999
0.4987,chanisl,2000
0.4565,chanisl,2001
0.4313,chanisl,2002
0.4328,chanisl,2003
0.4749,chanisl,2004
0.5392,chanisl,2005
0.6159,chanisl,2006
0.6705,chanisl,2007
0.672,chanisl,2008
0.6,chanisl,2009
0.4798,chanisl,2010
0.3411,chanisl,2011
2.517,chl,1960
2.539,chl,1961
2.54,chl,1962
2.504,chl,1963
2.426,chl,1964
2.322,chl,1965
2.208,chl,1966
2.102,chl,1967
2.008,chl,1968
1.932,chl,1969
1.869,chl,1970
1.815,chl,1971
1.758,chl,1972
1.694,chl,1973
1.617,chl,1974
1.536,chl,1975
1.455,chl,1976
1.392,chl,1977
1.366,chl,1978
1.387,chl,1979
1.441,chl,1980
1.506,chl,1981
1.564,chl,1982
