art_coverage_percent_cd4_l_350,geo,time
23,kaz,2008
18,kaz,2009
22,kaz,2010
27,kaz,2011
4,ken,2004
9,ken,2005
18,ken,2006
25,ken,2007
36,ken,2008
51,ken,2009
61,ken,2010
72,ken,2011
0,prk,2005
0,prk,2006
0,prk,2007
0,prk,2008
0,kgz,2004
9,kgz,2005
7,kgz,2006
9,kgz,2007
7,kgz,2008
19,kgz,2009
33,kgz,2010
23,kgz,2011
26,lao,2004
18,lao,2005
60,lao,2006
62,lao,2007
67,lao,2008
48,lao,2009
51,lao,2010
53,lao,2011
10,lva,2004
10,lva,2005
11,lva,2006
11,lva,2007
10,lva,2008
17,lva,2009
18,lva,2010
18,lva,2011
20,lbn,2004
11,lbn,2005
11,lbn,2006
13,lbn,2007
15,lbn,2008
35,lbn,2009
37,lbn,2010
36,lbn,2011
3,lso,2004
7,lso,2005
15,lso,2006
18,lso,2007
36,lso,2008
50,lso,2009
56,lso,2010
58,lso,2011
0,lbr,2004
2,lbr,2005
3,lbr,2006
6,lbr,2007
9,lbr,2008
19,lbr,2009
28,lbr,2010
38,lbr,2011
12,ltu,2004
24,ltu,2005
18,ltu,2006
21,ltu,2007
25,ltu,2008
29,ltu,2009
27,ltu,2010
25,ltu,2011
0,mdg,2004
0,mdg,2005
1,mdg,2006
1,mdg,2007
2,mdg,2008
2,mdg,2009
2,mdg,2010
3,mdg,2011
3,mwi,2004
7,mwi,2005
15,mwi,2006
24,mwi,2007
34,mwi,2008
47,mwi,2009
54,mwi,2010
67,mwi,2011
12,mys,2004
14,mys,2005
8,mys,2006
18,mys,2007
20,mys,2008
29,mys,2009
38,mys,2010
37,mys,2011
0,mdv,2004
0,mdv,2005
6,mdv,2006
6,mdv,2007
11,mdv,2008
22,mdv,2009
14,mdv,2010
22,mdv,2011
2,mli,2004
17,mli,2005
28,mli,2006
29,mli,2007
39,mli,2008
43,mli,2009
47,mli,2010
53,mli,2011
1,mrt,2004
5,mrt,2006
17,mrt,2007
20,mrt,2008
21,mrt,2009
22,mrt,2010
21,mrt,2011
9,mus,2004
7,mus,2005
13,mus,2006
14,mus,2007
19,mus,2008
19,mus,2009
18,mus,2010
37,mus,2011
31,mex,2004
32,mex,2005
40,mex,2006
42,mex,2007
52,mex,2008
80,mex,2009
79,mex,2010
84,mex,2011
2,mda,2004
4,mda,2005
5,mda,2006
8,mda,2007
12,mda,2008
19,mda,2009
23,mda,2010
29,mda,2011
0,mng,2004
0,mng,2005
3,mng,2006
4,mng,2007
6,mng,2008
15,mng,2009
28,mng,2010
27,mng,2011
8,mar,2004
13,mar,2005
18,mar,2006
20,mar,2007
25,mar,2008
31,mar,2009
33,mar,2010
37,mar,2011
2,moz,2004
5,moz,2005
9,moz,2006
18,moz,2007
24,moz,2008
34,moz,2009
41,moz,2010
46,moz,2011
2,mmr,2004
3,mmr,2005
4,mmr,2006
9,mmr,2007
13,mmr,2008
17,mmr,2009
24,mmr,2010
32,mmr,2011
13,nam,2004
39,nam,2005
44,nam,2006
61,nam,2007
66,nam,2008
78,nam,2009
90,nam,2010
92,nam,2011
0,npl,2004
0,npl,2005
2,npl,2006
5,npl,2007
7,npl,2008
14,npl,2009
18,npl,2010
24,npl,2011
2,nic,2004
9,nic,2005
20,nic,2006
23,nic,2007
31,nic,2008
57,nic,2009
58,nic,2010
65,nic,2011
0,ner,2004
2,ner,2005
4,ner,2006
6,ner,2007
10,ner,2008
27,ner,2009
30,ner,2010
34,ner,2011
1,nga,2004
3,nga,2005
7,nga,2006
14,nga,2007
17,nga,2008
25,nga,2009
27,nga,2010
30,nga,2011
51,omn,2004
95,omn,2005
87,omn,2006
87,omn,2007
95,omn,2008
95,omn,2009
1,pak,2004
1,pak,2005
1,pak,2006
2,pak,2007
3,pak,2008
8,pak,2009
9,pak,2010
10,pak,2011
16,pan,2004
22,pan,2005
22,pan,2006
32,pan,2007
33,pan,2008
42,pan,2009
46,pan,2010
49,pan,2011
3,png,2004
4,png,2005
12,png,2006
21,png,2007
44,png,2008
58,png,2009
59,png,2010
68,png,2011
7,pry,2004
15,pry,2005
22,pry,2006
21,pry,2007
30,pry,2008
66,pry,2009
81,pry,2010
69,pry,2011
5,per,2004
17,per,2005
22,per,2006
28,per,2007
26,per,2008
46,per,2009
44,per,2010
60,per,2011
10,phl,2004
8,phl,2005
16,phl,2006
25,phl,2007
32,phl,2008
29,phl,2009
40,phl,2010
51,phl,2011
14,pol,2004
17,pol,2005
18,pol,2006
19,pol,2007
20,pol,2008
22,pol,2009
79,rou,2004
77,rou,2005
81,rou,2006
74,rou,2007
83,rou,2008
74,rou,2009
72,rou,2010
74,rou,2011
9,rwa,2004
24,rwa,2005
44,rwa,2006
60,rwa,2007
76,rwa,2008
77,rwa,2009
84,rwa,2010
82,rwa,2011
39,stp,2009
42,stp,2010
52,stp,2011
11,sen,2004
26,sen,2005
31,sen,2006
33,sen,2007
42,sen,2008
68,sen,2009
60,sen,2010
56,sen,2011
32,srb,2004
51,srb,2005
46,srb,2006
42,srb,2007
47,srb,2008
60,srb,2009
64,srb,2010
65,srb,2011
9,sle,2004
2,sle,2005
10,sle,2006
16,sle,2007
11,sle,2008
22,sle,2009
30,sle,2010
41,sle,2011
73,svk,2004
64,svk,2005
84,svk,2006
77,svk,2007
69,svk,2008
62,svk,2009
0,som,2004
1,som,2005
2,som,2006
3,som,2007
5,som,2008
4,som,2009
6,som,2010
7,som,2011
3,zaf,2004
10,zaf,2005
14,zaf,2006
19,zaf,2007
29,zaf,2008
42,zaf,2009
57,zaf,2010
66,zaf,2011
5,lka,2004
4,lka,2005
9,lka,2006
12,lka,2007
15,lka,2008
17,lka,2009
19,lka,2010
21,lka,2011
1,sdn,2004
1,sdn,2005
2,sdn,2006
2,sdn,2007
2,sdn,2008
5,sdn,2009
9,sdn,2011
14,sur,2004
24,sur,2005
28,sur,2006
42,sur,2007
47,sur,2008
38,sur,2009
44,sur,2010
53,sur,2011
11,swz,2004
21,swz,2005
28,swz,2006
35,swz,2007
44,swz,2008
64,swz,2009
73,swz,2010
83,swz,2011
0,tjk,2004
0,tjk,2005
2,tjk,2006
4,tjk,2007
5,tjk,2008
11,tjk,2009
15,tjk,2010
22,tjk,2011
0,tza,2004
3,tza,2005
9,tza,2006
21,tza,2007
24,tza,2008
32,tza,2009
38,tza,2010
40,tza,2011
17,tha,2004
26,tha,2005
34,tha,2006
44,tha,2007
53,tha,2008
72,tha,2009
67,tha,2010
71,tha,2011
4,tgo,2004
13,tgo,2005
13,tgo,2006
15,tgo,2007
20,tgo,2008
26,tgo,2009
36,tgo,2010
42,tgo,2011
95,tun,2004
57,tun,2005
63,tun,2006
53,tun,2007
49,tun,2008
70,tun,2009
63,tun,2010
67,tun,2011
32,tur,2004
38,tur,2005
66,tur,2006
74,tur,2007
65,tur,2008
67,tur,2009
56,tur,2010
50,tur,2011
9,uga,2004
16,uga,2005
20,uga,2006
24,uga,2007
31,uga,2008
41,uga,2009
45,uga,2010
54,uga,2011
1,ukr,2004
3,ukr,2005
3,ukr,2006
5,ukr,2007
7,ukr,2008
13,ukr,2009
19,ukr,2010
22,ukr,2011
63,ury,2004
39,ury,2005
37,ury,2006
40,ury,2007
45,ury,2008
39,ury,2009
49,ury,2010
41,ury,2011
74,ven,2009
80,ven,2010
79,ven,2011
1,vnm,2004
4,vnm,2005
10,vnm,2006
19,vnm,2007
25,vnm,2008
44,vnm,2009
52,vnm,2010
58,vnm,2011
4,yem,2009
7,yem,2010
8,yem,2011
5,zmb,2004
12,zmb,2005
21,zmb,2006
36,zmb,2007
51,zmb,2008
81,zmb,2009
72,zmb,2010
82,zmb,2011
1,zwe,2004
3,zwe,2005
9,zwe,2006
14,zwe,2007
22,zwe,2008
37,zwe,2009
54,zwe,2010
77,zwe,2011
6,ssd,2011
