geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
irq,67,2003
irq,71,2004
irq,75,2005
irq,78,2006
irq,79,2007
irl,19,1990
irl,18,1991
irl,18,1992
irl,17,1993
irl,15,1994
irl,14,1995
irl,12,1996
irl,12,1997
irl,12,1998
irl,12,1999
irl,12,2000
irl,11,2001
irl,10,2002
irl,10,2003
irl,10,2004
irl,10,2005
irl,10,2006
irl,11,2007
isr,11,1990
isr,10,1991
isr,10,1992
isr,9,1993
isr,9,1994
isr,8,1995
isr,8,1996
isr,8,1997
isr,8,1998
isr,7,1999
isr,7,2000
isr,7,2001
isr,6,2002
isr,6,2003
isr,6,2004
isr,6,2005
isr,6,2006
isr,6,2007
ita,11,1990
ita,10,1991
ita,10,1992
ita,9,1993
ita,9,1994
ita,8,1995
ita,9,1996
ita,8,1997
ita,7,1998
ita,7,1999
ita,7,2000
ita,7,2001
ita,7,2002
ita,6,2003
ita,6,2004
ita,6,2005
ita,6,2006
ita,6,2007
jam,10,1990
jam,10,1991
jam,10,1992
jam,10,1993
jam,9,1994
jam,9,1995
jam,7,1996
jam,7,1997
jam,7,1998
jam,7,1999
jam,7,2000
jam,7,2001
jam,7,2002
jam,7,2003
jam,7,2004
jam,7,2005
jam,7,2006
jam,7,2007
jpn,62,1990
jpn,60,1991
jpn,58,1992
jpn,56,1993
jpn,53,1994
jpn,51,1995
jpn,50,1996
jpn,50,1997
jpn,49,1998
jpn,48,1999
jpn,45,2000
jpn,41,2001
jpn,39,2002
jpn,36,2003
jpn,34,2004
jpn,32,2005
jpn,30,2006
jpn,28,2007
jor,19,1990
jor,18,1991
jor,17,1992
jor,17,1993
jor,16,1994
jor,15,1995
jor,20,1996
jor,18,1997
jor,12,1998
jor,11,1999
jor,11,2000
jor,9,2001
jor,9,2002
jor,9,2003
jor,9,2004
jor,8,2005
jor,9,2006
jor,9,2007
kaz,95,1990
kaz,87,1991
kaz,85,1992
kaz,84,1993
kaz,85,1994
kaz,94,1995
kaz,109,1996
kaz,137,1997
kaz,163,1998
kaz,134,1999
kaz,141,2000
kaz,148,2001
kaz,150,2002
kaz,155,2003
kaz,152,2004
kaz,147,2005
kaz,144,2006
kaz,139,2007
ken,125,1990
ken,120,1991
ken,134,1992
ken,152,1993
ken,177,1994
ken,207,1995
ken,233,1996
ken,277,1997
ken,313,1998
ken,351,1999
ken,393,2000
ken,384,2001
ken,392,2002
ken,402,2003
ken,410,2004
ken,388,2005
ken,340,2006
ken,319,2007
kir,1026,1990
kir,1006,1991
kir,986,1992
kir,966,1993
kir,947,1994
kir,928,1995
kir,910,1996
kir,853,1997
kir,571,1998
kir,556,1999
kir,546,2000
kir,607,2001
kir,587,2002
kir,477,2003
kir,439,2004
kir,419,2005
kir,405,2006
kir,423,2007
kwt,89,1990
kwt,84,1991
kwt,80,1992
kwt,75,1993
kwt,72,1994
kwt,68,1995
kwt,66,1996
kwt,64,1997
kwt,61,1998
kwt,35,1999
kwt,33,2000
kwt,33,2001
kwt,30,2002
kwt,29,2003
kwt,29,2004
kwt,30,2005
kwt,25,2006
kwt,25,2007
kgz,90,1990
kgz,93,1991
kgz,93,1992
kgz,93,1993
kgz,101,1994
kgz,118,1995
kgz,141,1996
kgz,165,1997
kgz,147,1998
kgz,146,1999
kgz,156,2000
kgz,169,2001
kgz,153,2002
kgz,145,2003
kgz,139,2004
kgz,136,2005
kgz,135,2006
kgz,134,2007
lao,428,1990
lao,424,1991
lao,420,1992
lao,415,1993
lao,411,1994
lao,407,1995
lao,373,1996
lao,360,1997
lao,352,1998
lao,344,1999
lao,344,2000
lao,337,2001
lao,330,2002
lao,324,2003
lao,313,2004
lao,298,2005
lao,291,2006
lao,289,2007
lva,56,1990
lva,57,1991
lva,59,1992
lva,63,1993
lva,75,1994
lva,91,1995
lva,77,1996
lva,89,1997
lva,92,1998
lva,95,1999
lva,91,2000
lva,89,2001
lva,85,2002
lva,78,2003
lva,72,2004
lva,66,2005
lva,61,2006
lva,55,2007
lbn,64,1990
lbn,64,1991
lbn,63,1992
lbn,62,1993
lbn,62,1994
lbn,59,1995
lbn,64,1996
lbn,54,1997
lbn,50,1998
lbn,37,1999
lbn,35,2000
lbn,30,2001
lbn,26,2002
lbn,24,2003
lbn,22,2004
lbn,21,2005
lbn,23,2006
lbn,23,2007
lso,225,1990
lso,231,1991
lso,229,1992
lso,228,1993
lso,232,1994
lso,242,1995
lso,248,1996
lso,264,1997
lso,298,1998
lso,518,1999
lso,356,2000
lso,370,2001
lso,399,2002
lso,408,2003
lso,414,2004
lso,421,2005
lso,408,2006
lso,568,2007
lbr,476,1990
lbr,473,1991
lbr,469,1992
lbr,465,1993
lbr,462,1994
lbr,461,1995
lbr,418,1996
lbr,424,1997
lbr,396,1998
lbr,403,1999
lbr,435,2000
lbr,437,2001
lbr,382,2002
lbr,429,2003
lbr,370,2004
lbr,416,2005
lbr,393,2006
lbr,398,2007
lby,46,1990
lby,45,1991
lby,45,1992
lby,43,1993
lby,43,1994
lby,42,1995
lby,41,1996
lby,38,1997
lby,36,1998
lby,23,1999
lby,22,2000
lby,22,2001
lby,21,2002
lby,20,2003
lby,19,2004
lby,18,2005
lby,18,2006
lby,17,2007
ltu,64,1990
ltu,66,1991
ltu,71,1992
ltu,79,1993
ltu,89,1994
ltu,98,1995
ltu,110,1996
ltu,119,1997
ltu,125,1998
ltu,120,1999
ltu,115,2000
ltu,96,2001
ltu,83,2002
ltu,72,2003
ltu,72,2004
ltu,66,2005
ltu,65,2006
ltu,69,2007
lux,19,1990
lux,18,1991
lux,17,1992
lux,16,1993
lux,15,1994
lux,14,1995
lux,14,1996
lux,13,1997
lux,13,1998
lux,12,1999
lux,11,2000
lux,11,2001
lux,11,2002
lux,10,2003
lux,10,2004
lux,10,2005
lux,10,2006
lux,9,2007
mdg,367,1990
mdg,368,1991
mdg,369,1992
mdg,369,1993
mdg,370,1994
mdg,370,1995
mdg,339,1996
mdg,345,1997
mdg,346,1998
mdg,352,1999
mdg,359,2000
mdg,371,2001
mdg,382,2002
mdg,375,2003
mdg,384,2004
mdg,408,2005
mdg,400,2006
mdg,417,2007
mwi,380,1990
mwi,376,1991
mwi,365,1992
mwi,355,1993
mwi,353,1994
mwi,348,1995
mwi,337,1996
mwi,342,1997
mwi,345,1998
mwi,349,1999
mwi,362,2000
mwi,350,2001
mwi,358,2002
mwi,353,2003
mwi,346,2004
mwi,342,2005
mwi,324,2006
mwi,305,2007
mys,159,1990
mys,158,1991
mys,156,1992
mys,155,1993
mys,153,1994
mys,151,1995
mys,147,1996
mys,173,1997
mys,170,1998
mys,167,1999
mys,135,2000
mys,133,2001
mys,132,2002
mys,128,2003
mys,128,2004
mys,126,2005
mys,123,2006
mys,121,2007
mdv,143,1990
mdv,130,1991
mdv,118,1992
mdv,107,1993
mdv,97,1994
mdv,88,1995
mdv,88,1996
mdv,101,1997
mdv,89,1998
mdv,94,1999
mdv,96,2000
mdv,84,2001
mdv,83,2002
mdv,69,2003
mdv,71,2004
mdv,63,2005
mdv,69,2006
mdv,48,2007
mli,640,1990
mli,631,1991
mli,621,1992
mli,609,1993
mli,597,1994
mli,583,1995
mli,573,1996
mli,566,1997
mli,565,1998
mli,567,1999
mli,571,2000
mli,573,2001
mli,572,2002
mli,578,2003
mli,584,2004
mli,589,2005
mli,593,2006
mli,599,2007
mlt,10,1990
mlt,9,1991
mlt,9,1992
mlt,8,1993
mlt,8,1994
mlt,7,1995
mlt,7,1996
mlt,7,1997
mlt,7,1998
mlt,6,1999
mlt,6,2000
mlt,6,2001
mlt,5,2002
mlt,5,2003
mlt,5,2004
mlt,5,2005
mlt,5,2006
mlt,5,2007
mrt,585,1990
mrt,587,1991
mrt,590,1992
mrt,592,1993
mrt,594,1994
mrt,595,1995
mrt,622,1996
mrt,615,1997
mrt,612,1998
mrt,615,1999
mrt,619,2000
mrt,624,2001
mrt,632,2002
mrt,642,2003
mrt,494,2004
mrt,565,2005
mrt,556,2006
mrt,559,2007
mus,53,1990
mus,51,1991
mus,50,1992
mus,48,1993
mus,47,1994
mus,45,1995
mus,62,1996
mus,61,1997
mus,45,1998
mus,40,1999
mus,39,2000
mus,42,2001
mus,40,2002
mus,39,2003
mus,38,2004
mus,39,2005
mus,39,2006
mus,39,2007
mex,101,1990
mex,93,1991
mex,86,1992
mex,80,1993
mex,74,1994
mex,68,1995
mex,64,1996
mex,58,1997
mex,52,1998
mex,48,1999
