geo,all_forms_of_tb_existing_cases_per_100000_estimated,time
zaf,692,2007
esp,44,1990
esp,42,1991
esp,40,1992
esp,37,1993
esp,35,1994
esp,34,1995
esp,33,1996
esp,30,1997
esp,30,1998
esp,28,1999
esp,27,2000
esp,26,2001
esp,26,2002
esp,25,2003
esp,24,2004
esp,24,2005
esp,24,2006
esp,23,2007
lka,109,1990
lka,106,1991
lka,104,1992
lka,102,1993
lka,99,1994
lka,97,1995
lka,102,1996
lka,93,1997
lka,90,1998
lka,89,1999
lka,107,2000
lka,99,2001
lka,88,2002
lka,89,2003
lka,87,2004
lka,75,2005
lka,80,2006
lka,79,2007
sdn,409,1990
sdn,404,1991
sdn,402,1992
sdn,402,1993
sdn,403,1994
sdn,405,1995
sdn,409,1996
sdn,417,1997
sdn,378,1998
sdn,382,1999
sdn,375,2000
sdn,389,2001
sdn,363,2002
sdn,371,2003
sdn,376,2004
sdn,384,2005
sdn,391,2006
sdn,402,2007
sur,109,1990
sur,100,1991
sur,79,1992
sur,80,1993
sur,76,1994
sur,78,1995
sur,88,1996
sur,101,1997
sur,118,1998
sur,122,1999
sur,115,2000
sur,113,2001
sur,113,2002
sur,120,2003
sur,126,2004
sur,136,2005
sur,146,2006
sur,155,2007
swz,629,1990
swz,590,1991
swz,527,1992
swz,477,1993
swz,448,1994
swz,441,1995
swz,460,1996
swz,504,1997
swz,556,1998
swz,647,1999
swz,740,2000
swz,832,2001
swz,693,2002
swz,739,2003
swz,776,2004
swz,788,2005
swz,801,2006
swz,812,2007
swe,5,1990
swe,5,1991
swe,6,1992
swe,6,1993
swe,5,1994
swe,5,1995
swe,5,1996
swe,4,1997
swe,4,1998
swe,4,1999
swe,4,2000
swe,4,2001
swe,4,2002
swe,4,2003
swe,4,2004
swe,4,2005
swe,4,2006
swe,5,2007
che,14,1990
che,13,1991
che,12,1992
che,11,1993
che,10,1994
che,10,1995
che,9,1996
che,8,1997
che,8,1998
che,8,1999
che,7,2000
che,6,2001
che,6,2002
che,6,2003
che,6,2004
che,5,2005
che,5,2006
che,5,2007
syr,94,1990
syr,89,1991
syr,84,1992
syr,80,1993
syr,75,1994
syr,71,1995
syr,67,1996
syr,61,1997
syr,54,1998
syr,48,1999
syr,41,2000
syr,37,2001
syr,35,2002
syr,33,2003
syr,31,2004
syr,30,2005
syr,29,2006
syr,27,2007
tjk,193,1990
tjk,162,1991
tjk,112,1992
tjk,79,1993
tjk,85,1994
tjk,106,1995
tjk,134,1996
tjk,141,1997
tjk,159,1998
tjk,169,1999
tjk,191,2000
tjk,221,2001
tjk,248,2002
tjk,256,2003
tjk,277,2004
tjk,282,2005
tjk,301,2006
tjk,322,2007
tha,336,1990
tha,319,1991
tha,307,1992
tha,297,1993
tha,291,1994
tha,285,1995
tha,285,1996
tha,279,1997
tha,256,1998
tha,231,1999
tha,223,2000
tha,194,2001
tha,197,2002
tha,189,2003
tha,188,2004
tha,184,2005
tha,189,2006
tha,192,2007
mkd,92,1990
mkd,90,1991
mkd,89,1992
mkd,86,1993
mkd,83,1994
mkd,77,1995
mkd,74,1996
mkd,73,1997
mkd,72,1998
mkd,65,1999
mkd,56,2000
mkd,39,2001
mkd,40,2002
mkd,37,2003
mkd,34,2004
mkd,34,2005
mkd,34,2006
mkd,33,2007
tls,706,1990
tls,694,1991
tls,681,1992
tls,669,1993
tls,656,1994
tls,644,1995
tls,644,1996
tls,644,1997
tls,644,1998
tls,644,1999
tls,644,2000
tls,644,2001
tls,345,2002
tls,359,2003
tls,367,2004
tls,370,2005
tls,385,2006
tls,378,2007
tgo,702,1990
tgo,687,1991
tgo,668,1992
tgo,647,1993
tgo,628,1994
tgo,614,1995
tgo,613,1996
tgo,658,1997
tgo,637,1998
tgo,647,1999
tgo,656,2000
tgo,669,2001
tgo,701,2002
tgo,693,2003
tgo,702,2004
tgo,713,2005
tgo,726,2006
tgo,750,2007
tkl,139,1990
tkl,140,1991
tkl,143,1992
tkl,112,1993
tkl,0,1994
tkl,301,1995
tkl,0,1996
tkl,112,1997
tkl,112,1998
tkl,0,1999
tkl,0,2000
tkl,0,2001
tkl,112,2002
tkl,0,2003
tkl,112,2004
tkl,0,2005
tkl,0,2006
tkl,0,2007
ton,45,1990
ton,44,1991
ton,43,1992
ton,43,1993
ton,42,1994
ton,41,1995
ton,38,1996
ton,38,1997
ton,31,1998
ton,34,1999
ton,34,2000
ton,42,2001
ton,35,2002
ton,36,2003
ton,39,2004
ton,32,2005
ton,34,2006
ton,28,2007
tto,17,1990
tto,17,1991
tto,17,1992
tto,16,1993
tto,16,1994
tto,16,1995
tto,16,1996
tto,16,1997
tto,15,1998
tto,15,1999
tto,15,2000
tto,16,2001
tto,15,2002
tto,15,2003
tto,15,2004
tto,15,2005
tto,15,2006
tto,15,2007
tun,49,1990
tun,46,1991
tun,49,1992
tun,51,1993
tun,51,1994
tun,49,1995
tun,48,1996
tun,46,1997
tun,44,1998
tun,31,1999
tun,30,2000
tun,28,2001
tun,27,2002
tun,26,2003
tun,27,2004
tun,27,2005
tun,28,2006
tun,28,2007
tur,83,1990
tur,79,1991
tur,77,1992
tur,73,1993
tur,68,1994
tur,62,1995
tur,62,1996
tur,63,1997
tur,64,1998
tur,57,1999
tur,49,2000
tur,45,2001
tur,44,2002
tur,43,2003
tur,44,2004
tur,44,2005
tur,32,2006
tur,34,2007
tkm,105,1990
tkm,99,1991
tkm,101,1992
tkm,97,1993
tkm,92,1994
tkm,80,1995
tkm,92,1996
tkm,114,1997
tkm,137,1998
tkm,142,1999
tkm,130,2000
tkm,115,2001
tkm,110,2002
tkm,103,2003
tkm,98,2004
tkm,91,2005
tkm,85,2006
tkm,75,2007
tca,42,1990
tca,40,1991
tca,37,1992
tca,35,1993
tca,33,1994
tca,31,1995
tca,30,1996
tca,29,1997
tca,28,1998
tca,17,1999
tca,16,2000
tca,23,2001
tca,23,2002
tca,22,2003
tca,22,2004
tca,22,2005
tca,18,2006
tca,17,2007
tuv,593,1990
tuv,573,1991
tuv,554,1992
tuv,535,1993
tuv,518,1994
tuv,500,1995
tuv,484,1996
tuv,467,1997
tuv,452,1998
tuv,437,1999
tuv,422,2000
tuv,408,2001
tuv,394,2002
tuv,381,2003
tuv,368,2004
tuv,245,2005
tuv,261,2006
tuv,203,2007
uga,206,1990
uga,313,1991
uga,342,1992
uga,377,1993
uga,394,1994
uga,418,1995
uga,419,1996
uga,342,1997
uga,357,1998
uga,359,1999
uga,391,2000
uga,411,2001
uga,447,2002
uga,476,2003
uga,472,2004
uga,469,2005
uga,450,2006
uga,426,2007
ukr,67,1990
ukr,64,1991
ukr,67,1992
ukr,72,1993
ukr,75,1994
ukr,78,1995
ukr,87,1996
ukr,93,1997
ukr,104,1998
ukr,109,1999
ukr,120,2000
ukr,128,2001
ukr,133,2002
ukr,135,2003
ukr,132,2004
ukr,113,2005
ukr,99,2006
ukr,102,2007
are,47,1990
are,44,1991
are,42,1992
are,39,1993
are,38,1994
are,36,1995
are,34,1996
are,33,1997
are,31,1998
are,30,1999
are,27,2000
are,27,2001
are,27,2002
are,25,2003
are,25,2004
are,24,2005
are,24,2006
are,24,2007
gbr,9,1990
gbr,9,1991
gbr,10,1992
gbr,10,1993
gbr,9,1994
gbr,9,1995
gbr,9,1996
gbr,9,1997
gbr,9,1998
gbr,9,1999
gbr,9,2000
gbr,9,2001
gbr,9,2002
gbr,10,2003
gbr,10,2004
gbr,11,2005
gbr,11,2006
gbr,12,2007
tza,215,1990
tza,228,1991
tza,240,1992
tza,252,1993
tza,269,1994
tza,283,1995
tza,301,1996
tza,324,1997
tza,333,1998
tza,347,1999
tza,364,2000
tza,367,2001
tza,383,2002
tza,380,2003
tza,373,2004
tza,364,2005
tza,353,2006
tza,337,2007
vir,30,1990
vir,28,1991
vir,27,1992
vir,25,1993
vir,24,1994
vir,23,1995
vir,19,1996
vir,18,1997
vir,17,1998
vir,19,1999
vir,19,2000
vir,18,2001
vir,18,2002
vir,17,2003
vir,17,2004
vir,16,2005
vir,16,2006
vir,16,2007
usa,7,1990
usa,7,1991
usa,7,1992
usa,7,1993
usa,6,1994
usa,6,1995
usa,6,1996
usa,5,1997
usa,5,1998
usa,4,1999
usa,4,2000
usa,4,2001
usa,4,2002
usa,4,2003
usa,3,2004
usa,3,2005
usa,3,2006
usa,3,2007
ury,35,1990
ury,34,1991
ury,33,1992
ury,32,1993
ury,31,1994
ury,30,1995
ury,28,1996
ury,27,1997
ury,28,1998
ury,28,1999
ury,27,2000
ury,25,2001
ury,27,2002
ury,25,2003
ury,23,2004
ury,24,2005
ury,25,2006
ury,23,2007
uzb,114,1990
uzb,105,1991
uzb,102,1992
uzb,118,1993
uzb,116,1994
uzb,119,1995
uzb,111,1996
uzb,122,1997
uzb,129,1998
uzb,134,1999
uzb,139,2000
uzb,148,2001
uzb,144,2002
uzb,152,2003
uzb,149,2004
uzb,144,2005
uzb,134,2006
uzb,140,2007
vut,278,1990
vut,268,1991
vut,259,1992
vut,250,1993
vut,242,1994
vut,234,1995
vut,226,1996
vut,218,1997
vut,211,1998
vut,159,1999
vut,143,2000
vut,128,2001
vut,149,2002
vut,128,2003
vut,118,2004
vut,131,2005
vut,104,2006
vut,102,2007
ven,46,1990
ven,45,1991
ven,44,1992
ven,43,1993
ven,42,1994
ven,42,1995
ven,41,1996
ven,41,1997
ven,40,1998
ven,39,1999
ven,39,2000
ven,41,2001
ven,41,2002
ven,39,2003
ven,38,2004
ven,38,2005
ven,38,2006
ven,39,2007
vnm,365,1990
vnm,361,1991
vnm,358,1992
vnm,354,1993
vnm,350,1994
vnm,346,1995
vnm,312,1996
vnm,273,1997
vnm,261,1998
vnm,253,1999
vnm,248,2000
vnm,243,2001
vnm,235,2002
vnm,234,2003
vnm,226,2004
vnm,227,2005
vnm,222,2006
vnm,220,2007
wlf,126,1990
wlf,352,1991
wlf,64,1992
wlf,174,1993
wlf,172,1994
wlf,93,1995
wlf,123,1996
wlf,213,1997
wlf,107,1998
wlf,105,1999
wlf,103,2000
wlf,13,2001
wlf,275,2002
wlf,147,2003
wlf,63,2004
wlf,57,2005
wlf,60,2006
wlf,25,2007
pse,55,1990
pse,54,1991
pse,54,1992
pse,52,1993
pse,52,1994
pse,50,1995
pse,49,1996
pse,46,1997
pse,44,1998
pse,42,1999
pse,40,2000
pse,39,2001
pse,37,2002
pse,36,2003
pse,35,2004
pse,33,2005
pse,32,2006
pse,31,2007
yem,265,1990
yem,261,1991
yem,263,1992
yem,253,1993
yem,250,1994
yem,244,1995
yem,233,1996
yem,207,1997
yem,194,1998
yem,175,1999
yem,164,2000
yem,154,2001
yem,149,2002
yem,146,2003
yem,138,2004
yem,137,2005
yem,135,2006
yem,130,2007
zmb,436,1990
zmb,456,1991
zmb,494,1992
zmb,526,1993
zmb,556,1994
zmb,585,1995
zmb,602,1996
zmb,626,1997
zmb,634,1998
zmb,657,1999
zmb,658,2000
zmb,680,2001
zmb,517,2002
zmb,478,2003
zmb,468,2004
zmb,453,2005
zmb,422,2006
zmb,387,2007
zwe,409,1990
zwe,417,1991
zwe,415,1992
zwe,419,1993
zwe,426,1994
zwe,439,1995
zwe,453,1996
zwe,481,1997
zwe,392,1998
zwe,430,1999
zwe,479,2000
zwe,523,2001
zwe,571,2002
zwe,632,2003
zwe,652,2004
zwe,680,2005
zwe,699,2006
zwe,714,2007
