births_attended_by_skilled_health_staff_percent_of_total,geo,time
99.0,bgr,1999
99.8,bgr,2000
98.9,bgr,2001
99.2,bgr,2002
99.2,bgr,2003
99.4,bgr,2004
99.4,bgr,2005
99.4,bgr,2006
99.6,bgr,2007
99.6,bgr,2008
99.6,bgr,2009
41.5,bfa,1993
30.9,bfa,1999
37.8,bfa,2003
53.5,bfa,2006
19.1,bdi,1987
25.2,bdi,2000
33.6,bdi,2005
60.3,bdi,2010
34.0,khm,1998
31.8,khm,2000
43.8,khm,2005
71.0,khm,2010
63.9,cmr,1991
58.2,cmr,1998
60.0,cmr,2000
61.8,cmr,2004
63.0,cmr,2006
100.0,can,1987
98.0,can,1995
98.3,can,2001
100.0,can,2004
100.0,can,2007
54.0,cpv,1995
88.5,cpv,1998
77.5,cpv,2005
100.0,cym,2005
45.9,caf,1995
44.1,caf,2000
53.4,caf,2006
43.7,caf,2009
15.0,tcd,1997
16.3,tcd,2000
14.4,tcd,2004
22.68,tcd,2010
99.4,chl,1993
99.5,chl,1994
99.5,chl,1995
99.6,chl,1996
99.6,chl,1997
99.7,chl,1998
99.8,chl,2001
99.8,chl,2002
99.8,chl,2004
99.8,chl,2005
99.8,chl,2006
99.7,chl,2007
99.85,chl,2008
94.0,chn,1990
93.7,chn,1991
84.1,chn,1992
83.6,chn,1993
89.3,chn,1995
93.1,chn,1996
93.8,chn,1997
96.8,chn,1999
96.6,chn,2000
97.3,chn,2001
96.7,chn,2002
95.86,chn,2003
97.3,chn,2004
97.5,chn,2005
97.8,chn,2006
98.4,chn,2007
99.1,chn,2008
99.3,chn,2009
71.0,col,1986
93.7,col,1990
84.6,col,1995
86.4,col,2000
96.4,col,2005
97.7,col,2010
51.6,com,1996
61.8,com,2000
60.7,cod,2001
74.0,cod,2007
79.3,cod,2010
83.4,cog,2005
97.0,cri,1986
98.0,cri,1992
98.0,cri,1998
98.2,cri,1999
98.0,cri,2001
98.5,cri,2004
99.1,cri,2008
99.17,cri,2009
99.26,cri,2010
45.4,civ,1994
47.1,civ,1999
62.8,civ,2000
68.0,civ,2004
55.1,civ,2005
56.8,civ,2006
99.7,hrv,1989
99.8,hrv,1990
99.8,hrv,1991
99.8,hrv,1992
99.8,hrv,1993
99.8,hrv,1994
99.9,hrv,1995
99.8,hrv,1996
99.9,hrv,1997
99.8,hrv,1998
99.9,hrv,1999
99.9,hrv,2000
99.9,hrv,2001
99.9,hrv,2002
99.9,hrv,2003
99.9,hrv,2004
99.9,hrv,2005
99.9,hrv,2006
99.9,hrv,2007
99.9,hrv,2008
99.9,hrv,2009
100.0,hrv,2010
99.8,cub,1993
99.9,cub,1999
99.9,cub,2001
99.9,cub,2004
99.9,cub,2005
99.9,cub,2007
99.9,cub,2008
99.9,cub,2009
99.9,cub,2010
99.0,cyp,2003
100.0,cze,1989
100.0,cze,1990
100.0,cze,1991
100.0,cze,1992
100.0,cze,1993
100.0,cze,1994
100.0,cze,1995
100.0,cze,1996
100.0,cze,1997
99.9,cze,1998
99.9,cze,1999
99.9,cze,2000
99.9,cze,2001
99.9,cze,2002
99.9,cze,2003
99.9,cze,2004
99.9,cze,2005
99.9,cze,2006
99.9,cze,2007
99.9,cze,2008
99.9,cze,2009
100.0,dnk,1987
60.57,dji,2003
92.9,dji,2006
100.0,dma,1995
95.0,dma,1998
99.9,dma,1999
100.0,dma,2000
100.0,dma,2001
100.0,dma,2002
100.0,dma,2003
100.0,dma,2004
99.0,dma,2005
94.0,dma,2007
100.0,dma,2008
89.7,dom,1986
92.4,dom,1991
95.5,dom,1996
96.0,dom,1999
97.6,dom,2000
98.7,dom,2002
95.9,dom,2006
97.8,dom,2007
61.3,ecu,1987
98.7,ecu,1994
99.1,ecu,1999
98.2,ecu,2004
34.6,egy,1988
36.5,egy,1991
40.7,egy,1992
46.3,egy,1995
56.4,egy,1997
55.2,egy,1998
60.9,egy,2000
69.4,egy,2003
74.2,egy,2005
78.9,egy,2008
85.4,slv,1985
90.0,slv,1988
87.4,slv,1993
90.4,slv,1998
92.4,slv,2003
95.5,slv,2008
5.0,gnq,1994
64.6,gnq,2000
20.6,eri,1995
28.3,eri,2002
99.0,est,1989
99.0,est,1992
99.1,est,1993
99.3,est,1994
99.5,est,1995
99.6,est,1996
99.5,est,1997
99.6,est,1998
99.6,est,1999
99.7,est,2000
99.7,est,2001
99.6,est,2002
99.7,est,2003
99.8,est,2004
99.8,est,2005
99.8,est,2006
5.6,eth,2000
5.7,eth,2005
100.0,fji,1998
99.0,fji,2000
99.0,fji,2002
99.0,fji,2008
100.0,fin,1993
99.9,fin,2003
99.0,fra,1993
99.0,pyf,2000
85.5,gab,2000
44.1,gmb,1990
54.7,gmb,2000
56.8,gmb,2006
56.7,gmb,2010
94.6,geo,1989
96.6,geo,1990
91.3,geo,1991
91.1,geo,1992
90.8,geo,1993
96.0,geo,1998
96.9,geo,1999
95.7,geo,2000
96.7,geo,2001
97.4,geo,2002
99.0,geo,2003
99.7,geo,2004
98.3,geo,2005
99.8,geo,2006
99.8,geo,2007
99.8,geo,2008
99.9,geo,2009
100.0,deu,1986
100.0,deu,2006
40.2,gha,1988
43.8,gha,1993
44.3,gha,1998
47.1,gha,2003
49.7,gha,2006
55.2,gha,2007
57.1,gha,2008
100.0,grd,1995
99.0,grd,1998
99.0,grd,1999
100.0,grd,2000
100.0,grd,2002
100.0,grd,2005
98.8,grd,2007
99.4,gum,2001
35.0,gtm,1984
29.2,gtm,1987
34.8,gtm,1995
40.6,gtm,1999
41.4,gtm,2002
51.4,gtm,2009
30.5,gin,1992
34.8,gin,1999
55.5,gin,2003
38.0,gin,2005
46.1,gin,2007
25.0,gnb,1995
34.7,gnb,2000
38.8,gnb,2006
44.0,gnb,2010
93.0,guy,1995
95.0,guy,1997
94.0,guy,1998
85.6,guy,2000
93.8,guy,2001
94.0,guy,2003
94.0,guy,2005
83.3,guy,2006
83.3,guy,2007
91.9,guy,2009
23.0,hti,1989
20.6,hti,1995
23.8,hti,2000
26.1,hti,2006
42.1,hnd,1987
46.9,hnd,1992
54.9,hnd,1996
55.7,hnd,2001
66.9,hnd,2006
100.0,hkg,2005
99.4,hun,1989
99.4,hun,1990
99.4,hun,1991
99.5,hun,1992
99.4,hun,1993
99.4,hun,1994
99.4,hun,1995
99.5,hun,1996
99.5,hun,1997
99.5,hun,1998
99.5,hun,1999
99.5,hun,2000
99.6,hun,2001
99.6,hun,2002
99.6,hun,2003
99.6,hun,2004
99.6,hun,2005
99.7,hun,2006
99.6,hun,2007
99.5,hun,2008
99.6,hun,2009
34.2,ind,1993
42.3,ind,1999
42.5,ind,2000
46.6,ind,2006
52.7,ind,2008
36.3,idn,1987
40.7,idn,1990
31.7,idn,1991
36.5,idn,1994
49.7,idn,1995
43.2,idn,1997
56.0,idn,1998
66.9,idn,2000
68.4,idn,2002
66.3,idn,2003
71.5,idn,2004
79.4,idn,2007
74.86,idn,2008
82.2,idn,2010
86.1,irn,1997
89.6,irn,2000
97.3,irn,2005
54.0,irq,1989
72.1,irq,2000
88.5,irq,2006
79.7,irq,2007
100.0,irl,2002
100.0,irl,2003
99.0,isr,1987
99.0,ita,2003
92.0,jam,1989
90.0,jam,1996
94.6,jam,1997
95.9,jam,2000
98.5,jam,2001
96.9,jam,2002
97.4,jam,2003
96.7,jam,2005
94.5,jam,2006
98.0,jam,2008
100.0,jpn,1990
100.0,jpn,1996
99.8,jpn,2004
87.2,jor,1990
96.7,jor,1997
99.5,jor,2002
99.1,jor,2007
99.0,kaz,1989
99.0,kaz,1990
98.1,kaz,1991
98.9,kaz,1992
98.6,kaz,1993
98.3,kaz,1994
99.6,kaz,1995
98.1,kaz,1996
97.6,kaz,1997
98.0,kaz,1998
99.1,kaz,1999
98.3,kaz,2000
98.5,kaz,2001
98.9,kaz,2002
99.4,kaz,2003
99.4,kaz,2004
99.4,kaz,2005
99.8,kaz,2006
99.5,kaz,2007
99.8,kaz,2008
50.0,ken,1989
45.4,ken,1993
44.3,ken,1998
41.6,ken,2003
43.8,ken,2009
72.0,kir,1994
84.98,kir,1998
88.9,kir,2002
63.0,kir,2005
65.0,kir,2008
96.7,prk,2000
97.1,prk,2004
100.0,prk,2009
100.0,kor,1997
100.0,kor,2003
96.0,kwt,1986
98.1,kwt,1996
100.0,kwt,2002
100.0,kwt,2007
98.8,kgz,1989
98.9,kgz,1990
98.9,kgz,1991
98.7,kgz,1992
98.3,kgz,1993
98.2,kgz,1994
98.0,kgz,1995
98.1,kgz,1996
98.1,kgz,1997
98.5,kgz,1998
98.5,kgz,1999
98.6,kgz,2000
98.7,kgz,2001
98.8,kgz,2002
98.9,kgz,2003
98.2,kgz,2004
97.9,kgz,2005
97.6,kgz,2006
98.4,kgz,2007
98.5,kgz,2008
98.5,kgz,2009
19.4,lao,2001
20.3,lao,2006
37.0,lao,2010
100.0,lva,1989
100.0,lva,1990
100.0,lva,1991
100.0,lva,1992
100.0,lva,1993
100.0,lva,1994
100.0,lva,1995
100.0,lva,1996
100.0,lva,1997
100.0,lva,1998
100.0,lva,1999
100.0,lva,2000
99.0,lva,2001
100.0,lva,2002
99.0,lva,2003
100.0,lva,2004
100.0,lva,2005
100.0,lva,2006
98.0,lbn,1996
98.0,lbn,2004
60.9,lso,1993
59.8,lso,2000
55.4,lso,2004
61.5,lso,2009
58.1,lbr,1986
50.9,lbr,2000
46.3,lbr,2007
94.4,lby,1995
99.0,lby,1999
99.8,lby,2008
100.0,ltu,1989
100.0,ltu,1990
100.0,ltu,1991
100.0,ltu,1992
100.0,ltu,1993
100.0,ltu,1994
100.0,ltu,1995
100.0,ltu,1996
100.0,ltu,1997
100.0,ltu,1998
100.0,ltu,1999
100.0,ltu,2000
100.0,ltu,2001
100.0,ltu,2002
100.0,ltu,2003
100.0,ltu,2004
100.0,ltu,2005
100.0,ltu,2006
100.0,lux,1986
99.9,lux,2002
99.9,lux,2003
100.0,mac,2004
87.8,mkd,1989
88.9,mkd,1990
89.3,mkd,1991
90.9,mkd,1992
93.3,mkd,1993
93.4,mkd,1994
94.1,mkd,1995
95.0,mkd,1996
95.6,mkd,1997
96.6,mkd,1998
97.0,mkd,1999
97.7,mkd,2000
97.6,mkd,2001
98.2,mkd,2002
98.9,mkd,2003
99.0,mkd,2004
98.1,mkd,2005
99.0,mkd,2006
99.6,mkd,2007
99.7,mkd,2008
99.8,mkd,2009
57.0,mdg,1992
47.3,mdg,1997
46.2,mdg,2000
51.3,mdg,2004
43.9,mdg,2009
54.8,mwi,1992
55.6,mwi,2000
60.5,mwi,2002
56.1,mwi,2004
53.6,mwi,2006
92.8,mys,1990
96.1,mys,1995
96.2,mys,1998
96.6,mys,2000
96.8,mys,2001
97.0,mys,2002
97.4,mys,2003
98.0,mys,2005
98.6,mys,2007
90.0,mdv,1994
70.3,mdv,2001
84.0,mdv,2004
94.8,mdv,2009
31.9,mli,1987
40.0,mli,1996
40.6,mli,2001
49.0,mli,2006
98.0,mlt,1993
100.0,mlt,2006
94.9,mhl,1998
95.0,mhl,2002
86.2,mhl,2007
40.0,mrt,1991
56.9,mrt,2001
60.9,mrt,2007
91.1,mus,1990
94.4,mus,1991
96.1,mus,1992
96.2,mus,1993
97.0,mus,1994
98.6,mus,1998
98.5,mus,1999
98.4,mus,2003
99.2,mus,2005
69.4,mex,1987
83.8,mex,1990
85.7,mex,1997
95.0,mex,2003
93.4,mex,2006
93.7,mex,2007
95.3,mex,2009
92.8,fsm,1999
87.7,fsm,2001
92.0,fsm,2008
100.0,mda,1989
100.0,mda,1990
100.0,mda,1991
100.0,mda,1992
100.0,mda,1993
100.0,mda,1994
100.0,mda,1995
100.0,mda,1996
100.0,mda,1997
98.0,mda,1998
98.0,mda,1999
98.0,mda,2000
99.0,mda,2001
99.6,mda,2002
99.4,mda,2003
99.3,mda,2004
99.5,mda,2005
99.6,mda,2006
99.6,mda,2007
99.5,mda,2008
99.7,mda,2009
93.6,mng,1998
96.6,mng,2000
97.3,mng,2003
99.7,mng,2004
99.2,mng,2005
99.4,mng,2008
99.8,mng,2010
99.1,mne,2000
99.5,mne,2001
99.7,mne,2002
99.7,mne,2003
99.6,mne,2004
98.8,mne,2006
100.0,mne,2007
24.0,mar,1984
26.0,mar,1987
31.0,mar,1992
39.6,mar,1995
62.6,mar,2004
44.2,moz,1997
47.7,moz,2003
55.3,moz,2008
46.3,mmr,1991
56.4,mmr,1997
57.0,mmr,2001
67.5,mmr,2003
63.9,mmr,2007
68.2,nam,1992
75.5,nam,2000
81.4,nam,2007
7.4,npl,1991
9.0,npl,1996
11.9,npl,2000
10.9,npl,2001
19.8,npl,2004
18.7,npl,2006
100.0,nld,1998
100.0,nld,2003
95.0,nzl,1994
100.0,nzl,1995
96.6,nzl,2001
61.0,nic,1993
64.6,nic,1998
66.9,nic,2001
73.7,nic,2007
14.9,ner,1992
17.6,ner,1998
15.7,ner,2000
17.7,ner,2006
30.8,nga,1990
41.6,nga,1999
35.2,nga,2003
38.9,nga,2008
99.6,mnp,2000
100.0,nor,1988
87.0,omn,1987
91.1,omn,1995
94.7,omn,2000
98.0,omn,2005
98.1,omn,2006
98.6,omn,2007
99.0,omn,2009
18.8,pak,1991
18.0,pak,1997
18.0,pak,1999
23.0,pak,2001
23.0,pak,2002
31.0,pak,2005
38.8,pak,2007
99.0,plw,1990
100.0,plw,1998
100.0,plw,2002
100.0,plw,2007
100.0,plw,2008
85.8,pan,1992
86.9,pan,1993
88.0,pan,1994
88.3,pan,1995
89.9,pan,1996
89.5,pan,1997
90.0,pan,1998
92.5,pan,2003
91.3,pan,2004
91.1,pan,2005
91.0,pan,2006
91.5,pan,2007
88.5,pan,2009
42.0,png,1995
53.2,png,1996
41.0,png,2000
39.0,png,2001
42.0,png,2004
53.0,png,2006
66.0,pry,1990
60.8,pry,1996
60.8,pry,1998
77.1,pry,2004
81.9,pry,2008
49.3,per,1986
52.5,per,1992
56.4,per,1996
59.3,per,2000
73.4,per,2004
71.0,per,2006
82.5,per,2009
83.8,per,2010
52.8,phl,1993
56.4,phl,1998
46.1,phl,1999
58.0,phl,2000
59.8,phl,2003
62.2,phl,2008
99.0,pol,1986
99.6,pol,1989
99.6,pol,1990
99.6,pol,1991
99.6,pol,1992
99.6,pol,1993
99.6,pol,1994
99.6,pol,1995
99.7,pol,1996
99.7,pol,1997
99.7,pol,1998
99.7,pol,1999
99.8,pol,2000
99.8,pol,2001
99.8,pol,2002
99.8,pol,2003
99.8,pol,2004
99.9,pol,2005
98.0,prt,1989
99.7,prt,1998
99.7,prt,2000
99.9,prt,2001
99.8,pri,2004
98.2,qat,1996
99.0,qat,1998
100.0,qat,2002
100.0,qat,2009
99.9,rou,1989
99.8,rou,1990
99.9,rou,1991
99.7,rou,1992
98.9,rou,1993
99.0,rou,1994
99.1,rou,1995
99.0,rou,1996
98.3,rou,1997
99.0,rou,1998
99.0,rou,1999
99.0,rou,2000
96.5,rou,2001
98.5,rou,2002
98.9,rou,2004
98.1,rou,2005
98.2,rou,2006
98.8,rou,2007
98.7,rou,2008
98.5,rou,2009
99.2,rus,1989
99.2,rus,1990
99.2,rus,1991
99.1,rus,1992
99.1,rus,1993
99.1,rus,1994
99.1,rus,1995
99.1,rus,1996
99.1,rus,1997
99.1,rus,1998
99.1,rus,1999
99.2,rus,2000
99.3,rus,2001
99.3,rus,2002
99.4,rus,2003
99.3,rus,2004
99.4,rus,2005
99.5,rus,2006
99.6,rus,2007
99.6,rus,2008
99.7,rus,2009
25.8,rwa,1992
31.3,rwa,2000
38.6,rwa,2005
52.1,rwa,2008
69.0,rwa,2010
100.0,kna,1995
99.4,kna,1998
99.4,kna,2000
99.5,kna,2002
100.0,kna,2004
100.0,kna,2005
100.0,kna,2007
100.0,kna,2008
100.0,lca,1995
99.7,lca,1997
100.0,lca,2000
98.0,lca,2002
99.0,lca,2003
100.0,lca,2004
100.0,lca,2005
97.9,lca,2006
100.0,lca,2007
100.0,vct,1995
98.0,vct,1998
99.3,vct,1999
100.0,vct,2000
100.0,vct,2001
100.0,vct,2002
100.0,vct,2005
100.0,vct,2007
99.2,vct,2008
76.0,wsm,1990
100.0,wsm,1998
100.0,wsm,2004
80.8,wsm,2009
78.6,stp,2000
76.4,stp,2003
80.7,stp,2006
81.7,stp,2009
91.4,sau,1996
96.0,sau,2004
97.0,sau,2008
41.4,sen,1986
47.2,sen,1993
46.6,sen,1997
48.3,sen,1999
57.8,sen,2000
58.0,sen,2002
51.9,sen,2005
98.0,srb,2000
98.2,srb,2001
98.1,srb,2002
98.5,srb,2003
98.7,srb,2004
99.0,srb,2006
99.2,srb,2007
41.7,sle,2000
43.2,sle,2005
42.4,sle,2008
100.0,sgp,1998
99.7,sgp,2004
100.0,svk,1989
100.0,svk,1990
100.0,svk,1991
100.0,svk,1992
100.0,svk,1993
100.0,svk,1994
100.0,svk,1995
100.0,svk,1996
100.0,svk,1997
100.0,svk,1998
100.0,svk,1999
100.0,svk,2000
99.4,svk,2001
99.4,svk,2002
99.5,svk,2004
99.5,svk,2005
99.5,svk,2006
99.2,svk,2007
99.5,svk,2008
99.5,svk,2009
99.6,svn,1989
99.6,svn,1990
99.6,svn,1991
99.5,svn,1992
99.7,svn,1993
99.7,svn,1994
99.7,svn,1995
99.8,svn,1996
99.7,svn,1997
99.8,svn,1998
99.8,svn,1999
99.9,svn,2000
99.9,svn,2001
99.8,svn,2002
99.9,svn,2003
99.8,svn,2004
99.9,svn,2005
99.9,svn,2006
99.9,svn,2007
99.9,svn,2008
99.9,svn,2009
85.0,slb,1994
85.0,slb,1999
70.1,slb,2007
34.2,som,1999
24.8,som,2002
33.0,som,2006
82.0,zaf,1995
84.4,zaf,1998
91.2,zaf,2003
87.1,lka,1987
94.1,lka,1993
96.0,lka,2000
98.6,lka,2007
69.4,sdn,1990
49.2,sdn,2006
80.0,sur,1995
84.5,sur,2000
90.0,sur,2002
90.0,sur,2004
89.8,sur,2006
56.0,swz,1994
70.0,swz,2000
74.0,swz,2002
74.3,swz,2006
69.0,swz,2007
82.0,swz,2010
100.0,swe,1987
100.0,che,2006
76.9,syr,1993
89.7,syr,2004
93.0,syr,2006
96.2,syr,2009
93.6,tjk,1989
90.3,tjk,1991
82.6,tjk,1994
80.9,tjk,1995
79.0,tjk,1996
72.6,tjk,1997
74.1,tjk,1998
66.6,tjk,1999
71.1,tjk,2000
83.4,tjk,2005
88.4,tjk,2007
83.0,tjk,2009
43.9,tza,1992
38.2,tza,1996
35.8,tza,1999
43.4,tza,2005
48.9,tza,2010
69.0,tha,1987
99.3,tha,2000
97.3,tha,2006
99.4,tha,2009
25.8,tls,1997
23.7,tls,2002
18.4,tls,2003
29.3,tls,2010
31.3,tgo,1988
50.5,tgo,1998
48.6,tgo,2000
60.8,tgo,2003
62.0,tgo,2006
60.1,tgo,2010
92.0,ton,1991
95.3,ton,2000
95.0,ton,2001
98.0,ton,2004
98.0,ton,2008
97.9,tto,1987
99.0,tto,1995
99.0,tto,1997
99.1,tto,1999
96.0,tto,2000
99.5,tto,2001
96.6,tto,2002
99.7,tto,2003
99.6,tto,2004
97.8,tto,2006
69.0,tun,1988
80.5,tun,1995
89.9,tun,2000
94.6,tun,2006
75.9,tur,1993
80.6,tur,1998
83.0,tur,2003
89.3,tur,2007
91.3,tur,2008
95.0,tur,2009
95.8,tkm,1996
97.2,tkm,2000
97.2,tkm,2002
99.5,tkm,2003
98.5,tkm,2004
99.7,tkm,2005
99.5,tkm,2006
100.0,tca,1998
88.2,tca,1999
100.0,tca,2004
99.1,tca,2005
100.0,tca,2006
100.0,tuv,1990
99.0,tuv,1997
100.0,tuv,2002
97.9,tuv,2007
38.3,uga,1989
37.8,uga,1995
39.0,uga,2001
41.9,uga,2006
99.9,ukr,1989
99.9,ukr,1990
99.9,ukr,1991
99.9,ukr,1992
99.9,ukr,1993
99.9,ukr,1994
99.9,ukr,1995
99.9,ukr,1996
99.9,ukr,1997
99.9,ukr,1998
99.9,ukr,1999
99.9,ukr,2000
99.9,ukr,2001
99.9,ukr,2002
99.9,ukr,2003
99.9,ukr,2004
99.8,ukr,2005
99.9,ukr,2006
98.7,ukr,2007
99.2,are,1995
100.0,are,2003
100.0,are,2008
99.0,gbr,1998
99.0,usa,1989
99.0,usa,1997
99.3,usa,2003
99.6,ury,1997
99.6,ury,1999
99.3,ury,2004
99.7,ury,2009
97.5,uzb,1996
95.6,uzb,2000
99.9,uzb,2006
87.0,vut,1994
89.1,vut,1995
88.0,vut,1999
88.0,vut,2003
74.0,vut,2007
95.3,ven,1997
94.0,ven,2000
95.0,ven,2003
77.1,vnm,1997
69.6,vnm,2000
85.0,vnm,2002
87.7,vnm,2006
98.3,vir,2002
98.5,vir,2003
94.9,pse,1996
97.4,pse,2000
98.3,pse,2004
97.0,pse,2005
98.9,pse,2006
15.9,yem,1992
21.6,yem,1997
26.8,yem,2003
35.7,yem,2006
50.5,zmb,1992
46.5,zmb,1996
47.1,zmb,1999
43.4,zmb,2002
46.5,zmb,2007
69.6,zwe,1988
69.2,zwe,1994
72.5,zwe,1999
68.5,zwe,2006
60.2,zwe,2009
