geo,male_agriculture_workers_percent_of_male_labour_force,time
pri,2.3,2006
pri,1.9,2007
qat,4.3,1997
qat,2.7,2001
qat,3.2,2004
qat,3.5,2006
mda,52.0,2000
mda,51.8,2001
mda,50.7,2002
mda,44.3,2003
mda,41.0,2004
mda,41.1,2005
mda,35.3,2006
mda,35.5,2007
rou,22.4,1980
rou,22.1,1981
rou,21.9,1982
rou,22.3,1983
rou,22.4,1984
rou,22.6,1985
rou,22.5,1986
rou,22.3,1987
rou,22.5,1988
rou,22.4,1989
rou,24.6,1990
rou,26.3,1991
rou,28.8,1992
rou,32.2,1993
rou,34.8,1994
rou,35.3,1995
rou,34.3,1996
rou,35.3,1997
rou,36.9,1998
rou,38.9,1999
rou,40.4,2000
rou,39.9,2001
rou,34.6,2002
rou,34.4,2003
rou,31.0,2004
rou,31.4,2005
rou,29.7,2006
rou,28.2,2007
rus,16.0,1997
rus,15.5,1998
rus,17.5,1999
rus,17.1,2000
rus,14.6,2001
rus,13.6,2002
rus,13.4,2003
rus,12.4,2004
rus,12.3,2005
rus,12.1,2006
rus,11.0,2007
rwa,83.4,1989
kna,40.0,1984
lca,30.0,1993
lca,33.6,1994
lca,29.3,1995
lca,30.2,1996
lca,25.5,1997
lca,28.0,1998
lca,26.5,1999
lca,26.1,2000
lca,15.1,2002
lca,16.3,2003
lca,18.8,2004
vct,30.6,1991
vct,20.2,2001
smr,5.4,1980
smr,5.4,1981
smr,5.3,1982
smr,5.2,1983
smr,5.0,1984
smr,3.3,1985
smr,3.1,1986
smr,3.0,1987
smr,2.8,1988
smr,2.6,1989
smr,2.4,1990
smr,2.2,1991
smr,2.1,1992
smr,1.9,1993
smr,1.5,1995
smr,1.5,1996
smr,1.4,1997
smr,1.3,1998
smr,1.3,1999
smr,0.5,2001
smr,0.5,2002
smr,0.4,2003
smr,0.5,2004
smr,0.6,2005
smr,0.5,2006
smr,0.5,2007
stp,42.4,1980
stp,53.7,1981
stp,46.2,1982
stp,56.8,1983
stp,45.8,1984
stp,42.3,1991
stp,30.6,2000
sau,7.1,1999
sau,6.7,2000
sau,6.8,2001
sau,5.3,2002
sau,4.6,2006
sau,5.4,2007
sen,34.1,2006
srb,23.9,2004
srb,23.3,2005
srb,21.5,2006
srb,21.7,2007
sle,66.0,2004
sgp,1.5,1980
sgp,1.3,1981
sgp,1.1,1982
sgp,1.2,1983
sgp,0.9,1984
sgp,0.8,1985
sgp,1.0,1986
sgp,1.1,1987
sgp,0.6,1988
sgp,0.6,1989
sgp,0.6,1990
sgp,0.4,1991
sgp,0.5,1992
sgp,0.4,1993
sgp,0.4,1994
sgp,0.3,1995
sgp,0.3,1996
sgp,1.4,1997
sgp,1.1,1998
sgp,1.2,1999
sgp,0.0,2000
sgp,1.2,2001
sgp,1.1,2002
sgp,1.1,2003
sgp,1.1,2004
sgp,1.6,2006
sgp,1.6,2007
svk,12.5,1994
svk,11.4,1995
svk,10.9,1996
svk,11.4,1997
svk,10.4,1998
svk,9.6,1999
svk,8.9,2000
svk,8.2,2001
svk,8.0,2002
svk,7.7,2003
svk,7.0,2004
svk,6.4,2005
svk,5.9,2006
svk,5.8,2007
svn,11.1,1993
svn,11.9,1994
svn,10.4,1995
svn,10.7,1996
svn,11.8,1997
svn,11.7,1998
svn,10.6,1999
svn,9.4,2000
svn,10.1,2001
svn,9.6,2002
svn,8.4,2003
svn,9.6,2004
svn,8.6,2005
svn,9.8,2006
svn,10.0,2007
zaf,15.3,2000
zaf,12.9,2001
zaf,14.2,2002
zaf,12.8,2003
zaf,10.4,2004
zaf,8.6,2005
zaf,9.0,2006
zaf,10.6,2007
esp,19.6,1980
esp,19.2,1981
esp,19.2,1982
esp,19.3,1983
esp,19.2,1984
esp,19.1,1985
esp,17.1,1986
esp,16.1,1987
esp,14.9,1988
esp,13.6,1989
esp,12.3,1990
esp,11.2,1991
esp,10.7,1992
esp,10.8,1993
esp,10.5,1994
esp,9.9,1995
esp,9.6,1996
esp,9.3,1997
esp,9.1,1998
esp,8.4,1999
esp,7.8,2000
esp,7.7,2001
esp,7.2,2002
esp,6.9,2003
esp,6.7,2004
esp,6.5,2005
esp,5.8,2006
esp,5.6,2007
lka,44.2,1981
lka,47.2,1985
lka,36.9,1993
lka,40.8,1994
lka,35.5,1995
lka,32.8,1996
lka,37.7,1998
lka,21.7,2001
lka,27.9,2005
lka,29.1,2006
lka,28.4,2007
shn,15.0,1998
sur,4.8,1992
sur,5.7,1993
sur,8.1,1994
sur,8.8,1995
sur,7.9,1996
sur,6.3,1997
sur,6.7,1998
sur,8.4,1999
sur,9.9,2004
swe,7.6,1980
swe,7.7,1981
swe,7.7,1982
swe,7.6,1983
swe,7.1,1984
swe,6.8,1985
swe,5.2,1986
swe,5.5,1987
swe,5.5,1988
swe,5.2,1989
swe,4.9,1990
swe,4.7,1991
swe,4.7,1992
swe,4.9,1993
swe,5.0,1994
swe,4.5,1995
swe,4.3,1996
swe,4.0,1997
swe,3.7,1998
swe,3.7,1999
swe,3.5,2000
swe,3.4,2001
swe,3.2,2002
swe,3.2,2003
swe,3.2,2004
swe,3.0,2005
swe,3.0,2006
swe,3.4,2007
che,7.9,1980
che,7.3,1981
che,7.2,1982
che,7.2,1983
che,6.9,1984
che,6.8,1985
che,6.4,1986
che,5.9,1987
che,5.5,1988
che,5.1,1989
che,4.8,1990
che,4.7,1991
che,4.6,1992
che,4.8,1993
che,4.8,1994
che,5.0,1995
che,5.4,1996
che,5.4,1997
che,5.5,1998
che,5.6,1999
che,5.2,2000
che,4.9,2001
che,4.9,2002
che,4.8,2003
che,4.6,2004
che,4.6,2005
che,4.5,2006
che,5.0,2007
syr,27.2,1983
syr,22.1,1984
syr,22.7,1989
syr,26.0,1993
syr,22.6,1994
syr,20.7,1995
syr,17.0,1997
syr,23.4,1999
syr,26.2,2000
syr,25.5,2001
syr,24.7,2002
syr,22.6,2003
tjk,41.8,2004
tza,80.2,2001
tza,72.7,2006
tha,67.8,1980
tha,61.7,1981
tha,59.7,1982
tha,62.1,1983
tha,62.9,1984
tha,67.2,1985
tha,65.5,1986
tha,64.0,1987
tha,65.5,1988
tha,65.8,1989
tha,62.4,1990
tha,59.1,1991
tha,59.2,1992
tha,55.4,1993
tha,54.6,1994
tha,50.3,1995
tha,48.5,1996
tha,49.1,1997
tha,51.9,1998
tha,49.4,1999
tha,49.5,2000
tha,48.0,2001
tha,47.8,2002
tha,46.8,2003
tha,43.9,2004
tha,44.2,2005
tha,43.1,2006
tha,43.3,2007
mkd,23.4,2002
mkd,21.9,2003
mkd,18.0,2004
mkd,19.8,2005
mkd,20.0,2006
mkd,18.9,2007
ton,57.8,1984
ton,50.6,2003
tto,10.9,1980
tto,9.9,1981
tto,9.8,1982
tto,9.6,1983
tto,10.2,1984
tto,12.4,1985
tto,12.8,1986
tto,13.7,1987
tto,15.1,1988
tto,16.8,1989
tto,14.4,1991
tto,14.8,1992
tto,14.4,1993
tto,15.8,1994
tto,13.8,1995
tto,12.5,1996
tto,12.6,1997
tto,10.8,1998
tto,11.2,1999
tto,9.8,2000
tto,10.6,2001
tto,9.8,2002
tto,8.3,2003
tto,6.3,2004
tto,6.1,2005
tun,34.5,1980
tun,26.5,1989
tur,3.7,1982
tur,4.5,1983
tur,3.8,1984
tur,30.3,1985
tur,33.9,1988
tur,34.5,1989
tur,33.6,1990
tur,35.0,1991
tur,33.3,1992
tur,33.1,1993
tur,32.5,1994
tur,32.3,1995
tur,31.5,1996
tur,31.0,1997
tur,30.5,1998
tur,30.9,1999
tur,27.0,2000
tur,27.7,2001
tur,24.8,2002
tur,24.4,2003
tur,25.6,2004
tur,21.7,2005
tur,19.8,2006
tur,19.1,2007
uga,61.8,2003
are,9.0,1995
are,9.0,2000
are,5.6,2005
gbr,3.4,1980
gbr,3.6,1981
gbr,3.6,1982
gbr,3.6,1983
gbr,3.5,1984
gbr,3.5,1985
gbr,3.4,1986
gbr,3.3,1987
gbr,3.2,1988
gbr,3.1,1989
gbr,2.9,1990
gbr,3.1,1991
gbr,3.1,1992
gbr,2.9,1993
gbr,2.9,1994
gbr,2.8,1995
gbr,2.6,1996
gbr,2.5,1997
gbr,2.4,1998
gbr,2.2,1999
gbr,2.2,2000
gbr,2.0,2001
gbr,2.0,2002
gbr,1.8,2003
gbr,1.9,2004
gbr,1.9,2005
gbr,1.9,2006
gbr,1.9,2007
usa,5.0,1980
usa,4.9,1981
usa,5.1,1982
usa,5.0,1983
usa,4.7,1984
usa,4.5,1985
usa,4.4,1986
usa,4.3,1987
usa,4.1,1988
usa,4.1,1989
usa,4.1,1990
usa,4.2,1991
usa,4.2,1992
usa,4.0,1993
usa,4.0,1994
usa,4.0,1995
usa,3.9,1996
usa,3.8,1997
usa,3.8,1998
usa,3.6,1999
usa,3.5,2000
usa,3.3,2001
usa,3.5,2002
usa,2.3,2003
usa,2.3,2004
usa,2.2,2005
usa,2.1,2006
usa,2.0,2007
ury,7.0,1992
ury,6.0,1993
ury,6.2,1994
ury,7.1,1995
ury,5.7,1998
ury,5.8,1999
ury,6.2,2000
ury,6.1,2001
ury,6.4,2002
ury,6.7,2003
ury,7.4,2004
ury,7.1,2005
ury,15.4,2006
ury,15.6,2007
ven,19.9,1980
ven,19.3,1981
ven,19.0,1982
ven,19.7,1983
ven,21.4,1984
ven,21.5,1985
ven,20.5,1986
ven,19.2,1987
ven,18.4,1988
ven,18.5,1989
ven,18.5,1990
ven,17.6,1991
ven,16.5,1992
ven,15.6,1993
ven,16.0,2003
ven,13.5,2006
ven,13.1,2007
vnm,69.5,1996
vnm,64.5,1997
vnm,63.9,1998
vnm,64.5,1999
vnm,64.2,2000
vnm,63.0,2001
vnm,61.0,2002
vnm,57.7,2003
vnm,55.9,2004
pse,11.8,1996
pse,10.3,1997
pse,9.5,1998
pse,9.3,1999
pse,9.8,2000
pse,9.1,2001
pse,11.9,2002
pse,11.9,2003
pse,12.0,2004
pse,11.0,2005
pse,12.0,2006
pse,10.8,2007
yem,43.5,1991
yem,45.0,1994
yem,46.6,1998
yem,43.1,1999
zmb,46.6,1990
zmb,64.0,1998
zmb,65.2,2000
zwe,50.9,1999
