geo,children_and_elderly_per_100_adults,time
aut,74.48,2035
aut,75.96,2040
aut,76.4,2045
aut,78.86,2050
aze,63.25,1950
aze,60.54,1955
aze,79.0,1960
aze,96.32,1965
aze,95.97,1970
aze,81.62,1975
aze,64.63,1980
aze,58.67,1985
aze,61.74,1990
aze,63.64,1995
aze,58.29,2000
aze,50.07,2005
aze,43.9,2010
aze,45.01,2015
aze,49.83,2020
aze,53.8,2025
aze,55.13,2030
aze,54.37,2035
aze,54.74,2040
aze,56.73,2045
aze,60.15,2050
bhs,76.61,1950
bhs,79.41,1955
bhs,85.35,1960
bhs,89.93,1965
bhs,87.76,1970
bhs,80.7,1975
bhs,73.05,1980
bhs,65.7,1985
bhs,57.8,1990
bhs,56.44,1995
bhs,52.81,2000
bhs,50.26,2005
bhs,47.11,2010
bhs,46.37,2015
bhs,48.89,2020
bhs,53.21,2025
bhs,56.86,2030
bhs,58.92,2035
bhs,61.11,2040
bhs,62.69,2045
bhs,65.43,2050
bhr,81.94,1950
bhr,83.09,1955
bhr,84.0,1960
bhr,112.0,1965
bhr,93.32,1970
bhr,82.21,1975
bhr,57.67,1980
bhr,50.64,1985
bhr,50.37,1990
bhr,49.18,1995
bhr,44.67,2000
bhr,43.08,2005
bhr,39.34,2010
bhr,37.42,2015
bhr,37.02,2020
bhr,39.39,2025
bhr,42.49,2030
bhr,46.92,2035
bhr,51.62,2040
bhr,55.18,2045
bhr,57.67,2050
bgd,72.89,1950
bgd,78.28,1955
bgd,83.46,1960
bgd,88.83,1965
bgd,90.37,1970
bgd,91.86,1975
bgd,92.46,1980
bgd,90.68,1985
bgd,84.87,1990
bgd,76.38,1995
bgd,67.19,2000
bgd,59.9,2005
bgd,53.45,2010
bgd,49.86,2015
bgd,48.97,2020
bgd,50.37,2025
bgd,50.13,2030
bgd,49.49,2035
bgd,49.91,2040
bgd,52.59,2045
bgd,56.15,2050
brb,62.05,1950
brb,68.95,1955
brb,79.47,1960
brb,83.98,1965
brb,80.66,1970
brb,68.39,1975
brb,63.99,1980
brb,56.02,1985
brb,48.27,1990
brb,48.98,1995
brb,45.06,2000
brb,40.41,2005
brb,37.86,2010
brb,41.09,2015
brb,47.88,2020
brb,57.42,2025
brb,65.31,2030
brb,69.92,2035
brb,74.55,2040
brb,76.69,2045
brb,79.83,2050
blr,51.89,1950
blr,49.53,1955
blr,57.07,1960
blr,61.13,1965
blr,58.71,1970
blr,52.37,1975
blr,47.82,1980
blr,45.72,1985
blr,47.38,1990
blr,51.99,1995
blr,47.45,2000
blr,42.92,2005
blr,39.01,2010
blr,41.17,2015
blr,45.84,2020
blr,51.81,2025
blr,54.53,2030
blr,54.5,2035
blr,56.69,2040
blr,61.32,2045
blr,68.41,2050
bel,44.83,1950
bel,47.38,1955
bel,52.13,1960
bel,54.16,1965
bel,55.22,1970
bel,53.23,1975
bel,48.94,1980
bel,44.08,1985
bel,44.0,1990
bel,51.03,1995
bel,52.4,2000
bel,52.24,2005
bel,51.87,2010
bel,56.21,2015
bel,61.99,2020
bel,68.67,2025
bel,73.81,2030
bel,76.11,2035
bel,76.49,2040
bel,76.5,2045
bel,76.99,2050
blz,72.39,1950
blz,88.83,1955
blz,98.02,1960
blz,104.9,1965
blz,104.6,1970
blz,105.3,1975
blz,101.5,1980
blz,94.6,1985
blz,88.68,1990
blz,88.11,1995
blz,80.37,2000
blz,72.1,2005
blz,62.92,2010
blz,58.19,2015
blz,57.02,2020
blz,58.68,2025
blz,59.91,2030
blz,60.31,2035
blz,60.85,2040
blz,61.63,2045
blz,63.85,2050
ben,73.93,1950
ben,74.58,1955
ben,75.93,1960
ben,81.36,1965
ben,87.57,1970
ben,92.41,1975
ben,94.94,1980
ben,95.79,1985
ben,95.75,1990
ben,92.57,1995
ben,91.83,2000
ben,88.24,2005
ben,85.76,2010
ben,85.13,2015
ben,85.5,2020
ben,86.57,2025
ben,87.05,2030
ben,87.39,2035
ben,87.81,2040
ben,88.52,2045
ben,89.3,2050
btn,86.14,1950
btn,79.4,1955
btn,78.92,1960
btn,79.33,1965
btn,80.42,1970
btn,78.42,1975
btn,79.71,1980
btn,83.42,1985
btn,84.72,1990
btn,90.94,1995
btn,81.05,2000
btn,63.0,2005
btn,53.25,2010
btn,50.48,2015
btn,50.45,2020
btn,52.87,2025
btn,52.4,2030
btn,52.14,2035
btn,52.29,2040
btn,55.1,2045
btn,59.91,2050
bol,80.94,1950
bol,82.17,1955
bol,84.84,1960
bol,85.57,1965
bol,85.97,1970
bol,86.3,1975
bol,84.89,1980
bol,82.82,1985
bol,80.06,1990
bol,80.6,1995
bol,78.23,2000
bol,74.3,2005
bol,68.22,2010
bol,65.65,2015
bol,65.0,2020
bol,66.58,2025
bol,66.93,2030
bol,66.82,2035
bol,67.17,2040
bol,67.79,2045
bol,68.95,2050
bih,70.97,1950
bih,67.14,1955
bih,71.8,1960
bih,71.64,1965
bih,63.87,1970
bih,56.35,1975
bih,49.0,1980
bih,43.03,1985
bih,42.16,1990
bih,43.37,1995
bih,44.52,2000
bih,42.97,2005
bih,41.02,2010
bih,41.9,2015
bih,47.61,2020
bih,54.83,2025
bih,59.94,2030
bih,62.57,2035
bih,64.73,2040
bih,68.63,2045
bih,75.08,2050
bwa,81.89,1950
bwa,86.59,1955
bwa,97.48,1960
bwa,106.8,1965
bwa,103.7,1970
bwa,99.43,1975
bwa,96.23,1980
bwa,95.68,1985
bwa,90.39,1990
bwa,79.94,1995
bwa,69.8,2000
bwa,62.99,2005
bwa,58.2,2010
bwa,57.85,2015
bwa,60.72,2020
bwa,61.88,2025
bwa,59.41,2030
bwa,56.99,2035
bwa,55.43,2040
bwa,55.93,2045
bwa,57.99,2050
bra,79.78,1950
bra,81.77,1955
bra,86.44,1960
bra,88.64,1965
bra,84.52,1970
bra,78.41,1975
bra,72.1,1980
bra,68.87,1985
bra,64.78,1990
bra,59.92,1995
bra,54.05,2000
bra,50.86,2005
bra,47.85,2010
bra,45.92,2015
bra,45.73,2020
bra,48.45,2025
bra,51.08,2030
bra,53.0,2035
bra,55.21,2040
bra,59.34,2045
bra,64.28,2050
brn,69.13,1950
brn,77.75,1955
brn,89.53,1960
brn,99.41,1965
brn,86.44,1970
brn,76.71,1975
brn,70.02,1980
brn,67.37,1985
brn,58.34,1990
brn,55.35,1995
brn,51.97,2000
brn,47.2,2005
brn,42.42,2010
brn,41.43,2015
brn,44.09,2020
brn,48.25,2025
brn,49.94,2030
brn,51.6,2035
brn,52.39,2040
brn,54.4,2045
brn,56.85,2050
bgr,49.37,1950
bgr,50.14,1955
bgr,49.1,1960
bgr,46.74,1965
bgr,45.89,1970
bgr,47.03,1975
bgr,49.13,1980
bgr,45.67,1985
bgr,47.0,1990
bgr,49.23,1995
bgr,47.67,2000
bgr,44.72,2005
bgr,45.12,2010
bgr,51.22,2015
bgr,56.99,2020
bgr,61.23,2025
bgr,62.37,2030
bgr,63.95,2035
bgr,68.83,2040
bgr,76.89,2045
bgr,83.23,2050
bfa,74.38,1950
bfa,74.64,1955
bfa,75.73,1960
bfa,80.47,1965
bfa,86.45,1970
bfa,90.77,1975
bfa,95.9,1980
bfa,99.26,1985
bfa,99.39,1990
bfa,98.5,1995
bfa,96.06,2000
bfa,91.92,2005
bfa,93.88,2010
bfa,95.76,2015
bfa,97.31,2020
bfa,95.67,2025
bfa,95.75,2030
bfa,97.49,2035
bfa,99.61,2040
bfa,100.8,2045
bfa,100.9,2050
bdi,78.51,1950
bdi,84.29,1955
bdi,88.36,1960
bdi,92.3,1965
bdi,91.25,1970
bdi,95.3,1975
bdi,92.42,1980
bdi,89.7,1985
bdi,93.2,1990
bdi,98.06,1995
bdi,96.57,2000
bdi,79.36,2005
bdi,68.68,2010
bdi,69.3,2015
bdi,73.28,2020
bdi,76.19,2025
bdi,74.36,2030
bdi,71.37,2035
bdi,70.08,2040
bdi,71.67,2045
bdi,75.38,2050
khm,81.16,1950
khm,81.27,1955
khm,82.09,1960
khm,83.35,1965
khm,84.87,1970
khm,81.59,1975
khm,78.22,1980
khm,85.25,1985
khm,89.63,1990
khm,96.46,1995
khm,81.3,2000
khm,67.17,2005
khm,56.57,2010
khm,54.37,2015
khm,56.92,2020
khm,58.96,2025
khm,58.1,2030
khm,55.94,2035
khm,54.36,2040
khm,54.06,2045
khm,58.31,2050
cmr,75.31,1950
cmr,76.75,1955
cmr,78.47,1960
cmr,81.58,1965
cmr,84.72,1970
cmr,88.8,1975
cmr,92.1,1980
cmr,94.76,1985
cmr,94.88,1990
cmr,92.79,1995
cmr,86.81,2000
cmr,82.63,2005
cmr,79.6,2010
cmr,79.88,2015
cmr,80.05,2020
cmr,80.28,2025
cmr,79.64,2030
cmr,79.14,2035
cmr,79.43,2040
cmr,80.52,2045
cmr,81.94,2050
can,57.89,1950
can,64.39,1955
can,67.66,1960
can,67.3,1965
can,58.79,1970
can,50.48,1975
can,44.74,1980
can,43.11,1985
can,43.56,1990
can,47.84,1995
can,46.4,2000
can,44.37,2005
can,43.76,2010
can,47.86,2015
can,54.56,2020
can,63.02,2025
can,69.0,2030
can,70.3,2035
can,70.17,2040
can,71.17,2045
can,73.21,2050
cpv,61.4,1950
cpv,75.0,1955
cpv,90.26,1960
cpv,99.35,1965
cpv,109.1,1970
cpv,108.1,1975
cpv,107.3,1980
cpv,101.9,1985
cpv,105.1,1990
cpv,101.7,1995
cpv,90.99,2000
cpv,78.19,2005
cpv,65.48,2010
cpv,58.39,2015
cpv,56.5,2020
cpv,57.82,2025
cpv,58.34,2030
cpv,58.63,2035
cpv,57.83,2040
cpv,59.09,2045
cpv,62.08,2050
caf,69.6,1950
caf,70.8,1955
caf,73.45,1960
caf,77.27,1965
caf,80.22,1970
caf,83.91,1975
caf,85.54,1980
caf,85.4,1985
caf,88.03,1990
caf,86.49,1995
caf,84.6,2000
caf,83.17,2005
caf,79.26,2010
caf,76.31,2015
caf,75.87,2020
caf,78.01,2025
caf,78.7,2030
caf,78.48,2035
caf,78.35,2040
caf,78.83,2045
caf,79.91,2050
tcd,72.35,1950
tcd,75.69,1955
tcd,78.76,1960
tcd,82.99,1965
tcd,84.3,1970
tcd,87.15,1975
tcd,90.96,1980
tcd,94.78,1985
tcd,96.9,1990
tcd,97.34,1995
tcd,96.61,2000
tcd,95.82,2005
tcd,93.87,2010
tcd,92.82,2015
tcd,93.12,2020
tcd,95.09,2025
tcd,95.91,2030
tcd,96.07,2035
tcd,96.4,2040
tcd,97.28,2045
tcd,98.44,2050
chanisl,47.61,1950
chanisl,48.74,1955
chanisl,49.76,1960
chanisl,50.62,1965
chanisl,51.44,1970
chanisl,49.08,1975
chanisl,45.87,1980
chanisl,41.17,1985
chanisl,39.46,1990
chanisl,46.37,1995
chanisl,45.94,2000
chanisl,45.13,2005
chanisl,44.63,2010
chanisl,48.87,2015
chanisl,53.08,2020
chanisl,60.45,2025
chanisl,69.07,2030
chanisl,76.14,2035
chanisl,78.41,2040
chanisl,78.07,2045
chanisl,77.39,2050
chl,68.62,1950
chl,73.47,1955
chl,78.4,1960
chl,82.13,1965
chl,79.7,1970
chl,71.91,1975
chl,61.39,1980
chl,56.45,1985
chl,54.59,1990
chl,56.92,1995
chl,53.97,2000
chl,49.2,2005
chl,45.98,2010
chl,47.19,2015
chl,51.15,2020
chl,57.07,2025
chl,61.58,2030
chl,63.83,2035
chl,64.97,2040
chl,65.52,2045
chl,67.47,2050
chn,60.88,1950
chn,71.05,1955
chn,77.1,1960
chn,79.66,1965
chn,77.84,1970
chn,77.24,1975
chn,66.64,1980
chn,54.8,1985
chn,50.25,1990
chn,50.61,1995
chn,48.17,2000
chn,41.98,2005
chn,39.13,2010
chn,41.14,2015
chn,46.93,2020
chn,51.28,2025
chn,54.36,2030
chn,58.72,2035
chn,62.99,2040
chn,64.83,2045
chn,67.27,2050
hkg,48.49,1950
hkg,60.53,1955
hkg,77.16,1960
hkg,77.21,1965
hkg,69.0,1970
hkg,54.58,1975
hkg,45.85,1980
hkg,43.07,1985
hkg,41.04,1990
hkg,41.06,1995
hkg,38.65,2000
hkg,36.27,2005
hkg,32.31,2010
hkg,35.6,2015
hkg,45.06,2020
hkg,57.18,2025
hkg,66.32,2030
hkg,70.14,2035
hkg,72.61,2040
hkg,75.61,2045
hkg,79.68,2050
mac,46.02,1950
mac,65.18,1955
mac,85.34,1960
mac,89.37,1965
mac,74.76,1970
mac,53.2,1975
mac,44.51,1980
mac,45.78,1985
mac,45.75,1990
mac,49.56,1995
mac,42.4,2000
mac,30.24,2005
mac,24.79,2010
mac,28.87,2015
mac,38.4,2020
mac,50.69,2025
mac,59.9,2030
mac,66.47,2035
mac,72.5,2040
mac,76.69,2045
mac,84.44,2050
col,84.65,1950
col,91.54,1955
col,97.64,1960
col,99.42,1965
col,96.34,1970
col,88.42,1975
col,79.84,1980
col,71.9,1985
col,67.94,1990
col,64.79,1995
col,60.2,2000
col,55.9,2005
col,52.4,2010
col,52.11,2015
col,53.91,2020
col,56.6,2025
col,58.22,2030
col,59.22,2035
col,59.74,2040
col,61.43,2045
col,63.11,2050
com,70.71,1950
com,75.57,1955
com,83.58,1960
com,93.1,1965
com,94.94,1970
com,95.55,1975
com,97.85,1980
com,101.6,1985
com,96.4,1990
com,86.94,1995
com,74.8,2000
com,70.8,2005
com,69.95,2010
com,70.0,2015
com,69.86,2020
com,69.13,2025
com,68.21,2030
com,68.34,2035
com,69.67,2040
com,71.7,2045
com,73.95,2050
cog,76.72,1950
cog,78.3,1955
cog,81.16,1960
cog,85.21,1965
cog,89.24,1970
cog,92.56,1975
cog,94.52,1980
cog,93.76,1985
cog,90.45,1990
cog,87.87,1995
cog,86.35,2000
cog,81.96,2005
cog,78.58,2010
cog,75.21,2015
cog,73.48,2020
cog,74.86,2025
cog,74.79,2030
cog,73.89,2035
cog,73.8,2040
cog,75.05,2045
cog,76.83,2050
cri,75.45,1950
cri,86.19,1955
cri,96.92,1960
cri,103.5,1965
cri,96.35,1970
cri,83.95,1975
cri,72.56,1980
cri,67.74,1985
cri,67.48,1990
cri,65.67,1995
cri,59.13,2000
cri,51.95,2005
cri,46.63,2010
cri,46.09,2015
cri,48.21,2020
cri,53.07,2025
cri,55.92,2030
cri,57.68,2035
cri,58.34,2040
cri,60.65,2045
cri,63.97,2050
hrv,51.22,1950
hrv,50.3,1955
hrv,51.5,1960
hrv,49.96,1965
hrv,46.35,1970
hrv,46.4,1975
hrv,46.54,1980
hrv,43.44,1985
hrv,43.75,1990
hrv,47.11,1995
hrv,48.38,2000
hrv,49.05,2005
hrv,47.66,2010
hrv,50.56,2015
hrv,56.91,2020
hrv,63.59,2025
hrv,66.86,2030
hrv,67.9,2035
hrv,69.19,2040
hrv,73.0,2045
hrv,77.59,2050
cub,67.72,1950
cub,67.34,1955
cub,65.0,1960
cub,71.58,1965
cub,75.48,1970
cub,77.58,1975
cub,63.23,1980
cub,49.67,1985
cub,43.02,1990
cub,45.85,1995
cub,44.31,2000
cub,42.9,2005
cub,42.06,2010
cub,44.43,2015
cub,48.12,2020
cub,53.09,2025
cub,61.06,2030
cub,70.24,2035
cub,76.66,2040
cub,77.51,2045
cub,77.69,2050
cyp,67.03,1950
cyp,68.12,1955
cyp,73.02,1960
cyp,67.96,1965
cyp,66.85,1970
cyp,52.76,1975
cyp,50.44,1980
cyp,53.12,1985
cyp,54.35,1990
cyp,56.14,1995
cyp,51.44,2000
cyp,46.98,2005
cyp,44.2,2010
cyp,46.64,2015
cyp,51.93,2020
cyp,58.69,2025
cyp,61.79,2030
cyp,62.09,2035
cyp,61.4,2040
cyp,63.56,2045
cyp,67.99,2050
cze,46.9,1950
cze,52.1,1955
cze,51.98,1960
cze,49.06,1965
cze,47.89,1970
cze,51.79,1975
cze,55.43,1980
cze,51.1,1985
cze,47.76,1990
cze,46.95,1995
cze,43.47,2000
cze,40.64,2005
cze,41.53,2010
cze,49.69,2015
cze,57.45,2020
cze,61.03,2025
cze,61.05,2030
cze,61.06,2035
cze,65.77,2040
cze,73.64,2045
cze,78.37,2050
civ,82.8,1950
civ,80.53,1955
civ,81.55,1960
civ,84.28,1965
civ,87.46,1970
civ,90.09,1975
civ,92.38,1980
civ,92.35,1985
civ,89.85,1990
civ,84.39,1995
civ,80.8,2000
civ,81.53,2005
civ,79.63,2010
civ,78.51,2015
civ,78.29,2020
civ,79.7,2025
civ,79.61,2030
civ,78.79,2035
civ,78.43,2040
civ,79.09,2045
civ,80.08,2050
prk,101.8,1950
prk,72.63,1955
prk,62.78,1960
prk,58.71,1965
prk,69.67,1970
prk,66.24,1975
prk,58.39,1980
prk,49.12,1985
prk,44.16,1990
prk,48.36,1995
prk,48.26,2000
prk,47.86,2005
prk,44.88,2010
prk,43.83,2015
prk,43.46,2020
prk,48.56,2025
prk,51.4,2030
prk,55.33,2035
prk,57.46,2040
prk,56.15,2045
prk,58.49,2050
cod,89.03,1950
cod,87.67,1955
cod,87.2,1960
cod,87.55,1965
cod,88.99,1970
cod,90.77,1975
cod,92.77,1980
cod,95.71,1985
cod,99.1,1990
cod,103.0,1995
cod,103.0,2000
cod,101.3,2005
cod,96.2,2010
cod,93.64,2015
cod,92.9,2020
cod,95.29,2025
cod,96.03,2030
cod,96.01,2035
cod,96.27,2040
cod,97.22,2045
cod,98.54,2050
dnk,53.03,1950
dnk,54.77,1955
dnk,53.3,1960
dnk,51.38,1965
dnk,52.01,1970
dnk,52.47,1975
dnk,50.01,1980
dnk,45.54,1985
dnk,42.93,1990
dnk,48.41,1995
dnk,49.95,2000
dnk,51.28,2005
dnk,53.17,2010
dnk,57.22,2015
dnk,60.89,2020
dnk,65.84,2025
dnk,70.97,2030
dnk,74.25,2035
dnk,74.47,2040
dnk,72.52,2045
dnk,69.76,2050
dji,94.99,1950
dji,92.14,1955
dji,90.12,1960
dji,88.34,1965
dji,91.44,1970
dji,92.12,1975
dji,90.12,1980
dji,87.77,1985
dji,86.19,1990
dji,84.22,1995
dji,78.23,2000
dji,70.68,2005
dji,63.58,2010
dji,61.64,2015
dji,62.33,2020
dji,64.97,2025
dji,65.91,2030
dji,65.5,2035
dji,64.69,2040
dji,64.61,2045
dji,65.87,2050
dom,96.95,1950
dom,97.96,1955
dom,101.2,1960
dom,103.8,1965
dom,100.9,1970
dom,93.0,1975
dom,83.75,1980
dom,76.84,1985
dom,72.31,1990
dom,70.44,1995
dom,66.5,2000
dom,62.8,2005
dom,59.28,2010
dom,58.4,2015
dom,58.62,2020
dom,60.08,2025
dom,60.47,2030
dom,61.67,2035
dom,62.9,2040
dom,64.11,2045
dom,65.57,2050
ecu,80.19,1950
ecu,86.41,1955
ecu,91.79,1960
ecu,95.44,1965
ecu,93.42,1970
ecu,90.66,1975
ecu,86.95,1980
ecu,81.27,1985
ecu,74.6,1990
ecu,69.27,1995
ecu,65.51,2000
ecu,62.62,2005
ecu,59.45,2010
ecu,56.91,2015
ecu,57.32,2020
ecu,59.38,2025
ecu,60.07,2030
ecu,61.05,2035
ecu,61.95,2040
ecu,63.14,2045
ecu,64.66,2050
egy,73.17,1950
egy,79.85,1955
egy,88.63,1960
egy,87.8,1965
egy,86.23,1970
egy,83.57,1975
egy,83.52,1980
egy,83.12,1985
egy,84.56,1990
egy,78.39,1995
egy,69.96,2000
egy,60.82,2005
egy,58.14,2010
egy,58.72,2015
egy,58.76,2020
egy,58.53,2025
egy,57.38,2030
egy,57.1,2035
egy,57.72,2040
egy,59.84,2045
egy,62.69,2050
slv,86.75,1950
slv,88.04,1955
slv,94.39,1960
slv,98.4,1965
slv,98.27,1970
slv,94.88,1975
slv,93.0,1980
slv,90.42,1985
slv,81.91,1990
slv,77.47,1995
slv,75.7,2000
slv,71.49,2005
slv,63.52,2010
slv,58.76,2015
slv,60.31,2020
slv,62.95,2025
slv,61.89,2030
slv,59.82,2035
slv,57.87,2040
slv,57.48,2045
slv,58.19,2050
gnq,65.47,1950
gnq,68.83,1955
gnq,71.9,1960
gnq,75.14,1965
gnq,75.57,1970
gnq,99.79,1975
gnq,97.77,1980
gnq,66.59,1985
gnq,75.24,1990
gnq,89.0,1995
gnq,91.1,2000
gnq,83.27,2005
gnq,77.29,2010
gnq,76.67,2015
gnq,80.0,2020
gnq,85.15,2025
gnq,88.5,2030
gnq,89.71,2035
gnq,88.91,2040
gnq,87.42,2045
gnq,87.43,2050
eri,93.57,1950
eri,91.31,1955
eri,90.11,1960
eri,89.34,1965
eri,91.11,1970
eri,91.44,1975
eri,102.5,1980
eri,102.5,1985
eri,95.2,1990
eri,97.7,1995
eri,89.14,2000
eri,79.3,2005
eri,78.55,2010
eri,79.99,2015
eri,79.26,2020
eri,77.13,2025
eri,73.95,2030
eri,72.69,2035
eri,74.36,2040
eri,77.4,2045
eri,78.96,2050
est,53.86,1950
est,49.03,1955
est,47.3,1960
est,48.24,1965
est,48.17,1970
est,48.38,1975
est,48.71,1980
est,47.0,1985
est,47.22,1990
est,52.09,1995
est,49.69,2000
est,46.71,2005
est,47.96,2010
est,54.48,2015
est,61.95,2020
est,66.61,2025
est,65.46,2030
est,62.79,2035
est,63.28,2040
est,67.45,2045
est,73.61,2050
eth,88.69,1950
eth,87.2,1955
eth,85.45,1960
eth,85.06,1965
eth,87.39,1970
eth,89.4,1975
eth,89.71,1980
eth,89.69,1985
eth,91.48,1990
eth,94.81,1995
eth,95.25,2000
eth,91.88,2005
eth,86.49,2010
eth,84.5,2015
eth,85.49,2020
eth,87.83,2025
eth,88.32,2030
eth,87.67,2035
eth,87.15,2040
eth,87.39,2045
eth,88.3,2050
fji,97.05,1950
fji,101.3,1955
fji,101.1,1960
fji,96.1,1965
fji,84.46,1970
fji,73.42,1975
fji,71.64,1980
fji,70.92,1985
fji,68.75,1990
fji,63.5,1995
fji,60.19,2000
fji,58.9,2005
fji,55.92,2010
fji,54.48,2015
fji,55.07,2020
fji,57.49,2025
fji,58.89,2030
fji,58.45,2035
fji,57.2,2040
fji,57.83,2045
fji,60.05,2050
fin,56.65,1950
fin,58.81,1955
fin,58.79,1960
fin,52.29,1965
fin,49.3,1970
fin,46.47,1975
fin,44.97,1980
fin,43.5,1985
fin,44.39,1990
fin,49.8,1995
fin,49.34,2000
fin,50.0,2005
fin,50.91,2010
fin,58.92,2015
fin,66.71,2020
fin,73.28,2025
fin,76.36,2030
fin,76.17,2035
fin,73.46,2040
fin,73.44,2045
fin,74.84,2050
fra,49.32,1950
fra,53.34,1955
fra,57.97,1960
fra,57.0,1965
fra,56.7,1970
fra,55.91,1975
fra,52.51,1980
fra,47.01,1985
fra,46.17,1990
fra,53.54,1995
fra,53.79,2000
fra,53.59,2005
fra,54.69,2010
fra,60.34,2015
fra,65.31,2020
fra,70.38,2025
fra,74.33,2030
fra,76.82,2035
fra,78.53,2040
fra,78.35,2045
fra,78.61,2050
guf,55.83,1950
guf,68.01,1955
guf,78.52,1960
guf,77.03,1965
guf,76.35,1970
guf,75.18,1975
guf,62.34,1980
guf,58.52,1985
guf,62.09,1990
guf,66.4,1995
guf,65.75,2000
guf,66.04,2005
guf,60.73,2010
guf,58.97,2015
guf,59.55,2020
guf,62.72,2025
guf,65.6,2030
guf,67.12,2035
guf,67.54,2040
guf,66.8,2045
guf,67.0,2050
pyf,88.83,1950
pyf,88.82,1955
pyf,88.83,1960
pyf,93.26,1965
pyf,93.25,1970
pyf,80.76,1975
pyf,74.52,1980
pyf,67.66,1985
pyf,62.12,1990
pyf,60.23,1995
pyf,55.65,2000
pyf,48.16,2005
pyf,46.89,2010
pyf,46.66,2015
pyf,49.93,2020
pyf,53.13,2025
pyf,55.25,2030
pyf,57.27,2035
pyf,57.96,2040
pyf,58.87,2045
pyf,61.35,2050
gab,54.31,1950
gab,56.35,1955
gab,58.72,1960
gab,62.6,1965
gab,65.68,1970
gab,71.12,1975
gab,77.29,1980
gab,83.57,1985
gab,87.02,1990
gab,89.25,1995
gab,84.21,2000
gab,75.56,2005
gab,66.41,2010
gab,63.05,2015
gab,63.45,2020
gab,65.13,2025
gab,65.09,2030
gab,64.23,2035
gab,63.77,2040
gab,64.17,2045
