geo,all_forms_of_tb_number_of_deaths_estimated,time
ita,572,2000
ita,541,2001
ita,542,2002
ita,518,2003
ita,509,2004
ita,503,2005
ita,496,2006
ita,532,2007
jam,27,1990
jam,28,1991
jam,28,1992
jam,29,1993
jam,30,1994
jam,30,1995
jam,23,1996
jam,22,1997
jam,20,1998
jam,21,1999
jam,21,2000
jam,26,2001
jam,28,2002
jam,27,2003
jam,28,2004
jam,31,2005
jam,31,2006
jam,30,2007
jpn,7033,1990
jpn,6845,1991
jpn,6692,1992
jpn,6412,1993
jpn,6147,1994
jpn,5859,1995
jpn,5758,1996
jpn,5800,1997
jpn,5740,1998
jpn,5614,1999
jpn,5228,2000
jpn,4868,2001
jpn,4535,2002
jpn,4257,2003
jpn,4017,2004
jpn,3824,2005
jpn,3593,2006
jpn,3331,2007
jor,46,1990
jor,47,1991
jor,47,1992
jor,49,1993
jor,48,1994
jor,50,1995
jor,55,1996
jor,53,1997
jor,49,1998
jor,45,1999
jor,44,2000
jor,40,2001
jor,41,2002
jor,40,2003
jor,41,2004
jor,38,2005
jor,44,2006
jor,46,2007
kaz,1284,1990
kaz,1197,1991
kaz,1178,1992
kaz,1167,1993
kaz,1182,1994
kaz,1314,1995
kaz,1287,1996
kaz,1863,1997
kaz,1849,1998
kaz,2492,1999
kaz,2301,2000
kaz,2596,2001
kaz,2617,2002
kaz,2978,2003
kaz,2917,2004
kaz,2803,2005
kaz,2743,2006
kaz,2680,2007
ken,5957,1990
ken,6568,1991
ken,8314,1992
ken,10460,1993
ken,13160,1994
ken,16570,1995
ken,19390,1996
ken,23870,1997
ken,27500,1998
ken,31050,1999
ken,35460,2000
ken,33620,2001
ken,33790,2002
ken,33750,2003
ken,33900,2004
ken,32100,2005
ken,26870,2006
ken,24440,2007
kir,83,1990
kir,81,1991
kir,80,1992
kir,78,1993
kir,76,1994
kir,74,1995
kir,63,1996
kir,65,1997
kir,53,1998
kir,52,1999
kir,52,2000
kir,60,2001
kir,59,2002
kir,49,2003
kir,41,2004
kir,45,2005
kir,43,2006
kir,46,2007
kwt,111,1990
kwt,102,1991
kwt,92,1992
kwt,81,1993
kwt,74,1994
kwt,68,1995
kwt,67,1996
kwt,60,1997
kwt,60,1998
kwt,62,1999
kwt,64,2000
kwt,67,2001
kwt,64,2002
kwt,64,2003
kwt,72,2004
kwt,71,2005
kwt,63,2006
kwt,68,2007
kgz,351,1990
kgz,374,1991
kgz,380,1992
kgz,391,1993
kgz,431,1994
kgz,515,1995
kgz,639,1996
kgz,757,1997
kgz,873,1998
kgz,926,1999
kgz,975,2000
kgz,988,2001
kgz,987,2002
kgz,960,2003
kgz,946,2004
kgz,947,2005
kgz,948,2006
kgz,949,2007
lao,1538,1990
lao,1541,1991
lao,1544,1992
lao,1544,1993
lao,1542,1994
lao,1538,1995
lao,1445,1996
lao,1426,1997
lao,1421,1998
lao,1415,1999
lao,1451,2000
lao,1455,2001
lao,1446,2002
lao,1452,2003
lao,1429,2004
lao,1387,2005
lao,1387,2006
lao,1410,2007
lva,118,1990
lva,122,1991
lva,126,1992
lva,134,1993
lva,160,1994
lva,194,1995
lva,255,1996
lva,293,1997
lva,299,1998
lva,299,1999
lva,290,2000
lva,286,2001
lva,272,2002
lva,252,2003
lva,233,2004
lva,213,2005
lva,197,2006
lva,179,2007
lbn,157,1990
lbn,159,1991
lbn,163,1992
lbn,167,1993
lbn,173,1994
lbn,169,1995
lbn,156,1996
lbn,134,1997
lbn,125,1998
lbn,116,1999
lbn,109,2000
lbn,94,2001
lbn,82,2002
lbn,75,2003
lbn,72,2004
lbn,72,2005
lbn,77,2006
lbn,82,2007
lso,446,1990
lso,497,1991
lso,553,1992
lso,635,1993
lso,736,1994
lso,838,1995
lso,890,1996
lso,731,1997
lso,1047,1998
lso,4067,1999
lso,1437,2000
lso,1517,2001
lso,1772,2002
lso,1744,2003
lso,1825,2004
lso,2284,2005
lso,1704,2006
lso,5282,2007
lbr,1226,1990
lbr,1247,1991
lbr,1266,1992
lbr,1292,1993
lbr,1338,1994
lbr,1413,1995
lbr,1378,1996
lbr,1534,1997
lbr,1575,1998
lbr,1733,1999
lbr,1982,2000
lbr,2078,2001
lbr,1855,2002
lbr,2126,2003
lbr,1871,2004
lbr,2176,2005
lbr,2157,2006
lbr,2325,2007
lby,219,1990
lby,220,1991
lby,226,1992
lby,222,1993
lby,224,1994
lby,223,1995
lby,220,1996
lby,211,1997
lby,205,1998
lby,87,1999
lby,87,2000
lby,86,2001
lby,84,2002
lby,83,2003
lby,80,2004
lby,79,2005
lby,78,2006
lby,77,2007
ltu,160,1990
ltu,168,1991
ltu,183,1992
ltu,204,1993
ltu,232,1994
ltu,258,1995
ltu,287,1996
ltu,311,1997
ltu,391,1998
ltu,380,1999
ltu,362,2000
ltu,344,2001
ltu,341,2002
ltu,315,2003
ltu,317,2004
ltu,270,2005
ltu,246,2006
ltu,295,2007
lux,9,1990
lux,9,1991
lux,8,1992
lux,8,1993
lux,8,1994
lux,7,1995
lux,7,1996
lux,7,1997
lux,7,1998
lux,7,1999
lux,6,2000
lux,6,2001
lux,6,2002
lux,5,2003
lux,6,2004
lux,6,2005
lux,6,2006
lux,6,2007
mdg,4615,1990
mdg,4757,1991
mdg,4902,1992
mdg,5052,1993
mdg,5206,1994
mdg,5365,1995
mdg,5403,1996
mdg,5695,1997
mdg,5914,1998
mdg,6238,1999
mdg,6577,2000
mdg,6998,2001
mdg,7451,2002
mdg,7554,2003
mdg,7966,2004
mdg,8693,2005
mdg,8716,2006
mdg,9371,2007
mwi,5829,1990
mwi,7065,1991
mwi,8314,1992
mwi,9468,1993
mwi,10490,1994
mwi,11080,1995
mwi,11410,1996
mwi,12380,1997
mwi,12970,1998
mwi,13360,1999
mwi,14590,2000
mwi,14160,2001
mwi,15020,2002
mwi,14990,2003
mwi,14920,2004
mwi,15310,2005
mwi,14820,2006
mwi,14170,2007
mys,3890,1990
mys,3889,1991
mys,3886,1992
mys,3882,1993
mys,3880,1994
mys,3881,1995
mys,3920,1996
mys,5104,1997
mys,5255,1998
mys,5410,1999
mys,4251,2000
mys,4384,2001
mys,4541,2002
mys,4546,2003
mys,4698,2004
mys,4742,2005
mys,4752,2006
mys,4830,2007
mdv,16,1990
mdv,15,1991
mdv,14,1992
mdv,13,1993
mdv,12,1994
mdv,11,1995
mdv,13,1996
mdv,19,1997
mdv,18,1998
mdv,18,1999
mdv,20,2000
mdv,18,2001
mdv,18,2002
mdv,15,2003
mdv,15,2004
mdv,14,2005
mdv,15,2006
mdv,12,2007
mli,5671,1990
mli,5828,1991
mli,6006,1992
mli,6204,1993
mli,6421,1994
mli,6649,1995
mli,6927,1996
mli,7245,1997
mli,7634,1998
mli,8040,1999
mli,8469,2000
mli,8842,2001
mli,9148,2002
mli,9540,2003
mli,9953,2004
mli,10330,2005
mli,10720,2006
mli,11140,2007
mlt,5,1990
mlt,5,1991
mlt,5,1992
mlt,4,1993
mlt,4,1994
mlt,4,1995
mlt,4,1996
mlt,4,1997
mlt,4,1998
mlt,3,1999
mlt,3,2000
mlt,3,2001
mlt,3,2002
mlt,3,2003
mlt,3,2004
mlt,3,2005
mlt,3,2006
mlt,3,2007
mrt,1219,1990
mrt,1257,1991
mrt,1296,1992
mrt,1338,1993
mrt,1383,1994
mrt,1432,1995
mrt,1504,1996
mrt,1505,1997
mrt,1759,1998
mrt,1879,1999
mrt,2005,2000
mrt,2130,2001
mrt,2254,2002
mrt,2378,2003
mrt,1923,2004
mrt,2246,2005
mrt,2276,2006
mrt,2353,2007
mus,50,1990
mus,49,1991
mus,48,1992
mus,47,1993
mus,46,1994
mus,44,1995
mus,56,1996
mus,56,1997
mus,45,1998
mus,38,1999
mus,41,2000
mus,46,2001
mus,45,2002
mus,45,2003
mus,41,2004
mus,45,2005
mus,48,2006
mus,48,2007
mex,9173,1990
mex,8749,1991
mex,8341,1992
mex,7950,1993
mex,7575,1994
mex,7214,1995
mex,6888,1996
mex,6451,1997
mex,5954,1998
mex,5566,1999
mex,5021,2000
mex,4422,2001
mex,4363,2002
mex,4075,2003
mex,3890,2004
mex,3379,2005
mex,2903,2006
mex,2552,2007
fsm,32,1990
fsm,31,1991
fsm,30,1992
fsm,29,1993
fsm,27,1994
fsm,26,1995
fsm,25,1996
fsm,29,1997
fsm,28,1998
fsm,27,1999
fsm,21,2000
fsm,21,2001
fsm,19,2002
fsm,18,2003
fsm,16,2004
fsm,16,2005
fsm,14,2006
fsm,10,2007
mco,0,1990
mco,0,1991
mco,0,1992
mco,0,1993
mco,0,1994
mco,0,1995
mco,0,1996
mco,0,1997
mco,0,1998
mco,0,1999
mco,0,2000
mco,0,2001
mco,0,2002
mco,0,2003
mco,0,2004
mco,0,2005
mco,0,2006
mco,0,2007
mng,1069,1990
mng,1074,1991
mng,1076,1992
mng,1073,1993
mng,1068,1994
mng,1061,1995
mng,912,1996
mng,933,1997
mng,921,1998
mng,897,1999
mng,923,2000
mng,888,2001
mng,865,2002
mng,881,2003
mng,737,2004
mng,722,2005
mng,559,2006
mng,762,2007
msr,0,1990
msr,0,1991
msr,0,1992
msr,0,1993
msr,0,1994
msr,0,1995
msr,0,1996
msr,0,1997
msr,0,1998
msr,0,1999
msr,0,2000
msr,0,2001
msr,0,2002
msr,0,2003
msr,0,2004
msr,0,2005
msr,0,2006
msr,0,2007
mar,3330,1990
mar,3296,1991
mar,3259,1992
mar,3221,1993
mar,3180,1994
mar,3138,1995
mar,3094,1996
mar,3051,1997
mar,3006,1998
mar,2959,1999
mar,2912,2000
mar,2864,2001
mar,2797,2002
mar,2767,2003
mar,2720,2004
mar,2673,2005
mar,2629,2006
mar,2586,2007
moz,4979,1990
moz,5774,1991
moz,6532,1992
moz,7475,1993
moz,8527,1994
moz,9728,1995
moz,11190,1996
moz,12970,1997
moz,14980,1998
moz,17330,1999
moz,20170,2000
moz,23120,2001
moz,25370,2002
moz,27210,2003
moz,28190,2004
moz,28380,2005
moz,27940,2006
moz,27200,2007
mmr,20960,1990
mmr,21460,1991
mmr,21940,1992
mmr,22410,1993
mmr,22850,1994
mmr,23270,1995
mmr,20330,1996
mmr,21290,1997
mmr,21810,1998
mmr,21340,1999
mmr,19610,2000
mmr,18080,2001
mmr,15320,2002
mmr,10900,2003
mmr,8703,2004
mmr,6215,2005
mmr,6256,2006
mmr,6297,2007
nam,1188,1990
nam,1412,1991
nam,1622,1992
nam,1869,1993
nam,2134,1994
nam,2423,1995
nam,980,1996
nam,970,1997
nam,1017,1998
nam,1302,1999
nam,1642,2000
nam,1575,2001
nam,1938,2002
nam,1916,2003
nam,2170,2004
nam,2386,2005
nam,2520,2006
nam,2124,2007
nru,2,1990
nru,3,1991
nru,3,1992
nru,3,1993
nru,1,1994
nru,3,1995
nru,3,1996
nru,3,1997
nru,3,1998
nru,1,1999
nru,0,2000
nru,1,2001
nru,1,2002
nru,1,2003
nru,2,2004
nru,1,2005
nru,2,2006
nru,0,2007
npl,9712,1990
npl,9694,1991
npl,9683,1992
npl,9678,1993
npl,9678,1994
npl,9679,1995
npl,9511,1996
npl,9326,1997
npl,9115,1998
npl,7745,1999
npl,6996,2000
npl,6986,2001
npl,6768,2002
npl,6586,2003
npl,6489,2004
npl,6376,2005
npl,6479,2006
npl,6436,2007
nld,212,1990
nld,201,1991
nld,192,1992
nld,181,1993
nld,175,1994
nld,168,1995
nld,163,1996
nld,159,1997
nld,153,1998
nld,145,1999
nld,140,2000
nld,135,2001
nld,135,2002
nld,130,2003
nld,128,2004
nld,126,2005
nld,125,2006
nld,123,2007
ant,5,1990
ant,5,1991
ant,5,1992
ant,4,1993
ant,4,1994
ant,4,1995
ant,4,1996
ant,4,1997
ant,3,1998
ant,3,1999
ant,3,2000
ant,3,2001
ant,3,2002
ant,3,2003
ant,2,2004
ant,2,2005
ant,3,2006
ant,3,2007
ncl,18,1990
ncl,18,1991
ncl,18,1992
ncl,13,1993
ncl,12,1994
ncl,11,1995
ncl,7,1996
ncl,17,1997
ncl,14,1998
ncl,11,1999
ncl,9,2000
ncl,9,2001
ncl,6,2002
ncl,6,2003
ncl,4,2004
ncl,6,2005
ncl,5,2006
ncl,4,2007
nzl,35,1990
nzl,35,1991
nzl,33,1992
nzl,33,1993
nzl,36,1994
nzl,38,1995
nzl,37,1996
nzl,36,1997
nzl,40,1998
nzl,41,1999
nzl,41,2000
nzl,37,2001
nzl,38,2002
nzl,38,2003
nzl,38,2004
nzl,37,2005
nzl,33,2006
nzl,30,2007
nic,742,1990
nic,724,1991
nic,707,1992
nic,691,1993
nic,674,1994
nic,657,1995
nic,630,1996
nic,617,1997
nic,603,1998
nic,587,1999
nic,573,2000
nic,551,2001
nic,544,2002
nic,517,2003
nic,501,2004
nic,492,2005
nic,471,2006
nic,334,2007
ner,2792,1990
ner,2908,1991
ner,3033,1992
ner,3168,1993
ner,3315,1994
ner,3475,1995
ner,3709,1996
ner,3514,1997
ner,3616,1998
ner,3799,1999
ner,3946,2000
ner,4151,2001
ner,4442,2002
ner,4426,2003
ner,4803,2004
ner,4949,2005
ner,5211,2006
ner,5443,2007
nga,33150,1990
nga,38530,1991
nga,43240,1992
nga,48740,1993
nga,54630,1994
nga,61310,1995
nga,67720,1996
nga,75830,1997
nga,84630,1998
nga,94680,1999
nga,106800,2000
nga,119000,2001
nga,131500,2002
nga,138300,2003
nga,141300,2004
nga,142400,2005
nga,140600,2006
nga,137800,2007
niu,0,1990
niu,0,1991
niu,0,1992
niu,0,1993
niu,0,1994
niu,0,1995
niu,0,1996
niu,0,1997
niu,0,1998
niu,1,1999
niu,0,2000
niu,0,2001
niu,1,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,6,1990
mnp,8,1991
mnp,13,1992
mnp,8,1993
mnp,8,1994
mnp,8,1995
mnp,9,1996
mnp,15,1997
mnp,15,1998
mnp,12,1999
mnp,7,2000
mnp,9,2001
mnp,6,2002
mnp,7,2003
mnp,6,2004
mnp,5,2005
mnp,6,2006
mnp,6,2007
nor,46,1990
nor,44,1991
nor,42,1992
nor,39,1993
nor,38,1994
nor,36,1995
nor,35,1996
nor,34,1997
nor,32,1998
nor,30,1999
nor,29,2000
nor,28,2001
nor,28,2002
nor,27,2003
nor,27,2004
nor,27,2005
nor,26,2006
nor,26,2007
omn,43,1990
omn,40,1991
omn,34,1992
omn,29,1993
omn,26,1994
omn,27,1995
omn,27,1996
omn,27,1997
omn,26,1998
omn,33,1999
omn,23,2000
omn,27,2001
omn,25,2002
omn,31,2003
omn,24,2004
omn,26,2005
omn,25,2006
omn,30,2007
pak,55750,1990
pak,57200,1991
pak,58540,1992
pak,59830,1993
pak,61150,1994
pak,62540,1995
pak,64050,1996
pak,65780,1997
pak,66840,1998
pak,69270,1999
pak,70190,2000
pak,70800,2001
pak,68150,2002
pak,66660,2003
pak,64560,2004
pak,59310,2005
pak,55520,2006
pak,47590,2007
plw,2,1990
plw,1,1991
plw,1,1992
plw,5,1993
plw,8,1994
plw,4,1995
plw,1,1996
plw,1,1997
plw,1,1998
plw,6,1999
plw,1,2000
plw,1,2001
plw,1,2002
plw,2,2003
plw,1,2004
plw,2,2005
plw,1,2006
plw,2,2007
pan,159,1990
pan,164,1991
pan,169,1992
pan,174,1993
pan,178,1994
pan,183,1995
pan,187,1996
pan,210,1997
pan,191,1998
pan,213,1999
pan,202,2000
pan,176,2001
pan,134,2002
pan,144,2003
pan,121,2004
pan,123,2005
pan,126,2006
pan,139,2007
png,2816,1990
png,2852,1991
png,2889,1992
png,2927,1993
png,2966,1994
png,3008,1995
png,3199,1996
png,3175,1997
png,2947,1998
png,3133,1999
png,3191,2000
png,3194,2001
png,3053,2002
png,2997,2003
png,2836,2004
png,2898,2005
png,3149,2006
png,3817,2007
pry,498,1990
pry,510,1991
pry,522,1992
pry,533,1993
pry,545,1994
pry,557,1995
pry,444,1996
pry,626,1997
pry,642,1998
pry,658,1999
pry,666,2000
pry,673,2001
pry,690,2002
pry,681,2003
pry,693,2004
pry,670,2005
pry,606,2006
pry,619,2007
per,7415,1990
per,7156,1991
per,6904,1992
per,6656,1993
per,6411,1994
per,6170,1995
per,7149,1996
per,6804,1997
per,5855,1998
per,6278,1999
per,6056,2000
per,5816,2001
per,5577,2002
per,5480,2003
per,5147,2004
per,4864,2005
per,4395,2006
per,4368,2007
phl,53420,1990
phl,53710,1991
phl,53980,1992
phl,54240,1993
phl,54480,1994
phl,56420,1995
phl,56540,1996
phl,55900,1997
phl,54300,1998
phl,52140,1999
phl,43740,2000
phl,41300,2001
phl,39820,2002
phl,37870,2003
phl,37740,2004
phl,36910,2005
phl,35620,2006
phl,36300,2007
pol,2886,1990
pol,2903,1991
pol,2940,1992
pol,2946,1993
pol,2908,1994
pol,2819,1995
pol,2665,1996
pol,2329,1997
pol,2158,1998
pol,1994,1999
pol,1871,2000
pol,1766,2001
pol,1632,2002
pol,1554,2003
pol,1508,2004
pol,1434,2005
pol,1377,2006
pol,1319,2007
prt,672,1990
prt,645,1991
prt,618,1992
prt,605,1993
prt,592,1994
prt,584,1995
prt,569,1996
prt,555,1997
prt,531,1998
prt,555,1999
prt,531,2000
prt,462,2001
prt,460,2002
prt,480,2003
prt,437,2004
prt,406,2005
prt,372,2006
prt,350,2007
pri,68,1990
pri,61,1991
pri,71,1992
pri,74,1993
pri,75,1994
pri,75,1995
pri,58,1996
pri,51,1997
pri,48,1998
pri,41,1999
pri,36,2000
pri,32,2001
pri,26,2002
pri,26,2003
pri,24,2004
pri,24,2005
pri,22,2006
pri,21,2007
qat,28,1990
qat,28,1991
qat,29,1992
qat,32,1993
qat,37,1994
qat,40,1995
qat,40,1996
qat,41,1997
qat,38,1998
qat,39,1999
qat,40,2000
qat,45,2001
qat,45,2002
qat,48,2003
qat,49,2004
qat,49,2005
qat,59,2006
qat,61,2007
kor,8024,1990
kor,7109,1991
kor,6400,1992
kor,5576,1993
kor,5325,1994
kor,5001,1995
kor,4798,1996
kor,4521,1997
kor,4181,1998
kor,3706,1999
kor,4339,2000
kor,3929,2001
kor,4437,2002
kor,4315,2003
kor,4453,2004
kor,4621,2005
kor,4754,2006
kor,4887,2007
mda,377,1990
mda,363,1991
mda,383,1992
mda,419,1993
mda,465,1994
mda,530,1995
mda,597,1996
mda,647,1997
mda,749,1998
mda,786,1999
mda,823,2000
mda,828,2001
mda,817,2002
mda,802,2003
mda,732,2004
mda,730,2005
mda,726,2006
mda,722,2007
rou,1955,1990
rou,2107,1991
rou,2290,1992
rou,2550,1993
rou,2781,1994
rou,2957,1995
rou,3449,1996
rou,3329,1997
rou,3740,1998
rou,3967,1999
rou,4108,2000
rou,4291,2001
rou,4308,2002
rou,4312,2003
rou,4131,2004
rou,4097,2005
rou,3797,2006
rou,3516,2007
rus,10850,1990
rus,10200,1991
rus,11050,1992
rus,12400,1993
rus,14510,1994
rus,17660,1995
rus,22410,1996
rus,24890,1997
rus,27570,1998
rus,28500,1999
rus,30320,2000
rus,30560,2001
rus,29920,2002
rus,29410,2003
rus,28890,2004
rus,26490,2005
rus,25820,2006
rus,25360,2007
rwa,4917,1990
rwa,5141,1991
rwa,5015,1992
rwa,4831,1993
rwa,4716,1994
rwa,4816,1995
rwa,5203,1996
rwa,5826,1997
rwa,6738,1998
rwa,8062,1999
rwa,9629,2000
rwa,11110,2001
rwa,12060,2002
rwa,12560,2003
rwa,12900,2004
rwa,12710,2005
rwa,12370,2006
rwa,12400,2007
kna,1,1990
kna,1,1991
kna,1,1992
kna,1,1993
kna,1,1994
kna,1,1995
kna,1,1996
kna,1,1997
kna,0,1998
kna,1,1999
kna,1,2000
kna,1,2001
kna,1,2002
kna,1,2003
kna,1,2004
kna,1,2005
kna,1,2006
kna,1,2007
lca,4,1990
lca,4,1991
lca,4,1992
lca,4,1993
lca,4,1994
lca,4,1995
lca,3,1996
lca,2,1997
lca,3,1998
lca,3,1999
lca,4,2000
lca,3,2001
lca,3,2002
lca,3,2003
lca,3,2004
lca,3,2005
lca,2,2006
lca,3,2007
vct,6,1990
vct,6,1991
vct,6,1992
vct,6,1993
vct,6,1994
vct,6,1995
vct,6,1996
vct,6,1997
vct,5,1998
vct,6,1999
vct,5,2000
vct,5,2001
vct,5,2002
vct,5,2003
vct,5,2004
vct,5,2005
vct,5,2006
vct,6,2007
wsm,8,1990
wsm,7,1991
wsm,7,1992
wsm,7,1993
wsm,6,1994
wsm,6,1995
wsm,7,1996
wsm,7,1997
wsm,9,1998
wsm,6,1999
wsm,5,2000
wsm,7,2001
wsm,4,2002
wsm,6,2003
wsm,5,2004
wsm,6,2005
wsm,6,2006
wsm,5,2007
smr,0,1990
smr,0,1991
smr,0,1992
smr,0,1993
smr,0,1994
smr,0,1995
smr,0,1996
smr,0,1997
smr,0,1998
smr,0,1999
smr,0,2000
smr,0,2001
smr,0,2002
smr,0,2003
smr,0,2004
smr,0,2005
smr,0,2006
smr,0,2007
stp,44,1990
stp,44,1991
stp,43,1992
stp,43,1993
stp,42,1994
stp,42,1995
stp,42,1996
stp,42,1997
stp,40,1998
stp,42,1999
stp,42,2000
stp,42,2001
stp,42,2002
stp,41,2003
stp,41,2004
stp,41,2005
stp,40,2006
stp,42,2007
sau,807,1990
sau,743,1991
sau,738,1992
sau,769,1993
sau,846,1994
sau,905,1995
sau,974,1996
sau,1033,1997
sau,1099,1998
sau,1135,1999
sau,1146,2000
sau,1131,2001
sau,1116,2002
sau,1114,2003
sau,1132,2004
sau,1182,2005
sau,1254,2006
sau,1327,2007
sen,3326,1990
sen,3428,1991
sen,3530,1992
sen,3634,1993
sen,3741,1994
sen,3850,1995
sen,3957,1996
sen,4307,1997
sen,4585,1998
sen,5056,1999
sen,5203,2000
sen,5538,2001
sen,5974,2002
sen,6196,2003
sen,6687,2004
sen,7047,2005
sen,7486,2006
sen,7982,2007
syc,6,1990
syc,6,1991
syc,6,1992
syc,6,1993
syc,6,1994
syc,5,1995
syc,4,1996
syc,3,1997
syc,4,1998
syc,5,1999
syc,4,2000
syc,4,2001
syc,3,2002
syc,4,2003
syc,3,2004
syc,4,2005
syc,4,2006
syc,4,2007
sle,2173,1990
sle,2331,1991
sle,2498,1992
sle,2668,1993
sle,2836,1994
sle,3004,1995
sle,3016,1996
sle,3309,1997
sle,3623,1998
sle,3961,1999
sle,4406,2000
sle,4827,2001
sle,5485,2002
sle,6174,2003
sle,6903,2004
sle,7543,2005
sle,8146,2006
sle,8715,2007
sgp,169,1990
sgp,174,1991
sgp,183,1992
sgp,177,1993
sgp,181,1994
sgp,185,1995
sgp,195,1996
sgp,203,1997
sgp,198,1998
sgp,190,1999
sgp,170,2000
sgp,160,2001
sgp,155,2002
sgp,138,2003
sgp,146,2004
sgp,122,2005
sgp,110,2006
sgp,122,2007
svk,347,1990
svk,364,1991
svk,390,1992
svk,400,1993
svk,384,1994
svk,362,1995
svk,325,1996
svk,303,1997
svk,269,1998
svk,252,1999
svk,231,2000
svk,215,2001
svk,206,2002
svk,184,2003
svk,179,2004
svk,150,2005
svk,143,2006
svk,146,2007
svn,99,1990
svn,93,1991
svn,89,1992
svn,87,1993
svn,81,1994
svn,77,1995
svn,85,1996
svn,81,1997
svn,76,1998
svn,70,1999
svn,66,2000
svn,60,2001
svn,54,2002
svn,49,2003
svn,45,2004
svn,40,2005
svn,39,2006
svn,37,2007
slb,221,1990
slb,212,1991
slb,203,1992
slb,195,1993
slb,187,1994
slb,179,1995
slb,157,1996
slb,150,1997
slb,146,1998
slb,144,1999
slb,139,2000
slb,135,2001
slb,133,2002
slb,126,2003
slb,119,2004
slb,112,2005
slb,111,2006
slb,105,2007
som,5780,1990
som,5657,1991
som,5495,1992
som,5327,1993
som,5197,1994
som,5135,1995
som,4785,1996
som,4802,1997
som,4994,1998
som,5119,1999
som,5225,2000
som,5018,2001
som,5136,2002
som,5037,2003
som,4407,2004
som,4261,2005
som,4791,2006
som,5483,2007
zaf,28590,1990
zaf,29370,1991
zaf,31420,1992
zaf,44230,1993
zaf,46380,1994
zaf,48280,1995
zaf,53490,1996
zaf,57670,1997
zaf,63290,1998
zaf,57670,1999
zaf,82900,2000
zaf,98200,2001
zaf,90340,2002
zaf,106900,2003
zaf,111000,2004
zaf,119600,2005
zaf,111900,2006
zaf,111900,2007
esp,2265,1990
esp,2144,1991
esp,2045,1992
esp,1923,1993
esp,1848,1994
esp,1764,1995
esp,1710,1996
esp,1578,1997
esp,1596,1998
esp,1460,1999
esp,1457,2000
esp,1423,2001
esp,1431,2002
esp,1397,2003
esp,1391,2004
esp,1389,2005
esp,1384,2006
esp,1375,2007
lka,1724,1990
lka,1729,1991
lka,1733,1992
lka,1736,1993
lka,1737,1994
lka,1736,1995
lka,1827,1996
lka,1676,1997
lka,1629,1998
lka,1608,1999
lka,1889,2000
lka,1773,2001
lka,1650,2002
lka,1670,2003
lka,1623,2004
lka,1310,2005
lka,1511,2006
lka,1504,2007
sdn,15970,1990
sdn,16790,1991
sdn,17500,1992
sdn,18140,1993
sdn,18760,1994
sdn,19370,1995
sdn,20150,1996
sdn,21140,1997
sdn,20130,1998
sdn,20970,1999
sdn,21330,2000
sdn,22550,2001
sdn,22280,2002
sdn,23240,2003
sdn,24080,2004
sdn,25080,2005
sdn,26190,2006
sdn,27450,2007
sur,56,1990
sur,52,1991
sur,42,1992
sur,44,1993
sur,43,1994
sur,45,1995
sur,52,1996
sur,62,1997
sur,75,1998
sur,80,1999
sur,78,2000
sur,80,2001
sur,83,2002
sur,91,2003
sur,98,2004
sur,110,2005
sur,120,2006
sur,131,2007
swz,684,1990
swz,733,1991
swz,782,1992
swz,884,1993
swz,1061,1994
swz,1314,1995
swz,1595,1996
swz,1997,1997
swz,2443,1998
swz,3370,1999
swz,3835,2000
swz,4462,2001
swz,2581,2002
swz,2639,2003
swz,3083,2004
swz,3473,2005
swz,3656,2006
swz,3619,2007
swe,59,1990
swe,60,1991
swe,62,1992
swe,63,1993
swe,61,1994
swe,57,1995
swe,54,1996
swe,50,1997
swe,49,1998
swe,48,1999
swe,46,2000
swe,42,2001
swe,41,2002
swe,42,2003
swe,48,2004
swe,51,2005
swe,53,2006
swe,54,2007
che,125,1990
che,121,1991
che,109,1992
che,101,1993
che,96,1994
che,90,1995
che,83,1996
che,80,1997
che,80,1998
che,73,1999
che,65,2000
che,59,2001
che,60,2002
che,59,2003
che,57,2004
che,53,2005
che,50,2006
che,46,2007
syr,725,1990
syr,706,1991
syr,688,1992
syr,669,1993
syr,650,1994
syr,631,1995
syr,612,1996
syr,593,1997
syr,574,1998
syr,557,1999
syr,540,2000
syr,524,2001
syr,510,2002
syr,488,2003
syr,441,2004
syr,468,2005
syr,455,2006
syr,442,2007
tjk,1084,1990
tjk,942,1991
tjk,671,1992
tjk,485,1993
tjk,535,1994
tjk,686,1995
tjk,915,1996
tjk,980,1997
tjk,1123,1998
tjk,1191,1999
tjk,1397,2000
tjk,1638,2001
tjk,1872,2002
tjk,1982,2003
tjk,2283,2004
tjk,2468,2005
tjk,2763,2006
tjk,3066,2007
tha,16050,1990
tha,16780,1991
tha,17270,1992
tha,17610,1993
tha,17810,1994
tha,17850,1995
tha,18020,1996
tha,17830,1997
tha,16690,1998
tha,15400,1999
tha,14990,2000
tha,13450,2001
tha,13580,2002
tha,13160,2003
tha,13200,2004
tha,13060,2005
tha,13320,2006
tha,13590,2007
mkd,216,1990
mkd,214,1991
mkd,216,1992
mkd,214,1993
mkd,209,1994
mkd,199,1995
mkd,189,1996
mkd,187,1997
mkd,188,1998
mkd,170,1999
mkd,146,2000
mkd,118,2001
mkd,117,2002
mkd,112,2003
mkd,106,2004
mkd,105,2005
mkd,104,2006
mkd,103,2007
tls,538,1990
tls,552,1991
tls,568,1992
tls,583,1993
tls,594,1994
tls,596,1995
