geo,all_forms_of_tb_deaths_per_100000_estimated,time
kaz,8,1996
kaz,12,1997
kaz,12,1998
kaz,17,1999
kaz,15,2000
kaz,17,2001
kaz,18,2002
kaz,20,2003
kaz,19,2004
kaz,18,2005
kaz,18,2006
kaz,17,2007
ken,25,1990
ken,27,1991
ken,33,1992
ken,41,1993
ken,49,1994
ken,61,1995
ken,69,1996
ken,83,1997
ken,93,1998
ken,102,1999
ken,113,2000
ken,105,2001
ken,103,2002
ken,100,2003
ken,98,2004
ken,90,2005
ken,73,2006
ken,65,2007
kir,116,1990
kir,111,1991
kir,107,1992
kir,103,1993
kir,100,1994
kir,96,1995
kir,81,1996
kir,82,1997
kir,65,1998
kir,63,1999
kir,62,2000
kir,71,2001
kir,68,2002
kir,55,2003
kir,45,2004
kir,49,2005
kir,46,2006
kir,49,2007
kwt,5,1990
kwt,5,1991
kwt,5,1992
kwt,4,1993
kwt,4,1994
kwt,4,1995
kwt,4,1996
kwt,3,1997
kwt,3,1998
kwt,3,1999
kwt,3,2000
kwt,3,2001
kwt,3,2002
kwt,3,2003
kwt,3,2004
kwt,3,2005
kwt,2,2006
kwt,2,2007
kgz,8,1990
kgz,8,1991
kgz,8,1992
kgz,9,1993
kgz,9,1994
kgz,11,1995
kgz,14,1996
kgz,16,1997
kgz,18,1998
kgz,19,1999
kgz,20,2000
kgz,20,2001
kgz,20,2002
kgz,19,2003
kgz,18,2004
kgz,18,2005
kgz,18,2006
kgz,18,2007
lao,38,1990
lao,37,1991
lao,36,1992
lao,35,1993
lao,34,1994
lao,33,1995
lao,30,1996
lao,29,1997
lao,28,1998
lao,28,1999
lao,28,2000
lao,27,2001
lao,27,2002
lao,26,2003
lao,26,2004
lao,24,2005
lao,24,2006
lao,24,2007
lva,4,1990
lva,5,1991
lva,5,1992
lva,5,1993
lva,6,1994
lva,8,1995
lva,10,1996
lva,12,1997
lva,12,1998
lva,12,1999
lva,12,2000
lva,12,2001
lva,12,2002
lva,11,2003
lva,10,2004
lva,9,2005
lva,9,2006
lva,8,2007
lbn,5,1990
lbn,5,1991
lbn,5,1992
lbn,5,1993
lbn,5,1994
lbn,5,1995
lbn,4,1996
lbn,4,1997
lbn,3,1998
lbn,3,1999
lbn,3,2000
lbn,2,2001
lbn,2,2002
lbn,2,2003
lbn,2,2004
lbn,2,2005
lbn,2,2006
lbn,2,2007
lso,28,1990
lso,31,1991
lso,34,1992
lso,38,1993
lso,43,1994
lso,49,1995
lso,51,1996
lso,41,1997
lso,57,1998
lso,219,1999
lso,76,2000
lso,79,2001
lso,92,2002
lso,89,2003
lso,93,2004
lso,115,2005
lso,85,2006
lso,263,2007
lbr,57,1990
lbr,59,1991
lbr,61,1992
lbr,63,1993
lbr,65,1994
lbr,66,1995
lbr,60,1996
lbr,62,1997
lbr,58,1998
lbr,60,1999
lbr,65,2000
lbr,65,2001
lbr,57,2002
lbr,65,2003
lbr,56,2004
lbr,63,2005
lbr,60,2006
lbr,62,2007
lby,5,1990
lby,5,1991
lby,5,1992
lby,5,1993
lby,5,1994
lby,5,1995
lby,4,1996
lby,4,1997
lby,4,1998
lby,2,1999
lby,2,2000
lby,2,2001
lby,2,2002
lby,1,2003
lby,1,2004
lby,1,2005
lby,1,2006
lby,1,2007
ltu,4,1990
ltu,5,1991
ltu,5,1992
ltu,6,1993
ltu,6,1994
ltu,7,1995
ltu,8,1996
ltu,9,1997
ltu,11,1998
ltu,11,1999
ltu,10,2000
ltu,10,2001
ltu,10,2002
ltu,9,2003
ltu,9,2004
ltu,8,2005
ltu,7,2006
ltu,9,2007
lux,2,1990
lux,2,1991
lux,2,1992
lux,2,1993
lux,2,1994
lux,2,1995
lux,2,1996
lux,2,1997
lux,2,1998
lux,2,1999
lux,1,2000
lux,1,2001
lux,1,2002
lux,1,2003
lux,1,2004
lux,1,2005
lux,1,2006
lux,1,2007
mdg,38,1990
mdg,38,1991
mdg,38,1992
mdg,38,1993
mdg,38,1994
mdg,38,1995
mdg,38,1996
mdg,38,1997
mdg,39,1998
mdg,40,1999
mdg,41,2000
mdg,42,2001
mdg,43,2002
mdg,43,2003
mdg,44,2004
mdg,47,2005
mdg,45,2006
mdg,48,2007
mwi,62,1990
mwi,73,1991
mwi,85,1992
mwi,96,1993
mwi,105,1994
mwi,110,1995
mwi,111,1996
mwi,117,1997
mwi,119,1998
mwi,118,1999
mwi,126,2000
mwi,119,2001
mwi,123,2002
mwi,119,2003
mwi,116,2004
mwi,116,2005
mwi,109,2006
mwi,102,2007
mys,21,1990
mys,21,1991
mys,20,1992
mys,20,1993
mys,19,1994
mys,19,1995
mys,19,1996
mys,24,1997
mys,24,1998
mys,24,1999
mys,18,2000
mys,18,2001
mys,19,2002
mys,18,2003
mys,19,2004
mys,18,2005
mys,18,2006
mys,18,2007
mdv,7,1990
mdv,7,1991
mdv,6,1992
mdv,6,1993
mdv,5,1994
mdv,5,1995
mdv,5,1996
mdv,7,1997
mdv,7,1998
mdv,7,1999
mdv,7,2000
mdv,7,2001
mdv,6,2002
mdv,5,2003
mdv,5,2004
mdv,5,2005
mdv,5,2006
mdv,4,2007
mli,74,1990
mli,74,1991
mli,74,1992
mli,75,1993
mli,75,1994
mli,76,1995
mli,77,1996
mli,79,1997
mli,81,1998
mli,83,1999
mli,85,2000
mli,86,2001
mli,86,2002
mli,87,2003
mli,88,2004
mli,89,2005
mli,90,2006
mli,90,2007
mlt,1,1990
mlt,1,1991
mlt,1,1992
mlt,1,1993
mlt,1,1994
mlt,1,1995
mlt,1,1996
mlt,1,1997
mlt,1,1998
mlt,1,1999
mlt,1,2000
mlt,1,2001
mlt,1,2002
mlt,1,2003
mlt,1,2004
mlt,1,2005
mlt,1,2006
mlt,1,2007
mrt,63,1990
mrt,63,1991
mrt,63,1992
mrt,64,1993
mrt,64,1994
mrt,64,1995
mrt,66,1996
mrt,64,1997
mrt,73,1998
mrt,75,1999
mrt,78,2000
mrt,81,2001
mrt,83,2002
mrt,85,2003
mrt,67,2004
mrt,76,2005
mrt,75,2006
mrt,75,2007
mus,5,1990
mus,5,1991
mus,4,1992
mus,4,1993
mus,4,1994
mus,4,1995
mus,5,1996
mus,5,1997
mus,4,1998
mus,3,1999
mus,3,2000
mus,4,2001
mus,4,2002
mus,4,2003
mus,3,2004
mus,4,2005
mus,4,2006
mus,4,2007
mex,11,1990
mex,10,1991
mex,10,1992
mex,9,1993
mex,8,1994
mex,8,1995
mex,7,1996
mex,7,1997
mex,6,1998
mex,6,1999
mex,5,2000
mex,4,2001
mex,4,2002
mex,4,2003
mex,4,2004
mex,3,2005
mex,3,2006
mex,2,2007
fsm,33,1990
fsm,31,1991
fsm,29,1992
fsm,28,1993
fsm,26,1994
fsm,24,1995
fsm,23,1996
fsm,27,1997
fsm,26,1998
fsm,25,1999
fsm,20,2000
fsm,19,2001
fsm,17,2002
fsm,16,2003
fsm,15,2004
fsm,14,2005
fsm,13,2006
fsm,9,2007
mco,0,1990
mco,0,1991
mco,0,1992
mco,0,1993
mco,0,1994
mco,0,1995
mco,0,1996
mco,0,1997
mco,0,1998
mco,0,1999
mco,0,2000
mco,0,2001
mco,0,2002
mco,0,2003
mco,0,2004
mco,0,2005
mco,0,2006
mco,0,2007
mng,48,1990
mng,47,1991
mng,47,1992
mng,46,1993
mng,45,1994
mng,44,1995
mng,38,1996
mng,38,1997
mng,38,1998
mng,37,1999
mng,37,2000
mng,36,2001
mng,34,2002
mng,35,2003
mng,29,2004
mng,28,2005
mng,21,2006
mng,29,2007
msr,2,1990
msr,2,1991
msr,2,1992
msr,2,1993
msr,2,1994
msr,2,1995
msr,2,1996
msr,2,1997
msr,1,1998
msr,1,1999
msr,2,2000
msr,2,2001
msr,2,2002
msr,1,2003
msr,2,2004
msr,1,2005
msr,2,2006
msr,1,2007
mar,13,1990
mar,13,1991
mar,13,1992
mar,12,1993
mar,12,1994
mar,12,1995
mar,11,1996
mar,11,1997
mar,11,1998
mar,10,1999
mar,10,2000
mar,10,2001
mar,9,2002
mar,9,2003
mar,9,2004
mar,9,2005
mar,9,2006
mar,8,2007
moz,37,1990
moz,42,1991
moz,46,1992
moz,50,1993
moz,55,1994
moz,61,1995
moz,68,1996
moz,77,1997
moz,87,1998
moz,98,1999
moz,111,2000
moz,124,2001
moz,133,2002
moz,139,2003
moz,140,2004
moz,138,2005
moz,133,2006
moz,127,2007
mmr,52,1990
mmr,53,1991
mmr,53,1992
mmr,53,1993
mmr,54,1994
mmr,54,1995
mmr,47,1996
mmr,48,1997
mmr,49,1998
mmr,47,1999
mmr,43,2000
mmr,39,2001
mmr,33,2002
mmr,23,2003
mmr,18,2004
mmr,13,2005
mmr,13,2006
mmr,13,2007
nam,84,1990
nam,96,1991
nam,107,1992
nam,119,1993
nam,132,1994
nam,146,1995
nam,57,1996
nam,55,1997
nam,57,1998
nam,71,1999
nam,87,2000
nam,82,2001
nam,100,2002
nam,97,2003
nam,109,2004
nam,118,2005
nam,123,2006
nam,102,2007
nru,19,1990
nru,32,1991
nru,30,1992
nru,29,1993
nru,9,1994
nru,27,1995
nru,27,1996
nru,26,1997
nru,26,1998
nru,7,1999
nru,4,2000
nru,8,2001
nru,5,2002
nru,5,2003
nru,19,2004
nru,6,2005
nru,24,2006
nru,3,2007
npl,51,1990
npl,49,1991
npl,48,1992
npl,47,1993
npl,46,1994
npl,45,1995
npl,43,1996
npl,41,1997
npl,39,1998
npl,32,1999
npl,29,2000
npl,28,2001
npl,27,2002
npl,25,2003
npl,24,2004
npl,24,2005
npl,23,2006
npl,23,2007
nld,1,1990
nld,1,1991
nld,1,1992
nld,1,1993
nld,1,1994
nld,1,1995
nld,1,1996
nld,1,1997
nld,1,1998
nld,1,1999
nld,1,2000
nld,1,2001
nld,1,2002
nld,1,2003
nld,1,2004
nld,1,2005
nld,1,2006
nld,1,2007
ant,3,1990
ant,3,1991
ant,2,1992
ant,2,1993
ant,2,1994
ant,2,1995
ant,2,1996
ant,2,1997
ant,2,1998
ant,2,1999
ant,2,2000
ant,1,2001
ant,1,2002
ant,2,2003
ant,1,2004
ant,1,2005
ant,1,2006
ant,1,2007
ncl,10,1990
ncl,10,1991
ncl,10,1992
ncl,7,1993
ncl,6,1994
ncl,6,1995
ncl,4,1996
ncl,8,1997
ncl,7,1998
ncl,5,1999
ncl,4,2000
ncl,4,2001
ncl,3,2002
ncl,3,2003
ncl,2,2004
ncl,2,2005
ncl,2,2006
ncl,2,2007
nzl,1,1990
nzl,1,1991
nzl,1,1992
nzl,1,1993
nzl,1,1994
nzl,1,1995
nzl,1,1996
nzl,1,1997
nzl,1,1998
nzl,1,1999
nzl,1,2000
nzl,1,2001
nzl,1,2002
nzl,1,2003
nzl,1,2004
nzl,1,2005
nzl,1,2006
nzl,1,2007
nic,18,1990
nic,17,1991
nic,16,1992
nic,16,1993
nic,15,1994
nic,14,1995
nic,13,1996
nic,13,1997
nic,12,1998
nic,12,1999
nic,11,2000
nic,11,2001
nic,10,2002
nic,10,2003
nic,9,2004
nic,9,2005
nic,9,2006
nic,6,2007
ner,36,1990
ner,36,1991
ner,36,1992
ner,37,1993
ner,37,1994
ner,37,1995
ner,39,1996
ner,35,1997
ner,35,1998
ner,35,1999
ner,35,2000
ner,36,2001
ner,37,2002
ner,36,2003
ner,38,2004
ner,37,2005
ner,38,2006
ner,38,2007
nga,35,1990
nga,40,1991
nga,43,1992
nga,47,1993
nga,52,1994
nga,56,1995
nga,60,1996
nga,66,1997
nga,72,1998
nga,78,1999
nga,86,2000
nga,93,2001
nga,100,2002
nga,103,2003
nga,102,2004
nga,101,2005
nga,97,2006
nga,93,2007
niu,13,1990
niu,13,1991
niu,12,1992
niu,12,1993
niu,11,1994
niu,11,1995
niu,15,1996
niu,0,1997
niu,0,1998
niu,40,1999
niu,0,2000
niu,0,2001
niu,82,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
niu,0,2007
mnp,13,1990
mnp,17,1991
mnp,26,1992
mnp,16,1993
mnp,15,1994
mnp,15,1995
mnp,16,1996
mnp,24,1997
mnp,23,1998
mnp,19,1999
mnp,10,2000
mnp,13,2001
mnp,8,2002
mnp,9,2003
mnp,7,2004
mnp,6,2005
mnp,8,2006
mnp,7,2007
nor,1,1990
nor,1,1991
nor,1,1992
nor,1,1993
nor,1,1994
nor,1,1995
nor,1,1996
nor,1,1997
nor,1,1998
nor,1,1999
nor,1,2000
nor,1,2001
nor,1,2002
nor,1,2003
nor,1,2004
nor,1,2005
nor,1,2006
nor,1,2007
omn,2,1990
omn,2,1991
omn,2,1992
omn,1,1993
omn,1,1994
omn,1,1995
omn,1,1996
omn,1,1997
omn,1,1998
omn,1,1999
omn,1,2000
omn,1,2001
omn,1,2002
omn,1,2003
omn,1,2004
omn,1,2005
omn,1,2006
omn,1,2007
pak,49,1990
pak,49,1991
pak,49,1992
pak,49,1993
pak,49,1994
pak,49,1995
pak,49,1996
pak,49,1997
pak,48,1998
pak,49,1999
pak,49,2000
pak,48,2001
pak,45,2002
pak,44,2003
pak,42,2004
pak,38,2005
pak,34,2006
pak,29,2007
plw,12,1990
plw,8,1991
plw,5,1992
plw,30,1993
plw,47,1994
plw,21,1995
plw,7,1996
plw,7,1997
plw,4,1998
plw,31,1999
plw,8,2000
plw,7,2001
plw,6,2002
plw,8,2003
plw,5,2004
plw,12,2005
plw,6,2006
plw,8,2007
pan,7,1990
pan,7,1991
pan,7,1992
pan,7,1993
pan,7,1994
pan,7,1995
pan,7,1996
pan,8,1997
pan,7,1998
pan,7,1999
pan,7,2000
pan,6,2001
pan,4,2002
pan,5,2003
pan,4,2004
pan,4,2005
pan,4,2006
pan,4,2007
png,68,1990
png,67,1991
png,66,1992
png,66,1993
png,65,1994
png,64,1995
png,66,1996
png,64,1997
png,58,1998
png,60,1999
png,59,2000
png,58,2001
png,54,2002
png,52,2003
png,48,2004
png,48,2005
png,51,2006
png,60,2007
pry,12,1990
pry,12,1991
pry,12,1992
pry,12,1993
pry,12,1994
pry,12,1995
pry,9,1996
pry,12,1997
pry,13,1998
pry,13,1999
pry,12,2000
pry,12,2001
pry,12,2002
pry,12,2003
pry,12,2004
pry,11,2005
pry,10,2006
pry,10,2007
per,34,1990
per,32,1991
per,31,1992
per,29,1993
per,27,1994
per,26,1995
per,29,1996
per,28,1997
per,23,1998
per,25,1999
per,24,2000
per,22,2001
per,21,2002
per,21,2003
per,19,2004
per,18,2005
per,16,2006
per,16,2007
phl,87,1990
phl,86,1991
phl,84,1992
phl,83,1993
phl,81,1994
phl,82,1995
phl,81,1996
phl,78,1997
phl,74,1998
phl,70,1999
phl,57,2000
phl,53,2001
phl,50,2002
phl,47,2003
phl,46,2004
phl,44,2005
phl,41,2006
phl,41,2007
pol,8,1990
pol,8,1991
pol,8,1992
pol,8,1993
pol,8,1994
pol,7,1995
pol,7,1996
pol,6,1997
pol,6,1998
pol,5,1999
pol,5,2000
pol,5,2001
pol,4,2002
pol,4,2003
pol,4,2004
pol,4,2005
pol,4,2006
pol,3,2007
prt,7,1990
prt,6,1991
prt,6,1992
prt,6,1993
prt,6,1994
prt,6,1995
prt,6,1996
prt,5,1997
prt,5,1998
prt,5,1999
prt,5,2000
prt,4,2001
prt,4,2002
prt,5,2003
prt,4,2004
prt,4,2005
prt,4,2006
prt,3,2007
pri,2,1990
pri,2,1991
pri,2,1992
pri,2,1993
pri,2,1994
pri,2,1995
pri,2,1996
pri,1,1997
pri,1,1998
pri,1,1999
pri,1,2000
pri,1,2001
pri,1,2002
pri,1,2003
pri,1,2004
pri,1,2005
pri,1,2006
pri,1,2007
qat,6,1990
qat,6,1991
qat,6,1992
qat,6,1993
qat,7,1994
qat,8,1995
qat,7,1996
qat,7,1997
qat,7,1998
qat,7,1999
qat,7,2000
qat,7,2001
qat,7,2002
qat,7,2003
qat,6,2004
qat,6,2005
qat,7,2006
qat,7,2007
kor,19,1990
kor,16,1991
kor,15,1992
kor,13,1993
kor,12,1994
kor,11,1995
kor,11,1996
kor,10,1997
kor,9,1998
kor,8,1999
kor,9,2000
kor,8,2001
kor,9,2002
kor,9,2003
kor,9,2004
kor,10,2005
kor,10,2006
kor,10,2007
mda,9,1990
mda,8,1991
mda,9,1992
mda,9,1993
mda,11,1994
mda,12,1995
mda,14,1996
mda,15,1997
mda,18,1998
mda,19,1999
mda,20,2000
mda,20,2001
mda,20,2002
mda,20,2003
mda,19,2004
mda,19,2005
mda,19,2006
mda,19,2007
rou,8,1990
rou,9,1991
rou,10,1992
rou,11,1993
rou,12,1994
rou,13,1995
rou,15,1996
rou,15,1997
rou,17,1998
rou,18,1999
rou,19,2000
rou,19,2001
rou,20,2002
rou,20,2003
rou,19,2004
rou,19,2005
rou,18,2006
rou,16,2007
rus,7,1990
rus,7,1991
rus,7,1992
rus,8,1993
rus,10,1994
rus,12,1995
rus,15,1996
rus,17,1997
rus,19,1998
rus,19,1999
rus,21,2000
rus,21,2001
rus,20,2002
rus,20,2003
rus,20,2004
rus,18,2005
rus,18,2006
rus,18,2007
rwa,67,1990
rwa,73,1991
rwa,76,1992
rwa,79,1993
rwa,82,1994
rwa,85,1995
rwa,89,1996
rwa,92,1997
rwa,96,1998
rwa,105,1999
rwa,118,2000
rwa,130,2001
rwa,138,2002
rwa,141,2003
rwa,142,2004
rwa,138,2005
rwa,131,2006
rwa,128,2007
kna,2,1990
kna,2,1991
kna,2,1992
kna,2,1993
kna,2,1994
kna,2,1995
kna,2,1996
kna,2,1997
kna,1,1998
kna,1,1999
kna,2,2000
kna,2,2001
kna,1,2002
kna,2,2003
kna,2,2004
kna,2,2005
kna,2,2006
kna,1,2007
lca,3,1990
lca,3,1991
lca,3,1992
lca,3,1993
lca,3,1994
lca,3,1995
lca,2,1996
lca,1,1997
lca,2,1998
lca,2,1999
lca,2,2000
lca,2,2001
lca,2,2002
lca,2,2003
lca,2,2004
lca,2,2005
lca,2,2006
lca,2,2007
vct,5,1990
vct,5,1991
vct,5,1992
vct,5,1993
vct,5,1994
vct,5,1995
vct,5,1996
vct,5,1997
vct,5,1998
vct,5,1999
vct,4,2000
vct,4,2001
vct,4,2002
vct,4,2003
vct,4,2004
vct,4,2005
vct,4,2006
vct,5,2007
wsm,5,1990
wsm,4,1991
wsm,4,1992
wsm,4,1993
wsm,4,1994
wsm,4,1995
wsm,4,1996
wsm,4,1997
wsm,5,1998
wsm,3,1999
wsm,3,2000
wsm,4,2001
wsm,2,2002
wsm,3,2003
wsm,3,2004
wsm,3,2005
wsm,3,2006
wsm,3,2007
smr,1,1990
smr,1,1991
smr,1,1992
smr,1,1993
smr,1,1994
smr,1,1995
smr,1,1996
smr,1,1997
smr,1,1998
smr,1,1999
smr,1,2000
smr,1,2001
smr,1,2002
smr,1,2003
smr,1,2004
smr,1,2005
smr,1,2006
smr,1,2007
stp,38,1990
stp,37,1991
stp,36,1992
stp,35,1993
stp,34,1994
stp,33,1995
stp,32,1996
stp,31,1997
stp,30,1998
stp,30,1999
stp,30,2000
stp,29,2001
stp,29,2002
stp,27,2003
stp,28,2004
stp,27,2005
stp,26,2006
stp,26,2007
sau,5,1990
sau,4,1991
sau,4,1992
sau,4,1993
sau,5,1994
sau,5,1995
sau,5,1996
sau,5,1997
sau,6,1998
sau,6,1999
sau,6,2000
sau,5,2001
sau,5,2002
sau,5,2003
sau,5,2004
sau,5,2005
sau,5,2006
sau,5,2007
sen,42,1990
sen,42,1991
sen,42,1992
sen,42,1993
sen,42,1994
sen,43,1995
sen,43,1996
sen,45,1997
sen,47,1998
sen,50,1999
sen,50,2000
sen,52,2001
sen,55,2002
sen,55,2003
sen,58,2004
sen,60,2005
sen,62,2006
sen,64,2007
syc,9,1990
syc,8,1991
syc,8,1992
syc,8,1993
syc,7,1994
syc,7,1995
syc,5,1996
syc,4,1997
syc,5,1998
syc,7,1999
syc,5,2000
syc,5,2001
syc,4,2002
syc,5,2003
syc,4,2004
syc,5,2005
syc,5,2006
syc,5,2007
sle,53,1990
sle,57,1991
sle,60,1992
sle,65,1993
sle,69,1994
sle,73,1995
sle,72,1996
sle,78,1997
sle,85,1998
sle,90,1999
sle,97,2000
sle,103,2001
sle,111,2002
sle,120,2003
sle,128,2004
sle,135,2005
sle,142,2006
sle,149,2007
sgp,6,1990
sgp,6,1991
sgp,6,1992
sgp,5,1993
sgp,5,1994
sgp,5,1995
sgp,5,1996
sgp,5,1997
sgp,5,1998
sgp,5,1999
sgp,4,2000
sgp,4,2001
sgp,4,2002
sgp,3,2003
sgp,3,2004
sgp,3,2005
sgp,2,2006
sgp,3,2007
svk,7,1990
svk,7,1991
svk,7,1992
svk,8,1993
svk,7,1994
svk,7,1995
svk,6,1996
svk,6,1997
svk,5,1998
svk,5,1999
svk,4,2000
svk,4,2001
svk,4,2002
svk,3,2003
svk,3,2004
svk,3,2005
svk,3,2006
svk,3,2007
svn,5,1990
svn,5,1991
svn,5,1992
svn,4,1993
svn,4,1994
svn,4,1995
svn,4,1996
svn,4,1997
svn,4,1998
svn,4,1999
svn,3,2000
svn,3,2001
svn,3,2002
svn,2,2003
svn,2,2004
svn,2,2005
svn,2,2006
svn,2,2007
slb,70,1990
slb,66,1991
slb,61,1992
slb,57,1993
slb,53,1994
slb,50,1995
slb,42,1996
slb,39,1997
slb,37,1998
slb,36,1999
slb,33,2000
slb,32,2001
slb,30,2002
slb,28,2003
slb,26,2004
slb,24,2005
slb,23,2006
slb,21,2007
som,86,1990
som,85,1991
som,84,1992
som,84,1993
som,83,1994
som,82,1995
som,76,1996
som,75,1997
som,75,1998
som,75,1999
som,74,2000
som,69,2001
som,69,2002
som,65,2003
som,55,2004
som,52,2005
som,57,2006
som,63,2007
zaf,78,1990
zaf,78,1991
zaf,82,1992
zaf,112,1993
zaf,114,1994
zaf,116,1995
zaf,126,1996
zaf,133,1997
zaf,144,1998
zaf,129,1999
zaf,183,2000
zaf,213,2001
zaf,194,2002
zaf,227,2003
zaf,233,2004
zaf,249,2005
zaf,232,2006
zaf,230,2007
esp,6,1990
esp,6,1991
esp,5,1992
esp,5,1993
esp,5,1994
esp,4,1995
esp,4,1996
esp,4,1997
esp,4,1998
esp,4,1999
esp,4,2000
esp,3,2001
esp,3,2002
esp,3,2003
esp,3,2004
esp,3,2005
esp,3,2006
esp,3,2007
lka,10,1990
lka,10,1991
lka,10,1992
lka,10,1993
lka,10,1994
lka,10,1995
lka,10,1996
lka,9,1997
lka,9,1998
lka,9,1999
lka,10,2000
lka,9,2001
lka,9,2002
lka,9,2003
lka,9,2004
lka,7,2005
lka,8,2006
lka,8,2007
sdn,62,1990
sdn,63,1991
sdn,64,1992
sdn,65,1993
sdn,65,1994
sdn,66,1995
sdn,67,1996
sdn,68,1997
sdn,63,1998
sdn,64,1999
sdn,64,2000
sdn,66,2001
sdn,64,2002
sdn,66,2003
sdn,67,2004
sdn,68,2005
sdn,69,2006
sdn,71,2007
sur,14,1990
sur,13,1991
sur,10,1992
sur,11,1993
sur,10,1994
sur,11,1995
sur,12,1996
sur,15,1997
sur,18,1998
sur,18,1999
sur,18,2000
sur,18,2001
sur,19,2002
sur,20,2003
sur,22,2004
sur,24,2005
sur,26,2006
sur,29,2007
swz,79,1990
swz,83,1991
swz,86,1992
swz,96,1993
swz,113,1994
swz,137,1995
swz,163,1996
swz,200,1997
swz,240,1998
swz,324,1999
swz,362,2000
swz,415,2001
swz,237,2002
swz,239,2003
swz,277,2004
swz,309,2005
swz,322,2006
swz,317,2007
swe,1,1990
swe,1,1991
swe,1,1992
swe,1,1993
swe,1,1994
swe,1,1995
swe,1,1996
swe,1,1997
swe,1,1998
swe,1,1999
swe,1,2000
swe,0,2001
swe,0,2002
swe,0,2003
swe,1,2004
swe,1,2005
swe,1,2006
swe,1,2007
che,2,1990
che,2,1991
che,2,1992
che,1,1993
che,1,1994
che,1,1995
che,1,1996
che,1,1997
che,1,1998
che,1,1999
che,1,2000
che,1,2001
che,1,2002
che,1,2003
che,1,2004
che,1,2005
che,1,2006
che,1,2007
syr,6,1990
syr,5,1991
syr,5,1992
syr,5,1993
syr,5,1994
syr,4,1995
syr,4,1996
syr,4,1997
syr,4,1998
syr,3,1999
syr,3,2000
syr,3,2001
syr,3,2002
syr,3,2003
syr,2,2004
syr,2,2005
syr,2,2006
syr,2,2007
tjk,20,1990
tjk,17,1991
tjk,12,1992
tjk,9,1993
tjk,9,1994
tjk,12,1995
tjk,16,1996
tjk,17,1997
tjk,19,1998
tjk,20,1999
tjk,23,2000
tjk,26,2001
tjk,30,2002
tjk,31,2003
tjk,35,2004
tjk,38,2005
tjk,42,2006
tjk,46,2007
tha,30,1990
tha,31,1991
tha,31,1992
tha,31,1993
tha,31,1994
tha,31,1995
tha,31,1996
tha,30,1997
tha,28,1998
tha,26,1999
tha,25,2000
tha,22,2001
tha,22,2002
tha,21,2003
tha,21,2004
tha,21,2005
tha,21,2006
tha,21,2007
mkd,11,1990
mkd,11,1991
mkd,11,1992
mkd,11,1993
mkd,11,1994
mkd,10,1995
mkd,10,1996
mkd,9,1997
mkd,9,1998
mkd,8,1999
mkd,7,2000
mkd,6,2001
mkd,6,2002
mkd,6,2003
mkd,5,2004
mkd,5,2005
mkd,5,2006
mkd,5,2007
tls,73,1990
tls,72,1991
tls,72,1992
tls,71,1993
tls,71,1994
tls,70,1995
tls,70,1996
tls,70,1997
tls,70,1998
tls,70,1999
tls,70,2000
tls,70,2001
tls,37,2002
tls,45,2003
tls,46,2004
tls,46,2005
tls,48,2006
tls,47,2007
tgo,88,1990
tgo,91,1991
tgo,94,1992
tgo,98,1993
tgo,102,1994
tgo,104,1995
tgo,108,1996
tgo,119,1997
tgo,116,1998
tgo,120,1999
tgo,122,2000
tgo,124,2001
tgo,131,2002
tgo,129,2003
tgo,130,2004
tgo,131,2005
tgo,133,2006
tgo,138,2007
tkl,33,1990
tkl,33,1991
tkl,33,1992
tkl,26,1993
tkl,0,1994
tkl,68,1995
tkl,0,1996
tkl,12,1997
tkl,12,1998
tkl,0,1999
tkl,0,2000
tkl,0,2001
tkl,24,2002
tkl,0,2003
tkl,12,2004
tkl,0,2005
tkl,0,2006
tkl,0,2007
ton,6,1990
ton,6,1991
ton,6,1992
ton,5,1993
ton,5,1994
ton,5,1995
ton,3,1996
ton,4,1997
ton,2,1998
ton,4,1999
ton,3,2000
ton,5,2001
ton,3,2002
ton,3,2003
ton,4,2004
ton,3,2005
ton,3,2006
ton,2,2007
tto,2,1990
tto,2,1991
tto,2,1992
tto,2,1993
tto,2,1994
tto,2,1995
tto,2,1996
tto,2,1997
tto,2,1998
tto,2,1999
tto,2,2000
tto,2,2001
tto,2,2002
tto,2,2003
tto,2,2004
tto,2,2005
tto,2,2006
tto,2,2007
tun,3,1990
tun,3,1991
tun,3,1992
tun,3,1993
tun,3,1994
tun,3,1995
tun,3,1996
tun,3,1997
tun,3,1998
tun,3,1999
tun,3,2000
tun,2,2001
tun,3,2002
tun,3,2003
tun,3,2004
tun,3,2005
tun,3,2006
tun,3,2007
tur,8,1990
tur,8,1991
tur,8,1992
tur,8,1993
tur,7,1994
tur,7,1995
tur,7,1996
tur,7,1997
tur,7,1998
tur,6,1999
tur,5,2000
tur,5,2001
tur,5,2002
tur,5,2003
tur,5,2004
tur,5,2005
tur,5,2006
tur,5,2007
tkm,9,1990
tkm,9,1991
tkm,9,1992
tkm,9,1993
tkm,9,1994
tkm,8,1995
tkm,9,1996
tkm,11,1997
tkm,13,1998
tkm,14,1999
tkm,13,2000
tkm,13,2001
tkm,12,2002
tkm,12,2003
tkm,11,2004
tkm,10,2005
tkm,10,2006
tkm,9,2007
tca,5,1990
tca,5,1991
tca,4,1992
tca,4,1993
tca,4,1994
tca,4,1995
tca,4,1996
tca,4,1997
tca,3,1998
tca,1,1999
tca,1,2000
