murdered_60plus_per_100000_people,geo,time
2.209,cze,1991
2.328,cze,1992
1.563,cze,1993
2.2,cze,1994
1.639,cze,1995
1.755,cze,1996
1.733,cze,1997
1.254,cze,1998
1.013,cze,1999
1.07,cze,2000
1.084,cze,2001
1.072,cze,2002
1.333,cze,2003
1.101,cze,2004
0.6954,cze,2005
0.721,cze,2006
0.6505,cze,2007
0.5613,cze,2008
0.3227,dnk,1951
0.1685,dnk,1952
0.8335,dnk,1953
0.3107,dnk,1954
0.4562,dnk,1955
0.4483,dnk,1956
0.5496,dnk,1957
0.145,dnk,1958
0.1418,dnk,1959
0.2739,dnk,1960
0.5391,dnk,1961
0.3366,dnk,1962
1.058,dnk,1963
0.3749,dnk,1964
0.2522,dnk,1965
0.8814,dnk,1966
0.4797,dnk,1967
0.2466,dnk,1968
0.4759,dnk,1969
0.7236,dnk,1970
1.005,dnk,1971
0.327,dnk,1972
0.4638,dnk,1973
0.3153,dnk,1974
0.2091,dnk,1975
0.2995,dnk,1976
0.3795,dnk,1977
0.4286,dnk,1978
1.047,dnk,1979
1.17,dnk,1980
0.9823,dnk,1981
0.6036,dnk,1982
0.8174,dnk,1983
0.577,dnk,1984
0.7921,dnk,1985
0.5811,dnk,1986
0.9725,dnk,1987
0.4893,dnk,1988
1.026,dnk,1989
0.4646,dnk,1990
0.6676,dnk,1991
1.153,dnk,1992
0.652,dnk,1993
0.673,dnk,1994
0.5483,dnk,1995
0.5443,dnk,1996
0.5558,dnk,1997
0.2833,dnk,1998
0.1508,dnk,1999
0.7426,dnk,2000
0.4844,dnk,2001
0.7297,dnk,2002
0.7877,dnk,2003
0.5488,dnk,2004
0.778,dnk,2005
0.2809,dnk,2006
2.259,egy,1973
1.319,egy,1974
2.391,egy,1975
1.948,egy,1976
5.46,egy,1977
2.869,egy,1978
1.891,egy,1979
0.6156,egy,1980
0.7446,egy,1987
0.03907,egy,2000
0.06557,egy,2008
28.47,slv,2005
33.84,slv,2006
7.335,est,1981
7.577,est,1982
3.216,est,1985
3.9,est,1986
3.486,est,1987
5.124,est,1988
5.468,est,1989
8.62,est,1990
7.393,est,1991
9.273,est,1992
17.82,est,1993
15.69,est,1994
12.07,est,1995
15.43,est,1996
15.25,est,1997
14.95,est,1998
12.34,est,1999
11.8,est,2000
12.69,est,2001
9.154,est,2002
7.223,est,2003
7.087,est,2004
6.836,est,2005
7.804,est,2006
6.116,est,2007
7.731,est,2008
2.767,fin,1952
2.751,fin,1953
2.977,fin,1954
2.203,fin,1955
3.354,fin,1956
3.623,fin,1957
2.905,fin,1958
1.537,fin,1959
1.602,fin,1960
1.485,fin,1961
1.911,fin,1962
1.141,fin,1963
1.576,fin,1964
1.21,fin,1965
2.253,fin,1966
1.435,fin,1967
1.89,fin,1968
2.086,fin,1969
1.607,fin,1970
3.007,fin,1971
3.6,fin,1972
1.912,fin,1973
2.285,fin,1974
2.612,fin,1975
2.398,fin,1976
2.08,fin,1977
2.594,fin,1978
2.204,fin,1979
1.914,fin,1980
1.744,fin,1981
2.005,fin,1982
3.258,fin,1983
3.016,fin,1984
2.039,fin,1985
1.672,fin,1986
1.73,fin,1987
1.989,fin,1988
2.072,fin,1989
2.736,fin,1990
2.846,fin,1991
1.597,fin,1992
2.176,fin,1993
1.438,fin,1994
1.282,fin,1995
1.605,fin,1996
2.541,fin,1997
1.94,fin,1998
1.812,fin,1999
1.581,fin,2000
1.796,fin,2001
2.169,fin,2002
1.469,fin,2003
1.289,fin,2004
1.271,fin,2005
1.803,fin,2006
1.57,fin,2007
1.204,fin,2008
0.7561,fra,1950
0.5608,fra,1952
0.7157,fra,1953
0.5148,fra,1954
0.5989,fra,1955
0.4967,fra,1956
0.6436,fra,1957
0.8404,fra,1958
0.9036,fra,1959
1.128,fra,1960
0.6449,fra,1961
0.9349,fra,1962
0.7379,fra,1963
0.6513,fra,1964
0.684,fra,1965
0.5582,fra,1966
0.8213,fra,1967
0.7523,fra,1968
1.194,fra,1969
0.8008,fra,1970
0.8231,fra,1971
0.8163,fra,1972
0.7901,fra,1973
0.861,fra,1974
1.021,fra,1975
0.8015,fra,1976
0.8799,fra,1977
0.88,fra,1978
1.069,fra,1979
1.089,fra,1980
1.022,fra,1981
0.995,fra,1982
0.9372,fra,1983
1.032,fra,1984
1.101,fra,1985
1.05,fra,1986
0.8694,fra,1987
0.9423,fra,1988
0.7897,fra,1989
0.8567,fra,1990
0.7481,fra,1991
0.8196,fra,1992
0.8774,fra,1993
0.7982,fra,1994
0.9532,fra,1995
0.7266,fra,1996
0.8521,fra,1997
0.5746,fra,1998
0.5532,fra,1999
0.6971,fra,2000
0.5664,fra,2001
0.7294,fra,2002
0.6048,fra,2003
0.8377,fra,2004
0.6268,fra,2005
0.5375,fra,2006
0.5254,fra,2007
3.409,geo,1981
3.81,geo,1982
1.977,geo,1985
2.282,geo,1986
2.543,geo,1987
1.933,geo,1988
3.484,geo,1989
3.043,geo,1990
1.766,geo,1991
0.0,geo,1992
0.0,geo,1994
0.0,geo,1995
0.6179,geo,1996
1.39,geo,1997
2.849,geo,1998
5.261,geo,1999
3.608,geo,2000
4.231,geo,2001
0.7727,deu,1990
0.8777,deu,1991
0.8704,deu,1992
0.8005,deu,1993
0.7947,deu,1994
0.6927,deu,1995
0.6789,deu,1996
0.6631,deu,1997
0.6217,deu,1998
0.606,deu,1999
0.5875,deu,2000
0.5683,deu,2001
0.5323,deu,2002
0.5202,deu,2003
0.5305,deu,2004
0.4201,deu,2005
0.5272,deu,2006
1.986,grc,1961
1.433,grc,1962
1.347,grc,1963
1.216,grc,1964
1.019,grc,1965
0.9992,grc,1966
0.8207,grc,1967
0.6621,grc,1968
0.767,grc,1969
1.069,grc,1970
0.4896,grc,1971
0.5403,grc,1972
0.6531,grc,1973
0.7982,grc,1974
0.6575,grc,1975
0.4629,grc,1976
0.6864,grc,1977
0.9188,grc,1978
0.7043,grc,1979
0.6457,grc,1980
1.157,grc,1981
0.944,grc,1982
0.9035,grc,1983
1.324,grc,1984
1.546,grc,1985
1.058,grc,1986
0.9998,grc,1987
0.7953,grc,1988
0.9619,grc,1989
0.9635,grc,1990
1.696,grc,1991
1.164,grc,1992
1.277,grc,1993
0.9194,grc,1994
1.607,grc,1995
1.777,grc,1996
1.641,grc,1997
1.434,grc,1998
1.331,grc,1999
1.547,grc,2000
1.256,grc,2001
1.182,grc,2002
1.238,grc,2003
0.8692,grc,2004
1.049,grc,2005
0.818,grc,2006
1.275,grc,2007
1.182,grc,2008
23.68,gtm,1963
17.14,gtm,1964
14.06,gtm,1965
16.96,gtm,1966
19.36,gtm,1967
18.46,gtm,1968
15.07,gtm,1969
17.02,gtm,1970
21.41,gtm,1971
6.078,gtm,1974
2.772,gtm,1977
33.5,gtm,1979
38.46,gtm,1980
72.21,gtm,1981
5.932,gtm,1984
26.83,gtm,1986
30.62,gtm,1987
24.21,gtm,1988
17.75,gtm,1989
19.38,gtm,1990
27.77,gtm,1991
21.11,gtm,1992
17.75,gtm,1993
21.08,gtm,1994
23.58,gtm,1995
23.13,gtm,1996
33.92,gtm,1997
27.04,gtm,1998
26.82,gtm,1999
18.4,gtm,2000
21.14,gtm,2001
18.32,gtm,2002
19.91,gtm,2003
20.9,gtm,2004
25.6,gtm,2005
23.51,gtm,2006
2.267,hun,1955
2.098,hun,1956
2.876,hun,1957
1.862,hun,1958
2.463,hun,1959
2.346,hun,1960
2.362,hun,1961
1.614,hun,1962
2.118,hun,1963
1.775,hun,1964
1.857,hun,1965
1.682,hun,1966
2.085,hun,1967
2.17,hun,1968
2.229,hun,1969
2.176,hun,1970
2.29,hun,1971
2.571,hun,1972
3.032,hun,1973
2.578,hun,1974
2.006,hun,1975
2.638,hun,1976
2.695,hun,1977
2.414,hun,1978
2.504,hun,1979
2.963,hun,1980
2.846,hun,1981
2.81,hun,1982
2.513,hun,1983
2.671,hun,1984
3.189,hun,1985
3.025,hun,1986
2.639,hun,1987
2.762,hun,1988
4.289,hun,1989
3.337,hun,1990
5.588,hun,1991
5.176,hun,1992
4.748,hun,1993
4.404,hun,1994
4.847,hun,1995
3.845,hun,1996
4.549,hun,1997
3.181,hun,1998
3.267,hun,1999
2.547,hun,2000
2.91,hun,2001
2.087,hun,2002
2.431,hun,2003
2.681,hun,2004
2.584,hun,2005
2.366,hun,2006
1.829,hun,2007
2.574,hun,2008
0.4822,irl,1950
0.9517,irl,1951
0.1873,irl,1952
0.6233,irl,1953
0.4533,irl,1954
0.6927,irl,1955
0.0,irl,1956
0.4587,irl,1957
0.2001,irl,1958
0.7325,irl,1959
0.0,irl,1960
0.2393,irl,1961
0.6763,irl,1962
0.2427,irl,1963
0.4496,irl,1964
0.9082,irl,1965
0.2519,irl,1966
1.218,irl,1967
0.0,irl,1968
0.4419,irl,1969
0.4128,irl,1970
0.8807,irl,1971
0.6767,irl,1972
0.4186,irl,1973
1.844,irl,1974
0.4295,irl,1975
0.4145,irl,1976
0.6211,irl,1977
0.1869,irl,1978
0.7533,irl,1979
0.4107,irl,1980
0.9606,irl,1981
0.725,irl,1982
1.033,irl,1983
0.7169,irl,1984
0.7827,irl,1985
0.9314,irl,1986
1.305,irl,1987
0.9775,irl,1988
0.4046,irl,1989
0.7798,irl,1990
0.3494,irl,1991
0.8249,irl,1992
0.928,irl,1993
0.4963,irl,1994
0.3554,irl,1995
0.3785,irl,1996
0.6065,irl,1997
1.051,irl,1998
0.1666,irl,1999
0.1357,irl,2000
0.331,irl,2001
0.1288,irl,2002
0.0,irl,2003
0.3589,irl,2004
0.3559,irl,2005
0.2884,irl,2006
0.4998,irl,2007
0.4663,irl,2008
2.023,isr,1975
1.713,isr,1976
1.786,isr,1977
1.738,isr,1978
1.613,isr,1979
2.278,isr,1980
3.594,isr,1981
2.5,isr,1982
1.729,isr,1983
1.694,isr,1984
2.488,isr,1985
2.268,isr,1986
0.7438,isr,1987
1.128,isr,1988
3.858,isr,1989
1.813,isr,1990
1.853,isr,1991
0.8721,isr,1992
2.279,isr,1993
1.517,isr,1994
0.841,isr,1995
1.068,isr,1996
0.4216,isr,1997
0.1568,isr,1998
2.322,isr,1999
1.397,isr,2000
5.371,isr,2001
8.234,isr,2002
4.394,isr,2003
2.53,isr,2004
2.556,isr,2005
2.535,isr,2006
1.232,ita,1951
1.426,ita,1952
1.438,ita,1953
1.257,ita,1954
1.573,ita,1955
1.227,ita,1956
1.339,ita,1957
1.413,ita,1958
1.148,ita,1959
1.163,ita,1960
0.9728,ita,1961
0.7836,ita,1962
0.8257,ita,1963
0.8471,ita,1964
0.8498,ita,1965
0.8946,ita,1966
0.8815,ita,1967
0.913,ita,1968
1.001,ita,1969
0.7332,ita,1970
0.8634,ita,1971
1.146,ita,1972
0.8763,ita,1973
0.9487,ita,1974
1.087,ita,1975
1.259,ita,1976
1.17,ita,1977
1.109,ita,1978
1.073,ita,1979
1.495,ita,1980
1.284,ita,1981
1.33,ita,1982
1.421,ita,1983
1.04,ita,1984
0.9463,ita,1985
1.028,ita,1986
1.214,ita,1987
1.361,ita,1988
1.166,ita,1989
1.426,ita,1990
1.462,ita,1991
1.428,ita,1992
1.28,ita,1993
0.9956,ita,1994
0.9824,ita,1995
0.91,ita,1996
1.03,ita,1997
0.9582,ita,1998
0.8604,ita,1999
0.7864,ita,2000
0.7672,ita,2001
0.6842,ita,2002
0.8355,ita,2003
0.6539,ita,2006
0.6839,ita,2007
2.166,jpn,1950
1.758,jpn,1951
1.718,jpn,1952
1.664,jpn,1953
1.651,jpn,1954
1.996,jpn,1955
1.746,jpn,1956
1.315,jpn,1957
1.472,jpn,1958
1.631,jpn,1959
1.151,jpn,1960
0.8835,jpn,1961
0.99,jpn,1962
1.011,jpn,1963
1.167,jpn,1964
1.162,jpn,1965
1.043,jpn,1966
0.8976,jpn,1967
1.05,jpn,1968
1.031,jpn,1969
0.8838,jpn,1970
0.9147,jpn,1971
0.8199,jpn,1972
0.8784,jpn,1973
0.976,jpn,1974
0.8385,jpn,1975
0.8834,jpn,1976
0.9177,jpn,1977
0.8446,jpn,1978
0.8298,jpn,1979
0.7499,jpn,1980
0.9108,jpn,1981
0.866,jpn,1982
0.8744,jpn,1983
0.847,jpn,1984
0.8156,jpn,1985
0.7466,jpn,1986
0.7164,jpn,1987
0.7242,jpn,1988
0.6372,jpn,1989
0.6559,jpn,1990
0.6264,jpn,1991
0.6262,jpn,1992
0.7033,jpn,1993
0.7114,jpn,1994
0.7443,jpn,1995
0.6426,jpn,1996
0.6927,jpn,1997
0.8354,jpn,1998
0.8023,jpn,1999
0.7869,jpn,2000
0.6965,jpn,2001
0.7849,jpn,2002
0.7164,jpn,2003
0.7037,jpn,2004
0.5815,jpn,2005
0.6082,jpn,2006
0.5332,jpn,2007
0.583,jpn,2008
10.43,kaz,1981
8.853,kaz,1982
7.498,kaz,1985
5.609,kaz,1986
6.396,kaz,1987
7.44,kaz,1988
9.358,kaz,1989
9.395,kaz,1990
9.617,kaz,1991
12.79,kaz,1992
15.25,kaz,1993
16.2,kaz,1994
21.97,kaz,1995
22.82,kaz,1996
24.09,kaz,1997
25.63,kaz,1998
22.79,kaz,1999
22.48,kaz,2000
19.54,kaz,2001
17.21,kaz,2002
17.52,kaz,2003
19.24,kaz,2004
17.42,kaz,2005
13.63,kaz,2006
11.34,kaz,2007
12.15,kaz,2008
0.9937,kor,1985
1.094,kor,1986
1.15,kor,1987
1.199,kor,1988
1.439,kor,1989
1.442,kor,1990
2.043,kor,1991
1.138,kor,1992
1.834,kor,1993
1.625,kor,1994
1.5,kor,1995
1.807,kor,1996
1.947,kor,1997
2.41,kor,1998
1.594,kor,1999
2.187,kor,2000
1.856,kor,2001
1.95,kor,2002
2.264,kor,2003
2.114,kor,2004
2.215,kor,2005
1.945,kor,2006
10.1,kwt,1972
0.0,kwt,1975
8.504,kwt,1976
0.0,kwt,1977
4.072,kwt,1978
0.0,kwt,1979
0.0,kwt,1980
0.0,kwt,1981
0.0,kwt,1982
0.0,kwt,1983
11.0,kwt,1984
2.038,kwt,1985
0.0,kwt,1986
0.0,kwt,1987
4.229,kwt,1993
3.247,kwt,1994
0.0,kwt,1995
1.863,kwt,1996
1.633,kwt,1997
1.205,kwt,1998
6.31,kwt,1999
0.0,kwt,2000
3.345,kwt,2001
0.0,kwt,2002
1.887,kwt,2008
8.502,kgz,1981
4.67,kgz,1982
6.922,kgz,1985
4.669,kgz,1986
3.006,kgz,1987
5.101,kgz,1988
6.098,kgz,1989
14.4,kgz,1990
9.3,kgz,1991
17.96,kgz,1992
24.03,kgz,1993
22.11,kgz,1994
23.14,kgz,1995
15.84,kgz,1996
14.03,kgz,1997
12.46,kgz,1998
12.01,kgz,1999
16.6,kgz,2000
13.1,kgz,2001
11.73,kgz,2002
13.01,kgz,2003
10.98,kgz,2004
12.8,kgz,2005
11.86,kgz,2006
6.497,kgz,2007
5.807,lva,1980
6.752,lva,1981
5.056,lva,1982
7.325,lva,1983
5.061,lva,1984
4.976,lva,1985
3.742,lva,1986
5.425,lva,1987
3.063,lva,1988
7.322,lva,1989
7.283,lva,1990
9.041,lva,1991
10.87,lva,1992
23.25,lva,1993
15.22,lva,1994
15.88,lva,1995
10.93,lva,1996
16.8,lva,1997
11.3,lva,1998
13.0,lva,1999
11.42,lva,2000
10.59,lva,2001
11.42,lva,2002
9.432,lva,2003
8.067,lva,2004
7.375,lva,2005
9.843,lva,2006
6.312,lva,2007
6.487,lva,2008
6.147,ltu,1981
4.438,ltu,1982
3.454,ltu,1985
6.144,ltu,1986
3.034,ltu,1987
5.446,ltu,1988
6.449,ltu,1989
6.871,ltu,1990
8.436,ltu,1991
9.904,ltu,1992
11.71,ltu,1993
11.51,ltu,1994
10.06,ltu,1995
9.21,ltu,1996
9.756,ltu,1997
6.516,ltu,1998
9.848,ltu,1999
9.354,ltu,2000
10.66,ltu,2001
5.426,ltu,2002
10.45,ltu,2003
9.153,ltu,2004
10.52,ltu,2005
7.963,ltu,2006
5.155,ltu,2007
9.496,ltu,2008
2.386,mkd,1991
2.557,mkd,1992
1.507,mkd,1993
4.966,mkd,1994
1.761,mkd,1995
5.064,mkd,1996
3.189,mkd,1997
1.365,mkd,1998
2.481,mkd,1999
5.28,mkd,2000
6.256,mkd,2001
