geo,population_aged_60plus_years_male_percent,time
bhr,3.483,1980
bhr,2.881,1985
bhr,3.484,1990
bhr,3.284,1995
bhr,4.0,2000
bhr,3.349,2005
bhr,3.448,2010
bhr,4.582,2015
bhr,7.05,2020
bhr,10.55,2025
bhr,14.61,2030
bhr,18.84,2035
bhr,21.65,2040
bhr,23.24,2045
bhr,24.78,2050
bgd,5.73,1950
bgd,5.711,1955
bgd,5.572,1960
bgd,5.499,1965
bgd,5.376,1970
bgd,5.084,1975
bgd,4.853,1980
bgd,4.857,1985
bgd,4.982,1990
bgd,5.072,1995
bgd,5.306,2000
bgd,5.499,2005
bgd,5.923,2010
bgd,6.808,2015
bgd,7.853,2020
bgd,9.129,2025
bgd,10.68,2030
bgd,12.61,2035
bgd,14.98,2040
bgd,17.52,2045
bgd,19.82,2050
brb,5.155,1950
brb,6.863,1955
brb,6.731,1960
brb,7.407,1965
brb,9.009,1970
brb,12.93,1975
brb,11.86,1980
brb,9.917,1985
brb,10.32,1990
brb,10.57,1995
brb,11.38,2000
brb,10.74,2005
brb,13.49,2010
brb,15.62,2015
brb,19.69,2020
brb,25.0,2025
brb,27.56,2030
brb,28.46,2035
brb,30.89,2040
brb,32.23,2045
brb,33.33,2050
blr,10.6,1950
blr,10.19,1955
blr,9.497,1960
blr,9.608,1965
blr,9.976,1970
blr,10.35,1975
blr,9.59,1980
blr,9.953,1985
blr,12.04,1990
blr,13.31,1995
blr,14.38,2000
blr,13.35,2005
blr,13.49,2010
blr,14.66,2015
blr,16.96,2020
blr,19.0,2025
blr,19.87,2030
blr,21.31,2035
blr,23.11,2040
blr,25.88,2045
blr,28.83,2050
bel,14.65,1950
bel,14.97,1955
bel,15.7,1960
bel,16.23,1965
bel,16.52,1970
bel,16.54,1975
bel,15.48,1980
bel,16.39,1985
bel,17.48,1990
bel,18.47,1995
bel,19.17,2000
bel,19.39,2005
bel,20.95,2010
bel,22.66,2015
bel,24.74,2020
bel,26.9,2025
bel,28.46,2030
bel,29.36,2035
bel,29.64,2040
bel,29.73,2045
bel,29.72,2050
blz,6.061,1950
blz,5.128,1955
blz,6.522,1960
blz,5.455,1965
blz,5.0,1970
blz,6.061,1975
blz,5.556,1980
blz,4.938,1985
blz,5.376,1990
blz,5.455,1995
blz,4.762,2000
blz,4.93,2005
blz,5.696,2010
blz,6.322,2015
blz,6.417,2020
blz,9.314,2025
blz,10.19,2030
blz,12.72,2035
blz,14.29,2040
blz,16.73,2045
blz,18.73,2050
ben,10.47,1950
ben,8.936,1955
ben,8.217,1960
ben,7.464,1965
ben,6.986,1970
ben,6.363,1975
ben,5.691,1980
ben,5.075,1985
ben,4.505,1990
ben,4.177,1995
ben,4.064,2000
ben,4.146,2005
ben,4.15,2010
ben,4.384,2015
ben,4.754,2020
ben,5.296,2025
ben,5.916,2030
ben,6.59,2035
ben,7.348,2040
ben,8.14,2045
ben,9.07,2050
btn,3.448,1950
btn,3.96,1955
btn,3.54,1960
btn,3.876,1965
btn,4.636,1970
btn,3.825,1975
btn,4.545,1980
btn,4.49,1985
btn,5.357,1990
btn,5.837,1995
btn,6.667,2000
btn,6.452,2005
btn,7.219,2010
btn,7.579,2015
btn,8.605,2020
btn,9.577,2025
btn,11.16,2030
btn,12.84,2035
btn,15.59,2040
btn,19.76,2045
btn,22.37,2050
bol,5.248,1950
bol,5.09,1955
bol,5.181,1960
bol,5.189,1965
bol,5.243,1970
bol,5.205,1975
bol,5.15,1980
bol,5.261,1985
bol,5.54,1990
bol,5.73,1995
bol,5.897,2000
bol,6.097,2005
bol,6.535,2010
bol,7.016,2015
bol,7.744,2020
bol,8.564,2025
bol,9.628,2030
bol,11.0,2035
bol,12.43,2040
bol,14.08,2045
bol,16.06,2050
bih,5.136,1950
bih,4.825,1955
bih,5.222,1960
bih,5.988,1965
bih,7.098,1970
bih,7.17,1975
bih,6.705,1980
bih,6.978,1985
bih,8.728,1990
bih,11.57,1995
bih,15.12,2000
bih,16.05,2005
bih,17.36,2010
bih,19.84,2015
bih,22.47,2020
bih,24.87,2025
bih,26.64,2030
bih,28.11,2035
bih,29.94,2040
bih,32.39,2045
bih,35.26,2050
bwa,5.051,1950
bwa,4.444,1955
bwa,4.365,1960
bwa,4.24,1965
bwa,3.614,1970
bwa,3.544,1975
bwa,3.326,1980
bwa,3.345,1985
bwa,3.313,1990
bwa,3.529,1995
bwa,3.981,2000
bwa,4.585,2005
bwa,4.96,2010
bwa,5.844,2015
bwa,6.4,2020
bwa,6.65,2025
bwa,6.763,2030
bwa,7.37,2035
bwa,8.784,2040
bwa,10.71,2045
bwa,12.69,2050
bra,4.392,1950
bra,4.582,1955
bra,4.862,1960
bra,5.017,1965
bra,5.334,1970
bra,5.698,1975
bra,5.917,1980
bra,5.938,1985
bra,6.327,1990
bra,6.762,1995
bra,7.42,2000
bra,8.067,2005
bra,9.18,2010
bra,10.75,2015
bra,12.66,2020
bra,14.93,2025
bra,17.01,2030
bra,19.05,2035
bra,21.49,2040
bra,24.26,2045
bra,26.52,2050
brn,4.167,1950
brn,6.061,1955
brn,4.878,1960
brn,5.455,1965
brn,4.545,1970
brn,5.882,1975
brn,4.808,1980
brn,4.237,1985
brn,3.704,1990
brn,3.922,1995
brn,4.046,2000
brn,5.208,2005
brn,6.25,2010
brn,9.13,2015
brn,10.98,2020
brn,12.31,2025
brn,14.03,2030
brn,15.52,2035
brn,16.78,2040
brn,18.1,2045
brn,19.33,2050
bgr,9.299,1950
bgr,9.601,1955
bgr,10.34,1960
bgr,12.0,1965
bgr,13.74,1970
bgr,15.14,1975
bgr,14.49,1980
bgr,16.15,1985
bgr,17.62,1990
bgr,19.39,1995
bgr,19.78,2000
bgr,20.09,2005
bgr,21.23,2010
bgr,22.32,2015
bgr,23.39,2020
bgr,24.55,2025
bgr,25.98,2030
bgr,27.96,2035
bgr,30.52,2040
bgr,32.5,2045
bgr,34.23,2050
bfa,4.206,1950
bfa,4.825,1955
bfa,5.128,1960
bfa,5.204,1965
bfa,5.08,1970
bfa,4.974,1975
bfa,4.744,1980
bfa,4.35,1985
bfa,3.846,1990
bfa,3.419,1995
bfa,3.082,2000
bfa,2.948,2005
bfa,2.728,2010
bfa,2.627,2015
bfa,2.846,2020
bfa,3.211,2025
bfa,3.722,2030
bfa,4.289,2035
bfa,4.944,2040
bfa,5.657,2045
bfa,6.399,2050
bdi,4.843,1950
bdi,4.507,1955
bdi,4.468,1960
bdi,4.595,1965
bdi,4.672,1970
bdi,4.821,1975
bdi,4.625,1980
bdi,4.269,1985
bdi,3.9,1990
bdi,3.598,1995
bdi,3.566,2000
bdi,3.526,2005
bdi,3.685,2010
bdi,4.213,2015
bdi,4.802,2020
bdi,5.346,2025
bdi,5.883,2030
bdi,6.582,2035
bdi,7.749,2040
bdi,9.589,2045
bdi,11.58,2050
khm,4.142,1950
khm,4.051,1955
khm,4.119,1960
khm,4.134,1965
khm,4.174,1970
khm,4.197,1975
khm,4.8,1980
khm,4.009,1985
khm,3.597,1990
khm,3.344,1995
khm,3.398,2000
khm,3.968,2005
khm,4.597,2010
khm,5.303,2015
khm,6.034,2020
khm,6.86,2025
khm,7.782,2030
khm,8.658,2035
khm,9.335,2040
khm,12.08,2045
khm,14.83,2050
cmr,5.208,1950
cmr,5.195,1955
cmr,5.269,1960
cmr,5.339,1965
cmr,5.363,1970
cmr,5.322,1975
cmr,5.244,1980
cmr,5.175,1985
cmr,5.099,1990
cmr,5.036,1995
cmr,5.048,2000
cmr,5.037,2005
cmr,5.01,2010
cmr,5.089,2015
cmr,5.22,2020
cmr,5.463,2025
cmr,5.865,2030
cmr,6.509,2035
cmr,7.413,2040
cmr,8.616,2045
cmr,9.917,2050
can,11.48,1950
can,10.99,1955
can,10.35,1960
can,10.41,1965
can,10.53,1970
can,11.2,1975
can,11.81,1980
can,12.82,1985
can,13.68,1990
can,14.3,1995
can,14.96,2000
can,16.18,2005
can,18.37,2010
can,20.7,2015
can,23.38,2020
can,25.87,2025
can,27.16,2030
can,28.07,2035
can,28.95,2040
can,29.77,2045
can,30.47,2050
cpv,4.478,1950
cpv,5.128,1955
cpv,5.435,1960
cpv,6.481,1965
cpv,6.299,1970
cpv,6.25,1975
cpv,8.271,1980
cpv,6.081,1985
cpv,5.455,1990
cpv,5.291,1995
cpv,4.831,2000
cpv,4.348,2005
cpv,4.065,2010
cpv,4.167,2015
cpv,4.982,2020
cpv,6.78,2025
cpv,8.974,2030
cpv,10.25,2035
cpv,12.69,2040
cpv,15.13,2045
cpv,18.24,2050
caf,7.339,1950
caf,6.686,1955
caf,6.495,1960
caf,6.289,1965
caf,6.013,1970
caf,6.061,1975
caf,6.004,1980
caf,5.828,1985
caf,5.768,1990
caf,5.617,1995
caf,5.495,2000
caf,5.412,2005
caf,5.289,2010
caf,5.283,2015
caf,5.431,2020
caf,5.671,2025
caf,6.02,2030
caf,6.494,2035
caf,7.306,2040
caf,8.333,2045
caf,9.557,2050
tcd,6.583,1950
tcd,5.918,1955
tcd,5.761,1960
tcd,5.72,1965
tcd,5.58,1970
tcd,5.526,1975
tcd,5.242,1980
tcd,5.049,1985
tcd,4.808,1990
tcd,4.593,1995
tcd,4.417,2000
tcd,4.203,2005
tcd,4.038,2010
tcd,4.088,2015
tcd,4.083,2020
tcd,4.175,2025
tcd,4.289,2030
tcd,4.577,2035
tcd,5.056,2040
tcd,5.708,2045
tcd,6.496,2050
chanisl,14.58,1950
chanisl,16.0,1955
chanisl,16.67,1960
chanisl,16.36,1965
chanisl,16.95,1970
chanisl,16.13,1975
chanisl,16.39,1980
chanisl,16.92,1985
chanisl,16.42,1990
chanisl,17.39,1995
chanisl,17.39,2000
chanisl,18.57,2005
chanisl,20.55,2010
chanisl,22.97,2015
chanisl,24.66,2020
chanisl,28.77,2025
chanisl,30.56,2030
chanisl,31.94,2035
chanisl,31.51,2040
chanisl,30.99,2045
chanisl,32.39,2050
chl,6.372,1950
chl,6.772,1955
chl,6.801,1960
chl,6.785,1965
chl,6.898,1970
chl,6.929,1975
chl,7.161,1980
chl,7.346,1985
chl,7.78,1990
chl,8.24,1995
chl,8.968,2000
chl,10.27,2005
chl,11.73,2010
chl,13.51,2015
chl,15.92,2020
chl,18.63,2025
chl,20.68,2030
chl,22.29,2035
chl,23.25,2040
chl,24.55,2045
chl,26.19,2050
chn,6.425,1950
chn,6.787,1955
chn,5.725,1960
chn,5.786,1965
chn,5.722,1970
chn,5.969,1975
chn,6.547,1980
chn,7.309,1985
chn,7.846,1990
chn,8.619,1995
chn,9.427,2000
chn,10.25,2005
chn,11.59,2010
chn,13.85,2015
chn,15.58,2020
chn,18.17,2025
chn,21.61,2030
chn,24.29,2035
chn,25.1,2040
chn,26.08,2045
chn,28.39,2050
col,4.621,1950
col,4.488,1955
col,4.592,1960
col,4.761,1965
col,4.96,1970
col,5.193,1975
col,5.31,1980
col,5.54,1985
col,5.7,1990
col,5.892,1995
col,6.186,2000
col,6.727,2005
col,7.755,2010
col,9.227,2015
col,10.9,2020
col,12.82,2025
col,14.77,2030
col,16.23,2035
col,17.87,2040
col,19.47,2045
col,21.01,2050
com,5.128,1950
com,4.598,1955
com,4.211,1960
com,3.81,1965
com,3.419,1970
com,5.147,1975
com,4.242,1980
com,4.167,1985
com,4.147,1990
com,4.049,1995
com,4.015,2000
com,4.194,2005
com,4.335,2010
com,4.7,2015
com,5.251,2020
com,5.96,2025
com,6.967,2030
com,8.381,2035
com,9.55,2040
com,11.28,2045
com,12.58,2050
cod,4.803,1950
cod,4.215,1955
cod,3.962,1960
cod,3.861,1965
cod,3.841,1970
cod,3.867,1975
cod,3.891,1980
cod,3.885,1985
cod,3.861,1990
cod,3.833,1995
cod,3.789,2000
cod,3.778,2005
cod,3.772,2010
cod,3.776,2015
cod,3.84,2020
cod,4.007,2025
cod,4.301,2030
cod,4.728,2035
cod,5.304,2040
cod,6.088,2045
cod,7.114,2050
cog,5.303,1950
cog,5.204,1955
cog,5.389,1960
cog,5.42,1965
cog,5.598,1970
cog,5.577,1975
cog,5.327,1980
cog,5.318,1985
cog,5.337,1990
cog,5.347,1995
cog,5.42,2000
cog,5.282,2005
cog,5.221,2010
cog,5.154,2015
cog,5.191,2020
cog,5.495,2025
cog,6.02,2030
cog,6.965,2035
cog,8.197,2040
cog,9.634,2045
cog,11.18,2050
cri,7.099,1950
cri,6.957,1955
cri,6.795,1960
cri,6.716,1965
cri,6.609,1970
cri,6.827,1975
cri,7.083,1980
cri,6.769,1985
cri,6.833,1990
cri,6.897,1995
cri,7.207,2000
cri,7.724,2005
cri,8.829,2010
cri,10.51,2015
cri,12.81,2020
cri,15.26,2025
cri,17.37,2030
cri,18.94,2035
cri,20.78,2040
cri,22.86,2045
cri,25.09,2050
civ,3.546,1950
civ,3.661,1955
civ,3.765,1960
civ,3.876,1965
civ,4.001,1970
civ,4.019,1975
civ,4.131,1980
civ,4.343,1985
civ,4.598,1990
civ,4.976,1995
civ,5.484,2000
civ,6.005,2005
civ,6.306,2010
civ,6.487,2015
civ,6.603,2020
civ,6.706,2025
civ,6.91,2030
civ,7.403,2035
civ,8.265,2040
civ,9.304,2045
civ,10.5,2050
hrv,10.13,1950
hrv,9.355,1955
hrv,10.09,1960
hrv,11.28,1965
hrv,12.86,1970
hrv,13.0,1975
hrv,12.03,1980
hrv,12.12,1985
hrv,13.54,1990
hrv,16.4,1995
hrv,18.25,2000
hrv,18.36,2005
hrv,19.99,2010
hrv,22.15,2015
hrv,24.09,2020
hrv,25.78,2025
hrv,26.98,2030
hrv,28.09,2035
hrv,29.49,2040
hrv,30.98,2045
hrv,31.69,2050
cub,7.39,1950
cub,7.266,1955
cub,7.81,1960
cub,8.601,1965
cub,9.341,1970
cub,9.887,1975
cub,10.57,1980
cub,11.27,1985
cub,11.85,1990
cub,12.21,1995
cub,13.82,2000
cub,14.61,2005
cub,16.38,2010
cub,18.33,2015
cub,20.32,2020
cub,24.16,2025
cub,28.71,2030
cub,32.18,2035
cub,33.38,2040
cub,34.23,2045
cub,36.21,2050
cyp,8.642,1950
cyp,9.339,1955
cyp,8.929,1960
cyp,9.441,1965
cyp,13.29,1970
cyp,13.11,1975
cyp,12.79,1980
cyp,12.81,1985
cyp,13.53,1990
cyp,13.11,1995
cyp,13.99,2000
cyp,15.97,2005
cyp,17.06,2010
cyp,18.44,2015
cyp,20.46,2020
cyp,22.02,2025
cyp,22.72,2030
cyp,23.16,2035
cyp,24.55,2040
cyp,26.02,2045
cyp,27.76,2050
cze,11.11,1950
cze,11.33,1955
cze,12.39,1960
cze,14.06,1965
cze,15.54,1970
cze,15.86,1975
cze,13.89,1980
cze,14.31,1985
cze,14.58,1990
cze,14.81,1995
cze,15.25,2000
cze,16.89,2005
cze,19.11,2010
cze,21.19,2015
cze,22.3,2020
cze,23.37,2025
cze,24.56,2030
cze,27.05,2035
cze,29.72,2040
cze,30.91,2045
cze,31.89,2050
dnk,12.75,1950
dnk,13.53,1955
dnk,14.52,1960
dnk,15.18,1965
dnk,15.99,1970
dnk,16.77,1975
dnk,17.23,1980
dnk,17.75,1985
dnk,17.76,1990
dnk,17.25,1995
dnk,17.44,2000
dnk,19.16,2005
dnk,21.51,2010
dnk,22.99,2015
dnk,24.3,2020
dnk,25.98,2025
dnk,27.26,2030
dnk,27.93,2035
dnk,27.67,2040
dnk,26.78,2045
dnk,26.52,2050
dji,0.0,1950
dji,0.0,1955
dji,2.326,1960
dji,3.509,1965
dji,2.5,1970
dji,3.54,1975
dji,2.994,1980
dji,3.5,1985
dji,3.584,1990
dji,3.56,1995
dji,4.132,2000
dji,4.5,2005
dji,5.023,2010
dji,5.263,2015
dji,5.837,2020
dji,6.452,2025
dji,7.37,2030
dji,8.189,2035
dji,9.361,2040
dji,10.64,2045
dji,12.35,2050
dom,4.376,1950
dom,4.363,1955
dom,4.225,1960
dom,4.331,1965
dom,4.335,1970
dom,4.653,1975
dom,4.998,1980
dom,5.537,1985
dom,6.119,1990
dom,6.761,1995
dom,7.353,2000
dom,7.984,2005
dom,8.59,2010
dom,9.508,2015
dom,10.76,2020
dom,12.3,2025
dom,13.84,2030
dom,15.31,2035
dom,16.69,2040
dom,18.21,2045
dom,19.83,2050
ecu,7.423,1950
ecu,6.906,1955
ecu,6.402,1960
ecu,6.163,1965
ecu,5.933,1970
ecu,5.759,1975
ecu,5.568,1980
ecu,5.573,1985
ecu,5.844,1990
ecu,6.297,1995
ecu,7.008,2000
ecu,7.892,2005
ecu,8.889,2010
ecu,10.32,2015
ecu,11.7,2020
ecu,13.2,2025
ecu,14.75,2030
ecu,16.3,2035
ecu,17.86,2040
ecu,19.47,2045
ecu,21.18,2050
egy,4.758,1950
egy,4.92,1955
egy,4.981,1960
egy,5.009,1965
egy,5.044,1970
egy,5.109,1975
egy,5.179,1980
egy,5.286,1985
egy,5.472,1990
egy,5.728,1995
egy,5.996,2000
egy,6.215,2005
egy,7.023,2010
egy,7.717,2015
egy,8.587,2020
egy,9.559,2025
egy,10.48,2030
egy,11.46,2035
egy,13.02,2040
egy,15.11,2045
egy,17.67,2050
slv,5.806,1950
slv,5.667,1955
slv,5.478,1960
slv,5.283,1965
slv,5.108,1970
slv,5.203,1975
slv,5.369,1980
slv,5.899,1985
slv,6.443,1990
slv,6.999,1995
slv,7.746,2000
slv,8.643,2005
slv,9.49,2010
slv,10.17,2015
slv,10.75,2020
slv,11.39,2025
slv,12.07,2030
slv,12.96,2035
slv,13.83,2040
slv,14.77,2045
slv,16.39,2050
gnq,8.257,1950
gnq,7.759,1955
gnq,7.377,1960
gnq,6.818,1965
gnq,7.042,1970
gnq,7.018,1975
gnq,8.491,1980
gnq,6.494,1985
gnq,5.914,1990
gnq,4.933,1995
gnq,4.633,2000
gnq,4.305,2005
gnq,4.07,2010
gnq,4.627,2015
gnq,5.734,2020
gnq,6.625,2025
gnq,7.358,2030
gnq,7.439,2035
gnq,6.869,2040
gnq,6.994,2045
gnq,7.789,2050
eri,4.602,1950
eri,4.147,1955
eri,3.955,1960
eri,3.611,1965
eri,3.587,1970
eri,3.707,1975
eri,5.665,1980
eri,4.36,1985
eri,3.871,1990
eri,3.457,1995
eri,3.3,2000
eri,3.327,2005
eri,3.305,2010
eri,3.103,2015
eri,3.037,2020
eri,3.161,2025
eri,3.759,2030
eri,5.156,2035
eri,7.02,2040
eri,8.366,2045
eri,9.464,2050
est,10.66,1950
est,10.34,1955
est,10.92,1960
est,11.38,1965
est,11.88,1970
est,12.25,1975
est,11.34,1980
est,11.11,1985
est,12.52,1990
est,14.39,1995
est,16.09,2000
est,16.61,2005
est,17.37,2010
est,18.39,2015
est,19.16,2020
est,20.23,2025
est,21.11,2030
est,21.8,2035
est,22.86,2040
est,24.7,2045
est,27.21,2050
eth,4.062,1950
eth,3.769,1955
eth,3.606,1960
eth,3.881,1965
eth,4.083,1970
eth,4.242,1975
eth,4.338,1980
eth,4.316,1985
eth,4.302,1990
eth,4.309,1995
eth,4.4,2000
eth,4.559,2005
eth,4.735,2010
eth,4.823,2015
eth,4.966,2020
eth,5.262,2025
eth,5.695,2030
eth,6.264,2035
eth,6.956,2040
eth,7.866,2045
eth,9.12,2050
fji,5.96,1950
fji,4.678,1955
fji,4.433,1960
fji,3.814,1965
fji,4.167,1970
fji,4.437,1975
fji,4.954,1980
fji,4.457,1985
fji,4.658,1990
fji,4.615,1995
fji,5.405,2000
fji,5.952,2005
fji,7.126,2010
fji,8.163,2015
fji,9.978,2020
fji,10.94,2025
fji,11.78,2030
fji,12.13,2035
fji,13.86,2040
fji,15.85,2045
fji,17.71,2050
fin,8.299,1950
fin,8.473,1955
fin,9.091,1960
fin,9.986,1965
fin,11.59,1970
fin,12.39,1975
fin,12.67,1980
fin,13.44,1985
fin,14.62,1990
fin,15.37,1995
fin,16.61,2000
fin,18.47,2005
fin,22.01,2010
fin,24.45,2015
fin,26.2,2020
fin,27.63,2025
fin,28.4,2030
fin,28.26,2035
fin,28.48,2040
fin,28.81,2045
fin,29.12,2050
fra,13.62,1950
fra,13.19,1955
fra,13.67,1960
fra,14.46,1965
fra,15.05,1970
fra,15.23,1975
fra,14.24,1980
fra,15.28,1985
fra,16.36,1990
fra,17.44,1995
fra,17.95,2000
fra,18.36,2005
fra,20.68,2010
fra,22.71,2015
fra,24.46,2020
fra,26.19,2025
fra,27.59,2030
fra,28.7,2035
fra,28.93,2040
fra,29.34,2045
fra,29.71,2050
guf,0.0,1950
guf,0.0,1955
guf,6.25,1960
guf,5.0,1965
guf,4.167,1970
guf,3.571,1975
guf,5.882,1980
guf,6.522,1985
guf,4.918,1990
guf,4.11,1995
guf,4.651,2000
guf,4.902,2005
guf,6.14,2010
guf,7.634,2015
guf,9.028,2020
guf,10.62,2025
guf,11.86,2030
guf,13.09,2035
guf,13.59,2040
guf,14.22,2045
guf,14.91,2050
pyf,3.333,1950
pyf,2.941,1955
pyf,4.878,1960
pyf,4.348,1965
pyf,3.509,1970
pyf,4.478,1975
pyf,3.797,1980
pyf,4.396,1985
pyf,4.808,1990
pyf,6.25,1995
pyf,5.691,2000
pyf,8.271,2005
pyf,7.971,2010
pyf,10.81,2015
pyf,11.69,2020
pyf,13.21,2025
pyf,17.37,2030
pyf,18.13,2035
pyf,19.65,2040
pyf,20.9,2045
pyf,23.6,2050
gab,10.82,1950
gab,9.914,1955
gab,10.5,1960
gab,10.12,1965
gab,9.728,1970
gab,9.31,1975
gab,8.683,1980
gab,8.44,1985
gab,7.424,1990
gab,6.355,1995
gab,6.046,2000
gab,5.865,2005
gab,6.008,2010
gab,6.691,2015
gab,7.391,2020
gab,7.996,2025
gab,8.835,2030
gab,9.533,2035
gab,10.62,2040
gab,11.92,2045
gab,13.62,2050
gmb,4.065,1950
gmb,5.109,1955
gmb,4.545,1960
gmb,5.464,1965
gmb,4.739,1970
gmb,4.331,1975
gmb,4.305,1980
gmb,4.709,1985
gmb,4.74,1990
gmb,4.638,1995
gmb,4.644,2000
gmb,4.624,2005
gmb,4.614,2010
gmb,4.564,2015
gmb,4.537,2020
gmb,4.882,2025
gmb,5.306,2030
gmb,5.918,2035
gmb,6.448,2040
gmb,7.065,2045
gmb,7.886,2050
geo,13.88,1950
geo,12.76,1955
geo,11.09,1960
geo,10.3,1965
geo,9.941,1970
geo,9.722,1975
geo,9.068,1980
geo,9.491,1985
geo,11.87,1990
geo,13.34,1995
geo,15.75,2000
geo,15.46,2005
geo,16.37,2010
geo,17.74,2015
geo,19.72,2020
geo,21.79,2025
geo,22.46,2030
geo,23.06,2035
geo,23.42,2040
geo,24.34,2045
geo,26.88,2050
deu,13.87,1950
deu,14.34,1955
deu,15.19,1960
deu,16.19,1965
deu,16.64,1970
deu,16.37,1975
deu,14.74,1980
deu,14.81,1985
deu,15.7,1990
deu,16.7,1995
deu,19.7,2000
deu,21.82,2005
deu,23.2,2010
deu,25.23,2015
deu,27.77,2020
deu,31.23,2025
deu,34.28,2030
deu,35.19,2035
deu,35.62,2040
deu,36.22,2045
