geo,tb_with_hivplus_existing_cases_per_100000_estimated,time
jam,0.6,1999
jam,0.6,2000
jam,0.7,2001
jam,0.7,2002
jam,0.7,2003
jam,0.7,2004
jam,0.7,2005
jam,0.7,2006
jam,0.7,2007
jpn,0.0,1990
jpn,0.0,1991
jpn,0.0,1992
jpn,0.1,1993
jpn,0.1,1994
jpn,0.1,1995
jpn,0.1,1996
jpn,0.1,1997
jpn,0.1,1998
jpn,0.1,1999
jpn,0.1,2000
jpn,0.1,2001
jpn,0.1,2002
jpn,0.1,2003
jpn,0.1,2004
jpn,0.1,2005
jpn,0.1,2006
jpn,0.0,2007
jor,0.0,1990
jor,0.0,1991
jor,0.0,1992
jor,0.0,1993
jor,0.0,1994
jor,0.0,1995
jor,0.0,1996
jor,0.0,1997
jor,0.0,1998
jor,0.0,1999
jor,0.0,2000
jor,0.0,2001
jor,0.0,2002
jor,0.0,2003
jor,0.0,2004
jor,0.0,2005
jor,0.0,2006
kaz,0.0,1990
kaz,0.0,1991
kaz,0.0,1992
kaz,0.0,1993
kaz,0.0,1994
kaz,0.0,1995
kaz,0.0,1996
kaz,0.1,1997
kaz,0.2,1998
kaz,0.3,1999
kaz,0.4,2000
kaz,0.6,2001
kaz,0.8,2002
kaz,1.1,2003
kaz,1.3,2004
kaz,1.5,2005
kaz,1.7,2006
kaz,1.8,2007
ken,22.0,1990
ken,26.3,1991
ken,34.8,1992
ken,44.7,1993
ken,56.4,1994
ken,67.7,1995
ken,79.4,1996
ken,93.2,1997
ken,105.5,1998
ken,115.4,1999
ken,119.9,2000
ken,117.7,2001
ken,117.3,2002
ken,118.0,2003
ken,115.1,2004
ken,102.3,2005
ken,90.8,2006
ken,84.4,2007
kir,0.0,1995
kir,0.0,1996
kir,0.0,1997
kir,0.0,1998
kir,0.0,1999
kir,0.0,2000
kir,0.0,2001
kir,0.0,2002
kir,0.0,2003
kir,0.0,2004
kir,0.0,2005
kir,0.0,2006
kwt,0.0,1995
kwt,0.0,1996
kwt,0.0,1997
kwt,0.0,1998
kwt,0.0,1999
kwt,0.0,2000
kwt,0.0,2001
kwt,0.0,2002
kwt,0.0,2003
kwt,0.0,2004
kwt,0.0,2005
kwt,0.0,2006
kgz,0.0,1990
kgz,0.0,1991
kgz,0.0,1992
kgz,0.0,1993
kgz,0.0,1994
kgz,0.0,1995
kgz,0.0,1996
kgz,0.1,1997
kgz,0.1,1998
kgz,0.2,1999
kgz,0.3,2000
kgz,0.5,2001
kgz,0.8,2002
kgz,1.0,2003
kgz,1.2,2004
kgz,1.5,2005
kgz,1.6,2006
kgz,1.7,2007
lao,0.0,1990
lao,0.0,1991
lao,0.0,1992
lao,0.1,1993
lao,0.1,1994
lao,0.1,1995
lao,0.2,1996
lao,0.2,1997
lao,0.3,1998
lao,0.4,1999
lao,0.5,2000
lao,0.6,2001
lao,0.8,2002
lao,1.1,2003
lao,1.4,2004
lao,1.7,2005
lao,2.1,2006
lao,2.5,2007
lva,0.0,1990
lva,0.0,1991
lva,0.0,1992
lva,0.0,1993
lva,0.0,1994
lva,0.0,1995
lva,0.0,1996
lva,0.1,1997
lva,0.1,1998
lva,0.3,1999
lva,0.5,2000
lva,0.8,2001
lva,1.2,2002
lva,1.4,2003
lva,1.5,2004
lva,1.5,2005
lva,1.5,2006
lva,1.4,2007
lbn,0.2,1990
lbn,0.2,1991
lbn,0.2,1992
lbn,0.3,1993
lbn,0.3,1994
lbn,0.3,1995
lbn,0.3,1996
lbn,0.3,1997
lbn,0.3,1998
lbn,0.3,1999
lbn,0.3,2000
lbn,0.2,2001
lbn,0.2,2002
lbn,0.2,2003
lbn,0.2,2004
lbn,0.2,2005
lbn,0.2,2006
lbn,0.2,2007
lso,6.5,1990
lso,13.7,1991
lso,26.3,1992
lso,46.3,1993
lso,72.3,1994
lso,99.9,1995
lso,123.5,1996
lso,146.9,1997
lso,170.0,1998
lso,193.8,1999
lso,207.8,2000
lso,217.1,2001
lso,231.2,2002
lso,239.7,2003
lso,242.8,2004
lso,241.3,2005
lso,240.8,2006
lso,240.4,2007
lbr,4.9,1990
lbr,7.0,1991
lbr,9.3,1992
lbr,11.7,1993
lbr,13.9,1994
lbr,15.7,1995
lbr,17.0,1996
lbr,18.0,1997
lbr,18.8,1998
lbr,19.4,1999
lbr,19.9,2000
lbr,20.5,2001
lbr,21.1,2002
lbr,21.8,2003
lbr,22.7,2004
lbr,23.8,2005
lbr,25.2,2006
lbr,27.0,2007
lby,0.0,1990
lby,0.0,1991
lby,0.0,1992
lby,0.0,1993
lby,0.0,1994
lby,0.0,1995
lby,0.0,1996
lby,0.0,1997
lby,0.0,1998
lby,0.0,1999
lby,0.0,2000
lby,0.0,2001
lby,0.0,2002
lby,0.0,2003
lby,0.0,2004
lby,0.0,2005
lby,0.0,2006
ltu,0.0,1990
ltu,0.0,1991
ltu,0.0,1992
ltu,0.0,1993
ltu,0.0,1994
ltu,0.0,1995
ltu,0.1,1996
ltu,0.1,1997
ltu,0.2,1998
ltu,0.3,1999
ltu,0.4,2000
ltu,0.5,2001
ltu,0.6,2002
ltu,0.7,2003
ltu,0.7,2004
ltu,0.7,2005
ltu,0.7,2006
ltu,0.8,2007
lux,0.1,1990
lux,0.1,1991
lux,0.2,1992
lux,0.2,1993
lux,0.2,1994
lux,0.2,1995
lux,0.2,1996
lux,0.2,1997
lux,0.2,1998
lux,0.2,1999
lux,0.2,2000
lux,0.2,2001
lux,0.2,2002
lux,0.2,2003
lux,0.2,2004
