geo,literacy_rate_adult_male_percent_of_males_ages_15_and_above,time
pry,94.37,2009
pry,94.81,2010
per,90.14,1981
per,92.85,1993
per,93.46,2004
per,93.72,2005
per,94.23,2006
per,94.86,2007
phl,83.89,1980
phl,93.97,1990
phl,92.55,2000
phl,91.63,2003
phl,95.01,2008
pol,99.28,1978
pol,99.71,1994
pol,99.83,2004
pol,99.89,2011
prt,84.83,1981
prt,91.59,1991
prt,97.04,2011
pri,87.75,1980
pri,89.5,1990
pri,90.06,2004
pri,89.71,2011
qat,76.8,1986
qat,84.24,1997
qat,89.1,2004
qat,93.81,2007
qat,94.29,2008
qat,95.12,2009
qat,96.51,2010
rou,98.53,1992
rou,98.4,2002
rou,98.31,2011
rus,99.46,1989
rus,99.69,2002
rus,99.73,2010
rwa,50.82,1978
rwa,71.42,2000
rwa,71.13,2010
wsm,98.42,1991
wsm,98.84,2004
wsm,99.03,2011
stp,73.14,1981
stp,85.25,1991
stp,92.23,2001
stp,80.33,2008
sau,79.97,1992
sau,87.06,2000
sau,87.53,2004
sau,90.85,2011
sen,36.9,1988
sen,51.05,2002
sen,52.26,2006
sen,61.81,2009
srb,99.2,2011
syc,82.93,1987
syc,87.02,1994
syc,91.41,2002
syc,91.41,2011
sle,46.65,2004
sle,54.65,2011
sgp,91.57,1980
sgp,95.09,1990
sgp,96.57,2000
sgp,98.04,2010
svn,99.6,1991
svn,99.69,2004
svn,99.72,2011
zaf,77.53,1980
zaf,84.07,1996
zaf,90.72,2007
zaf,93.86,2011
esp,95.9,1981
esp,98.04,1991
esp,98.62,2005
esp,98.63,2007
esp,98.4,2008
esp,98.46,2009
esp,98.53,2010
lka,91.35,1981
lka,92.27,2001
lka,92.71,2006
lka,92.24,2008
lka,92.58,2010
sdn,71.58,2000
sdn,80.71,2011
sur,92.02,2004
sur,95.49,2008
sur,95.36,2010
swz,57.38,1976
swz,69.68,1986
swz,83.15,2000
swz,88.39,2011
syr,73.58,1981
syr,91.03,2002
syr,87.76,2004
syr,90.32,2011
tjk,98.79,1989
tjk,99.68,2000
tjk,99.81,2011
tza,71.37,1988
tza,77.51,2002
tza,75.47,2010
tha,92.21,1980
tha,94.9,2000
tha,95.6,2005
tls,45.3,2001
tls,58.5,2007
tls,63.59,2010
tgo,68.73,2000
tgo,70.27,2006
tgo,71.17,2009
tgo,74.06,2011
ton,99.66,1976
ton,98.83,1996
ton,98.95,2006
tto,96.52,1980
tto,98.01,1990
tto,99.01,2004
tto,99.21,2011
tun,60.41,1984
tun,70.21,1994
tun,83.39,2004
tun,86.05,2007
tun,86.38,2008
tun,87.38,2010
tur,77.5,1975
tur,81.45,1980
tur,87.62,1985
tur,89.85,1990
tur,95.27,2004
tur,96.0,2005
tur,96.0,2006
tur,96.2,2007
tur,96.38,2009
tur,97.3,2010
tur,97.93,2011
tkm,99.32,1995
tkm,99.73,2011
uga,68.2,1991
uga,78.3,2002
uga,81.39,2006
uga,82.63,2010
ukr,99.74,2001
ukr,99.79,2011
are,58.39,1975
are,72.27,1985
are,89.48,2005
ury,93.39,1975
ury,94.83,1985
ury,96.24,1996
ury,97.44,2006
ury,97.42,2007
ury,97.83,2008
ury,97.58,2009
ury,97.61,2010
uzb,99.16,2000
uzb,99.64,2011
vut,57.34,1979
vut,71.34,1994
vut,80.14,2004
vut,84.85,2011
ven,86.49,1981
ven,90.67,1990
ven,93.26,2001
ven,95.38,2007
ven,95.68,2009
pse,92.24,1997
pse,96.54,2004
pse,97.08,2006
pse,97.24,2007
pse,97.14,2008
pse,97.43,2009
pse,97.63,2010
pse,97.86,2011
vnm,90.38,1979
vnm,93.0,1989
vnm,93.92,1999
vnm,93.93,2000
vnm,95.42,2011
yem,56.72,1994
yem,74.26,2004
yem,82.12,2011
zmb,73.04,1990
zmb,76.25,1999
zmb,80.91,2002
zmb,71.95,2007
zwe,84.17,1982
zwe,88.89,1992
zwe,87.76,2011
