annual_hiv_deaths_number_all_ages,geo,time
150,cub,1997
150,cub,1998
150,cub,1999
350,cub,2000
350,cub,2001
150,cub,2002
60,cub,2003
60,cub,2004
150,cub,2005
150,cub,2006
350,cub,2007
150,cub,2008
150,cub,2009
150,cub,2010
150,cub,2011
60,cze,1990
60,cze,1991
60,cze,1992
60,cze,1993
60,cze,1994
60,cze,1995
60,cze,1996
60,cze,1997
60,cze,1998
60,cze,1999
60,cze,2000
60,cze,2001
60,cze,2002
60,cze,2003
60,cze,2004
60,cze,2005
60,cze,2006
60,cze,2007
60,cze,2008
60,cze,2009
60,dnk,1990
60,dnk,1991
60,dnk,1992
60,dnk,1993
120,dnk,1994
120,dnk,1995
120,dnk,1996
60,dnk,1997
60,dnk,1998
60,dnk,1999
60,dnk,2000
60,dnk,2001
60,dnk,2002
60,dnk,2003
60,dnk,2004
60,dnk,2005
60,dnk,2006
60,dnk,2007
60,dnk,2008
60,dnk,2009
60,dji,1990
120,dji,1991
120,dji,1992
120,dji,1993
300,dji,1994
300,dji,1995
300,dji,1996
300,dji,1997
600,dji,1998
600,dji,1999
600,dji,2000
600,dji,2001
600,dji,2002
600,dji,2003
600,dji,2004
600,dji,2005
600,dji,2006
600,dji,2007
1000,dji,2008
1000,dji,2009
350,dom,1990
600,dom,1991
600,dom,1992
1100,dom,1993
1400,dom,1994
1800,dom,1995
2200,dom,1996
2600,dom,1997
3000,dom,1998
3400,dom,1999
3700,dom,2000
4000,dom,2001
4100,dom,2002
4300,dom,2003
4400,dom,2004
4300,dom,2005
3900,dom,2006
3400,dom,2007
2700,dom,2008
2200,dom,2009
2000,dom,2010
1700,dom,2011
600,ecu,1990
600,ecu,1991
600,ecu,1992
1000,ecu,1993
1200,ecu,1994
1300,ecu,1995
1400,ecu,1996
1500,ecu,1997
1700,ecu,1998
1800,ecu,1999
2000,ecu,2000
2200,ecu,2001
2300,ecu,2002
2500,ecu,2003
2600,ecu,2004
2600,ecu,2005
2600,ecu,2006
2600,ecu,2007
2500,ecu,2008
2300,ecu,2009
2100,ecu,2010
2000,ecu,2011
60,egy,1990
60,egy,1991
60,egy,1992
60,egy,1993
60,egy,1994
60,egy,1995
60,egy,1996
60,egy,1997
60,egy,1998
60,egy,1999
120,egy,2000
120,egy,2001
120,egy,2002
300,egy,2003
300,egy,2004
300,egy,2005
300,egy,2006
300,egy,2007
300,egy,2008
300,egy,2009
150,slv,1990
150,slv,1991
150,slv,1992
350,slv,1993
350,slv,1994
350,slv,1995
350,slv,1996
350,slv,1997
600,slv,1998
600,slv,1999
600,slv,2000
600,slv,2001
600,slv,2002
600,slv,2003
600,slv,2004
600,slv,2005
350,slv,2006
350,slv,2007
350,slv,2008
350,slv,2009
350,slv,2010
350,slv,2011
60,gnq,1990
60,gnq,1991
60,gnq,1992
60,gnq,1993
60,gnq,1994
60,gnq,1995
60,gnq,1996
60,gnq,1997
60,gnq,1998
120,gnq,1999
120,gnq,2000
300,gnq,2001
300,gnq,2002
300,gnq,2003
300,gnq,2004
600,gnq,2005
600,gnq,2006
600,gnq,2007
600,gnq,2008
600,gnq,2009
120,eri,1990
120,eri,1991
300,eri,1992
300,eri,1993
600,eri,1994
600,eri,1995
600,eri,1996
1000,eri,1997
1200,eri,1998
1400,eri,1999
1600,eri,2000
1800,eri,2001
2000,eri,2002
2100,eri,2003
2200,eri,2004
2200,eri,2005
2000,eri,2006
1800,eri,2007
1700,eri,2008
1700,eri,2009
60,est,1990
60,est,1991
60,est,1992
60,est,1993
60,est,1994
60,est,1995
60,est,1996
60,est,1997
60,est,1998
60,est,1999
60,est,2000
120,est,2001
120,est,2002
300,est,2003
300,est,2004
300,est,2005
300,est,2006
300,est,2007
300,est,2008
300,est,2009
60,fji,1990
60,fji,1991
60,fji,1992
60,fji,1993
60,fji,1994
60,fji,1995
60,fji,1996
60,fji,1997
60,fji,1998
60,fji,1999
60,fji,2000
60,fji,2001
60,fji,2002
60,fji,2003
60,fji,2004
60,fji,2005
60,fji,2006
60,fji,2007
60,fji,2008
60,fji,2009
60,fji,2010
60,fji,2011
60,fin,1990
60,fin,1991
60,fin,1992
60,fin,1993
60,fin,1994
60,fin,1995
60,fin,1996
60,fin,1997
60,fin,1998
60,fin,1999
60,fin,2000
60,fin,2001
60,fin,2002
60,fin,2003
60,fin,2004
60,fin,2005
60,fin,2006
60,fin,2007
60,fin,2008
60,fin,2009
8100,fra,1990
8200,fra,1991
8100,fra,1992
7900,fra,1993
7700,fra,1994
7500,fra,1995
5600,fra,1996
2700,fra,1997
1700,fra,1998
1700,fra,1999
1800,fra,2000
1800,fra,2001
1800,fra,2002
1800,fra,2003
1800,fra,2004
1500,fra,2005
1200,fra,2006
1200,fra,2007
1200,fra,2008
1300,fra,2009
1300,fra,2010
1300,fra,2011
120,gab,1990
120,gab,1991
300,gab,1992
300,gab,1993
300,gab,1994
600,gab,1995
600,gab,1996
1000,gab,1997
1300,gab,1998
1500,gab,1999
1800,gab,2000
2000,gab,2001
2300,gab,2002
2500,gab,2003
2500,gab,2004
2300,gab,2005
2300,gab,2006
2500,gab,2007
2500,gab,2008
2400,gab,2009
60,gmb,1990
60,gmb,1991
60,gmb,1992
60,gmb,1993
60,gmb,1994
60,gmb,1995
60,gmb,1996
60,gmb,1997
120,gmb,1998
120,gmb,1999
120,gmb,2000
300,gmb,2001
300,gmb,2002
300,gmb,2003
300,gmb,2004
300,gmb,2005
300,gmb,2006
600,gmb,2007
600,gmb,2008
600,gmb,2009
60,geo,1990
60,geo,1991
60,geo,1992
60,geo,1993
60,geo,1994
60,geo,1995
60,geo,1996
60,geo,1997
60,geo,1998
60,geo,1999
60,geo,2000
60,geo,2001
60,geo,2002
60,geo,2003
60,geo,2004
60,geo,2005
60,geo,2006
60,geo,2007
60,geo,2008
60,geo,2009
150,geo,2010
150,geo,2011
2500,deu,1990
2800,deu,1991
3000,deu,1992
3100,deu,1993
3300,deu,1994
3300,deu,1995
2500,deu,1996
1700,deu,1997
1200,deu,1998
600,deu,1999
600,deu,2000
600,deu,2001
600,deu,2002
600,deu,2003
600,deu,2004
600,deu,2005
600,deu,2006
600,deu,2007
600,deu,2008
600,deu,2009
600,gha,1990
600,gha,1991
1400,gha,1992
2000,gha,1993
3000,gha,1994
4400,gha,1995
6200,gha,1996
8200,gha,1997
10000,gha,1998
12000,gha,1999
15000,gha,2000
16000,gha,2001
18000,gha,2002
19000,gha,2003
20000,gha,2004
20000,gha,2005
20000,gha,2006
20000,gha,2007
19000,gha,2008
18000,gha,2009
150,grc,1990
350,grc,1991
350,grc,1992
350,grc,1993
350,grc,1994
350,grc,1995
350,grc,1996
150,grc,1997
150,grc,1998
150,grc,1999
150,grc,2000
150,grc,2001
350,grc,2002
350,grc,2003
350,grc,2004
350,grc,2005
350,grc,2006
350,grc,2007
350,grc,2008
350,grc,2009
150,grc,2010
150,grc,2011
350,gtm,1990
350,gtm,1991
350,gtm,1992
350,gtm,1993
600,gtm,1994
600,gtm,1995
600,gtm,1996
600,gtm,1997
1100,gtm,1998
1300,gtm,1999
1500,gtm,2000
1700,gtm,2001
1900,gtm,2002
2000,gtm,2003
1600,gtm,2004
1800,gtm,2005
2100,gtm,2006
2000,gtm,2007
1800,gtm,2008
1700,gtm,2009
2100,gtm,2010
2500,gtm,2011
1100,gin,1990
1600,gin,1991
2100,gin,1992
2700,gin,1993
3300,gin,1994
3900,gin,1995
4500,gin,1996
5000,gin,1997
5400,gin,1998
5800,gin,1999
6100,gin,2000
6300,gin,2001
6500,gin,2002
6600,gin,2003
6700,gin,2004
6400,gin,2005
5900,gin,2006
5200,gin,2007
5000,gin,2008
4700,gin,2009
60,gnb,1990
60,gnb,1991
60,gnb,1992
120,gnb,1993
120,gnb,1994
300,gnb,1995
300,gnb,1996
300,gnb,1997
300,gnb,1998
600,gnb,1999
600,gnb,2000
600,gnb,2001
600,gnb,2002
600,gnb,2003
1100,gnb,2004
1200,gnb,2005
1300,gnb,2006
1300,gnb,2007
1200,gnb,2008
1200,gnb,2009
150,guy,1990
150,guy,1991
150,guy,1992
150,guy,1993
350,guy,1994
350,guy,1995
350,guy,1996
350,guy,1997
350,guy,1998
600,guy,1999
600,guy,2000
600,guy,2001
600,guy,2002
600,guy,2003
600,guy,2004
600,guy,2005
350,guy,2006
350,guy,2007
350,guy,2008
350,guy,2009
350,guy,2010
