20120905_extreme_poverty_percent_people_below_125_a_day,geo,time
13.72,bra,1989
17.23,bra,1990
17.92,bra,1992
17.04,bra,1993
11.26,bra,1995
12.39,bra,1996
12.32,bra,1997
11.03,bra,1998
11.38,bra,1999
11.82,bra,2001
10.56,bra,2002
11.21,bra,2003
9.77,bra,2004
8.52,bra,2005
7.64,bra,2006
7.13,bra,2007
6.01,bra,2008
6.14,bra,2009
0.04,bgr,1989
0.0,bgr,1992
0.22,bgr,1994
2.02,bgr,1995
0.32,bgr,1997
2.64,bgr,2001
0.0,bgr,2003
0.0,bgr,2007
71.17,bfa,1994
70.03,bfa,1998
56.54,bfa,2003
44.6,bfa,2009
84.24,bdi,1992
86.43,bdi,1998
81.32,bdi,2006
44.5,khm,1994
37.69,khm,2004
32.23,khm,2007
22.75,khm,2008
24.88,cmr,1996
10.77,cmr,2001
9.56,cmr,2007
21.02,cpv,2002
83.15,caf,1992
62.43,caf,2003
62.83,caf,2008
61.94,tcd,2003
7.45,chl,1987
5.06,chl,1990
2.74,chl,1992
3.14,chl,1994
2.21,chl,1996
2.35,chl,1998
2.26,chl,2000
1.98,chl,2003
1.13,chl,2006
1.35,chl,2009
84.02,chn,1981
69.43,chn,1984
54.03,chn,1987
60.18,chn,1990
63.8,chn,1992
53.69,chn,1993
59.78,chn,1994
54.05,chn,1995
36.37,chn,1996
47.84,chn,1997
47.97,chn,1998
35.63,chn,1999
28.36,chn,2002
16.25,chn,2005
13.06,chn,2008
15.45,col,1980
10.69,col,1988
8.08,col,1989
8.18,col,1991
6.29,col,1992
13.0,col,1996
16.18,col,1999
17.85,col,2000
19.18,col,2001
20.26,col,2002
19.61,col,2003
18.98,col,2004
12.71,col,2005
11.04,col,2006
8.84,col,2007
11.32,col,2008
9.67,col,2009
8.16,col,2010
46.11,com,2004
87.72,cod,2006
54.1,cog,2005
21.38,cri,1981
11.17,cri,1986
10.79,cri,1989
8.45,cri,1990
9.69,cri,1991
8.11,cri,1992
6.89,cri,1993
5.75,cri,1994
6.01,cri,1995
7.02,cri,1996
5.3,cri,1997
4.22,cri,1998
5.43,cri,1999
5.53,cri,2000
6.02,cri,2001
6.03,cri,2002
5.8,cri,2003
5.28,cri,2004
3.91,cri,2005
4.04,cri,2006
2.16,cri,2007
2.42,cri,2008
3.12,cri,2009
9.53,civ,1985
4.11,civ,1986
8.68,civ,1987
13.76,civ,1988
17.79,civ,1993
21.09,civ,1995
24.06,civ,1998
23.34,civ,2002
23.75,civ,2008
0.04,hrv,1988
0.06,hrv,1998
0.19,hrv,1999
0.07,hrv,2000
0.06,hrv,2001
0.06,hrv,2004
0.06,hrv,2008
0.0,cze,1988
0.0,cze,1993
0.13,cze,1996
18.84,dji,2002
16.37,dom,1986
12.16,dom,1989
4.66,dom,1992
4.69,dom,1996
4.95,dom,1997
5.24,dom,2000
3.73,dom,2001
5.7,dom,2002
6.63,dom,2003
8.13,dom,2004
6.14,dom,2005
4.23,dom,2006
3.83,dom,2007
3.3,dom,2008
2.99,dom,2009
2.24,dom,2010
12.86,ecu,1987
14.1,ecu,1994
9.99,ecu,1995
14.47,ecu,1998
23.92,ecu,1999
20.73,ecu,2000
12.17,ecu,2003
9.13,ecu,2005
6.14,ecu,2006
7.23,ecu,2007
6.45,ecu,2008
6.38,ecu,2009
4.61,ecu,2010
4.46,egy,1991
2.46,egy,1996
1.81,egy,2000
1.99,egy,2005
1.69,egy,2008
15.24,slv,1989
17.1,slv,1991
9.96,slv,1995
11.5,slv,1996
17.38,slv,1998
13.81,slv,1999
14.4,slv,2001
14.75,slv,2002
13.3,slv,2003
11.49,slv,2004
11.57,slv,2005
5.32,slv,2006
6.58,slv,2007
5.44,slv,2008
8.97,slv,2009
0.05,est,1988
0.79,est,1993
0.25,est,1995
0.05,est,1998
0.64,est,2000
0.53,est,2001
0.51,est,2002
0.0,est,2003
0.46,est,2004
66.22,eth,1982
60.52,eth,1995
55.58,eth,2000
38.96,eth,2005
29.16,fji,2003
5.88,fji,2009
4.84,gab,2005
65.61,gmb,1998
33.63,gmb,2003
4.71,geo,1996
15.74,geo,1997
7.85,geo,1998
17.91,geo,1999
19.29,geo,2000
19.53,geo,2001
15.73,geo,2002
17.65,geo,2003
15.98,geo,2005
15.58,geo,2006
15.19,geo,2007
15.27,geo,2008
50.59,gha,1988
49.37,gha,1989
51.07,gha,1992
39.12,gha,1998
