geo,medical_doctors_per_1000_people,time
bhr,0.1099,1993
bhr,1.0,1997
bhr,1.596,2001
bhr,1.087,2004
bhr,2.72,2005
bhr,2.965,2007
bhr,1.442,2008
bgd,0.1231,1965
bgd,0.1187,1970
bgd,0.1205,1980
bgd,0.1539,1985
bgd,0.1441,1986
bgd,0.1767,1990
bgd,0.1884,1991
bgd,0.201,1995
bgd,0.2,1997
bgd,0.231,2001
bgd,0.257,2004
bgd,0.3,2005
bgd,0.295,2007
brb,0.3294,1960
brb,0.5226,1970
brb,0.8907,1984
brb,1.14,1990
brb,1.254,1993
brb,1.28,1995
brb,1.21,1999
brb,1.811,2005
blr,2.962,1980
blr,3.329,1985
blr,3.375,1986
blr,3.445,1987
blr,3.512,1988
blr,3.576,1989
blr,3.56,1990
blr,3.576,1991
blr,3.638,1992
blr,4.076,1993
blr,4.142,1994
blr,4.155,1995
blr,4.286,1996
blr,4.365,1997
blr,4.431,1998
blr,4.551,1999
blr,4.579,2000
blr,4.497,2001
blr,4.526,2002
blr,4.55,2003
blr,4.622,2004
blr,4.68,2005
blr,4.78,2006
blr,4.869,2007
blr,4.98,2008
blr,5.11,2009
bel,1.3,1960
bel,1.3,1961
bel,1.4,1962
bel,1.4,1963
bel,1.4,1964
bel,1.5,1965
bel,1.5,1966
bel,1.5,1967
bel,1.6,1968
bel,1.6,1969
bel,1.5,1971
bel,1.6,1972
bel,1.7,1973
bel,1.8,1974
bel,1.9,1975
bel,1.9,1976
bel,2.0,1977
bel,2.1,1978
bel,2.2,1979
bel,2.3,1980
bel,2.4,1981
bel,2.5,1982
bel,2.8,1983
bel,2.7,1984
bel,2.8,1985
bel,2.9,1986
bel,3.0,1987
bel,3.1,1988
bel,3.2,1989
bel,3.3,1990
bel,3.3,1991
bel,3.4,1992
bel,3.4,1993
bel,3.5,1994
bel,3.5,1995
bel,3.6,1996
bel,3.7,1997
bel,3.7,1998
bel,3.8,1999
bel,3.9,2000
bel,3.9,2001
bel,3.9,2002
bel,4.23,2006
bel,2.987,2008
blz,0.2416,1960
blz,0.3418,1970
blz,0.2719,1984
blz,0.4507,1986
blz,0.4716,1988
blz,0.6392,1990
blz,0.4927,1993
blz,0.6,1995
blz,0.548,1996
blz,1.05,2000
blz,0.828,2009
ben,0.03979,1960
ben,0.02963,1965
ben,0.0344,1970
ben,0.059,1980
ben,0.059,1981
ben,0.075,1983
ben,0.0735,1985
ben,0.0708,1989
ben,0.0505,1990
ben,0.0422,1991
ben,0.0551,1992
ben,0.057,1993
ben,0.0608,1994
ben,0.058,1995
ben,0.04,2004
ben,0.059,2008
bmu,1.2,1995
bmu,1.766,1997
btn,0.1246,1981
btn,0.1025,1982
btn,0.3333,1990
btn,0.1704,1994
btn,0.16,1995
btn,0.051,1999
btn,0.051,2004
btn,0.023,2007
bol,0.2671,1960
bol,0.3106,1965
bol,0.5088,1970
bol,0.4902,1975
bol,0.5233,1981
bol,0.6975,1984
bol,0.45,1990
bol,0.4259,1993
bol,0.34,1995
bol,1.299,1997
bol,1.22,2001
bih,1.033,1980
bih,1.089,1981
bih,1.17,1982
bih,1.207,1983
bih,1.28,1984
bih,1.362,1985
bih,1.419,1986
bih,1.485,1987
bih,1.52,1988
bih,1.557,1989
bih,1.57,1990
bih,1.555,1991
bih,1.427,1998
bih,1.401,1999
bih,1.422,2000
bih,1.338,2001
bih,1.34,2003
bih,1.418,2005
bwa,0.04167,1960
bwa,0.03642,1965
bwa,0.0644,1970
bwa,0.1331,1975
bwa,0.1225,1980
bwa,0.1342,1981
bwa,0.1439,1983
bwa,0.2005,1988
bwa,0.1941,1989
bwa,0.1941,1993
bwa,0.238,1994
bwa,0.288,1999
bwa,0.4,2004
bwa,0.336,2006
bra,0.3739,1960
bra,0.3998,1965
bra,0.4922,1970
bra,0.6244,1975
bra,0.7671,1981
bra,0.9267,1984
bra,1.467,1985
bra,1.185,1988
bra,1.36,1990
bra,1.31,1995
bra,1.272,1996
bra,1.308,1997
bra,1.396,1999
bra,1.15,2000
bra,1.694,2006
bra,1.72,2007
brn,0.1463,1960
brn,0.3,1970
brn,0.4352,1980
brn,0.4868,1981
brn,0.5338,1984
brn,0.7462,1991
brn,0.848,1996
brn,1.006,2000
brn,1.14,2002
brn,1.417,2008
bgr,1.405,1960
bgr,1.667,1965
bgr,1.863,1970
bgr,1.896,1971
bgr,1.985,1972
bgr,2.042,1973
bgr,2.102,1974
bgr,2.152,1975
bgr,2.205,1976
bgr,2.258,1977
bgr,2.321,1978
bgr,2.408,1979
bgr,2.46,1980
bgr,2.484,1981
bgr,2.588,1982
bgr,2.688,1983
bgr,2.759,1984
bgr,2.865,1985
bgr,2.953,1986
bgr,3.022,1987
bgr,3.09,1988
bgr,3.139,1989
bgr,3.17,1990
bgr,2.979,1991
bgr,3.166,1992
bgr,3.359,1993
bgr,3.327,1994
bgr,3.458,1995
bgr,3.539,1996
bgr,3.447,1997
bgr,3.449,1998
bgr,3.463,1999
bgr,3.399,2000
bgr,3.384,2001
bgr,3.562,2003
bgr,3.66,2006
bgr,3.665,2007
bgr,3.635,2008
bfa,0.01102,1960
bfa,0.01352,1965
bfa,0.0103,1970
bfa,0.0182,1980
bfa,0.0179,1981
bfa,0.0175,1983
bfa,0.0038,1986
bfa,0.029,1989
bfa,0.034,1995
bfa,0.035,1996
bfa,0.038,1997
bfa,0.04,2001
bfa,0.05,2004
bfa,0.064,2008
bdi,0.0102,1960
bdi,0.01743,1965
bdi,0.0171,1970
bdi,0.0122,1975
bdi,0.0469,1984
bdi,0.058,1986
bdi,0.0581,1990
bdi,0.0587,1991
bdi,0.0565,1993
bdi,0.055,1995
bdi,0.052,2000
bdi,0.03,2004
khm,0.02835,1960
khm,0.04462,1965
khm,0.0615,1970
khm,0.0582,1983
khm,0.1067,1992
khm,0.1038,1993
khm,0.1048,1994
khm,0.297,1998
khm,0.296,1999
khm,0.16,2000
khm,0.227,2008
cmr,0.0338,1960
cmr,0.03706,1965
cmr,0.034,1970
cmr,0.072,1975
cmr,0.0711,1979
cmr,0.0838,1989
cmr,0.0824,1990
cmr,0.0837,1992
cmr,0.0729,1993
cmr,0.074,1996
cmr,0.19,2004
can,1.1,1961
can,1.2,1962
can,1.3,1963
can,1.3,1964
can,1.3,1965
can,1.3,1966
can,1.3,1967
can,1.3,1968
can,1.4,1969
can,1.4,1970
can,1.5,1971
can,1.6,1972
can,1.6,1973
can,1.6,1974
can,1.7,1975
can,1.7,1976
can,1.7,1977
can,1.8,1978
can,1.8,1979
can,1.8,1980
can,1.8,1981
can,1.9,1982
can,1.9,1983
can,1.9,1984
can,2.0,1985
can,2.0,1986
can,2.1,1987
can,2.1,1988
can,2.1,1989
can,2.1,1990
