geo,male_service_workers_percent_of_male_labour_force,time
egy,42.7,1994
egy,43.1,1995
egy,44.9,1997
egy,46.2,1998
egy,46.8,1999
egy,48.0,2000
egy,48.4,2001
egy,49.6,2002
egy,49.3,2003
egy,48.4,2004
egy,47.2,2005
egy,45.6,2006
slv,28.1,1980
slv,32.9,1985
slv,65.0,1986
slv,53.7,1988
slv,52.4,1989
slv,52.4,1991
slv,29.4,1992
slv,34.0,1994
slv,35.8,1995
slv,34.4,1996
slv,37.4,1997
slv,38.3,1998
slv,40.4,1999
slv,41.9,2000
slv,41.5,2001
slv,42.7,2002
slv,44.9,2003
slv,44.9,2004
slv,45.4,2005
slv,44.8,2006
gnq,23.2,1983
est,30.4,1989
est,31.2,1990
est,33.7,1991
est,36.0,1992
est,41.2,1993
est,44.0,1994
est,46.2,1995
est,46.4,1996
est,46.5,1997
est,47.0,1998
est,49.3,1999
est,48.0,2000
est,47.8,2001
est,49.6,2002
est,49.7,2003
est,47.8,2004
est,48.8,2005
est,47.7,2006
est,45.4,2007
eth,63.7,2004
eth,10.5,2005
eth,60.6,2006
fro,53.3,2005
fin,41.1,1980
fin,40.7,1981
fin,41.0,1982
fin,42.0,1983
fin,43.2,1984
fin,44.2,1985
fin,44.5,1986
fin,45.9,1987
fin,46.9,1988
fin,47.1,1989
fin,46.1,1990
fin,47.9,1991
fin,49.1,1992
fin,49.9,1993
fin,50.6,1994
fin,49.8,1995
fin,50.5,1996
fin,50.9,1997
fin,51.3,1998
fin,51.2,1999
fin,51.5,2000
fin,52.5,2001
fin,52.9,2002
fin,53.5,2003
fin,54.7,2004
fin,54.6,2005
fin,54.7,2006
fin,55.2,2007
fra,47.0,1980
fra,47.7,1981
fra,48.6,1982
fra,49.5,1983
fra,50.5,1984
fra,51.5,1985
fra,52.3,1986
fra,53.1,1987
fra,53.8,1988
fra,54.3,1989
fra,54.8,1990
fra,55.3,1991
fra,56.1,1992
fra,57.4,1993
fra,59.0,2003
fra,60.2,2004
fra,60.5,2005
fra,60.5,2006
fra,61.6,2007
gab,54.9,1993
gmb,35.0,1993
geo,39.1,1998
geo,35.6,1999
geo,37.6,2000
geo,34.7,2001
geo,35.0,2002
geo,34.5,2003
geo,34.7,2004
geo,34.2,2005
geo,32.8,2006
geo,32.9,2007
deu,43.9,1991
deu,44.6,1992
deu,45.7,1993
deu,47.0,1994
deu,48.4,1995
deu,49.3,1996
deu,49.9,1997
deu,50.3,1998
deu,50.5,1999
deu,51.0,2000
deu,51.6,2001
deu,52.2,2002
deu,52.9,2003
deu,53.4,2004
deu,55.5,2005
deu,55.8,2006
deu,56.0,2007
deu_east,39.5,1991
deu_east,43.7,1992
deu_east,44.3,1993
deu_east,45.1,1994
gha,23.1,1992
gha,26.5,1999
grc,40.4,1981
grc,41.2,1982
grc,40.7,1983
grc,42.2,1984
grc,42.8,1985
grc,42.4,1986
grc,43.7,1987
grc,44.6,1988
grc,45.4,1989
grc,46.2,1990
grc,47.5,1991
grc,48.1,1992
grc,51.7,1993
grc,52.6,1994
grc,53.1,1995
grc,53.7,1996
grc,54.3,1997
grc,54.0,1998
grc,54.8,1999
grc,55.2,2000
grc,55.1,2001
grc,55.8,2002
grc,56.2,2003
grc,58.5,2004
grc,58.3,2005
grc,58.9,2006
grc,58.6,2007
grd,40.2,1988
grd,43.2,1994
grd,45.4,1996
grd,46.3,1998
gtm,22.0,1981
gtm,22.0,1982
gtm,20.6,1987
gtm,48.5,1990
gtm,44.6,1991
gtm,18.7,1994
gtm,27.7,1998
gtm,31.4,2000
gtm,27.4,2002
gtm,31.8,2006
gin,18.0,1994
guy,41.8,1997
guy,39.1,2002
hti,10.5,1980
hti,10.7,1981
hti,13.1,1982
hti,13.0,1983
hti,12.9,1988
hti,13.1,1990
hti,22.4,1999
hnd,67.9,1985
hnd,64.0,1986
hnd,64.2,1987
hnd,20.1,1990
hnd,29.2,1992
hnd,51.1,1993
hnd,27.0,1994
hnd,27.2,1995
hnd,27.4,1996
hnd,28.1,1997
hnd,30.2,1998
hnd,29.6,1999
hnd,28.7,2005
hkg,51.5,1980
hkg,53.0,1981
hkg,55.0,1982
hkg,56.2,1983
hkg,56.2,1984
hkg,55.5,1985
hkg,56.0,1986
hkg,55.9,1987
hkg,57.1,1988
hkg,58.7,1989
hkg,60.2,1990
hkg,61.0,1991
hkg,62.5,1992
hkg,65.2,1993
hkg,66.3,1994
hkg,67.1,1995
hkg,68.0,1996
hkg,69.0,1997
hkg,70.3,1998
hkg,71.8,1999
hkg,72.1,2000
hkg,73.2,2001
hkg,75.5,2003
hkg,77.4,2004
hkg,77.5,2005
hkg,77.9,2006
hkg,78.4,2007
hun,30.5,1980
hun,30.7,1981
hun,30.6,1982
hun,31.0,1983
hun,31.6,1984
hun,32.1,1985
hun,32.8,1986
hun,33.5,1987
hun,34.2,1988
hun,34.9,1989
hun,36.0,1990
hun,38.1,1991
hun,49.6,1994
hun,50.4,1995
hun,50.0,1996
hun,49.8,1997
hun,46.3,1998
hun,47.1,1999
hun,48.8,2000
hun,49.0,2001
hun,49.0,2002
hun,49.7,2003
hun,50.2,2004
hun,50.4,2005
hun,50.7,2006
hun,51.3,2007
isl,52.0,1991
isl,50.0,1992
isl,52.1,1993
isl,49.3,1994
isl,51.3,1995
isl,52.6,1996
isl,51.3,1997
isl,53.2,1998
isl,52.4,1999
isl,56.0,2000
isl,54.1,2001
isl,55.4,2002
isl,57.3,2003
isl,55.4,2004
isl,60.5,2005
isl,59.8,2006
isl,59.7,2007
idn,29.4,1980
idn,29.7,1982
idn,30.6,1985
idn,37.7,1986
idn,37.9,1987
idn,31.4,1988
idn,30.2,1989
idn,29.7,1990
idn,30.7,1991
idn,31.2,1992
idn,33.1,1993
idn,34.2,1994
idn,36.2,1995
idn,37.1,1996
idn,38.6,1997
idn,38.0,1998
idn,37.5,1999
idn,36.4,2001
idn,35.8,2002
idn,35.4,2003
idn,37.3,2004
idn,36.8,2005
idn,36.0,2006
irn,44.1,1996
irn,46.3,2005
irn,46.7,2007
irq,66.1,2004
irl,43.8,1983
irl,45.0,1984
irl,46.6,1985
irl,46.4,1986
irl,47.6,1987
irl,47.1,1988
irl,46.2,1989
irl,45.6,1990
irl,46.6,1991
irl,47.5,1992
irl,48.2,1993
irl,47.4,1994
irl,47.7,1995
irl,49.0,1996
irl,48.0,1997
irl,49.3,1998
irl,49.4,1999
irl,49.7,2000
irl,49.7,2001
irl,50.6,2002
irl,51.3,2003
irl,51.3,2004
irl,50.5,2005
irl,51.1,2006
gbm,72.9,2001
gbm,73.0,2006
isr,52.4,1980
isr,52.7,1981
isr,53.7,1982
isr,53.4,1983
isr,54.1,1984
isr,55.3,1985
isr,55.4,1986
isr,55.3,1987
isr,57.0,1988
isr,57.7,1989
isr,57.7,1990
isr,56.9,1991
isr,56.7,1992
isr,56.2,1993
isr,56.8,1994
isr,56.0,1995
isr,56.9,1996
isr,57.9,1997
isr,59.8,1998
isr,61.0,1999
isr,61.8,2000
isr,63.0,2001
isr,63.7,2002
isr,64.2,2003
isr,64.3,2004
isr,64.9,2005
isr,65.0,2006
isr,64.9,2007
ita,45.2,1980
ita,46.2,1981
ita,47.5,1982
ita,48.4,1983
ita,50.5,1984
ita,52.0,1985
ita,52.7,1986
ita,53.1,1987
ita,53.8,1988
ita,54.3,1989
ita,54.5,1990
ita,54.4,1991
ita,54.9,1992
ita,52.1,1993
ita,52.4,1994
ita,52.9,1995
ita,53.4,1996
ita,54.0,1997
ita,54.0,1998
ita,54.2,1999
ita,54.9,2000
ita,54.9,2001
ita,54.9,2002
ita,54.6,2003
ita,55.2,2004
ita,55.0,2005
ita,55.5,2006
ita,56.3,2007
jam,39.0,1992
jam,40.3,1993
jam,41.8,1994
jam,42.1,1995
jam,42.4,1996
jam,45.8,1997
jam,45.6,1998
jam,45.9,1999
jam,46.6,2000
jam,46.5,2001
jam,47.4,2002
jam,45.8,2003
jam,47.0,2004
jam,47.8,2005
jam,46.9,2006
jpn,51.4,1980
jpn,51.9,1981
jpn,52.4,1982
jpn,52.8,1983
jpn,53.1,1984
jpn,52.9,1985
jpn,53.5,1986
jpn,54.2,1987
jpn,53.9,1988
jpn,54.2,1989
jpn,54.5,1990
jpn,54.4,1991
jpn,54.1,1992
jpn,54.6,1993
jpn,54.6,1994
jpn,55.1,1995
jpn,55.3,1996
jpn,55.4,1997
jpn,56.1,1998
jpn,56.3,1999
jpn,56.7,2000
jpn,57.4,2001
jpn,57.9,2002
jpn,58.3,2003
jpn,59.0,2004
jpn,59.1,2005
jpn,59.3,2006
jpn,59.3,2007
jor,70.1,1983
jor,74.1,1986
jor,75.1,1987
jor,71.1,2000
jor,72.1,2001
jor,72.3,2002
jor,72.5,2003
kaz,42.5,1999
kaz,40.8,2001
kaz,41.4,2002
kaz,40.3,2003
kaz,41.1,2004
kir,81.1,2000
kor,36.9,1980
kor,37.7,1981
kor,38.7,1982
kor,39.1,1983
kor,40.0,1984
kor,42.0,1985
kor,42.6,1986
kor,42.5,1987
kor,43.2,1988
kor,43.9,1989
kor,44.7,1990
kor,45.0,1991
kor,46.7,1992
kor,48.4,1993
kor,49.1,1994
kor,49.6,1995
kor,50.7,1996
kor,51.8,1997
kor,54.9,1998
kor,56.1,1999
kor,55.9,2000
kor,57.0,2001
kor,57.7,2002
kor,57.6,2003
kor,58.3,2004
kor,58.5,2005
kor,59.1,2006
kor,59.9,2007
kwt,66.4,1983
kwt,65.3,1988
kgz,35.4,1996
kgz,35.6,1997
kgz,35.6,1998
kgz,34.2,1999
kgz,35.3,2000
kgz,35.6,2001
kgz,35.1,2002
kgz,37.6,2003
kgz,38.4,2004
kgz,37.7,2005
kgz,37.4,2006
lao,14.4,1995
lva,45.6,1996
lva,43.5,1997
lva,45.1,1998
lva,47.8,1999
lva,49.0,2000
lva,46.9,2001
lva,46.7,2002
lva,46.9,2003
lva,47.7,2004
lva,49.0,2005
lva,47.7,2006
lva,47.2,2007
lso,21.6,1996
lso,17.8,1997
lso,12.8,1999
ltu,42.1,1997
ltu,42.5,1998
ltu,43.4,1999
ltu,44.0,2000
ltu,44.4,2001
ltu,44.5,2002
ltu,44.3,2003
ltu,46.1,2004
ltu,46.3,2005
ltu,45.7,2006
ltu,45.9,2007
lux,48.6,1983
lux,50.1,1984
lux,51.2,1985
lux,51.9,1986
lux,52.8,1987
lux,53.3,1988
lux,53.9,1989
lux,54.8,1990
mac,57.3,1989
mac,62.8,1990
mac,65.5,1992
mac,65.8,1993
mac,71.6,1994
mac,69.5,1995
mac,74.0,1996
mac,74.6,1997
mac,69.1,1998
mac,71.8,1999
mac,73.3,2000
mac,72.2,2001
mac,73.2,2002
mac,74.1,2003
mac,75.1,2004
mac,72.9,2005
mac,72.2,2006
mac,72.7,2007
mdg,16.0,2003
mdg,13.4,2005
mys,39.9,1980
mys,39.6,1981
mys,46.0,1982
mys,44.0,1983
mys,45.4,1984
mys,45.9,1985
mys,46.4,1986
mys,46.2,1987
mys,46.1,1988
mys,45.7,1989
mys,46.3,1990
mys,43.2,1991
mys,46.0,1992
mys,45.7,1993
mys,45.6,1995
mys,45.8,1996
mys,45.5,1997
mys,45.8,1998
mys,45.9,1999
mys,45.4,2000
mys,48.2,2001
mys,48.6,2002
mys,49.0,2003
mys,50.1,2004
mys,50.2,2005
mys,49.5,2006
mys,50.8,2007
mdv,49.8,1990
mdv,52.7,1995
mdv,55.8,2000
mdv,57.1,2003
mdv,62.0,2006
mli,32.4,2004
mlt,60.3,2000
mlt,60.8,2001
mlt,63.5,2002
mlt,61.5,2003
mlt,62.7,2004
mlt,60.5,2005
mlt,63.3,2006
mlt,64.8,2007
mhl,55.7,1999
mtq,63.6,1990
mus,48.1,1992
mus,48.7,1994
mus,46.1,1995
mus,50.0,1996
mus,51.2,1997
mus,51.3,1998
mus,51.8,1999
mus,50.9,2001
mus,52.4,2002
mus,53.3,2003
mus,54.1,2004
mus,55.1,2005
mus,54.7,2006
mus,53.9,2007
mex,38.7,1990
mex,41.4,1991
mex,42.0,1993
mex,44.9,1995
mex,46.7,1996
mex,45.9,1997
mex,47.4,1998
mex,45.8,1999
mex,47.2,2000
mex,48.1,2001
mex,49.0,2002
mex,49.9,2003
mex,50.2,2004
mex,47.2,2005
mex,47.3,2006
mex,49.7,2007
mng,36.6,1993
mng,35.2,1994
mng,33.3,1995
mng,32.4,1996
mng,29.7,1997
mng,30.5,1998
mng,31.0,1999
mng,32.6,2000
mng,33.5,2001
mng,37.1,2002
mng,38.9,2003
mng,38.6,2004
mng,38.1,2005
mne,56.6,2003
mne,65.0,2005
msr,45.8,1991
mar,63.8,1990
mar,63.1,1991
mar,63.0,1992
mar,64.4,1993
mar,36.3,1994
mar,62.5,1995
mar,59.8,1996
mar,61.9,1997
mar,62.9,1998
mar,62.6,1999
mar,65.2,2001
mar,39.4,2002
mar,40.0,2003
mar,39.1,2004
mar,39.5,2005
mar,40.8,2006
nam,33.8,1991
nam,42.5,1997
nam,49.4,2000
nam,47.1,2004
npl,19.6,1991
npl,18.3,1999
npl,25.4,2001
nld,54.7,1980
nld,57.2,1982
nld,57.1,1984
nld,59.0,1986
nld,59.6,1988
nld,59.2,1989
nld,59.0,1990
nld,59.8,1991
nld,59.8,1992
nld,60.4,1993
nld,61.2,1994
nld,61.6,1995
nld,61.6,1996
nld,61.2,1997
nld,62.6,1998
nld,63.2,1999
nld,63.5,2000
nld,63.6,2001
nld,64.4,2002
nld,64.6,2003
nld,61.5,2004
nld,61.3,2005
ant,68.3,1983
ant,68.5,1984
ant,68.5,1985
ant,69.0,1986
ant,64.9,1992
ant,64.6,1993
ant,65.2,1994
ant,64.4,1995
ant,65.4,1996
ant,66.7,1997
ant,68.4,1998
ant,69.2,2000
ncl,56.9,1996
nzl,50.3,1986
nzl,51.7,1987
nzl,53.0,1988
nzl,53.8,1989
nzl,54.2,1990
nzl,54.8,1991
nzl,55.6,1992
nzl,55.7,1993
nzl,53.4,1994
nzl,54.2,1995
nzl,53.7,1996
nzl,55.9,1997
nzl,55.9,1998
nzl,56.2,1999
nzl,56.3,2000
nzl,56.1,2001
nzl,56.6,2002
nzl,57.5,2003
nzl,58.2,2004
nzl,59.1,2005
nzl,58.3,2006
nzl,58.4,2007
nic,38.1,2003
nic,38.4,2004
nic,38.1,2005
nic,37.9,2006
nga,51.7,1983
nga,37.6,1986
niu,58.9,2001
mnp,49.3,1990
mnp,78.3,1995
nor,50.0,1980
nor,49.8,1981
nor,51.5,1982
nor,52.6,1983
nor,51.8,1984
nor,52.7,1985
nor,53.1,1986
nor,53.3,1987
nor,54.5,1988
nor,55.5,1989
nor,56.4,1990
nor,57.8,1991
nor,58.3,1992
nor,58.9,1993
nor,58.7,1994
nor,59.0,1995
nor,58.3,1996
nor,58.4,1997
nor,58.6,1998
nor,59.9,1999
nor,61.0,2000
nor,61.1,2001
nor,60.9,2002
nor,61.3,2003
nor,62.3,2004
nor,62.5,2005
nor,62.5,2006
nor,63.1,2007
omn,81.2,1993
omn,84.4,1996
omn,82.4,2000
pak,30.4,1985
pak,28.5,1986
pak,32.2,1987
pak,31.0,1988
pak,31.0,1989
pak,30.9,1990
pak,34.6,1991
pak,34.7,1992
pak,35.9,1993
pak,35.1,1994
pak,36.4,1995
pak,36.4,1996
pak,39.0,1997
pak,38.0,1998
pak,38.0,1999
pak,36.1,2001
pak,40.1,2003
pak,40.5,2005
pak,40.5,2007
pan,39.0,1982
pan,39.9,1983
pan,39.9,1984
pan,37.6,1985
pan,39.1,1986
pan,45.0,1992
pan,46.6,1993
pan,49.2,1994
pan,48.5,1995
pan,49.5,1996
pan,50.4,1997
pan,52.3,1998
pan,52.3,1999
pan,53.7,2000
pan,53.1,2001
pan,54.1,2002
pan,53.2,2003
pan,54.4,2004
pan,56.0,2005
pan,54.4,2006
pan,53.8,2007
pry,63.1,1982
pry,58.8,1983
pry,60.1,1984
pry,58.5,1985
pry,59.6,1986
pry,61.9,1987
pry,62.1,1988
pry,60.6,1989
pry,34.8,1995
pry,41.5,1997
pry,41.0,1998
pry,39.7,1999
pry,40.6,2000
pry,40.1,2001
pry,39.5,2002
pry,42.1,2003
pry,42.6,2007
per,63.0,1987
per,66.1,1990
per,66.7,1995
per,64.3,1996
per,62.7,1997
per,65.7,1998
per,67.3,1999
per,66.7,2000
per,64.9,2001
per,44.7,2002
per,43.8,2003
per,44.6,2004
per,44.6,2005
per,44.7,2006
per,46.4,2007
phl,24.6,1980
phl,26.5,1981
phl,25.4,1982
phl,26.4,1983
phl,26.5,1984
phl,27.3,1985
phl,27.7,1986
phl,28.1,1987
phl,29.1,1988
phl,30.1,1989
phl,30.5,1990
phl,28.7,1991
phl,29.3,1992
phl,29.6,1993
phl,30.0,1994
phl,31.2,1995
phl,47.0,1996
phl,48.3,1997
phl,49.9,1998
phl,48.4,1999
phl,37.0,2000
phl,36.7,2001
phl,36.8,2002
phl,37.2,2003
phl,37.8,2004
phl,38.5,2005
phl,38.7,2006
phl,38.7,2007
pol,35.1,1994
pol,36.1,1995
pol,36.8,1996
pol,38.3,1997
pol,39.3,1998
pol,41.1,1999
pol,40.4,2000
pol,40.4,2001
pol,42.1,2002
pol,42.8,2003
pol,42.9,2004
pol,43.0,2005
pol,43.5,2006
pol,43.6,2007
prt,33.9,1980
prt,34.4,1981
prt,34.5,1982
prt,37.8,1983
prt,39.1,1984
prt,39.3,1985
prt,41.1,1986
prt,39.9,1987
prt,40.5,1988
prt,42.1,1989
prt,43.7,1990
prt,44.6,1991
prt,49.3,1992
prt,48.9,1993
prt,49.1,1994
prt,49.0,1995
prt,49.3,1996
prt,47.1,1997
prt,43.0,1998
prt,44.3,1999
prt,43.9,2000
prt,44.5,2001
prt,44.3,2002
prt,45.2,2003
prt,47.0,2004
prt,47.8,2005
prt,47.8,2006
prt,47.9,2007
pri,64.5,1980
pri,64.9,1981
pri,67.0,1982
pri,66.7,1983
pri,66.9,1984
pri,67.3,1985
pri,67.0,1986
pri,67.6,1987
pri,67.6,1988
pri,66.7,1989
pri,67.8,1991
pri,67.4,1992
pri,67.3,1993
pri,68.3,1994
pri,69.0,1995
pri,70.5,1996
pri,69.5,1997
pri,68.5,1998
pri,68.7,1999
pri,69.1,2000
pri,69.2,2001
pri,70.7,2002
pri,70.9,2003
pri,70.4,2004
pri,71.6,2005
pri,71.5,2006
