geo,murder_total_deaths,time
prt,179,2004
qat,7,2002
qat,8,2004
rou,809,2002
rou,708,2004
rus,47460,2002
rus,42920,2004
rwa,1653,2002
rwa,2405,2004
kna,5,2002
kna,5,2004
lca,11,2002
lca,34,2004
vct,16,2002
vct,19,2004
wsm,2,2002
wsm,2,2004
smr,0,2002
smr,0,2004
stp,7,2002
stp,8,2004
sau,699,2002
sau,743,2004
sen,1081,2002
sen,1632,2004
scg,191,2002
scg,284,2004
syc,3,2002
syc,3,2004
sle,2399,2002
sle,1832,2004
sgp,35,2002
sgp,55,2004
svk,120,2002
svk,107,2004
svn,15,2002
svn,41,2004
slb,10,2002
slb,7,2004
som,3141,2002
som,265,2004
zaf,19330,2002
zaf,32300,2004
esp,420,2002
esp,600,2004
lka,1496,2002
lka,1312,2004
sdn,9989,2002
sdn,10320,2004
sur,18,2002
sur,56,2004
swz,64,2002
swz,235,2004
swe,92,2002
swe,111,2004
che,66,2002
che,68,2004
syr,468,2002
syr,476,2004
tjk,396,2002
tjk,143,2004
tza,8701,2002
tza,9790,2004
tha,5844,2002
tha,4409,2004
tls,130,2002
tls,119,2004
tgo,502,2002
tgo,833,2004
ton,1,2002
ton,1,2004
tto,114,2002
tto,181,2004
tun,188,2002
tun,164,2004
tur,2405,2002
tur,2096,2004
tkm,488,2002
tkm,421,2004
tuv,0,2002
tuv,0,2004
uga,5201,2002
uga,7057,2004
ukr,7557,2002
ukr,5653,2004
are,29,2002
are,19,2004
gbr,628,2002
gbr,1210,2004
usa,15730,2002
usa,17650,2004
ury,189,2002
ury,161,2004
uzb,951,2002
uzb,921,2004
vut,3,2002
vut,2,2004
ven,8891,2002
ven,10300,2004
vnm,3373,2002
vnm,3165,2004
yem,414,2002
yem,510,2004
zmb,391,2002
zmb,2582,2004
zwe,1446,2002
zwe,4284,2004
