geo,improved_sanitation_urban_access_percent,time
bdi,49,2005
bdi,49,2006
bdi,49,2007
bdi,49,2008
bdi,49,2009
bdi,49,2010
khm,36,1990
khm,36,1991
khm,36,1992
khm,36,1993
khm,36,1994
khm,39,1995
khm,41,1996
khm,43,1997
khm,46,1998
khm,48,1999
khm,50,2000
khm,53,2001
khm,55,2002
khm,57,2003
khm,60,2004
khm,62,2005
khm,64,2006
khm,66,2007
khm,69,2008
khm,71,2009
khm,73,2010
cmr,63,1990
cmr,63,1991
cmr,63,1992
cmr,62,1993
cmr,62,1994
cmr,62,1995
cmr,62,1996
cmr,61,1997
cmr,61,1998
cmr,61,1999
cmr,61,2000
cmr,60,2001
cmr,60,2002
cmr,60,2003
cmr,60,2004
cmr,59,2005
cmr,59,2006
cmr,59,2007
cmr,59,2008
cmr,58,2009
cmr,58,2010
can,100,1990
can,100,1991
can,100,1992
can,100,1993
can,100,1994
can,100,1995
can,100,1996
can,100,1997
can,100,1998
can,100,1999
can,100,2000
can,100,2001
can,100,2002
can,100,2003
can,100,2004
can,100,2005
can,100,2006
can,100,2007
can,100,2008
can,100,2009
can,100,2010
cpv,56,1992
cpv,56,1993
cpv,56,1994
cpv,56,1995
cpv,56,1996
cpv,57,1997
cpv,58,1998
cpv,60,1999
cpv,61,2000
cpv,62,2001
cpv,63,2002
cpv,64,2003
cpv,66,2004
cpv,67,2005
cpv,68,2006
cpv,69,2007
cpv,70,2008
cpv,72,2009
cpv,73,2010
cym,96,1990
cym,96,1991
cym,96,1992
cym,96,1993
cym,96,1994
cym,96,1995
cym,96,1996
cym,96,1997
cym,96,1998
cym,96,1999
cym,96,2000
cym,96,2001
cym,96,2002
cym,96,2003
cym,96,2004
cym,96,2005
cym,96,2006
cym,96,2007
cym,96,2008
cym,96,2009
cym,96,2010
caf,21,1990
caf,21,1991
caf,21,1992
caf,22,1993
caf,23,1994
caf,25,1995
caf,26,1996
caf,28,1997
caf,29,1998
caf,30,1999
caf,32,2000
caf,33,2001
caf,35,2002
caf,36,2003
caf,37,2004
caf,39,2005
caf,40,2006
caf,42,2007
caf,43,2008
caf,43,2009
caf,43,2010
tcd,21,1990
tcd,21,1991
tcd,22,1992
tcd,22,1993
tcd,23,1994
tcd,23,1995
tcd,24,1996
tcd,24,1997
tcd,25,1998
tcd,25,1999
tcd,26,2000
tcd,26,2001
tcd,27,2002
tcd,27,2003
tcd,28,2004
tcd,28,2005
tcd,29,2006
tcd,29,2007
tcd,30,2008
tcd,30,2009
tcd,30,2010
chl,91,1990
chl,91,1991
chl,92,1992
chl,92,1993
chl,93,1994
chl,93,1995
chl,94,1996
chl,94,1997
chl,95,1998
chl,95,1999
chl,96,2000
chl,96,2001
chl,96,2002
chl,97,2003
chl,97,2004
chl,98,2005
chl,98,2006
chl,98,2007
chl,98,2008
chl,98,2009
chl,98,2010
chn,48,1990
chn,49,1991
chn,50,1992
chn,52,1993
chn,53,1994
chn,54,1995
chn,56,1996
chn,57,1997
chn,58,1998
chn,60,1999
chn,61,2000
chn,62,2001
chn,64,2002
chn,65,2003
chn,66,2004
chn,68,2005
chn,69,2006
chn,70,2007
chn,71,2008
chn,73,2009
chn,74,2010
col,79,1990
col,79,1991
col,79,1992
col,80,1993
col,80,1994
col,80,1995
col,80,1996
col,80,1997
col,80,1998
col,80,1999
col,81,2000
col,81,2001
col,81,2002
col,81,2003
col,81,2004
col,81,2005
col,81,2006
col,82,2007
col,82,2008
col,82,2009
col,82,2010
com,34,1990
com,34,1991
com,34,1992
com,34,1993
com,34,1994
com,36,1995
com,37,1996
com,38,1997
com,40,1998
com,41,1999
com,42,2000
com,43,2001
com,45,2002
com,46,2003
com,47,2004
com,49,2005
com,50,2006
com,50,2007
com,50,2008
com,50,2009
com,50,2010
cod,23,1990
cod,23,1991
