geo,lung_cancer_deaths_per_100000_women,time
cub,13.74,1998
cub,13.72,1999
cub,14.65,2000
cub,14.62,2001
cub,15.64,2002
cyp,5.3,2002
cze,8.6,1986
cze,9.16,1987
cze,8.72,1988
cze,9.29,1989
cze,9.33,1990
cze,10.49,1991
cze,10.71,1992
cze,10.12,1993
cze,11.23,1994
cze,11.66,1995
cze,11.66,1996
cze,11.31,1997
cze,11.61,1998
cze,12.55,1999
cze,12.53,2000
cze,13.03,2001
cze,12.32,2002
cheslo,4.91,1953
cheslo,5.31,1954
cheslo,5.68,1955
cheslo,5.39,1956
cheslo,5.5,1957
cheslo,5.31,1958
cheslo,5.74,1959
cheslo,5.1,1960
cheslo,5.43,1961
cheslo,5.53,1962
cheslo,5.52,1963
cheslo,6.11,1964
cheslo,5.77,1965
cheslo,5.66,1966
cheslo,5.77,1967
cheslo,5.45,1968
cheslo,6.24,1969
cheslo,5.67,1970
cheslo,5.35,1971
cheslo,5.49,1972
cheslo,5.36,1973
cheslo,5.41,1974
cheslo,5.58,1975
cheslo,5.91,1976
cheslo,5.99,1977
cheslo,6.96,1978
cheslo,6.6,1979
cheslo,6.67,1980
cheslo,6.75,1981
cheslo,6.65,1982
cheslo,7.41,1983
cheslo,7.58,1984
cheslo,7.62,1985
cheslo,7.98,1986
cheslo,8.34,1987
cheslo,7.95,1988
cheslo,8.53,1989
cheslo,8.49,1990
cheslo,9.44,1991
dnk,3.64,1951
dnk,4.25,1952
dnk,4.38,1953
dnk,4.1,1954
dnk,4.61,1955
dnk,3.75,1956
dnk,5.21,1957
dnk,4.45,1958
dnk,4.72,1959
dnk,5.78,1960
dnk,5.37,1961
dnk,5.96,1962
dnk,6.09,1963
dnk,6.41,1964
dnk,6.94,1965
dnk,6.59,1966
dnk,8.38,1967
dnk,7.23,1968
dnk,8.26,1969
dnk,8.75,1970
dnk,9.26,1971
dnk,10.24,1972
dnk,9.22,1973
dnk,9.92,1974
dnk,10.83,1975
dnk,13.22,1976
dnk,11.72,1977
dnk,13.13,1978
dnk,14.64,1979
dnk,14.37,1980
dnk,16.34,1981
dnk,16.03,1982
dnk,19.92,1983
dnk,21.09,1984
dnk,19.84,1985
dnk,19.87,1986
dnk,22.93,1987
dnk,24.08,1988
dnk,21.72,1989
dnk,23.84,1990
dnk,25.8,1991
dnk,24.47,1992
dnk,25.38,1993
dnk,28.3,1994
dnk,28.13,1995
dnk,27.61,1996
dnk,29.39,1997
dnk,27.18,1998
dnk,28.17,1999
dnk,27.35,2000
dnk,28.05,2001
dnk,27.8,2002
dji,2.1,2002
dom,1.26,1965
dom,1.57,1966
dom,2.12,1967
dom,1.97,1968
dom,1.64,1969
dom,0.93,1970
dom,3.02,1971
dom,1.47,1972
dom,1.57,1973
dom,1.75,1974
dom,1.39,1975
dom,1.57,1976
dom,2.82,1977
dom,2.21,1978
dom,1.85,1979
dom,2.27,1980
dom,2.07,1981
dom,2.76,1982
dom,3.38,1983
dom,2.97,1984
dom,1.92,1985
dom,2.77,1986
dom,3.37,1987
dom,3.07,1988
dom,3.65,1989
dom,2.56,1990
dom,3.1,1991
dom,2.84,1992
dom,3.07,1994
