life_expectancy_at_birth_data_from_ihme,geo,time
70.7,chn,1998
71.1,chn,1999
71.5,chn,2000
71.9,chn,2001
72.4,chn,2002
72.9,chn,2003
73.4,chn,2004
73.9,chn,2005
74.4,chn,2006
74.9,chn,2007
75.1,chn,2008
75.6,chn,2009
75.9,chn,2010
76.1,chn,2011
76.3,chn,2012
76.5,chn,2013
70.9,col,1990
70.9,col,1991
71.0,col,1992
71.1,col,1993
71.3,col,1994
71.6,col,1995
71.8,col,1996
72.1,col,1997
72.2,col,1998
72.3,col,1999
72.5,col,2000
72.7,col,2001
72.9,col,2002
73.4,col,2003
73.7,col,2004
74.1,col,2005
74.5,col,2006
74.9,col,2007
75.1,col,2008
75.3,col,2009
75.3,col,2010
75.4,col,2011
75.5,col,2012
75.6,col,2013
56.9,com,1990
57.2,com,1991
57.6,com,1992
58.0,com,1993
58.3,com,1994
58.6,com,1995
58.9,com,1996
59.1,com,1997
59.4,com,1998
59.9,com,1999
60.2,com,2000
60.6,com,2001
60.9,com,2002
61.2,com,2003
61.6,com,2004
61.9,com,2005
62.2,com,2006
62.4,com,2007
62.6,com,2008
62.8,com,2009
63.0,com,2010
63.3,com,2011
63.5,com,2012
63.7,com,2013
53.3,cod,1990
53.2,cod,1991
53.0,cod,1992
52.7,cod,1993
47.3,cod,1994
52.4,cod,1995
51.3,cod,1996
51.9,cod,1997
52.1,cod,1998
52.2,cod,1999
52.5,cod,2000
52.8,cod,2001
52.9,cod,2002
53.3,cod,2003
53.8,cod,2004
54.2,cod,2005
54.6,cod,2006
55.1,cod,2007
55.4,cod,2008
55.8,cod,2009
56.3,cod,2010
56.7,cod,2011
57.1,cod,2012
57.5,cod,2013
55.6,cog,1990
55.1,cog,1991
54.7,cog,1992
54.0,cog,1993
53.3,cog,1994
52.8,cog,1995
52.3,cog,1996
48.3,cog,1997
50.6,cog,1998
51.9,cog,1999
52.6,cog,2000
53.1,cog,2001
53.6,cog,2002
54.5,cog,2003
55.4,cog,2004
56.1,cog,2005
57.2,cog,2006
57.9,cog,2007
58.6,cog,2008
59.6,cog,2009
60.3,cog,2010
60.8,cog,2011
61.3,cog,2012
61.5,cog,2013
76.6,cri,1990
76.6,cri,1991
76.6,cri,1992
76.6,cri,1993
76.6,cri,1994
76.6,cri,1995
76.8,cri,1996
77.0,cri,1997
77.2,cri,1998
77.4,cri,1999
77.7,cri,2000
77.9,cri,2001
78.1,cri,2002
78.3,cri,2003
78.5,cri,2004
78.8,cri,2005
79.2,cri,2006
79.5,cri,2007
79.7,cri,2008
79.6,cri,2009
79.6,cri,2010
79.6,cri,2011
79.7,cri,2012
79.8,cri,2013
56.1,civ,1990
55.7,civ,1991
55.3,civ,1992
54.8,civ,1993
54.3,civ,1994
53.9,civ,1995
53.6,civ,1996
53.3,civ,1997
53.1,civ,1998
53.0,civ,1999
52.8,civ,2000
52.8,civ,2001
52.7,civ,2002
52.9,civ,2003
53.2,civ,2004
53.6,civ,2005
54.4,civ,2006
55.2,civ,2007
55.9,civ,2008
56.5,civ,2009
57.2,civ,2010
57.8,civ,2011
58.2,civ,2012
58.9,civ,2013
72.7,hrv,1990
72.7,hrv,1991
72.9,hrv,1992
73.2,hrv,1993
73.4,hrv,1994
73.5,hrv,1995
73.7,hrv,1996
73.7,hrv,1997
74.0,hrv,1998
74.3,hrv,1999
74.7,hrv,2000
75.1,hrv,2001
75.5,hrv,2002
75.9,hrv,2003
76.2,hrv,2004
76.3,hrv,2005
76.3,hrv,2006
76.3,hrv,2007
76.5,hrv,2008
76.7,hrv,2009
77.2,hrv,2010
77.5,hrv,2011
77.7,hrv,2012
77.8,hrv,2013
74.7,cub,1990
