geo,female_salaried_workers_percent_of_female_labour_force,time
tur,25.4,1994
tur,26.0,1995
tur,26.4,1996
tur,30.0,1997
tur,30.8,1998
tur,29.3,1999
tur,35.3,2000
tur,33.2,2001
tur,37.0,2002
tur,38.1,2003
tur,39.3,2004
tur,43.8,2005
tur,46.7,2006
tur,48.5,2007
tuv,97.5,2002
uga,8.2,2002
uga,7.5,2003
ukr,88.3,1995
ukr,87.2,1996
ukr,81.0,1997
ukr,80.1,1998
ukr,90.9,1999
ukr,89.2,2000
ukr,88.9,2001
ukr,87.4,2002
ukr,87.3,2003
ukr,83.8,2004
ukr,80.6,2005
ukr,80.0,2006
ukr,79.5,2007
are,98.7,2005
gbr,96.1,1980
gbr,95.6,1981
gbr,95.1,1982
gbr,94.6,1983
gbr,92.2,1984
gbr,91.7,1985
gbr,92.0,1986
gbr,91.0,1987
gbr,90.9,1988
gbr,91.1,1989
gbr,91.1,1990
gbr,91.4,1991
gbr,92.0,1992
gbr,92.1,1993
gbr,92.1,1994
gbr,92.2,1995
gbr,92.3,1996
gbr,92.1,1997
gbr,92.2,1998
gbr,92.8,1999
gbr,92.6,2000
gbr,93.0,2001
gbr,93.0,2002
gbr,92.2,2003
gbr,92.2,2004
gbr,92.3,2005
gbr,92.0,2006
gbr,91.9,2007
usa,93.3,1980
usa,93.2,1981
usa,93.0,1982
usa,92.9,1983
usa,93.0,1984
usa,93.2,1985
usa,93.5,1986
usa,93.4,1987
usa,93.2,1988
usa,93.2,1989
usa,93.3,1990
usa,93.2,1991
usa,93.6,1992
usa,93.6,1993
usa,92.9,1994
usa,93.1,1995
usa,93.1,1996
usa,93.3,1997
usa,93.6,1998
usa,93.8,1999
usa,93.9,2000
usa,93.9,2001
usa,94.1,2002
usa,93.9,2003
usa,93.9,2004
usa,94.1,2005
usa,94.0,2006
usa,94.2,2007
ury,77.0,1998
ury,76.6,1999
ury,77.4,2000
ury,75.8,2001
ury,71.2,2002
ury,76.4,2003
ury,76.0,2005
ury,73.2,2006
ury,72.7,2007
ven,70.7,1994
ven,67.9,1995
ven,65.2,1996
ven,65.7,1997
ven,59.5,1998
ven,59.0,1999
ven,58.1,2000
ven,57.0,2001
ven,55.4,2002
ven,54.4,2003
ven,60.1,2006
ven,60.6,2007
vnm,13.5,1996
vnm,15.0,1997
vnm,17.8,1998
vnm,15.2,1999
vnm,15.1,2000
vnm,17.1,2001
vnm,16.9,2002
vnm,17.9,2003
vnm,21.2,2004
pse,58.0,1996
pse,57.8,1997
pse,58.9,1998
pse,56.8,1999
pse,55.9,2000
pse,64.2,2001
pse,61.1,2002
pse,54.9,2003
pse,56.7,2004
pse,56.5,2005
pse,55.0,2006
yem,13.8,1999
zmb,26.8,1980
zmb,14.6,1990
zmb,11.8,1991
zmb,9.0,1996
zmb,8.6,1998
zmb,9.0,2000
zwe,18.2,1994
zwe,22.3,1997
zwe,23.1,1999
zwe,23.1,2002
