geo,gdpperworking_hour_us_inflation_adjusted,time
bra,7.62,1995
bra,8.03,1996
bra,8.26,1997
bra,8.21,1998
bra,8.16,1999
bra,8.05,2000
bra,8.25,2001
bra,8.16,2002
bra,8.09,2003
bra,8.05,2004
bra,7.99,2005
bgr,8.02,1989
bgr,7.78,1990
bgr,8.32,1991
bgr,8.6,1992
bgr,8.61,1993
bgr,8.14,1994
bgr,8.24,1995
bgr,7.41,1996
bgr,7.24,1997
bgr,7.54,1998
bgr,7.84,1999
bgr,7.88,2000
bgr,8.2,2001
bgr,8.56,2002
bgr,8.78,2003
bgr,9.0,2004
bgr,9.34,2005
bgr,9.65,2006
can,19.71,1980
can,20.03,1981
can,20.18,1982
can,20.55,1983
can,21.2,1984
can,21.6,1985
can,21.5,1986
can,21.81,1987
can,21.82,1988
can,21.55,1989
can,21.76,1990
can,22.13,1991
can,22.94,1992
can,23.03,1993
can,23.38,1994
can,23.75,1995
can,23.78,1996
can,24.21,1997
can,24.88,1998
can,25.39,1999
can,25.85,2000
can,26.53,2001
can,26.93,2002
can,26.95,2003
can,27.07,2004
can,27.71,2005
can,27.93,2006
chl,10.76,1980
chl,11.22,1981
chl,9.68,1982
chl,9.01,1983
chl,9.13,1984
chl,8.4,1985
chl,8.47,1986
chl,8.69,1987
chl,8.95,1988
chl,9.54,1989
chl,9.57,1990
chl,9.96,1991
chl,10.82,1992
chl,11.34,1993
chl,11.74,1994
chl,12.88,1995
chl,13.58,1996
chl,14.29,1997
chl,14.54,1998
chl,14.16,1999
chl,14.57,2000
chl,14.39,2001
chl,14.44,2002
chl,14.57,2003
chl,15.16,2004
chl,15.57,2005
col,6.0,1980
col,6.04,1981
col,6.13,1982
col,6.3,1983
col,6.57,1984
col,6.87,1985
col,7.14,1986
col,7.32,1987
col,7.51,1988
col,7.73,1989
col,7.29,1990
col,6.88,1991
col,7.17,1992
col,7.16,1993
col,7.08,1994
col,7.85,1995
col,7.73,1996
col,8.16,1997
col,8.13,1998
col,7.58,1999
col,7.56,2000
col,7.35,2001
col,7.51,2002
col,7.35,2003
col,7.57,2004
col,7.66,2005
cyp,11.93,1987
cyp,13.0,1988
cyp,13.6,1989
cyp,14.38,1990
cyp,14.15,1991
cyp,15.0,1992
cyp,14.69,1993
cyp,15.62,1994
cyp,17.08,1995
cyp,17.19,1996
cyp,17.61,1997
cyp,18.14,1998
cyp,18.25,1999
cyp,18.75,2000
cyp,17.82,2001
cyp,18.03,2002
cyp,17.9,2003
cyp,18.07,2004
cyp,18.33,2005
cyp,18.72,2006
cze,8.46,1989
cze,8.78,1990
cze,8.04,1991
cze,7.89,1992
cze,7.91,1993
cze,8.08,1994
cze,8.41,1995
cze,8.68,1996
cze,8.59,1997
cze,8.63,1998
cze,8.91,1999
cze,9.26,2000
cze,9.88,2001
cze,10.12,2002
cze,10.62,2003
cze,10.98,2004
cze,11.46,2005
cze,12.03,2006
dnk,18.67,1980
dnk,19.13,1981
dnk,19.52,1982
dnk,20.06,1983
dnk,20.69,1984
dnk,21.27,1985
dnk,21.48,1986
dnk,21.92,1987
dnk,22.61,1988
dnk,23.02,1989
dnk,23.63,1990
dnk,24.16,1991
dnk,24.6,1992
dnk,24.95,1993
dnk,26.55,1994
dnk,27.01,1995
dnk,27.6,1996
dnk,27.82,1997
dnk,27.71,1998
dnk,27.95,1999
dnk,28.54,2000
dnk,28.38,2001
dnk,28.64,2002
dnk,29.18,2003
dnk,29.7,2004
dnk,30.1,2005
dnk,30.26,2006
est,12.22,1989
est,11.25,1990
est,10.34,1991
est,9.21,1992
est,8.82,1993
est,9.07,1994
est,9.99,1995
est,10.7,1996
est,11.87,1997
est,12.6,1998
est,12.99,1999
est,14.63,2000
est,15.69,2001
est,16.69,2002
est,17.6,2003
est,18.92,2004
est,20.35,2005
est,21.5,2006
fin,14.21,1980
fin,14.26,1981
fin,14.67,1982
fin,15.16,1983
fin,15.6,1984
fin,16.1,1985
fin,16.72,1986
fin,17.26,1987
fin,17.84,1988
fin,18.72,1989
fin,19.16,1990
fin,19.28,1991
fin,19.9,1992
fin,20.94,1993
fin,21.75,1994
fin,22.2,1995
fin,22.73,1996
fin,23.4,1997
fin,24.27,1998
fin,24.54,1999
fin,25.43,2000
fin,25.96,2001
fin,26.23,2002
fin,26.79,2003
fin,27.61,2004
fin,28.12,2005
fin,29.29,2006
fra,19.78,1980
fra,20.35,1981
fra,21.8,1982
fra,22.28,1983
fra,22.65,1984
fra,23.44,1985
fra,24.02,1986
fra,24.38,1987
fra,25.09,1988
fra,25.79,1989
fra,26.39,1990
fra,26.8,1991
fra,27.43,1992
fra,27.7,1993
fra,28.33,1994
fra,29.13,1995
fra,29.25,1996
fra,29.88,1997
fra,30.67,1998
fra,31.17,1999
fra,32.36,2000
fra,32.65,2001
fra,33.67,2002
fra,34.11,2003
fra,34.26,2004
fra,34.88,2005
fra,35.18,2006
deu,21.64,1989
deu,22.43,1990
deu,22.27,1991
deu,22.84,1992
deu,23.2,1993
deu,23.88,1994
deu,24.5,1995
deu,25.07,1996
deu,25.7,1997
deu,26.0,1998
deu,26.37,1999
deu,27.06,2000
deu,27.55,2001
deu,27.95,2002
deu,28.29,2003
deu,28.49,2004
deu,28.88,2005
deu,29.49,2006
deu_west,20.09,1980
deu_west,20.4,1981
deu_west,20.63,1982
deu_west,21.26,1983
deu_west,22.13,1984
deu_west,22.72,1985
deu_west,23.2,1986
deu_west,23.69,1987
deu_west,24.46,1988
deu_west,25.35,1989
deu_west,26.4,1990
deu_west,27.49,1991
deu_west,27.8,1992
deu_west,28.25,1993
deu_west,29.01,1994
deu_west,30.08,1995
deu_west,31.05,1996
deu_west,32.07,1997
grc,12.85,1980
grc,12.27,1981
grc,12.47,1982
grc,12.43,1983
grc,13.16,1984
grc,13.25,1985
grc,13.52,1986
grc,13.76,1987
grc,14.19,1988
grc,14.44,1989
grc,14.27,1990
grc,15.03,1991
grc,14.7,1992
grc,14.2,1993
grc,14.45,1994
grc,14.7,1995
grc,14.73,1996
grc,15.44,1997
grc,15.24,1998
grc,15.36,1999
grc,15.73,2000
grc,16.36,2001
grc,16.64,2002
grc,17.05,2003
grc,17.91,2004
grc,18.42,2005
grc,18.98,2006
hkg,10.07,1980
hkg,10.29,1981
hkg,10.55,1982
hkg,11.09,1983
hkg,11.84,1984
hkg,11.78,1985
hkg,12.68,1986
hkg,14.03,1987
hkg,14.92,1988
hkg,15.39,1989
hkg,16.02,1990
hkg,16.72,1991
hkg,17.91,1992
hkg,18.64,1993
hkg,19.2,1994
hkg,19.68,1995
hkg,19.44,1996
hkg,19.86,1997
hkg,19.01,1998
hkg,19.84,1999
hkg,21.13,2000
hkg,21.01,2001
hkg,21.59,2002
hkg,22.42,2003
hkg,23.75,2004
hkg,25.08,2005
hun,6.88,1980
hun,6.97,1981
hun,7.57,1982
hun,7.62,1983
hun,8.13,1984
hun,8.05,1985
hun,8.24,1986
hun,8.22,1987
hun,8.45,1988
hun,8.42,1989
hun,8.18,1990
hun,7.82,1991
hun,8.56,1992
hun,9.17,1993
hun,9.11,1994
hun,9.3,1995
hun,9.41,1996
hun,9.77,1997
hun,10.06,1998
hun,10.09,1999
hun,10.48,2000
hun,9.68,2001
hun,10.06,2002
hun,10.49,2003
hun,11.08,2004
hun,11.54,2005
hun,11.94,2006
isl,16.37,1980
isl,16.35,1981
isl,16.25,1982
isl,15.76,1983
isl,16.19,1984
isl,16.15,1985
isl,16.73,1986
isl,17.18,1987
isl,17.58,1988
isl,17.95,1989
isl,18.25,1990
isl,18.18,1991
isl,17.41,1992
isl,17.99,1993
isl,18.63,1994
isl,17.91,1995
isl,18.47,1996
isl,19.6,1997
isl,20.16,1998
isl,19.62,1999
isl,19.97,2000
isl,20.75,2001
isl,21.4,2002
isl,22.01,2003
isl,23.77,2004
isl,24.85,2005
isl,24.29,2006
irl,12.96,1980
irl,13.63,1981
irl,14.05,1982
irl,14.21,1983
irl,15.17,1984
irl,15.67,1985
irl,15.45,1986
irl,16.18,1987
irl,17.04,1988
irl,17.98,1989
irl,18.75,1990
irl,19.48,1991
irl,20.4,1992
irl,20.85,1993
irl,21.36,1994
irl,22.33,1995
irl,23.27,1996
irl,25.62,1997
irl,26.65,1998
irl,28.05,1999
irl,29.29,2000
irl,29.81,2001
irl,31.27,2002
irl,32.55,2003
irl,32.93,2004
irl,33.36,2005
irl,34.14,2006
ita,20.15,1980
ita,20.34,1981
ita,20.47,1982
ita,20.79,1983
ita,21.96,1984
ita,22.16,1985
ita,22.66,1986
ita,23.38,1987
ita,23.79,1988
ita,24.35,1989
ita,24.46,1990
ita,24.46,1991
ita,25.4,1992
ita,25.77,1993
ita,26.81,1994
ita,27.61,1995
ita,27.63,1996
ita,28.0,1997
ita,28.16,1998
ita,28.44,1999
ita,29.22,2000
ita,29.22,2001
ita,29.02,2002
ita,28.68,2003
ita,28.89,2004
ita,29.0,2005
ita,29.28,2006
jam,4.65,1986
jam,4.79,1987
jam,4.73,1988
jam,4.85,1989
jam,5.12,1990
jam,5.07,1991
jam,5.12,1992
jam,5.25,1993
jam,5.18,1994
jam,5.12,1995
jam,5.1,1996
jam,5.08,1997
jam,4.94,1998
jam,5.12,1999
jam,5.22,2000
jam,5.24,2001
jam,4.87,2002
jam,4.83,2003
jam,4.87,2004
jam,4.92,2005
jpn,13.36,1980
jpn,13.77,1981
jpn,14.06,1982
jpn,14.21,1983
jpn,14.59,1984
jpn,15.23,1985
jpn,15.52,1986
jpn,16.01,1987
jpn,16.76,1988
jpn,17.41,1989
jpn,18.29,1990
jpn,18.85,1991
jpn,19.15,1992
jpn,19.76,1993
jpn,20.04,1994
jpn,20.58,1995
jpn,20.96,1996
jpn,21.37,1997
jpn,21.32,1998
jpn,21.84,1999
jpn,22.39,2000
jpn,22.7,2001
jpn,23.19,2002
jpn,23.57,2003
jpn,24.33,2004
jpn,24.84,2005
jpn,25.15,2006
kor,4.51,1980
kor,4.7,1981
kor,4.73,1982
kor,5.28,1983
kor,5.8,1984
kor,5.96,1985
kor,6.56,1986
kor,6.75,1987
kor,7.24,1988
kor,7.55,1989
kor,8.17,1990
kor,8.72,1991
kor,9.13,1992
kor,9.6,1993
kor,10.1,1994
kor,10.66,1995
kor,11.21,1996
kor,11.78,1997
kor,12.13,1998
kor,13.01,1999
kor,13.44,2000
kor,13.77,2001
kor,14.57,2002
kor,15.23,2003
kor,15.92,2004
kor,16.65,2005
kor,17.62,2006
lva,9.3,1989
lva,9.7,1990
lva,8.55,1991
lva,6.27,1992
lva,5.97,1993
lva,6.85,1994
lva,7.6,1995
lva,8.05,1996
lva,8.35,1997
lva,8.73,1998
lva,9.23,1999
lva,10.09,2000
lva,10.72,2001
lva,11.28,2002
lva,11.77,2003
lva,13.01,2004
lva,14.04,2005
lva,15.07,2006
ltu,11.4,1989
ltu,11.07,1990
ltu,10.19,1991
ltu,8.21,1992
ltu,7.18,1993
ltu,6.94,1994
ltu,7.35,1995
ltu,7.66,1996
ltu,8.25,1997
ltu,8.68,1998
ltu,9.02,1999
ltu,9.17,2000
ltu,10.25,2001
ltu,10.74,2002
ltu,11.7,2003
ltu,12.4,2004
ltu,12.58,2005
ltu,13.41,2006
lux,19.99,1980
lux,20.32,1981
lux,20.47,1982
lux,21.35,1983
lux,22.76,1984
lux,23.29,1985
lux,24.7,1986
lux,24.62,1987
lux,26.05,1988
lux,27.74,1989
lux,27.2,1990
lux,28.76,1991
lux,28.8,1992
lux,29.52,1993
lux,30.21,1994
lux,29.6,1995
lux,29.68,1996
lux,30.56,1997
lux,31.31,1998
lux,32.37,1999
lux,33.34,2000
lux,32.25,2001
lux,32.78,2002
lux,33.02,2003
lux,34.06,2004
lux,34.73,2005
lux,34.73,2006
mlt,10.76,1987
mlt,11.42,1988
mlt,12.21,1989
mlt,12.66,1990
mlt,13.09,1991
mlt,14.04,1992
mlt,14.53,1993
mlt,15.12,1994
mlt,15.68,1995
mlt,16.1,1996
mlt,16.88,1997
mlt,17.16,1998
mlt,17.88,1999
mlt,17.31,2000
mlt,17.31,2001
mlt,17.53,2002
mlt,17.45,2003
mlt,17.28,2004
mlt,17.49,2005
mlt,17.94,2006
mex,9.99,1980
mex,10.51,1981
mex,10.09,1982
mex,9.61,1983
mex,9.55,1984
mex,9.35,1985
mex,8.71,1986
mex,8.57,1987
mex,8.38,1988
mex,8.41,1989
mex,8.53,1990
mex,8.6,1991
mex,8.71,1992
mex,8.75,1993
mex,8.82,1994
mex,8.37,1995
mex,7.92,1996
mex,8.17,1997
mex,8.36,1998
mex,8.19,1999
mex,8.73,2000
mex,8.83,2001
mex,8.57,2002
mex,8.74,2003
mex,8.8,2004
mex,8.83,2005
mex,9.19,2006
nld,20.85,1980
nld,20.84,1981
nld,20.94,1982
nld,22.06,1983
nld,22.85,1984
nld,23.18,1985
nld,23.71,1986
nld,24.01,1987
nld,24.56,1988
nld,25.16,1989
nld,25.55,1990
nld,25.9,1991
nld,26.09,1992
nld,26.46,1993
nld,27.42,1994
nld,27.75,1995
nld,27.99,1996
nld,28.49,1997
nld,29.07,1998
nld,29.73,1999
nld,30.27,2000
nld,30.47,2001
nld,30.67,2002
nld,31.09,2003
nld,32.12,2004
nld,32.76,2005
nld,32.96,2006
nzl,13.88,1980
nzl,14.61,1981
nzl,14.75,1982
nzl,15.34,1983
nzl,15.84,1984
nzl,15.53,1985
nzl,15.95,1986
nzl,15.87,1987
nzl,16.38,1988
nzl,17.14,1989
nzl,17.09,1990
nzl,17.32,1991
nzl,17.35,1992
nzl,17.79,1993
nzl,17.9,1994
nzl,17.92,1995
nzl,18.01,1996
nzl,18.36,1997
nzl,18.52,1998
nzl,19.05,1999
nzl,19.22,2000
nzl,19.57,2001
nzl,19.9,2002
nzl,20.17,2003
nzl,20.07,2004
nzl,20.1,2005
nzl,20.33,2006
nor,20.01,1980
nor,20.06,1981
nor,20.25,1982
nor,21.09,1983
nor,22.24,1984
nor,22.86,1985
nor,22.99,1986
nor,23.41,1987
nor,23.49,1988
nor,24.46,1989
nor,25.32,1990
nor,26.41,1991
nor,27.22,1992
nor,27.84,1993
nor,28.89,1994
nor,29.83,1995
nor,30.83,1996
nor,31.68,1997
nor,31.72,1998
nor,32.11,1999
nor,33.39,2000
nor,34.55,2001
nor,35.31,2002
nor,36.44,2003
nor,37.17,2004
nor,37.7,2005
nor,37.99,2006
per,4.16,1990
per,4.1,1992
per,5.86,1998
pol,6.32,1989
pol,6.08,1990
pol,6.11,1991
pol,6.69,1992
pol,7.11,1993
pol,7.04,1994
pol,7.44,1995
pol,7.77,1996
pol,8.16,1997
pol,8.46,1998
pol,9.17,1999
pol,9.71,2000
pol,10.12,2001
pol,10.57,2002
pol,11.07,2003
pol,11.52,2004
pol,11.61,2005
pol,11.92,2006
prt,10.51,1980
prt,10.8,1981
prt,11.12,1982
prt,10.69,1983
prt,10.71,1984
prt,11.14,1985
prt,11.67,1986
prt,12.0,1987
prt,12.6,1988
prt,12.78,1989
prt,12.61,1990
prt,13.31,1991
prt,13.83,1992
prt,13.93,1993
prt,14.31,1994
prt,14.49,1995
prt,15.17,1996
prt,15.83,1997
prt,16.18,1998
prt,16.39,1999
prt,17.15,2000
prt,16.46,2001
prt,16.52,2002
prt,16.7,2003
prt,16.35,2004
prt,16.54,2005
prt,16.57,2006
rou,3.63,1989
rou,3.3,1990
rou,2.94,1991
rou,2.83,1992
rou,2.98,1993
rou,2.91,1994
rou,3.39,1995
rou,3.45,1996
rou,3.34,1997
rou,3.26,1998
rou,3.28,1999
rou,3.29,2000
rou,3.49,2001
rou,4.08,2002
rou,4.33,2003
rou,4.77,2004
rou,4.92,2005
rou,5.18,2006
lca,3.42,1985
lca,3.88,1986
lca,3.9,1987
lca,4.38,1988
lca,4.69,1989
lca,4.99,1990
lca,4.84,1991
lca,4.99,1992
lca,4.66,1993
lca,4.84,1994
lca,4.46,1995
lca,4.89,1996
lca,4.82,1997
lca,5.18,1998
lca,4.93,1999
lca,4.69,2000
lca,4.54,2001
lca,4.96,2002
lca,4.73,2003
lca,5.12,2004
lca,5.66,2005
sgp,8.56,1980
sgp,8.78,1981
sgp,8.88,1982
sgp,9.4,1983
sgp,10.05,1984
sgp,10.17,1985
sgp,10.55,1986
sgp,11.1,1987
sgp,11.76,1988
sgp,12.31,1989
sgp,12.16,1990
sgp,12.14,1991
sgp,12.58,1992
sgp,13.82,1993
sgp,14.73,1994
sgp,16.86,1995
sgp,15.65,1996
sgp,16.14,1997
sgp,15.48,1998
sgp,16.62,1999
sgp,18.59,2000
sgp,16.77,2001
sgp,17.81,2002
sgp,18.49,2003
sgp,19.85,2004
sgp,20.89,2005
svk,8.51,1989
svk,8.36,1990
svk,7.76,1991
svk,8.23,1992
svk,8.39,1993
svk,9.07,1994
svk,9.45,1995
svk,10.09,1996
svk,10.83,1997
svk,11.51,1998
svk,11.79,1999
svk,12.08,2000
svk,12.48,2001
svk,13.46,2002
svk,14.38,2003
svk,14.9,2004
svk,15.31,2005
svk,16.13,2006
svn,12.68,1989
svn,12.38,1990
svn,12.13,1991
svn,12.28,1992
svn,12.86,1993
svn,12.71,1994
svn,13.05,1995
svn,13.72,1996
svn,14.82,1997
svn,15.47,1998
svn,15.97,1999
svn,16.39,2000
svn,16.7,2001
svn,17.22,2002
svn,17.67,2003
svn,18.78,2004
svn,19.49,2005
svn,20.27,2006
esp,14.09,1980
esp,14.79,1981
esp,15.37,1982
esp,16.1,1983
esp,17.22,1984
esp,17.9,1985
esp,18.3,1986
esp,18.55,1987
esp,18.89,1988
esp,19.34,1989
esp,19.73,1990
esp,20.0,1991
esp,20.69,1992
esp,21.5,1993
esp,22.17,1994
esp,22.24,1995
esp,22.21,1996
esp,22.24,1997
esp,22.11,1998
esp,21.91,1999
esp,21.87,2000
esp,21.87,2001
esp,22.08,2002
esp,21.86,2003
esp,21.73,2004
esp,21.67,2005
esp,21.69,2006
swe,19.24,1980
swe,19.31,1981
swe,19.36,1982
swe,19.53,1983
swe,20.13,1984
swe,20.25,1985
swe,20.62,1986
swe,20.96,1987
swe,20.88,1988
swe,21.08,1989
swe,21.22,1990
swe,21.5,1991
swe,21.98,1992
swe,22.49,1993
swe,23.02,1994
swe,23.47,1995
swe,23.87,1996
swe,24.68,1997
swe,25.21,1998
swe,25.67,1999
swe,26.51,2000
swe,26.65,2001
swe,27.54,2002
swe,28.42,2003
swe,29.35,2004
swe,30.0,2005
swe,30.82,2006
che,21.18,1980
che,21.25,1981
che,20.97,1982
che,21.25,1983
che,21.91,1984
che,22.3,1985
che,22.27,1986
che,21.9,1987
che,22.02,1988
che,22.57,1989
che,22.82,1990
che,22.26,1991
che,22.61,1992
che,22.72,1993
che,22.89,1994
che,23.33,1995
che,23.52,1996
che,24.05,1997
che,24.35,1998
che,24.16,1999
che,24.86,2000
che,25.29,2001
che,25.52,2002
che,25.37,2003
che,25.93,2004
che,26.42,2005
che,26.57,2006
twn,6.2,1980
twn,6.82,1981
twn,7.0,1982
twn,7.52,1983
twn,8.17,1984
twn,8.64,1985
twn,9.33,1986
twn,9.64,1987
twn,9.76,1988
twn,9.88,1989
twn,10.24,1990
twn,10.83,1991
twn,11.43,1992
twn,12.08,1993
twn,12.67,1994
twn,13.48,1995
twn,14.35,1996
twn,15.09,1997
twn,15.89,1998
twn,16.63,1999
twn,17.4,2000
twn,18.15,2001
twn,18.67,2002
twn,19.09,2003
twn,19.56,2004
twn,20.19,2005
tto,17.95,1991
tto,17.67,1992
tto,17.3,1993
tto,17.31,1994
tto,17.22,1995
tto,17.72,1996
tto,18.34,1997
tto,18.98,1998
tto,20.01,1999
tto,20.47,2000
tto,20.81,2001
tto,22.21,2002
tto,24.6,2003
tto,24.85,2004
tto,26.52,2005
tur,5.78,1980
tur,6.01,1981
tur,6.27,1982
tur,6.46,1983
tur,6.96,1984
tur,7.09,1985
tur,7.52,1986
tur,8.16,1987
tur,8.39,1988
tur,8.14,1989
tur,8.75,1990
tur,8.48,1991
tur,8.78,1992
tur,9.86,1993
tur,8.78,1994
tur,9.2,1995
tur,9.49,1996
tur,10.27,1997
tur,10.29,1998
tur,9.48,1999
tur,10.15,2000
tur,9.39,2001
tur,10.21,2002
tur,10.9,2003
tur,11.68,2004
tur,12.4,2005
tur,13.0,2006
gbr,16.35,1980
gbr,16.96,1981
gbr,17.66,1982
gbr,18.46,1983
gbr,18.65,1984
gbr,18.98,1985
gbr,19.81,1986
gbr,20.41,1987
gbr,20.59,1988
gbr,20.55,1989
gbr,20.65,1990
gbr,21.18,1991
gbr,22.09,1992
gbr,23.01,1993
gbr,23.66,1994
gbr,24.01,1995
gbr,24.6,1996
gbr,24.96,1997
gbr,25.45,1998
gbr,25.91,1999
gbr,26.73,2000
gbr,27.07,2001
gbr,27.78,2002
gbr,28.57,2003
gbr,29.39,2004
gbr,29.72,2005
gbr,30.43,2006
usa,22.87,1980
usa,23.4,1981
usa,23.3,1982
usa,23.85,1983
usa,24.36,1984
usa,24.74,1985
usa,25.3,1986
usa,25.5,1987
usa,25.8,1988
usa,25.98,1989
usa,26.39,1990
usa,26.71,1991
usa,27.58,1992
usa,27.67,1993
usa,27.92,1994
usa,27.95,1995
usa,28.64,1996
usa,29.08,1997
usa,29.65,1998
usa,30.38,1999
usa,31.1,2000
usa,31.7,2001
usa,32.64,2002
usa,33.62,2003
usa,34.53,2004
usa,35.11,2005
usa,35.63,2006
ussr,7.38,1980
ussr,7.41,1981
ussr,7.55,1982
ussr,7.77,1983
ussr,7.84,1984
ussr,7.89,1985
ussr,8.19,1986
ussr,8.28,1987
ussr,8.44,1988
ussr,8.56,1989
ussr,8.35,1990
ussr,7.86,1991
ussr,6.9,1992
ven,16.07,1980
ven,16.24,1981
ven,15.6,1982
ven,15.22,1983
ven,15.68,1984
ven,15.12,1985
ven,14.77,1986
ven,14.46,1987
ven,14.2,1988
ven,13.91,1989
ven,13.79,1990
ven,14.62,1991
ven,14.99,1992
ven,14.55,1993
ven,13.67,1994
ven,13.73,1995
ven,13.23,1996
ven,13.73,1997
ven,13.36,1998
ven,12.18,1999
ven,12.25,2000
ven,12.35,2001
ven,11.32,2002
ven,10.36,2003
ven,12.12,2004
ven,13.54,2005
