geo,colonandrectum_cancer_deaths_per_100000_women,time
grc,6.54,2001
grc,6.5,2002
gum,7.6,2002
gtm,2.19,1979
gtm,1.52,1980
gtm,1.4,1981
gtm,0.56,1984
gtm,1.51,1986
gtm,1.63,1987
gtm,2.03,1988
gtm,1.47,1989
gtm,1.85,1990
gtm,1.23,1991
gtm,1.66,1992
gtm,1.85,1993
gtm,2.29,1994
gtm,1.72,1995
gtm,2.02,1996
gtm,2.15,1997
gtm,2.6,1998
gtm,2.61,1999
gtm,2.66,2000
gtm,2.43,2001
gtm,2.76,2002
gin,3.0,2002
gnb,3.3,2002
guy,4.7,2002
hti,4.8,2002
hnd,4.8,2002
hkg,7.86,1966
hkg,7.84,1967
hkg,6.8,1968
hkg,8.18,1969
hkg,7.63,1970
hkg,8.5,1971
hkg,9.08,1972
hkg,8.54,1973
hkg,9.14,1974
hkg,8.68,1975
hkg,9.35,1976
hkg,8.38,1977
hkg,9.51,1978
hkg,10.6,1979
hkg,9.68,1980
hkg,9.14,1981
hkg,10.4,1982
hkg,9.94,1983
hkg,10.33,1984
hkg,10.51,1985
hkg,9.89,1986
hkg,11.29,1987
hkg,10.81,1988
hkg,10.67,1989
hkg,10.95,1990
hkg,11.72,1991
hkg,10.97,1992
hkg,10.96,1993
hkg,11.62,1994
hkg,11.56,1995
hkg,12.02,1996
hkg,10.92,1997
hkg,12.32,1998
hkg,11.8,1999
hkg,11.31,2000
hkg,9.94,2001
hkg,11.87,2002
hun,13.43,1970
hun,14.17,1971
hun,15.31,1972
hun,14.73,1973
hun,15.67,1974
hun,15.71,1975
hun,15.76,1976
hun,16.44,1977
hun,17.0,1978
hun,16.25,1979
hun,16.94,1980
hun,17.17,1981
hun,18.39,1982
hun,17.23,1983
hun,17.43,1984
hun,17.59,1985
hun,17.85,1986
hun,18.31,1987
hun,18.15,1988
hun,17.79,1989
hun,18.42,1990
hun,18.53,1991
hun,18.61,1992
hun,18.59,1993
hun,19.1,1994
hun,19.04,1995
hun,18.31,1996
hun,18.42,1997
hun,18.89,1998
hun,18.72,1999
hun,19.26,2000
hun,18.04,2001
hun,17.04,2002
isl,17.86,1971
isl,10.77,1972
isl,7.25,1973
isl,14.93,1974
isl,13.51,1975
isl,11.61,1976
isl,10.48,1977
isl,10.04,1978
isl,10.73,1979
isl,10.81,1980
isl,11.44,1981
isl,12.05,1982
isl,7.25,1983
isl,8.56,1984
isl,10.0,1985
isl,8.27,1986
isl,14.44,1987
isl,10.57,1988
isl,9.47,1989
isl,14.79,1990
isl,8.4,1991
isl,5.63,1992
isl,8.55,1993
isl,8.69,1994
isl,10.81,1995
isl,10.98,1996
isl,8.9,1997
isl,12.64,1998
isl,8.75,1999
isl,11.6,2000
isl,7.71,2001
isl,8.18,2002
ind,2.2,2002
idn,6.7,2002
irn,4.0,2002
irq,2.9,2002
irl,17.35,1955
irl,16.73,1956
irl,16.42,1957
irl,17.29,1958
irl,16.65,1959
irl,17.35,1960
irl,17.47,1961
irl,16.16,1962
irl,16.87,1963
irl,16.62,1964
irl,16.71,1965
irl,18.59,1966
irl,17.86,1967
irl,18.08,1968
irl,18.65,1969
irl,21.3,1970
irl,19.14,1971
irl,18.56,1972
irl,17.75,1973
irl,18.72,1974
irl,20.03,1975
irl,18.97,1976
irl,18.86,1977
irl,18.3,1978
irl,16.67,1979
irl,17.42,1980
irl,15.83,1981
irl,16.54,1982
irl,16.81,1983
irl,17.21,1984
irl,15.49,1985
irl,16.9,1986
irl,16.59,1987
irl,16.95,1988
irl,15.07,1989
irl,13.72,1990
irl,13.44,1991
irl,14.36,1992
irl,12.36,1993
irl,13.12,1994
irl,13.33,1995
irl,11.82,1996
irl,13.95,1997
irl,10.96,1998
irl,11.89,1999
irl,12.26,2000
irl,10.19,2001
irl,10.71,2002
isr,13.13,1975
isr,12.08,1976
isr,12.42,1977
isr,13.78,1978
isr,13.35,1979
isr,12.16,1980
isr,13.49,1981
isr,10.85,1982
isr,13.74,1983
isr,12.23,1984
isr,12.27,1985
isr,12.13,1986
isr,13.1,1987
isr,12.56,1988
isr,11.8,1989
isr,11.77,1990
isr,13.01,1991
isr,13.76,1992
isr,12.83,1993
isr,14.94,1994
isr,12.91,1995
isr,14.16,1996
isr,13.76,1997
isr,12.83,1998
isr,13.03,1999
isr,13.44,2000
isr,13.64,2001
isr,12.29,2002
ita,8.11,1955
ita,8.74,1956
ita,9.04,1957
ita,9.11,1958
ita,9.1,1959
ita,9.89,1960
ita,9.92,1961
ita,9.75,1962
ita,10.17,1963
ita,10.25,1964
ita,10.96,1965
ita,10.42,1966
ita,10.78,1967
ita,11.11,1968
ita,11.46,1969
ita,11.37,1970
ita,11.88,1971
ita,12.25,1972
ita,12.45,1973
ita,12.18,1974
ita,12.41,1975
ita,12.93,1976
ita,12.98,1977
ita,12.73,1978
ita,9.73,1979
ita,9.52,1980
ita,9.88,1981
ita,10.41,1982
ita,10.39,1983
ita,10.18,1984
ita,10.43,1985
ita,10.4,1986
ita,10.31,1987
ita,10.33,1988
ita,10.08,1989
ita,9.93,1990
ita,9.64,1991
ita,9.85,1992
ita,10.1,1993
ita,10.33,1994
ita,9.93,1995
ita,10.03,1996
ita,9.75,1997
ita,9.9,1998
ita,9.36,1999
ita,9.18,2000
ita,9.23,2001
ita,9.23,2002
jam,7.3,2002
jpn,5.54,1955
jpn,5.62,1956
jpn,5.67,1957
jpn,5.94,1958
jpn,5.98,1959
jpn,5.96,1960
jpn,6.19,1961
jpn,6.18,1962
