geo,fixed_line_and_mobile_phone_subscribers_per_100_people,time
pan,8.498,1987
pan,8.531,1988
pan,8.511,1989
pan,8.96,1990
pan,9.322,1991
pan,9.663,1992
pan,10.2,1993
pan,10.98,1994
pan,11.38,1995
pan,12.19,1996
pan,13.82,1997
pan,17.79,1998
pan,24.03,1999
pan,28.46,2000
pan,28.51,2001
pan,29.8,2002
pan,34.43,2003
pan,52.6,2004
pan,66.91,2005
png,0.6106,1975
png,0.6077,1976
png,0.6149,1977
png,0.6771,1978
png,0.7295,1979
png,0.7947,1980
png,0.7795,1981
png,0.7503,1982
png,0.7987,1983
png,0.7904,1984
png,0.825,1985
png,0.7971,1986
png,0.7951,1987
png,0.7896,1988
png,0.7697,1989
png,0.7307,1990
png,0.7991,1991
png,0.8382,1992
png,0.8806,1993
png,0.8728,1994
png,0.927,1995
png,1.015,1996
png,1.166,1997
png,1.224,1998
png,1.275,1999
png,1.364,2000
png,1.31,2001
png,1.362,2002
png,1.386,2003
png,1.883,2004
png,2.285,2005
pry,1.127,1975
pry,1.167,1976
pry,1.247,1977
pry,1.374,1978
pry,1.519,1979
pry,1.59,1980
pry,1.706,1981
pry,1.843,1982
pry,1.989,1983
pry,2.08,1984
pry,2.137,1985
pry,2.168,1986
pry,2.228,1987
pry,2.378,1988
pry,2.524,1989
pry,2.666,1990
pry,2.77,1991
pry,2.903,1992
pry,3.182,1993
pry,3.387,1994
pry,3.807,1995
pry,4.262,1996
pry,6.023,1997
pry,9.601,1998
pry,13.44,1999
pry,20.64,2000
pry,26.37,2001
pry,34.85,2002
pry,36.13,2003
pry,35.46,2004
pry,37.42,2005
pry,59.24,2006
per,1.576,1975
per,1.63,1976
per,1.669,1977
per,1.701,1978
per,1.7,1979
per,1.748,1980
per,1.811,1981
per,1.821,1982
per,1.94,1983
per,2.014,1984
per,2.114,1985
per,2.23,1986
per,2.224,1987
per,2.345,1988
per,2.489,1989
per,2.602,1990
per,2.458,1991
per,2.807,1992
per,3.077,1993
per,3.515,1994
per,4.958,1995
per,6.749,1996
per,8.401,1997
per,9.201,1998
per,10.67,1999
per,11.65,2000
per,12.94,2001
per,15.06,2002
per,17.9,2003
per,22.78,2004
per,28.72,2005
per,39.26,2006
phl,0.6759,1975
phl,0.7038,1976
phl,0.8198,1977
phl,0.8132,1978
phl,0.8302,1979
phl,0.8734,1980
phl,0.898,1981
phl,0.9512,1982
phl,0.9471,1983
phl,0.9524,1984
phl,0.9394,1985
phl,0.962,1986
phl,0.9578,1987
phl,0.9773,1988
phl,0.9887,1989
phl,0.9964,1990
phl,1.089,1991
phl,1.117,1992
phl,1.467,1993
phl,1.91,1994
phl,2.775,1995
phl,3.918,1996
phl,4.78,1997
phl,5.781,1998
phl,7.694,1999
phl,12.49,2000
phl,19.88,2001
phl,23.52,2002
phl,31.85,2003
phl,43.89,2004
phl,45.11,2005
phl,53.91,2006
pol,4.074,1975
pol,4.563,1976
pol,4.816,1977
pol,5.027,1978
pol,5.253,1979
pol,5.461,1980
pol,5.635,1981
pol,5.82,1982
pol,6.062,1983
pol,6.364,1984
pol,6.686,1985
pol,7.009,1986
pol,7.366,1987
pol,7.799,1988
pol,8.23,1989
pol,8.639,1990
pol,9.322,1991
pol,10.27,1992
pol,11.52,1993
pol,13.09,1994
pol,15.04,1995
pol,17.48,1996
pol,21.53,1997
pol,27.78,1998
pol,36.56,1999
pol,46.01,2000
pol,55.96,2001
pol,67.37,2002
pol,77.74,2003
pol,93.37,2004
pol,107.4,2005
pol,126.5,2006
prt,8.556,1975
prt,8.772,1976
prt,9.141,1977
prt,9.461,1978
prt,9.726,1979
prt,10.13,1980
prt,10.73,1981
prt,11.6,1982
prt,12.55,1983
prt,13.26,1984
prt,13.99,1985
prt,15.09,1986
prt,16.57,1987
prt,18.55,1988
prt,22.06,1989
prt,24.11,1990
prt,27.24,1991
prt,30.63,1992
prt,33.7,1993
prt,36.49,1994
prt,39.73,1995
prt,44.61,1996
prt,54.61,1997
prt,71.0,1998
prt,87.49,1999
prt,107.4,2000
prt,120.1,2001
prt,125.2,2002
prt,137.1,2003
prt,139.0,2004
prt,148.6,2005
prt,155.4,2006
pri,8.113,1975
pri,9.074,1976
pri,9.933,1977
pri,10.87,1978
pri,11.91,1979
pri,12.89,1980
pri,13.93,1981
pri,14.46,1982
pri,15.14,1983
pri,16.37,1984
pri,17.57,1985
pri,20.34,1987
pri,22.23,1988
pri,23.52,1989
pri,28.34,1990
pri,29.89,1991
