aid_received_total_us_inflation_adjusted,geo,time
18920000,atg,1977
11640000,atg,1978
9370000,atg,1979
13310000,atg,1980
22080000,atg,1981
12070000,atg,1982
8320000,atg,1983
5980000,atg,1984
6690000,atg,1985
9870000,atg,1986
10480000,atg,1987
15190000,atg,1988
7580000,atg,1989
7190000,atg,1990
10620000,atg,1991
7060000,atg,1992
4670000,atg,1993
5960000,atg,1994
2970000,atg,1995
5100000,atg,1996
6020000,atg,1997
13500000,atg,1998
13090000,atg,1999
13710000,atg,2000
12070000,atg,2001
18220000,atg,2002
7750000,atg,2003
1880000,atg,2004
9410000,atg,2005
3950000,atg,2006
7670000,atg,2007
8550000,atg,2008
5950000,atg,2009
19070000,atg,2010
91670000,arg,1960
194100000,arg,1961
176600000,arg,1962
263700000,arg,1963
60380000,arg,1964
-558500000,arg,1965
-127200000,arg,1966
154500000,arg,1967
196700000,arg,1968
117500000,arg,1969
21640000,arg,1970
153600000,arg,1971
108100000,arg,1972
207400000,arg,1973
145500000,arg,1974
87120000,arg,1975
110500000,arg,1976
90920000,arg,1977
77200000,arg,1978
104000000,arg,1979
36890000,arg,1980
109000000,arg,1981
78460000,arg,1982
124500000,arg,1983
133400000,arg,1984
108600000,arg,1985
181000000,arg,1986
175100000,arg,1987
257500000,arg,1988
368200000,arg,1989
250400000,arg,1990
397000000,arg,1991
360400000,arg,1992
351100000,arg,1993
217600000,arg,1994
173400000,arg,1995
173500000,arg,1996
143700000,arg,1997
106400000,arg,1998
95110000,arg,1999
62550000,arg,2000
240700000,arg,2001
123900000,arg,2002
141400000,arg,2003
109200000,arg,2004
111900000,arg,2005
130300000,arg,2006
106900000,arg,2007
125000000,arg,2008
124400000,arg,2009
121100000,arg,2010
4150000,arm,1991
32670000,arm,1992
160800000,arm,1993
272600000,arm,1994
283100000,arm,1995
384800000,arm,1996
233300000,arm,1997
276200000,arm,1998
293600000,arm,1999
300000000,arm,2000
307200000,arm,2001
417300000,arm,2002
319600000,arm,2003
294800000,arm,2004
193100000,arm,2005
238300000,arm,2006
381700000,arm,2007
307000000,arm,2008
530500000,arm,2009
342800000,arm,2010
38460000,abw,1985
95140000,abw,1986
40960000,abw,1987
36410000,abw,1988
48570000,abw,1989
50550000,abw,1990
41970000,abw,1991
46260000,abw,1992
39760000,abw,1993
27990000,abw,1994
34190000,abw,1995
27000000,abw,1996
38860000,abw,1997
17430000,abw,1998
-11680000,abw,1999
530000,aze,1991
11260000,aze,1992
35920000,aze,1993
220000000,aze,1994
159300000,aze,1995
126800000,aze,1996
260400000,aze,1997
174700000,aze,1998
238900000,aze,1999
196000000,aze,2000
321500000,aze,2001
483000000,aze,2002
380500000,aze,2003
213300000,aze,2004
252700000,aze,2005
235200000,aze,2006
237400000,aze,2007
228800000,aze,2008
232900000,aze,2009
159100000,aze,2010
-390000,bhs,1960
140000,bhs,1963
500000,bhs,1964
560000,bhs,1965
380000,bhs,1966
4750000,bhs,1967
400000,bhs,1968
530000,bhs,1969
520000,bhs,1970
1570000,bhs,1971
7170000,bhs,1972
2300000,bhs,1973
2210000,bhs,1974
2510000,bhs,1975
2190000,bhs,1976
1570000,bhs,1977
3510000,bhs,1978
3180000,bhs,1979
4680000,bhs,1980
4730000,bhs,1981
4740000,bhs,1982
2320000,bhs,1983
26370000,bhs,1984
1860000,bhs,1985
11920000,bhs,1986
1270000,bhs,1987
7240000,bhs,1988
7280000,bhs,1989
4880000,bhs,1990
4150000,bhs,1991
3870000,bhs,1992
1450000,bhs,1993
970000,bhs,1994
5550000,bhs,1995
750000,bhr,1960
8810000,bhr,1961
12190000,bhr,1962
5700000,bhr,1963
5000000,bhr,1964
7180000,bhr,1965
66180000,bhr,1966
390000,bhr,1967
1790000,bhr,1968
1100000,bhr,1969
6170000,bhr,1970
27300000,bhr,1971
15130000,bhr,1972
66340000,bhr,1973
157300000,bhr,1974
95540000,bhr,1975
579000000,bhr,1976
157600000,bhr,1977
240100000,bhr,1978
345200000,bhr,1979
484200000,bhr,1980
479200000,bhr,1981
386000000,bhr,1982
635800000,bhr,1983
539400000,bhr,1984
187100000,bhr,1985
207200000,bhr,1986
15900000,bhr,1987
-4510000,bhr,1988
-3620000,bhr,1989
210100000,bhr,1990
140000000,bhr,1991
112100000,bhr,1992
160700000,bhr,1993
131600000,bhr,1994
124100000,bhr,1995
171800000,bhr,1996
211100000,bhr,1997
285800000,bhr,1998
86830000,bhr,1999
87840000,bhr,2000
107700000,bhr,2001
90210000,bhr,2002
168900000,bhr,2003
68250000,bhr,2004
125100000,bgd,1971
1173000000,bgd,1972
1899000000,bgd,1973
2202000000,bgd,1974
3891000000,bgd,1975
1765000000,bgd,1976
2624000000,bgd,1977
2892000000,bgd,1978
3033000000,bgd,1979
3047000000,bgd,1980
2706000000,bgd,1981
3395000000,bgd,1982
2575000000,bgd,1983
3028000000,bgd,1984
2862000000,bgd,1985
2972000000,bgd,1986
3234000000,bgd,1987
2694000000,bgd,1988
3042000000,bgd,1989
3224000000,bgd,1990
2816000000,bgd,1991
2580000000,bgd,1992
1999000000,bgd,1993
2409000000,bgd,1994
1612000000,bgd,1995
1608000000,bgd,1996
1451000000,bgd,1997
1688000000,bgd,1998
1715000000,bgd,1999
1705000000,bgd,2000
1595000000,bgd,2001
1330000000,bgd,2002
1767000000,bgd,2003
1639000000,bgd,2004
1487000000,bgd,2005
1341000000,bgd,2006
1516000000,bgd,2007
2013000000,bgd,2008
1248000000,bgd,2009
1415000000,bgd,2010
12050000,brb,1966
4220000,brb,1967
6310000,brb,1968
9500000,brb,1969
16010000,brb,1970
28910000,brb,1971
26860000,brb,1972
23650000,brb,1973
16920000,brb,1974
19330000,brb,1975
25970000,brb,1976
19310000,brb,1977
35180000,brb,1978
29770000,brb,1979
32410000,brb,1980
41770000,brb,1981
31790000,brb,1982
41860000,brb,1983
20010000,brb,1984
18730000,brb,1985
8520000,brb,1986
12070000,brb,1987
5290000,brb,1988
3760000,brb,1989
4200000,brb,1990
3420000,brb,1991
160000,brb,1992
5990000,brb,1993
-1070000,brb,1994
-1430000,brb,1995
5660000,brb,1996
6490000,brb,1997
22870000,brb,1998
-3180000,brb,1999
790000,brb,2000
-2810000,brb,2001
4790000,brb,2002
26050000,brb,2003
33720000,brb,2004
-2350000,brb,2005
-2390000,brb,2006
17630000,brb,2007
6740000,brb,2008
11920000,brb,2009
16200000,brb,2010
67420000,blr,2005
86140000,blr,2006
85180000,blr,2007
103600000,blr,2008
98320000,blr,2009
137900000,blr,2010
17490000,blz,1960
26230000,blz,1961
46350000,blz,1962
36070000,blz,1963
10040000,blz,1964
16130000,blz,1965
18970000,blz,1966
43940000,blz,1967
44930000,blz,1968
53980000,blz,1969
43810000,blz,1970
33280000,blz,1971
48290000,blz,1972
25770000,blz,1973
30540000,blz,1974
35460000,blz,1975
48460000,blz,1976
35260000,blz,1977
58330000,blz,1978
58020000,blz,1979
31990000,blz,1980
25940000,blz,1981
29400000,blz,1982
34070000,blz,1983
33790000,blz,1984
47160000,blz,1985
48780000,blz,1986
43520000,blz,1987
42940000,blz,1988
47370000,blz,1989
46490000,blz,1990
32150000,blz,1991
36450000,blz,1992
45140000,blz,1993
43140000,blz,1994
23980000,blz,1995
27300000,blz,1996
19710000,blz,1997
21550000,blz,1998
58790000,blz,1999
23120000,blz,2000
33700000,blz,2001
31940000,blz,2002
15260000,blz,2003
8910000,blz,2004
13720000,blz,2005
9640000,blz,2006
22820000,blz,2007
23170000,blz,2008
27570000,blz,2009
24760000,blz,2010
190000,ben,1960
10540000,ben,1961
28530000,ben,1962
37480000,ben,1963
149400000,ben,1964
141100000,ben,1965
116400000,ben,1966
124500000,ben,1967
99950000,ben,1968
93340000,ben,1969
104000000,ben,1970
184000000,ben,1971
112200000,ben,1972
130400000,ben,1973
144500000,ben,1974
203800000,ben,1975
188600000,ben,1976
162700000,ben,1977
179800000,ben,1978
221300000,ben,1979
206800000,ben,1980
205500000,ben,1981
207500000,ben,1982
227000000,ben,1983
210200000,ben,1984
261100000,ben,1985
288700000,ben,1986
242500000,ben,1987
273100000,ben,1988
476200000,ben,1989
410500000,ben,1990
403600000,ben,1991
407300000,ben,1992
412400000,ben,1993
353400000,ben,1994
349200000,ben,1995
367300000,ben,1996
314400000,ben,1997
290800000,ben,1998
301200000,ben,1999
389800000,ben,2000
445200000,ben,2001
335500000,ben,2002
385800000,ben,2003
465700000,ben,2004
402300000,ben,2005
450000000,ben,2006
487300000,ben,2007
620600000,ben,2008
673800000,ben,2009
689100000,ben,2010
90000,bmu,1964
410000,bmu,1965
460000,bmu,1966
460000,bmu,1967
330000,bmu,1968
80000,bmu,1969
80000,bmu,1970
60000,bmu,1972
160000,bmu,1974
90000,bmu,1975
140000,bmu,1976
290000,bmu,1977
470000,bmu,1978
390000,bmu,1979
640000,bmu,1980
500000,bmu,1981
180000,bmu,1982
180000,bmu,1983
220000,bmu,1984
3040000,bmu,1985
190000,bmu,1986
430000,bmu,1987
70000,bmu,1988
190000,bmu,1989
58940000,bmu,1990
-6770000,bmu,1991
-6380000,bmu,1992
-6280000,bmu,1993
-15580000,bmu,1994
-2230000,bmu,1995
-4580000,bmu,1996
130000,btn,1963
130000,btn,1964
1600000,btn,1965
460000,btn,1966
90000,btn,1967
1280000,btn,1968
900000,btn,1969
1740000,btn,1970
1110000,btn,1971
1280000,btn,1972
3040000,btn,1973
2680000,btn,1974
8250000,btn,1975
12550000,btn,1976
10060000,btn,1977
9160000,btn,1978
13030000,btn,1979
19520000,btn,1980
24360000,btn,1981
29020000,btn,1982
33400000,btn,1983
46040000,btn,1984
63170000,btn,1985
85600000,btn,1986
75390000,btn,1987
69600000,btn,1988
70870000,btn,1989
72010000,btn,1990
95380000,btn,1991
77550000,btn,1992
87920000,btn,1993
94670000,btn,1994
84280000,btn,1995
74460000,btn,1996
92250000,btn,1997
83690000,btn,1998
95770000,btn,1999
83810000,btn,2000
97400000,btn,2001
111200000,btn,2002
101700000,btn,2003
93650000,btn,2004
106000000,btn,2005
118500000,btn,2006
98480000,btn,2007
87910000,btn,2008
127600000,btn,2009
131000000,btn,2010
69150000,bol,1960
140800000,bol,1961
226800000,bol,1962
328100000,bol,1963
249600000,bol,1964
197200000,bol,1965
177400000,bol,1966
161600000,bol,1967
259400000,bol,1968
204400000,bol,1969
176200000,bol,1970
169000000,bol,1971
233800000,bol,1972
136600000,bol,1973
244900000,bol,1974
202700000,bol,1975
225100000,bol,1976
300600000,bol,1977
404100000,bol,1978
394800000,bol,1979
398000000,bol,1980
410400000,bol,1981
366900000,bol,1982
419300000,bol,1983
432900000,bol,1984
482500000,bol,1985
678600000,bol,1986
545500000,bol,1987
715200000,bol,1988
836100000,bol,1989
835300000,bol,1990
745800000,bol,1991
930600000,bol,1992
804900000,bol,1993
764300000,bol,1994
885300000,bol,1995
1062000000,bol,1996
972500000,bol,1997
911700000,bol,1998
807200000,bol,1999
720400000,bol,2000
1142000000,bol,2001
1018000000,bol,2002
1193000000,bol,2003
914200000,bol,2004
745100000,bol,2005
958200000,bol,2006
518400000,bol,2007
613700000,bol,2008
723000000,bol,2009
675000000,bol,2010
20000,bih,1989
20000,bih,1990
10000,bih,1991
25530000,bih,1992
106700000,bih,1993
628300000,bih,1994
1212000000,bih,1995
1141000000,bih,1996
1244000000,bih,1997
1324000000,bih,1998
1875000000,bih,1999
1199000000,bih,2000
1022000000,bih,2001
851800000,bih,2002
705600000,bih,2003
812000000,bih,2004
636900000,bih,2005
603500000,bih,2006
614900000,bih,2007
445800000,bih,2008
416900000,bih,2009
510400000,bih,2010
33080000,bwa,1960
51130000,bwa,1961
47270000,bwa,1962
47440000,bwa,1963
76410000,bwa,1964
82810000,bwa,1965
130500000,bwa,1966
136500000,bwa,1967
135600000,bwa,1968
104800000,bwa,1969
93640000,bwa,1970
110400000,bwa,1971
163100000,bwa,1972
165800000,bwa,1973
161600000,bwa,1974
192000000,bwa,1975
175300000,bwa,1976
158800000,bwa,1977
203600000,bwa,1978
255100000,bwa,1979
242600000,bwa,1980
231700000,bwa,1981
247300000,bwa,1982
262100000,bwa,1983
271700000,bwa,1984
255000000,bwa,1985
226500000,bwa,1986
298900000,bwa,1987
260400000,bwa,1988
280400000,bwa,1989
228600000,bwa,1990
207000000,bwa,1991
167700000,bwa,1992
198700000,bwa,1993
126500000,bwa,1994
119700000,bwa,1995
94990000,bwa,1996
175100000,bwa,1997
148600000,bwa,1998
84930000,bwa,1999
46340000,bwa,2000
45820000,bwa,2001
50470000,bwa,2002
35060000,bwa,2003
58980000,bwa,2004
55170000,bwa,2005
76170000,bwa,2006
109700000,bwa,2007
693600000,bwa,2008
281000000,bwa,2009
156100000,bwa,2010
115300000,bra,1960
1640000000,bra,1961
1019000000,bra,1962
1414000000,bra,1963
1500000000,bra,1964
1724000000,bra,1965
2062000000,bra,1966
1289000000,bra,1967
1371000000,bra,1968
982000000,bra,1969
932400000,bra,1970
723400000,bra,1971
687500000,bra,1972
483400000,bra,1973
664100000,bra,1974
608000000,bra,1975
392400000,bra,1976
264000000,bra,1977
306200000,bra,1978
262000000,bra,1979
191600000,bra,1980
591000000,bra,1981
565000000,bra,1982
277600000,bra,1983
436800000,bra,1984
381800000,bra,1985
364700000,bra,1986
486900000,bra,1987
337400000,bra,1988
320600000,bra,1989
225800000,bra,1990
235700000,bra,1991
-389500000,bra,1992
267500000,bra,1993
323800000,bra,1994
314800000,bra,1995
339500000,bra,1996
356000000,bra,1997
389400000,bra,1998
160700000,bra,1999
312700000,bra,2000
359300000,bra,2001
308200000,bra,2002
259500000,bra,2003
182200000,bra,2004
280600000,bra,2005
128000000,bra,2006
321100000,bra,2007
453600000,bra,2008
323600000,bra,2009
661300000,bra,2010
70000,brn,1960
3680000,brn,1961
5380000,brn,1962
290000,brn,1963
520000,brn,1964
570000,brn,1965
570000,brn,1966
490000,brn,1967
220000,brn,1968
210000,brn,1969
80000,brn,1970
300000,brn,1971
110000,brn,1972
690000,brn,1973
770000,brn,1974
620000,brn,1975
460000,brn,1976
290000,brn,1977
290000,brn,1978
240000,brn,1979
50000,brn,1980
470000,brn,1981
750000,brn,1982
1170000,brn,1983
2150000,brn,1984
3750000,brn,1985
4840000,brn,1986
5330000,brn,1987
6580000,brn,1988
6800000,brn,1989
5920000,brn,1990
5100000,brn,1991
7020000,brn,1992
5830000,brn,1993
5580000,brn,1994
4020000,brn,1995
1590000,bfa,1960
13980000,bfa,1961
39900000,bfa,1962
36560000,bfa,1963
126800000,bfa,1964
139200000,bfa,1965
133100000,bfa,1966
141900000,bfa,1967
166300000,bfa,1968
169600000,bfa,1969
151500000,bfa,1970
181000000,bfa,1971
190900000,bfa,1972
281100000,bfa,1973
434800000,bfa,1974
328200000,bfa,1975
286200000,bfa,1976
368100000,bfa,1977
451700000,bfa,1978
495900000,bfa,1979
478300000,bfa,1980
531800000,bfa,1981
545600000,bfa,1982
474300000,bfa,1983
490100000,bfa,1984
487500000,bfa,1985
584900000,bfa,1986
494100000,bfa,1987
505500000,bfa,1988
477200000,bfa,1989
501800000,bfa,1990
641000000,bfa,1991
617000000,bfa,1992
694400000,bfa,1993
618900000,bfa,1994
625000000,bfa,1995
546000000,bfa,1996
536400000,bfa,1997
583300000,bfa,1998
584800000,bfa,1999
320200000,bfa,2000
657000000,bfa,2001
681900000,bfa,2002
708600000,bfa,2003
760600000,bfa,2004
804000000,bfa,2005
1015000000,bfa,2006
977800000,bfa,2007
965400000,bfa,2008
1079000000,bfa,2009
1062000000,bfa,2010
77040000,bdi,1960
73000000,bdi,1961
103400000,bdi,1962
56610000,bdi,1963
72830000,bdi,1964
41990000,bdi,1965
71850000,bdi,1966
83110000,bdi,1967
100400000,bdi,1968
111500000,bdi,1969
124900000,bdi,1970
140300000,bdi,1971
150500000,bdi,1972
135900000,bdi,1973
166400000,bdi,1974
179000000,bdi,1975
165400000,bdi,1976
155100000,bdi,1977
205800000,bdi,1978
234100000,bdi,1979
265400000,bdi,1980
311200000,bdi,1981
329000000,bdi,1982
368300000,bdi,1983
379400000,bdi,1984
384400000,bdi,1985
417300000,bdi,1986
359600000,bdi,1987
347100000,bdi,1988
365400000,bdi,1989
403700000,bdi,1990
388500000,bdi,1991
437700000,bdi,1992
314900000,bdi,1993
433800000,bdi,1994
363600000,bdi,1995
147800000,bdi,1996
83680000,bdi,1997
104300000,bdi,1998
112100000,bdi,1999
149600000,bdi,2000
236200000,bdi,2001
264000000,bdi,2002
295600000,bdi,2003
429300000,bdi,2004
416100000,bdi,2005
478700000,bdi,2006
488500000,bdi,2007
505400000,bdi,2008
558400000,bdi,2009
629900000,bdi,2010
173000000,khm,1960
153900000,khm,1961
139600000,khm,1962
149400000,khm,1963
89880000,khm,1964
74460000,khm,1965
88550000,khm,1966
105900000,khm,1967
74900000,khm,1968
97300000,khm,1969
145000000,khm,1970
219400000,khm,1971
327800000,khm,1972
599200000,khm,1973
1133000000,khm,1974
272900000,khm,1975
2710000,khm,1976
1150000,khm,1977
750000,khm,1978
287300000,khm,1979
627700000,khm,1980
269300000,khm,1981
86150000,khm,1982
86460000,khm,1983
45730000,khm,1984
32540000,khm,1985
28830000,khm,1986
25860000,khm,1987
32270000,khm,1988
41760000,khm,1989
65960000,khm,1990
137600000,khm,1991
287200000,khm,1992
434900000,khm,1993
427700000,khm,1994
670000000,khm,1995
543600000,khm,1996
475000000,khm,1997
489800000,khm,1998
398200000,khm,1999
583200000,khm,2000
639400000,khm,2001
713000000,khm,2002
666800000,khm,2003
575400000,khm,2004
621000000,khm,2005
609500000,khm,2006
718500000,khm,2007
749800000,khm,2008
741100000,khm,2009
733700000,khm,2010
3600000,cmr,1960
63040000,cmr,1961
80990000,cmr,1962
72360000,cmr,1963
226400000,cmr,1964
256000000,cmr,1965
371000000,cmr,1966
291700000,cmr,1967
365400000,cmr,1968
270800000,cmr,1969
400400000,cmr,1970
304000000,cmr,1971
353900000,cmr,1972
290200000,cmr,1973
273800000,cmr,1974
406000000,cmr,1975
494500000,cmr,1976
614200000,cmr,1977
510800000,cmr,1978
683100000,cmr,1979
604000000,cmr,1980
490900000,cmr,1981
561400000,cmr,1982
341200000,cmr,1983
524500000,cmr,1984
428300000,cmr,1985
481100000,cmr,1986
367300000,cmr,1987
489000000,cmr,1988
830600000,cmr,1989
688400000,cmr,1990
789800000,cmr,1991
1015000000,cmr,1992
799700000,cmr,1993
1036000000,cmr,1994
567200000,cmr,1995
528900000,cmr,1996
717200000,cmr,1997
731500000,cmr,1998
629400000,cmr,1999
597200000,cmr,2000
748700000,cmr,2001
953800000,cmr,2002
1142000000,cmr,2003
925700000,cmr,2004
475400000,cmr,2005
1910000000,cmr,2006
1936000000,cmr,2007
526600000,cmr,2008
642100000,cmr,2009
540500000,cmr,2010
32660000,cpv,1961
25500000,cpv,1966
7240000,cpv,1967
80000,cpv,1969
32210000,cpv,1975
85400000,cpv,1976
82970000,cpv,1977
99170000,cpv,1978
77620000,cpv,1979
140400000,cpv,1980
121400000,cpv,1981
128300000,cpv,1982
147800000,cpv,1983
175000000,cpv,1984
178700000,cpv,1985
232700000,cpv,1986
155500000,cpv,1987
141400000,cpv,1988
156600000,cpv,1989
170100000,cpv,1990
158800000,cpv,1991
164200000,cpv,1992
172100000,cpv,1993
174500000,cpv,1994
149400000,cpv,1995
154000000,cpv,1996
162500000,cpv,1997
192600000,cpv,1998
200300000,cpv,1999
152300000,cpv,2000
128300000,cpv,2001
141900000,cpv,2002
194000000,cpv,2003
171600000,cpv,2004
189100000,cpv,2005
156000000,cpv,2006
168100000,cpv,2007
212200000,cpv,2008
192400000,cpv,2009
327900000,cpv,2010
8730000,cym,1974
6210000,cym,1975
8530000,cym,1976
5790000,cym,1977
11150000,cym,1978
2000000,cym,1979
3290000,cym,1980
2450000,cym,1981
1400000,cym,1982
920000,cym,1983
890000,cym,1984
170000,cym,1985
4090000,cym,1986
3790000,cym,1987
19350000,cym,1988
2220000,cym,1989
4410000,cym,1990
-340000,cym,1991
180000,cym,1992
-420000,cym,1993
-1540000,cym,1994
-590000,cym,1995
-2300000,cym,1996
300000,caf,1960
4180000,caf,1961
10950000,caf,1962
19460000,caf,1963
137400000,caf,1964
127200000,caf,1965
120900000,caf,1966
155900000,caf,1967
128200000,caf,1968
141600000,caf,1969
99810000,caf,1970
98750000,caf,1971
143300000,caf,1972
125300000,caf,1973
169000000,caf,1974
205200000,caf,1975
145100000,caf,1976
152900000,caf,1977
146500000,caf,1978
209400000,caf,1979
246900000,caf,1980
256900000,caf,1981
239700000,caf,1982
256900000,caf,1983
373200000,caf,1984
291600000,caf,1985
288100000,caf,1986
326500000,caf,1987
352200000,caf,1988
331800000,caf,1989
379900000,caf,1990
259400000,caf,1991
246600000,caf,1992
245600000,caf,1993
232200000,caf,1994
194600000,caf,1995
211300000,caf,1996
125200000,caf,1997
170700000,caf,1998
168500000,caf,1999
109700000,caf,2000
120400000,caf,2001
89830000,caf,2002
66830000,caf,2003
129000000,caf,2004
102000000,caf,2005
148600000,caf,2006
179300000,caf,2007
251200000,caf,2008
240200000,caf,2009
261000000,caf,2010
300000,tcd,1960
34730000,tcd,1961
56030000,tcd,1962
54790000,tcd,1963
135900000,tcd,1964
145600000,tcd,1965
146700000,tcd,1966
151300000,tcd,1967
150800000,tcd,1968
170500000,tcd,1969
157300000,tcd,1970
197900000,tcd,1971
175200000,tcd,1972
223600000,tcd,1973
350400000,tcd,1974
251000000,tcd,1975
222600000,tcd,1976
282500000,tcd,1977
361500000,tcd,1978
221800000,tcd,1979
83210000,tcd,1980
153300000,tcd,1981
169400000,tcd,1982
241500000,tcd,1983
316700000,tcd,1984
493800000,tcd,1985
351100000,tcd,1986
375200000,tcd,1987
460200000,tcd,1988
449500000,tcd,1989
475100000,tcd,1990
397300000,tcd,1991
333600000,tcd,1992
326000000,tcd,1993
299000000,tcd,1994
294400000,tcd,1995
381900000,tcd,1996
323500000,tcd,1997
250200000,tcd,1998
271000000,tcd,1999
206600000,tcd,2000
307000000,tcd,2001
348800000,tcd,2002
328300000,tcd,2003
394100000,tcd,2004
442900000,tcd,2005
324100000,tcd,2006
368500000,tcd,2007
405400000,tcd,2008
557000000,tcd,2009
486000000,tcd,2010
115700000,chl,1960
691200000,chl,1961
955000000,chl,1962
905700000,chl,1963
819300000,chl,1964
644900000,chl,1965
872400000,chl,1966
655600000,chl,1967
492200000,chl,1968
522100000,chl,1969
381500000,chl,1970
272700000,chl,1971
261200000,chl,1972
220800000,chl,1973
121600000,chl,1974
434400000,chl,1975
29630000,chl,1976
33150000,chl,1977
30730000,chl,1978
-62950000,chl,1979
-22590000,chl,1980
-9610000,chl,1981
-5400000,chl,1982
15370000,chl,1983
20950000,chl,1984
108700000,chl,1985
2760000,chl,1986
39810000,chl,1987
75690000,chl,1988
115100000,chl,1989
159400000,chl,1990
183800000,chl,1991
184400000,chl,1992
250900000,chl,1993
205200000,chl,1994
173800000,chl,1995
238800000,chl,1996
172200000,chl,1997
145600000,chl,1998
93110000,chl,1999
76180000,chl,2000
121100000,chl,2001
7500000,chl,2002
111500000,chl,2003
64640000,chl,2004
194600000,chl,2005
115400000,chl,2006
109600000,chl,2007
104000000,chl,2008
79210000,chl,2009
197500000,chl,2010
43010000,chn,1979
151500000,chn,1980
1165000000,chn,1981
1435000000,chn,1982
1756000000,chn,1983
2103000000,chn,1984
2468000000,chn,1985
2187000000,chn,1986
2408000000,chn,1987
3107000000,chn,1988
3382000000,chn,1989
3071000000,chn,1990
2817000000,chn,1991
4053000000,chn,1992
4260000000,chn,1993
3914000000,chn,1994
3873000000,chn,1995
3191000000,chn,1996
2760000000,chn,1997
3334000000,chn,1998
3052000000,chn,1999
2308000000,chn,2000
2241000000,chn,2001
2110000000,chn,2002
1719000000,chn,2003
2000000000,chn,2004
2127000000,chn,2005
1478000000,chn,2006
1605000000,chn,2007
1456000000,chn,2008
1117000000,chn,2009
646100000,chn,2010
-76490000,col,1960
254400000,col,1961
281000000,col,1962
442300000,col,1963
343500000,col,1964
212800000,col,1965
529000000,col,1966
621800000,col,1967
1107000000,col,1968
629800000,col,1969
818500000,col,1970
639100000,col,1971
563000000,col,1972
617800000,col,1973
