geo,oil_production_per_person,time
brn,21.04,2010
brn,19.89,2011
can,2.23,1965
can,2.401,1966
can,2.571,1967
can,2.729,1968
can,2.915,1969
can,3.226,1970
can,3.409,1971
can,3.881,1972
can,4.436,1973
can,4.126,1974
can,3.525,1975
can,3.216,1976
can,3.189,1977
can,3.136,1978
can,3.558,1979
can,3.396,1980
can,3.042,1981
can,2.981,1982
can,3.109,1983
can,3.282,1984
can,3.316,1985
can,3.274,1986
can,3.4,1987
can,3.529,1988
can,3.389,1989
can,3.349,1990
can,3.323,1991
can,3.423,1992
can,3.563,1993
can,3.678,1994
can,3.819,1995
can,3.903,1996
can,4.044,1997
can,4.154,1998
can,3.982,1999
can,4.14,2000
can,4.071,2001
can,4.315,2002
can,4.513,2003
can,4.62,2004
can,4.489,2005
can,4.7,2006
can,4.809,2007
can,4.678,2008
can,4.634,2009
can,4.832,2010
can,5.026,2011
tcd,0.1352,2003
tcd,0.9324,2004
tcd,0.9307,2005
tcd,0.7976,2006
tcd,0.7269,2007
tcd,0.628,2008
tcd,0.5657,2009
tcd,0.5703,2010
tcd,0.5181,2011
chn,0.01592,1965
chn,0.02,1966
chn,0.01856,1967
chn,0.02078,1968
chn,0.02744,1969
chn,0.03762,1970
chn,0.04712,1971
chn,0.05324,1972
chn,0.06104,1973
chn,0.07226,1974
chn,0.08421,1975
chn,0.09365,1976
chn,0.09912,1977
chn,0.1087,1978
chn,0.1094,1979
chn,0.1078,1980
chn,0.1016,1981
chn,0.1011,1982
chn,0.1035,1983
chn,0.1102,1984
chn,0.1182,1985
chn,0.1217,1986
chn,0.1228,1987
chn,0.1234,1988
chn,0.122,1989
chn,0.1208,1990
chn,0.1215,1991
chn,0.1209,1992
chn,0.1212,1993
chn,0.1216,1994
chn,0.1228,1995
chn,0.1293,1996
chn,0.1294,1997
chn,0.1282,1998
chn,0.1272,1999
chn,0.1281,2000
chn,0.129,2001
chn,0.1298,2002
chn,0.1311,2003
chn,0.1338,2004
chn,0.1387,2005
chn,0.1406,2006
chn,0.141,2007
chn,0.1434,2008
chn,0.1419,2009
chn,0.1514,2010
chn,0.1511,2011
col,0.5742,1965
col,0.5467,1966
col,0.5124,1967
col,0.4577,1968
col,0.5405,1969
col,0.5513,1970
col,0.5341,1971
col,0.4726,1972
col,0.4344,1973
col,0.3874,1974
col,0.3547,1975
col,0.3239,1976
col,0.2976,1977
col,0.2765,1978
col,0.2542,1979
col,0.2531,1980
col,0.264,1981
col,0.2721,1982
col,0.2856,1983
col,0.3072,1984
col,0.3174,1985
col,0.5241,1986
col,0.6511,1987
col,0.6265,1988
col,0.6561,1989
col,0.7039,1990
col,0.667,1991
col,0.6745,1992
col,0.6838,1993
col,0.6738,1994
col,0.8508,1995
col,0.8989,1996
col,0.9222,1997
col,1.051,1998
col,1.118,1999
col,0.9325,2000
col,0.8059,2001
col,0.7597,2002
col,0.7011,2003
col,0.6763,2004
col,0.6653,2005
col,0.66,2006
col,0.6529,2007
col,0.711,2008
col,0.7847,2009
col,0.905,2010
col,1.038,2011
cog,0.06132,1965
cog,0.05208,1966
cog,0.2368,1972
cog,1.429,1973
cog,1.627,1974
cog,1.151,1975
cog,1.311,1976
cog,0.9941,1977
cog,1.432,1978
cog,1.581,1979
cog,1.762,1980
cog,2.214,1981
cog,2.387,1982
cog,2.731,1983
cog,2.979,1984
cog,2.853,1985
cog,2.78,1986
cog,2.87,1987
cog,3.111,1988
cog,3.424,1989
cog,3.361,1990
cog,3.282,1991
cog,3.428,1992
cog,3.685,1993
cog,3.596,1994
cog,3.391,1995
cog,3.686,1996
cog,4.008,1997
cog,4.574,1998
cog,4.493,1999
cog,4.19,2000
cog,3.75,2001
cog,3.738,2002
cog,3.323,2003
cog,3.353,2004
cog,3.576,2005
cog,3.949,2006
cog,3.094,2007
cog,3.19,2008
cog,3.611,2009
cog,3.731,2010
cog,3.679,2011
dnk,0.01959,1972
dnk,0.02915,1973
dnk,0.01934,1974
dnk,0.02889,1975
dnk,0.03848,1976
dnk,0.09564,1977
dnk,0.07632,1978
dnk,0.07618,1979
dnk,0.05723,1980
dnk,0.1426,1981
dnk,0.3234,1982
dnk,0.4093,1983
dnk,0.449,1984
dnk,0.5718,1985
dnk,0.7051,1986
dnk,0.8857,1987
dnk,0.9158,1988
dnk,1.064,1989
dnk,1.147,1990
dnk,1.342,1991
dnk,1.483,1992
dnk,1.577,1993
dnk,1.73,1994
dnk,1.732,1995
dnk,1.934,1996
dnk,2.124,1997
dnk,2.188,1998
dnk,2.739,1999
dnk,3.322,2000
dnk,3.166,2001
dnk,3.366,2002
dnk,3.331,2003
dnk,3.529,2004
dnk,3.39,2005
dnk,3.062,2006
dnk,2.773,2007
dnk,2.553,2008
dnk,2.335,2009
dnk,2.19,2010
dnk,1.961,2011
ecu,0.08332,1965
ecu,0.07076,1966
ecu,0.05886,1967
ecu,0.04774,1968
ecu,0.03697,1969
ecu,0.0359,1970
ecu,0.03486,1971
ecu,0.6619,1972
ecu,1.718,1973
ecu,1.414,1974
ecu,1.249,1975
ecu,1.421,1976
ecu,1.345,1977
ecu,1.447,1978
ecu,1.49,1979
ecu,1.386,1980
ecu,1.39,1981
ecu,1.353,1982
ecu,1.485,1983
ecu,1.574,1984
ecu,1.675,1985
ecu,1.702,1986
ecu,0.9823,1987
ecu,1.685,1988
ecu,1.52,1989
ecu,1.513,1990
ecu,1.554,1991
ecu,1.628,1992
ecu,1.71,1993
ecu,1.844,1994
ecu,1.845,1995
ecu,1.807,1996
ecu,1.791,1997
ecu,1.709,1998
ecu,1.674,1999
ecu,1.765,2000
ecu,1.761,2001
ecu,1.668,2002
ecu,1.747,2003
ecu,2.162,2004
ecu,2.145,2005
ecu,2.126,2006
ecu,1.999,2007
ecu,1.95,2008
ecu,1.847,2009
ecu,1.821,2010
ecu,1.845,2011
egy,0.2039,1965
egy,0.192,1966
egy,0.167,1967
egy,0.2504,1968
egy,0.3504,1969
egy,0.4566,1970
egy,0.4068,1971
egy,0.2853,1972
egy,0.2208,1973
egy,0.1898,1974
egy,0.2924,1975
egy,0.4048,1976
egy,0.4981,1977
egy,0.5869,1978
egy,0.5952,1979
egy,0.6625,1980
egy,0.6986,1981
egy,0.7068,1982
egy,0.7546,1983
egy,0.846,1984
egy,0.8896,1985
egy,0.7926,1986
egy,0.8699,1987
egy,0.8126,1988
egy,0.7998,1989
egy,0.8004,1990
egy,0.7837,1991
egy,0.7793,1992
egy,0.7918,1993
egy,0.7618,1994
egy,0.7506,1995
egy,0.7142,1996
egy,0.6821,1997
egy,0.6578,1998
egy,0.6224,1999
egy,0.5736,2000
egy,0.5421,2001
egy,0.5267,2002
egy,0.5141,2003
egy,0.4858,2004
egy,0.4569,2005
egy,0.4453,2006
egy,0.4433,2007
egy,0.4423,2008
egy,0.4423,2009
egy,0.4318,2010
egy,0.4259,2011
gnq,0.2484,1992
gnq,0.5985,1993
gnq,0.5786,1994
gnq,0.7834,1995
gnq,1.846,1996
gnq,6.289,1997
gnq,8.423,1998
gnq,9.826,1999
gnq,8.684,2000
gnq,16.32,2001
gnq,20.57,2002
gnq,23.04,2003
gnq,29.54,2004
gnq,29.17,2005
gnq,27.07,2006
gnq,26.94,2007
gnq,26.01,2008
gnq,22.33,2009
gnq,19.37,2010
gnq,17.32,2011
gab,2.521,1965
gab,2.861,1966
gab,6.755,1967
gab,9.012,1968
gab,9.642,1969
gab,10.24,1970
gab,10.74,1971
gab,11.42,1972
gab,13.44,1973
gab,17.59,1974
gab,19.0,1975
gab,18.52,1976
gab,17.95,1977
gab,16.43,1978
gab,14.77,1979
gab,13.03,1980
gab,10.89,1981
gab,10.76,1982
gab,10.54,1983
gab,11.34,1984
gab,10.87,1985
gab,10.13,1986
gab,9.149,1987
gab,10.2,1988
gab,11.37,1989
gab,14.52,1990
gab,15.33,1991
gab,14.58,1992
gab,14.87,1993
gab,15.95,1994
gab,16.33,1995
gab,16.32,1996
gab,15.84,1997
gab,14.3,1998
gab,14.07,1999
gab,13.26,2000
gab,11.89,2001
gab,11.41,2002
gab,9.108,2003
gab,8.741,2004
gab,8.536,2005
gab,8.398,2006
gab,8.067,2007
gab,8.113,2008
gab,7.773,2009
gab,8.292,2010
gab,7.973,2011
ind,0.006088,1965
ind,0.009164,1966
ind,0.01094,1967
ind,0.01105,1968
ind,0.01241,1969
ind,0.01229,1970
ind,0.01268,1971
ind,0.01271,1972
ind,0.01213,1973
ind,0.01233,1974
ind,0.01331,1975
ind,0.01359,1976
ind,0.01561,1977
ind,0.01687,1978
ind,0.01877,1979
ind,0.01343,1980
ind,0.0209,1981
ind,0.02712,1982
ind,0.03381,1983
ind,0.03675,1984
ind,0.0385,1985
ind,0.03943,1986
ind,0.03743,1987
ind,0.03854,1988
ind,0.04026,1989
ind,0.03911,1990
ind,0.03608,1991
ind,0.03207,1992
ind,0.03003,1993
ind,0.03421,1994
ind,0.038,1995
ind,0.03542,1996
ind,0.03557,1997
ind,0.03407,1998
ind,0.0334,1999
ind,0.03242,2000
ind,0.03182,2001
ind,0.03237,2002
ind,0.032,2003
ind,0.03236,2004
ind,0.03036,2005
ind,0.03092,2006
ind,0.03078,2007
ind,0.03034,2008
ind,0.02934,2009
ind,0.03177,2010
ind,0.03256,2011
idn,0.2356,1965
idn,0.224,1966
idn,0.2349,1967
idn,0.2696,1968
idn,0.2809,1969
idn,0.3643,1970
idn,0.3709,1971
idn,0.4395,1972
idn,0.5291,1973
idn,0.5304,1974
idn,0.4916,1975
idn,0.5541,1976
idn,0.6037,1977
idn,0.5701,1978
idn,0.5396,1979
idn,0.524,1980
idn,0.5183,1981
idn,0.4221,1982
idn,0.4384,1983
idn,0.4547,1984
idn,0.3946,1985
idn,0.4104,1986
idn,0.3995,1987
idn,0.378,1988
idn,0.3953,1989
idn,0.4038,1990
idn,0.4321,1991
idn,0.4028,1992
idn,0.3971,1993
idn,0.3916,1994
idn,0.3834,1995
idn,0.3794,1996
idn,0.3692,1997
idn,0.357,1998
idn,0.3257,1999
idn,0.3349,2000
idn,0.3139,2001
idn,0.2877,2002
idn,0.2584,2003
idn,0.246,2004
idn,0.2338,2005
idn,0.2127,2006
idn,0.2045,2007
idn,0.2085,2008
idn,0.2019,2009
idn,0.2015,2010
idn,0.1882,2011
irn,3.817,1965
irn,4.152,1966
irn,4.934,1967
irn,5.254,1968
irn,6.064,1969
irn,6.719,1970
irn,7.773,1971
irn,8.402,1972
irn,9.526,1973
irn,9.515,1974
irn,8.217,1975
irn,8.789,1976
irn,8.195,1977
irn,7.356,1978
irn,4.31,1979
irn,1.922,1980
irn,1.653,1981
irn,2.891,1982
irn,2.848,1983
irn,2.289,1984
irn,2.373,1985
irn,2.128,1986
irn,2.332,1987
irn,2.266,1988
irn,2.692,1989
irn,2.967,1990
irn,3.11,1991
irn,3.078,1992
irn,3.181,1993
irn,3.146,1994
irn,3.104,1995
irn,3.069,1996
irn,3.018,1997
irn,3.022,1998
irn,2.771,1999
irn,2.925,2000
irn,2.854,2001
irn,2.632,2002
irn,2.909,2003
irn,3.003,2004
irn,2.941,2005
irn,2.945,2006
irn,2.934,2007
irn,2.946,2008
irn,2.789,2009
irn,2.8,2010
irn,2.752,2011
irq,7.624,1965
irq,7.828,1966
irq,6.68,1967
irq,7.925,1968
irq,7.731,1969
irq,7.613,1970
irq,8.056,1971
irq,6.767,1972
irq,8.996,1973
irq,8.525,1974
irq,9.479,1975
irq,9.821,1976
irq,9.228,1977
irq,9.759,1978
irq,12.84,1979
irq,9.537,1980
irq,3.155,1981
irq,3.355,1982
irq,3.673,1983
irq,3.999,1984
irq,4.512,1985
irq,5.891,1986
irq,7.254,1987
irq,8.271,1988
irq,8.21,1989
irq,6.061,1990
irq,0.7802,1991
irq,1.42,1992
irq,1.175,1993
irq,1.263,1994
irq,1.283,1995
irq,1.362,1996
irq,2.635,1997
irq,4.648,1998
irq,5.542,1999
irq,5.4,2000
irq,5.047,2001
irq,4.121,2002
irq,2.55,2003
irq,3.758,2004
irq,3.291,2005
irq,3.488,2006
irq,3.633,2007
irq,4.007,2008
irq,3.905,2009
irq,3.835,2010
irq,4.192,2011
ita,0.04427,1965
ita,0.03569,1966
ita,0.033,1967
ita,0.03094,1968
ita,0.03005,1969
ita,0.02817,1970
ita,0.0252,1971
ita,0.02238,1972
ita,0.0203,1973
ita,0.02015,1974
ita,0.02242,1975
ita,0.02335,1976
ita,0.0224,1977
ita,0.02666,1978
ita,0.03064,1979
ita,0.03036,1980
ita,0.02638,1981
ita,0.0312,1982
ita,0.03958,1983
ita,0.04008,1984
ita,0.04199,1985
ita,0.04503,1986
ita,0.06925,1987
ita,0.08512,1988
ita,0.08102,1989
ita,0.08214,1990
ita,0.07619,1991
ita,0.07911,1992
ita,0.08149,1993
ita,0.08593,1994
ita,0.09191,1995
ita,0.09575,1996
ita,0.1046,1997
ita,0.09889,1998
ita,0.08818,1999
ita,0.08048,2000
ita,0.07217,2001
ita,0.09619,2002
ita,0.09626,2003
ita,0.09387,2004
ita,0.1042,2005
ita,0.09764,2006
ita,0.0985,2007
ita,0.08742,2008
ita,0.07589,2009
ita,0.08433,2010
ita,0.0873,2011
kaz,1.436,1985
kaz,1.458,1986
kaz,1.488,1987
kaz,1.527,1988
kaz,1.542,1989
kaz,1.561,1990
kaz,1.611,1991
kaz,1.57,1992
kaz,1.412,1993
kaz,1.26,1994
kaz,1.296,1995
kaz,1.461,1996
kaz,1.665,1997
kaz,1.7,1998
kaz,1.998,1999
kaz,2.361,2000
kaz,2.691,2001
kaz,3.231,2002
kaz,3.504,2003
kaz,4.026,2004
kaz,4.127,2005
kaz,4.317,2006
kaz,4.419,2007
kaz,4.602,2008
kaz,4.937,2009
kaz,5.095,2010
kaz,5.083,2011
kwt,245.8,1965
kwt,234.4,1966
kwt,214.9,1967
kwt,207.5,1968
kwt,202.3,1969
kwt,201.6,1970
kwt,200.4,1971
kwt,192.3,1972
kwt,165.2,1973
kwt,130.9,1974
kwt,100.9,1975
kwt,98.48,1976
kwt,85.48,1977
kwt,87.52,1978
kwt,99.04,1979
kwt,63.06,1980
kwt,40.55,1981
kwt,28.18,1982
kwt,34.72,1983
kwt,36.58,1984
kwt,31.85,1985
kwt,32.35,1986
kwt,26.9,1987
kwt,31.09,1988
kwt,32.83,1989
kwt,22.42,1990
kwt,4.538,1991
kwt,28.04,1992
kwt,53.78,1993
kwt,61.25,1994
kwt,64.43,1995
kwt,64.57,1996
kwt,62.61,1997
kwt,62.37,1998
kwt,55.22,1999
kwt,56.71,2000
kwt,53.17,2001
kwt,47.93,2002
kwt,54.43,2003
kwt,56.36,2004
kwt,57.59,2005
kwt,56.9,2006
kwt,53.07,2007
kwt,53.29,2008
kwt,45.71,2009
kwt,44.83,2010
kwt,49.69,2011
lby,35.73,1965
lby,42.44,1966
lby,46.82,1967
lby,67.55,1968
lby,77.26,1969
lby,80.01,1970
lby,62.83,1971
lby,49.23,1972
lby,46.21,1973
lby,31.14,1974
lby,29.01,1975
lby,36.35,1976
lby,37.15,1977
lby,34.19,1978
lby,34.57,1979
lby,28.82,1980
lby,18.38,1981
lby,16.38,1982
lby,15.31,1983
lby,13.01,1984
lby,12.57,1985
lby,12.64,1986
lby,11.61,1987
lby,11.94,1988
lby,12.92,1989
lby,15.51,1990
lby,15.35,1991
lby,15.45,1992
lby,14.38,1993
lby,14.4,1994
lby,14.22,1995
lby,14.1,1996
lby,14.16,1997
lby,13.8,1998
lby,13.05,1999
lby,13.29,2000
lby,12.58,2001
lby,11.89,2002
lby,12.6,2003
lby,13.54,2004
lby,14.2,2005
lby,14.41,2006
lby,14.12,2007
lby,13.87,2008
lby,12.31,2009
lby,12.19,2010
lby,3.493,2011
mys,0.01847,1968
mys,0.04041,1969
mys,0.07883,1970
mys,0.2948,1971
mys,0.3887,1972
mys,0.3702,1973
mys,0.3218,1974
mys,0.3803,1975
mys,0.6349,1976
mys,0.6782,1977
mys,0.7823,1978
mys,0.9977,1979
mys,0.9559,1980
mys,0.8727,1981
mys,0.9987,1982
mys,1.232,1983
mys,1.394,1984
mys,1.349,1985
mys,1.473,1986
mys,1.413,1987
mys,1.496,1988
mys,1.58,1989
mys,1.623,1990
mys,1.645,1991
mys,1.628,1992
mys,1.552,1993
mys,1.54,1994
mys,1.608,1995
mys,1.591,1996
mys,1.538,1997
mys,1.524,1998
mys,1.417,1999
mys,1.367,2000
mys,1.302,2001
mys,1.33,2002
mys,1.374,2003
mys,1.387,2004
mys,1.25,2005
mys,1.163,2006
mys,1.171,2007
mys,1.165,2008
mys,1.094,2009
mys,1.05,2010
mys,0.9212,2011
mex,0.4021,1965
mex,0.3999,1966
mex,0.4302,1967
mex,0.4475,1968
mex,0.4559,1969
mex,0.4662,1970
mex,0.4511,1971
mex,0.4556,1972
mex,0.4555,1973
mex,0.5542,1974
mex,0.6667,1975
mex,0.7225,1976
mex,0.8532,1977
mex,1.019,1978
mex,1.201,1979
mex,1.558,1980
mex,1.82,1981
mex,2.104,1982
mex,2.009,1983
mex,1.986,1984
mex,1.915,1985
mex,1.761,1986
mex,1.802,1987
mex,1.761,1988
mex,1.731,1989
mex,1.722,1990
mex,1.779,1991
mex,1.748,1992
mex,1.72,1993
mex,1.7,1994
mex,1.628,1995
mex,1.73,1996
mex,1.777,1997
mex,1.788,1998
mex,1.68,1999
mex,1.715,2000
mex,1.745,2001
mex,1.74,2002
mex,1.819,2003
mex,1.815,2004
mex,1.759,2005
mex,1.7,2006
mex,1.583,2007
mex,1.425,2008
mex,1.316,2009
mex,1.29,2010
mex,1.264,2011
nga,0.2636,1965
nga,0.3934,1966
nga,0.2936,1967
nga,0.1272,1968
nga,0.4748,1969
nga,0.9309,1970
nga,1.284,1971
nga,1.492,1972
nga,1.641,1973
nga,1.754,1974
nga,1.35,1975
nga,1.525,1976
nga,1.495,1977
nga,1.311,1978
nga,1.547,1979
nga,1.346,1980
nga,0.914,1981
nga,0.798,1982
nga,0.7458,1983
nga,0.8192,1984
nga,0.8603,1985
nga,0.8206,1986
nga,0.7346,1987
nga,0.7921,1988
nga,0.9136,1989
nga,0.9389,1990
nga,0.9595,1991
nga,0.9675,1992
nga,0.9407,1993
nga,0.9036,1994
nga,0.8862,1995
nga,0.9324,1996
nga,0.9821,1997
nga,0.8985,1998
nga,0.8344,1999
nga,0.852,2000
nga,0.8744,2001
nga,0.7878,2002
nga,0.829,2003
nga,0.8849,2004
nga,0.8884,2005
nga,0.8353,2006
nga,0.7765,2007
nga,0.6989,2008
nga,0.6572,2009
nga,0.74,2010
nga,0.7228,2011
nor,0.07495,1971
nor,0.4104,1972
nor,0.3942,1973
nor,0.4285,1974
nor,2.301,1975
nor,3.39,1976
nor,3.464,1977
nor,4.28,1978
nor,4.788,1979
nor,6.131,1980
nor,5.927,1981
nor,6.137,1982
nor,7.612,1983
nor,8.689,1984
nor,9.443,1985
nor,10.32,1986
nor,11.98,1987
nor,13.56,1988
nor,17.75,1989
nor,19.37,1990
nor,22.01,1991
nor,24.94,1992
nor,26.48,1993
nor,29.67,1994
nor,31.75,1995
nor,35.27,1996
nor,35.41,1997
nor,33.7,1998
nor,33.52,1999
nor,35.67,2000
nor,35.89,2001
nor,34.68,2002
nor,33.56,2003
nor,32.68,2004
nor,29.9,2005
nor,27.57,2006
nor,25.11,2007
nor,23.89,2008
nor,22.51,2009
nor,20.18,2010
nor,18.97,2011
omn,4.239,1967
omn,17.45,1968
omn,22.88,1969
omn,22.47,1970
omn,19.21,1971
omn,17.79,1972
omn,17.71,1973
omn,16.77,1974
omn,18.8,1975
omn,19.27,1976
omn,16.87,1977
omn,14.74,1978
omn,13.09,1979
omn,11.95,1980
omn,13.05,1981
omn,12.64,1982
omn,13.86,1983
omn,14.14,1984
omn,16.11,1985
omn,17.35,1986
omn,17.39,1987
omn,17.87,1988
omn,17.84,1989
omn,18.33,1990
omn,18.14,1991
omn,18.23,1992
omn,18.35,1993
omn,18.53,1994
omn,19.18,1995
omn,19.64,1996
omn,19.81,1997
omn,19.76,1998
omn,19.92,1999
omn,20.48,2000
omn,20.24,2001
omn,18.84,2002
omn,16.96,2003
omn,16.01,2004
omn,15.41,2005
omn,14.35,2006
omn,13.47,2007
omn,13.63,2008
omn,14.25,2009
omn,14.72,2010
omn,14.8,2011
per,0.296,1965
per,0.2877,1966
per,0.3142,1967
per,0.319,1968
per,0.3013,1969
per,0.293,1970
per,0.2438,1971
per,0.249,1972
per,0.2634,1973
per,0.2775,1974
per,0.2507,1975
per,0.2581,1976
per,0.2995,1977
per,0.4825,1978
per,0.5971,1979
per,0.5928,1980
per,0.5708,1981
per,0.563,1982
per,0.4804,1983
per,0.5084,1984
per,0.5063,1985
per,0.4688,1986
per,0.4226,1987
per,0.3567,1988
per,0.3213,1989
per,0.3123,1990
per,0.2731,1991
per,0.2709,1992
per,0.2879,1993
per,0.2849,1994
per,0.2689,1995
per,0.2606,1996
per,0.2525,1997
per,0.2394,1998
per,0.2164,1999
per,0.199,2000
per,0.1917,2001
per,0.1892,2002
per,0.1752,2003
per,0.1713,2004
per,0.1879,2005
per,0.1923,2006
per,0.1878,2007
per,0.1935,2008
per,0.2311,2009
per,0.2473,2010
per,0.2377,2011
qat,158.8,1965
qat,183.0,1966
qat,188.7,1967
qat,183.9,1968
qat,177.5,1969
qat,166.8,1970
qat,181.2,1971
qat,186.3,1972
qat,201.6,1973
qat,169.5,1974
qat,133.7,1975
qat,141.3,1976
