geo,all_forms_of_tb_new_cases_per_100000_estimated,time
bgd,227,2005
bgd,225,2006
bgd,223,2007
brb,7,1990
brb,6,1991
brb,6,1992
brb,6,1993
brb,6,1994
brb,5,1995
brb,5,1996
brb,5,1997
brb,5,1998
brb,4,1999
brb,4,2000
brb,4,2001
brb,4,2002
brb,4,2003
brb,4,2004
brb,4,2005
brb,4,2006
brb,4,2007
blr,38,1990
blr,34,1991
blr,38,1992
blr,40,1993
blr,49,1994
blr,54,1995
blr,60,1996
blr,65,1997
blr,72,1998
blr,76,1999
blr,73,2000
blr,66,2001
blr,60,2002
blr,60,2003
blr,61,2004
blr,61,2005
blr,61,2006
blr,61,2007
bel,20,1990
bel,19,1991
bel,18,1992
bel,19,1993
bel,19,1994
bel,18,1995
bel,17,1996
bel,16,1997
bel,15,1998
bel,15,1999
bel,16,2000
bel,16,2001
bel,15,2002
bel,14,2003
bel,13,2004
bel,13,2005
bel,13,2006
bel,12,2007
blz,40,1990
blz,40,1991
blz,40,1992
blz,40,1993
blz,40,1994
blz,40,1995
blz,40,1996
blz,40,1997
blz,40,1998
blz,40,1999
blz,40,2000
blz,40,2001
blz,40,2002
blz,40,2003
blz,40,2004
blz,40,2005
blz,40,2006
blz,40,2007
ben,77,1990
ben,77,1991
ben,78,1992
ben,79,1993
ben,80,1994
ben,80,1995
ben,81,1996
ben,82,1997
ben,83,1998
ben,84,1999
ben,85,2000
ben,86,2001
ben,86,2002
ben,87,2003
ben,88,2004
ben,89,2005
ben,90,2006
ben,91,2007
bmu,7,1990
bmu,6,1991
bmu,6,1992
bmu,6,1993
bmu,6,1994
bmu,5,1995
bmu,5,1996
bmu,5,1997
bmu,5,1998
bmu,4,1999
bmu,4,2000
bmu,4,2001
bmu,4,2002
bmu,4,2003
bmu,4,2004
bmu,4,2005
bmu,4,2006
bmu,4,2007
btn,540,1990
btn,516,1991
btn,492,1992
btn,470,1993
btn,449,1994
btn,428,1995
btn,409,1996
btn,391,1997
btn,373,1998
btn,356,1999
btn,340,2000
btn,325,2001
btn,310,2002
btn,296,2003
btn,283,2004
btn,270,2005
btn,258,2006
btn,246,2007
bol,255,1990
bol,247,1991
bol,240,1992
bol,233,1993
bol,226,1994
bol,220,1995
bol,213,1996
bol,207,1997
bol,201,1998
bol,195,1999
bol,190,2000
bol,184,2001
bol,179,2002
bol,174,2003
bol,169,2004
bol,164,2005
bol,159,2006
bol,155,2007
bih,94,1990
bih,92,1991
bih,93,1992
bih,92,1993
bih,89,1994
bih,84,1995
bih,83,1996
bih,81,1997
bih,79,1998
bih,71,1999
bih,63,2000
bih,58,2001
bih,56,2002
bih,55,2003
bih,53,2004
bih,52,2005
bih,52,2006
bih,51,2007
bwa,307,1990
bwa,341,1991
bwa,364,1992
bwa,390,1993
bwa,415,1994
bwa,444,1995
bwa,468,1996
bwa,503,1997
bwa,542,1998
bwa,588,1999
bwa,640,2000
bwa,692,2001
bwa,740,2002
bwa,772,2003
bwa,780,2004
bwa,770,2005
bwa,751,2006
bwa,731,2007
bra,84,1990
bra,81,1991
bra,78,1992
bra,76,1993
bra,73,1994
bra,71,1995
bra,69,1996
bra,67,1997
bra,64,1998
bra,62,1999
bra,60,2000
bra,58,2001
bra,57,2002
bra,55,2003
bra,53,2004
bra,51,2005
bra,50,2006
bra,48,2007
vgb,19,1990
vgb,18,1991
vgb,17,1992
vgb,16,1993
vgb,15,1994
vgb,15,1995
vgb,14,1996
vgb,14,1997
vgb,13,1998
vgb,12,1999
vgb,12,2000
vgb,11,2001
vgb,11,2002
vgb,11,2003
vgb,11,2004
vgb,11,2005
vgb,10,2006
vgb,10,2007
brn,58,1990
brn,58,1991
brn,58,1992
brn,58,1993
brn,58,1994
brn,58,1995
brn,58,1996
brn,58,1997
brn,58,1998
brn,93,1999
brn,102,2000
brn,70,2001
brn,73,2002
brn,64,2003
brn,53,2004
brn,48,2005
brn,59,2006
brn,59,2007
bgr,27,1990
bgr,30,1991
bgr,34,1992
bgr,37,1993
bgr,38,1994
bgr,38,1995
bgr,39,1996
bgr,43,1997
bgr,45,1998
bgr,45,1999
bgr,44,2000
bgr,44,2001
bgr,43,2002
bgr,39,2003
bgr,39,2004
bgr,40,2005
bgr,39,2006
bgr,39,2007
bfa,95,1990
bfa,105,1991
bfa,112,1992
bfa,120,1993
bfa,128,1994
bfa,137,1995
bfa,145,1996
bfa,155,1997
bfa,168,1998
bfa,182,1999
bfa,198,2000
bfa,214,2001
bfa,229,2002
bfa,239,2003
bfa,241,2004
bfa,238,2005
bfa,232,2006
bfa,226,2007
bdi,154,1990
bdi,171,1991
bdi,182,1992
bdi,196,1993
bdi,208,1994
bdi,223,1995
bdi,235,1996
bdi,252,1997
bdi,272,1998
bdi,295,1999
bdi,321,2000
bdi,347,2001
bdi,371,2002
bdi,387,2003
bdi,391,2004
bdi,387,2005
bdi,377,2006
bdi,367,2007
khm,585,1990
khm,579,1991
khm,574,1992
khm,568,1993
khm,563,1994
khm,557,1995
khm,552,1996
khm,546,1997
khm,541,1998
khm,536,1999
khm,530,2000
khm,525,2001
khm,520,2002
khm,515,2003
khm,510,2004
khm,505,2005
khm,500,2006
khm,495,2007
cmr,81,1990
cmr,89,1991
cmr,95,1992
cmr,102,1993
cmr,109,1994
cmr,116,1995
cmr,123,1996
cmr,132,1997
cmr,142,1998
cmr,154,1999
cmr,168,2000
cmr,181,2001
cmr,194,2002
cmr,202,2003
cmr,204,2004
cmr,202,2005
cmr,197,2006
cmr,192,2007
can,10,1990
can,9,1991
can,9,1992
can,8,1993
can,8,1994
can,7,1995
can,7,1996
can,7,1997
can,7,1998
can,6,1999
can,6,2000
can,6,2001
can,6,2002
can,5,2003
can,5,2004
can,5,2005
can,5,2006
can,5,2007
cpv,175,1990
cpv,174,1991
cpv,172,1992
cpv,171,1993
cpv,169,1994
cpv,168,1995
cpv,166,1996
cpv,165,1997
cpv,163,1998
cpv,162,1999
cpv,160,2000
cpv,159,2001
cpv,157,2002
cpv,156,2003
cpv,155,2004
cpv,153,2005
cpv,152,2006
cpv,151,2007
cym,7,1990
cym,6,1991
cym,6,1992
cym,6,1993
cym,6,1994
cym,5,1995
cym,5,1996
cym,5,1997
cym,5,1998
cym,4,1999
cym,4,2000
cym,4,2001
cym,4,2002
cym,4,2003
cym,4,2004
cym,4,2005
cym,4,2006
cym,4,2007
caf,145,1990
caf,161,1991
caf,172,1992
caf,184,1993
caf,196,1994
caf,209,1995
caf,221,1996
caf,237,1997
caf,256,1998
caf,277,1999
caf,302,2000
caf,327,2001
caf,349,2002
caf,364,2003
caf,368,2004
caf,363,2005
caf,354,2006
caf,345,2007
tcd,125,1990
tcd,139,1991
tcd,149,1992
tcd,159,1993
tcd,170,1994
tcd,181,1995
tcd,191,1996
tcd,205,1997
tcd,221,1998
tcd,240,1999
tcd,262,2000
tcd,283,2001
tcd,302,2002
tcd,315,2003
tcd,318,2004
tcd,315,2005
tcd,307,2006
tcd,299,2007
chl,38,1990
chl,35,1991
chl,33,1992
chl,31,1993
chl,29,1994
chl,27,1995
chl,25,1996
chl,24,1997
chl,22,1998
chl,21,1999
chl,19,2000
chl,18,2001
chl,17,2002
chl,16,2003
chl,15,2004
chl,14,2005
chl,13,2006
chl,12,2007
chn,116,1990
chn,115,1991
chn,114,1992
chn,113,1993
chn,112,1994
chn,111,1995
chn,110,1996
chn,109,1997
chn,108,1998
chn,106,1999
chn,105,2000
chn,104,2001
chn,103,2002
chn,102,2003
chn,101,2004
chn,100,2005
chn,99,2006
chn,98,2007
col,53,1990
col,52,1991
col,50,1992
col,49,1993
col,48,1994
col,47,1995
col,46,1996
col,45,1997
col,44,1998
col,43,1999
col,42,2000
col,41,2001
col,40,2002
col,39,2003
col,38,2004
col,37,2005
col,36,2006
col,35,2007
com,85,1990
com,82,1991
com,79,1992
com,75,1993
com,72,1994
com,69,1995
com,67,1996
com,64,1997
com,61,1998
com,59,1999
com,56,2000
com,54,2001
com,52,2002
com,50,2003
com,48,2004
com,46,2005
com,44,2006
com,42,2007
cog,169,1990
cog,188,1991
cog,200,1992
cog,215,1993
cog,229,1994
cog,245,1995
cog,258,1996
cog,277,1997
cog,299,1998
cog,324,1999
cog,353,2000
cog,382,2001
cog,408,2002
cog,425,2003
cog,430,2004
cog,425,2005
cog,414,2006
cog,403,2007
cok,0,1990
cok,6,1991
cok,37,1992
cok,31,1993
cok,24,1994
cok,12,1995
cok,6,1996
cok,13,1997
cok,0,1998
cok,20,1999
cok,7,2000
cok,14,2001
cok,7,2002
cok,0,2003
cok,8,2004
cok,8,2005
cok,8,2006
cok,15,2007
cri,18,1990
cri,18,1991
cri,17,1992
cri,17,1993
cri,16,1994
cri,16,1995
cri,15,1996
cri,15,1997
cri,14,1998
cri,14,1999
cri,14,2000
cri,13,2001
cri,13,2002
cri,12,2003
cri,12,2004
cri,12,2005
cri,11,2006
cri,11,2007
hrv,74,1990
hrv,73,1991
hrv,73,1992
hrv,72,1993
hrv,70,1994
hrv,66,1995
hrv,65,1996
hrv,64,1997
hrv,62,1998
hrv,56,1999
hrv,49,2000
hrv,46,2001
hrv,44,2002
hrv,43,2003
hrv,42,2004
hrv,41,2005
hrv,41,2006
hrv,40,2007
cub,25,1990
cub,23,1991
cub,22,1992
cub,20,1993
cub,18,1994
cub,17,1995
cub,16,1996
cub,14,1997
cub,13,1998
cub,12,1999
cub,11,2000
cub,10,2001
cub,10,2002
cub,9,2003
cub,8,2004
cub,8,2005
cub,7,2006
cub,6,2007
cyp,9,1990
cyp,9,1991
cyp,8,1992
cyp,8,1993
cyp,7,1994
cyp,7,1995
cyp,7,1996
cyp,7,1997
cyp,6,1998
cyp,6,1999
cyp,6,2000
cyp,6,2001
cyp,5,2002
cyp,5,2003
cyp,5,2004
cyp,5,2005
cyp,5,2006
cyp,5,2007
cze,21,1990
cze,21,1991
cze,21,1992
cze,20,1993
cze,20,1994
cze,20,1995
cze,20,1996
cze,20,1997
cze,19,1998
cze,17,1999
cze,15,2000
cze,14,2001
cze,13,2002
cze,12,2003
cze,11,2004
cze,10,2005
cze,10,2006
cze,9,2007
civ,177,1990
civ,196,1991
civ,209,1992
civ,224,1993
civ,239,1994
civ,255,1995
civ,269,1996
civ,289,1997
civ,312,1998
civ,338,1999
civ,368,2000
civ,398,2001
civ,425,2002
civ,444,2003
civ,448,2004
civ,443,2005
civ,432,2006
civ,420,2007
prk,344,1990
prk,344,1991
prk,344,1992
prk,344,1993
prk,344,1994
prk,344,1995
prk,344,1996
prk,344,1997
prk,344,1998
prk,344,1999
prk,344,2000
prk,344,2001
prk,344,2002
prk,344,2003
prk,344,2004
prk,344,2005
prk,344,2006
prk,344,2007
cod,165,1990
cod,182,1991
cod,195,1992
cod,209,1993
cod,222,1994
cod,238,1995
cod,251,1996
cod,269,1997
cod,290,1998
cod,315,1999
cod,343,2000
cod,371,2001
cod,396,2002
cod,413,2003
cod,417,2004
cod,413,2005
cod,402,2006
cod,392,2007
dnk,15,1990
dnk,14,1991
dnk,14,1992
dnk,13,1993
dnk,12,1994
dnk,12,1995
dnk,11,1996
dnk,11,1997
dnk,10,1998
dnk,10,1999
dnk,9,2000
dnk,9,2001
dnk,9,2002
dnk,9,2003
dnk,8,2004
dnk,8,2005
dnk,8,2006
dnk,8,2007
dji,582,1990
dji,594,1991
dji,606,1992
dji,618,1993
dji,630,1994
dji,642,1995
dji,655,1996
dji,668,1997
dji,681,1998
dji,695,1999
dji,708,2000
dji,722,2001
dji,737,2002
dji,751,2003
dji,766,2004
dji,781,2005
dji,797,2006
dji,813,2007
dma,15,1990
dma,15,1991
dma,15,1992
dma,14,1993
dma,14,1994
dma,14,1995
dma,14,1996
dma,14,1997
dma,14,1998
dma,14,1999
dma,14,2000
dma,14,2001
dma,14,2002
dma,14,2003
dma,14,2004
dma,13,2005
dma,13,2006
dma,13,2007
dom,114,1990
dom,111,1991
dom,108,1992
dom,104,1993
dom,101,1994
dom,99,1995
dom,96,1996
dom,93,1997
dom,90,1998
dom,88,1999
dom,85,2000
dom,83,2001
dom,80,2002
dom,78,2003
dom,76,2004
dom,73,2005
dom,71,2006
dom,69,2007
ecu,167,1990
ecu,162,1991
ecu,157,1992
ecu,153,1993
ecu,148,1994
ecu,144,1995
ecu,140,1996
ecu,136,1997
ecu,132,1998
ecu,128,1999
ecu,124,2000
ecu,121,2001
ecu,117,2002
ecu,114,2003
ecu,111,2004
ecu,107,2005
ecu,104,2006
ecu,101,2007
egy,37,1990
egy,36,1991
egy,36,1992
egy,35,1993
egy,34,1994
egy,34,1995
egy,33,1996
egy,31,1997
egy,29,1998
egy,28,1999
egy,27,2000
egy,26,2001
egy,26,2002
egy,24,2003
egy,23,2004
egy,22,2005
egy,22,2006
egy,21,2007
slv,82,1990
slv,79,1991
slv,75,1992
slv,72,1993
slv,69,1994
slv,66,1995
slv,64,1996
slv,61,1997
slv,58,1998
slv,56,1999
slv,54,2000
slv,51,2001
slv,49,2002
slv,47,2003
slv,45,2004
slv,43,2005
slv,41,2006
slv,40,2007
gnq,108,1990
gnq,119,1991
gnq,127,1992
gnq,136,1993
gnq,145,1994
gnq,155,1995
gnq,164,1996
gnq,176,1997
gnq,190,1998
gnq,206,1999
gnq,224,2000
gnq,242,2001
gnq,259,2002
gnq,270,2003
gnq,273,2004
gnq,270,2005
gnq,263,2006
gnq,256,2007
eri,72,1990
eri,73,1991
eri,74,1992
eri,76,1993
eri,77,1994
eri,78,1995
eri,79,1996
eri,81,1997
eri,82,1998
eri,84,1999
eri,85,2000
eri,86,2001
eri,88,2002
eri,89,2003
eri,91,2004
eri,92,2005
eri,94,2006
eri,95,2007
est,32,1990
est,32,1991
est,35,1992
est,42,1993
est,48,1994
est,53,1995
est,58,1996
est,64,1997
est,66,1998
est,68,1999
est,66,2000
est,62,2001
est,55,2002
est,50,2003
est,46,2004
est,43,2005
est,40,2006
est,38,2007
eth,159,1990
eth,176,1991
eth,188,1992
eth,201,1993
eth,215,1994
eth,229,1995
eth,242,1996
eth,260,1997
eth,280,1998
eth,304,1999
eth,331,2000
eth,358,2001
eth,383,2002
eth,399,2003
eth,403,2004
eth,398,2005
eth,388,2006
eth,378,2007
fji,51,1990
fji,48,1991
fji,46,1992
fji,43,1993
fji,41,1994
fji,39,1995
fji,37,1996
fji,35,1997
fji,33,1998
fji,32,1999
fji,30,2000
fji,28,2001
fji,27,2002
fji,26,2003
fji,24,2004
fji,23,2005
fji,22,2006
fji,21,2007
fin,18,1990
fin,16,1991
fin,14,1992
fin,12,1993
fin,12,1994
fin,13,1995
fin,13,1996
fin,13,1997
fin,12,1998
fin,12,1999
fin,10,2000
fin,10,2001
fin,9,2002
fin,8,2003
fin,7,2004
fin,6,2005
fin,6,2006
fin,6,2007
fra,26,1990
fra,25,1991
fra,23,1992
fra,22,1993
fra,21,1994
fra,20,1995
fra,19,1996
fra,19,1997
fra,18,1998
fra,17,1999
fra,16,2000
fra,16,2001
fra,15,2002
fra,15,2003
fra,15,2004
fra,14,2005
fra,14,2006
fra,14,2007
pyf,34,1990
pyf,27,1991
pyf,45,1992
pyf,42,1993
pyf,47,1994
pyf,54,1995
pyf,43,1996
pyf,45,1997
pyf,51,1998
pyf,45,1999
pyf,29,2000
pyf,29,2001
pyf,29,2002
pyf,22,2003
pyf,26,2004
pyf,27,2005
pyf,30,2006
pyf,27,2007
gab,153,1990
gab,150,1991
gab,148,1992
gab,151,1993
gab,156,1994
gab,151,1995
gab,166,1996
gab,174,1997
gab,200,1998
gab,210,1999
gab,254,2000
gab,271,2001
gab,285,2002
gab,283,2003
gab,296,2004
gab,325,2005
gab,366,2006
gab,406,2007
gmb,185,1990
gmb,189,1991
gmb,193,1992
gmb,196,1993
gmb,200,1994
gmb,204,1995
gmb,208,1996
gmb,212,1997
gmb,217,1998
gmb,221,1999
gmb,225,2000
gmb,230,2001
gmb,234,2002
gmb,239,2003
gmb,244,2004
gmb,248,2005
gmb,253,2006
gmb,258,2007
geo,39,1990
geo,37,1991
geo,39,1992
geo,43,1993
geo,47,1994
geo,54,1995
geo,62,1996
geo,67,1997
geo,73,1998
geo,78,1999
geo,82,2000
geo,84,2001
geo,84,2002
geo,83,2003
geo,83,2004
geo,84,2005
geo,84,2006
geo,84,2007
deu,20,1990
deu,19,1991
deu,19,1992
deu,18,1993
deu,17,1994
deu,16,1995
deu,15,1996
deu,15,1997
deu,14,1998
deu,13,1999
deu,11,2000
deu,10,2001
deu,9,2002
deu,8,2003
deu,8,2004
deu,7,2005
deu,7,2006
deu,6,2007
gha,223,1990
gha,222,1991
gha,220,1992
gha,219,1993
gha,218,1994
gha,217,1995
gha,216,1996
gha,214,1997
gha,213,1998
gha,212,1999
gha,211,2000
gha,210,2001
gha,209,2002
gha,207,2003
gha,206,2004
gha,205,2005
gha,204,2006
gha,203,2007
grc,33,1990
grc,32,1991
grc,30,1992
grc,28,1993
grc,27,1994
grc,26,1995
grc,25,1996
grc,24,1997
grc,23,1998
grc,22,1999
grc,21,2000
grc,20,2001
grc,20,2002
grc,19,2003
grc,19,2004
grc,18,2005
grc,18,2006
grc,18,2007
grd,5,1990
grd,5,1991
grd,5,1992
grd,5,1993
grd,5,1994
grd,4,1995
grd,4,1996
grd,4,1997
grd,4,1998
grd,4,1999
grd,4,2000
grd,4,2001
grd,4,2002
grd,4,2003
grd,4,2004
grd,4,2005
grd,4,2006
grd,4,2007
gum,51,1990
gum,50,1991
gum,48,1992
gum,55,1993
gum,73,1994
gum,46,1995
gum,45,1996
gum,45,1997
gum,44,1998
gum,43,1999
gum,39,2000
gum,44,2001
gum,35,2002
gum,40,2003
gum,33,2004
gum,42,2005
gum,29,2006
gum,34,2007
gtm,74,1990
gtm,74,1991
gtm,73,1992
gtm,72,1993
gtm,72,1994
gtm,71,1995
gtm,70,1996
gtm,70,1997
gtm,69,1998
gtm,68,1999
gtm,68,2000
gtm,67,2001
gtm,67,2002
gtm,66,2003
gtm,65,2004
gtm,65,2005
gtm,64,2006
gtm,63,2007
gin,119,1990
gin,126,1991
gin,132,1992
gin,139,1993
gin,147,1994
gin,154,1995
gin,163,1996
gin,171,1997
gin,180,1998
gin,190,1999
gin,200,2000
gin,211,2001
gin,222,2002
gin,234,2003
gin,246,2004
gin,259,2005
gin,273,2006
gin,287,2007
gnb,158,1990
gnb,161,1991
gnb,164,1992
gnb,167,1993
gnb,170,1994
gnb,174,1995
gnb,177,1996
gnb,181,1997
gnb,184,1998
gnb,188,1999
gnb,192,2000
gnb,195,2001
gnb,199,2002
gnb,203,2003
gnb,207,2004
gnb,211,2005
gnb,216,2006
gnb,220,2007
guy,27,1990
guy,31,1991
guy,26,1992
guy,34,1993
guy,41,1994
guy,55,1995
guy,64,1996
guy,65,1997
guy,71,1998
guy,73,1999
guy,79,2000
guy,91,2001
guy,104,2002
guy,115,2003
guy,118,2004
guy,123,2005
guy,122,2006
guy,122,2007
hti,306,1990
hti,306,1991
hti,306,1992
hti,306,1993
hti,306,1994
hti,306,1995
hti,306,1996
hti,306,1997
hti,306,1998
hti,306,1999
hti,306,2000
hti,306,2001
hti,306,2002
hti,306,2003
hti,306,2004
hti,306,2005
hti,306,2006
hti,306,2007
hnd,98,1990
hnd,95,1991
hnd,92,1992
hnd,89,1993
hnd,87,1994
hnd,84,1995
hnd,82,1996
hnd,80,1997
hnd,77,1998
hnd,75,1999
hnd,73,2000
hnd,71,2001
hnd,69,2002
hnd,67,2003
hnd,65,2004
hnd,63,2005
hnd,61,2006
hnd,59,2007
hun,41,1990
hun,42,1991
hun,44,1992
hun,46,1993
hun,48,1994
hun,48,1995
hun,49,1996
hun,47,1997
hun,44,1998
hun,40,1999
hun,36,2000
hun,33,2001
hun,31,2002
hun,28,2003
hun,25,2004
hun,22,2005
hun,19,2006
hun,17,2007
isl,6,1990
isl,6,1991
isl,5,1992
isl,5,1993
isl,5,1994
isl,5,1995
isl,4,1996
isl,4,1997
isl,4,1998
isl,4,1999
isl,4,2000
isl,3,2001
isl,3,2002
isl,2,2003
isl,3,2004
isl,3,2005
isl,4,2006
isl,4,2007
ind,168,1990
ind,168,1991
ind,168,1992
ind,168,1993
ind,168,1994
ind,168,1995
ind,168,1996
ind,168,1997
ind,168,1998
ind,168,1999
ind,168,2000
ind,168,2001
ind,168,2002
ind,168,2003
ind,168,2004
ind,168,2005
ind,168,2006
ind,168,2007
idn,343,1990
idn,335,1991
idn,327,1992
idn,319,1993
idn,311,1994
idn,304,1995
idn,297,1996
idn,290,1997
idn,283,1998
idn,276,1999
idn,270,2000
idn,263,2001
idn,257,2002
idn,251,2003
idn,245,2004
idn,239,2005
idn,234,2006
idn,228,2007
irn,36,1990
irn,37,1991
irn,41,1992
irn,39,1993
irn,40,1994
irn,40,1995
irn,39,1996
irn,35,1997
irn,32,1998
irn,31,1999
irn,31,2000
irn,30,2001
irn,29,2002
irn,27,2003
irn,25,2004
irn,24,2005
irn,23,2006
irn,22,2007
irq,56,1990
irq,56,1991
irq,56,1992
irq,56,1993
irq,56,1994
irq,56,1995
irq,56,1996
irq,56,1997
irq,56,1998
irq,56,1999
irq,56,2000
irq,56,2001
irq,56,2002
irq,56,2003
irq,56,2004
irq,56,2005
irq,56,2006
irq,56,2007
irl,24,1990
irl,24,1991
irl,23,1992
irl,22,1993
irl,20,1994
irl,18,1995
irl,16,1996
irl,15,1997
irl,16,1998
irl,15,1999
irl,14,2000
irl,13,2001
irl,13,2002
irl,12,2003
irl,12,2004
irl,13,2005
irl,13,2006
irl,13,2007
isr,14,1990
isr,13,1991
isr,13,1992
isr,12,1993
isr,11,1994
isr,11,1995
isr,11,1996
isr,10,1997
isr,10,1998
isr,9,1999
isr,9,2000
isr,8,2001
isr,8,2002
isr,8,2003
isr,8,2004
isr,8,2005
isr,8,2006
isr,8,2007
ita,14,1990
ita,13,1991
ita,12,1992
ita,12,1993
ita,11,1994
ita,11,1995
ita,10,1996
ita,10,1997
ita,10,1998
ita,9,1999
ita,9,2000
ita,8,2001
ita,8,2002
ita,8,2003
ita,8,2004
ita,8,2005
ita,7,2006
ita,7,2007
jam,7,1990
jam,7,1991
jam,7,1992
jam,7,1993
jam,7,1994
jam,7,1995
jam,7,1996
jam,7,1997
jam,7,1998
jam,7,1999
jam,7,2000
jam,7,2001
jam,7,2002
jam,7,2003
jam,7,2004
jam,7,2005
jam,7,2006
jam,7,2007
jpn,47,1990
jpn,46,1991
jpn,44,1992
jpn,42,1993
jpn,41,1994
jpn,39,1995
jpn,38,1996
jpn,38,1997
jpn,37,1998
jpn,37,1999
jpn,34,2000
jpn,32,2001
jpn,29,2002
jpn,28,2003
jpn,26,2004
jpn,24,2005
jpn,23,2006
jpn,21,2007
jor,17,1990
jor,16,1991
jor,15,1992
jor,14,1993
jor,14,1994
jor,13,1995
jor,13,1996
jor,11,1997
jor,10,1998
jor,9,1999
jor,9,2000
jor,8,2001
jor,8,2002
jor,7,2003
jor,8,2004
jor,8,2005
jor,8,2006
jor,7,2007
kaz,58,1990
kaz,54,1991
kaz,54,1992
kaz,54,1993
kaz,55,1994
kaz,62,1995
kaz,72,1996
kaz,90,1997
kaz,111,1998
