geo,stillbirths_per_1000_births,time
ton,10.9,2000
tto,9.9,2000
tun,9.4,2000
tur,14.4,2000
tkm,18.6,2000
tuv,13.8,2000
uga,32.0,2000
ukr,6.7,2000
are,6.9,2000
gbr,77.28,1590
gbr,78.68,1610
gbr,81.5,1635
gbr,89.93,1660
gbr,85.71,1685
gbr,80.09,1710
gbr,77.28,1730
gbr,70.25,1760
gbr,70.25,1785
gbr,63.23,1810
gbr,59.01,1830
gbr,61.82,1840
gbr,61.82,1860
gbr,53.81,1927
gbr,56.34,1928
gbr,56.2,1929
gbr,57.33,1930
gbr,57.47,1931
gbr,58.03,1932
gbr,58.17,1933
gbr,56.91,1934
gbr,57.19,1935
gbr,55.78,1936
gbr,54.8,1937
gbr,53.81,1938
gbr,53.53,1939
gbr,52.27,1940
gbr,48.9,1941
gbr,46.65,1942
gbr,42.29,1943
gbr,38.78,1944
gbr,38.78,1945
gbr,38.22,1946
gbr,33.86,1947
gbr,32.6,1948
gbr,31.9,1949
gbr,31.75,1950
gbr,32.32,1951
gbr,31.9,1952
gbr,31.47,1953
gbr,33.02,1954
gbr,32.6,1955
gbr,32.18,1956
gbr,31.61,1957
gbr,30.21,1958
gbr,29.23,1959
gbr,27.82,1960
gbr,26.7,1961
gbr,25.43,1962
gbr,24.17,1963
gbr,22.9,1964
gbr,22.2,1965
gbr,21.5,1966
gbr,20.8,1967
gbr,20.09,1968
gbr,18.55,1969
gbr,18.27,1970
gbr,17.56,1971
gbr,16.86,1972
gbr,16.3,1973
gbr,15.6,1974
gbr,15.17,1975
gbr,13.63,1976
gbr,13.21,1977
gbr,11.94,1978
gbr,11.24,1979
gbr,10.12,1980
gbr,9.274,1981
gbr,8.852,1982
gbr,8.009,1983
gbr,8.009,1984
gbr,7.728,1985
gbr,7.447,1986
gbr,7.025,1987
gbr,6.885,1988
gbr,6.604,1989
gbr,6.463,1990
gbr,6.463,1991
gbr,6.042,1992
gbr,8.009,1993
gbr,8.009,1994
gbr,7.728,1995
gbr,7.587,1996
gbr,7.447,1997
gbr,7.447,1998
gbr,7.447,1999
gbr,7.4,2000
usa,4.5,2000
ury,10.7,2000
uzb,18.7,2000
vut,14.1,2000
ven,13.1,2000
vnm,11.5,2000
yem,34.5,2000
zmb,30.7,2000
zwe,22.2,2000
